author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"赵中平,张杨桓",投资逻辑前言：我们认为存量时代家居企业破局思路或主要为三点：1）出海寻新增量；2）内生推动，企业主动变革提升多方运营效率，突破瓶颈；3）外部推动，随着多维度外部技术进步，头部企业优先解决供给端工业化不彻底和需求端商品化不彻底问题，驱动集中度显著提升。三条破局逻辑中，顾家家居均已开始寻求突破，其中内贸零售变革我们认为是现阶段充分体现顾家战略眼光和战术执行魄力之举，有望助力顾家在存量时代最终脱颖而出。本文将重点对顾家零售变革的思路、举措及可能效果（具体举措较多，仅展现结合我们的理解归纳且表达读者更容易理解的部分）展开分析。顾家零售变革的具体思路与举措：面对存量时代竞争，公司坚定零售转型的方向，确立全面赋能，提升全链路效率的“道”。iKUKA平台、用户营销系统、零售分销系统、商品运营系统、“仓配装服”这五大数字化基础建设逐步完善，支撑公司逐步建立起以用户为中心、数据驱动的零售经销商全流程（引流、获客、成单、交付）赋能模式，降低经销商经营门槛，弱化经销体系个体能力依赖的同时全面提效。“术”表现为：用户端，依托数字化工具叠加头部社交媒体合作，精准洞察消费趋势；产品端，“AI设计大脑”快速响应市场反馈，推动设计落地；流量端，线上通过AI内容运营与平台合作扩大曝光，线下推动门店依托“零售数据”精准获客。客户到店后，通过门店全流程精细化管理机制“督导SOP”提升成单率与客单价；交付端，零售分销系统实现仓配装服一体化（25H1覆盖率达65%），这也是零售变革的基石，为经销商减负的同时，显著加快现金周转，并且在防窜货、快单交付等方面有额外优势。整体来看，顾家变革思路清晰，已逐步构建较难复制的核心竞争力。顾家改革已取得阶段性成果，高效组织力增加改革成功概率：从改革成果来看，已初显成效。25Q1-3顾家营收同比+8.7%，显著超行业增长，与此同时盈利能力稳中有升，并且细化来看，单店收入（24年309万元）、存货周转率（从20年5.8次提升至24年6.0次），应收账款周转率（从20年12次提升至24年13次）均在行业中排名前列。而从变革成功概率来看，家居企业最终竞争仍是组织力的竞争，我们从战略与执行的一致性、组织架构稳定性以及管理层能力适配性三方面展开分析，认为公司零售变革成功可期。盈利预测与投资建议我们预计公司25-27年归母净利分别为19.2/20.7/22.4亿元，同比分别增长+35.8%/+7.7%/+7.9%，考虑公司前瞻变革，α凸显，给予26年合理PE15倍，目标价37.8元，维持“买入”评级。风险提示家居需求相对不足；内外部市场竞争加剧；改革效果不及预期,,国金证券,买入,[None],2025-12-11,,买入,8234836,pdf_downloads/2025/2025-12-11/603816-顾家家居（603816）：零售变革的“道”与“术”.pdf,603816,顾家家居,顾家家居（603816）：零售变革的“道”与“术”
刘一怡,公司公布 2025 年三季报。前三季度，公司实现营业收入/归母净利润/扣非归母净利润150.12/15.39/13.89亿元，同比+8.77%/+13.24%/+13.90%。25Q3。公司实现营业收入/归母净利润/扣非归母净利润52.11/5.18/4.89亿元，同比+6.50%/+11.99%/+11.48%。内销多品类齐头并进，零售转型成效显著。公司坚持以“一体两翼，双核发展”的战略核心，持续深化零售转型，聚焦存量市场精细化运营，内销业务25Q3预计展现强劲韧性。分品类看，得益于产品力改善和效率提升，内销功能沙发、定制业务、整装业务等有望保持增长趋势。目前公司仓配服体系建设稳步推进，经销商覆盖率进一步提升，供应链效率显著改善。外销全球化布局深化，渠道建设稳步推进。公司坚定全球化布局，目前已在越南、墨西哥、美国等地建立生产基地，深化本土化运营；未来还将建设印尼生产基地，进一步完善全球供应链布局。同时，公司海外OBM业务稳步推进，东南亚等市场拓展已初见成效。内部提效成果显著，盈利能力持续提升。25Q3，公司实现毛利率 31.4%，同比+1.6pct。费用端，公司实现销售/管理/财务费用率13.8%/1.4%/0.1%，同比-0.2/-0.3/-0.6pct。综合来看，公司实现归母净利率9.9%，同比+0.5pct。投资建议：公司作为软体家居龙头，零售转型战略成效显著，全球化布局构筑坚实壁垒，内部提效驱动盈利能力稳步提升。我们预计25/26/27年归母净利润为18.9/21.0/23.0亿元，对应PE为13/12/11X。参考可比公司估值，给予公司26年15X PE，对应目标价38.41元/股，维持“强推”评级。风险提示：宏观经济影响需求；原材料价格波动；海外关税政策变动等。,,华创证券,强推,[None],2025-11-16,,买入,7939602,pdf_downloads/2025/2025-11-16/603816-顾家家居（603816）：2025年三季报点评：业绩稳健增长，内外销协同发力.pdf,603816,顾家家居,顾家家居（603816）：2025年三季报点评：业绩稳健增长，内外销协同发力
"史凡可,傅嘉成",业绩一览25Q1-Q3收入150.12亿（同比+8.77%，下同），归母净利润15.39亿（+13.24%），扣非归母净利润13.89亿（+13.90%）。25Q3单季度收入52.11亿（+6.5%），归母净利润5.18亿（+11.99%），扣非归母净利润4.89亿（+11.48%）。Q3延续了Q2利润优于收入的表现，单Q3毛利率同比+1.62pct，在关税背景下尤为可贵，系公司今年多项降本控费措施取得显著成效。经营上，公司以“巩固和扩大边界内市占率且力争成为各边界内市占率第一”为核心目标，收入逆势增长；同时组织上简政放权，职能人员占比进一步降低。内贸零售改革深化、外贸影响有限1）内贸：24Q4组织改革以来各品类专业化程度提升（25H1功能高增、床垫回到双位数增长），管理颗粒度细化，内贸表现显著优于同行。同时零售运营能力持续增强，截至25H1仓配服覆盖率已达65%、现货快交覆盖53%，有效提升周转效率与客户满意度。行业层面看，软体竞争格局优于定制、且受低端价格冲击的影响有限。2）外贸：面对关税公司积极应对，加快产能向越南、印尼等海外基地转移，我们认为尽管4-5月关税下单曾受短暂影响、但后续客户下单节奏已迎来恢复。9月1日公司公告投资11.24亿建设印尼基地，达纲年收入约25.2亿，供应链抗风险能力进一步增强。财务指标1）25Q1-Q3毛利率为32.38%（+0.5pct），25Q3单季度+1.62pct，系公司今年合计推进 104 项效本费指标，其中材料降本、工费降本、技术降本及仓储物流降本贡献较多。2） 25Q3单季度期间费用率-0.4pct，其中管理+研发费用率同比+0.42pct，销售费用率-0.17pct，财务费用率-0.65pct。3）合同负债14.01亿（同比+13%），预计Q4内贸也将有较好表现。拟投资11亿建设印尼基地，关税影响进一步减弱9月1日公司发布公告，顾家家居印尼自建基地项目预计总投资11.24亿元，其中土地及建筑工程费用预计9.56亿，计划于25Q3启动、建设周期为4年，全部建成后3年内达纲，达纲时年收入约25.2亿元。印尼对美关税19%，且与公司已有的越南、墨西哥、美国基地行成互补，供应链风险进一步降低，有利于海外客户份额提升。盈利预测与估值顾家家居内销在组织调整成效显现与国补的双重拉动下领跑行业，外贸产能转移、影响有限，同时积极推动降本控费、利润率优异，持续推荐。我们预计25/26/27年实现收入200.20/216.69/235.77亿，同比+8.34%/+8.24%/+8.80%，归母净利润19.35/20.86/22.81亿，同比+36.63%/+7.79%/+9.32%，当前市值对应PE为12.94/12.01/10.98 X，维持买入评级。风险提示行业价格竞争加剧，关税影响超预期,,浙商证券,买入,[None],2025-11-07,,买入,7552631,pdf_downloads/2025/2025-11-07/603816-顾家家居（603816）：点评：利润率表现略超预期，内外销齐头并进.pdf,603816,顾家家居,顾家家居（603816）：点评：利润率表现略超预期，内外销齐头并进
"陈伟奇,王兆康,邹会阳,李晶",Q3收入个位数增长，利润增速表现更优。2025Q1-Q3公司实现收入150.1亿元/+8.8%，归母净利润15.4亿元/+13.2%，扣非归母净利润13.9亿元/+13.9%；其中2025Q3实现收入52.1亿元/+6.5%，归母净利润5.2亿元/+12.0%，扣非归母净利润4.9亿元/+11.5%。在地产与消费大环境承压的背景下，三季度公司收入依然延续个位数增长，彰显经营韧性；在产品结构优化与内部降本增效拉动下，Q3利润增速快于收入，盈利表现优异。预计Q3内外贸均延续稳健增长。预计Q3公司内外贸均实现个位数增长，其中内贸增速略快于外贸，内贸中功能沙发预计依然维持较快增速，外贸床垫业务在Q3增长有明显提速。公司内贸零售转型效果逐步显现，零售运营更趋全面、管理颗粒度持续细化，组织变革落地激发各事业部活力，预计Q3顾家品牌与LAZBOY等独立品牌均取得稳健增长；外贸稳定推进全球化布局，逐步落实本地价值链一体化组织建设，目前公司已在越南、墨西哥、美国等地建立生产基地，对冲关税风险，并通过跨境电商和自主品牌OBM积极开拓新增长极，非美市场拓展顺利。费用控制优异，盈利能力持续提升。2025Q3公司毛利率31.4%/+1.6pct，毛利率提升预计主要系公司KBS精益生产与效本费工作持续收获成效；Q3公司销售/管理/研发/财务费用率分别为13.8%/1.4%/2.2%/0.1%，同比为-0.2pct/-0.3pct/+0.7pct/-0.6pct，费用结构持续优化，Q3销售与管理费用率下降，研发费用率增加主要系对功能化与智能化产品的投入力度加大；Q3公司净利率9.9%/+0.5pct。风险提示：政策效果不及预期，消费复苏不及预期；地产销售竣工不及预期；行业竞争格局恶化；海外关税政策扰动。投资建议：维持盈利预测，维持“优于大市”评级。看好软体家居龙头稳健增长，转型变革、品类扩充、提效增益，内贸零售企稳向好，外贸具备较强韧性。维持盈利预测，预计2025-2027年归母净利润分别为18.7/20.5/22.5亿，同比+31.8%/+9.7%/+9.7%，摊薄EPS=2.3/2.5/2.7元，对应PE=13.5/12.3/11.2x，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-11-04,,买入,7390991,pdf_downloads/2025/2025-11-04/603816-顾家家居（603816）：2025年三季报点评：Q3内外贸延续稳健增长，彰显经营韧性.pdf,603816,顾家家居,顾家家居（603816）：2025年三季报点评：Q3内外贸延续稳健增长，彰显经营韧性
"姜文镪,李晨",事件：公司发布2025年三季报。2025Q1-3公司实现收入150.12亿元（同比+8.8%），归母净利润15.39亿元（同比+13.2%），扣非归母净利润13.89亿元（同比+13.9%）；单Q3实现收入52.11亿元（同比+6.5%），归母净利润5.18亿元（同比+12.0%），扣非归母净利润4.89亿元（同比+11.5%）。内销：零售转型效果显现，产品创新驱动增长。Q3国补节奏波动明显、各地落地幅度不一，我们预计公司内销凭借零售转型，仍可实现小幅增长，其中功能沙发依托迭代加速、技术创新有望加速成长，床垫、定制等潜力业务均实现稳健增长。存量时代家居企业商业模式亟待重塑，在产品开发、渠道管理、品牌营销上率先完成革新的公司或通过市场份额提升再次实现增长。公司作为软体龙头，聚焦整家战略与软体创新，继续向“综合家居零售运营商”转型，我们预计Q4旺季高基数下仍有望实现平稳增长，抗风险能力突出。外销：全球布局完善，出口多元化增长。公司目前已在越南、墨西哥、美国等地建立生产基地（新增印尼规划），并通过跨境电商和自主品牌OBM业务开拓新增长极。面临全球贸易摩擦加剧，我们预计公司凭借完善海外基地布局、加速抢占全球份额，Q3外销有望实现平稳增长。此外，我们预计美国下游客户Q4销售旺季加速补库，关税缓和预期下，公司Q4外销订单有望边际持续改善。盈利稳步提升，营运能力稳定。2025Q3公司毛利率为31.4%（同比+1.6pct），归母净利率为9.9%（同比+0.5pct）。Q3期间费用率为17.5%（同比-0.4pct），其中销售/研发/管理/财务费用率分别为13.8%/2.2%/1.4%/0.1%（同比分别-0.2pct/+0.7pct/-0.3pct/-0.7pct）。存货/应收账款/应付账款周转天数分别为55.5天/28.8天/44.6天（同比分别+1.6天/+1.8天/-2.9天）；单Q3经营性现金流净额为7.61亿元（同比-1.62亿元）。盈利预测：我们预计2025-2027年公司归母净利润分别为19.8/22.4/25.6亿元，对应PE为12.8X/11.3X/9.9X。风险因素：房地产市场低迷、市场竞争加剧、贸易摩擦风险。,,信达证券,,[None],2025-11-02,,,7237096,pdf_downloads/2025/2025-11-02/603816-顾家家居（603816）：逆势扩张、全球布局，龙头韧性凸显.pdf,603816,顾家家居,顾家家居（603816）：逆势扩张、全球布局，龙头韧性凸显
"刘佳昆,毛宇翔",调整盈利预期，维持“增持”评级。考虑下游需求趋势的不确定性，我们调整公司盈利预期，预计公司2025-2027年EPS为2.27/2.45/2.59元（原为2.35/2.46/2.57元），参考行业估值水平，考虑公司作为国内家具龙头，渠道变革红利持续兑现，同时进一步拓展海外业务，灵活应对外贸环境，给予公司2026年15xPE，上调目标价至36.25元，维持“增持”评级。2025Q3内贸收入稳健增长。我们预计2025Q3公司内销中个位数增长，其中沙发实现双位数增长，卧室产品及定制产品个位数增长，增长主要得益自身组织变革落地、激发经营主体的活力。公司布局乐活分销/整装渠道/购物中心等多元化渠道，通过投顾转投系统实现公域流量闭环。同时，公司仍保持渠道端的稳步建设，截至2025H1公司融合大店377家，积极布局购物中心渠道，已进驻万达广场等优质商业项目，坪效优化确立内销标杆模式，也打开品牌出海新范式。外贸收入韧性突出、风险应对能力持续提升。我们预计2025Q3外贸营收实现个位数增长，增速略低于内销。其中沙发实现个位数增长。公司越南及墨西哥产能覆盖率持续提高，风险抵御能力提升；对美风险敞口稳定，越南承担税率影响有限，同时国内订单顺利向海外基地转移。毛利率增长带动利润表现亮眼。2025Q3归母净利率10.45%，同比+0.80pct；扣非净利率9.38%，同比+0.42pct；毛利率31.42%，同比+1.62pct，我们预计毛利率提升主要系规模效应释放叠加24年同期低基数，此外降本控费也有贡献；2025Q3公司销售/管理/研发/财务费用率13.82%/1.42%/2.21%/0.07%，同比-0.17pct/-0.31pct/+0.74pct/-0.65pct。风险提示：原材料价格持续上涨，下游消费需求不及预期等。,,国泰海通,增持,[None],2025-10-30,,买入,7023255,pdf_downloads/2025/2025-10-30/603816-顾家家居（603816）：Q3 业绩表现亮眼，内部变革持续兑现.pdf,603816,顾家家居,顾家家居（603816）：Q3 业绩表现亮眼，内部变革持续兑现
"陈柏儒,韩勉",核心观点事件：2025年前9月公司实现营收150.1亿元，同比+8.8%，归母净利润15.4亿元，同比+13.2%；其中但25Q3实现营收52.1亿元，同比+6.5%，归母净利润5.2亿元，同比+12.0%。核心品类优势稳固，功能沙发引领行业革新：报告期内，公司核心品类“功能性沙发“持续创新，贡献稳定收入来源。公司10月发布舒展零重力体验沙发——云舒、赫兹零重力Pro版、智境三款旗舰产品，并发布全栈自研K-TRON® Space Z功能架，进一步强化舒展零重力体验，并解决了沙发背部、底部清洁不便等痛点，引领行业从“产品功能堆砌”向“精准把握用户需求，更舒适、更放松”的方向深刻变革。在“综合家居零售运营商”的目标引领下，公司其余品类亦稳步成长，全品类、多元渠道布局下，公司产品力持续改善，运营效率稳步提升，收入结构持续优化。内贸企稳突围，外贸构建新增量：内贸方面，公司深度融合软体和新品类与整家战略，全品类布局日益完善，对零售终端的管控力持续加强，在下游需求承压背景下，业绩仍实现逆势扩张；外贸方面，全球化产能布局持续完善，公司9月公告拟在印尼投资11.24亿元建设海外生产基地，总体建设周期计划为4年，建设期内部分产线陆续投产，预计在全部建成后的3年内达纲，达纲时预计实现年营业收入约25.20亿元。经营业绩稳健，核心财务指标全面向好。25年前9月公司毛利率32.4%，同比+0.5pct；管理费用率和销售费用率分别为1.6%/15.6%，同比分别-0.6pct/-0.3pct。25年前9月公司净利率10.2%，同比+0.4pct；其中单25Q3净利率10.0%，同比+0.49pct。投资建议：公司为软体家居龙头，核心品类收入增长呈现韧性，全品类布局日益完善、渠道改革红利逐步显现。预计公司2025 / 2026 / 2027年EPS分别为2.32 / 2.57 / 2.77元，10月27日收盘价30.5元对应PE为13X / 12X /11X，维持“推荐”评级。风险提示：家居消费需求不及预期的风险，市场竞争加剧的风险。,,银河证券,推荐,[None],2025-10-30,,买入,7029121,pdf_downloads/2025/2025-10-30/603816-顾家家居（603816）：盈利能力稳步提升，品牌长期价值凸显.pdf,603816,顾家家居,顾家家居（603816）：盈利能力稳步提升，品牌长期价值凸显
"徐偲,余倩莹","主要观点：事件：公司发布2025年第三季度报告公司发布2025年第三季度报告，2025年前三季度实现营业收入150.12亿元，同比增长8.77%；实现归母净利润15.39亿元，同比增长13.24%。单季度来看，2025年第三季度实现营业收入52.11亿元，同比增长6.5%；实现归母净利润5.18亿元，同比增长11.99%。25Q3毛利率同比提升，盈利能力提升2025年前三季度公司毛利率为32.38%，同比+0.50pct；销售/管理/研发/财务费用率为15.64%/1.59%/2.08%/-0.14%，同比-0.30/-0.56/ +0.25/-0.29pct；归母净利率为10.25%，同比+0.4pct。2025年第三季度公司毛利率为31.42%，同比+1.62pct；销售/管理/研发/财务费用率为13.82%/1.42%/2.21%/0.07%，同比-0.17/-0.32/+0.74/-0.65pct；归母净利率为9.94%，同比+0.49pct。投资建设印尼自建基地，持续推进国际化战略为落实国际化战略，加大市场辐射的深度和广度，公司拟使用人民币112,372.85万元投资建设印尼自建基地项目，包括新建生产车间、研发及检测车间、仓库及购置生产设备及其他相关配套设施等。项目计划于2025年三季度启动，项目总体建设周期计划为4年，建设期内部分产线陆续投产，预计在全部建成后的3年内达纲，达纲时预计实现年营业收入约25.20亿元。公司自2018年开启海外基地建设与布局以来，陆续投资建设了越南基地、墨西哥基地及美国基地，这些基地目前已进入常态化运行阶段，为公司海外基地的运营管理积累了丰富的实战经验。公司印尼基地项目能够作为公司进一步深入开拓海外市场的“桥头堡”，借助其政经、地理及成本等优势，更高效地将产品输送到目标市场，有利于扩大公司的业务规模，增加公司营业收入来源，提升公司在国际市场的知名度。投资建议品类方面，公司全品类矩阵持续丰富，传统品类稳健增长，三大高潜品类成长可期。渠道方面，公司持续推进1+N+X渠道战略和区域零售中心改革，并及时调整渠道组织架构，增强渠道发展活力。供应链方面，公司积极推进海外产能布局，深化全球市场发展。我们预计公司2025-2027年营收分别为199.68/214.03/228.74亿元，分别同比增长8.1%/7.2%/6.9%；归母净利润分别为18.25/19.78/21.3亿元，分别同比增长28.9%/8.4%/7.7%；EPS分别为2.22/2.41/2.59元，截至2025年10月27日，对应PE分别为13.72/12.66/11.76倍。维持“买入”评级。风险提示宏观经济与市场波动风险，市场竞争加剧的风险，原材料价格波动风险，经销网络管理风险，国际需求变化风险，汇率波动风险。",,华安证券,买入,[None],2025-10-28,,买入,6902940,pdf_downloads/2025/2025-10-28/603816-顾家家居（603816）：25Q3业绩稳健增长，持续推进国际化战略.pdf,603816,顾家家居,顾家家居（603816）：25Q3业绩稳健增长，持续推进国际化战略
"樊俊豪,刘思奇",2025年10月28日│中国内地 家居用品 公司公布三季度业绩：25Q3收入52.11亿元/同比+6.5%；归母净利润5.18亿元/同比+12.0%，对应归母净利率9.94%/同比+0.5pct。前三季度公司实现收入150.12亿元/同比+8.8%；归母净利润15.39亿元/同比+13.2%，对应归母净利率10.25%/同比+0.4pct。公司25Q3收入延续稳健增长，经营韧性突出，我们预计主要得益于内贸持续稳增及外贸积极开拓；25Q3净利润双位数增长，主要是因为收入规模增长及 “效本费”工作成效显著。展望未来，我们认为公司作为软体家龙头，“结构性创收、质量性增利”战略持续推进，沙发、床垫等业务成长可期，看好公司品牌护城河及全球化发展潜力，维持“买入”评级。内贸：经营韧性突出，我们认为Q3内销保持稳健增长2025年以来，在行业终端需求有待恢复的背景下，公司零售转型持续推进，组织变革落地取得显著成效，各事业部权力下放，充分赋能终端经销商，有效激发经营活力，带动内销经营稳步向上。据公司中报，25H1公司内贸营收52.25亿元/同比+10.7%，我们认为25Q3内贸营收有望保持稳健增长态势。10月17日公司发布公告，拟向特定对象（盈峰集团）发行A股股票，融资金额19.97亿元，募集资金将主要用于AI及零售数字化转型、家居产线智能化技改等方面，我们认为有望本次募资有望提升公司生产和渠道效率，亦有望放大双边业务协同效应。外贸：积极建设海外产能，我们认为Q3外销延续增长态势根据海关总署，25Q3中国家具及零件累计出口额1019亿元/同比+0.5%，行业出口额增速转正（25H1出口额2365亿元/同比-5.7%）。公司在海外市场积极拓展ODM、批发和零售业务，全球化战略持续推进。9月2日，公司发布公告，拟投资11.24亿元于印尼自建基地项目，以满足公司国际市场客户对软体类产品的供应需求，项目总建设周期为4年，预计在全部建成后的3年内达纲，达纲时公司预计实现营收25.2亿元。公司近年来持续深化海外产能布局，提升本地化采购占比，25H1外贸实现营收42.58亿元/同比+9.6%，我们认为25Q3外贸业务将延续增长趋势。“效本费”工作成效显著，盈利能力同比提升25Q1-3公司综合毛利率为32.4%/同比+0.5pct，我们认为主要得益于产品结构优化，相对高毛利率的沙发和卧室产品等收入占比提升。费用端，25Q1-3整体期间费用率19.2%/同比-0.9pct，销售/管理+研发/财务费用率分别为15.6/3.7/-0.1%，同比-0.3/-0.3/-0.3%，销售、管理+研发费用率同比下行，我们判断主要是公司收入规模提升及“效本费”工作持续收获成效所致。综合影响下，25Q1-3归母净利率10.2%/同比+0.4pct。盈利预测与估值我们维持公司盈利预测，预计25-27年归母净利润分别为18.77、20.83、22.93亿元，对应EPS为2.29、2.54、2.79元（前值：2.28、2.53、2.79元，EPS较前值略微变化主要是公司回购导致总股本变化所致）。截至2025年10月27日，Wind可比公司2026年一致预期PE为14倍，考虑公司组织管理能力优秀，零售运营/供应链管理/仓配服等能力优势突出，给予公司25年17倍PE，目标价38.93元（前值38.76元，基于25年17倍PE，总股本因公司回购有所调整，对应目标价略微调整），维持“买入”评级。风险提示：需求恢复不及预期，地产销售下行，贸易合作风险。,,华泰证券,买入,[None],2025-10-28,,买入,6888945,pdf_downloads/2025/2025-10-28/603816-顾家家居（603816）：收入稳健增长，看好全球化布局潜力.pdf,603816,顾家家居,顾家家居（603816）：收入稳健增长，看好全球化布局潜力
"郭美鑫,张潇",报告摘要事件：顾家家居发布2025三季报。前三季度，公司实现营收150.1亿元，同比+8.8%；实现归母净利润15.4亿元，同比+13.2%；扣非净利润13.9亿元，同比+13.9%。单季度看，Q3营收52.1亿元，同比+6.5%；归母净利润5.2亿元，同比+12%；扣非净利润4.9亿元，同比+11.5%。业绩符合预期，内外贸经营稳健。经营效率提升&amp;规模效应释放，盈利持续改善。前三季度，公司实现毛利率32.38%（+0.5pct.），归母净利率10.25%（+0.4pct.），销售/管理/研发/财务费用率分别为15.64%/1.59%/2.08%/-0.14%，同比-0.3pct./-0.56pct./+0.25pct./-0.29pct.。单季度看，Q3毛利率为31.42%（+1.62pct.），归母净利率9.94%（+0.49pct.）。受益于内贸占比提升、经营效率提升、外贸盈利爬坡，公司盈利持续改善，看好Q4趋势延续。分渠道：内外贸增长环比略有回落，整体依旧稳健。分渠道看，1）内销：上半年收入同比+10.6%，我们估算Q3内贸中单增长。2）外销：上半年收入同比+9.5%，我们估算Q3外贸低单增长。分产品：内销沙发增长提速，外贸卧室产品业务持续复苏。1）沙发：上半年收入同比+14.7%，我们估算Q3内销沙发增长提速，功能沙发放量趋势不变。2）卧室产品：上半年收入同比+10.4%，我们估算Q3卧室产品内销增速回落，但外贸持续复苏。3）定制家具产品：上半年收入同比+12.55%，我们估算Q3定制产品低单增长。投资建议：积极关注在拓品&amp;管理优化下内生经营改善的低估企业，提示软体龙头估值修复机会。顾家家居是国内软体家居龙头，内贸坚持以“一体两翼，双核发展”为战略核心，聚焦整家战略与软体创新。同时，坚定全球化布局，外贸盈利持续爬坡。我们预计公司2025-2027年有望实现收入200、217、235亿元，分别同比增长8%、8%、8%，实现归母净利润19.3、21、23亿元，分别同比+36%、+9%、+9%（考虑Q3内销增速边际回落，调整盈利预测，2025-2027年前次预测值收入为201、218、237亿元；归母净利润为19.5、21.2、23.2亿元），EPS为2.35、2.56、2.80元，维持“买入”评级。风险提示：市场竞争加剧风险、经销商管理风险、原材料价格波动风险、渠道拓展不及预期风险,,中泰证券,买入,[None],2025-10-28,,买入,6882150,pdf_downloads/2025/2025-10-28/603816-顾家家居（603816）：经营稳健，业绩符合预期.pdf,603816,顾家家居,顾家家居（603816）：经营稳健，业绩符合预期
