author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖",3月5日，公司发布重大资产购买预案，以支付现金方式向HiwingluxS.A.和IEEInternationalElectronics&amp;EngineeringS.A.等2名交易对方购买其持有的AC公司100%股权及TIS公司0.003%股权，TIS公司系AC公司之子公司，AC公司直接持有TIS公司99.997%股权，收购完成后，公司将控制AC公司及其控股的TIS公司的100%股权。国信电子观点：1）公司发布重大资产购买预案，预计收购AC公司及其控股公司TIS公司的股权，AC公司是法国EMS的领导者，是欧洲第9大EMS供应商，全球第47大EMS供应商，为法雷奥、IEE、雷诺、施耐德等国际知名客户提供汽车电子、工业控制等领域的电子制造服务。收购AC公司将进一步完善公司在汽车电子领域的业务布局，扩大公司汽车电子业务规模。2）AC公司成立于2015年，其生产制造服务主要由四个子公司MSL、BMS、TIS和GDL完成，AC公司业务区域主要分布在欧洲、美洲、非洲等地。收购AC公司将进一步拓展公司业务全球化版图，公司将在欧洲、北非和北美拥有生产制造基地。3）我们认为，收购AC公司及TIS公司股权有助于公司进一步深化在汽车电子领域的技术储备，有望扩大公司汽车电子领域的业务规模，同时进一步拓展公司全球化版图。由于公司需要为客户采购原材料的业务模式占比不断提高，导致利润率波动，预计2024-2026年营业收入70.45/88.05/109.19亿元(前值2024-2025年66.72/84.02亿元)，归母净利润2.4/3.2/4.4亿元(前值2024-2025年5.11/6.35亿元)，当前股价对应PE分别为110.5/81.7/59.9倍，维持“优于大市”评级。评论：发布重大资产购买预案，全球化布局初步完成3月5日，公司发布重大资产购买预案，以支付现金方式向HiwingluxS.A.和IEEInternationalElectronics&amp;EngineeringS.A.等2名交易对方购买其持有的AC公司100%股权及TIS公司0.003%股权，TIS公司系AC公司之子公司，AC公司直接持有TIS公司99.997%股权，收购完成后，公司将控制AC公司及其控股的TIS公司的100%股权。公司持续深耕制造领域，致力于成为全球领先的EMS企业，在广东惠州、浙江嘉兴、上海、印度、越南、孟加拉均设有制造基地。对AC公司收购完成后，公司将在欧洲、北非和北美拥有自己的生产制造基地。AC公司业务聚焦于汽车电子，业务区域主要分布在海外AC公司主要从事电子制造服务业务，聚焦于汽车电子领域，并在电气、家电和医疗器械等制造业领域具有一定业务规模，为客户提供电子控制模块、电子产品制造及零配件组装服务，业务区域主要分布在欧洲、美洲、非洲等地。AC公司在电子制造服务领域具备较为深厚的技术储备和广泛的客户群体，并与法雷奥、施耐德电气、雷诺等多个领域的客户建立了较为稳定的合作关系，向其提供EMS服务。AC公司为客户提供的主要产品及服务包括交通运输、工业与能源、通信与物联网、医疗等领域的电子控制模块及电子产品制造及零配件组装服务。AC公司的生产制造服务主要由四个子公司MSL、BMS、TIS和GDL来完成，其中，MSL和BMS主要为部分欧洲区域客户提供服务，TIS主要为非洲及其他欧洲区域客户提供服务，GDL主要为美洲客户提供服务。,,国信证券,优于大市,[None],2025-03-24,,买入,5960901,pdf_downloads/2025/2025-03-24/300735-光弘科技（300735）：收购AC公司完善汽车电子布局，全球化版图进一步拓展.pdf,300735,光弘科技,光弘科技（300735）：收购AC公司完善汽车电子布局，全球化版图进一步拓展,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 2.4,
            ""eps"": null,
            ""pe"": 110.5
        },
        {
            ""year"": 2025,
            ""net_profit"": 3.2,
            ""eps"": null,
            ""pe"": 81.7
        },
        {
            ""year"": 2026,
            ""net_profit"": 4.4,
            ""eps"": null,
            ""pe"": 59.9
        }
    ]
}",,110.5,81.7,59.9,,,,,,,,
"韩潇锐,薛宏伟",核心观点盈利能力短期承压，营收持续增长。受益消费电子景气度回暖以及公司汽车电子业务高增，公司24年前三季度营收大幅增长，取得营收52亿元，同比增长50%，尤其汽车电子业务24H1收入已超23年全年。消费电子业务受业务模式影响毛利率有所下滑，伴随公司海外印度等基地产能释放，业务模式逐步从来料加工变为买料交付的模式，进而导致毛利率有所下滑。汽车电子业务则是由于前期投入较大，导致毛利率短期承压。产能方面，公司全球化产能布局持续深化，印度、越南等基地持续扩产，同时国内坪山制造园预计在25年中逐步投入使用，全部达产后将实现年新增整机产品数千万台，涵盖智能手机/平板、智能穿戴、汽车电子、新能源等产品。外延加码汽车电子业务，第二增长曲线显现。公司此前公告拟向特定对象增发不超过10.3亿元用于收购汽车电子EMS服务商 AC 公司 100%股权和 TIS 工厂0.003%股权。AC公司聚焦汽车电子EMS服务，为客户提供电子控制模块、电子产品制造及零配件组装服务，业务分布于欧洲、美洲、非洲等地，并与法雷奥、雷诺、施耐德电气、拜耳等多个领域的客户建立了较为稳定的合作关系。根据公告AC公司23年营收33亿元，净利润0.54亿元，24H1营收16亿元，小幅亏损近0.2亿元。收购完成后，公司将控制 AC 公司及其控股的TIS 工厂的 100%股权，有望显著增厚公司汽车电子业务。光弘现有汽车客户包括法雷奥、华为、小米等，提供包括智能电力、智能驾驶、智能座舱、智能车控等多个领域产品的制造服务，此次收购也有望进一步拓展公司汽车电子业务产品线与客户群助力打造第二增长曲线。我们预测公司24-26年每股收益分别为0.33/0.45/0.65元（原24-25年预测分别为0.70/0.93元，主要下调主营业务的毛利率），根据DCF估值法，给出目标价30.90元，给予增持评级。风险提示主要客户销量不达预期；行业景气度恢复不及预期；海外产能进展不达预期；汽车业务毛利率不及预期；市场波动或致估值偏差。,,东方证券,增持,[None],2025-02-01,下调评级,增持,5908809,pdf_downloads/2025/2025-02-01/300735-光弘科技（300735）：外延加码汽车电子，打造第二增长曲线.pdf,300735,光弘科技,光弘科技（300735）：外延加码汽车电子，打造第二增长曲线,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.33,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.45,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.65,
            ""pe"": null
        }
    ]
}",,,,,,,,0.33,0.45,0.65,,
胡杨,深耕EMS行业多年，多元业务布局业绩实现高速增长公司主要为客户提供完整的电子制造服务（EMS），包含PCBA和成品组装等环节。公司以消费电子为基础，拓展了汽车电子、新能源及网络通讯业务，打造多元业务领域，四大业务板块为公司业绩的高速增长提供了支撑。经多年的深耕和发展，公司已成为全球EMS供应商20强，未来公司有望充分发挥规模效应与协同优势，实现高速增长。受益消费电子景气度复苏，海外业务增长可期公司已为华为、荣耀、小米等头部品牌商提供智能手机电子制造服务多年，随着全球消费电子景气度复苏，人工智能技术在智能手机的加速渗透，公司等头部EMS厂商有望深度受益。公司于2018年开始进军海外市场，先后于印度、越南及孟加拉设立生产基地，海外业务实现了飞跃增长，2020-2023年境外收入CAGR达114.36%。考虑印度及东南亚智能手机市场仍处于高速发展阶段，随着公司海外产能的扩建，公司海外业务增长可期。汽车电子业务前景广阔，深度受益汽车电动化和智能化公司布局汽车电子领域20余年，已成功进入知名汽车零部件供应商法雷奥、大陆、电装的供应链，为华为为代表的中国造车新势力提供全方位的汽车电子制造服务。在汽车电动化和智能化的趋势下，新能源汽车渗透率持续提升，单车电子元件价值量快速提升，公司汽车电子业务有望迎来高速增长。投资建议我们预计2024-2026年公司营业收入68.40/82.42/93.82亿元，归母净利润2.12/2.44/3.44亿元，EPS0.28/0.32/0.45元，2024年10月24日收盘价33.83元，PE122.31/106.47/75.56倍，考虑下游消费电子景气度复苏，公司汽车电子业务具备高成长性，首次覆盖给予公司“增持”评级。风险提示下游需求不及预期，EMS行业竞争加剧，产能扩展不及预期。,,华西证券,增持,[None],2024-10-26,,增持,5799877,pdf_downloads/2024/2024-10-26/300735-光弘科技（300735）：国内EMS领先企业，汽车电子业务高速增长.pdf,300735,光弘科技,光弘科技（300735）：国内EMS领先企业，汽车电子业务高速增长,"{
  ""forecasts"": [
    {
      ""year"": 2024,
      ""net_profit"": 2.12,
      ""eps"": 0.28,
      ""pe"": 122.31
    },
    {
      ""year"": 2025,
      ""net_profit"": 2.44,
      ""eps"": 0.32,
      ""pe"": 106.47
    },
    {
      ""year"": 2026,
      ""net_profit"": 3.44,
      ""eps"": 0.45,
      ""pe"": 75.56
    }
  ]
}",,,122.31,106.47,75.56,,,,0.28,0.32,0.45,
"胡剑,胡慧,周靖翔,叶子",事项：2月29日，公司发布关于“质量回报双提升”行动方案的公告，并从“深耕主业，助推高质发展”“砥砺前行，持续提升企业竞争力”“规范运作，持续完善治理结构”“加强信披，坚持以投资者为本”“共享成果，积极回报投资者”五大方面制定对应具体举措。国信电子观点：1）公司“质量回报双提升”行动方案从主业发展、技术研发、公司治理、信息披露、股东回报等五个维度制定具体措施，切实践行以投资者为本的上市公司发展理念，维护投资者利益，推动提升公司全体股东利益。我们认为该行动方案的发布及相关举措有望切实提升公司核心竞争力、公司质量和投资价值。2）在消费电子方面，公司已进入华为、荣耀、小米、三星、OPPO等全球知名品牌商和华勤技术、龙旗科技、闻泰通讯等领先ODM企业的供应链。华为新品催化各终端品牌积极备货、消费电子行业开启全面复苏周期，公司3-4Q23稼动率将环比加速改善。同时，公司有力支撑本土品牌出海，已成为印度市场重要EMS代工产能。智能手机安卓产业链复苏将带动公司业绩增长。3）在汽车业务方面，公司为华为为代表的的中国造车新势力提供汽车电子制造服务。24年1月问界全系交付3.3万辆，成为中国新势力月销冠军。根据互动易，公司一直是HUAWEI汽车电子的合作伙伴，为客户提供诸多畅销智能汽车所涉及的汽车电子部件的制造服务，1H23公司汽车电子营收已超过2022全年，华为汽车业务高速增长，公司作为华为汽车核心供应商有望深度受益。4）考虑到公司手机业务受益安卓产业链复苏，同时汽车业务快速拓展，加速导入新客户、新项目，我们维持公司业绩预期，预计2023-2025年营业收入53.30/66.72/84.02亿元(无调整)，归母净利润4.2/5.1/6.4亿元(无调整)，当前股价对应PE分别为38.4/31.2/25.1倍，维持“买入”评级。评论：制定“质量回报双提升”行动方案，提升公司核心竞争力及投资价值2月29日，公司发布关于“质量回报双提升”行动方案的公告，从五大方面制定具体举措，提升公司核心竞争力，公司质量和投资价值。此前，2023年7月24日，中央政治局会议提出要活跃资本市场、提振投资者信心；2024年1月22日，国常会指出要大力提升上市公司质量和投资价值，要采取更加有力有效措施，着力稳市场、稳信心。公司产品获客户认可，已进入各细分领域知名企业供应链,,国信证券,买入,[None],2024-03-03,,买入,5530499,pdf_downloads/2024/2024-03-03/300735-光弘科技（300735）：制定“质量回报双提升”行动方案，提升公司核心竞争力及投资价值.pdf,300735,光弘科技,光弘科技（300735）：制定“质量回报双提升”行动方案，提升公司核心竞争力及投资价值,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 6.4,
            ""eps"": null,
            ""pe"": 25.1
        }
    ]
}",,,,25.1,,,,,,,,
"胡剑,胡慧,周靖翔,叶子",受益新机集中发布，3Q23营收同、环比大幅增长。公司3Q23实现营收16.8亿元（YoY+86%，QoQ+54%），实现归母净利润1.1亿元（YoY+87%，QoQ+27%）。业绩同比高增长主要得益于华为Mate60系列受到市场高度欢迎，“鲇鱼效应”带动其他安卓系手机品牌积极备货，公司主要客户荣耀、小米、华为等订单量持续增长，各基地的产能利用率都处于较高水平，叠加汽车业务快速放量。盈利能力方面，三季度毛利率略降主要由于买料占比提升，3Q23毛利率17.5%（YoY-1.9pct，QoQ-1pct）。公司是华为汽车供应商，汽车电子业务高速增长。公司已成功进法雷奥、大陆电子、日本电装等全球前十大汽车零部件供应商的供应链体系，同时也是华为汽车的核心供应商之一，为客户提供各类传感器、汽车行驶数据记录系统、智能座舱硬件、电源管理系统等汽车电子部件，产品已广泛应用于宝马、奥迪、大众、特斯拉、日产、吉利等中外知名汽车品牌。公司现有汽车电子客户的业务规模不断提升，同时持续导入增量客户，预计未来几年公司汽车电子业务有望以成倍速度增长，成为公司新的营收支柱。印度稀缺产能释放，手机订单饱满。3Q23公司由于订单持续增长，生产线满负荷运转，启动了大规模的人才招聘。公司2021年整机产量大约6500万部，随着三期和四期基地产能增长，峰值产能以CAGR25%-30%增长，今年印度的工厂也实现了产能的大幅提升，越南基地也正加紧扩建，截至2023年9月，公司全球制造基地每年可为客户提供超过1.2亿部智能手机或同类电子终端的制造能力。投资建议：维持“买入”评级。预计2023-2025年归母净利润4.2/5.1/6.4亿元，同比增速38/23/24%；摊薄EPS=0.54/0.66/0.82元，当前股价对应PE=48/40/32x。我们看好公司手机业务受益安卓产业链复苏，同时汽车业务快速拓展，加速导入新客户、新项目，维持“买入”评级。风险提示：消费电子复苏不及预期；汽车电子成长不及预期。,,国信证券,买入,[None],2023-11-27,,买入,5402672,pdf_downloads/2023/2023-11-27/300735-光弘科技（300735）：华为核心供应商，海外稀缺产能爆单.pdf,300735,光弘科技,光弘科技（300735）：华为核心供应商，海外稀缺产能爆单,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": 4.2,
            ""eps"": 0.54,
            ""pe"": 48
        },
        {
            ""year"": 2024,
            ""net_profit"": 5.1,
            ""eps"": 0.66,
            ""pe"": 40
        },
        {
            ""year"": 2025,
            ""net_profit"": 6.4,
            ""eps"": 0.82,
            ""pe"": 32
        }
    ]
}",,,48.0,40.0,32.0,,,,0.54,0.66,0.82,
"蒯剑,李庭旭,韩潇锐","三季度业绩超预期，营收利润同环比高增。公司23Q3 取得营收16.8亿元，同比增长86%，环比增长54%；归母净利润1.1亿元，同比增长87%，环比增长27%。业绩增长主要受益于随着手机等消费电子产品复苏叠加传统旺季的到来和新项目的不断导入落地，公司主要客户荣耀、小米、华为等订单量持续增长，各基地的产能利用率都处于较高水平，叠加第二增长曲线汽车业务快速放量，助力公司业绩同环比持续增长。三季度毛利率略降主要由于买料占比的提升，Q3毛利率17.5%，同比下降1.9pct，环比下滑1pct。受益手机订单回暖，积极扩大国际版图。根据Canalys数据，23Q3全球智能手机单季出货量同比仅下滑1%,下滑幅度收窄，IDC等机构也预测24年起全球智能手机出货量将重回正增长，公司背靠主流安卓品牌有望深度受益。同时公司于越南，印度、孟加拉等地分设生产基地，逐步释放各地产能，为后续业务发展、战略合作保驾护航。伴随小米、OPPO等客户需求的增长，印度光弘进行了产能扩建，随着新产能的落地，8月印度光弘手机月度出货量达到250万台，创历史新高。而越南光弘自建厂房自22年底启用以来，已开始为包括亚马逊、昱能科技在内的客户提供各类高端消费、安防、新能源等领域产品的制造服务，产能多元化、全球化布局为后续业务发展、战略合作保驾护航。汽车电子业务持续高增。公司已成功进法雷奥、大陆电子、日本电装等全球前十大汽车零部件供应商的供应链体系，为客户提供各类传感器、汽车行驶数据记录系统、智能座舱硬件、电源管理系统等汽车电子部件，产品已广泛应用于宝马、奥迪、大众、特斯拉、日产、吉利等中外知名汽车品牌。公司现有汽车电子客户的业务规模不断提升，同时持续导入增量客户，预计未来几年公司汽车电子业务有望以成倍速度增长，成为公司新的营收支柱。我们预测公司23-25年每股收益分别为0.52/0.70/0.93元（原23-24年预测分别为 0.61/0.76元，主要下调消费电子业务营收及毛利率，下调财务费用，上调少数股东损益），根据可比公司23年59倍PE估值，对应目标价30.68元，维持买入评级。风险提示主要客户销量不达预期；国际环境变化的风险；海外产能进展不达预期；汽车业务毛利率不及预期。",,东方证券,买入,[None],2023-11-02,,买入,5374744,pdf_downloads/2023/2023-11-02/300735-光弘科技（300735）：受益需求回暖，Q3营收利润同环比高增.pdf,300735,光弘科技,光弘科技（300735）：受益需求回暖，Q3营收利润同环比高增,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": null,
            ""eps"": 0.52,
            ""pe"": null
        },
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.70,
            ""pe"": null
        },
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.93,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.52,0.7,0.93,
"胡剑,胡慧,周靖翔,李梓澎,叶子",2022年营收同比增长16.0%，归母净利润同比下降14.6%。2022年公司营收41.80亿元(YoY+16.0%)，归母净利润3.01亿元(YoY-14.6%)；1Q23营收6.89亿元(YoY-35.7%)，归母净利润3703万元(YoY-20.4%)。2022年地区战争、汇率波动、海外通胀等因素造成消费电子需求波动，公司在稳定原有消费电子主业的基础上，积极拓展汽车电子、新能源等新业务，实现营收同比两位数增长；2022年归母净利润同比下滑主要系手机等消费电子业务产能利用不饱和、新业务处于投入期所致。根据公司2023年度财务预算报告，2023年公司营收预计同比增长15-40%，净利润预计同比增长15-40%。新业务处于投入期，22年、1Q23毛利率分别同比下滑1.98、2.16pct。2022年公司毛利率18.56%(YoY-1.98pct)，净利率7.20%(YoY-2.58pct)；1Q23毛利率15.65%(YoY-2.16pct)，净利率5.37%(YoY+1.04pct)。毛利率同比下滑主要系：1)终端需求疲软，消费电子业务产能利用不饱和；2)汽车电子、新能源等新业务仍处于投入期；3)公司承接客户更多物料采购需求，增厚营收的同时拉低利润率。2022年期间费用率9.64%(YoY+0.32pct)，其中销售、管理、研发、财务费用率分别同比变动+0.10、+0.15、-0.16、+0.23pct。汽车电子、新能源等业务取得重大突破。分业务来看，2022年消费电子营收31.19亿元(YoY+15.0%)，毛利率19.4%(YoY-2.5pct)；物联网营收1.99亿元(YoY+30.0%)，毛利率22.9%(YoY+4.7pct)；网络通讯营收5.89亿元(YoY-2.5%)，毛利率10.7%(YoY-3.2pct)；汽车电子营收1.71亿元(YoY+194%)，毛利率20.3%(YoY-15.0pct)，22年公司正式开始承接法雷奥每年2000万片传感器和60万片摄像头组件的订单需求；智能穿戴营收0.17亿元(YoY-69%)，毛利率6.7%(YoY-14.6pct)；新能源营收0.49亿元(YoY+393%)，毛利率32.7%(YoY+13.6pct)，公司将在23年为昱能保供可适配800万块组件的微型逆变器产品，预计23年公司新能源业务有望实现跨越式增长。投资建议：我们看好：1)2023年下半年消费电子订单恢复性增长；2)汽车电子、新能源发力开辟公司中长期的第二成长曲线；3)印度工厂的成功运作、越南及孟加拉国工厂的落地拓展公司全球化布局的市场空间。我们预计公司23/24/25年归母净利润同比增长35.8%/18.8%/18.1%至4.09/4.86/5.74亿元，对应PE分别为18.9/15.9/13.5倍，维持“买入”评级。风险提示：需求不及预期，扩产不及预期，新业务开拓不及预期。,,国信证券,买入,[None],2023-04-27,,买入,5191871,pdf_downloads/2023/2023-04-27/300735-光弘科技（300735）：极布局汽车电子、新能源领域，开辟全新业务增长点.pdf,300735,光弘科技,光弘科技（300735）：极布局汽车电子、新能源领域，开辟全新业务增长点,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": 4.09,
            ""eps"": null,
            ""pe"": 18.9
        },
        {
            ""year"": 2024,
            ""net_profit"": 4.86,
            ""eps"": null,
            ""pe"": 15.9
        },
        {
            ""year"": 2025,
            ""net_profit"": 5.74,
            ""eps"": null,
            ""pe"": 13.5
        }
    ]
}",,,18.9,15.9,13.5,,,,,,,
邹杰,光弘科技(300735)【事项】近日公司公告，根据战略规划及经营发展的需要，通过下属全资子公司光弘集团有限公司购买TTMTECHNOLOGIES的附属公司TTMIOTALIMITED持有的上海快板电子100%股权。经双方协商，TTMIOTA拟转让快板电子100%股权的购买价格初步评估为1180万美元。本次交易完成后，快板电子将纳入公司合并报表范围。【评论】标的公司快板电子成立于1999年，具有20多年的行业经验，主要从事通讯基站背板/中间板组装，电子机械组装，系统集成等全方位业务，为华为、烽火、新华三、诺基亚等客户提供专业的电子联装服务。是全球领先的背板供应商。背板是指在电子系统中用于连接或插接多块单板以形成独立系统的印制电路板，广泛应用于通信核心路由/交换、OTN传送、通信基站、数据中心服务/存储、超级计算机、大型医疗影像设备和航空航天控制系统等复杂电子系统中。快板电子在背板压接工艺上具备深厚的底蕴和技术积累，可以与公司传统的表面贴装(SMT)业务形成优势互补，有助于为客户提供一站式服务，进而取得更多订单。同时，快板电子积累了华为、烽火、新华三、诺基亚等优质客户资源，有助于公司在现有消费电子等领域以外，进一步开拓通讯设备、工业控制等领域业务，创建新的业务增长点。光弘科技是国内领先的EMS企业，专业从事消费电子类、网络通讯类、汽车电子类、新能源类等电子产品的PCBA和成品组装，并提供制程技术研发、工艺设计、采购管理、生产控制、仓储物流等完整服务的电子制造服务(EMS)。目前已成功进入华为、小米、荣耀、法雷奥、宝马中国区等全球知名品牌商供应链。此次收购完成后，光弘科技将进一步拓展进入通信设备、工业控制等领域，综合型电子制造平台的布局逐渐完善，和下游客户的多元化综合发展趋势匹配。公司主要业务仍为消费电子类组装制造，2022年中报显示收入占比超过80%。在疫情等外部因素压制下，2022年下半年以来手机等消费电子市场整体需求承压，导致公司主要下游需求不振，行业处于周期底部。进入2023年，随着外部风险的缓和，经济复苏逐步落地，预计消费电子作为大消费板块的一部分有望逐步复苏，从而带动公司下游需求回暖。届时，公司在行业底部持续拓展的努力，将会为公司在新一轮需求景气周期中表现更大弹性奠定基础。【投资建议】公司深耕消费电子PCBA和成品组装，并逐步拓展进入网络通信、汽车电子、新能源，在行业底部并购继续拓展进入通讯设备、工业控制等领域，待消费电子需求复苏后有望体现更强弹性。预计公司2022-2024年营业收入分别为40.13/53.05/64.94亿元，归母净利润分别为2.52/3.57/5.26亿元，对应EPS分别为0.33/0.46/0.68元，对应PE分别为35/24/17倍，给予“增持”评级。【风险提示】消费电子业务整体需求不及预期；消费电子新产品、新客户拓展不及预期；通信、汽车电子、新能源等其他行业领域拓展不及预期。,,东方财富证券,增持,[None],2023-03-13,,增持,5136947,pdf_downloads/2023/2023-03-13/300735-光弘科技（300735）动态点评：行业底部并购，关注新业务拓展机会.pdf,300735,光弘科技,光弘科技（300735）动态点评：行业底部并购，关注新业务拓展机会,"{
  ""forecasts"": [
    {
      ""year"": 2024,
      ""net_profit"": 5.26,
      ""eps"": 0.68,
      ""pe"": 17
    }
  ]
}",,,,17.0,,,,,,0.68,,
"蒯剑,李庭旭",事件：公司发布三季度业绩报告。消费电子需求疲弱，短期扰动不改长期向上。前三季度公司总营收达30.2亿，同比增长37%，其中Q3实现9.02亿营收，同比下降11%。前三季度归母净利润约2亿元，其中Q3单季归母净利润0.6亿元，同比有所下降。营收和利润小幅下滑主要受到下游消费电子景气度及毛利率短期承压等因素影响。整体来看，公司布局呈现多元化、全球化之势，后续增长动力依然充足。消费电子领域业绩稳固，汽车电子、智能穿戴、新能源等领域业务不断丰富。公司2022H1消费电子领域营收17亿元，同比近翻倍增长。一方面持续为老客户华为多款畅销产品提供支持，华为年度旗舰机MatePadPro项目已量产出货，另一方面导入荣耀、小米等消费电子知名品牌。同时公司多维度产业布局，大力拓展汽车电子、智能穿戴、新能源等领域业务。汽车电子方面，Q2法雷奥项目正式量产，有望逐步放量，此外公司顺利通过BMW两轮车载产品的审核；智能穿戴方面公司已与小米达成合作；新能源方面，公司光伏逆变器、户用储能系统、二轮车电池BMS系统等领域开始量产交付，其中Q3正式交付昱能科技微型逆变器项目，有望受益于新能源产业的蓬勃发展，并优化公司产品及客户结构。积极扩大国际版图，海外市场未来可期。公司于越南，印度、孟加拉等地分设生产基地，逐步释放各地产能，为后续业务发展、战略合作保驾护航。此前，印度光弘上半年维持一百多万台月产量，越南光弘一期自建部分已完成，目前生产小米手机约十万台月产量，正式项目将在Q3、Q4逐渐导入，孟加拉基地手机出货成功达成100万台，目前月产能约二十万台。产能扩张保障增长，有助于公司扩展海外新客户并与现有客户深度合作，使营收实现进一步增长。我们预测公司22-24年每股收益分别为0.47/0.61/0.76元（原22-23年预测分别为 0.75/1.02元，主要考虑受消费电子需求疲软环境下调毛利率预测），根据可比公司22年25倍PE估值水平，对应目标价11.75元，维持买入评级。风险提示主要客户销量不达预期；国际环境变化的风险；海外产能进展不达预期。,,东方证券,买入,[None],2022-11-02,,买入,5037135,pdf_downloads/2022/2022-11-02/300735-光弘科技（300735）：多元化、全球化布局，短期扰动不改长期向上.pdf,300735,光弘科技,光弘科技（300735）：多元化、全球化布局，短期扰动不改长期向上,"{
  ""forecasts"": [
    {
      ""year"": 2022,
      ""net_profit"": null,
      ""eps"": 0.47,
      ""pe"": null
    },
    {
      ""year"": 2023,
      ""net_profit"": null,
      ""eps"": 0.61,
      ""pe"": null
    },
    {
      ""year"": 2024,
      ""net_profit"": null,
      ""eps"": 0.76,
      ""pe"": null
    }
  ]
}",,,,,,,,,0.47,0.61,0.76,
"胡剑,胡慧",上半年营收同比增长77.3%，归母净利润同比增长30.6%。1H22公司营收21.18亿元(YoY+77.3%)，归母净利润1.40亿元(YoY+30.6%)，扣非后归母净利润1.12亿元(YoY+63.4%)；2Q22营收10.46亿元(YoY+54.4%)，归母净利润9366万元(YoY+10.4%)，扣非后归母净利润7705万元(YoY+22.9%)。2020年以来贸易摩擦升温对公司原有大客户华为的订单造成较大冲击，公司一方面通过导入荣耀、小米等新客户填补缺失份额，另一方面布局汽车电子、新能源等产品丰富业务领域，2021年及1H22公司业绩重回增长轨道。公司承接更多物料采购业务，在增厚营收的同时利润率水平有所下降。1H22毛利率19.63%(YoY-3.03pct)，净利率6.62%(YoY-2.37pct)；1Q22毛利率21.50%(YoY-4.92pct)，净利率8.95%(YoY-3.57pct)；公司此前以来料加工模式为主，随着客户及产品结构变化，公司承接部分客户的物料采购环节，在增厚营收的同时拉低了利润率水平。分业务来看，1H22消费电子业务毛利率20.25%(YoY-4.08pct)，网络通讯业务毛利率10.41%(YoY-11.70pct)。积极拓展海外基地，深化全球化布局。随着国际贸易形势的变化和贸易壁垒的兴起，品牌客户在全球化的趋势中越来越多提出本地化制造的要求，2019年公司设立印度工厂，经过2年多的发展成功达成年产2000万部智能手机的目标，22年3月出货量140万部创单月历史新高。在印度工厂成功运作的引领下，公司分别于越南和孟加拉国兴建制造基地，其中越南光弘将打造成年产4000万部智能手机的海外制造中心，一期项目已于3月通过竣工验收。微型逆变器正式交付，进军新能源领域培育增长点。2022年以来公司在汽车电子、新能源领域持续发力，3月公司顺利完成法雷奥项目首批车载雷达传感器的量产及出货，正式开始承接法雷奥每年2000万片传感器和60万片摄像头组件的订单需求；7月公司顺利通过宝马中国区供应链质量代表的审核，成为宝马供应链的一员；8月公司与昱能科技合作的微型逆变器项目首批产品完成量产交付；8月公司与东莞新能安在储能和两轮车BMS方面展开合作。投资建议：维持“买入”评级。我们看好：1)荣耀品牌强势复苏、小米客户海外需求增长带动22年手机业务维持高增长态势；2)印度工厂的成功运作、越南及孟加拉国工厂的落地拓展公司全球化布局的市场空间；3)汽车电子、新能源发力开辟公司中长期的第二成长曲线。我们预计公司22-24年归母净利润同比增长21.2%/20.7%/18.2%至4.27/5.16/6.09亿元，对应PE分别为23.4/19.4/16.4倍，维持“买入”评级。风险提示：需求不及预期，扩产不及预期，新业务、新客户开拓不及预期。,,国信证券,买入,[None],2022-08-30,,买入,4974122,pdf_downloads/2022/2022-08-30/300735-光弘科技（300735）：微型逆变器量产交付，积极拓展汽车电子及新能源业务.pdf,300735,光弘科技,光弘科技（300735）：微型逆变器量产交付，积极拓展汽车电子及新能源业务,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 4.27,
            ""eps"": null,
            ""pe"": 23.4
        },
        {
            ""year"": 2023,
            ""net_profit"": 5.16,
            ""eps"": null,
            ""pe"": 19.4
        },
        {
            ""year"": 2024,
            ""net_profit"": 6.09,
            ""eps"": null,
            ""pe"": 16.4
        }
    ]
}",,,23.4,19.4,16.4,,,,,,,
