author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"张峻豪,柳旭,孙乔容若","公司公告：1月8日，公司独家经销的韩国HuonsBioPharmaCo.,Ltd旗下的注射用A型肉毒毒素产品获药品注册证，销售区域为中国（含中国香港、中国澳门）。国信零售观点：公司此次在约定区域独家经销的肉毒产品获批，填补了在该产品管线领域的空白，通过与现有产品的组合，能为客户提供更全面的综合解决方案，有利于增强公司的核心竞争力。根据公司2025年中报披露数据，公司仍有体重管理及颏下脂肪等多款产品在研，未来上市后也将进一步丰富医美产品管线。总体上，医美消费渗透率仍有较大提升空间。公司一方面自研投入打造新产品线，另外外延并购丰富产品管线，同时也打开国际化业务，为业绩增长提供新的增量。我们维持公司2025-2027年归母净利润预测至15.64/17.94/20.99亿元，对应PE分别为28.2/24.6/21倍，维持“优于大市”评级。评论：肉毒产品落地，分享行业红利及丰富产品管线据公司公告，1月8日，公司独家经销的注射用A型肉毒毒素产品获药品注册证，销售区域为中国（含中国香港、中国澳门）。此次产品方为韩国HuonsBioPharmaCo.,Ltd，公司与韩国HuonsBP在2022年5月20日签订《经销协议》，公司以研发注册方式引进HuonsBP生产的注射用A型肉毒毒素产品。在医美领域，肉毒其机制主要是阻断神经信号传导，使肌肉暂时放松，从而实现外观改善。主要用于动态皱纹减轻、咬肌缩小、瘦脸瘦肩、下颌线条塑等。据弗若斯特沙利文数据，中国肉毒毒素注射的数量从2017年的170万支增长至2021年的450万支，复合年增长率（CAGR）达到27.4%。预计到2026年这一数字将达到1620万。总体市场规模也将进一步扩大，到2030年将达到390亿元人民币。投资建议总体上，医美消费渗透率仍有较大提升空间。公司一方面自研投入打造新产品线，另外外延并购丰富产品管线，同时也打开国际化业务，为业绩增长提供新的增量。我们维持公司2025-2027年归母净利润预测至15.64/17.94/20.99亿元，对应PE分别为28.2/24.6/21倍，维持“优于大市”评级。风险提示在研项目进度不及预期；终端销售不及预期；新进入者竞争加剧等市场风险。相关研究报告：《爱美客（300896.SZ）-三季度业绩承压，后续关注新医美产品进展》——2025-10-29《爱美客（300896.SZ）-中报业绩有所承压，医美产品矩阵丰富奠定长期增长潜力》——2025-08-19《爱美客（300896.SZ）-业绩一季度增长承压，海外并购有望打开新增长空间》——2025-04-25《爱美客（300896.SZ）-整体业绩增长稳健，外延并购强化产品布局和国际业务》——2025-03-20《爱美客（300896.SZ）-收购韩国医美企业，强化再生材料和国际化布局》——2025-03-11",,国信证券,优于大市,[None],2026-01-09,,买入,8320809,pdf_downloads/2026/2026-01-09/300896-爱美客（300896）：肉毒产品落地，进一步丰富医美产品管线.pdf,300896,爱美客,爱美客（300896）：肉毒产品落地，进一步丰富医美产品管线,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 15.64,
            ""eps"": null,
            ""pe"": 28.2
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.94,
            ""eps"": null,
            ""pe"": 24.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 20.99,
            ""eps"": null,
            ""pe"": 21
        }
    ]
}",,28.2,24.6,21.0,,,,,,,,
"孟科含,孙旭东",事件爱美客发布2025Q3业绩。点评受消费环境影响收入短期相对承压。2025Q3，公司实现收入5.7亿元（-21.3%），实现归母净利润3.0亿元 （-34.6%），扣非归母净利润2.5亿元（-42.4%）。2025年前三季度，公司实现收入18.6亿元（-21.5%），实现归母净利润10.9亿元（-31.1%），扣非归母净利润9.8亿元（-36.2%），对应扣非归母净利率52.4%（-12.1pp）。受盈利规模承压影响，费用率有所提升。2025年前三季度，公司销售费用率为11.0%（+2.1pp），管理费用率为4.9%（+0.2pp），研发费用率为10.1%（+3.3pp）。研发实力雄厚，关注拟收购标的韩国REGEN的产能释放和业绩爬坡，2026年有望对公司收入和利润构成显著贡献。2025年3月10日，公司公告拟收购韩国REGEN 85%的股权，对价1.9亿美金（整体股权价值2.24亿美金），并获得AestheFill （面部抗衰除皱）与PowerFill（身体塑形和皮肤改善）两个上市产品。2024年1-9月，标的公司收入7223万元，净利润2950万元。根据公司公告，为满足市场需求，公司正扩建产能。我们认为，该拟收购标的有望对公司中长期业绩增长构成重要贡献。此外，2025年9月29日，公司公告取得国家药品监督管理局核准签发的规格分别为 2%和 5%的米诺地尔搽剂《药品注册证书》，有利于进一步丰富公司产品矩阵。风险医美行业政策性风险，宏观环境影响医美行业景气度。,,海通国际证券,,[None],2025-11-21,,,8163607,pdf_downloads/2025/2025-11-21/300896-爱美客（300896）：25Q3短期业绩承压，看好创新品种落地及出海.pdf,300896,爱美客,爱美客（300896）：25Q3短期业绩承压，看好创新品种落地及出海,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 10.9,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
"吴东炬,胡皓寒",爱美客发布2025Q3报告，2025Q3营业收入/归母净利润/扣非后归母净利润为5.66/3.04/2.55亿元，同比分别下降21.27%/34.61%/42.37%。2025Q3爱美客完成对REGEN交割，旗下子公司米诺获证。据公司公告，截至2025年9月29日，爱美客全资子公司北京诺博特生物科技有限公司收到国家药品监督管理局核准签发的规格分别为2%和5%的米诺地尔搽剂《药品注册证书》，2%规格用于治疗男性型脱发和斑秃；5%规格仅限男性使用，用于治疗男性型脱发和斑秃。截至2025年9月10日，爱美客国际已完成韩国REGEN项目100％交易对价款的支付，本次收购韩国REGEN控股权项目已经完成交割，爱美客国际已取得韩国相关部门颁发的大法院登记证明和外国投资者登记证明，公司实际取得韩国REGEN59.5％股权。REGEN已获批上市的产品主要包括：AestheFill与PowerFill。两个产品的主要成分均为PDLLA微球和羧甲基纤维素钠。其中AestheFill主要应用面部；PowerFill主要应用身体。本次交易有利于爱美客拓展国际市场，夯实公司在医美注射填充产品市场的领先优势，增强公司未来盈利能力及核心竞争力。费用提升，利润暂时承压。2025Q3爱美客毛利率/净利率分别为93.19%/55.88%，同比分别下降1.36/8.66pct，净利率下降主因费用率提升，其中销售/管理/研发/财务费用率分别为15.37%/8.82%/14.30%/0.07%，同比分别增加6.38/5.52/5.72/0.59pct，管理/财务费用率增加分别主因人工费以及咨询服务费增加/以外币投资产生的汇兑损失。投资建议2025年行业增速有所放缓，但未来增长的核心驱动力来源于居民对医美接受度的持续提升，消费者需求从尝试体验向追求更自然、长效、安全的产品进行转变，同时监管趋严有利于正规产品发展。公司完成对韩国Regen的收购，新产品逐渐落地，逐步从中国市场走向全球市场，公司始终坚持深耕美丽健康领域，因此我们预计2025-2027年公司净利润分别为14.16/16.95/19.38亿元，对应EPS分别为4.68/5.60/6.40元，对应11月10日收盘价为156.50元/股，对应PE为33/28/24倍，首次覆盖，给予公司“增持”评级。风险提示行业竞争加剧；产品研发生产不及预期。,,甬兴证券,增持,[None],2025-11-12,,增持,7635903,pdf_downloads/2025/2025-11-12/300896-爱美客（300896）：点评报告：短期承压，静待外延并购效果显现.pdf,300896,爱美客,爱美客（300896）：点评报告：短期承压，静待外延并购效果显现,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 14.16,
            ""eps"": 4.68,
            ""pe"": 33
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.95,
            ""eps"": 5.60,
            ""pe"": 28
        },
        {
            ""year"": 2027,
            ""net_profit"": 19.38,
            ""eps"": 6.40,
            ""pe"": 24
        }
    ]
}",,,33.0,28.0,24.0,,,,4.68,5.6,6.4,
汤秀洁,事项：业绩一览：市场竞争加剧业绩承压，盈利韧性凸显。2025Q1-Q3总营收18.65亿（同比-21%，下同），归母净利10.93亿（-31%），扣非净利9.76亿（-36%）。毛利率93.4%（-1.4pp），净利率59.4%（-7.4pp），销售/管理/研发费用率分别为12.4%/6.4%/12.7%（同比分别+3.7pp/+2.5pp/+4.8pp）。单季度看，25Q3实现营收5.66亿元(-21%)，归母净利润3.04亿元(-35%)，扣非归母净利润2.55亿元(-42%)。毛利率93.2%（-1.4pp），净利率55.9%（-8.7pp），销售/管理/研发费用率分别为15.4%/8.8%/14.3%，同比分别+6.4pp/+5.5pp/+5.7pp，收入下滑，销售、管理、研发费用率均显著提升。医美消费疲软叠加市场竞争加剧，业绩短期承压。评论：外延并购落地，开启全球化平台战略：公司完成对韩国Regen公司的收购，此举带来双重增长潜力：1）并表增厚业绩，Q3财报商誉大幅增加493%至16.51亿；2）借助AestheFill和Powerfill覆盖全球35个和23个国家和地区的渠道，为嗨体等自研产品出海铺路，迈向国际化。研发管线稳步推进，新品周期蓄势待发：新研发管线是支撑未来内生增长的核心，公司持续高强度的研发投入（前三季度研发费用2.37亿元，同比增长26.7%）有望迎来回报，新产品周期有望打开。1）医用透明质酸钠-羟丙基甲基纤维素凝胶：为满足增加新填充部位的适应症，满足多元化的市场需求而进行项目研发，目前已进入注册申报阶段；2）肉毒素：注射用A型肉毒毒素上市申请稳步推进，已进入注册申报阶段，目前已提交发补、在审评中。肉毒素作为医美市场容量最大的品类之一，其上市将为公司贡献显著的业绩增量，并与现有填充、再生类产品形成协同效应，完善公司的产品组合。3）司美格鲁肽注射液：已进入临床试验阶段；4）米诺地尔搽剂：9月已获批。25年9月爱美客全资子公司诺博特收到国家药品监督管理局核准签发的规格分别为2%和5%的米诺地尔搽剂《药品注册证书》。2%规格用于治疗男性型脱发和斑秃；5%规格仅限男性使用，用于治疗男性型脱发和斑秃。药品注册证的取得，丰富了公司产品类别，有利于增强公司的核心竞争力。投资建议：爱美客作为医美注射剂龙头，短期业绩承压系消费环境疲弱与竞争加剧所致，长期看“新品迭代+国际化并购+研发壁垒”的协同效应逐步显现。随着REGEN海外渠道贡献增量、肉毒素等新管线落地，业绩有望逐步复苏。我们预计25-27年爱美客归母净利润分别为15.00、16.01、17.51亿元（前值为16.2、20.4、23.5亿元，依据25年Q3业绩调整），当前股价分别对应32、30、27倍PE，考虑到未来肉毒素/减肥针/重组蛋白等产品管线落地业绩确定性较高，参考可比公司估值及公司历史PE，给26年业绩32倍PE，对应目标估值512亿元，目标价169.36元，维持“推荐”评级。风险提示：市场竞争加剧/新品推广不及预期/并购整合不及预期/重大仲裁等。,,华创证券,推荐,[None],2025-11-03,,增持,7344130,pdf_downloads/2025/2025-11-03/300896-爱美客（300896）：2025年三季报点评：短期业绩承压，外延并购打开长期空间.pdf,300896,爱美客,爱美客（300896）：2025年三季报点评：短期业绩承压，外延并购打开长期空间,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 15.00,
            ""eps"": null,
            ""pe"": 32
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.01,
            ""eps"": null,
            ""pe"": 32
        },
        {
            ""year"": 2027,
            ""net_profit"": 17.51,
            ""eps"": null,
            ""pe"": 27
        }
    ]
}",,,32.0,32.0,27.0,,,,,,,
"程培,李璐昕","事件：2025年10月31日，公司发布2025年三季度业绩报告。2025年前三季度实现营业收入18.65亿元，同比-21.49%；归母净利润10.93亿元，同比-31.05%；扣非净利润为9.76亿元，同比-36.20%。业绩承压，费用提升显著。Q3单季营收5.66亿元，同比-21.27%；归母净利润3.04亿元，同比-34.61%；扣非归母净利润为2.55亿元，同比-42.37%。报告期内，公司毛利率为93.36%，较去年同期下降1.44pct。费用方面，公司销售、管理、研发费用分别为2.31亿元、1.19亿元、2.37亿元，较去年同期变化+12.37%、+30.36、+26.67%，销售、管理、研发费用率分别为12.39%、6.40%、12.73%，同比变化+3.73pct、+2.55pct、+4.84pct；费用提升主要源于销售推广投入增加、人工与咨询费用上升、研发持续加码影响。整体期间费用率为31.81%，较去年同期上升约12.55个百分点，毛利率下滑与费用率大幅提升导致业绩承压。现金流方面，经营活动现金流净额为10.73亿元（-30.1%），与利润变动趋势一致。“内生研发+外延并购”双轮驱动，多元布局蓄力长期增长。报告期内，公司产品矩阵进一步完善，进行了医美核心产品迭代与跨界拓展。医美主线产品上，新品“嗗科拉”上市，定位骨性填充市场，瞄准高净值人群需求，有望提升公司在填充领域的竞争力。再生类产品补充，通过收购韩国REGENBiotech, Inc.，获得其核心产品AestheFill（已进入中国市场）和PowerFill，与现有产品“濡白天使”形成协同。此外，公司跨界布局新赛道，子公司诺博特的米诺地尔搽剂于2025年9月获批，切入脱发治疗市场；化妆品领域，2025年10月完成首个化妆品新原料“甘草查尔酮A”备案。在研管线储备充足，A型肉毒素Hutox®已处于审评阶段；司美格鲁肽注射液已进入临床试验阶段。投资建议：公司作为医美赛道龙头厂商，产品矩阵与研发技术水平持续提升完善，建议关注长期上行空间。我们预计公司2025-2027年归母净利润分别为13.99/16.69/20.08亿元，同比-28.5%、+19.3%、+20.3%，当前股价对应2025-2027年PE为34.62/29.03/24.13倍，维持“推荐”评级。风险提示：医疗消费复苏不及预期的风险，行业竞争加剧的风险；新品研发与商业化进度不及预期的风险；商誉减值的风险。",,银河证券,推荐,[None],2025-11-03,,买入,7317250,pdf_downloads/2025/2025-11-03/300896-爱美客（300896）：短期业绩承压，内生与外延布局长期发展.pdf,300896,爱美客,爱美客（300896）：短期业绩承压，内生与外延布局长期发展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 13.99,
            ""eps"": null,
            ""pe"": 34.62
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.69,
            ""eps"": null,
            ""pe"": 29.03
        },
        {
            ""year"": 2027,
            ""net_profit"": 20.08,
            ""eps"": null,
            ""pe"": 24.13
        }
    ]
}",,,34.62,29.03,24.13,,,,,,,
解慧新,公司短期业务承压，期待新产品落地事件：公司披露2025年三季报， 2025Q3，公司实现营收5.66亿元，同比-21.27%；实现归母净利润3.04亿元，同比-34.61%；扣非归母净利2.55亿元，同比-42.37%。25Q3销售费用率同比+6.38pct，毛利率、净利率略有承压。25Q1-3/Q3，公司销售费用率为12.39%/15.37%，同比+3.74pct/+6.39pct；管理费用率为6.40%/8.82%，同比+2.54pct/+5.51pct；公司持续加大研发投入，25Q1-3/Q3，公司研发费用率达到12.73%/14.30%，同比+4.84pct/+5.72pct。在行业承压的背景下，叠加收入下降，费用升高，25Q1-3/Q3，公司毛利率为93.36%/93.19%，同比-1.44pct/-1.36pct，；25Q1-3/Q3，公司归母净利率为58.62%/53.70%，同比-8.12pct/-10.95pct；25Q1-3/Q3，公司扣非归母净利率为52.35%/44.98%，同比-12.07pct/-16.47pct。多款新品已获批上市。治疗下颏后缩新品“嗗科拉”于2025年5月上市，这是一款医用的成人骨膜上层注射填充以改善轻中度的颏部后缩治疗的新产品；2025年9月毛发健康新品2%和5%米诺地尔搽剂获批，米诺地尔是一种周围血管舒张药，可局部长期使用，可刺激男性型脱发和斑秃患者的毛发生长，2%规格用于治疗男性型脱发和斑秃，5%规格仅限治疗男性型脱发。仍有多款新品管线待上市。可用于治疗中度至重度皱纹眉的A型肉毒毒素已进入注册申报阶段，可用于体重管理的司美格鲁肽注射液正处于临床试验阶段，目前多款在研产品有序推进，与现有产品形成良好的协同，并且为后续产品迭代奠定基础。整合全球资源，打开国际市场。爱美客今年还完成对韩国REGEN Biotech，Inc.公司85%股份的收购。公司进而实际取得韩国REGEN59.5%股权，其AestheFill/PowerFill再生针剂补充公司矩阵，助力医美注射填充市场领先地位，加速公司拓展国际市场的进程。投资建议：公司短期业务承压，但公司目前的毛利率以及在行业市场份额占比仍旧处于领先地位，同时公司正积极拓宽产品管线与开拓海外市场，随着新产品管线落地，以及REGEN落地等，预计2025-2027年公司归母净利润分别为13.3亿元、15.4亿元、17.2亿元，同比增速分别为-32.2%/+16.3%/+11.7%，当前股价对应PE分别为37X/31X/28X，维持“推荐”评级。风险提示：新品审批落地风险、市场消费能力恢复不足风险、行业竞争加剧风险。,,民生证券,推荐,[None],2025-11-02,,增持,7247381,pdf_downloads/2025/2025-11-02/300896-爱美客（300896）：公司短期业务承压，期待新产品落地.pdf,300896,爱美客,爱美客（300896）：公司短期业务承压，期待新产品落地,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 13.3,
      ""eps"": null,
      ""pe"": 37
    },
    {
      ""year"": 2026,
      ""net_profit"": 15.4,
      ""eps"": null,
      ""pe"": 31
    },
    {
      ""year"": 2027,
      ""net_profit"": 17.2,
      ""eps"": null,
      ""pe"": 28
    }
  ]
}",,,37.0,31.0,28.0,,,,,,,
"王长龙,周明蕊,萧灵",25Q3业绩承压，期待再生新品及国际化推进25Q3收入及利润阶段性承压。25Q1-Q3：营业收入18.65亿（-21%，括号内为同比，下同），归母净利10.93亿（-31%），扣非净利9.76亿（-36%）25Q3：营业收入5.66亿（-21%），归母净利3.04亿（-35%），扣非净利2.55亿（-42%）。其中非经收益0.49亿，主要来自对外投资公允价值变动、以及专项奖励金。我们认为，业绩承压主要系公司产品矩阵处新老交替过渡期，核心系列嗨体、濡白等有所承压；新品臻爱塑菲自25Q3上市，仍处爬坡期。盈利能力：毛利率有所下降，费用率提升，净利率承压25Q1-Q3：毛利率/净利率/扣非归母净利率分别为93.4%/59.4%/52.4%，同比分别-1.4pp/-7.4pp/-12.1pp。销售/管理/研发费用率分别为12.4%/6.4%/12.7%，同比+3.7pp/+2.5pp/+4.8pp。25Q3：毛利率/净利率/扣非归母净利率分别为93.2%/55.9%/45.0%，同比分别-1.4pp/-8.7pp/-16.5pp。销售/管理/研发费率分别为15.4%/8.8%/14.3%，同比分别+6.4pp/+5.5pp/+5.7pp。收购REGEN，新品臻爱塑菲今年8月开售+全球化推进。① 臻爱塑菲已于今年8月上市，产品采用PDLLA微球成分，具备多孔海绵状微球结构，看好发展潜力。② REGEN在多国已有产品注册，全球化布局有望加速。截至25年中报，REGEN旗下产品AestheFill（主要用于面部）、Powerfill（主要用于身体）分别已在全球35个和23个国家及地区获批。③ 肉毒等其他潜力单品有望上市。公司肉毒产品，以及米诺地尔搽剂均已提交发补，处审评阶段，我们预计明年有望贡献业绩增量。盈利预测：考虑到医美上游竞争加剧，公司产品矩阵处过渡期，业绩阶段性承压，我们下调盈利预测，预计25-27年归母净利润为分别为14.71/17.18/19.87亿元，同比-24.9% / +16.8%/ +15.7%，当前市值对应PE分别为33.0／28.2／24.4倍。明年起臻爱塑菲、肉毒素等潜力新品有望放量，期待拐点，我们维持“买入”评级。风险提示：新品上市和推广不及预期；市场竞争加剧；终端消费环境承压。,,国盛证券,买入,[None],2025-10-31,,买入,7083076,pdf_downloads/2025/2025-10-31/300896-爱美客（300896）：25Q3业绩承压，期待再生新品及国际化推进.pdf,300896,爱美客,爱美客（300896）：25Q3业绩承压，期待再生新品及国际化推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 14.71,
            ""eps"": null,
            ""pe"": 33.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.18,
            ""eps"": null,
            ""pe"": 28.2
        },
        {
            ""year"": 2027,
            ""net_profit"": 19.87,
            ""eps"": null,
            ""pe"": 24.4
        }
    ]
}",,,33.0,28.2,24.4,,,,,,,
甘坛焕,业绩简评2025年10月28日，公司发布2025年三季报报告。25Q3公司实现营业收入18.65亿元（同比-21%），归母净利润10.93亿元（同比-31%），扣非归母净利润9.76亿元（同比-36%）。单季度来看，25Q3公司实现收入5.66亿元（同比-21%），归母净利润3.04亿元（同比-35%），扣非归母净利润2.55亿元（同比-42%）。经营分析盈利能力短期承压。从盈利能力和费用端看，2025年前三季度公司销售毛利率为93.36%、销售净利率为59.38%，同比略有下滑，但仍维持在较高水平。净利率下降主要受收入下滑及费用率上升影响。2025年前三季度期间费用率有所上升，销售/管理/研发费用率分别为12.4%、6.4%、12.7%。管理费用增长主要系人工费和咨询服务费增加所致。此外公司2025年前三季度经营活动产生的现金流量净额为10.73亿元，同比下降30.12%，与利润端变动趋势基本一致。战略布局持续拓展，有望蓄力长期发展。2025年9月29日，公司全资子公司北京诺博特生物科技有限公司（诺博特)收到国家药品监督管理局核准签发的规格分别为2%和5%的米诺地尔搽剂《药品注册证书》。2025年10月11日，公司完成首个化妆品新原料的备案。新品陆续上市，拓展公司战略布局至毛发及化妆品领域。作为国内行业龙头，公司凭借其在生物医药领域的深厚积累，将科研优势延伸至其他赛道，有望驱动后续增长。盈利预测、估值与评级考虑到客观环境因素，我们下调公司业绩预测，预计2025-2027年公司归母净利润分别为14.65、16.92、18.57亿元，分别同比-25%、+16%、+11%，EPS分别为4.84、5.59、6.20元，现价对应PE为33、29、26倍，维持“买入”评级。风险提示产品研发进度不及预期；竞争加剧导致净利率下滑风险；市场推广不及预期风险等。,,国金证券,买入,[None],2025-10-30,,买入,6988871,pdf_downloads/2025/2025-10-30/300896-爱美客（300896）：业绩暂时承压，关注在研管线进展.pdf,300896,爱美客,爱美客（300896）：业绩暂时承压，关注在研管线进展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 14.65,
            ""eps"": 4.84,
            ""pe"": 33
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.92,
            ""eps"": 5.59,
            ""pe"": 29
        },
        {
            ""year"": 2027,
            ""net_profit"": 18.57,
            ""eps"": 6.20,
            ""pe"": 26
        }
    ]
}",,,33.0,29.0,26.0,,,,4.84,5.59,6.2,
"张峻豪,柳旭,孙乔容若",三季度整体业绩承压。公司2025年三季度实现营收5.66亿元，同比-21.27%，取得归母净利润3.04亿元，同比-34.61%，扣非归母净利润2.55亿元，同比-42.37%。整体前三季度收入同比-21.49%，归母净利润同比-31.05%。公司业绩表现承压，一方面行业终端仍受消费力下行压力影响，以及行业医美产品竞争加剧。此外，公司自身产品线处于新老交替期，传统医美产品需求走弱，后续重点关注肉毒、减重等医美产品的进展。毛利率同比下滑，收入下滑及费用相对刚性。公司2025年三季度实现毛利率93.19%，同比-1.36pct，预计受产品结构变化及行业竞争加剧等因素影响。费用率方面，销售费用率15.37%，同比+6.39pct；管理费用率8.82%，同比+5.51pct，研发费用率14.3%，同比+5.72pct，整体受到费用刚性及收入下降影响。研发端公司持续投入，致力于后续产品梯队的建设。现金流方面，公司前三季度实现经营性现金流净额10.73亿元，同比-30.12%，系净利润同比下降及营运资金变动所致。风险提示：在研项目进度不及预期；终端销售不及预期；竞争环境恶化。投资建议：在当前产品线处于新老交替期阶段，公司传统医美产品需求有所走弱下带来业绩承压。中长期而言，医美消费渗透率仍有较大提升空间。公司一方面自研投入打造新产品线，另外外延并购丰富产品管线，同时也打开国际化业务，为业绩增长提供新的增量。考虑当前行业竞争仍在加剧及公司新品上市仍需一段时间，我们下调公司2025-2027年归母净利润预测至15.64/17.94/20.99亿元（前值分别为18.55/20.73/23.25亿元），对应PE分别为31.6/27.5/23.5倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-10-29,,买入,6982691,pdf_downloads/2025/2025-10-29/300896-爱美客（300896）：三季度业绩承压，后续关注新医美产品进展.pdf,300896,爱美客,爱美客（300896）：三季度业绩承压，后续关注新医美产品进展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 15.64,
            ""eps"": null,
            ""pe"": 31.6
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.94,
            ""eps"": null,
            ""pe"": 27.5
        },
        {
            ""year"": 2027,
            ""net_profit"": 20.99,
            ""eps"": null,
            ""pe"": 23.5
        }
    ]
}",,,31.6,27.5,23.5,,,,,,,
黄泽鹏,事件：公司2025Q3营收、归母净利润均有所承压公司发布三季报：2025Q1-Q3实现营收18.7亿元（同比-21.5%，下同）、归母净利润10.9亿元（-31.1%）；其中单三季度实现营收5.7亿元（-21.3%），归母净利润3.0亿元（-34.6%）。考虑到市场整体竞争加剧，我们下调2025-2027年盈利预测，预计公司2025-2027年归母净利润为14.80/17.95/21.00亿元（原值17.00/20.05/23.25亿元），对应EPS为4.89/5.93/6.94元，当前股价对应PE为33.4/27.6/23.6倍。我们认为，公司产品矩阵丰富，REGEN加速国际化进程叠加内生多管线也逐步落地，未来有望通过“内生+外延”来不断增强竞争力获得业绩增量，估值合理，维持“买入”评级。前三季度毛利率略有下滑，整体费用率均有所提升毛利率方面，2025Q1-Q3/2025Q3毛利率分别为93.4%/93.2%，同比分别-1.4pct/-1.4pct，均略有下滑。费用方面，2025Q1-Q3公司销售/管理/研发/财务费用率分别为12.4%/6.4%/12.7%/0.3%，同比分别+3.7Pct/+2.5Pct/+4.8Pct/+1.4Pct，管理费用率提升主要系人工费和咨询服务费有所增加，财务费用率主要系外币投资产生的汇兑损失导致。化妆品赛道寻求增量市场，流量运营赋能销量增长产品端：爱美客骨相抗衰新品嗗科拉发布上市，锚定高净值分层市场，有望引领骨相抗衰领域发展潮流。研发端：10月11日成功完成首个化妆品新原料备案，稳步推进公司在化妆品领域的战略布局，丰富公司产品多样性，有望在化妆品赛道寻求增量市场。此外，旗下子公司诺博特申请注册的“米诺地尔搽剂”于9月28日获批，持续拓宽公司多元化药品研发矩阵。渠道端：B端渠道网络是公司深耕国内市场的一项核心竞争力，依托旗下自媒体学苑全轩新媒，赋能行业运营人员，利用流量运营引领销量增长。此外，爱美客REGEN新工厂开始投产，为嗨体、濡白天使等产品出海开拓渠道，迈向国际化进程。风险提示：终端需求疲软、市场竞争加剧、产品获批或推广进度不及预期。,,开源证券,买入,[None],2025-10-29,,买入,6980691,pdf_downloads/2025/2025-10-29/300896-爱美客（300896）：公司信息更新报告：2025Q3业绩承压，内生+外延布局期待业绩回暖.pdf,300896,爱美客,爱美客（300896）：公司信息更新报告：2025Q3业绩承压，内生+外延布局期待业绩回暖,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 14.80,
            ""eps"": 4.89,
            ""pe"": 33.4
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.95,
            ""eps"": 5.93,
            ""pe"": 27.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 21.00,
            ""eps"": 6.94,
            ""pe"": 23.6
        }
    ]
}",,,33.4,27.6,23.6,,,,4.89,5.93,6.94,
