author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"方闻千,邹昕宸",Q3营收增长转正，盈利能力显著改善事件描述10月23日，公司发布2025年三季报，其中，2025年前三季度公司实现收入42.70亿元，同比减少2.22%；前三季度实现归母净利润3.11亿元，同比高增45.90%，实现扣非净利润2.75亿元，同比高增49.15%。2025年三季度公司实现收入14.86亿元，同比增长3.96%；三季度实现归母净利润0.74亿元，同比高增244.89%，实现扣非净利润0.62亿元，同比增486.39%。事件点评Q3整体营收恢复增长，各业务同步发力。分业务看，1）今年三季度数字成本业务实现收入11.6亿元，同比基本持平，主要得益于新清单落地实施激活并带动了存量市场增长，Q3数字成本业务新签云合同同比已恢复正增长，其中传统造价产品的续费率与新购情况较去年同期均有所改善，而清标、指标网等新产品持续保持双位数增长；2）随着公司主动减少部分低毛利硬件产品的销售，并聚焦于对客户价值显著的核心产品，三季度数字施工业务实现收入2.17亿元，同比增长33.09%，同时毛利率进一步提升至54.28%；3）数字设计业务仍处于规模化推广初期，三季度实现收入1720万元，同比高增51.33%；4）三季度海外业务实现收入0.61亿元，同比增长11.36%，保持加速增长趋势。今年以来公司持续重点布局亚洲和欧洲市场，其中在亚洲市场，公司积极推进算量、计价等产品研发与全球版升级，而在欧洲市场，公司加快设计等系列产品推广，Q3MagiCAD实现强劲的销售增长。业务结构优化叠加成本费用管控推动公司Q3盈利能力显著改善。随着业务结构优化，硬件成本及实施交付人力成本大幅减少，Q3公司毛利率达86.52%，较上年同期提高1.26个百分点。在费用端，Q3公司管理费用同比减少11.37%，主要是一次性补偿金等人力成本减少所致；研发费用同比减少1.76%，主要是由于公司加强业务聚焦及费用管控，导致相应人力成本等投入减少；而随着公司持续加强业务推广，广告及业务宣传费用有所增加，Q3销售费用同比增长4.66%。Q3公司净利率达5.66%，较上年同期提高3.90个百分点。投资建议公司作为建筑IT龙头厂商，未来在建筑业数字化转型持续推进下将充分受益，调整盈利预测，预计公司2025-2027年EPS分别为0.29\0.37\0.48，对应公司10月27日收盘价14.15元，2025-2027年PE分别为49.4\37.9\29.4，维持“增持-A”评级。,,山西证券,增持-A,[None],2025-10-28,,增持,6907328,pdf_downloads/2025/2025-10-28/002410-广联达（002410）：Q3营收增长转正，盈利能力显著改善.pdf,002410,广联达,广联达（002410）：Q3营收增长转正，盈利能力显著改善
"闻学臣,刘一哲",报告摘要10月23日，公司发布2025年第三季度报告。25Q3公司实现营业收入14.86亿元，同比增长3.96%；归母净利润0.74亿元，同比增长244.89%；归母扣非净利润0.62亿元，同比增长486.39%。2025年前三季度公司实现营业收入42.70亿元，同比减少2.22%；归母净利润3.11亿元，同比增长45.90%；归母扣非净利润2.75亿元，同比增长49.15%。收入增速转正，合同负债指标明显改善。25Q3公司营收同比增长3.96%，实现营收增速转正。同时，25Q3末公司合同负债22.24亿元，较24Q3末的22.73亿元仅同比减少约0.5亿元，季度末的同比差值进一步缩减。我们认为，合同负债作为公司业务的先行指标，一定程度上反映了公司新的订单与合同签订情况，在当前地产行业持续低迷的背景下，公司合同负债端有所恢复，进一步强化了未来收入端修复改善预期。利润持续释放，新清单标准实施推动造价市场化提速。利润端，25Q3公司实现归母净利润0.74亿元，同比增长244.89%，在收入实现同比增长、期间费用同比整体稳定的情况下，25Q3公司利润端持续释放。在行业层面，由住房城乡建设部组织编制的国家标准《建设工程工程量清单计价标准》（GB/T50500-2024）（以下简称《标准》）发布，并自2025年9月1日起实施。本次《标准》的发布，明确了市场化的计价方法和计价依据，在最高投标限价、投标报价的编制过程中，不再将政府定额和信息价作为主要的计价依据，增加市场价格信息、工程造价数据库，以及投标人装备水平、管理水平、成本消耗等内容，综合作为确定工程造价的考虑要素。我们认为，本次新清单标准的发布与实施，将加速造价市场化转型的发展，从而进一步有利于公司竞争优势的扩大。盈利预测与投资建议：我们预测公司2025-2027年营收分别为61.05/61.80/64.71亿元，归母净利润分别为4.78/6.79/9.14亿元，维持“买入”评级。风险提示：建筑行业景气度下降、信息化进度不及预期；施工业务需求释放节奏延后；数字设计业务技术突破遇到瓶颈等。,,中泰证券,买入,[None],2025-10-28,,买入,6881885,pdf_downloads/2025/2025-10-28/002410-广联达（002410）：Q3营收增速转正，新清单标准实施加速推动造价市场化.pdf,002410,广联达,广联达（002410）：Q3营收增速转正，新清单标准实施加速推动造价市场化
"吕伟,郭新宇","业绩持续回暖，单季度利润实现翻倍式增长事件概述：2025年10月23日，公司发布2025年三季报，2025年前三季度实现营业总收入42.70亿元，同比下降2.22%；归母净利润3.11亿元，同比增长45.90%。业绩持续回暖，单季度归母净利润实现翻倍式增长。2025Q3公司实现营业收入14.86亿元，同比增长3.96%；归母净利润0.74亿元，同比大幅增长244.89%；扣非归母净利润0,62亿元，同比增长486.39%。利润大幅改善，主要由于前三季度应收账款及垫款计提的减值准备减少、固定资产减值损失同比下降，同时侵权诉讼胜诉获得的赔偿金增加，叠加政府补助、闲置资金理财收益等非经常性损益贡献，共同推动盈利显著增长。同时，公司持续推进研发投入，2025年前三季度研发投入合计12.48亿元，围绕自主开发项目加大资源倾斜，报告期末开发支出达5.06亿元，同比增长39.57%，研发实力稳步夯实。AI赋能核心业务，打造长期成长动力。1）核心技术为AI发展的支撑：公司拥有完全自主知识产权的广联达工业图形平台。该平台不仅提供基本造型、布尔求交稳定性、拓扑追踪等基础能力，还针对性地突破了曲面造型、几何前处理、局部编辑等关键算法，有力推动了复杂应用的国产化进程。2）AI落地路径明确，实现四级跃升：在岗位层面，针对造价、设计等岗位，开发专项工具如AI算量、智能组价、AI设计等，旨在解决重复劳动问题，让专业人员专注于价值创造；在项目层面，AI打通设计、成本、施工的数据壁垒，实现项目全流程的协同管理；在企业层面，“PMLEAD”系统打通市场、商务、采购、工程、技术与财务六大板块，融合业务流与数据流，助力施工企业开源节流、管控风险，使管理从“凭经验”转向“靠数据”；在产业层面，联合科技企业乃至工业企业构建开放生态。以“平台+组件”模式封装产业数字化转型核心能力，支撑房建、基建、水利、电力、铁路、船舶、能源、石化、工业等跨行业生态伙伴，打造满足“信创”要求的BIM应用。3）AI大幅提升算量等工作效率：在传统算量模式下，一个公路项目在正式进场前，会进行集中式工程量复核，一般一个10亿项目就需要做3个月左右作业时间。利用AI算量，可实现将10亿体量项目算量从3个月缩减到2周内，大幅提高算量工作效益。同时，识图识表的准确度也从80%显著提升至95%以上。投资建议：公司是国内领先的数字建筑平台服务商，数字成本等业务SaaS模式价值凸显，数字施工业务毛利率回暖，费用端持续优化，推动业绩快速回暖。长期看，公司积极布局AI，将自身深刻行业理解与AI技术深度融合，有望打开新的增长空间。预计公司2025-2027年归母净利润为4.47/6.64/8.36亿元，对应PE分别为52X、35X、28X，维持“推荐”评级。风险提示：行业需求端景气度波动；AI等新技术路径存在不确定性。",,民生证券,推荐,[None],2025-10-26,,增持,6822900,pdf_downloads/2025/2025-10-26/002410-广联达（002410）：业绩持续回暖，单季度利润实现翻倍式增长.pdf,002410,广联达,广联达（002410）：业绩持续回暖，单季度利润实现翻倍式增长
"闻学臣,刘一哲",备注：股价截止自2025年09月22日收盘价，每股指标按照最新股本数全面摊薄报告摘要2025年8月25日，公司发布2025年半年度报告。25H1公司实现营业收入27.84亿元，同比减少5.23%；实现归母净利润2.37亿元，同比增长23.65%，归母扣非净利润2.14亿元，同比增长22.67%。数字成本业务总量稳定，新业务成长性逐步显现。25H1公司数字成本业务实现营收22.86亿元，同比减少7.06%，收入的变动超60%是由于前期签订云合同分期结转的收入减少所致，第二季度新签云合同降幅已明显收窄。面对房地产新开工面积下滑的不利局面，算量、计价等造价类产品对内抓住城市更新、市政管网、制造业投资带来的工程项目数量增加的时机，不断拓宽产品的应用场景；对外积极开发全球版产品。25H1造价业务续费率同比提升1.3个百分点。同时，随着建筑企业对单个工程项目盈利能力重视程度的不断加深，公司的数字成本业务也从算量、计价等单岗位工具软件向工程项目全生命周期成本管理的应用场景升级，新产品、新业务的成长性逐步显现。清标产品收入持续增长，指标网、成本测算收入增速超过30%。数字施工业务产品新价值凸显，坚定转型有成效。25H1公司数字施工业务实现营收3.12亿元，同比增加8.21%。公司坚定施工业务转型，围绕客户“省钱”“省心”的精细化管理刚需，聚焦施工过程中材料、人员、机械等关键生产要素和核心业务管理场景，提供项目级标准化产品，减少低毛利率产品的比重，以客户价值创造和盈利为核心目标，整体经营质量改善。施工业务在第二季度扭转了收入下滑的趋势，开始恢复正增长，单第二季度收入同比增长19.49%。上半年毛利率提升至52.01%，比2024年同期提升26.03个百分点，转型效果明显。海外业务：重点打磨产品、加强营销体系建设，加速国际化能力储备。25H1公司海外业务实现营业收入1.16亿元，同比增加9.62%。公司通过构筑全球化产品能力以及营销服、人力、财务等前中后台能力，为海外业务持续、稳定发展储备力量。当前公司海外业务以亚洲和欧洲两个区域为核心，并设立香港客户部作为国际业务发展的桥头堡。25H1公司产品在国际市场上的认可度进一步提升，第二季度实现收入6475万元，同比增长21.62%，扭转了一季度收入下滑的局面。25H1亚洲区域客户续费率持续改善，二季度续费率环比一季度提升超10个百分点。全面拥抱AI，多个产品领域取得阶段性成果。25H1内AI已成为公司的增长引擎，由AI直接带来的合同金额超4000万元。25H1公司全面拥抱AI，多个产品领域取得了阶段性成果。1）行业AI平台方面，平台支撑AI应用逐渐形成规模，赋能80余个AI产品开发，支撑17个AI应用发布，上半年AI服务调用量超4000万次，行业AI平台模型服务消费达143亿Tokens，企业级AecGPT应用支持私有化部署，实现商业闭环，企业知识库构建、应用编排、模型调用、模型部署等多个功能模板成熟应用。2）AI技术方面，LLM（大语言模型）技术上实现强化学习（GRPO）和AI教AI新范式的突破；VLM（多模态模型）技术的图纸解析准确率明显提升，可达产品商业化应用目标；初步完成了MoE架构原型的设计和实验，实现知识隔离，工程上可支持多种模态，节约GPU部署成本。3）AI产品应用方面，公司围绕设计一体化、成本精细化、施工精细化三个高价值场景进行AI产品的打造和赋能，其中，设计一体化是打通建筑全生命周期数字链条的关键路径，成本精细化是建筑企业提升利润空间与抗风险能力的核心支点，施工精细化则是AI重塑工程现场组织模式与执行效率的关键抓手。盈利预测与投资建议：我们预测公司2025-2027年营收分别为61.05/61.80/64.71亿元，归母净利润分别为4.78/6.79/9.14亿元，维持“买入”评级。风险提示：建筑行业景气度下降、信息化进度不及预期；施工业务需求释放节奏延后；数字设计业务技术突破遇到瓶颈等。,,中泰证券,买入,[None],2025-09-23,,买入,6459276,pdf_downloads/2025/2025-09-23/002410-广联达（002410）：经营有望进一步企稳，全面拥抱AI初显成效.pdf,002410,广联达,广联达（002410）：经营有望进一步企稳，全面拥抱AI初显成效
"刘高畅,陈芷婧",经营指标全面改善，AI赋能产品升级事件：8月25日，公司发布《2025年半年度报告》，实现营业收入27.84亿元，同比下降5.23%；实现归属于上市公司股东的净利润2.37亿元，同比增长23.65%；实现归属于上市公司股东的扣除非经常性损益的净利润2.14亿元，同比增长22.67%。数字成本云合同趋稳，数字施工收入回升。1）报告期内，公司实现营业收入27.84亿元，同比下降5.23%，收入结构拓宽，数字施工、数字设计及海外业务占营业收入的比重提升近2个百分点，达16.49%。单Q2来看，实现营业收入15.65亿元，同比下降5.23%，归属于上市公司股东的净利润2.07亿元，同比增长11.63%；实现归属于上市公司股东的扣除非经常性损益的净利润1.95亿元，同比增长10.88%。2）具体分业务来看，数字成本业务实现营业收入22.86亿元，同比减少7.06%，收入的变动超60%是由于前期签订云合同分期结转的收入减少所致，第二季度新签云合同降幅已明显收窄；数字施工业务实现营业收入3.12亿元，同比增加8.21%；数字设计业务实现营业收入0.31亿元，同比减少13.11%；海外业务实现营业收入1.16亿元，同比增加9.62%。经营指标全面改善，利润率、回款、续费等明显向好。1）报告期内，公司主动调整经营思路，数字成本业务总量稳定，造价业务续费率同比提升1.3个百分点。清标产品收入持续增长，指标网、成本测算收入增速超过30%；数字施工业务在第二季度扭转了收入下滑的趋势，开始恢复正增长，单第二季度收入同比增长19.49%。上半年毛利率提升至52.01%，比24年同期提升26.03个百分点，转型效果明显；数字设计业务产品能力已有明显改善，一体化价值也受到客户的多方认可。2）报告期内，公司净利润、毛利率、现金流和资产周转效率等经营指标全面改善。净利润方面，实现归属于上市公司股东的净利润2.37亿元，同比增长23.65%；毛利率方面，主动调整产品结构，减少非核心、低毛利产品的销售，毛利率在原有高水平的基础上提升1.11个百分点，达到87.79%；现金流方面，持续加强应收账款和回款管理，回款效率明显提升，上半年公司销售商品、提供劳务收到的现金同比去年增加了1.62亿元，经营活动产生的现金净流出同比减少19%；资产周转方面，应收账款比去年同期减少2.31亿元。AI已成增长引擎，赋能公司核心业务。1）报告期内，AI已成为公司的增长引擎，由AI直接带来的合同金额超4000万元，此外AI持续赋能产品升级，提高产品竞争优势，助力业务收入增长。平台支撑AI应用逐渐形成规模，赋能80余个AI产品开发，支撑17个AI应用发布，上半年AI服务调用量超4000万次。2）公司围绕设计一体化、成本精细化、施工精细化三个高价值场景进行AI产品的打造和赋能。AI原生产品Concetto的AI渲染鸟瞰图生成效果行业领先，并首创三维模型合成，实现多角度一致性效果图生成；通过AI+算量、AI+计价、AI+成本、AI+清标、AI+交易为提升利润空间与抗风险能力铸造核心支点；借助AI的感知、分析与预测能力，通过AI+物资、AI+塔吊、项目决策系统PMSmar为重塑工程现场组织模式与执行效率提供关键抓手。维持“买入入评评级。在下游相对承压的背景下，公司经营仍展现出了一定的韧性，伴随新造价工具逐步放量、施工产品规模化推广，公司收入端有望维持稳健；考虑公司持续推进效益化经营，结合公司股权激励目标，公司利润有望逐步释放。结合近期财务数据，我们调整公司盈利预测，预计2025-2027年实现营业收入分别为63.38、66.59、71.30亿元；归母净利润分别为5.12、6.96、8.54亿元，维持买入入评评级。风险提示：建筑IT支出不及预期、行业竞争加剧、宏观经济波动。,,国盛证券,买入,[None],2025-09-09,,买入,6407998,pdf_downloads/2025/2025-09-09/002410-广联达（002410）：经营指标全面改善，AI赋能产品升级.pdf,002410,广联达,广联达（002410）：经营指标全面改善，AI赋能产品升级
"方闻千,邹昕宸",业务结构优化推动利润率改善，AI布局初显成效事件描述8月25日，公司发布2025年半年报，其中，2025上半年公司实现收入28.00亿元，同比减少5.37%；上半年实现归母净利润2.37亿元，同比增23.65%，实现扣非净利润2.14亿元，同比增22.67%。2025年二季度公司实现收入15.72亿元，同比减5.24%；二季度实现归母净利润2.07亿元，同比增长11.63%，实现扣非净利润1.95亿元，同比增长10.88%。事件点评业务结构优化推动公司盈利能力进一步改善。受下游房地产新开工面积持续下滑影响，今年上半年公司收入增长依旧承压，但随着公司拓展基建业务、布局海外市场以及积极拥抱AI，未来收入端将呈现一定增长韧性。2025上半年公司毛利率为87.79%，较上年同期提高1.11个百分点，主要是因为公司主动优化业务结构，减少非核心、低毛利产品的销售。在费用端，由于公司加强产品推广，相关广告及业务宣传费用增加，上半年销售费用同比增长3.78%，而随着公司形成业务聚焦及加强费用管控，上半年研发投入同比减少7.73%，同时受益于一次性补偿金等人力成本减少，管理费用同比减少13.11%。得益于业务结构优化及费用管控，2025上半年公司净利率达9.20%，较上年同期提高2.25个百分点。此外，随着公司持续加强回款管理，上半年公司销售商品、提供劳务收到的现金同比去年增加1.62亿元，经营活动产生的现金净流出同比减少19%。数字成本云合同降幅收窄，数字施工毛利率大幅提升。分业务看，1）2025上半年数字成本业务实现收入22.86亿元，同比减少7.06%，主要是由前期签订云合同分期结转的收入减少所致，而Q2新签云合同降幅已明显收窄，其中，传统造价业务续费率同比提升1.3个百分点，新产品中清标产品收入持续增长，指标网、成本测算收入增速超30%；2）上半年数字施工业务实现收入3.12亿元，同比增长8.21%，扭转收入下滑趋势，并且，公司大力推广项目级标准化产品，减少低毛利率产品占比，推动施工业务毛利率提升至52.01%，较上年同期提高26.03个百分点；3）上半年数字设计业务实现收入0.31亿元，同比减13.11%，其中数维房建和数维基建产品能力均在持续快速升级；4）上半年海外业务实现收入1.16亿元，同比增9.62%，其中Q2增速达21.62%，同时Q2公司亚洲区域客户续费率环比提升超10个百分点，并且新品MCINNOVAMEP已进入样板客户阶段。公司的AI布局已初显成效，并开始逐步贡献增量收入。一方面，公司持续打磨行业AI平台，今年上半年平台AI服务调用量超4000万次，行业AI平台模型服务消费达143亿Tokens，同时，行业AI平台支撑AI应用快速开发，目前已赋能80多个AI产品开发，并支撑17个AI应用发布；另一方面，公司围绕设计一体化、成本精细化、施工精细化等高价值场景持续打造AI产品，其中，AI原生产品Concetto的AI渲染鸟瞰图生成效果行业领先，并首创三维模型合成；AI+成本产品能够将智能预算拆分效率提升10倍，将AI标前成本编制效率提升7倍；融入AI能力的项目决策系统PMSmart在数据采集、连接、分析决策方面较人工提效30倍。今年上半年，由AI直接带来的合同已超过4000万，同时AI持续赋能产品升级，提升产品竞争力，间接推动业务增长。投资建议公司作为建筑IT龙头厂商，未来在建筑业数字化转型持续推进下将充分受益，调整盈利预测，预计公司2025-2027年EPS分别为0.29\0.34\0.38，对应公司8月28日收盘价15.38元，2025-2027年PE分别为53.24\45.51\40.31，维持“增持-A”评级。风险提示下游客户需求不及预期，业务拓展不及预期，汇率波动风险，市场竞争加剧风险。,,山西证券,增持-A,[None],2025-08-28,,增持,6362299,pdf_downloads/2025/2025-08-28/002410-广联达（002410）：业务结构优化推动利润率改善，AI布局初显成效.pdf,002410,广联达,广联达（002410）：业务结构优化推动利润率改善，AI布局初显成效
"吕伟,郭新宇",核心业务回暖，AI赋能业务打造成长新动能事件概述：2025年8月25日公司发布2025年半年报，2025年上半年公司实现营业收入27.84亿元，同比下降5.23%；实现归属于上市公司股东的净利润2.37亿元，同比增长23.65%；实现归属于上市公司股东的扣除非经常性损益的净利润2.14亿元，同比增长22.67%。核心业务回暖，盈利能力提升。2025H1公司收入短期承压，主要系核心的数字成本业务收入同比减少7.06%，其中超60%的变动是由于前期签订云合同分期结转的收入减少所致，但第二季度新签云合同降幅已明显收窄。在收入端承压背景下，公司盈利能力逆势提升，主要得益于：1）毛利率提升：公司主动调整产品结构，减少非核心、低毛利产品销售，整体毛利率同比提升1.11个百分点至87.79%。2）费用管控成效显著：公司优化资源投放，管理费用同比下降13.11%。业务结构持续优化，施工业务转型见效，新兴业务崭露头角。公司在巩固核心业务的同时，积极拓展新增长点，业务结构更趋健康：1）数字施工业务转型效果显著：实现营业收入3.12亿元，同比增长8.21%。公司坚定推进施工业务转型，聚焦高毛利标准化产品，第二季度收入同比增长19.49%，上半年毛利率大幅提升26.03个百分点至52.01%。2）数字成本业务新产品成长性显现：尽管传统造价产品受行业影响，但清标产品收入持续增长，指标网、成本测算等数据类产品收入增速超过30%。3）基建及海外业务成为重要增长点：基建领域，公路算量产品在AI赋能下实现收入同比增长68.49%。海外业务实现收入1.16亿元，同比增长9.62%，其中第二季度收入同比增长21.62%，扭转一季度下滑局面。全面拥抱AI，赋能核心业务，打造新增长引擎。公司将AI作为核心技术驱动，在多个产品领域取得阶段性成果，AI已成为新的增长引擎。2025H1，由AI直接带来的合同金额超4000万元。公司行业AI平台能力持续提升，上半年AI服务调用量超4000万次，模型服务消费达143亿Tokens。AI在成本精细化（AI+算量、计价、清标）、施工精细化（AI+物资、塔吊）及设计一体化（AI原生产品Concetto）等高价值场景的深度应用，显著提升了产品竞争力与客户价值。投资建议：公司是国内领先的数字建筑平台服务商，数字成本等业务SaaS模式价值凸显，数字施工业务毛利率回暖，费用端持续优化，推动业绩快速回暖。长期看，公司积极布局AI，将自身深刻行业理解与AI技术深度融合，有望打开新的增长空间。预计公司2025-2027年归母净利润为4.49/6.63/8.35亿元，对应PE分别为57X、38X、30X，维持“推荐”评级。风险提示：行业需求端景气度波动；AI等新技术路径存在不确定性。,,民生证券,推荐,[None],2025-08-27,,增持,6353991,pdf_downloads/2025/2025-08-27/002410-广联达（002410）：2025年半年报点评：核心业务回暖，AI赋能业务打造成长新动能.pdf,002410,广联达,广联达（002410）：2025年半年报点评：核心业务回暖，AI赋能业务打造成长新动能
"陈宝健,刘逍遥",建筑信息化龙头，维持“买入”评级我们维持公司2025-2027年归母净利润预测为4.14、5.77、6.52亿元，EPS为0.25、0.35、0.39元/股，当前股价对应2025-2027年PE为55.7、40.0、35.4倍，考虑公司为建筑信息化龙头，维持“买入”评级。业绩符合预期，经营指标全面改善（1）2025年上半年公司实现营业收入27.84亿元，同比下滑5.23%；实现归母净利润2.37亿元，同比增长23.65%。其中，Q2单季度实现营业收入15.65亿元，同比下滑5.23%；实现归母净利润2.07亿元，同比增长11.63%，业绩符合预期。（2）分业务来看，数字成本业务实现营业收入22.86亿元，同比减少 7.06%，收入的变动超 60%是由于前期签订云合同分期结转的收入减少所致，第二季度新签云合同降幅已明显收窄；数字施工业务实现营业收入 3.12 亿元，同比增加 8.21%；数字设计业务实现营业收入 0.31 亿元，同比减少 13.11%；海外业务实现营业收入 1.16 亿元，同比增加 9.62%。（3）毛利率方面，主动调整产品结构，减少非核心、低毛利产品的销售，毛利率同比提升 1.11 个百分点达到 87.79%；现金流方面，持续加强应收账款和回款管理，经营活动净现金流为-5.54亿元，净流出同比收窄。公司销售费用率、研发费用率分别为26.82%、28.83%，同比提升2.36、1.09个百分点，管理费用率为21.90%，同比下降1.95个百分点。全面拥抱AI，多个产品领域取得阶段性成果行业 AI 平台方面，平台支撑 AI 应用逐渐形成规模，赋能 80 余个 AI 产品开发，支撑 17 个 AI 应用发布，上半年 AI 服务调用量超 4000 万次，行业 AI 平台模型服务消费达 143 亿 Tokens。AI 产品应用方面，公司围绕设计一体化、成本精细化、施工精细化三个高价值场景进行 AI 产品的打造和赋能。AI 已成为公司的增长引擎，由 AI 直接带来的合同金额超 4000 万元，此外 AI 持续赋能产品升级，提高产品竞争优势，助力业务收入增长。风险提示：房地产景气度向下风险；人才流失风险；业务拓展不及预期风险。,,开源证券,买入,[None],2025-08-26,,买入,6348824,pdf_downloads/2025/2025-08-26/002410-广联达（002410）：公司信息更新报告：经营指标全面改善，AI持续赋能产品升级.pdf,002410,广联达,广联达（002410）：公司信息更新报告：经营指标全面改善，AI持续赋能产品升级
"吕伟,郭新宇",核心业务稳步发展，2024年业绩大幅改善。1）核心业务稳步发展：数字成本业务持续从单岗位工具向成本全过程应用场景升级，传统造价工具续费率、应用率保持稳定，成本测算产品深耕大客户、应用率不断提升；数维设计业务方面，数维房建完成多个价值标杆打造，数维道路设计方案能力全面覆盖路桥隧专业，截至2024年应用项目数量增长至1440家。数字施工业务主动调整经营思路，从追求经营规模转向对利润和现金流的管理。2）毛利率上升、费用端持续优化，推动2024年净利润快速回暖：2024年公司归母净利润2.5亿元，同比增长116.19%。实现扣非归母净利润1.74亿元，同比增长219.92%。政策有望推动下游景气度回暖，SaaS龙头有望开启发展新征程。1）政策推动下游回暖：2024年9月，中国央行会同国家金融监督管理总局出台四项金融支持房地产政策；《2025年国务院政府工作报告》提出，持续用力推动房地产市场止跌回稳，有序搭建相关基础性制度，加快构建房地产发展新模式。公司下游主要为地产、基建行业，政策大力支持房地产健康发展，有助于推动下游回暖，进而下游信息化开支有望持续提升。2）SaaS业务价值凸显：公司SaaS业务毛利率稳定，数字成本业务、数字设计业务毛利率均保持90%以上，施工业务毛利率在2024年改善，带动整体毛利率稳中有升。AI大模型及应用端全面布局，将深刻行业理解和智能化深度结合。1）多层次打造专业行业模型：公司已经发布建筑行业AI大模型AecGPT以及建筑行业多专业场景大模型，包括建筑行业AI大模型AecGPT，以及建筑行业多专业场景大模型，覆盖建筑方案设计、算量、进度、物资管理、交易、安全、教育等7个领域，重点解决建筑场景中具体的业务场景问题。2）AI与实际业务充分结合：成本测算产品发布“AI智能” 功能，准确率提升至约70%；数维道路设计的AI选线功能使方案设计效率提升50%，应用企业数量同比提升240%。AI算量方面，模型通过对工程图纸、工程量表及工程文档等数据的训练，进行版面分析和多模态能力推理。以新一代基建算量产品为例，一个10亿规模的公路项目进场前的集中式工程量复核，传统模式下通常需要3个月左右的时间，而借助AI能力可将这一过程可缩短至2周内。投资建议：公司是国内领先的数字建筑平台服务商，数字成本等业务SaaS模式价值凸显，数字施工业务毛利率回暖，费用端持续优化，推动业绩快速回暖。长期看，公司积极布局AI，将自身深刻行业理解与AI技术深度融合，有望打开新的增长空间。预计公司2025-2027年归母净利润为4.50/6.63/8.35亿元，对应PE分别为50X、34X、27X，维持“推荐”评级。风险提示：行业需求端景气度波动；行业竞争加剧；AI等新技术路径存在不确定性。,,民生证券,推荐,[None],2025-06-03,,增持,6111216,pdf_downloads/2025/2025-06-03/002410-广联达（002410）：公司动态报告：触底反转，向AI而生.pdf,002410,广联达,广联达（002410）：公司动态报告：触底反转，向AI而生
吴鸣远,事项：4月29日，公司发布2025年一季报：2025年Q1实现总营业收入12.28亿元，同比减少5.53%；实现归母净利润0.30亿元，同比增长390.89%。3月24日，公司发布2024年报：2024年实现总营业收入62.03亿元，同比减少4.93%；实现归母净利润2.50亿元，同比增长116.19%。评论：公司营收略有下滑，盈利能力维持高位。2024年公司主动调整经营思路，优化产品和业务结构，显著提升盈利能力。2024年公司毛利率为84.33%，较2023年提升1.81pp；净利率为4.36%，较2023年提升2.55pp。公司聚焦于内部运营效率与整体服务质量的提升，深化数字化运营，多措并举有效管控成本费用，整体费用率下降，销售费用、管理费用和研发费用同比减少5.97%。立足数字建筑全生命周期，三大业务稳健发展。1）数字成本业务，2024年公司该实现营业收入49.86亿元，同比减少3.55%，业务持续从单工具向成本全过程应用场景升级，覆盖率由53.78%提升到79.25%，100%覆盖主流房建业态。2）数字施工业务，2024年公司数字施工业务实现营业收入7.87亿元，同比减少8.71%。公司智能塔吊防碰撞技术实现突破，物资管理发布首款自研智能硬件智验一体机。3）数字设计业务，2024年公司数字设计业务实现营业收入0.9亿元，同比增加3.28%。公司数维房建完成多个价值标杆打造，数维道路设计方案能力全面覆盖路桥隧专业，应用项目数量增长至1440家。公司AI能力全面提升，海外业务稳健发展。公司持续探索AI领域前沿技术的研发，增强在建筑行业的AI核心竞争力。2024年公司的建筑行业AI大模型和行业AI平台在中国数字建筑大会亮相，新一代AI驱动的方案设计产品Concetto首发，多个AI+产品实践应用。公司重点布局海外业务，持续推进产品国际化进展，2024年公司海外业务实现营业收入2.03亿元，同比增加5.07%。股权激励升级，释放公司长期成长信号。2025年3月，公司推出《2025年股票期权激励计划（草案）》，计划授予期权约2644万份，覆盖员工达485人，行权价设为10.73元/份。本次激励方案设定了明确的业绩目标：2025年净利润需达到5.63亿元（最低触发门槛为3.94亿元），2026年则要求同比增长目标为30%（最低触发门槛为20%），或两年累计利润不低于12.95亿元。此次激励力度不小，覆盖面广、考核标准进取，进一步绑定核心员工利益，有助于提升组织协同力，为公司中长期高质量发展提供动力支持。投资建议：公司作为国内头部的建筑数字化服务商，围绕工程项目的全生命周期，当前逐渐开拓海外业务，未来成长空间广阔，我们预测公司2025-2027年的营业收入为64.43、67.10、69.80亿元，归母净利润为4.48、6.46、8.71亿元，EPS为0.27、0.39、0.53元/股，对应的PE为54、38、28倍。考虑到公司的市场格局，以及行业的成长空间，给与2025年60xpe，对应目标价16.2元，维持“推荐”评级。风险提示：竞争格局恶化，出海战略不及预期，宏观经济波动等。,,华创证券,推荐,[None],2025-05-25,,增持,6076975,pdf_downloads/2025/2025-05-25/002410-广联达（002410）：2024年报及2025年一季报点评：营收侧略有下滑，AI能力全面提升.pdf,002410,广联达,广联达（002410）：2024年报及2025年一季报点评：营收侧略有下滑，AI能力全面提升
