author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"耿军军,王朗",公司于2026年1月20日收盘后发布《2025年度业绩快报》。点评：2025年营业总收入基本持平，归母净利润增长逐季加速经过公司初步核算，2025年公司实现营业总收入925.18亿元，同比增长0.02%，其中，创新业务和国际主业保持增长，国内主业有所下滑；实现归属于上市公司股东的净利润141.88亿元，同比增长18.46%，费用基本同比持平，利润增长主要来自毛利率提升，汇兑收益（欧元升值）和信用减值损失冲回为正面因素，所得税率小幅上扬为不利因素。公司过去四个季度归母净利润的同比增速分别为6.41%、14.94%、20.31%、25.83%，呈现逐季度加速的态势。经营活动现金流远好于净利润，净利润增速快于收入增速，应收账款与票据总额逐季度下降。固定资产建设的高峰期已过，资本开支从2024年的高峰开始回落。继续坚定研发投入，推进大模型应用落地，智能工厂获得认可公司继续坚定持续投入研发，在业务策略上更加聚焦主业，注重高质量的发展。持续推进大模型应用落地，以数百款大模型产品实现了对云、域、边的全面覆盖；调整组织阵型，推动组织变革，激发组织活力；梳理产品线、强化产品的规划和营销能力建设；以数字化和AI推动研发、营销服和供应链等各部门的效率提升；创新业务收入快速增长、盈利能力显著提升，成为公司增长的重要引擎。公司“数智质量”管理模式获得了中国质量奖，智能工厂入选全国首批“领航级智能工厂”培育名单。智能感知+AI前景广阔，相关产品逐步进入成长期公司持续专注智能物联主航道，智能感知+AI的应用前景广阔。2025年，公司在城市治理、工业与能源等行业的AI应用上有持续推进，海康机器人、海康汽车电子、海康微影、海康睿影等均实现了较快增长。在AI技术相关产品的S曲线上，不同产品处于不同的位置，预计2026年以后将有越来越多的产品从S曲线的导入期进入到成长期。盈利预测与投资建议公司面向全球用户提供以视频为核心的智能物联网解决方案和大数据服务，在技术、产品与解决方案等方面拥有全面优势，未来持续的成长空间较为广阔。参考公司《2025年度业绩快报》，调整2025-2027年的营业收入预测至925.18、990.15、1054.98亿元，调整归母净利润预测至141.88、152.01、160.92亿元，EPS为1.55、1.66、1.76元/股，对应的PE为20.64、19.26、18.20倍。考虑到行业的成长空间和公司业务的持续成长性，维持“买入”评级。风险提示国内经济转型风险；全球经济下行风险；地缘政治环境风险；技术更新换代风险；内部管理风险；客户支付能力下降导致的资金风险；法律合规风险；汇率波动风险；供应链风险；网络安全风险；知识产权风险。,,国元证券,买入,[None],2026-01-26,,买入,8362770,pdf_downloads/2026/2026-01-26/002415-海康威视（002415）：2025年度业绩快报点评：聚焦主业高质量发展，利润增长逐季加速.pdf,002415,海康威视,海康威视（002415）：2025年度业绩快报点评：聚焦主业高质量发展，利润增长逐季加速
"黄乐平,陈旭东,于可熠",2026年1月21日│中国内地 其他电子 海康威视发布2025年度业绩快报，Q4业绩加速释放。2025年全年实现营收925.18亿元（yoy+0.02%），归母净利141.88亿元（yoy+18.46%）。其中，Q4单季度营收267.60亿元，归母净利48.69亿元，同比增速达25.83%，呈现逐季度加速态势（Q1-Q4增速分别为6.41%、14.94%、20.31%、25.83%）。公司经营质量显著提升，经营活动现金流表现优于净利润，资本开支已过高峰期。展望2026年，我们看好：1）公司坚定执行“以利润为中心”的经营导向，创新业务与海外市场韧性凸显；2）AI应用技术持续推进，更多产品从导入期进入成长期。上调目标价至45元（前值：43.1元），维持“买入”评级。坚定“以利润为中心”，经营质量与回报显著提升公司主动推进全面经营策略调整，2025年利润增速（18.46%）显著快于收入增速（0.02%）。财务健康状况大幅改善：1）现金流充沛：2025年经营活动现金流好于净利润，且显著增长；2）资产负债表优化：持续加强回款管理，应收账款与票据总额逐季度下降；3）资本开支回落：固定资产建设高峰期已过，资本开支从2024年高峰开始回落。此外，硬盘涨价虽带来成本压力，但公司通过观澜编码技术降本及供应链优势，净影响为小幅正贡献。我们观察到公司“数智质量”管理模式获中国质量奖认可，看好公司运营能力长期持续提升。AI大模型全面覆盖，产品逐步由导入期进入成长期公司坚定专注智能物联主航道，AI技术与场景数字化应用前景广阔。我们观察到：1）产品落地：持续推进大模型应用，已推出数百款大模型产品，方案全面覆盖云、域、边，实现物理信号向数字信号的转化与信息萃取。2）商业化进程：预计2026年以后，将有越来越多产品从S曲线的导入期进入成长期。3）行业应用：2025年在城市治理、工业与能源等行业的AI应用持续推进，助力海康机器人、汽车电子、微影等创新业务实现较快增长。创新与海外业务双轮驱动，平滑国内主业波动从收入结构看，2025年公司国内主业有所下滑，但创新业务和国际主业保持增长，有效支撑整体营收持平。1）海外业务：展现出较强韧性，其中发展中国家（占海外收入约70%）增速高于发达国家；面对美加印等市场的波动挑战，公司通过拓展非视频产品（报警、显示、机器人等）及非经销业务（工业、能源行业）积极应对。2）创新业务：成为公司增长重要引擎，盈利能力显著提升。海康机器人分拆上市工作有序推进，目前处于深交所创业板等待阶段。我们长期看好公司创新和海外业务引领收入增长，平滑国内主业波动。盈利预测与估值我们看好公司坚定“以利润为中心”，毛利率持续提升。考虑到公司经营质量显著提升，盈利能力有望修复，上调2025/2026/2027年归母净利润5.0%/6.0%/6.3%至141.9/164.5/192.8亿元，对应EPS分别为1.55/1.80/2.10元。考虑到公司处于龙头地位，行业复苏中率先受益，业务稳健性高，AI应用相关产品从导入期进入成长期，基于25x 26E PE（可比公司15.7x 26E PE），给予目标价45元（前值：43.1元，基于25.5x 26E PE），维持“买入”风险提示：半导体周期下行，AI需求不及预期，技术研发不达预期的风险。,,华泰证券,买入,[None],2026-01-22,,买入,8351199,pdf_downloads/2026/2026-01-22/002415-海康威视（002415）：看好AI产品从导入期进入成长期.pdf,002415,海康威视,海康威视（002415）：看好AI产品从导入期进入成长期
"杨林,杨蒙,钟明翰",本报告导读：公司发布2025年度业绩快报，收入925亿基本持平，归母净利润141.88亿元（同比+18.46%），高质发展经营策略成效显著叠加AI赋能，看好公司长期发展空间。投资要点：投资建议：维持“增持”评级，上调目标价至43.35元。公司2025年归母净利润141.88亿元（同比+18.46%），公司利润导向成效显著，创新业务及海外市场拓展成为重要增长引擎，而AI有望赋能公司未来发展。预计公司2025-2027年EPS分别为1.55(+0.09)/1.75(+0.08)/2.02(+0.07)元。考虑到公司目前已成为成熟期的行业龙头收入体量较大，给予公司2025年28倍PE，上调目标价至43.35元/股。Q4利润增速亮眼，经营策略成效显著。2025年公司实现营收925.18亿元，与2024年持平；归母净利润141.88亿元（yoy+18.46%）；扣非归母净利润136.96亿元（yoy+15.92%）。单Q4公司营收267.60亿元（yoy-2.70%）；归母净利润48.69亿元(yoy+25.83%)；扣非归母净利润47.25亿元(yoy+28.97%)。核心原因系公司主动推进全面经营策略调整，放弃了部分低质量的营收规模，转而追求高质量、可持续的利润增长，持续推动组织变革和精细化管理。这一战略转变直接带来了费率的优化和利润的修复。利润同比增速逐季上行，运营能力驱动高质发展。公司2025年Q1、Q2、Q3、Q4归母净利润同比增速分别为6.41%、14.94%、20.31%、25.83%，呈逐季上行趋势。2025年公司经营性现金流显著增长，这得益于公司加强了应收账款回款管理，并未为了冲刺营收规模而放宽信用政策，资产负债表质量进一步夯实。公司的高质量增长体现为应收和毛利率同步改善，除响应反内卷的政策之外，公司不断提升的运营能力也是毛利率持续改善的重要驱动因素，去年获得的中国质量奖和领航级智能工厂都是运营能力的体现。AI赋能与创新业务将成为公司长期引擎。公司2025年展示上百款“物联感知+AI”产品，并发布海康观澜大模型赋能工业场景，以数百款大模型产品实现了对云、域、边的全面覆盖，并在城市治理、工业与能源等行业的AI应用上有持续推进，海康机器人、海康汽车电子、海康微影、海康睿影等均实现了较快增长。随着国家对“十五五”制造业高质量发展的规划推进，公司在工业数字化领域的深厚积累将持续变现。风险提示：创新业务发展不及预期，下游需求增长不及预期。,,国泰海通,增持,[None],2026-01-21,,买入,8349809,pdf_downloads/2026/2026-01-21/002415-海康威视（002415）：业绩快评：高质量发展成效显著，AI焕新增长动能.pdf,002415,海康威视,海康威视（002415）：业绩快评：高质量发展成效显著，AI焕新增长动能
"薛宏伟,蒯剑,李晋杰","核心观点比基本持平；归母净利润为141.9亿元，同比增长18%。我们测算，25Q4公司实现归母净利润为48.7亿元，同比增长26%，2025年各季度利润增速逐季提升。整，坚定执行以利润为中心的经营导向，持续推动组织变革和精细化管理，加快数字化转型，努力实现高质量、可持续的增长。同时，本年公司持续加强应收账款回款管理，经营性现金流显著增长，为公司稳健运营和可持续发展提供了坚实保障。大幅拓展AI应用能力边界；公司多年来垂直深耕多行业，构建了领先的行业应用能力以及高效的AI工程化落地体系，能快速响应行业需求。部分投资者认为，AI大模型的应用主要是生成式AI。我们认为，海康的观澜大模型可以显著提升识别准确率，并降低大模型部署成本；多模态大模型技术让海康的电磁波、机械波等多维感知硬件产品获得更广泛应用，扩大市场空间。的安防业务占比高，由于政府安防投资成长空间有限，公司产品未来市场需求受限。我们注意到，2024年末以来，政府的建设韧性城市的意见、中央城市工作会议和人工智能+行动意见等有望促进政府对海康的视频监控等产品的需求。盈利预测与投资建议我们预测公司25-27年每股收益分别为1.55/1.76/2.03元（此前预测为1.49/1.74/2.03
元，主要调整了营业收入、毛利率和费用率），根据可比公司 26 年 27 倍 PE 估值水
平，对应目标价为 47.52 元，维持买入评级。风险提示
关税等因素导致宏观经济波动，带来下游需求不及预期；AI 技术研发及商业化落地进度
滞后；海外市场政策风险与汇率波动；行业竞争加剧导致毛利率波动。",,东方证券,买入,[None],2026-01-21,,买入,8348453,pdf_downloads/2026/2026-01-21/002415-海康威视（002415）：利润增速逐季提升，大模型应用逐步拓展.pdf,002415,海康威视,海康威视（002415）：利润增速逐季提升，大模型应用逐步拓展
"薛宏伟,蒯剑",核心观点事件：海康威视发布2025年度业绩快报。2025年公司营业收入为925.2亿元，同比基本持平；归母净利润为141.9亿元，同比增长18%。我们测算，25Q4公司实现归母净利润为48.7亿元，同比增长26%，2025年各季度利润增速逐季提升。公司以利润为中心，持续提升经营质量。2025年度公司主动推进全面经营策略调整，坚定执行以利润为中心的经营导向，持续推动组织变革和精细化管理，加快数字化转型，努力实现高质量、可持续的增长。同时，本年公司持续加强应收账款回款管理，经营性现金流显著增长，为公司稳健运营和可持续发展提供了坚实保障。公司逐步成为多场景AI应用企业，大大拓展业务成长边界。公司自研观澜大模型，大幅拓展AI应用能力边界；公司多年来垂直深耕多行业，构建了领先的行业应用能力以及高效的AI工程化落地体系，能快速响应行业需求。部分投资者认为，AI大模型的应用主要是生成式AI。我们认为，海康的观澜大模型可以显著提升识别准确率，并降低大模型部署成本；多模态大模型技术让海康的电磁波、机械波等多维感知硬件产品获得更广泛应用，扩大市场空间。近期多项政策有望促进市场对海康产品的需求。部分投资者认为公司来自地方政府的安防业务占比高，由于政府安防投资成长空间有限，公司产品未来市场需求受限。我们注意到，2024年末以来，政府的建设韧性城市的意见、中央城市工作会议和人工智能+行动意见等有望促进政府对海康的视频监控等产品的需求。我们预测公司25-27年每股收益分别为1.55/1.76/2.03元（此前预测为1.49/1.74/2.03元，主要调整了营业收入、毛利率和费用率），根据可比公司26年27倍PE估值水平，对应目标价为47.52元，维持买入评级。风险提示关税等因素导致宏观经济波动，带来下游需求不及预期；AI技术研发及商业化落地进度滞后；海外市场政策风险与汇率波动；行业竞争加剧导致毛利率波动。,,东方证券,买入,[None],2026-01-20,,买入,8348235,pdf_downloads/2026/2026-01-20/002415-海康威视（002415）：利润增速逐季提升，大模型应用逐步拓展.pdf,002415,海康威视,海康威视（002415）：利润增速逐季提升，大模型应用逐步拓展
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",3Q25经营质量持续提升，归母净利润同比增长20.31%。公司前三季度实现营收657.58亿元(YoY+1.18%)，归母净利润93.19亿元(YoY+14.94%)，其中3Q2公司实现营收239.4亿元(YoY+0.66%，QoQ+2.81%)；归母净利润36.62亿元(YoY+20.31%，QoQ+1.19%），毛利率45.67%(YoY+2.13pct，QoQ+0.26pct)，通过以利润为中心进行组织变革和精细化管理，三季度末的应收账款与应收票据总额降至359.69亿元，较年初下降46.64亿元；前三季度经营活动产生的现金流量净额为136.97亿元，同比增长426%，创公司同期历史新高，经营质量持续提升。国内主业调整成效渐体现，海外与创新业务保持增长。通过对产品线分层次管理与考核利润优化组织，主业经营质量提升；其中，SMBG三季度营收同比降幅已收窄至个位数，毛利额和扣费毛利额均实现同比正增长，经过一年，经销商渠道去库存和运营模式调整的目标已基本实现。此外，海外除美国、加拿大、印度等市场，其他市场保持较好的收入增长，海外非经项目收入占比已提升至30%左右。创新业务端，以海康机器人、汽车电子、海康睿影等均实现较高增速。大模型产品加速渗透，AI应用场景逐步拓宽。在产品端，AI模型在周界、行为分析、文搜、毫米波/X光安检等产品上迭代升级，以文搜产品为例，通过对应用市场扩展在SMBG销售实践中取得良好成果。在应用端，一方面大模型对内赋能提升内部运营效率；另一方面大模型技术为基础的解决方案在工业等垂直场景逐步推广，如工业产线标准作业流程（SOP）检测、安全生产方案等助力工业生产效率提升的解决方案加速应用。资本开支逐步下降，股东回报稳定。公司过去资本持续投入已基本满足发展需求，公司预计未来资本开支将下降；此外，公司对G端和B端客户进行管理优化，应收账款持续改善。随着稳健利润带来充沛的自由现金流，公司股东回报持续，过去一年，海康威视已现金分红100.96亿元，注销式回购20.28亿元，合计121.25亿元。投资建议：我们看好公司经营提质增效与AI应用落地带来的长期增长动能，短期考虑公司产品结构优化及费用调整，略上调毛利率，下调费用率，预计25-27年归母净利润137.6/152.1/69.7亿元（26-28年前值：135/149/169亿元），对应25-27年PE为22.2/20.1/18.0倍，维持“优于大市”评级。风险提示：宏观经济增长不及预期，海外需求增长不及预期。,,国信证券,优于大市,[None],2025-11-05,,买入,7488983,pdf_downloads/2025/2025-11-05/002415-海康威视（002415）：3Q25归母净利润同比增长20.31%，经营质量持续提升.pdf,002415,海康威视,海康威视（002415）：3Q25归母净利润同比增长20.31%，经营质量持续提升
"刘高畅,陈泽青",三季报业绩企稳回暖，利润释放和现金流回暖凸显优秀管理能力。2025年单三季度公司实现收入增速0.66%，相比Q2收入负增长的情况，增速环比转正，体现出公司抵御宏观经济波动的实力；与此同时，公司2025单二季度归母净利润增速为15%，而2025单三季度归母净利润增速达到20%，公司经营活动产生的现金流净额达到136.97亿元，同比激增426%，业绩质量改善，基本面开始企稳。针对智能物联领域痛点，海康推出观澜大模型，可在千行百业落地。人工智能赋能各行各业的过程中，遭遇了一系列的痛点与挑战，包括数据的依赖性、传统深度学习泛化能力不足、算力成本较高等痛点。针对这些问题，海康威视推出观澜大模型，它分为基础大模型、行业大模型和任务模型三层结构，其视觉大模型可以有效提升同场景上的性能上限和跨场景的泛化能力。AI行业落地已有大量实例，有效赋能下游降本增效。1）拥有大量原材料仓储的工业企业的共同痛点：原料管理困难。海康威视赋能裕泰化工，提供智能盘库解决方案，极大提升原料清点效率，用AI+3D扫描的方法精准盘库，耗时从4小时降低到15分钟。2）海康威视AI赋能天业冷链，数字化提升公司全流程效率。海康的车辆调度管理系统实现出入园线上化，时间缩短超80%，沟通成本大降。海康AI月台相机实现月台占用状态监测、自动识别车牌、车辆进出时间同步、作业人数、车尾门开关状态、装载率进度分析等功能，车辆等待时间平均下降15分钟，月台使用效率提升50％，实现高效调度。3）广东建工携手海康威视，AI解决工地管理传统痛点。传统上安全员都是全靠记忆，回到办公室再手写记录日志，压力大且易遗漏。现在配备海康威视工地安全生产检查记录仪后，全天候视频记录巡检全过程，同时采用AI记录，自动转化为格式规范、内容详实的安全生产巡检文字日志，准确度和效率都有所提升。工地劳务方面，海康采用AI摄像头实现智能考勤和外来人员预警，筑牢人员安全防线。我们认为，海康威视作为AI产业落地龙头企业，基本面已企稳回稳，其人工智能已有大量项目实例落地，未来有望进一步赋能千行百业，核心受益于AI产业化落地大浪潮。投资建议。考虑到全球宏观经济的波动性、下游景气度情况，以及公司最新三季报的稳健业绩，我们预计公司2025E/26E/27E分别实现归母净利润140.41/151.82/165.50亿元，考虑到公司AI领域的领军地位，维持“买入”评级。风险提示：国内需求不确定性；贸易关系扰动风险；原材料涨价风险；AI推进不及预期的风险。,,国盛证券,买入,[None],2025-10-31,,买入,7083277,pdf_downloads/2025/2025-10-31/002415-海康威视（002415）：基本面企稳回暖，AI赋能企业数字化已进入落地阶段.pdf,002415,海康威视,海康威视（002415）：基本面企稳回暖，AI赋能企业数字化已进入落地阶段
"王芳,杨旭,李雪峰",报告摘要事件：公司发布2025年第三季度报告，2025年前三季度实现营业收入657.58亿元，同比增长1.18%，归母净利润93.19亿元，同比增长14.94%，扣非归母净利润89.71亿元，同比增长10.06%；25Q3实现营业收入239.40亿元，同比增长0.66%，归母净利润36.62亿元，同比增长20.31%，扣非归母净利润34.82亿元，同比增长19.73%。25年前三季度业绩稳健增长，经营现金流显著改善。1）收入及毛利：25年前三季度营收657.58亿元，yoy+1.18%；综合毛利率45.37%，yoy+0.61pct。2）费用：25年前三季度期间费用率yoy-0.91pct，除销售费用率同比增加（yoy+0.09pct）外，其他费用率均小幅下滑，其中财务费用率下降明显（yoy-0.76pct）。3）利润：25年前三季度归母净利润93.19亿元，yoy+14.94%，主要因为收入及毛利端增长的同时期间费用下降；扣非归母净利润89.71亿元，yoy+10.06%。4）现金流及应收：经营活动现金流量净额136.97亿元，yoy+426.06%，主要因为销售回款增加，同时应收票据及应收账款同比减少12.91%，体现公司回款能力明显增强。25Q3业绩同环比均实现正增长。1）收入及毛利：25Q3单季营收239.40亿元，yoy+0.66%、qoq+2.81%，综合毛利率45.67%，yoy+1.42pct、qoq+0.26pct，收入和毛利同环比均实现提升。2）利润：25Q3归母净利润36.62亿元，yoy+20.31%、qoq+1.19%，主要源于收入和毛利实现增长；扣非归母净利润34.82亿元，yoy+19.73%、qoq-2.26%；净利率16.59%，yoy+2.85pct、qoq-0.80pct。AI大模型产品应用逐步规模化落地，创新业务保持较好增长。公司坚持自研多模态感知大模型与开源的语言大模型并举，自研的多模态物联感知大模型在周界、行为分析、文搜、毫米波/X光安检等众多产品上持续迭代升级。应用层面，AI大模型技术既在内部运营的智能客服、智能配单等认知应用上得到大规模推广，智能体应用也在工业设备的故障诊断、科学仪器的色谱分析仪、海康睿影的X光工业检等产品上获广泛应用。解决方案层面，工业产线标准作业流程检测、安全生产方案等在9月举行的中国工博会上获广泛关注。商业化方面，一方面以AI开放平台支撑丰富的AI产品，辅以培训赋能和AI工具，让AI产品落地更快；另一方面，依托销售网络让边远区县用户也能迅速上手AI大模型产品。此外受益于汽车、锂电、电子电器和物流、交通等下游行业需求拉动，海康机器人、海康汽车电子、海康睿影等创新业务均实现较高的收入增速。我们预计2025-2027年公司净利润为134/157/188亿（25-27年前值132/155/184亿元），对应PE估值分别为23/19/16倍，维持“买入”评级。风险提示：行业景气不及预期；技术更新换代风险；地缘政治环境风险；汇率波动风险等。,,中泰证券,买入,[None],2025-10-30,,买入,7045071,pdf_downloads/2025/2025-10-30/002415-海康威视（002415）：Q3业绩同环比增长，AI大模型产品逐步落地.pdf,002415,海康威视,海康威视（002415）：Q3业绩同环比增长，AI大模型产品逐步落地
Lin Yang,本报告导读：公司亮相2025中国工博会，展示了上百款“物联感知+AI”软硬件产品，工业场景数字化能力赋能灯塔工厂，点亮中国智造未来，看好公司长期发展空间。投资要点：投资建议：维持“优于大市”评级。公司创新业务及海外市场拓展成为重要增长引擎，而AI有望赋能公司未来发展，我们预计公司2025-2027年EPS分别为1.47/1.68/1.97元。公司作为安防龙头叠加创新业务增长强劲，给予公司2025年28倍PE，对应目标价为40.98元/股。“灯塔工厂”是由世界经济论坛（WEF）与麦肯锡公司于2018年联合提出的概念，被誉为“世界上最先进的工厂”。其核心是通过整合物联网、人工智能、5G、大数据、数字孪生、区块链等先进技术，构建智能化、数字化与可持续发展深度融合的生产体系，实现从研发设计到终端交付全链条的效率跃升与模式革新。截止到当前，全球已评出十四批次、201家“灯塔工厂”，中国以85家的数量领跑全球，占到全部的42.29%。剑指“灯塔工厂”，公司以“物联感知、人工智能、大数据”三大技术核心打造产品布局。海康威视以可见光为中心，构建了覆盖毫米波、红外等电磁波谱系，并融合声波、振动等传感技术的多维感知体系，形成完整的物联据入口。丰富的物联感知素材为大模型的训练提供了高质量的数据基础，支持海康威视人工智能算法的迭代精进，海康威视观澜大模型构建了物联感知大模型、语言大模型和多模大模型能力，服务于从感知到认知的技术链条。海康威视凭借在云计算、大数据等技术领域的深厚积累，构建了“云边融合、物信融合、数智融合”的能力架构，实现了数据的高效处理与分析。近年来，海康威视持续为工业领域的各行业量身定制场景数字化解决方案。在南京钢铁厂，海康威视专用抗振相机搭配吊钩跟跑算法，解决高空“穿针引线”般的行车吊装难题，提升安全与效率；在中孚实业，面对超 1200℃磷生铁水浇筑，人工现场操作易受伤害、远程操控易产生误差的难题，海康威视低延时高温高亮相机，让工作人员在集控室即可清晰观测现场，并精准远程操控，消除人工安全风险，又解决操控迟滞问题；在华新水泥，毫米波雷达产品2分钟内完成对库内庞大骨料数量的盘点，使产品质量稳定性提升60%。风险提示：创新业务发展不及预期，下游需求增长不及预期。,,海通国际证券,优于大市,[None],2025-10-24,,买入,6716893,pdf_downloads/2025/2025-10-24/002415-海康威视（002415）：“物联感知十AI”赋能灯塔工厂，点亮中国智造未来.pdf,002415,海康威视,海康威视（002415）：“物联感知十AI”赋能灯塔工厂，点亮中国智造未来
"杨烨,张益敏,郑元昊,吴姣晨",事件：公司发布2025年三季度报告，2025前三季度营业收入657.58亿元，同比增长1.18%；归母净利润93.19亿元，同比增长14.94%；扣非归母净利润89.71亿元，同比增长10.06%；拟每股派发现金红利4.00元（含税），共计分配现金红利36.66亿元。3Q2025盈利改善，现金流回暖。3Q2025营收239.40亿元，同比增长0.66%；归母净利润36.62亿元，同比增长20.31%；扣非归母净利润34.82亿元，同比增长19.73%，利润增速显著高于营收增速，坚定“以利润为中心”战略。3Q2025毛利率45.67%，同比+1.42 pct，主要因国内主业经销运营模式与产品结构调整，以及海外业务驱动所致。归母净利率15.30%，同比+2.50 pct；经营活动产生的现金流量净额136.97亿元，同比增长426.06%，创同期历史新高。3Q2025公司销售/管理/研发/财务费用率分别为13.12%/3.52%/12.82%/0.44%，较上年同期-0.02/+0.16/+0.04/-0.05pct。创新业务赋能增长，主营业务转型升级。1）创新业务方面，公司已孵化八大方向创新业务，营收占比持续提升。受益于汽车、锂电、电子电器和物流、交通等下游行业需求拉动，海康机器人、海康汽车电子、海康睿影等创新业务均实现较高收入增速。2）主营业务方面，公司积极调整营销策略，持续加大技术投入，推动AI大模型产品落地。SMBG三季度营收同比降幅已收窄至个位数，毛利额实现同比正增长，经销商去库存目标基本实现。3）海外业务方面，治安防控、交通管理、城市治理等需求强劲，公司实施“一国一策”灵活战略，以亚太区域为试点，逐步输出解决方案，若顺利落地可为公司带来稳定可持续现金流。4）财务活动方面，过去12个月公司已实施现金分红100.96亿元，注销式回购20.28亿元，合计121.25亿元，计划未来持续提高分红频率和派息率，实现业绩增长与高额分红的良性循环。投资建议：公司AIoT龙头地位稳固，在国家政策和场景数字化双牵引下，有望实现业绩加速恢复及增长。我们预计公司2025-2027年营收948.94/1022.11/1119.68亿元，归母净利润141.01/157.49/177.65亿元。对应PE为21.03/18.83/16.69倍，维持“增持”评级。风险提示：市场竞争加剧、地缘政治风险、技术落地不及预期等。,,财通证券,增持,[None],2025-10-21,,增持,6675962,pdf_downloads/2025/2025-10-21/002415-海康威视（002415）：经营持续改善，重视历史底部机遇.pdf,002415,海康威视,海康威视（002415）：经营持续改善，重视历史底部机遇
