author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"杨林,魏宗,吕浦源","本报告导读：公司是国内首批从事光纤激光切割控制系统开发的企业，技术积累扎实，核心业务
稳健发展，大客户基础扎实，智能化精密化高端业务发展前景广阔，积极布局工业
人工智能等新兴领域，具备穿越行业波动的长期盈利能力。投资要点：投资建议：首次覆盖，给予“买入”评级。预计公司2025-2027年实现归母净利润10.85/13.08/16.74亿元，收入分别21.45/27.36/36.92亿元，公司主营业务结构清晰，技术优势显著，未来发展空间较大，基于可比公司2026年平均56.8倍PE，最终保守给予公司2026年37倍PE估值，对应合理市值为483.96亿人民币，对应公司目标价167.46元。公司是国内中低功率激光切割控制系统的龙头。25H1公司实现营业收入11.0亿元，同比+24.9%，较2024年全年增速（+23.33%）进一步提升。2022-2024年，公司毛利率分别为78.97%/80.33%/79.93%，2025年上半年为78.8%，维持在历史高位区间。反映公司核心激光控制系统业务核心业务仍处于强劲的扩张周期，智能焊接、精密加工等新兴业务的高速增长正驱动公司营收增速进一步提升。核心业务稳健发展，智能化精密化快速拓展。核心业务稳健发展，国产龙头地位稳固。公司收入支撑经历了由板卡和随动系统向激光切割头和总线系统的转型，占据国内激光切割控制系统市场主导，在此基础上，公司募投战略聚焦智能焊接、精密加工等高端软件与解决方案，打造第二增长曲线。智能焊接业务与公司核心控制技术同源，已获得船厂供应链等关键市场准入，放量基础稳固。精密加工业务则旨在与平面切割业务形成协同，为客户提供一站式制造解决方案，是未来重要的增长点。生态卡位和出海业务打开长期想象空间。公司凭借软硬件协同和深度学习算法等技术打造技术壁垒，规避内卷降价风险，以轻资产、重研发的生产模式穿越行业周期，支撑长期盈利；出海业务依靠下游捆绑销售，得到厂商认可，并欧美、东南亚多地设置或预备设置业务点，港澳台及海外业绩增速多年超过国内，想象空间广阔。风险提示：传统主业需求增长不及预期的风险，新兴业务进展不及预期的风险等。",,国泰海通,买入,[None],2026-01-31,,买入,8377958,pdf_downloads/2026/2026-01-31/688188-柏楚电子（688188）：首次覆盖报告：技术积淀稳基本，智控布局越周期.pdf,688188,柏楚电子,柏楚电子（688188）：首次覆盖报告：技术积淀稳基本，智控布局越周期
黄瑞连,事件概述公司发布2025年三季报。激光切割快速渗透，收入端实现快速增长25Q1-Q3公司实现营业收入16.20亿元，同比+25%，其中Q3为5.16亿元，同比+24%，基本符合市场预期。分业务来看，在平面解决方案稳健增长基础上，管材、三维解决方案激光渗透加速，我们判断延续快速增长。展望25Q4，海外需求持续放量，钢构景气回升+船舶等行业逐步导入，看好高功率需求上行，管材切割、三维切割方案快速导入，公司收入端有望延续快速增长产品结构调整短期压制毛利率，Q3净利率有所波动25Q1-Q3归母净利润和扣非归母净利润分别9.04和8.44亿元，同比+25%和+22%，其中Q3分别2.64和2.50亿元，同比+13%和+13%。25Q3销售净利率/扣非销售净利率分别52.18%和48.44%，分别同比-6.39和-4.42pct。25Q3销售毛利率76.52%，同比-5.84pct，我们判断主要系产品结构调整，为净利率下降主要原因。25Q3期间费用率21.47%，同比-2.26pct，主要系财务费用率下降。智能焊接进入1到N放量元年，工控软件龙头无边界成长逻辑打通1)智能焊接：我们预计仅我国钢结构行业对于智能焊接控制系统的潜在存量需求约107亿元，经历了过去2-3年的技术打磨，行业具备1到N放量的底层技术条件，公司与多家主流钢构厂建立紧密合作关系。此外，根据高工机器人，钱江、倍可、大族、藦卡、沪工等集成商均已直接采用公司免示教焊接系统，公司先发优势明显，充分受益于行业发展浪潮。2）精密加工：公司研发高性能振镜控制系统，配合驱控一体产品、视觉定位模块，提供Topcon激光加工的成套解决方案；储备BC电池激光图形化、钙钛矿电池激光制程等技术方案，进一步拓展能力圈。投资建议考虑到下游景气度和盈利水平变化，我们调整公司2025-2027年营业收入预测分别为22.11、27.77和34.81亿元（原值22.75、29.55和37.76亿元），分别同比+27%、+26%和+25%；调整2025-2027年归母净利润预测分别为11.13、13.74和17.11亿元（原值11.41、14.74和18.80亿元），分别同比+26%、+24%和+25%；调整2025-2027年EPS分别为3.85、4.76和5.93元（原值3.96、5.11和6.52元），2025/11/05收盘价136.10元对应PE分别为35、29和23倍。基于公司在工业软件领域市场竞争力&amp;平台化拓展能力，维持“增持”评级。风险提示制造业景气下滑、竞争格局恶化、盈利水平下滑等。,,华西证券,增持,[None],2025-11-06,,增持,7512867,pdf_downloads/2025/2025-11-06/688188-柏楚电子（688188）：2025年三季报点评：收入端稳健快速增长，看好智能焊接1到N放量.pdf,688188,柏楚电子,柏楚电子（688188）：2025年三季报点评：收入端稳健快速增长，看好智能焊接1到N放量
"吴双,杜松阳",2025年前三季度营业收入同比增长24.51%，归母净利润同比增长24.61%。公司发布2025年三季报，2025年前三季度实现营收16.20亿元，同比增长24.51%；归母净利润9.04亿元，同比增长24.61%。单季度看，2025年第三季度公司实现营收5.16亿元，同比增长23.71%；归母净利润2.64亿元，同比增长12.63%。公司收入利润保持双位数增长，主要受益于下游激光切割控制系统需求稳定及公司产品竞争力提升。盈利能力方面，2025年前三季度公司毛利率/净利率为78.09%/57.19%，同比变动-3.54/-2.23pct。期间费用方面，2025年前三季度公司销售/管理/研发/财务费用率分别为5.09%/5.95%/11.17%/-1.65%，同比变动+0.05/+0.05/-0.90/+0.22pct，研发投入保持高位。现金流表现强劲，战略布局聚焦长期发展。公司经营质量优异，资金运用效率持续提升。前三季度经营活动现金流量7.85亿元，同比增长24.05%，与净利润匹配度高；期末货币资金与交易性金融资产合计52亿元，资金储备充裕为技术研发与并购整合提供支撑；通过参股产业链相关企业完善生态布局，强化智能制造解决方案提供商定位。各业务多点开花，智能焊接突破至船舶、铁塔等行业。公司核心业务与技术平台协同发展，新兴应用领域突破明显。高功率激光切割控制系统受益于制造业智能化改造，市占率稳步提升；智能焊接机器人控制系统目前主要面向于建筑钢结构行业，同时船舶、电力铁搭、变压器油箱等行业均有涉及，开始贡献增量收入；超快激光控制系统在精密加工领域加速渗透，成为新的增长点；工业软件平台功能持续完善，增强客户粘性与交叉销售能力。投资建议：公司为国内激光切割设备控制系统龙头，在行业景气承压背景下通过高功率产品及智能切割头放量仍保持了较好增长，后续焊接业务有望打开新的增长空间，同时布局超高精度加工领域，看好公司未来成长。我们维持盈利预测，预计2025-2027年归母净利润11.28/14.37/18.06亿元，对应PE值25/20/16x，维持“优于大市”评级。风险提示：市场竞争加剧的风险、原材料价格波动的风险、新业务发展不及预期的风险、国际贸易摩擦的风险。,,国信证券,优于大市,[None],2025-11-03,,买入,7332847,pdf_downloads/2025/2025-11-03/688188-柏楚电子（688188）：2025年三季度利润同比增长13%，智能焊接实现多行业突破.pdf,688188,柏楚电子,柏楚电子（688188）：2025年三季度利润同比增长13%，智能焊接实现多行业突破
"周尔双,黄瑞",Q3归母净利润同比+12.63%，高功率产品渗透率持续突破2025年前三季度公司实现营业总收入16.20亿元，同比+24.51%；实现归母净利润9.04亿元，同比+24.61%；实现扣非归母净利润8.44亿元，同比+21.96%。单Q3公司实现营业总收入5.16亿元，同比+23.71%，实现归母净利润2.64亿元，同比+12.63%，实现扣非归母净利润2.50亿元，同比+13.38%。公司国内中低功率市场占有率维持领先，且仍然保持高功率激光切割控制系统厂商国内第一的市场地位，展望未来，高功率需求提升带动产品结构优化&新技术应用落地，公司收入端有望延续高增。交付结构问题导致公司盈利能力短期承压，费控能力表现优异2025年公司前三季度销售毛利率78.09%，同比-3.54pct，销售净利率57.19%，同比-2.23pct；2025年公司单Q3销售毛利率为76.52%，同比-5.84pct，销售净利率52.18%，同比-6.39pct；（1）毛利端：我们判断毛利率和净利率同比下降主要系部分客户调整了订单排期节奏，导致相对高毛利产品当期收入占比有所降低，低毛利产品交付量阶段性增加，短暂拉低整体毛利率。（2）费用端：2025年Q1~Q3销售期间费用率为20.56%，同比-0.58pct，其中销售/管理/研发/财务费用率分别为5.09%/5.95%/11.17%/-1.65%，同比+0.05/+0.05/-0.9/+0.22pct，整体费用控制良好。智能焊接产业趋势确立，加速孵化新技术应用落地1）中期驱动力：智能焊接在钢结构领域已经进入1-10放量阶段，未来有望突破价值量更高的船舶、桥梁、集装箱等领域。2）长期驱动力：公司基于自主研发的五大核心技术，持续加大对平台基础能力建设的投入，一方面公司持续加大研发投入保持技术领先性，一方面下沉终端市场。保证业务落地确定性及盈利能力，持续孵化新技术应用落地。盈利预测与投资评级：我们维持公司2025-2027年归母净利润预测为10.61/12.93/15.86亿元，对应当前市值PE分别为38/31/26x，维持“买入”评级。风险提示：下游资本开支不及预期，技术研发不及预期，国产替代进程不及预期,,东吴证券,买入,[None],2025-10-30,,买入,6994360,pdf_downloads/2025/2025-10-30/688188-柏楚电子（688188）：2025年三季报点评：Q3收入同比+23.7%，交付结构问题导致盈利能力短期承压.pdf,688188,柏楚电子,柏楚电子（688188）：2025年三季报点评：Q3收入同比+23.7%，交付结构问题导致盈利能力短期承压
谢春生,2025年10月28日│中国内地 计算机应用 柏楚电子发布三季报：Q3实现营收5.16亿元（yoy+23.71%，qoq-15.06%），归母净利2.64亿元（yoy+12.63%，qoq-31.32%）。2025年Q1-Q3实现营收16.20亿元（yoy+24.51%），归母净利9.04亿元（yoy+24.61%），扣非净利8.44亿元（yoy+21.96%）。看好公司高功率切割业务的持续突破与智能焊接业务拓展，维持“买入”评级。收入保持快速增长，毛利率维持较高水平2025年前三季度，公司实现营业收入16.20亿元，同比增长24.51%；实现归母净利润9.04亿元，同比增长24.61%。其中，2025年Q3单季度实现营业收入5.16亿元，同比增长23.71%，归母净利润2.64亿元，同比增长12.63%。公司收入保持快速增长，主要受益于国内高功率厚板切割需求的持续增加、海外业务的不断拓展以及切割头产品渗透率的提升。从盈利能力看，2025年前三季度公司毛利率为78.1%，虽同比有所下降，但仍维持在行业较高水平。我们认为公司或持续受益于国内高功率厚板切割需求增长及国外应用场景的持续拓展，收入有望保持快速增长。销售/管理费用率有所上升，现金流状况良好2025年前三季度公司归母净利率为55.8%，与去年同期基本持平，扣非归母净利率为52.1%。同期公司销售/管理/研发/财务费用率分别为5.09%/5.95%/11.17%/-1.65%，同比变动+0.76pct/+0.05pct/-0.90pct/ +0.22pct。销售、管理费用率有所上升。2025年前三季度，公司销售商品、提供劳务收到的现金为16.36亿元，销售收现/收入比达101.0%，维持在较高水平；经营性净现金流为7.85亿元，同比增长24.05%。公司整体保持了良好的盈利能力及现金流状况。公司高功率切割和智能焊接新业务持续突破公司激光切割业务持续迭代，通过“软硬件协同，智能化控制”实现更高级的自动化功能，巩固行业龙头地位。公司持续推动产品组合销售战略，在保持高功率切割市场快速拓展的同时，切割头配比率有望进一步提高。报告期内公司推出超厚板激光火焰复合切割解决方案，解决高功率切割诸多痛点，产品力得到显著提升。同时智能焊接业务不断向锂电等新行业渗透，并与多个主流工业机器人厂商完成适配。我们认为，凭借公司丰富的工艺数据与技术优势，高功率切割和智能焊接新业务有望持续驱动公司收入快速增长。盈利预测与估值我们基本维持公司 25-27 年归母净利润 12.0/15.4/19.1 亿元的预测，对应 EPS 为 4.17/5.34/6.62 元，可比公司 2025 年 PE 均值为 42.7 倍（iFinD），给予公司 2025 年 42.7倍 PE，目标价 178.06 元（前值 187.68 元，2025PE 44.9×），维持“买入”评级。风险提示：宏观经济波动；技术落地效果不及预期。,,华泰证券,买入,[None],2025-10-29,,买入,6940630,pdf_downloads/2025/2025-10-29/688188-柏楚电子（688188）：营收利润双增，智能焊接进展顺利.pdf,688188,柏楚电子,柏楚电子（688188）：营收利润双增，智能焊接进展顺利
黄瑞连,"事件概述公司发布2025年半年报。激光切割应用快速渗透，收入端实现快速增长25H1实现营业收入11.03亿元，同比+25%，其中Q2营业收入为6.08亿元，同比+21%，基本符合市场预期。1）平面解决方案：25H1实现收入6.77亿元，我们判断延续快速增长；2）管材解决方案：25H1实现收入2.37亿元，激光渗透率加速，我们判断延续快速增长；3）三维解决方案：25H1实现收入0.34亿元，已接近24年全年体量（0.37亿元），充分受益于激光切割在重工等行业渗透率提升。展望25年，海外需求持续持续放量，钢构景气回升+船舶等行业需求逐步导入，看好高功率需求上行，叠加管材切割、三维切割方案快速导入，公司收入端有望延续快速增长。净利率维持高位，利润端表现优异稳健25H1归母净利润和扣非归母净利润分别为6.40和5.94亿元，分别同比+30%和+26%，其中Q2分别3.85和3.53亿元，分别同比+29%和+23%。25H1销售净利率和扣非销售净利率分别59.53%和53.80%，分别同比-0.29和+0.47pct,净利率维持高位。1）毛利端：25H1销售毛利率78.83%，同比-2.45pct，其中平面、管材、三维解决方案毛利率分别82.13%、85.53%和85.01%。单季度来看，25Q2销售毛利率79.71%，环比+1.95pct，明显回升。2）费用端：25H1期间费用率20.14%，同比+0.23pct，其中销售、管理、研发、财务费用率分别同比-0.08、+0.32、-1.10和+1.07pct，财务费用率明显提升，主要系到期定期存款减少，对应的相关利息收入减少。智能焊接进入1到N放量元年，工控软件龙头无边界成长逻辑打通1)智能焊接：我们预计仅我国钢结构行业对于智能焊接控制系统的潜在存量需求约107亿元，经历了过去2-3年的技术打磨，行业具备1到N放量的底层技术条件，公司与多家主流钢构厂建立紧密合作关系。此外，根据高工机器人，钱江、倍可、大族、藦卡、沪工等集成商均已直接采用公司免示教焊接系统，公司先发优势明显，充分受益于行业发展浪潮。2）精密加工：公司研发高性能振镜控制系统，配合驱控一体产品、视觉定位模块，提供Topcon激光加工的成套解决方案；储备BC电池激光图形化、钙钛矿电池激光制程等技术方案，进一步拓展能力圈。投资建议 我们维持公司2025-2027年营业收入预测分别为22.75、29.55和37.76亿元，分别同比+31%、+30%和+28%；调整2025-2027年归母净利润预测分别为11.41、14.74和18.80亿元（原值11.33、14.67和18.70亿元），分别同比+29%、+29%和+28%；调整2025-2027年EPS分别为3.96、5.11和6.52元（原值5.52、7.14和9.10元），2025/9/4收盘价137.38元对应PE为35、27和21倍。基于公司在工业软件领域市场竞争力&amp;平台化拓展能力，维持“增持”评级。风险提示制造业景气下滑、竞争格局恶化、盈利水平下滑等。",,华西证券,增持,[None],2025-09-05,,增持,6395882,pdf_downloads/2025/2025-09-05/688188-柏楚电子（688188）：2025年中报点评：Q2业绩符合预期，激光切割应用加速渗透.pdf,688188,柏楚电子,柏楚电子（688188）：2025年中报点评：Q2业绩符合预期，激光切割应用加速渗透
"吴双,杜松阳",2025年上半年营业收入同比增长24.89%，归母净利润同比增长30.32%。公司发布2025年中报，2025年上半年实现营收11.03亿元，同比增长24.89%；归母净利润6.40亿元，同比增长30.32%。单季度看，2025年第二季度公司实现营收6.08亿元，同比增长20.92%；归母净利润3.85亿元，同比增长29.24%。公司收入利润增长主要系持续加大技术研发及市场开拓投入，整体订单量持续增长所致，未来随着智能切割头等业务拓展，收入有望保持较快增长。盈利能力方面，2025年上半年公司毛利率/净利率为78.83%/58.02%，同比变动-2.45/+0.47pct，2025年第二季度毛利率/净利率为79.71%/65.47%，同比变动-3.06/+1.04pct。期间费用方面，2025年上半年公司销售/管理/研发/财务费用率分别为4.74%/5.54%/10.73%/-0.88%，同比变动-0.08/+0.32/-1.10/+1.07pct，研发费用率下降主要因收入增速高于研发投入增速。激光切割业务增长迅速，切割头收入小幅增长。从业务结构看，公司平面解决方案收入占比61.35%，管材解决方案收入占比21.43%，三维解决方案收入占比3.11%。按照子公司贡献来看，激光切割方面，子公司柏楚数控收入10.9亿元，同比增长28.99%，纵向拓展效果较好；智能切割头方面，子公司波刺自动化收入2.65亿元，同比增长4.33%。激光切割效率持续提升，智能焊接在船舶、桥梁行业有所突破。1）激光切割方面，公司通过软硬协同+智能控制，在桥梁、钢构等行业效率提升，智能切割头进一步升级。2）智能焊接方面，公司实现了多级联动规划、支持超宽工件大幅面工作台加工，提升了船舶、桥梁等行业的生产效率；同时结合AI算法，提升坡口识别的抗干扰能力、视觉能力。3）精密加工方面，公司采用先进的光学相干技术，实现对激光焊接过程中熔深的实时监测和质量控制；光伏行业推出高效、精准的激光划线和激光开槽解决方案。投资建议：公司为国内激光切割设备控制系统龙头，在行业景气承压背景下通过高功率产品及智能切割头放量仍保持了较好增长，后续焊接业务有望打开新的增长空间，同时布局超高精度加工领域，看好公司未来成长。我们小幅上调盈利预测，预计2025-2027年归母净利润11.28/14.37/18.06亿元（原值11.03/14.10/17.58亿元），对应PE值33/26/21x，维持“优于大市”评级。风险提示：新产品进展不及预期；下游需求不及预期；市场竞争加剧。,,国信证券,优于大市,[None],2025-08-25,,买入,6345311,pdf_downloads/2025/2025-08-25/688188-柏楚电子（688188）：2025年上半年利润同比增长30%，智能焊接领域持续突破.pdf,688188,柏楚电子,柏楚电子（688188）：2025年上半年利润同比增长30%，智能焊接领域持续突破
"周尔双,黄瑞",事件：2025年8月21日，公司发布2025年半年度报告。2025H1归母净利润同比+30%，高功率产品渗透率持续突破2025H1公司营业总收入11.0亿元，同比+24.9%；归母净利润6.4亿元，同比+30.3%，扣非归母净利润5.9亿元，同比+26.0%。单Q2公司营业总收入6.1亿元，同比+20.9%；归母净利润3.9亿元，同比+29.2%；扣非归母净利润3.5亿元，同比+22.5%。营收增长主要系公司持续加大技术研发及市场开拓的投入，整体订单量持续增长所致。分产品看，（1）2025H1公司平面解决方案营收6.8亿元，平面方案下游主要系中低功率需求及部分高功率需求，2025年公司国内中低功率市场占有率维持领先，且仍然保持高功率激光切割控制系统厂商国内第一的市场地位，我们预计平面需求保持稳健增长。（2）管材解决方案营收2.4亿元，管材切割主要系高功率需求，受益于渗透率快速提升，我们预计该板块继续保持较快增长。（3）三维解决方案0.34亿元，已接近2024年全年营收，该业务处于导入期有望保持高速增长。展望全年，高功率需求提升带动产品结构优化&amp;新技术应用落地，公司收入端有望延续高增。盈利能力维持高位，费用控制表现优异2025H1公司销售毛利率为78.8%，同比-2.5pct，销售净利率为59.5%，同比-0.3pct。分产品看，（1）2025H1公司平面解决方案毛利率82.1%。（2）管材解决方案毛利率85.5%。（3）三维解决方案85.0%（4）其他业务毛利率52.9%，同比-6.6pct。费用端来看，2025H1公司销售/管理/研发/财务费用率分别为4.7%/5.5%/10.7%/-0.9%，同比-0.1/+0.3/-1.1/+1.1pct，整体费用控制优异。财务费用变动主要系本期到期的定期存款较上期减少，相应利息收入减少。当下激光加工在船舶、桥梁、工程机械等领域渗透率持续上升，公司推出多款智能化、自动化解决方案，相关业务利润率均处于高位。智能焊接产业趋势确立，加速孵化新技术应用落地1）中期驱动力：智能焊接在钢结构领域已经进入1-10放量阶段，未来有望突破价值量更高的船舶、桥梁、集装箱等领域。2）长期驱动力：公司基于自主研发的五大核心技术，持续加大对平台基础能力建设的投入，一方面公司持续加大研发投入保持技术领先性，一方面下沉终端市场。保证业务落地确定性及盈利能力，持续孵化新技术应用落地。盈利预测与投资评级：我们维持公司2025-2027年归母净利润预测为10.61/12.93/15.86亿元，对应当前市值PE分别为41/34/27x，维持“买入”评级。风险提示：下游资本开支不及预期，技术研发不及预期，国产替代进程不及预期,,东吴证券,买入,[None],2025-08-22,,买入,6339258,pdf_downloads/2025/2025-08-22/688188-柏楚电子（688188）：2025半年度业绩点评：2025H1归母净利润同比+30%，高功率产品渗透率持续突破.pdf,688188,柏楚电子,柏楚电子（688188）：2025半年度业绩点评：2025H1归母净利润同比+30%，高功率产品渗透率持续突破
谢春生,2025年8月22日│中国内地 计算机应用 柏楚电子发布半年报，2025年H1实现营收11.03亿元（yoy+24.89%），归母净利6.40亿元（yoy+30.32%），扣非净利5.94亿元（yoy+25.97%）。其中Q2实现营收6.08亿元（yoy+20.92%，qoq+22.55%），归母净利3.85亿元（yoy+29.24%，qoq+50.58%）。我们长期看好公司在高功率切割市场的技术优势，同时智能焊接业务快速发展为公司带来新发展机遇，维持“买入”。受益于下游高功率需求与海外拓展，公司业绩持续快速增长业绩期内，受益于国内高功率厚板切割需求的持续增加、海外业务范围的不断拓展，以及智能焊接业务在不同行业的交付应用，公司收入实现快速增长。报告期内，公司销售/管理/研发费用率分别为4.74%/5.54%/10.73%，yoy-0.08/+0.32/-1.10pct。下游行业智能化技术持续迭代，在钢构、船舶制造领域引入针对复杂工况的智能化解决方案，同时在锂电、光伏领域实现加速渗透。我们认为未来随公司产品不断迭代成熟，技术适用性不断提高，将开辟更多应用场景，公司业绩或持续快速增长。激光切割业务：推出新一代切割头，组合销售战略持续推进公司激光切割业务持续迭代，通过“软硬件协同，智能化控制”实现更高级的自动化功能，主要升级包括：通过异形件U肋扫描，助力桥梁钢构行业生产更高效；推出二次开坡口系统，实现智能扫描定位，零件一键开坡口。25年5月推出新一代BLT6智能切割头，通过鹰眼检边解放双眼，搭载背板防撞功能，通过智感边界实现一键开启全自动加工，寻边速度提升217%，综合效率提升150%。公司激光切割领域优势持续巩固，进一步推动产品组合销售战略，在保持高功率切割市场快速拓展的同时，切割头配比率或进一步提高。智能焊接业务：AI算法持续迭代，适配更多焊接机器人在智能机器人领域，柏楚研发的智能焊接机器人控制系统，打破了传统依赖人工示教的局限，结合AI深度学习算法，推出新一代高端视觉寻缝器，具备较强抗干扰能力，可自动识别复杂工况，让机器人自主解析工件模型、规划焊接路径。报告期内，公司实现包括发那科在内的更多品牌机器人适配，目前已适配的智能焊接机器人品牌已达十余种，并向更多下游行业实现渗透。我们认为，凭借公司丰富的工艺数据与免示教智能算法优势，智能焊接机器人相关产品落地有望加速，为公司业绩增长注入新动能。盈利预测与估值我们基本维持公司 25-27 年归母净利润12.1/15.5/19.2亿元的预测；在公积金转增股本影响下，对应EPS为4.18/5.37/6.65元（下调29%/30%/30%）。可比公司 2025 年PE 均值为 44.9倍（iFinD），给予公司 2025 年 44.9 倍 PE，目标价187.68元（前值220.88元，2025PE 37.5×），维持“买入”评级。风险提示：宏观经济波动；技术落地效果不及预期。,,华泰证券,买入,[None],2025-08-22,,买入,6338776,pdf_downloads/2025/2025-08-22/688188-柏楚电子（688188）：高功率需求持续，智能焊接放量可期.pdf,688188,柏楚电子,柏楚电子（688188）：高功率需求持续，智能焊接放量可期
"姚健,徐风",柏楚电子(688188)事件描述公司发布2024年年报及2025年第一季度报告。2024年，公司实现营业收入17.35亿元，同比+23.33%；实现归母净利润8.83亿元，同比+21.10%；扣非归母净利润8.21亿元，同比+21.81%。25Q1公司实现营业收入4.96亿元，同比+30.12%；归母净利润2.55亿元，同比+31.99%；扣非归母净利润2.41亿元，同比+31.41%。事件点评主业维持增势，盈利能力保持高位。受益于国内高功率厚板切割需求的持续增加及国外应用场景的不断拓展，公司主业维持增长；2024年，整体毛利率/净利率分别为79.94%/53.70%，同比基本持平。分产品来看，平面解决方案收入11.25亿元/yoy+11.83%，收入贡献64.81%，毛利率82.69%/yoy+0.96pct；管材解决方案收入3.80亿元/yoy+38.19%，收入贡献21.91%，毛利率87.54%/yoy-1.00pct；三维解决方案0.37亿元/yoy+409.90%，收入贡献2.12%，毛利率80.67%/yoy-7.69pct；其他收入1.76亿元/yoy+63.45%，收入贡献10.14%，毛利率51.54%/yoy+5.03pct。运控系统+切割头，高功率切割份额有望继续提升。公司在中低功率激光切割运控系统领域的国内市占率约60%，高功率切割通过运控系统+切割头的组合进行拓展，有望逐步打破国际巨头的垄断。2024年，切割头子公司波次自动化营收4.95亿元/yoy+43.70%，净利润2.02亿元/yoy+82.98%，净利率40.84%/yoy+8.77pct。持续拓展下游应用，看好公司智能焊接业务放量。公司智能焊接产品落地案例丰富，在钢构、电力、船舶、桥梁领域获得应用。作为国内智能焊接领域首款真正的数字孪生系统，公司系统可以帮助企业0成本评估工件，提升产能并节约成本。针对钢构行业，公司将形成集合离线编程软件、智能焊缝跟踪系统、智能焊接控制系统、工件视觉定位系统与智能焊接机器人工作站的完整产品解决方案，从而提升钢构行业的自动化加工水平，解决行业用工持续短缺的问题。研发布局超高精度控制，持续拓展平台技术边界。2024年，公司研发OCT激光焊接熔深检测系统，并结合振镜激光焊接加工系统，打造锂电池、电机、电驱等激光焊接整体方案；针对Topcon电池、BC电池，提供激光振镜加工新制程解决方案；储备三维五轴激光精密加工的技术方案，研发um级高精度加工和轨迹规划算法。公司拟通过研发小型高功率密度驱动器、高精度伺服驱动器、多轴运动控制系统以及精密制造工艺研发四个模块，为公司未来超高精密领域产业布局奠定基础。投资建议公司在中低功率激光切割运控系统处于国产龙头地位，并依托平台技术不断拓展高功率切割、智能焊接领域，看好智能焊接业务1-N放量。预计公司2025-2027年EPS分别为5.17/6.36/8.04，对应公司2025年5月20日收盘价193.00元，2025-2027年PE分别为37.4/30.3/24.0，首次覆盖，给予“增持-A”评级。风险提示技术升级迭代风险：公司所处行业属于技术密集型行业，对技术创新能力要求较高，未来如公司不能准确地把握新技术发展趋势，可能使公司丧失技术和市场的领先地位，从而影响公司盈利能力。,,山西证券,增持-A,[None],2025-05-20,,增持,6066790,pdf_downloads/2025/2025-05-20/688188-柏楚电子（688188）：盈利能力维持高位，看好智能焊接业务放量.pdf,688188,柏楚电子,柏楚电子（688188）：盈利能力维持高位，看好智能焊接业务放量
