author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
程志峰,"近期，物产中大披露2025三季报。今年前三个季度，累计实现营业总收入4329.8亿，同比-2.0%;归母净利30.5亿,同比+30.9%；扣非后归母净利24.7亿，同比+23.6%；加权ROE为7.38%，基本每股收益为0.58元。分红政策，公司24年拟派发现金股息约10.86亿人民币，每股约0.21元（含税）; 全年分红1次，约占当年度净利润比例的35.3%。若以年报披露日A股的股价计算，1次分红对应股息率约为4.33%。点评公司是中国供应链集成服务引领者，是首批国家级供应链创新与应用示范企业。公司按照“以供应链思维、做产业链整合、构建物产中大生态圈”的实施路径，塑造战略协同、周期对冲、产融互动的产业格局。&gt;&gt;供应链集成分部，营收2656亿，同比-3.42%，营收占比92.1%，具体业务板块，2025半年报业绩拆分如下：属于公司起步的核心业务；毛利金额28.4亿，毛利占比48.7%&gt;&gt;高端制造分部，营收160.8亿，同比+33.9%，营收占比5.6%，属于公司重点打造板块；毛利金额24.1亿，毛利占比41.4%。&gt;&gt;金融分部，营收68.5亿，同比-4.1%，营收占比2.4%；毛利金额5.8亿，毛利占比约10%。投资评级按照“一体两翼”发展战略，公司围绕智慧供应链集成服务，积极打造金融和高端制造的护城河。报告期内，供应链集成综合服务能力持续提升，叠加大宗商品价格企稳回升，使盈利能力进一步增强。我们看好公司未来发展，维持“增持”评级。风险提示地缘政策风险；价格波动风险；信用风险；货权和贸易执行风险；",,太平洋证券,增持,[None],2025-11-06,,增持,7541549,pdf_downloads/2025/2025-11-06/600704-物产中大（600704）：2025Q3 点评：前三季度归母净利，同比增 30.9%.pdf,600704,物产中大,物产中大（600704）：2025Q3 点评：前三季度归母净利，同比增 30.9%
胡光怿,事件：2025年6月28日，在物产中大集团与舟山市政府的持续推动下，浙江国际大宗商品交易中心于舟山市正式揭牌。该中心以2015年双方联合牵头组建的浙江国际油气交易中心为基础，整合浙江海港大宗商品交易中心、浙江天然气交易市场等资源，完成了省内大宗商品现货交易资源的系统性整合，实现了从单一油气品种向铁矿石、天然气等多品类大宗商品的跨越式拓展。优化资源配置，提升价格影响力。浙江大宗作为大宗商品资源配置枢纽建设的重要平台，具备强大的储备和调控能力，有助于打破以往供应链中资源分散、配置效率低下的局面，使企业无需在资源获取上过度竞争，减少内卷。同时，切实增强我国在国际上的“话语权、定价权、规则权”，更直接地参与国际大宗商品定价，提升价格影响力。市场份额向物产中大等头部企业集中。产业链格局变革背景下，大宗供应链企业经营难度上升。头部企业凭借资源整合能力、服务体系及风险管控等核心优势，持续拓展渠道网络布局，进一步巩固行业地位。从货量维度估算，国内大宗供应链CR5市占率从2021年的4.81%提高至2024年的5.26%，头部效应凸显，市场集中度持续提升。2024年，物产中大凭借5995.2亿元营业总收入，成为中国大宗供应链领域的领头羊。股权关联华菱钢铁，加强产业协同。2025年7月3日，华菱钢铁公告，信泰人寿通过二级市场集中竞价方式购买公司股份至3.45亿股，占总股本的比例已达到5%。物产中大为信泰人寿第一大股东，后者举牌华菱钢铁，有望推动大宗供应链业务的协同发展，提升供应链的稳定性和效率。建立可信仓单标准，推动模式革新。公司持续提升科技赋能智慧物流，在其积极助力下，浙江大宗将通过运用区块链技术，实现政府部门、交易平台、银行和企业之间的信息共享和认证，解决大宗商品“一女多嫁”“重复质押”等问题，进而实现大宗商品“统一登记、数字监管、期现结合、产融互通”。盈利预测与投资建议。预计公司2025-2027年EPS分别为0.71、0.86、0.94元，对应的PE为8、6、6倍。考虑到物产中大业务稳定性强，产业布局较为广泛，能够形成协同效应和多元化的收入来源，通过资源整合，有望激活先进制造业板块发展新动能，我们看好公司中长期增长潜力，维持“买入”评级。风险提示：大宗商品价格波动风险、期货市场操作风险、实业投资风险等。,,西南证券,买入,[None],2025-07-07,,买入,6209609,pdf_downloads/2025/2025-07-07/600704-物产中大（600704）：整合资源反内卷，模式革新拓新篇.pdf,600704,物产中大,物产中大（600704）：整合资源反内卷，模式革新拓新篇
胡光怿,"投资要点事件：物产中大发布2024年年报。全年实现营业收入为5995.2亿元，同比上升3.3%；归母净利润为30.8亿元，同比下降14.9%；扣非归母净利润为25.0亿元，同比下降17.5%；经营现金流净额为41.49亿元，同比增长928.3%。智慧供应链集成服务主业竞争优势不断稳固。2024年，智慧供应链集成服务实现营业收入5537.70亿元，占公司营业收入92.37%；利润总额34.98亿元，贡献占比53.92%。其中，金属、能源、化工、汽车服务等核心业务营业规模均位列全国前列。主要品种的经营数据如下：钢材销售7459.46万吨，矿石销售4176.80万吨，煤炭销售5,958.37万吨，化工销售1639.96万吨，农产品销售370.61万吨，油品销售428.73万吨，元通汽车跻身2024年中国汽车经销商集团百强第七名。持续提升金融服务质效。2024年，金融服务板块实现营业收入160.87亿元，占公司营业收入2.68%；利润总额8.44亿元，贡献占比13.01%。物产中大投资参与工商银行AIC股权投资基金，发挥国有资本在国家战略新兴产业发展中的支撑引领作用；2024年累计发行债券205亿元，加权平均票面利率远低于同期LPR利率，公司综合融资成本持续保持较低水平。高端制造综合实力显著提升。2024年，高端制造板块实现营业收入296.62亿元，同比增长29.00%，占公司营业收入4.95%，利润总额21.45亿元，同比增长13.26%，贡献占比33.06%。2024年研发投入12.54亿元，同比增长17.49%，公司以科技创新推动转型升级，切实提升高端制造核心竞争力，推进电线电缆、热电联产、轮胎制造、镁矿和镁合金加工等板块经营业绩的稳健发展。现金分红比率持续提高。每股派发现金红利0.21元(含税)，现金分红和股份回购金额共计11.97亿元，占归母净利润比例为38.89%。2015年整体上市以来合计现金分红99.90亿元，较好实现了以提高上市公司内在价值为核心、高质量发展回报投资者的理念。盈利预测与投资建议：预计公司2025-2027年EPS分别为0.71、0.86、0.94元，对应的PE为7、6、5倍。考虑到物产中大业务稳定性强，产业布局较为广泛，能够形成协同效应和多元化的收入来源，通过资源整合，有望激活先进制造业板块发展新动能，我们看好公司中长期增长潜力，维持“买入”评级。风险提示：大宗商品价格波动风险、期货市场操作风险、实业投资风险等。",,西南证券,买入,[None],2025-05-02,,买入,6037538,pdf_downloads/2025/2025-05-02/600704-物产中大（600704）：深化“一体两翼”，持续价值创造.pdf,600704,物产中大,物产中大（600704）：深化“一体两翼”，持续价值创造
程志峰,事件近日，物产中大披露2024年报。本报告期内，实现营业总收入5995亿，同比增+3.34%；归母净利30.79亿，同比减-14.88%；扣非归母净利25.02亿，同比减-17.54%；基本每股收益0.58元，加权ROE为8.15%，经营活动产生的现金流量净额为41.5亿元。分红政策，公司24年拟派发现金股息约10.86亿人民币，每股约0.21元（含税）; 全年分红1次，约占当年度净利润比例的35.3%。若以年报披露日A股的股价计算，1次分红对应股息率约为4.33%。2025年Q1业绩，营收1331亿，同比增+0.16%，扣非归母净利润增9.1亿，同比增+16.78%。点评公司是中国供应链集成服务引领者，是首批国家级供应链创新与应用示范企业。公司按照“以供应链思维、做产业链整合、构建物产中大生态圈”的实施路径，塑造战略协同、周期对冲、产融互动的产业格局。具体业务板块，2024年业绩拆分如下：&gt;&gt;供应链集成分部，营收5537亿，同比增+2.13%，营收占比92.37%，属于公司起步的核心业务；毛利金额71.06亿，毛利占比54.34%&gt;&gt;高端制造分部，营收297亿，同比增+29%，营收占比4.95%，属于公司重点打造板块；毛利金额44.93亿，毛利占比34.36%。&gt;&gt;金融分部，营收160.87亿，同比增+7.6%，营收占比2.68%；毛利金额14.79亿，毛利占比11.31%。投资评级公司已宣布，拟注销以集中竞价交易方式回购的股份超过2000万股，此举将相应减少公司注册资本，并合理提高分红率（股利支付率从30%提升到35%），我们相信此举必能增强投资者获得感。同时，公司按照 “一体两翼”发展战略，围绕智慧供应链集成服务，积极打造金融和高端制造的护城河。我们看好公司未来发展，维持“增持”评级。风险提示地缘政策风险；价格波动风险；信用风险；货权和贸易执行风险；,,太平洋证券,增持,[None],2025-04-30,,增持,6034042,pdf_downloads/2025/2025-04-30/600704-物产中大（600704）：24年提高分红率，25年Q1利润大增.pdf,600704,物产中大,物产中大（600704）：24年提高分红率，25年Q1利润大增
胡光怿,事件：物产中大公布2023年度报告。2023年公司实现营收5801.6亿元，同比增长0.6%；归母净利润36.2亿元，同比下降7.9%；扣非净利润30.3亿元，同比下降3.1%；每股收益0.68元，拟每10股派2.1元(含税)。在全球经济面临下行压力的情况下，公司营收仍保持增长，“一体两翼”战略成效开始体现。在“稳一体”基础上，“两翼”不断丰满。2023年公司智慧供应链集成服务/金融服务/高端制造板块分别实现营业收入5422.2/149.5/230亿元，占公司营业收入93.5%/2.6%/4%，分别实现利润总额44.3/9.8/18.9亿元，贡献占比60.7%/13.4%/26%。其中，高端制造板块毛利率16.8%，同比提升3.3pct。充分发挥产业优势，高水平服务大宗商品配置。公司是中国供应链集成服务引领者，金属、能源、化工、汽车服务等核心业务营业规模均位列全国前列。2023年实现钢材销售7151.6万吨，铁矿砂3755.4万吨，煤炭销售5548.5万吨，化工销售2084.5万吨，农产品销售489.8万吨，油品销售451.6万吨，元通汽车跻身2023年中国汽车经销商集团百强第七名。强化研发创新，做强做大现有优势产业。2023年研发费用投入超10亿元，同比增长41%，推进电线电缆、轮胎制造、热电联产等板块经营业绩的稳步提升。2023年电线电缆实现营收83.9亿元，同比增长10.1%；轮胎制造实现营收47.6亿元，同比增长11.8%；热电联产实现营收31.3亿元，同比增加0.8%。增资信泰人寿扩大金融版图，收购柒鑫公司进军镁行业。公司战略参股信泰人寿33%股权，有望发挥金融牌照价值，赋能养老等产业；11月完成国内镁行业龙头柒鑫公司82.3%股权收购，纳入合并范围后，柒鑫公司实现营业收入7.75 亿元，利润总额 5040.17 万元，柒鑫公司生产镁锭 6.79 万吨、硅铁4.41万吨、焦炭105.5万吨、焦油4.56万吨、粗苯1.51万吨、白云石开采完成 37.33 万吨，原镁产品国内市场占有率8.3%，原镁销量连续多年位列国内第一梯队。盈利预测与投资建议：预计公司2024-2026年EPS为0.79、0.87、0.95元，对应PE为6x、5x、5x。考虑到物产中大营收稳定性强，高端制造板块毛利率持续改善，通过收购国内镁行业龙头，增强核心资源把控力，有望激活先进制造业板块发展新动能，我们看好公司中长期增长潜力，维持“买入”评级。风险提示：大宗商品价格波动风险、期货市场操作风险、实业投资风险等。,,西南证券,买入,[None],2024-05-02,,买入,5616304,pdf_downloads/2024/2024-05-02/600704-物产中大（600704）：“一体两翼”成效显现，收购柒鑫共创“镁”好未来.pdf,600704,物产中大,物产中大（600704）：“一体两翼”成效显现，收购柒鑫共创“镁”好未来
胡光怿,事件：物产中大公布2022年年度报告。公司实现营收5765.5亿元，同比+2.5%，实现毛利138.4亿元、归母净利润39.1亿元。分产品来看，供应链集成服务、高端实业、金融分别贡献收入5437.1亿元、201.3亿元和80.3亿元，占比分别为94.3%、3.5%和1.4%，同比+2.2%、+1.7%、+34.0%。国资背景支持业务发展，持续混改激发公司活力。地方国资背景为公司提供了强大的信用背书，使得公司拥有更强的融资能力、更低的融资成本和更多客户信任，支撑业务快速发展。同时，公司自2003年以来持续进行混改，现在已进入到动态持股的3.0版本，经营管理水平不断完善，有效激发了公司活力。政策红利助力行业发展，国内市场发展空间巨大。全国统一大市场政策利好大宗商品供应链企业，稳外贸政策助力稳经济稳产业链供应链。近五年，大宗商品供应链市场规模稳定在40-50万亿元左右，中国大宗供应链CR4市场占有率快速提升至4.8%，但距发达国家大宗供应链CR4市场占有率还有较大差距。打造利益共赢的产业生态，加快产业组织者转型探索。公司依托强大的资源组织、网络渠道、品牌运营等专业优势，依托“五化”联通“四流”，形成利益相关方共生共赢的产业生态圈。公司根据自身的资源禀赋和转型升级方向，陆续布局电线电缆、热电联产等高端制造行业，同时朝着产业生态组织者的愿景加快探索，主动布局医疗健康、环保公用等公共服务行业。营运能力带动盈利提升，分红率高利好股东回报。公司聚焦主业、规划“一体两翼”经营模式后成长性向好，2017-2022年归母净利润CAGR为11.8%；盈利稳健增长的原因来自于营运能力的不断改善，2015-2022年公司净营业天数从38.5降至21.8，减少43.2%；得益于公司出色的盈利能力，公司2015-2022年的平均现金分红率达到39.3%。盈利预测与投资建议。我们看好公司供应链集成服务，公司利润也会因为高端实业的深入布局而得以提升。预计公司2023-2025年归母净利润分别为48.7、55.9、58.9亿元，EPS分别为0.94、1.08、1.13元，对应的PE为6、5、5倍。可比公司2023年PE均值为7倍，我们给予公司7倍的PE估值，对应目标价6.58元。首次覆盖，给予“买入”评级。风险提示：大宗商品价格波动风险、期货市场操作风险、实业投资风险等。,,西南证券,买入,[None],2023-05-04,,买入,5199761,pdf_downloads/2023/2023-05-04/600704-物产中大（600704）：持续混改激发内生活力，产业探索打开外部空间.pdf,600704,物产中大,物产中大（600704）：持续混改激发内生活力，产业探索打开外部空间
"林寰宇,沈晓峰,袁钉",21H1营收、归母净利同比高增，维持“买入”评级公司8月23日发布半年报，上半年实现营收2631.8亿元，同比增长47.1%；归母净利21.1亿元，同比增长30.8%；扣非归母净利19.0亿元，同比增长38.6%。公司业绩高增长主要系供应链主业充分发挥模式、渠道、品种等综合优势，较好把握了此轮大宗商品价格上涨的良机，供应链集成服务收入实现快速增长。受益于经济快速恢复，我们继续看好下游对原材料的旺盛需求，公司21H2供应链业务有望继续快速发展。我们预计公司2021-2023年EPS分别为0.68、0.75、0.82元，参考Wind可比公司2021E一致预期11.15xPE，给予公司21年11.5x PE，目标价7.82元，维持“买入”评级。核心主业智慧供应链把握大宗行情，展现较大业绩弹性上半年，公司智慧供应链集成服务板块实现营收2451.1亿元，同比高增44.3%，占公司总营收的93.2%，利润贡献60.4%。其中，金属、煤炭、化工、汽车服务等核心业务规模位居全国前列，21H1收入分别增长77.3%、24.1%、12.4%、21.7%。金融及高端实业提质增效，协同主业并进公司金融业务围绕供应链主业展开，融租商用车C端数字化业务、场外衍生品业务、资管业务等齐发力。2021H1，公司金融服务实现突破，营收同比高增108.6%至93.3亿元。高端实业也不断发力，开展了养老业务、医疗器械供应链业务、污水处理业务等，2021H1高端实业营收同比高增81.6%至84.8亿元。龙头规模效应如期兑现，维持“买入”评级公司作为国内大宗龙头，规模效应持续兑现；同时新兴业务多点发力，金融、高端实业不断贡献新增量。我们预计公司2021-2023年公司实现营收5551.5、6124.5、6590.2亿元，归母净利35.3、39.2、42.7亿元，对应EPS分别为0.68、0.75、0.82元（2021年前值0.74元），参考Wind可比公司2021E一致预期11.15x PE，给予公司21年11.5x PE，目标价7.82元（前值6.03元），维持“买入”评级。风险提示：大宗品价格大幅下降、供应链业务操作风险。,,华泰证券,买入,[None],2021-08-24,,买入,4596818,pdf_downloads/2021/2021-08-24/600704-物产中大（600704）：受益大宗商品涨价，21H1盈利高增长.pdf,600704,物产中大,物产中大（600704）：受益大宗商品涨价，21H1盈利高增长
"虞小波,路辛之",5月14日公司公告与盛泰集团等13家公司及其管理人签署了《重整投资协议》，计划通过出售式重整，由控股子公司物产化工指定的项目运营公司（新航轮胎和其子公司新驰轮胎）取得盛泰集团、山东铸盛华、山东盛世泰来、青州德瑞热力四家公司轮胎板块所有资产。本次重整交易价款总额为11.08亿元（含增值税）。由于已获得公司董事会审议通过及广饶县人民法院裁定批准，该协议已正式生效。物产化工山东轮胎整合再进一步。由于行业周期波动及无序扩张、互保等问题，2017年以来山东广饶大量轮胎企业陷入经营困境。在此背景下，物产化工发挥自身橡胶产业链资源优势，通过租赁、托管、合资、重组等方式，整合了奥戈瑞、豪克、万鑫、盛泰等当地轮胎企业。通过供应链运营、管理输出、设备升级等方式，这些企业均逐步走出泥潭，产能和利润稳步增长。盛泰集团合计拥有240万套全钢子午线轮胎和1800万套半钢子午线轮胎产能，加上已控股的领航轮胎（原豪克+奥戈瑞），本次收购后物产化工控股轮胎产能将接近2500万套。此外，根据坤元资产评估报告，标的资产账面价值12.35亿元、评估价值15.74亿元，交易价款合理。本次整合深刻展现了物产化工垂直产业链的价值和可复制性。深化“二次混改”，完成整体上市以来首次股权激励。2021年4月16日公司董事会审议通过《2021年限制性股票激励计划（草案》，并已获得浙江省国资委和股东大会通过。本次方案为向609名高、中级管理人员和核心技术（业务）骨干授予1.47亿股限制性股票，首次授予价格为每股3.14元，国企改革进一步深化。投资建议：我们预测公司2021/22/23年归母净利润37.12/39.38/46.01亿元，EPS 0.73/0.78/0.91元，对应现价PE 6.9/6.5/5.6倍，维持“买入”评级。风险提示:经济复苏低于预期，资产处置等非经波动,,财通证券,买入,[None],2021-05-24,,买入,4518222,pdf_downloads/2021/2021-05-24/600704-物产中大（600704）：整合盛泰轮胎资产，垂直产业链成果显著.pdf,600704,物产中大,物产中大（600704）：整合盛泰轮胎资产，垂直产业链成果显著
姜楠,"【投资要点】公司发布2020年三季报。2020年1-9月，公司实现营业收入2,902.0亿元，同比增长15.1%；实现归母净利润24.7亿元，同比增长4.2%；实现扣非归母净利润21.4亿元，同比增长15.0%。2020年三季度，公司实现营业收入1,114.8亿元，同比增长21.1%；实现归母净利润8.6亿元，同比增长11.1%；实现扣非归母净利润7.7亿元，同比增长45.0%。扣非归母净利润同比增速较高，主要原因是去年同期非经常性损益较高。2019年1-9月，公司非流动资产处置损益4.6亿元，主要系子公司物产金属确认拆迁补偿。成本和费用控制良好。2020年1-9月，公司营业成本为2,819.6亿元，同比增长14.9%；毛利率为2.8%，同比增加0.2pts；净利率为1.2%，同比下降0.1pts。2020年三季度，公司营业成本为1,078.3亿元，同比增长20.0%；毛利率为3.3%，同比增加0.9pts，环比增加0.6pts。费用方面，2020年1-9月，公司销售费用率为0.6%，同比基本持平；公司管理费用率为0.6%，同比下降0.1pts。综合来看，公司期间费用率为1.5%，同比下降约0.2pts。2020年三季度，公司销售费用率为0.6%，同比基本持平，环比增加0.1pts；公司管理费用率为0.6%，同比基本持平，环比增加0.1pts。2020年1-9月，公司经营性现金流净额-68.7亿元，同比下降316.1%。2020年三季度，公司经营性现金流净额-5.8亿元，同比下降133.7%。销售商品、劳务收到的现金3,358.5亿元，同比增长13.5%，收现率为115.7%。此外，公司不断加大资本开支。报告期内，公司资本开支为19.6亿元，资本开支增速达88.5%。货币资金方面，报告期末公司货币资金余额为174.8亿元，同比增加28.5%。应收账款方面，报告期末公司应收账款余额为107.3亿元，同比增加25%，应收账款占流动资产的比重为12%。资本结构方面，报告期末公司资产负债率为73.4%，同比增加2.5pts。根据公告，公司拟分拆子公司物产环能至上交所主板上市，将其打造成为包括煤炭流通、热电联产、污泥处理、生物质综合利用等能源环保业务的独立上市平台。物产环能有望通过上市融资增强资金实力，加大资本投入，提升资源综合利用水平，成为绿色高效的能源综合服务商。    预计 2020-2022 年，公司营业收入分别为 3,798.8 亿元/4,265.2 亿元
/4,623.5 亿元，同比增速分别为 5.8%/12.3%/8.4%；公司归母净利润分别
为 29.9 亿元/34.7 亿元/41.4 亿元，同比增速分别为 9.5%/16.0%/19.2%。
EPS 分别为 0.59 元/0.69 元/0.82 元，对应当前股价，PE 分别为 7.8 倍/6.7
倍/5.6 倍。公司作为中国供应链集成服务引领者，在资金成本、风险控制、
管理机制等方面具备优势，给予“增持”评级。风险提示宏观经济恢复不及预期；综合融资成本增长超预期；职工薪酬增长超预期。",,东方财富证券,增持,[None],2020-12-07,,增持,4393400,pdf_downloads/2020/2020-12-07/600704-物产中大（600704）2020年三季报点评：成本和费用控制良好.pdf,600704,物产中大,物产中大（600704）2020年三季报点评：成本和费用控制良好
虞小波,物产中大(600704)我们在 2019 年 7 月的深度报告《物产中大：中国供应链集成服务引领者》中对公司供应链集成服务的优势进行了详细解读。在过去的一年里，外部环境以及公司业务发展和经营管理上存在着几大重要变化，这些变化既强化了公司的竞争优势，又强化了我们推荐公司的主要逻辑。我们认为市场仍未对这些变化进行有效解读，这也是本篇报告的主要写作背景。变化 1： 疫情下业绩稳定性超预期。 2020H1 公司实现归母净利润16.16 亿元（ +1%）。 其中 Q1 6.10 亿元（ -33%），业绩降幅相对较小主要因期现对冲实现收益 3.89 亿元，占 Q1 净利润 64%； Q210.06 亿元（ +45%）， 业绩增幅较大则源自公司有别于其他供应链服务企业的特质及其自身的内生成长性。变化 2： 物产化工和浙油中心的垂直整合和平台化创新新成果较多。 2019 年下半年以来，物产化工加快垂直产业链业务的发展步伐，在众多新领域和新公司上开花结果。 此外，我们认为应当重视物产化工粮化板块的布局。 2020 年上半年，浙油中心在疫情以及原油价格大幅波动的不利影响下，实现了各项业务的逆势增长。 会员企业贸易额 794.29 亿元（ +32%）。变化 3：分拆上市，有望迎来价值重估。 2020 年 7 月 1 日，公司公告拟将子公司物产环能分拆至上交所主板上市，将物产环能打造成为公司下属能源环保综合利用服务业务的独立上市平台。 物产环能净利润自 2014 年的 1.1 亿增长至 2019 年的 7.3 亿， 年复合增长率高达 46%， 盈利能力强， 上市后的合理市值应在 100 亿元左右。子公司分拆上市是公司国企改革的重要举措，既有利于子公司强化优势，公司整体价值也有望迎来重估。投 资 建 议 ： 我 们 预 测 公 司 2020/21/22 年 归 母 净 利 润28.27/33.44/38.05 亿元， EPS 0.56/0.66/0.75 元，对应现价PE 8.3/7.0/6.2 倍，仍被低估。维持“买入”评级及目标价 6.5元，对应 2020 年 11.5 倍 PE。风险提示:全球经济复苏低于预期，资产处置等非经波动,,财通证券,买入,[None],2020-08-26,,买入,4317787,pdf_downloads/2020/2020-08-26/600704-物产中大（600704）：三大变化显著，价值有望重估.pdf,600704,物产中大,物产中大（600704）：三大变化显著，价值有望重估
