author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"岳鑫,陈亦凡",本报告导读：2025年飞发维修影响显现，2026年影响或逐季减弱。市场对飞发维修影响已预期充分，且不改未来两年盈利显著上行趋势，业绩估值空间巨大，建议逆向提前布局。投资要点：飞发影响预期充分，业绩估值空间巨大，建议增持。2025年飞发维修影响显现，2026年影响或逐季减弱，提示市场预期已充分。公司高品质航网蕴藏巨大盈利潜力，未来两年将迎行业景气上行与机队周转恢复双轮驱动的盈利显著上升，且估值亦有明显提升空间，是航空超级周期弹性龙头。考虑飞发与日线影响，下调2025-26年净利预测至9/16（原11/20）亿元，维持2027年净利预测26亿元。短期影响不改长期价值，按照2027年18倍PE，维持目标价21.81元。飞发影响2026年或逐季减弱，未来两年盈利将加速上行。公司在册129架飞机，航班管家统计约1/4装配普惠发动机。普惠2023年9月开启PW1100G召回维修。2024年公司通过淡季停飞并削减低线航班，旺季充分恢复机队周转积极盈利，实现有效应对。2025年随着相关发动机检修循环集中到期并返厂维修，运力缩减影响旺季盈利。2025年前三季度公司净利10.9亿元，同比下降14%；其中25Q3旺季航班管家统计公司停场飞机达十余架，国内ASK缩减致业绩同比降25%；预计25Q4与26Q1飞机停场与日本航线将影响短期盈利。重点提示，市场对飞发维修影响已预期较为充分。考虑普惠维修产能持续提升，我们预计2026年相关影响或逐季减弱。我们看好未来两年航空供需继续向好，考虑票价市场化，公司高品质航网蕴藏巨大盈利潜力将逐步展现，且机队周转恢复将加速盈利中枢上升。B787规模运营并欧线盈利亮眼，国际战略长期前景乐观。2025年6月公司10架B787全部到位并形成规模运营，坚定执行“守住好码头”重要战略，未来国际战略长期前景乐观。上海终端区已结构性时刻容量饱和，未来增长将主要集中国际线。叠加免签政策红利将支撑国际枢纽搭建与运营。2025年以来国际航线客座率及票价同比明显上升，公司培育多年的欧线盈利亮眼，预计长期盈利将超预期。九元航空盈利稳健增长，有望成为新盈利增长极。公司积极培育九元航空，以广州白云机场主基地航司身份开拓华南廉航市场。2014年成立，2016年即盈利，2024年净利超3.3亿元，2025上半年飞发维修影响下净利仍增长至2.3亿元。未来将受益主基地时刻释放。风险提示。经济波动，油价汇率，行业政策，增发摊薄，安全事故。,,国泰海通,增持,[None],2025-12-23,,买入,8394642,pdf_downloads/2025/2025-12-23/603885-吉祥航空（603885）：更新报告：超级周期弹性龙头，建议逆向提前布局.pdf,603885,吉祥航空,吉祥航空（603885）：更新报告：超级周期弹性龙头，建议逆向提前布局,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 9,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 16,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 26,
            ""eps"": null,
            ""pe"": 18
        }
    ]
}",,,,,18.0,,,,,,,
"李丹,李逸",核心推荐逻辑：公司为民营航空龙头，航空行业迎来供需拐点，公司飞机利用率修复+行业票价上涨预期下，业绩有望超预期。行业β：航空供给端面临硬约束，行业跨越供需拐点，票价弹性兑现可期。当前航空行业处于供需“紧平衡”阶段，客座率持续新高，淡季票价同比转正，25年前三季度航空业表现韧性十足，三大航25年扭亏在望。展望2026年，供给端持续紧张是底层逻辑，在行业呼吁反内卷、节假日延长、出入境优化政策催化下，需求侧有望稳健增长，叠加油价、汇率预计向好，我们判断航司利润修复有望加速。公司α：1、发动机维修拖累利用率，导致单位非油成本大幅增加，短期扰动业绩；公司飞机利用率触底回升+行业供需改善双轮驱动下，预计未来三年业绩上行斜率更陡峭。受普惠发动机部分批次召回检修影响，25H1公司在册飞机利用率（包含停场飞机）9.8小时/日，同比下降0.6小时，其中A320系列（存在发动机维修问题）利用率9.1小时/日，较24H1下降2.2小时，较19H1下降2.0小时，而同期全行业飞机利用率同比24H1提高0.2小时。飞机利用率不足导致公司25Q1-3单位非油成本同比+11%，短期拖累盈利。公司预计2026年底发动机问题将得到大幅改善，我们认为，随着飞机利用率修复，公司将充分受益行业供需改善，未来三年利润弹性释放潜力巨大。2、吉祥宽体机规模化运营，九元立足大湾区，盈利中枢有望抬升。1）吉祥航空：截至25H1，公司拥有10架B787宽体机，运营28个国际航点（含7个洲际航点），宽体机型日利用率14.0小时，较19年同期增长2.5小时，宽体机规模化运营后盈利能力有望持续提升。2）九元航空：是广州唯一一家主基地低成本航空公司，时刻资源持续优化，运行效率与盈利情况持续攀升。25H1九元航空实现净利润约2.3亿元，同比24H1增长8%，同比19H1增长1087%。3、加大分红、回购并注销力度，彰显发展信心。2024年公司拟每股派息0.19元（含中期分红），对应现金分红比例45%。2025年公司宣布上市以来第三轮股份回购计划，拟在2025年1月27日-2026年1月26日期间回购2.5亿元至5.0亿元，回购价格不超过15.80元/股。截至25年9月，已回购约4亿元，均价12.71元/股。此外，公司24-25年累计注销3000万股已回购股份，累计占注销前总股本的1.4%。主要预期差：公司业绩修复节奏与行业略有不同，最差的时候已经过去，未来三年业绩修复斜率与利润弹性高度有望超预期。1）市场预期：普惠发动机维修节奏慢于预期，导致公司飞机利用率恢复不及预期，拖累盈利。2）我们认为：公司飞机利用率26-27年有望基本修复，九元计划27-28年每年引进5-6架飞机。行业供需、油价、汇率基本面上行，公司未来三年有效运力有望明显增长，业绩有望超预期。潜在催化剂：1） 量价上涨；2）飞机利用率提升；3）油价下跌；4）人民币升值。投资建议：我们预计公司25-27年归母净利润分别约10.07、15.71、22.94亿元，考虑到26年公司飞机利用率或仍然受到发动机维修影响、27年业绩将进一步修复，给予27年20x PE，对应目标市值459亿元，维持“买入”评级。风险提示：需求不及预期，油价、汇率大幅波动风险。,,浙商证券,买入,[None],2025-11-25,,买入,8183518,pdf_downloads/2025/2025-11-25/603885-吉祥航空（603885）：更新报告：利用率触底，业绩修复斜率有望超预期.pdf,603885,吉祥航空,吉祥航空（603885）：更新报告：利用率触底，业绩修复斜率有望超预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.07,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 15.71,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 22.94,
            ""eps"": null,
            ""pe"": 20
        }
    ]
}",,,,,20.0,,,,,,,
"岳鑫,陈亦凡",维持增持。2025年飞发维修影响致公司短期盈利承压，预计2026年相关影响或将逐步减弱。公司高品质航网蕴藏巨大盈利弹性，未来两年有望迎来票价上行与机队周转恢复双轮驱动的盈利中枢显著上升，且估值水平亦有明显上行空间。维持2025-27年净利预测11/20/26亿元，维持2027年18倍PE，维持目标价21.81元。飞发维修或继续影响盈利上行节奏，不改未来盈利中枢上行趋势。2025年前三季度公司归母净利润10.9亿元，同比下降14%。其中，25Q3飞发维修致归母净利同比下降25%。公司在册130架飞机，据航班管家统计约1/4装配普惠发动机并部分涉及召回批次。2024年影响初期，公司通过淡季停飞并削减低线航班，旺季充分恢复机队周转积极盈利，有效应对相关影响。2024年普惠维修产能提升三成且维修周期缩短，但仍未能短期内满足相关需求。2025年随着公司相关发动机检修循环集中到期并返厂维修，有效运力缩减成为影响旺季盈利的核心原因。25Q3传统旺季，B787引进助力公司ASK同比基本持平，飞发维修致国内ASK同比缩减达7%。考虑普惠维修产能仍在提升，公司2026年飞机停场影响或将逐步减弱。我们看好未来两年航空将供需继续向好且票价开启上行，公司高品质航网蕴藏巨大盈利潜力将逐步展现，且机队周转恢复将加速盈利中枢上升。九元航空盈利稳健增长，有望成为新盈利增长极。公司积极培育九元航空，以广州白云机场主基地航司身份开拓廉航市场。2014年成立，2016年即盈利，2024年净利超3.3亿元。2025上半年九元航空在飞发维修影响下，仍实现盈利2.3亿元，较2024上半年继续稳健增长。九元航空有望受益主基地时刻释放，成为公司新盈利增长极。B787宽体机规模运营，国际战略长期前景乐观。公司自2018年开始引入B787-9宽体机，2025年6月10架B787全部到位，形成规模运营。市场担忧宽体机运营前景，我们认为公司国际战略长期前景乐观，是公司继续坚定执行“守住好码头”的重要战略。上海终端区呈现结构性时刻容量饱和，未来增长方向将为国际航线。公司主基地上海是国内第一大国际口岸，区位优秀叠加免签政策红利，有望逐步搭建国际枢纽运营。2025年以来国际航线客座率及票价同比明显上升，我们预计公司宽体机长期盈利能力有望好于市场担忧。风险提示。经济波动，油价汇率，行业政策，增发摊薄，安全事故,,国泰海通,增持,[None],2025-11-14,,买入,7801259,pdf_downloads/2025/2025-11-14/603885-吉祥航空（603885）：更新报告：超级周期弹性龙头，业绩估值双重空间.pdf,603885,吉祥航空,吉祥航空（603885）：更新报告：超级周期弹性龙头，业绩估值双重空间,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 11,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 20,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 26,
            ""eps"": null,
            ""pe"": 18
        }
    ]
}",,,,,18.0,,,,,,,
"黄文鹤,张骁瀚,陈佳裕",单位非油成本拖累盈利，看好公司盈利修复弹性2025年10月30日公司发布2025年三季报：2025Q1-3公司营收174.8亿元，同比基本持平，归母净利10.9亿元，同比-14%，扣非归母净利9.8亿元，同比-18%。单三季度：25Q3公司营收64.1亿元，同比-1.9%，归母净利5.8亿元，同比-25%，扣非归母净利5.7亿元，同比-20%。25Q3公司盈利同比回落主要受到普惠发动机送修拖累，运力同比增投空间受限，结果是公司运力集中在高收益航线，座公里收益同比基本持平，但同时固定成本无法摊薄造成单位非油成本上涨。油价下降部分缓解了成本压力。发动机送修限制公司运力投放能力，25Q3公司整体运力同比下降1.4%。普惠发动机检修限制公司运力投放，25Q3公司整体运力同比下降1.4%，其中国内运力同比下降6.9%，国际港澳台运力同比增长16%。公司在淡季继续安排发动机送修，截至2025年10月31日公司共有20架A320neo停场。我们认为与普惠发动机送修以及循环次数限制有关，短期发动机送修对公司运力限制仍将持续一段时间，往中长期展望2023年开始的维修问题逐渐解决，公司运力恢复空间较大，关注公司发动机送修进度。单位盈利方面，25Q3油价下降抵冲飞机停场带来的非油成本上涨，运力向高收益航线集中有助于公司客收跑出相对涨幅。25Q3公司毛利率19.5%，同比-1.1pcts，我们认为主要受到单位非油成本拖累：1）成本端：25Q3国内航油出厂价同比-11%，我们测算公司单位燃油成本同比-11%，与油价降幅基本持平，非油成本有一定扰动，我们测算25Q3单位非油成本同比+7.7%，主要为发动机送修、部分飞机停场导致固定成本无法摊薄，使得单位总成本同比+1.0%；2）收入端：运力投放受限的情况下，公司运力集中投放至高收益航线，我们测算25Q3公司整体客收同比-1.5%，其中国内客收同比基本持平，航班管家显示25Q3国内票价同比-3.9%，公司国内票价表现优于行业平均水平，同时公司25Q3国内客座率达到88.8%，同比-0.1pct，处于往年三季度较高水平，客座率继续提升难度加大。我们认为后续行业将客座率持续上行转化为提价，公司收入端有很大改善空间。财务费用持续改善，前三季度利息支出压降2.3亿元。2023年以来财务费用是压制公司盈利表现的费用项，公司多举措推动财务费用下降，2025年前三季度利息支出相较去年同期下降2.3亿元，我们建议继续关注负债端改善进程。投资建议：继续看好行业价格底部回升后公司盈利修复弹性，由于发动机维修周期拉长对公司成本端扰动，我们下调公司2025/2026年归母净利润至10.5/17.9亿元，维持2027年归母净利润27.5亿元。当前吉祥航空股价对应2025-2027年27/16/10倍市盈率。维持“推荐”评级。风险提示：发动机维修周期拉长；公商务需求恢复不及预期；油价大幅上涨。,,民生证券,推荐,[None],2025-11-05,,增持,7437193,pdf_downloads/2025/2025-11-05/603885-吉祥航空（603885）：2025 年三季报点评：单位非油成本拖累盈利，看好公司盈利修复弹性.pdf,603885,吉祥航空,吉祥航空（603885）：2025 年三季报点评：单位非油成本拖累盈利，看好公司盈利修复弹性,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.5,
            ""eps"": null,
            ""pe"": 27
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.9,
            ""eps"": null,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 27.5,
            ""eps"": null,
            ""pe"": 10
        }
    ]
}",,,27.0,16.0,10.0,,,,,,,
曾凡喆,吉祥航空(603885)发动机维修影响运营，效率回升可期吉祥航空披露2025年三季报吉祥航空披露2025年三季报，前三季度公司实现营业收入174.8亿元，同比降低0.1%，归母净利润10.9亿元，同比下降14.3%；第三季度公司营业收入64.1亿元，同比下降1.9%，归母净利润5.8亿元，同比下降25.6%。发动机影响运营效率，三季度业务量小幅走低受制于A320发动机维修及飞机引进数量下降的影响，三季度公司业务量同比小幅下降，旅客周转量127.9亿客公里，同比下降0.4%，但公司聚焦优势市场，单位运价表现好于行业，收入水平仅小幅降低。机队运营效率降低影响单位非油成本，业绩有所承压三季度国际油价同比有所降低，公司航油成本同步下降，但因机队利用效率问题，公司单位非油成本有所上升，三季度公司营业成本51.6亿元，同比下降0.5%。费用端，公司各项费用整体稳定。其余项目中，公司其他收益及营业外收入有所下降。综合来看，主要因机队利用效率因素影响，公司业绩有所承压。民航供给增速放缓持续，公司效率回升可期因我国各航司机队规划及全球航材供应链影响，2025年民航运力引进速度仍较慢，未来有望延续低供给增速，并有望转化为价格上行。公司可用机队数量有望在2026年逐步恢复，效率回升可期。投资建议预计2025-2027年公司归母净利润分别为9.9亿元、16.7亿元、22.0亿元，维持“买入”评级。风险提示：经济下滑，油价汇率剧烈波动，机队恢复不及预期，安全事故。,,中邮证券,买入,[None],2025-11-03,,买入,7369913,pdf_downloads/2025/2025-11-03/603885-吉祥航空（603885）：发动机维修影响运营，效率回升可期.pdf,603885,吉祥航空,吉祥航空（603885）：发动机维修影响运营，效率回升可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 9.9,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.7,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 22.0,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"李丹,李逸",票价下滑，发动机维修拖累利用率致成本承压，导致Q3业绩低于预期2025年前三季度，公司实现营业收入174.8亿元，同比-0.1%，归母净利润10.9亿元，同比-14%。其中25Q3，营业收入64.1亿元，同比-2%，归母净利润5.8亿元，同比-25%。飞机利用率受普惠发动机维修所拖累，导致业绩承压。运营数据：发动机维修拖累运力增长，客座率同比提升0.9pct飞机引进放缓，飞机利用率受发动机维修影响，客座率同比提升。25Q3末，公司机队规模为130架，全年净增3架。Q3公司ASK、RPK同比分别-1%、-0.4%，客座率86.6%，同比24年+0.9pct，同比19年-0.3pct。其中国内航线ASK同比-7%，客座率88.8%，同比-0.1pct；国际航线ASK同比+19%，客座率81.1%，同比+5.4pct。收益分析：Q3运力同比下降，票价下滑、单位成本上升致毛利率承压收入端： Q3单位RPK营业收入0.502元，同比-1.5%；单位ASK营业收入0.435元，同比-0.5%，主要因为票价下滑。成本端：Q3单位ASK营业成本0.350元，同比+1%。其中，预计单位燃油成本同比-11%，主要因为油价下跌；单位非油成本同比+8%，主要因为普惠发动机维修拖累飞机利用率。费用端：Q3财务费用2.3亿元，同比下降0.5亿元，Q3人民币环比升值0.7%预计贡献汇兑净收益。利润端：因单位收益降幅大于单位成本降幅，Q3毛利率下降1.2pct至19.5%。此外，其他收益、营业外收入同比分别下降0.5、0.8亿元。因此，公司Q3录得归母净利润5.8亿元，同比-25%。行业供需关系有望持续改善，看好后续票价弹性兑现9月至今航空票价持续转正、客座率保持高位运行，随着供需关系持续改善，四季度有望淡季不淡，票价有望在低基数上保持同比转正。中长期来看，预计上游供应链瓶颈将导致行业供给受限较久，供需关系有望持续改善，看好航司盈利弹性兑现。此外，油价、汇率预期向好，有望助攻盈利释放。投资建议预计公司25-27年归母净利润为10.03、16.31、22.89亿元，维持“买入”评级。风险提示需求恢复不及预期，油价、汇率大幅波动风险。,,浙商证券,买入,[None],2025-11-02,,买入,7271681,pdf_downloads/2025/2025-11-02/603885-吉祥航空（603885）：发动机维修拖累盈利，关注飞机利用率回升.pdf,603885,吉祥航空,吉祥航空（603885）：发动机维修拖累盈利，关注飞机利用率回升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.03,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 16.31,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 22.89,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"沈晓峰,黄凡洋",2025年10月31日│中国内地 航空运输 公司公布9M25业绩：收入174.80亿元，同降0.1%；归母净利润10.89亿元，同降14.3%。其中三季度公司实现收入64.13亿元，同降1.9%；归母净利润5.84亿元，同降25.3%。公司3Q25净利低于我们预期的6.3亿元，或由于飞机停场影响及成本超预期。行业层面，供给增速放缓将持续，且近期行业票价有所改善，或将带动公司收益水平提升。往后展望，停场影响有望逐步减弱，且借助资源和航网优化、以及宽体机利用率提升，我们看好公司盈利中枢和ROE水平上移。维持“买入”。飞机停场限制运力投放，收益水平随行业承压公司或由于飞机停场拖累，供给增长受限。3Q25公司供给/需求分别同降1.4%/0.4%，客座率同比提升0.9pct至86.6%。其中国内线供给收缩幅度较大，同降6.9%，客座率同比小幅下降0.1pct至88.8%；国际线供给增速有所收窄，同增18.7%，不过客座率表现较好，同增5.4pct至81.1%。另外3Q整体票价随行业承压，我们测算单位客公里收益同降约3%，使得3Q25营收同比小幅下降1.9%至64.13亿。单位成本表现较弱，拖累毛利率和利润水平虽然航空煤油出厂价均价同降11%，但飞机停场限制利用率和固定成本摊薄，3Q25单位ASK成本仍同增1.0%，使得营业成本录得51.61亿，同降0.5%，降幅小于营收。毛利润同降7.3%（0.99亿）至12.53亿，毛利率同比下降1.1pct至19.5%。另外3Q25其他收益和营业外收入分别同降0.53亿和0.85亿，最终公司3Q25录得净利润5.84亿，同降25.3%（1.98亿）。等待飞机停场影响减弱，利润有望进一步释放公司洲际航线和宽体机培育逐见成效，3Q25国际线运力占比已达28.8%，相比19年同期提升7.9pct，国际线客座率也超过19年同期0.5pct。展望之后，行业供给增速难以加快，客运景气已现改善迹象，或将推动公司收益水平提升。同时我们认为等待飞机停场影响减弱后，公司在册飞机利用率或将回升，扩大供给规模，降低单位成本，并与行业景气周期共振，实现利润进一步释放。盈利预测与估值我们下调公司25-27年归母净利润(1%/8%/3%)至10.99/19.66/24.16亿元，对应EPS为0.50/0.90/1.11元，下调主因公司运力投放受机队停场影响。但我们仍看好行业景气底部回暖，参考16-18年ROE较高时期PB均值3.7x，给予3.7x 25E PB不变，25E BPS为4.38元，目标价16.20元（前值16.25元）；维持“买入”。风险提示：出行需求不及预期，行业供给超预期，市场竞争加剧，油汇波动，高铁提速，公司运力投放低于预期，安全事故。,,华泰证券,买入,[None],2025-11-01,,买入,7192806,pdf_downloads/2025/2025-11-01/603885-吉祥航空（603885）：飞机停场及成本压力拖累盈利.pdf,603885,吉祥航空,吉祥航空（603885）：飞机停场及成本压力拖累盈利,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.99,
            ""eps"": 0.50,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 19.66,
            ""eps"": 0.90,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.16,
            ""eps"": 1.11,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.5,0.9,1.11,
"杜冲,李鼎莹",备注：股价截止自2025年10月31日收盘价，每股指标按照最新股本数全面摊薄报告摘要吉祥航空于2025年10月30日发布2025年三季报：2025年前三季度，公司实现营业收入174.80亿元，同比下降0.06%，实现归母净利润10.89亿元，同比下降14.28%。2025年Q3，实现营业收入64.13亿元，同比下降1.88%，实现归母净利润5.84亿元，同比下降25.29%。2025年Q3，公司可用座公里及旅客周转量同比下降，但收益水平维持：截至2025年9月30日，机队规模130架。较2024年底的127架净增3架，其中A320系列飞机93架，B787系列飞机10架，B737系列飞机27架。2025年Q3，公司ASK及RPK小幅下降，客座率水平提升。2025年单三季度，公司整体/国内/国际/地区可用座公里（ASK）同比增长-1%/-7%/+19%/-47%；整体/国内/国际/地区旅客周转量（RPK）同比增长0%/-7%/+27%/-44%；公司单三季度客座率86.64%，同比提升0.90pt。三季度由于整体运力同比下降，座公里成本摊薄效应减弱，但公司收益管理水平较好，座公里收入仅小幅下降。测算2025年Q3公司座公里收入0.4346元，同比2024年下降0.5%；座公里成本0.3497元，同比上涨1.0%。盈利预测与投资评级：考虑今年以来公司运力投放增速较缓（或仍受普惠发动机停场维修影响），我们下调公司2025-2027年归母净利润为10.39/14.71/19.71亿元（前值：12.90/19.34/21.92亿元），对应P/E分别为27.2X/19.2X/14.3X。考虑到公司国内航网质量民营航司中最优，目前行业反内卷预期仍在，客座率维持高位，票价水平同比有望改善，公司或有望受益，维持“买入”评级。风险提示：宏观经济下行风险、油价上涨风险、汇率波动风险。,,中泰证券,买入,[None],2025-11-01,,买入,7173680,pdf_downloads/2025/2025-11-01/603885-吉祥航空（603885）：发动机影响犹在，盈利高弹性不改.pdf,603885,吉祥航空,吉祥航空（603885）：发动机影响犹在，盈利高弹性不改,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.39,
            ""eps"": null,
            ""pe"": 27.2
        },
        {
            ""year"": 2026,
            ""net_profit"": 14.71,
            ""eps"": null,
            ""pe"": 19.2
        },
        {
            ""year"": 2027,
            ""net_profit"": 19.71,
            ""eps"": null,
            ""pe"": 14.3
        }
    ]
}",,,27.2,19.2,14.3,,,,,,,
匡培钦,事件：吉祥航空发布2025年三季报。2025年前三季度，公司实现营业收入175亿元，同比-0.1%，对应录得归母净利润10.89亿元，同比-14.3%。点评：营收微降，成本拖累影响Q3盈利。2025年前三季度公司实现营收174.8亿元，同比-0.06%；实现归母净利10.89亿元，同比-14.28%；其中Q1/Q2/Q3单季度营业收入分别为57.22/53.45/64.13亿元，同比分别+0.1%/+2.1%/-1.9%；Q1/Q2/Q3单季度归母净利分别为3.45/1.60/5.84亿元，同比分别-7.9%/+39.7%/-25.3%。票价跌幅好于行业，发动机问题拉高单位成本。单位收益方面，25Q3公司单位RPK收入0.502元，同比-1.5%，单位ASK收入0.435元，同比-0.5%，考虑主要系公司减少较多收益品质偏低的国内线影响，整体票价跌幅好于行业。单位ASK成本看，25Q3公司单位ASK营业成本为0.350元，同比+1.0%，一方面，受益于油价下跌影响，公司单位燃油成本或有下降；但同时，受制于发动机问题，公司停飞飞机比例增加，利用率提升受限，拉高单位非油成本。国内线运力转投国际线，国内线客座率高位。1）运力：25Q3吉祥总ASK同比-1.4%，其中国内/国际/地区线ASK同比分别-6.9%/+18.7%/-46.7%。2）周转量：25Q3公司总RPK同比-0.4%，其中国内/国际/地区线RPK同比分别-7.0%/+27.2%/-43.8%。3）客座率：25Q3公司综合/国内/国际/地区线客座率分别为86.6%/88.8%/81.1%/89.2%，同比分别+0.9/-0.1/+5.4/+4.6pct，较2019年同期分别-0.3/+0.1/+0.5/+10.0pct。4）机队规模：至25Q3末公司机队规模达到130架，前三季度净增长3架飞机，已完成此前年报披露的全年飞机引进计划。出行回暖或带动票价持续修复，静待公司利润回升。十月初国庆假期及假期后，出行需求旺盛，行业票价显著修复。四季度供需仍在改善，同时去年票价处历史低位水平，今年同期同比提升可能性较强，航司业绩有望同比改善。未来供给收紧预期依然较强，若需求稳增，有望带动票价持续回升。加之民航领域综合整治“内卷式”竞争工作逐渐开展，我们预计或将有效遏制市场不当竞争乱象，进一步推动航司单位座收企稳回升，带来业绩弹性增长。盈利预测与投资评级：我们预计公司2025-2027年实现归母净利12.76、17.55、20.89亿元，同比分别+39.5%、+37.6%、+19.0%，对应每股收益分别为0.58、0.80、0.96元，2025年10月30日收盘价对应PE分别为23.20、16.86、14.17倍。公司双品牌发展战略铸造经营强优势，行业提振背景下业绩有望进一步提升，维持对公司的“增持”评级。风险因素：出行需求不及预期，行业供给超预期，市场竞争加剧风险，油价大幅上涨风险，人民币大幅贬值风险。,,信达证券,增持,[None],2025-10-31,,增持,7117893,pdf_downloads/2025/2025-10-31/603885-吉祥航空（603885）：2025年三季报点评：航线收益品质优化，静待盈利回升.pdf,603885,吉祥航空,吉祥航空（603885）：2025年三季报点评：航线收益品质优化，静待盈利回升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 12.76,
            ""eps"": 0.58,
            ""pe"": 23.20
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.55,
            ""eps"": 0.80,
            ""pe"": 16.86
        },
        {
            ""year"": 2027,
            ""net_profit"": 20.89,
            ""eps"": 0.96,
            ""pe"": 14.17
        }
    ]
}",,,23.2,16.86,14.17,,,,0.58,0.8,0.96,
"郑树明,王凯婕",业绩2025年10月30日，吉祥航空发布2025年第三季度报告。2025年前三季度公司实现收入174.8亿元，同比下降0.1%；归母净利10.9亿元，同比下降14.3%；其中2025Q3公司实现收入64.1亿元，同比下降1.9%；归母净利5.8亿元，同比下降25%。经营分析Q3票价水平同比回落，收入小幅下降。2025Q3公司营业收入同比下降1.9%，分量价看：（1）量：2025Q3公司RPK同比-0.4%，分航线看，国内线-7%，国际线+27%，地区线-44%，其中国际线RPK较2019年同期增长102%，领先于行业，主要系公司引进宽体客机积极开拓洲际航线，座位数增长、航距拉长。（2）价：2025Q3估算公司客公里收益同比下降1.5%，因客座率同比+0.9pct，座公里收益估算同比下降0.5%。Q3单位成本增长，利润率下滑。2025Q3公司单位营业成本为0.35元，同比增长1%，或源于飞机停场维修，导致日利用率下降固定成本摊薄减弱，该影响大于油价下降影响。2025Q3公司毛利率为19.5%，同比下降1.1pct；同期公司期间费用率合计为9.8%，同比增长0.1pct，其中财务费用率下降0.6pct，或源于去年同期汇兑收益明显。此外公司Q3录得1.8亿元其他收益，同比下降23%。综上，2025Q3公司归母净利率下降2.9pct至9.1%。Q4获多因素利好，发动机问题预计明年改善。9月淡季航空业出现票价及客座率持续提升的局面，源于“反内卷”政策、供需关系改善、多元化出行需求持续向好等，公司航线网络与市场变化趋势高度契合，787宽体机运营洲际航线（含5个欧洲航点）及日本、澳洲市场，已成功吸引高比例外籍旅客及经上海中转旅客。公司Q3业绩同比稍弱，核心原因为A320NEO运力损失，旺季发动机问题冲击明显，预计到2026年年底发动机问题将得到大幅改善，届时公司利用率恢复，单位成本将明显改善。盈利预测、估值与评级维持公司2025-2027年归母净利润预测11亿元/20亿元/26亿元，维持“买入”评级。风险提示需求恢复不及预期，汇率波动风险，油价上涨风险，安全事故。,,国金证券,买入,[None],2025-10-30,,买入,7170589,pdf_downloads/2025/2025-10-30/603885-吉祥航空（603885）：公司点评：单位成本同比增加，Q3业绩回落.pdf,603885,吉祥航空,吉祥航空（603885）：公司点评：单位成本同比增加，Q3业绩回落,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 11,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 20,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 26,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
