author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"李辉,张峰,李佳骏",Q4业绩好于预期。公司披露25年业绩快报，收入96.4亿同比+22.8%，归母净利11.0亿同比+16.6%。其中25Q4收入30.2亿，同比+38.7%，环比+27.7%；归母净利3.5亿，同比45.2%，环比+32.6%；扣非归母净利3.7亿，同比53.1%，环比+50.0%。锂电材料有望景气反转。下游动力和储能电池需求快速增长，据ICC鑫椤锂电统计2025年国内电解液总产量为221.2万吨，同比增长53.6%。供需反转，六氟磷酸锂和添加剂价格2025年Q4大幅上涨。六氟磷酸锂由2025年9月底6.0万元/吨涨至16.9万元/吨，添加剂VC由4.85万元/吨涨至17.5万元/吨，电解液价格亦随之上涨。参股公司江西石磊产能大幅增长，我们预计26年锂电材料板块将持续快速增长。氟化液替代或加速，有机氟快速增长。3M氟化液产品线2025年关闭，2026-2027年公司氟化液替代或将加速。氟化液技术壁垒高认证周期长，目前公司与韩国、中国台湾大客户的合作已经具备供货条件，先发优势明显。AI芯片功耗快速上升，浸没式液冷或是大势所趋，氟化液需求有望大幅增长。公司浸没式冷却液已交付部分头部客户测试。全氟异丁腈碳减排优势明显，有望成为下一个有机氟大单品。全球PFAS监管趋严，公司多个产品有望受益。AI需求大幅增长，带动电容器化学品增速加快。新能源、电动汽车等领域快速增长带动铝电容需求。据中国电子元件行业协会数据，2024年全球铝电解电容器市场规模约为614.2亿，同比增长0.1%，2025年市场规模约为645.5亿元，同比增长5.1%，至2029年市场规模将达到773.4亿元，2024-2029年均增长约4.7%。随着AI算力集群规模的扩张，对高性能电容器的需求将显著增加，尤其是超级电容和铝电容。目前公司是电容器化学品全球头部厂商，相关产品市场份额超50%，毛利率长期保持40%左右。多次并购，补链强链。公司2024年底投资江西石磊，补齐六氟磷酸锂短板，充分受益于本轮涨价。公司此前成功并购海斯福，切入有机氟新业务；并购瀚康化工，推动电解液添加剂一体化。多次成功并购整合，证明公司优秀的整合能力。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为11.0/22.6/27.9亿元，同比增速分别为16.6%/105.6%/23.5%，当前股价对应的PE分别为37.8/18.4/14.9倍。我们选择天赐材料、多氟多、鼎龙股份作为可比公司，2026年平均PE约26倍。公司氟化液需求有望大幅增长，电解液景气有望复苏，业绩弹性较大，首次覆盖给予“买入”评级。风险提示。产品价格波动；客户开拓不及预期；产能投放不及预期,,华源证券,买入,[None],2026-03-06,,买入,8484257,pdf_downloads/2026/2026-03-06/300037-新宙邦（300037）：氟锂双击，前景光明.pdf,300037,新宙邦,新宙邦（300037）：氟锂双击，前景光明
"曾朵红,阮巧燕,岳斯瑶",业绩符合市场预期。公司预估25年实现营收96.4亿元，同比+22.8%，预估实现归母净利11.0亿元，同比+16.6%，预估实现扣非净利10.9亿元，同比+14.5%；其中25Q4归母净利3.5亿元，同环比+45.5%/+32.5％，扣非净利3.7亿元，同环比+53%/+50％，符合市场预期。电解液六氟涨价贡献业绩弹性、单位盈利明显修复。我们预计25Q4电解液出货8万吨+，同增35%，25年我们预计出货28万吨+，同增45%。盈利端，我们预计Q4电解液板块贡献利润1亿元左右，对应单吨盈利恢复至0.12万/吨，主要由六氟及VC涨价贡献，我们预计六氟出货0.5万吨左右，对应六氟单位盈利3-4万，石磊我们预计26年出货4万吨，若考虑六氟涨价至12万，我们预计石磊贡献8亿元左右归母利润，弹性显著。Q4氟化工、电容器和半导体盈利稳健增长。我们预计氟化工25Q4利润2亿元左右，环比持平微增，海德福亏损环比收窄，全年看海德福我们预计亏损收窄至0.6亿元，氟化工我们预计增长10%贡献接近8亿元利润；26年公司半导体冷却液产品客户认证有望基本完成，我们预计26年开始放量，且我们预计26年海德福减亏，我们预计氟化工合计贡献10亿利润，增速恢复。我们预计电容器化学品及半导体化学品收入Q4合计贡献利润0.5亿元，环比微增，我们预计全年贡献2亿元左右利润。盈利预测与投资评级：考虑公司六氟及VC涨价幅度显著，25Q4单位盈利明显修复，26年我们预计将进一步体现涨价弹性，以及氟化工业务新产品贡献增量，我们预计公司25-27年归母净利11.0/24.0/29.8亿元（原预期11.9/16.3/20.3亿元），同比+17%/+118%/+25%，对应PE为35x/16x/13x，给予26年25xPE，目标价79.8元，维持“买入”评级。风险提示：销量不及预期，盈利水平不及预期，行业竞争加剧。,,东吴证券,买入,[None],2026-02-11,,买入,8413797,pdf_downloads/2026/2026-02-11/300037-新宙邦（300037）：氟化工稳中有升，六氟涨价盈利修复.pdf,300037,新宙邦,新宙邦（300037）：氟化工稳中有升，六氟涨价盈利修复
"刘俊,边文姣",2026年2月11日│中国内地 电力设备与新能源 公司发布业绩快报，25年收入96.39亿元，同比+22.84%，归母10.98亿元，同比+16.56%，扣非归母10.89亿元，同比+14.54%，归母净利略超出我们此前10.89亿的预期，主要系储能需求带动电池化学品业务收入及盈利增长。我们预计26年有机氟二代品出货量进一步增长且海德福逐步减亏，电容器随着新品放量，6F布局展现盈利弹性，维持“买入”评级。Q4业绩略超预期主要系电解液原材料6F及添加剂涨价25Q4收入30.23亿元，同/环比+38.7%/+27.6%，归母净利3.50亿元，同/环比+45.5%/+32.5%，扣非净利3.73亿元，同/环比+53.0%/+49.8%。电解液方面，旺季效应下我们推测Q4电解液盈利约1亿，出货量超9万吨，单吨净利超1000元，6F及添加剂等涨价贡献超额盈利。氟化工方面，我们推测Q4氟化工盈利超2亿，环比较为平稳。电容器化学品方面，我们推测公司Q4盈利0.5亿，主要系MLCC化学品国产替代加速。公司Q4非经-0.23亿，我们推测主要系资产减值影响。看好旺季6F去库价格回升，26年有望贡献盈利根据Wind，截至2月10日，6F价格为13.0万元/吨，较12月均价18.0万元/吨出现回落，主要系淡季效应下库存有所增加，根据百川盈孚，截至2月6日，六氟磷酸锂库存达8095吨，较12月初较紧缺时期的1520吨库存出现回升，考虑到行业新增产能在26年释放有限，且旺季到来有望加速库存去化，我们预计6F价格在旺季或将回升。目前公司拥有6F 3.6万吨产能、LiFSI 2400吨产能、1万吨VC产能（在建5000吨产能预计26H2投产），我们看好6F及添加剂涨价为公司带来业绩弹性。拟推行港股上市，扩张海外配套产能公司已于26年1月向香港联交所递交港股上市申请，募集资金主要用于海外产能建设、本土一体化产能建设、化工产品研发等。公司在26年1月公告：a）拟投资不超过2亿人民币建设波兰电解液项目二期，在一期的基础上实现新增5万吨电解液产能；b）拟投资2.6亿美元在沙特建设锂电池材料项目，布局20万吨碳酸酯溶剂、联产10万吨乙二醇生产线；c）拟对天津半导体化学品二期项目追加投资1.03亿元人民币。我们看好公司业务版图持续扩张，拓展营收天花板，收获来自一体化及海外布局的超额盈利。氟化液已实现批量应用，产能释放后有望放量公司含氟冷却液产品已实现在半导体制程冷却、数据中心浸没式冷却及精密仪器清洗等领域批量应用，公司拥有3000 吨氢氟醚产能和2500 吨全氟聚醚产能，待在建的“海斯福年产3万吨高端氟精细化学品项目”投产后，氟化液产能有望大幅提升，有望抓住国际主流公司推出带来的市场机遇。维持“买入”评级考虑到25Q4电解液价格传导存在滞后，我们下修25年电解液价格假设，考虑到6F及VC价格保持高位，公司自供产能放量有望贡献盈利，我们上修26-27年电解液价格假设、上修25-27年毛利率假设，预计公司25-27年归母净利10.98/23.47/28.66亿元（前值10.89/15.40/19.79亿元，上修1%/52%/45%）。可比公司 26年 Wind一致预期平均 PE 20倍（前值43倍），考虑到公司电解液业务弹性大，氟化液有望放量，给予公司26年PE 25倍（前值43倍），目标价78.00元（前值88.58元），维持“买入”评级。风险提示：电解液出货量和毛利率提升不及预期，有机氟化工收入增长不及预期，半导体化学品客户开拓进度以及利润率提升不及预期。,,华泰证券,买入,[None],2026-02-11,,买入,8413418,pdf_downloads/2026/2026-02-11/300037-新宙邦（300037）：Q4业绩略超预期.pdf,300037,新宙邦,新宙邦（300037）：Q4业绩略超预期
黎江涛,六氟及电解液价格上行，盈利进入上行通道伴随储能等下游需求爆发，推动锂电产业链进入景气阶段，自25年10月起，六氟磷酸锂价格飙升，截至12月29日六氟磷酸锂价格已达到约18万元/吨，与10月1日相比价格涨幅高达195%。公司六氟磷酸锂产能2.4万吨/年，预计25年底技改完成后产能可达3.6万吨/年，且存在10%-20%的产能弹性空间，受益于价格上行。六氟涨价逐步向下游电解液传导，截至12月29日电解液价格为约2.6万元/吨，同期涨幅亦达到约64%。随着六氟磷酸锂价格抬升，公司将持续受益。氟化液赛道长坡厚雪，竞争力凸显伴随3M 退出，公司迎来国产替代良机，叠加数据中心液冷及半导体等下游行业的增量需求，国内氟化液市场增长正步入国产替代+需求扩张的双重驱动阶段。公司已建成氢氟醚3000吨/年、全氟聚醚2500吨/年产能，此外年产3万吨高端氟精细化学品项目正稳步推进。公司有望深度受益于氟化液国产替代及行业扩容机会，随着中长期产能逐步释放，打开天花板。深化布局新型材料，拓展成长空间公司前瞻性布局固态电池电解质，公司参股的新源邦已实现氧化物电解质量产，硫化物及聚合物电解质进入小批量供应阶段。当前固态电池产业化进程加速，中试线建设进入爆发期，公司电解质业务有望随着下游技术路线逐步清晰及量产节点临近，为公司电池材料业务打开新的增长空间。盈利预测预计2025/2026/2027年公司归母净利润分别为12/15/19亿元，EPS为1.57/2.06/2.55元，对应PE分别为33/25/20倍。基于公司电解液业务盈利能力提升，氟化工业务随半导体与数据中心需求爆发而迎来增长，前瞻性布局固态电池，维持“买入”评级。风险提示政策波动风险；下游需求低于预期；产品价格不及预期；竞争格局恶化风险；产能扩张不及预期,,华鑫证券,买入,[None],2025-12-30,,买入,8302995,pdf_downloads/2025/2025-12-30/300037-新宙邦（300037）：受益于六氟价格弹性，氟化液竞争力凸显.pdf,300037,新宙邦,新宙邦（300037）：受益于六氟价格弹性，氟化液竞争力凸显
"王强峰,刘天其",主要观点：事件描述2025年10月28日，新宙邦发布2025年第三季度报告，公司2025前三季度实现营业收入66.16亿元，同比增长16.75%；实现归母净利润7.48亿元，同比增长6.64%；实现扣非归母净利润7.15亿元，同比增长1.26%。公司2025Q3实现营业收入23.68亿元，同比增长13.60%，环比增长5.45%；实现归母净利润2.64亿元，同比增长-7.51%，环比增长4.03%；实现扣非归母净利润2.49亿元，同比增长-9.53%，环比增长2.02%。六氟涨价推动电解液景气上行，公司一体化布局有望受益终端储能市场高景气加速六氟上涨向电解液传导，公司一体化布局目前拥有2.4万吨六氟磷酸锂产能，有望在成本价格传导中受益。根据百川盈孚，前三季度电解液市场均价18665元/吨，同比增长-7.87%；但Q3末以来，终端储能市场发展火热，众多海外储能大项目签订，电池厂订单火热生产积极性强，六氟磷酸锂价格上涨对电解液的传导逐步落地；截至2025年11月5日，锂电池电解液、六氟磷酸锂均价分别为27100、116500元/吨，较9月30日均价已增长38.27%、94.17%；同时公司子公司石磊氟材拥有2.4万吨六氟磷酸锂产能，目前对电解液自供给率为50-70%，2025年底技改完成后产能将进一步释放达到3.6万吨；随着成本端传导逐步抬高电解液价格以及高价长协订单逐步释放，公司有望收益。Q3有机氟业绩短期承压，长期看好产品放量与3M替代机遇终端需求复苏不及预期导致氟化液产品均价下跌，有机氟板块有所承压；但随着产品布局逐步落地叠加供需格局转好，有机氟长期向好。金九旺季效应不及预期，终端需求复苏缓慢，传统工业领域订单增量有限，下游用户多坚持低原料库存策略，导致有机氟板块产品均价有所承压；根据百川盈孚，2025Q3六氟丙烯、聚四氟乙烯均价分别为33341、40104元/吨，同比增长-6.97%、-5.70%，环比增长-11.55%、-5.51%；公司在氟化液领域产品布局逐步完善，目前已完成3000吨氢氟醚， 2500吨全氟聚醚等核心产品布局，可用于半导体设备清洗、数据中心浸没式液冷等高增长潜力应用场景；同时国际主流厂商3M将于 2025年底停产氟化液，有望获得可观的市场替代机遇，从长期看有机氟化学品板块的业绩有望向好。多板块业务持续扩张，打开业绩增长空间① 氟化液：公司已完成氟化液核心产品的阶段性产能建设，后续将在3000吨氢氟醚、2500吨全氟聚醚基础上，依托“年产3万吨高端氟精细化学品项目”，系统性扩大氢氟醚、全氟聚醚等氟化液产能规模，满足半导体、数据中心等下游领域对氟化液的高端需求。在全球电子氟化液市场处于供应切换窗口期，公司有望获得更高市场份额，打开长期成长空间。②电解液：公司已实现六氟-溶剂-添加剂-电解液全产业，公司于2024年11月收购石磊氟材料42.8%的股权，石磊氟材料拥有产能2.4万吨六氟磷酸锂、13.5万吨萤石精粉、5万吨/年无水氟化氢，其中六氟磷酸锂在2025年底技改完成后将拥有3.6万吨产能，此次收购有力保障了核心原材料供应安全，大幅提升了产品市场竞争力，在终端储能行业高景气度下，公司凭借一体化优势有望受益。③固态电池：公司在固态电解质领域长期聚焦聚合物方向研发，公司后续将依托海斯福在含氟材料领域的技术积累与产业化经验，探索相关材料在新能源领域的应用场景；公司将关注固态电池市场、技术、商业化等条件变化，稳步推进固态电池业务拓展。投资建议我们预计公司2025-2027年归母净利润分别为11.63、14.47、18.51亿元，对应2025-2027年PE 分别为42、34、26倍。维持“买入”评级。风险提示（1）市场竞争风险；（2）原材料价格波动风险；（3）安全生产与生态环境保护风险；（4）全球化进程的风险。（5）新产品和新技术迭代风险。,,华安证券,买入,[None],2025-11-17,,买入,7978683,pdf_downloads/2025/2025-11-17/300037-新宙邦（300037）：Q3业绩符合预期，六氟有望推动电解液景气上行.pdf,300037,新宙邦,新宙邦（300037）：Q3业绩符合预期，六氟有望推动电解液景气上行
"刘俊,边文姣",公司发布三季报，25Q3收入23.68亿元，同/环比+13.6%/+5.5%，归母净利2.64亿元，同/环比-7.5%/+4.0%，扣非净利2.49亿元，同/环比-9.5%/+2.0%，归母净利环增主要系氟化工收入环增且海德福减亏，而电解液对六氟磷酸锂（简称6F）涨价传导存在滞后影响利润释放。我们预计26年有机氟二代品出货量进一步增长且海德福逐步减亏，电容器随着新产品贡献销量有望持续增长，电解液的6F一体化布局展现盈利弹性，维持“买入”评级。25Q3氟化工收入环增，电解液价格传导滞后影响盈利电解液方面，旺季效应下我们推测Q3电解液出货量环比增长，考虑到电解液价格对6F传导滞后，亏损环比扩大。氟化工方面，我们推测Q3收入环比增长，主要系氟化液出货增长+高端产品占比提升+导入新客户，同时海德福产能爬坡下有所减亏。电容器化学品方面，我们推测公司电容器化学品出货维持20%以上同比增速，主要受益于MLCC化学品国产替代加速。电解液：看好6F涨价带来利润弹性，固态技术布局全面根据Wind，截至10月29日，6F价格已达10.25万元/吨，较Q3均价5.35万元/吨出现大幅上升，主要系下游储能需求向好，叠加供给端新增产能已趋缓，我们预计供需收紧下6F价格有望维持高位。目前公司拥有6F 2.4万吨产能（待年底技改完成后产能可达3.6万吨）与LiFSI 2400吨产能（三期年产1万吨项目预计于26年中试生产），我们看好6F涨价为公司带来业绩弹性。固态方面，公司与子公司新源邦已建立固态电解质材料研发、测试及生产平台，氧化物电解质已实现批量销售，硫化物材料实现吨级稳定生产和销售，固态新技术布局也为公司注入未来增长动能。氟化工：新产品推进顺利，液冷产品有望放量公司已正式完成含氟聚酰亚胺单体和树脂的全链条布局，面向特定场景的聚酰亚胺薄膜产品进入开发阶段，其中柔性电子皮肤方向进展显著，柔性电子皮肤用聚酰亚胺薄膜已通过华为验证，预计 2025 年第四季度实现批量供货；在氟化液领域，公司拥有3000 吨/年产能的氢氟醚和2500 吨/年产能的全氟聚醚，待在建的“海斯福年产3万吨高端氟精细化学品项目”投产后，氟化液产能有望大幅提升。公司已参与制定了多项液冷领域标准及规范，应用于数据中心不同场景的产品已成熟，目前正按照计划积极推动与国内外各主流厂商的相关认证工作中，未来有望快速放量。维持“买入”评级考虑到今年6F涨价而电解液传导价格有所滞后，我们下修电解液业务毛利率假设，考虑到锂电行业需求向好，6F出现供需收紧涨价，公司有望凭借6F产能释放增厚盈利，我们上修26-27年电解液销量及毛利率假设，预计公司25-27年归母净利10.89/15.40/19.79亿元（前值11.40/14.14/18.36亿元，调整-4%/+9%/+8%）。参考可比公司 26年 Wind一致预期下平均 PE 43倍（前值25年40倍），给予公司26年PE 43倍（前值25年40倍），对应目标价88.58元（前值60.80元），维持“买入”评级。风险提示：电解液出货量和毛利率提升不及预期，有机氟化工收入增长不及预期，半导体化学品客户开拓进度以及利润率提升不及预期。,,华泰证券,买入,[None],2025-10-31,,买入,7087048,pdf_downloads/2025/2025-10-31/300037-新宙邦（300037）：看好六氟磷酸锂涨价带来利润弹性.pdf,300037,新宙邦,新宙邦（300037）：看好六氟磷酸锂涨价带来利润弹性
"李辉,沈国琼",电解液盈利承压，有机氟持续增长，业绩保持韧性据百川盈孚，25Q3电解液均价18126元/吨，同比跌2.9%，环比跌2.6%；电解液单吨毛利12元/吨，同比跌98.6%，环比跌97.1%，预计3季度公司电解液板块盈利继续下行。受益于全球龙头3M退出全氟和多氟烷基物质（PFAS）生产，公司氟化工有望快速放量进而带动业绩增长。3季度公司毛利率23.53%，同比降2.19pct，环比降1.97pct，净利率11.52%，同比降2.33pct，环比降0.18pct。3季度公司投资收益2千万元，环比增700万元，主要系对联营企业与合营企业的投资收益增加所致。3季度公允价值变动净收益0.23亿元，环比增0.15亿元，主要系交易性金融资产公允价值增加所致。25年前三季度公司经营性现金流净额9.22亿元，同比增11.12亿元。电解液一体化优势明显，有机氟加速成长据百川盈孚，25年9月初以来六氟磷酸锂价格由55000元/吨涨至101000元/吨，涨幅达83.6%。公司投资的江西石磊现有六氟磷酸锂产能2.4万吨/年，待2025年底技改完成后，六氟磷酸锂规划产能达3.6万吨/年。按照25年底权益产能1.54万吨计算，六氟磷酸锂价格每上涨1万元/吨，公司利润有望增厚1.2亿元。电解液价格从9月初的18700元/吨涨至10月28日的25700元/吨，涨幅达37.4%，原材料成本压力传导较为顺畅。公司电解液已实现六氟-溶剂-添加剂-电解液全产业链布局，一体化优势明显。有机氟方面，3M今年彻底退出，公司氟化液放量有望加速，此外芯片功耗快速上升，浸没式液冷将是大势所趋，氟化液需求有望爆发，公司浸没式冷却方面目前已经交付到部分头部客户测试。随着电解液盈利企稳回升，有机氟尤其是氟化液销售快速增长，预计公司业绩有望保持快速增长。盈利预测和估值预计公司25-27年归母净利润12.0/15.4/19.5亿元，现价对应PE为30.3/23.6/18.7倍。25年3M彻底退出，公司氟化液放量有望加速，浸没式液冷渗透率提升，氟化液需求有望爆发。电解液周期底部公司强链补链提升竞争力，若景气复苏业绩弹性极大，维持“买入”评级。风险提示产品价格波动；客户开拓不及预期；产能投放不及预期；环保及安全事故风险；,,浙商证券,买入,[None],2025-10-30,,买入,6989128,pdf_downloads/2025/2025-10-30/300037-新宙邦（300037）：25Q3点评报告：业绩略超预期，四季度值得期待.pdf,300037,新宙邦,新宙邦（300037）：25Q3点评报告：业绩略超预期，四季度值得期待
"王强峰,张志邦,刘天其",主要观点：事件描述2025年8月28日，新宙邦发布2025年半年报，公司2025H1实现营业收入42.48亿元，同比增长18.58%；实现归母净利润4.84亿元，同比增长16.36%；实现扣非归母净利润4.66亿元，同比增长8.16%。公司2025Q2实现营业收入22.46亿元，同比增长8.65%，环比增长12.16%；实现归母净利润2.54亿元，同比增长1.27%，环比增长10.48%；实现扣非归母净利润2.44亿元，同比增长-1.23%，环比增长10.07%。3M公司停产行业供需格局改善，有机氟化板块保持高盈利水平2025H1有机氟化学品实现营业收入7.22亿元，同比增长1.37%；毛利率实现62.8%，有机氟板块为公司盈利核心板块，上半年有机氟子公司海斯福实现净利3.83亿元，占上半年总净利润近80%；2025Q2受到内蒙古永和装置检修、原料端制冷剂R22旺季涨价等供给端因素影响，促使聚四氟乙烯、六氟丙烯等产品均价回升改善。根据百川盈孚，2025Q2聚四氟乙烯、六氟丙烯价格同比增长 -3.64%/3.27%，环比增长0.47%/6.90%。公司在氟化液领域技术布局完善，目前已完成氢氟醚、全氟聚醚等核心产品布局；国际主流厂商3M宣布2025年底停产氟化液，公司在供给端有望获得可观的市场替代机遇，有机氟化学品板块的业绩增长速度有望加快。锂电池电解液行业保持承压，新产线投产放量带动营收增长2025H1电池化学品实现营业收入28.15亿元，同比增长22.77%，占营业总收入达66.77%。根据百川盈孚，2025H1锂电池电解液均价为18970元/吨，同比增长-10.17%，拖累毛利率同比下降3.94Pct、至9.71%，受益于公司新产能落地及产能爬坡，产量得到显著增长，同比增长50.60%，支撑电池化学品板块营业收入稳步回升。2025Q2锂电池电解液面临供给过剩、原材料价格走低等因素，均价有所下降，2025Q2锂电池电解液均价同比增长-12.29%，环比增长 -3.85%。但随着反内卷政策指引的落地，锂电池电解液行业供需格局有望改善，同时叠加公司出海战略与国际化布局的落实，公司锂电池电解液板块将加速穿越底部周期。电子信息化学行业景气度回升，板块业绩水平保持稳健增长2025H1电子信息化学实现营业收入6.79亿元，同比增长25.18%。受益于行业景气回升以及下游冷却液、新兴领域(AI和算力)需求增长，公司凭借先进的工艺技术、高品质的产品，实现产销两旺，部分产品维持高产能利用率，收入和毛利率同比显著提升，实现毛利47.82%、同比增长5.91Pct。公司深耕布局有机氟板块，供需景气打开远期成长空间受益国际主流厂商3M因环保合规问题停止氟化液产品生产所带来的市场替代机遇与氟化液主要厂商库存消化完毕等供给端因素影响，氟化液市场格局有望重塑；与此同时新能源、数据中心、数字基建等产业的需求带动了相应氟材料的配套需求。公司目前已形成氢氟醚、全氟聚醚两大核心产品系列的全套技术储备涵盖合成工艺、性能优化、应用适配等全链条技术能力，可充分满足半导体、数据中心等下游领域对氟化液的高端需求。公司全资子公司海德福“年产5000吨高性能氟材料项目(1.5期)项目预计于2026年底实现投产，“年产3万吨高端氟精细化学品项目”预计于2027年底实现投产。在市场认证方面，公司已与国内主流晶圆厂、主机台厂和附属的冷却机设备厂建立多年稳定合作关系；在海外市场方面，与韩、台地区知名大厂的合作已具备供货条件，整体进程顺利。公司在有机氟化学品产业链布局深远，在全球电子氟化液市场处于供应切换窗口期，公司有望获得更高市场份额，打开长期成长空间。投资建议考虑到锂电池电解液短期内仍处于磨底阶段，我们对盈利预测进行调整，我们预计公司2025-2026年归母净利润分别为11.63、14.55亿元（2025-2026年前值为15.65、20亿元），新增2027年归母净利润预期18.6亿元，对应2025-2027年PE 分别为29.64、23.69、18.53倍。维持“买入”评级。风险提示（1）市场竞争风险；（2）原材料价格波动风险；（3）安全生产与生态环境保护风险；（4）全球化进程的风险。（5）新产品和新技术迭代风险。,,华安证券,买入,[None],2025-09-26,,买入,6487092,pdf_downloads/2025/2025-09-26/300037-新宙邦（300037）：25H1业绩稳健增长，电解液、有机氟业务放量.pdf,300037,新宙邦,新宙邦（300037）：25H1业绩稳健增长，电解液、有机氟业务放量
"王蔚祺,徐文辉",2025Q2实现归母净利润2.54亿元，同比+1%，环比+10%。公司2025上半年实现营收42.5亿元，同比+18.6%，实现归母净利润4.8亿元，同比+16.4%，2025上半年毛利率25%，同比-2.8pct，净利率11.6%，同比持平；对应2025Q2营收22.5亿元，同比+9%，环比+12.5%，2025Q2实现归母净利润2.54亿元，同比+1%，环比+10%，Q2毛利率25.5%，同比-2.9pct，环比+1pct；Q2净利率11.7%，同比-0.7pct，环比+0.1pct。电解液Q2出货同比高增，单位盈利稳定。公司电池化学品业务2025上半年实现营收28.15亿元，同比+23%，我们估计电解液出货12-13万吨，对应Q2出货6.5-6.7万吨，同比增长40%-50%，环比增长10%-20%，对应单吨盈利约400元。展望后续，伴随国内反内卷政策推出及落实、海外客户结构优化以及六氟磷酸锂自供比例提升，公司单吨盈利有望提升。我们预计2025全年公司电解液出货26-28万吨，单吨盈利保持约400-500元，2025全年整体贡献利润约1-1.4亿元。公司氟化液业务稳中有升。公司有机氟化学品2025上半年实现营收7.2亿元，同比+1.4%，毛利率62.8%，同比+0.6pct。其中海斯福上半年贡献利润3.82亿元，同比增长2%，我们估算海德福上半年亏损0.3-0.4亿元，整体有机氟化学品贡献利润约3.4-3.5亿元，同比持平。展望后续，全球电子氟化液市场处于供应切换窗口，市场需求增长，公司氟化液产品客户认证基本完成，公司有机氟化学品业务有望稳中有升。我们预计该业务2025全年贡献利润8亿元，其中海斯福贡献业绩8.5-8.7亿元，海德福全年亏损收窄至0.5-0.7亿元。电子信息化学品业务稳健发展。公司电子信息化学品业务2025上半年实现营收6.8亿元，同比+25%，2025年上半年随着电子信息化学品行业景气度逐渐回升，终端需求增加以及工业自动化、新能源等新兴领域快速发展带动电子信息化学品需求增加，我们估算公司该业务上半年贡献利润约0.8-1亿元。预计2025全年贡献约2亿元利润。风险提示：海外市场开拓不及预期；下游需求不及预期；行业竞争加剧。投资建议：下调盈利预测，维持“优于大市”评级。考虑公司海德福工厂整体处于产能爬坡阶段，业绩贡献仍处于亏损收窄阶段。我们下调公司2025-2027年盈利预测至11.13/13.57/16.84亿元（原2025-2026预测为13.61/15.79亿元），同比+18%/+22%/+24%。当前股价对应PE分别为32/26/21倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-09-08,,买入,6403664,pdf_downloads/2025/2025-09-08/300037-新宙邦（300037）：公司业绩稳健增长，氟化液稳中有升.pdf,300037,新宙邦,新宙邦（300037）：公司业绩稳健增长，氟化液稳中有升
"申建国,边文姣",2025年8月27日│中国内地 电力设备与新能源 25Q2收入22.46亿元，同/环比+8.6%/+12.2%，归母净利2.54亿元，同/环比+1.3%/+10.5%，扣非净利2.44亿元，同/环比-1.2%/+10.1%。25H1收入42.5亿元，同比+18.6%，25H1归母净利4.8亿元，同比+16.4%，扣非净利4.7亿元，同比+8.2%，上半年同比归母净利略有增加，主要系氟化工与电容器化学品收入同比增长。我们预计25年有机氟二代品出货量进一步增长且海德福逐步减亏，电容器随着新产品贡献销量有望持续增长，电解液有望实现量增利稳，维持“买入”评级。25Q2氟化工贡献盈利，电解液业务盈利承压电解液方面，我们推测Q2电解液出货量增长约45%，亏损约0.2亿，主要系国内竞争加剧+海外需求不及预期。氟化工方面，我们推测Q2利润约2.1亿，同比增长超10%，主要系氟化液出货增长+高端产品占比提升+导入新客户，同时海德福有所减亏。电容器化学品方面，我们推测公司电容器化学品出货同比增速超25%，主要受益于MLCC化学品国产替代加速。氟冷却液：半导体+数据中心推动需求增长，公司份额有望提升随着下游半导体需求及数据中心建设提速，氟冷却液需求有望快速增长。随着3M公司在25年底逐步退出市场，公司氟化液份额有望提升。目前公司半导体领域的氟化液产能达数千吨，已实现批量交付，部分客户也在顺利认证推进中。公司作为全氟聚醚全球龙头，采用浸没式相变液冷技术，开发系列不同产品，浸没式冷却方面目前已经交付到部分头部客户测试。25年7月公司与东阳光合资成立东阳光新宙邦，聚焦液冷散热材料及解决方案的研发与产业化，我们看好下游氟冷却液需求增长及公司份额提升。固态电解质：覆盖全品类矩阵，各路线量产加速公司与子公司新源邦目前在氧化物领域已实现吨级量产，计划2025年底完成消费电子领域的量产导入；在硫化物领域已完成超百公斤规模的生产，并计划到2025年底建成10吨/年的生产线；在聚合物领域，在客户端开始批量销售，适配柔性电池应用。维持“买入”评级考虑到公司氟化液逐步导入下游半导体及数据中心客户，海外数据中心浸没式液冷有望带动氟化液需求，我们上修公司电子信息化学品业务销量及毛利率假设，预计公司25-27年归母净利11.40/14.14/18.36亿元（前值11.14/12.59/15.67亿元，上修2%/12%/17%）。参考可比公司 25年 Wind一致预期下平均 PE 40倍，给予公司25年合理PE 40倍（前值34倍），对应目标价60.80元（前值50.32元），维持“买入”评级。风险提示：电解液出货量和毛利率提升不及预期，有机氟化工收入增长不及预期，半导体化学品客户开拓进度以及利润率提升不及预期。,,华泰证券,买入,[None],2025-08-28,,买入,6359214,pdf_downloads/2025/2025-08-28/300037-新宙邦（300037）：有机氟产品结构改善，电解液拖累业绩.pdf,300037,新宙邦,新宙邦（300037）：有机氟产品结构改善，电解液拖累业绩
