author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
王斌,持续进行产品管线迭代布局，进入价值兑现期。公司依托缓释微球、抗体药物、重组蛋白疫苗等优势技术平台，在消化道、辅助生殖、精神神经等优势领域进行产品迭代与全面布局。目前公司已经有多款药物处于不同研究阶段，其中莱康奇塔单抗已经申报上市（中重度银屑病适应症）并被纳入优先审评审批程序，与司库奇尤单抗头对头研究取得优效结果，临床价值突出；JP-1366片、司美格鲁肽、重组促卵泡素和注射用醋酸亮丙瑞林微球（3M）等多个重磅品种均处于申报上市阶段，多个品种处于临床III期/II 期；未来1-3年公司将迎来新产品获批上市及放量、临床数据读出、临床里程碑达成等诸多催化。经营质量处于较好水平，股东回报成果显著。公司历史分红率持续处于较高水平，股东回报成果显著。近年来经营活动产生的现金流量净额处于较好水平，且基本高于当期净利润，体现出公司经营质量良好。2025年5月，公司计划收购越南IMP公司64.81%股权，目前交易正在推进之中，通过外延式并购，有望进一步深化公司全球商业化布局。目前公司账面净现金充足，能够为后续并购、产品引进持续提供资金支持。盈利预测与评级。我们预计公司2025年至2027年公司收入分别为119.77亿元、120.28亿元和129.96亿元，同比增速分别为1.4%、0.4%和8.1%，归属于上市公司股东的净利润为21.73亿元、22.27亿元和25.28亿元，同比增速分别为5.4%、2.5%和13.5%，以1月30日收盘价计算，对应 PE 分别为14.3倍、13.9倍和12.3倍，首次覆盖给予“增持”评级。风险提示： 创新药研发进度低于预期、研发失败；上市后由于医保支付价较低、竞争格局变化等因素，新产品销售额低于预期；原料药因产品价格波动，竞争格局变化，收入和利润率低于预期；中药等产品因政策环境变化，销售额低于预期。,,首创证券,增持,[None],2026-02-02,,增持,8387913,pdf_downloads/2026/2026-02-02/000513-丽珠集团（000513）：经营质量处于较好水平，进入管线价值兑现期.pdf,000513,丽珠集团,丽珠集团（000513）：经营质量处于较好水平，进入管线价值兑现期
"陈铭,余文心",维持增持评级，上调目标价至每股49.13元（此前目标价为每股43.96元）。我们预测2025-2027年的营业收入分别为120.36、123.95、130.29亿元，增速分别为1.9%、3.0%、5.1%，归母净利润分别为22.21（此前预测为22.73）、22.95（此前预测为25.76）、23.91亿元，增速分别为7.7%、3.4%、4.2%，EPS分别为2.46、2.54、2.64元，我们采用PE方法进行估值，参考可比公司，给于2025年归母净利润20倍市盈率估值，对应每股目标价49.13元，维持增持评级。重点研发管线进展顺利。消化领域，P-CAB产品JP-1366片剂已申报上市，针剂近期已完成 II期首例入组;自免领域，IL-17A/F 银屑病及强直性脊柱炎适应症均已完成III期临床，预计本年内银屑病适应症将申报上市；精神领域，NS-041片癫痫适应症完成II期首例入组，抑郁适应症 IND 申请近期已获受理，注射用曲普瑞林微球的新适应症中枢性性早熟已完成III期临床入组；公司BD新引进的口服 GnRH 拮抗剂项目辅助生殖适应症即将启动 II期临床准备工作；四价流感重组蛋白疫苗完成I期首例入组；司美格鲁肽降糖适应症预计年内获批，减重适应症已处于 III期临床后期阶段。加强海外业务布局，实现本土国际化发展。越南市场业务布局方面，目前越南公司收购正在审批中，从公开披露的三季报表现来看，标的公司Imexpharm经营持续稳健，收入、利润以及EBITDA均实现20%以上增速。Imexpharm在越南拥有EU-GMP产品线最多，双方已经开始规划产品及工艺的转移，未来公司将借助Imexpharm成熟的市场渠道和欧盟GMP认证优势，重点推动创新药产品拓展海外市场。催化剂：新品放量爬坡，创新药管线临床数据催化，创新药管线对外合作授权。风险提示：创新药管线临床试验结果不及预期、药品销售不及预期、原料药市场价格波动风险。,,国泰海通,增持,[None],2025-11-19,,买入,8079361,pdf_downloads/2025/2025-11-19/000513-丽珠集团（000513）：2025年三季报点评：业绩稳健增长，待创新研发与国际化进展.pdf,000513,丽珠集团,丽珠集团（000513）：2025年三季报点评：业绩稳健增长，待创新研发与国际化进展
彭波,事件公司发布2025年三季度报告：2025Q3实现收入28.44亿元（同比+1.60%，下同），归母净利润4.73亿元（-5.73%），扣非归母净利润4.54亿元（-4.58%）；2025年前三季度实现收入91.16亿元（+0.38%），归母净利润17.54亿元（+4.86%），扣非归母净利润17.12亿元（+4.98%）。前三季度经营性现金流25.25亿元（+9.42%），经营质量稳健。核心观点第三季度收入实现恢复性增长，盈利短期承压但经营质量持续改善 对比上半年收入同比小幅下滑（-0.17%），三季度单季实现1.60%恢复性增长，驱动前三季度收入增速由负转正（+0.38%）。据2025年中报显示，上半年消化、精神神经、生殖、中药等业务均实现同比增长。公司前三季度毛利率整体保持稳定，但三季度归母净利润同比下降5.73%，主要系销售费用增加所致。尽管短期利润增速承压，公司通过持续提高运营效率、降本增效，前三季度经营性现金流同比提升9.42%，经营质量持续改善，为全年盈利提供支撑。海外市场保持较快增长，叠加研发转化加速，长期增长基础稳固 公司持续推进“出海”战略，2025H1实现海外收入10.04亿元，占收入比例提升至16.01%（+2.51pct），显著对冲国内市场波动。多个生产基地通过欧盟GMP和FDA检查，产品竞争力提升；制剂注册持续推进，生殖、抗感染等核心产品在多个亚洲国家市场高速增长。公司推动海外本地化布局，上半年拟收购越南上市公司IMP控制权，不断拓展海外市场。公司持续加强创新迭代，2025H1研发投入4.91亿元，在研制剂数达39项，其中申报上市阶段13项、III期4项。多款产品推进至关键注册或临床阶段：JP-1366片完成Ⅲ期并递交上市申请、注射用阿立哌唑微球已获批，重组抗人IL-17A/F人源化单克隆抗体注射液基本完成中重度银屑病III期临床。公司创新管线不断兑现，产品迭代能力与中长期竞争优势基础稳固。盈利预测与投资建议（+3.4%/+4.8%/+5.7%）；归母净利润约22.5/24.4/26.7亿元（+9.2%/+8.3%/+9.6%），2025/11/03对应PE估值分别为15/14/12倍。公司经营质量稳健，创新产品管线稳步推进，IL-17A/F已经完成III期临床，JP-1366片已递交上市申请，首次覆盖，给予“买入”评级。风险提示1）创新药临床推进进度与数据不及预期；2）创新药上市后销售情况不及预期；3）地缘政治风险。,,甬兴证券,买入,[None],2025-11-05,,买入,7459799,pdf_downloads/2025/2025-11-05/000513-丽珠集团（000513）：2025 年三季报报告点评：经营质量稳健，创新与国际化协同推进.pdf,000513,丽珠集团,丽珠集团（000513）：2025 年三季报报告点评：经营质量稳健，创新与国际化协同推进
"陈曦炳,彭思宇,肖婧舒",公司2025年前三季度业绩稳步提升。2025年前三季度公司实现营收91.16亿元（+0.4%），归母净利润17.54亿元（+4.9%），扣非归母净利润17.12亿元（+5.0%）。2025年三季度营收28.44亿元（+1.6%），归母净利润4.73亿元（-5.7%），扣非归母净利润4.54亿元（-4.6%）。公司核心产品进展顺利，创新品种即将商业化。制剂板块中消化、精神、中药等领域大品种的销售额均同比增长，带动板块整体收入企稳上升；原料药板块受到部分产品下游需求减弱的影响小幅下降，仍通过高毛利品种及拓展海外客户对冲收入下滑；诊断试剂板块销售收入同比下降，主要受去年同期高基数的影响，自免等诊断产品高速增长支撑板块利润。截至三季报发布，公司的阿立哌唑微球被《中国精神分裂症防治指南（2025版）》推荐，注射用醋酸曲普瑞林微球在中枢性性早熟适应症的临床3期研究完成全部患者入组，NS-041的第二个适应症抑郁症的国内临床2期研究申请获得受理，JP-1366片剂用于反流性食管炎适应症已经提交上市申请并获得CDE受理。IL-17A/F单抗达到临床主要终点，即将提交上市申请。LZM012为IL-17A/F重组人源化单克隆抗体，由丽珠医药子公司丽珠单抗与北京鑫康合生物医药公司联合开发。2025年7月22日，公司宣布LZM012的临床3期试验达到主要研究终点，在银屑病适应症中与司库奇尤单抗头对头比较，临床研究结果显示优效于司库奇尤单抗，整体安全性良好。目前，LZM012针对成人中重度斑块状银屑病适应症已经向CDE提交上市申请前的沟通交流申请，预计2025年第四季度提交NDA申请。除此之外，LZM012还在强直性脊柱炎适应症中开展临床3期研究。投资建议：公司2025年前三季度业绩稳定增长，核心板块产品销售收入稳定，创新产品临床及商业化推进顺利，维持此前的盈利预测，预计2025-2027年公司营收分别为，123.37/130.52/139.38亿元，同比增长4.4%/5.8%/6.8%，归母净利润分别为21.99/24.78/28.62亿元，同比增长6.7%/12.7%/15.5%，当前股价对应PE=16.1/14.2/12.3x，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-11-03,,买入,7334158,pdf_downloads/2025/2025-11-03/000513-丽珠集团（000513）：2025年前三季度业绩稳健，创新药产品推进顺利.pdf,000513,丽珠集团,丽珠集团（000513）：2025年前三季度业绩稳健，创新药产品推进顺利
"谭紫媚,张懿",事件：公司近期发布2025年三季度报告：2025年前三季度公司实现营业收入91.16亿元，同比增长0.38%；归母净利润17.54亿元，同比增长4.86%；扣非归母净利润17.12亿元，同比增长4.98%。2025年第三季度公司实现营业收入28.44亿元，同比增长1.60%；新产品市场推广和创新管线临床推进，导致销售费用和研发费用增加，归母净利润4.73亿元，同比下降5.73%；扣非归母净利润4.54亿元，同比下降4.58%。制剂板块大品种保持增长分业务板块来看，2025年前三季度公司制剂板块中消化、精神、中药等领域大品种均同比增长，推动制剂业务整体收入企稳上升；原料药板块受部分产品下游需求减弱影响，收入同比下降，其中抗生素和宠物原料药仍保持较好增长；诊断试剂板块受呼吸产品2024年高基数影响，收入同比下降，其中特色的自免业务仍实现较高增长。核心在研项目取得关键进展消化领域，新一代重磅产品P-CAB抑制剂JP-1366片剂已申报上市；JP-1366针剂于2025年3月完成一期临床首例患者入组，近期已完成二自免领域，IL-17A/F抑制剂LZM012的银屑病和强直性脊柱炎适应期临床首例患者入组。症均已完成三期临床研究。其中，银屑病适应症第12周LZM012的PASI100应答率为49.5%，对照组司库奇尤单抗为40.2%，显示出LZM012非劣效于司库奇尤单抗且优效于司库奇尤单抗，该适应症预计2025年内申报上市。精神领域，精神分裂症长效针剂阿立哌唑微球（Q4W）已于2025年5月获批上市，打破帕利哌酮长效针剂的进口垄断，预计将参加今年国家医保目录谈判，纳入医保后将进一步放量。新型高选择性KCNQ2/3钾离子通道激动剂NS-041的癫痫适应症已于2025年7月完成二期临床首例患者入组，此外NS-041用于治疗抑郁症的临床试验申请已于2025年10月获受理。盈利预测及投资评级：我们预计，2025-2027年公司营业收入分别为119.35/126.18/137.57亿元，同比增速为1.04%/5.72%/9.03%；归母净利润分别为22.01/24.39/27.51亿元，同比增速为6.79%/10.79%/12.81%；EPS分别为2.43/2.70/3.04元，当前股价对应2025-2027年PE为15/14/12倍。维持“买入”评级。风险提示：制剂产品降价风险，在研产品获批不及预期的风险，市场竞争加剧的风险。,,太平洋证券,买入,[None],2025-10-30,,买入,7058373,pdf_downloads/2025/2025-10-30/000513-丽珠集团（000513）：制剂大品种稳健增长，核心项目取得关键进展.pdf,000513,丽珠集团,丽珠集团（000513）：制剂大品种稳健增长，核心项目取得关键进展
"陈曦炳,彭思宇,肖婧舒",2025年上半年业绩逐步企稳，盈利能力持续提升。2025年上半年公司实现营收62.72亿元（-0.2%），归母净利润12.81亿元（+9.4%），扣非归母净利润12.58亿元（+8.9%）。2025年二季度营收30.91亿元（+1.7%），归母净利润6.44亿元（+14.4%），扣非归母净利润6.40（+13.2%）。分板块看，2025年上半年化学制剂板块销售收入32.70亿元（+1.4%），其中消化道药品销售额为13.51亿元（+3.9%），促性激素药品销售额为15.30亿元（-1.2%），精神类药品销售额为3.17亿元（+6.9%），抗感染及其他产品销售额为0.72亿元（-7.4%），板块整体的毛利率为81.17%（+0.02pp）；中药制剂2025年上半年销售收入7.99亿元（+7.3%），毛利率为74.0%（-1.57pp）；原料药及中间体2025年上半年销售收入16.62亿元（-5.7%），毛利率为36.37%（-0.76pp）；诊断试剂及设备产品2025年上半年销售收入3.74亿元（-5.1%），生物制品板块2025年上半年销售收入0.95亿元（+8.3%）。IL-17A/F单抗治疗银屑病的临床3期数据优效于司库奇尤单抗。LZM012为IL-17A/F重组人源化单克隆抗体，由丽珠医药子公司丽珠单抗与鑫康合生物医药联合开发。2025年7月22日，公司宣布LZM012的临床3期试验达到主要研究终点，在银屑病适应症中与司库奇尤单抗头对头比较，临床研究结果显示优效于司库奇尤单抗，整体安全性良好，目前已经提交上市前沟通交流申请，是中国首个、全球第二个完成3期临床的IL-17A/F抑制剂。强直性脊柱炎适应症处于临床3期研究阶段，2024年12月公布首次分析达到试验的主要有效性终点。投资建议：公司围绕消化道、辅助生殖、精神神经、代谢、抗感染及心脑血管领域布局多款成熟产品，多款产品成熟度较高，占据一定的市场份额，具备较强的品牌价值。围绕这些领域，公司仍积极布局创新产品，进一步研发创新药、高壁垒复杂制剂和高临床价值产品，提高产品的创新属性。预计2025-2027年，公司营收分别为123.37/130.52/139.38亿元，归母净利润分别为21.99/24.78/28.62亿元。综合相对估值法和绝对估值法，得出公司价格区间为41.41~46.21元，较目前股价有7%~19%的上涨空间。首次覆盖，给与“优于大市”评级。风险提示：创新药研发失败或进度低于预期；商业化销售不及预期。,,国信证券,优于大市,[None],2025-09-24,,买入,6473715,pdf_downloads/2025/2025-09-24/000513-丽珠集团（000513）：创新转型成果初见，在研管线值得期待.pdf,000513,丽珠集团,丽珠集团（000513）：创新转型成果初见，在研管线值得期待
"张金洋,胡偌碧,王彦迪",公司发布2025年半年度报告，实现营业收入人民币62.72亿元，同比减少0.17%；归母净利润12.81亿元，同比增长9.4%；扣非归母净利润12.58亿元，同比增长8.91%。上半年公司消化、精神神经、生殖、中药板块主要产品均实现同比增长；原料药与中间体板块，由于头孢类原料药受国内市场价格波动影响，整体收入同比略有下降；诊断试剂及设备板块受到呼吸道产品周期变化影响，在2024上半年高基数基础上，收入小幅下滑。从利润来看，制剂板块的增长，以及原料药板块高毛利特色原料药出口的增长带动了利润增加；同时通过持续提高运营效率、降本增效，利润总额和扣非归母净利润均实现较高增长。研发管线方面，2025年上半年，JP-1366片完成Ⅲ期临床，现已提交上市申请并获受理；重组抗人IL-17A/F人源化单克隆抗体注射液基本完成中重度银屑病Ⅲ期临床、司美格鲁肽注射液减重适应症推进到Ⅲ期临床后期；复达那非片、抗癫痫药物NS-041片、抗感染药物SG1001片均从Ⅰ期临床推进到Ⅱ期临床，小核酸痛风药物LZHN2408、注射用JP-1366获得临床批件并推进至Ⅰ期临床。上半年注射用阿立哌唑微球及黄体酮注射液获得上市批件；重组人促卵泡激素注射液、棕榈酸帕利哌酮注射液及注射用阿立哌唑两款长效微晶等主要产品已申报上市。盈利预测与投资评级。基于公司优秀的管理层、销售团队、研发进度等，公司长期投资价值凸显。我们预计2025-2027年归母净利润分别为22.68亿元、25.34亿元、27.99亿元，增长分别为10%、11.7%、10.5%。公司业绩增速确定性高，估值较低，创新研发进入收获期。我们看好公司长期发展，维持“买入”评级。风险提示：研发失败的风险，产品商业化销售不及预期的风险，行业增速不及预期的风险。,,国盛证券,买入,[None],2025-08-27,,买入,6355200,pdf_downloads/2025/2025-08-27/000513-丽珠集团（000513）：业绩稳健符合预期，研发布局陆续进入收获期.pdf,000513,丽珠集团,丽珠集团（000513）：业绩稳健符合预期，研发布局陆续进入收获期
"谭紫媚,张懿",事件：公司近期发布2025年半年度报告：2025年上半年，公司实现营业收入62.72亿元，同比下降0.17%；归母净利润12.81亿元，同比增长9.40%；扣非归母净利润12.58亿元，同比增长8.91%。经营性现金流净额16.87亿元，同比增长10.26%。基本每股收益1.43元，同比增长12.60%。制剂业务保持稳健发展化学制剂业务为公司核心业务，其中消化道产品受益于较强的产品力和市场需求稳定性，2025H1收入13.51亿元，同比增长3.87%；促性激素产品受市场竞争加剧影响，2025H1收入15.30亿元，同比下降1.22%；精神类产品受益于精神健康意识提升及产品线拓展，2025H1收入3.17亿元，同比增长6.89%。原料药及中间体业务因国际市场竞争加剧及部分产品价格承压，2025H1收入16.62亿元，同比下降5.65%。中药制剂业务稳健增长，2025H1收入7.99亿元，同比增长7.31%。诊断试剂及设备业务受行业周期影响，2025H1收入3.74亿元，同比下降5.13%。创新药管线驱动未来增长公司持续加大投入，推进创新药研发，2025H1研发投入4.91亿元，营收占比7.82%。目前多个核心产品进入临床Ⅲ期或上市阶段，有望驱动未来长期可持续增长。精分长效针剂阿立哌唑微球（Q4W）已于2025年5月获批上市，后续纳入医保将进一步放量，有望打破帕利哌酮长效针剂的进口垄断。新机制抗癫痫药物NS-041片已启动Ⅱ期临床。自免领域IL-17A/F抑制剂LZM012银屑病适应症Ⅲ期临床达到主要研究终点，第12周PASI 100应答率，LZM012为49.5%，对照组司库奇尤单抗为40.2%，显示出LZM012非劣效于司库奇尤单抗且优效于司库奇尤单抗。消化道领域P-CAB抑制剂JP-1366片已完成Ⅲ期临床并申报上市，注射用JP-1366进入临床Ⅰ期，有望成为新一代重磅产品。小核酸药物LZHN2408获临床批件，进入Ⅰ期临床，聚焦高尿酸血症与痛风治疗。盈利预测及投资评级：我们预计，2025-2027年公司营业收入分别为122.02/129.45/141.49亿元，同比增速为3.30%/6.09%/9.30%；归母净利润分别为22.50/25.04/28.31亿元，同比增速为9.16%/11.28%/13.07%；EPS分别为2.49/2.77/3.13元，当前股价对应2025-2027年PE为16/15/13倍。维持“买入”评级。风险提示：制剂产品降价风险，在研产品获批不及预期的风险，市场竞争加剧的风险。,,太平洋证券,买入,[None],2025-08-26,,买入,6350959,pdf_downloads/2025/2025-08-26/000513-丽珠集团（000513）：制剂业务稳健发展，创新药管线密集兑现.pdf,000513,丽珠集团,丽珠集团（000513）：制剂业务稳健发展，创新药管线密集兑现
"夏禹,郑薇",事件丽珠集团发布2025年半年报，上半年实现收入62.72亿元，同比减少0.17%，实现归母净利润12.81亿元，同比增长9.40%，实现扣非后归母净利润12.58亿元，同比增长8.91%。公司第二季度实现收入30.91亿元，同比增长1.71%，实现归母净利润6.44亿元，同比增长14.42%，实现扣非后归母净利润6.40亿元，同比增长13.19%。化学制剂、中药业务小幅增长公司上半年收入表现平稳，化学制剂实现收入32.70亿元（同比+1.43%），中药制剂实现收入7.99亿元（同比+7.31%），原料药业务实现收入16.62亿元（同比-5.65%）。化学制剂业务的增长来源于消化道产品（13.51亿元，同比+3.87%）以及精神产品（3.17亿元，同比+6.89%）的增长；中药业务则得益于药店渠道渗透，抗病毒颗粒实现快速增长；原料药业务收入同比下降，主要是由于头孢类原料药中国的价格波动所致。多领域产品进入收获期丽珠集团研发储备丰富。上半年公司的阿立哌唑微球以及黄体酮注射液已经获批上市。在研产品中，自免领域抗IL-17A/F抗体银屑病III期临床达到主要终点，消化道领域JP-1366已申报上市申请，痛风药LZHN2408处于I期临床阶段，动物模型中单次给药降尿酸持续时间在3至6个月，有望实现长效降尿酸，NS-041癫痫适应症已启动II期临床，安全性好，同时抑郁症的临床前研究基本结束。公司通过自研+BD的模式快速补充管线，自免和消化道领域产品即将进入收获期。维持“增持”评级我们预计公司2025-2027年营业收入分别为123.43/129.26/135.73亿元，同比分别增长4.50%/4.72%/5.00%；归母净利润分别为22.72/24.57/26.46亿元，同比分别增长10.23%/8.16%/7.69%，3年CAGR为8.69%，EPS分别为2.51/2.72/2.93元。鉴于丽珠集团销售能力强，依靠自研+BD快速补充管线品种，维持“增持”评级。风险提示：出口不及预期；新药竞争加剧的风险；新药医保谈判降价的风险。,,国联民生证券,增持,[None],2025-08-24,,增持,6349255,pdf_downloads/2025/2025-08-24/000513-丽珠集团（000513）：单季度利润表现好，多领域产品进入收获期.pdf,000513,丽珠集团,丽珠集团（000513）：单季度利润表现好，多领域产品进入收获期
余汝意,2025H1利润快速增长，持续加快差异化创新布局2025H1公司实现收入62.72亿元（同比-0.17%）；归母净利润12.81亿元（同比+9.40%）；扣非归母净利润12.58亿元（同比+8.91%）。2025H1公司毛利率66.02%（同比+0.06pct）；净利率24.73%（同比+3.17pct）。2025H1公司销售费用率27.69%（同比-0.01pct）；管理费用率4.77%（同比-0.50pct）；研发费用率6.89%（同比-0.93pct）。2025单Q2公司实现收入30.91亿元（同比+1.71%）；归母净利润6.44亿元（同比+14.42%）。我们公司创新药的差异化布局优势，维持2025-2027年归母净利润分别为22.76、25.21、28.01亿元，EPS分别为2.52、2.79、3.10元/股，当前股价对应PE为16.4、14.8、13.3倍，维持“买入”评级。公司基本盘表现持续稳健，化学制剂、中药和生物制品等齐头并进公司2025H1化学制剂产品32.70亿元（+1.43%），其中消化道产品13.51亿元（+3.87%），促性激素产品15.30亿元（-1.22%），精神产品3.17亿元（+6.89%），抗感染及其他产品0.72亿元（-7.40%）；原料药及中间体产品16.62亿元（-5.65%）；中药制剂产品7.99亿元（+7.31%）；生物制品0.95亿元（+8.31%）；诊断试剂及设备产品3.74亿元（-5.13%），公司基本盘表现持续稳健。公司多元产品矩阵攻守兼备，差异化创新节奏加快作为仿创pharma估值重塑代表之一，集团加快差异化创新管线研发，全面提升产品竞争力：公司阿立哌唑微球（每4周给药1次的长效缓释剂型）已于2025年5月获批上市；IL-17A/F III期头对头临床显示疗效优于IL-17A、IL-12/23靶点的产品，预计2025Q4申报NDA；LZHN2408小核酸药物从基因层面源头抑制尿酸生成，具备FIC潜力；抗血栓药物H001胶囊作为直接凝血酶抑制剂，目前II期入组完成；消化P-CAB产品JP-1366和精神领域的NS-041（BIC潜力）和布瑞哌唑微球强化公司产品布局；SG1001片目前已完成治疗侵袭性真菌病的I期研究。丽珠集团差异化创新管线快速推进，我们认为其估值有望进一步提升。风险提示：行业政策变化风险、新药研发风险、原材料供应和价格波动风险等。,,开源证券,买入,[None],2025-08-22,,买入,6338468,pdf_downloads/2025/2025-08-22/000513-丽珠集团（000513）：公司信息更新报告：2025H1利润快速增长，持续加快差异化创新布局.pdf,000513,丽珠集团,丽珠集团（000513）：公司信息更新报告：2025H1利润快速增长，持续加快差异化创新布局
