author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"陈淑娴,周少玟",事件：2025年9月底，工业和信息化部等七部门联合发布《石化化工行业稳增长工作方案（2025-2026年）》。工作方案提出严控石化行业供给侧产能，培育新兴应用领域场景：方案指出：1）2025-2026年，石化化工行业增加值年均增长5%以上，经济效益企稳回升。2）增强高端化供给。聚焦集成电路、新能源、医疗装备等重点产业链需求，支持电子化学品、高端聚烯烃、高性能纤维、特种橡胶、高性能膜材料等领域的关键产品攻关。3）促进供需提质。组织石化化工产品供需对接活动，推动合成树脂、涂料、轮胎等生产企业与建筑、汽车、船舶等下游用户建立长期稳定的合作关系，提高传统领域供需适配性。围绕新能源、低空经济、人形机器人等新兴产业，积极拓展新能源电池材料、碳纤维及其复合材料、特种工程塑料等应用。4）科学调控重大项目建设。加强重大石化、现代煤化工项目规划布局引导，严控新增炼油产能，合理确定乙烯、对二甲苯新增产能规模和投放节奏。石化领域严格执行新建炼油项目产能减量置换要求，重点支持石化老旧装置改造、新技术产业化示范以及现有炼化企业“减油增化”项目。聚酯行业供需格局改善，后续新增产能较少：2025H1，涤纶长丝新增产能65万吨，产能增速明显放缓。国内外市场需求稳步增长：1）国内需求方面，2025H1中国社会消费品零售总额同比+5%，其中服装、鞋帽、针纺织品类同比+3.1%。2）海外需求方面，在国际贸易格局复杂多变的背景下，2025H1纤维纺服产业链出口量同比+12%。公司作为行业领军企业，凭借技术研发优势和规模效应持续巩固市场地位，在差异化产品开发、智能化生产及全产业链协同方面形成显著竞争优势，经营效益有望随行业整合深化持续提升。钦州己锦一体化项目即将投产，推动公司成长：公司预计广西120万吨己内酰胺-聚酰胺项目一期将于2025H2投产，项目产成品包含民用纤维、工程塑料及薄膜等多种产品，投产后将进一步增厚公司业绩，有效补强公司上下游产业链条。盈利预测与投资评级：随着石化行业反内卷以及稳增长政策的推进，我们认为公司后续盈利能力有望修复。我们预计2025-2027年公司归母净利润分别为4.3、6.5、8.2亿元，根据2025年10月9日收盘价，对应A股PE分别56、37、29倍。我们看好公司未来成长性，首次覆盖给予“买入”评级。风险提示：原油价格大幅波动的风险；市场竞争加剧；产品价格波动；项目建设进度不及预期。,,东吴证券,买入,[None],2025-10-12,,买入,6546925,pdf_downloads/2025/2025-10-12/000703-恒逸石化（000703）：聚酯行业景气修复，公司钦州项目即将投产.pdf,000703,恒逸石化,恒逸石化（000703）：聚酯行业景气修复，公司钦州项目即将投产
"杨晖,侯星宇",公司发布2024年三季报，24年前三季度实现营收948.15亿元，同比-6.61%；实现归母净利润2.31亿元，同比+11.93%；实现扣非归母净利润0.21亿元，同比-88.99%。其中单Q3实现收入300.51亿元，同比/环比分别-19.25%/-9.24%；实现归母净利润-1.99亿元，同比/环比分别-253.14%/-1299.63%；实现扣非归母净利润-2.09亿元，同比/环比分别-276.61%/-151.95%。评论：主要产品价差收窄，Q3利润环比下降。从炼化板块来看，24Q3原油价格继续回落，三季布油均价78.71美元/桶，同比/环比分别-8%/-7%，其中单9月价格同比下跌约21%至72.9美元，或造成一定库存损失。从炼化板块来看，三季度东南亚成品油进入淡季，价差出现较快回落，其中三季度汽油/柴油/航煤价差分别为11.0/13.5/13.0美元/桶，环比分别-19%/-11%/-4%；化工品方面，PX价差272美元/吨，环比下滑约23%，炼厂利润受成品油及化工品价差收窄影响或下滑较多。从PTA及瓶片板块来看，三季度原料PX价格下行，PTA及瓶片价差有所修复，价差环比分别+1%/+24%至1005/472元/吨。从聚酯板块来看，涤纶长丝景气已处修复过程中，9月以来行业平均开工负荷已提升至85%以上，9月末POY库存天数降至约12天，较7月初下降超12天。24Q3国内POY、FDY、DTY现金流分别-31、-7、471元/吨，环比分别+185、+213、+274元/吨。24Q3公司实现销售毛利率/净利率分别3.86%/-0.75%，环比分别+0.5/-0.8pct；三季度期间费用率约4.8%，环比+1.2pct，主要系财务费用有所增长。涤纶长丝景气稳步修复，文莱二期有序推进拓宽成长空间。往后看，国内聚酯业务有望企稳修复，四季度以来国内下游织机开工负荷稳步回升，截至10月29日，POY/FDY现金流均已回正，DTY现金流进一步增至550元以上，单吨效益环比三季度改善明显。基于后续海外自身需求端的回暖，后续涤纶长丝盈利有望随供需格局逐步改善而回升，利润有望实现修复。目前公司文莱项目二期正在开展围堤吹填施工等工作，各项工作均有序推进，后续随着文莱二期项目的逐步落地，公司炼化一体化的优势有望进一步显现。第五期回购方案出台，维护公司和股东长期利益。公司第四期股份回购方案已于2024年10月22日实施完毕，回购支付总金额约7.8亿元。目前公司已获取金融机构股票回购专项贷款，与中国农业银行签署《流动资金借款合同》，借款金额不超过人民币1.32亿元，借款利率不超过1.75%，用以实施股票回购。公司于204年10月24日推出第五期股份回购方案，回购总金额预计为1.25-2.50亿元，以进一步完善公司治理结构并提升公司整体价值。投资建议：考虑到近期下游化工品需求仍相对较弱，我们下调公司24-25年归母净利润预测分别至3.58、7.37亿元（此前预测为8.75、12.92亿元），新增26年归母净利润预测11.50亿元，对应EPS分别为0.10、0.20、0.31元，当前市值对应25年PB为0.9。参考公司历史估值中枢，我们给予公司2025年1.2倍PB，对应目标价8.53元，维持“推荐”评级。风险提示：能源价格大幅波动风险、聚酯下游需求不及预期、海外成品油需求不及预期、产能建设不及预期等。,,华创证券,推荐,[None],2024-11-07,,增持,5821912,pdf_downloads/2024/2024-11-07/000703-恒逸石化（000703）：2024年三季报点评：Q3国内化工品业绩承压，涤纶长丝景气有望改善.pdf,000703,恒逸石化,恒逸石化（000703）：2024年三季报点评：Q3国内化工品业绩承压，涤纶长丝景气有望改善
"左前明,刘奕麟",事件：2024年8月23日晚，恒逸石化发布 2024年半年度报告。2024年上半年公司实现营业收入647.64亿元，同比增长0.70%；实现归母净利润4.30亿元，同比增长465.59%；实现基本每股收益0.13元，同比增长550.00%。其中，第二季度公司实现营业收入331.09亿元，同比下降7.87%，环比增长4.59%；实现归母净利润0.17亿元，同比下降59.69%，环比下降95.98%。二季度经营活动产生的现金流量净额25.53亿元，同比增长5.86%，环比增长203.96%。点评：受海外成品油盈利收窄影响，二季度公司业绩有所承压。成本方面，2024年上半年布伦特平均油价为83.05美元/桶，同比增长4%，原油价格维持中高位震荡。成品油价差方面，2024年上半年东南亚地区汽油、柴油、航煤价差分别为11、19、17美元/桶，同比下降13%、11%、12%，其中第二季度价差环比下降32%、34%、35%，上半年东南亚成品油价差有所收窄，其中二季度收窄较为明显。化工品方面，今年上半年芳烃板块整体维持较高景气度，上半年纯苯、PX价差分别同比49%、-5%，其中第二季度价差环比分别为15%、-3%，芳烃供需仍维持偏紧格局，特别是纯苯装置在上半年逐步进入集中检修期，供应偏紧格局加剧。涤纶长丝方面，上半年涤纶长丝行业盈利相对偏弱，上半年库存压力较大，终端增量订单相对较少，下游织机开工负荷有所下滑。从毛利角度看，上半年公司炼油产品、化工产品、涤纶长丝毛利率分别为2%、17%、4%，同比-1pct、3pct、1pct。公司旗下子公司恒逸文莱、恒逸有限、恒逸高新分别实现净利润4.16、-2.99、1.93亿元。供给格局基本确立，看好下半年需求端复苏。海外成品油方面，从供给侧看，根据Platts数据，2020-2023年期间，东南亚和澳洲地区有超过3000万吨的炼能退出市场，根据IEA预测，预计到2028年前，东南亚地区炼能总体保持稳定。从需求侧看，根据IMF 2024年 7月最新预测，2024年东盟 GDP增速将达到 4.5%，2025年将达到 4.6%，东南亚地区经济有望仍保持高速增长，成品油盈利空间有望打开。化工品方面，根据中国化工信息周刊数据，2024年PX暂无新增产能，上半年开工负荷维持在81%的较高水平，较去年同期提升7个pct；纯苯三季度新增产能预计仅为20万吨/年，随着海外装置检修恢复，短期供需偏紧格局或有缓解，但随着下游苯乙烯、苯酚等新装置陆续投产，我们认为，下半年芳烃板块仍将保持供需偏紧格局。聚酯方面，根据CCF数据，2024 年上半年聚酯长丝实际新增产能仅为30万吨，全年或仅为116万吨，较去年明显缩窄；而下半年恰逢涤纶长丝“金九银十”消费旺季，且近期由于长丝企业存有降价促销操作，长丝库存明显去化。总体来看，成品油、芳烃、聚酯板块供给格局基本确立，而下半年在扩大内需、促进消费及房地产等多政策发力下，叠加东南亚地区旅游及出行需求抬升，我们看好公司在供需格局改善背景下的业绩释放机遇。盈利预测与投资评级：我们预计公司2024-2026年归母净利润分别为10.84、12.94、19.34亿元，归母净利润增速分别为148.8%、19.4%和49.5%，EPS（摊薄）分别为0.30、0.35和0.53元/股，对应2024年8月23日的收盘价，PE分别为20.94、17.53和11.73倍。我们看好公司海外成品油及芳烃板块景气度修复，公司业绩未来仍有较高业绩弹性，我们维持公司“买入”评级。风险因素：上游原材料价格上涨的风险；公司新建产能投产不及预期的风险；下游需求修复不及预期的风险；原油和产成品价格剧烈波动的风险。,,信达证券,买入,[None],2024-08-25,,买入,5733528,pdf_downloads/2024/2024-08-25/000703-恒逸石化（000703）：二季度海外成品油盈利承压，看好需求侧修复带来的业绩弹性.pdf,000703,恒逸石化,恒逸石化（000703）：二季度海外成品油盈利承压，看好需求侧修复带来的业绩弹性
"Junjun Zhu,Borong Li,Xin Hu",投资要点：1Q24归母净利润同比增长1087%。2024年一季度，公司实现营业收入316.56亿元，同比+11.54%；归母净利润4.14亿元，同比+1087.19%，环比+80.52%，为2022年下半年以来单季度最好水平。毛利率改善、毛利修复。2024年一季度，公司毛利率4.95%，同比提升0.71个百分点，环比提升1.56个百分点；实现毛利15.67亿元，同比增加3.62亿元，环比增加3.92亿元。全产业链均衡布局。截至2023年报披露日，公司拥有原油加工能力800万吨/年；参控股PTA产能2150万吨/年；PIA产能30万吨/年；己内酰胺（CPL）产能40万吨/年；参控股聚合产能1111.5万吨/年，其中聚酯纤维751.5万吨年，瓶片（含rPET）360万吨/年。重点项目稳步推进，强化一体化产业链。公司稳步推进120万吨/年“己内酰胺-聚酰胺”一体化及配套项目、文莱炼化二期等项目。此外，合营公司海南逸盛“250万吨年PTA+180万吨/年功能性材料项目”稳步推进，250万吨PTA装置2023年进入试生产阶段；年产180万吨功能性材料项目中，第一套年产60万吨装置已经试生产，剩余两套合计年产120万吨装置将于2024年进行试生产。盈利预测与投资评级。我们预计2024-2026年EPS分别为0.27、0.38、0.46元，2024年BPS 6.95元，参考可比公司估值水平，给予2024年PB 1.3倍，对应目标价9.04元（对应2024年PE 33倍），维持“优于大市”评级。风险提示：原油价格高位震荡；产品价格大幅波动；在建项目进展不及预期。,,海通国际证券,优于大市,[None],2024-05-10,,买入,5623516,pdf_downloads/2024/2024-05-10/000703-恒逸石化（000703）：1Q24归母净利润同比大幅改善.pdf,000703,恒逸石化,恒逸石化（000703）：1Q24归母净利润同比大幅改善
"陈淑娴,何亦桢",事件：公司发布2024年一季报，实现营业收入317亿元，同比+12%、环比-9%，归母净利润4.1亿元，同比+1087%、环比+81%，扣非净利润3.1亿元，同比+3890%、环比扭亏为盈，业绩符合预期。技改完成叠加价差修复，文莱盈利环比提升。1）生产经营方面，2023年文莱炼厂实施了技术改造工作，导致产量损失以及相应的技改费用增加。进入2024年后，技改的影响边际消除，同时经过技改后，文莱一期项目的产品结构也趋于优化。2）加工价差方面，根据wind统计，24Q1期间东南亚汽油/柴油裂解价差分别13/23美元/桶，环比分别+6/-1美元/桶，其中汽油盈利改善较为明显。化工品方面，芳烃仍然维持出色的盈利表现，其中Q1期间，PX/纯苯较原油价差分别为344/420美元/吨，环比分别+30/+121美元/吨。向后看，随着海外逐步进入出行旺季，汽油价差具备较强支撑，同时受益于供给端增速回落，芳烃有望维持高景气运行。聚酯板块平稳运行，看好24年长丝供需改善。1） Q1期间，聚酯链产品价格整体回升，价差维持平稳运行，库存损益环比改善。根据Wind统计，24Q1期间，POY/FDY/DTY/短纤均价分别环比+199/+178/+164/-19元/吨，单吨盈利分别为68/139/124/-99元/吨，环比分别+18/+3/-8/-145元/吨，其中长丝盈利表现平稳，短纤效益有所下滑。PTA方面，Q1期间PTA均价环比+20元/吨，平均加工价差为323元/吨，环比-3元/吨，整体维持偏低运行。2）展望全年，长丝行业扩产降速明显，根据百川盈孚统计，预计24年仅有90万吨新产能投放，再考虑到落后产能的边际退出，长丝产能增速有望创下近年新低。随着行业供需关系趋于修复，长丝盈利有望逐步改善。积极实施股票回购及员工持股计划，彰显长期发展信心。1）2023年以来，公司先后实施了第三期及第四期股份回购计划，其中第三期已实施完毕，累计回购约11.12亿元，第四期仍在进行中，截至3月底已累计回购4.30亿元，目标回购金额为5~10亿元。2）公司在2023 年实施并购买完成第五期员工持股计划，累计成交金额为6.75亿元，同时公司还有第六期员工持股计划正在进行中，拟筹集资金总额不超过8亿元。持续推出的股份回购及员工持股计划彰显了公司对未来发展的信心。盈利预测与投资评级：我们维持公司2024-2026年归母净利润预测为11/17/19亿元，按4月29日收盘价计算，对应PE分别为24.0/16.0/14.2倍，维持“买入”评级。风险提示：原材料价格波动，纺服需求不及预期，海外成品油市场下行,,东吴证券,买入,[None],2024-04-30,,买入,5609774,pdf_downloads/2024/2024-04-30/000703-恒逸石化（000703）：2024年一季报点评：聚酯板块平稳运行，文莱盈利环比修复.pdf,000703,恒逸石化,恒逸石化（000703）：2024年一季报点评：聚酯板块平稳运行，文莱盈利环比修复
"左前明,刘奕麟",事件：2024年4月19日晚，恒逸石化发布 2023年年度报告。2023年公司实现营业收入1361.48亿元，同比下降10.46%；实现归母净利润4.35亿元，同比增长140.34%；实现基本每股收益0.13元，同比增长143.33%。2024年4月28日晚，公司发布2024年一季度报告，公司一季度实现营业收入316.56亿元，同比增长11.54%，环比下降8.56%；实现归母净利润4.14亿元，同比增长1087.19%，环比增长80.52%；实现扣非后归母净利润3.14亿元，同比增长3890.0%，环比增长327.54%；实现基本每股收益0.12元，同比增长1100.00%，环比增长83.33%。点评：海外成品油价差小幅回落，叠加炼化技改，2023年业绩短期承压。成本端，2023年布伦特原油均价82.49美元/桶，同比-16.72%，原油价格维持中高位震荡。成品油方面，由于国际油价中枢有所下行，海外成品油价差同比有所下跌，根据我们统计，2023年新加坡地区汽油、柴油、航煤价差分别为12、24、22美元/桶，环比下降2%、33%、19%。化工品方面，2023年公司主要化工品PX、纯苯总体维持高景气度，根据我们统计，2023年PX、纯苯平均价差变化分别为21%、-7%。聚酯方面，由于成本端和需求端改善，长丝产品整体盈利水平提升，根据百川盈孚数据，2023年涤纶长丝毛利润同比提升9.72%。整体来看，公司在2023年上半年实施技改工作，技改费用支出较多，叠加境外美元借款利率上涨，公司炼化板块业绩有所承压，聚酯板块受益于需求提升，整体业绩有所改善。公司旗下子公司恒逸文莱、恒逸有限、恒逸高新分别实现净利润0.14、2.54、4.32亿元。一季度盈利高增长，炼化产品结构优化或将增强业绩释放潜力。进入2024年一季度，公司业绩同比及环比明显改善。根据我们统计，2024年一季度，新加坡汽油、柴油、航空煤油价差分别为13、23、21美元/桶，环比+5、-3、-4美元/桶，当前柴油仍为东南亚地区盈利较高的油品之一。我们认为，自2023年公司文莱炼厂技改完成后，成品油板块产品结构明显优化，在其他油品的裂解价差弱于柴油的市场行情下，提高了柴油的产出比例，实现海外成品油盈利的优化配置，我们预计未来公司海外炼厂盈利潜力有望进一步释放。供给缩量背景下，公司各板块景气度有望持续上行。海外成品油方面，从供给侧看，根据Platts数据，2020-2023年期间，受公共卫生事件和能源结构转型的影响，东南亚和澳洲地区有超过3000万吨的炼能退出市场，而由于东南亚部分炼厂仍然存在装置建设较早、技术老旧、管理不善、政府补贴负担较重等不利影响，炼厂扩能意愿不足，根据IEA预测，预计到2028年前，东南亚地区炼能总体保持稳定。从需求侧看，根据IMF预测，2024 年东盟GDP增速或仍保持较高水平，海外成品油高景气度有望延续。,,信达证券,买入,[None],2024-04-28,,买入,5606645,pdf_downloads/2024/2024-04-28/000703-恒逸石化（000703）：技改影响逐渐消化，公司核心业务景气周期有望延续.pdf,000703,恒逸石化,恒逸石化（000703）：技改影响逐渐消化，公司核心业务景气周期有望延续
"陈淑娴,何亦桢",事件：公司发布2023年年报，实现归母净利润4.4亿元，扣非净利润0.5亿元，同比均扭亏为盈。其中23Q4单季度，实现归母净利润2.3亿元，同比扭亏为盈、环比上涨76%，扣非净利润-1.4亿元，同比亏损收窄、环比由盈转亏，业绩符合预期。文莱一期技改影响业绩，炼化盈利同比下滑。2023年公司炼油及化工产品销量分别为583/183万吨，较22年下降57/19万吨，其中恒逸文莱公司实现净利润0.14亿元，较22年下降6.4亿元。具体上看，2023年上半年，文莱炼厂实施技术改造工作，导致产量损失以及相应的技改费用增加。此外，由于境外美元借款利率上涨，导致公司2023年财务费用同比增加。向后看，经过技术改后，文莱一期项目的产品结构趋于优化，其中清洁油品、芳烃产品及柴油产量各占约三分之一，文莱项目一期的经营效益有望达到最大化。聚酯产销同比提升，行业供需趋于改善。2023年公司实现聚酯产品销售772万吨，同比增长87万吨，毛利为22亿元，同比增长15亿元，其中聚酯产品单吨毛利为286元，同比增长约185元。从行业数据来看，根据Wind统计，2023年期间，POY/FDY/DTY价差分别较22年增加26/144/50元/吨，年均开工率达到79.5%，较22年增加5.7pct，考虑到开工率提升带来的单吨固定成本摊薄，以及能源成本回落，长丝单吨盈利有明显改善。向后看，进入24年后长丝行业扩产降速，根据百川盈孚统计，预计24年仅有90万吨新产能投放，再考虑到落后产能的边际退出，长丝产能增速有望创下近年新低。积极实施股票回购及员工持股计划，彰显长期发展信心。1）2023年以来，公司先后实施了第三期及第四期股份回购计划，其中第三期已实施完毕，累计回购约11.12亿元，第四期仍在进行中，截至3月底已累计回购4.30亿元，目标回购金额为5~10亿元。2）公司在2023 年实施并购买完成第五期员工持股计划，累计成交金额为6.75亿元，同时公司还有第六期员工持股计划正在进行中，拟筹集资金总额不超过8亿元。持续推出的股份回购及员工持股计划彰显了公司对未来发展的信心。盈利预测与投资评级：我们维持公司2024-2025年归母净利润为11/17亿元，并新增2026年归母净利润为19亿元，按4月22日收盘价计算，对应PE分别为22.5/15.0/13.3倍，维持“买入”评级。风险提示：原材料价格波动，纺服需求不及预期，海外成品油市场下行,,东吴证券,买入,[None],2024-04-22,,买入,5596112,pdf_downloads/2024/2024-04-22/000703-恒逸石化（000703）：技改拖累炼化业绩，聚酯盈利同比改善.pdf,000703,恒逸石化,恒逸石化（000703）：技改拖累炼化业绩，聚酯盈利同比改善
"Junjun Zhu,Borong Li,Xin Hu",投资要点：2023年同比扭亏。2023年，公司实现营业收入1361.48亿元，同比-10.46%；实现归母净利润4.35亿元，同比+140.34%，实现扭亏。公司盈利改善主要由于：（1）随着终端需求回升，聚酯产品产销两旺，盈利改善；（2）非经常性损益对净利润影响3.8亿元，主要为政府补助、非流动性资产处置损益等。聚酯纤维：需求改善，盈利提升。2023年公司聚酯产品产销两旺，产量770.79万吨，同比+11.36%；销量772.03万吨，同比+12.71%。2023年，公司涤纶丝毛利20.79亿元，同比增加15.41亿元（+287%）。炼化：技改等因素影响盈利。2023年，公司文莱炼厂炼油产品产销量分别为580.24万吨、582.50万吨，同比分别减少9.66%、8.86%；化工产品产销量分别为181.84万吨、182.77万吨，同比分别减少10.15%、9.43%。2023年文莱炼化（单体）实现净利润1398万元，盈利承压主要由于：（1）2023年上半年，文莱炼厂实施技术改造工作，技改费用支出较多，同时，技术改造期间仍需承担人力成本、折旧等固定成本；（2）境外美元借款利率上涨，导致公司财务费用同比大幅增加。分产品看，2023年公司炼油产品实现毛利10.85亿元，同比减少13.75亿元（-56%）；化工品实现毛利14.17亿元，同比增加11.95亿元（+536%），实现较大幅度改善。全产业链均衡布局。截至2023年报披露日，公司拥有原油加工能力800 万吨/年；参控股 PTA 产能2150万吨/年；PIA 产能30 万吨/年；己内酰胺（CPL）产能 40 万吨/年；参控股聚合产能1111.5万吨/年，其中聚酯纤维751.5万吨/年，瓶片（含rPET）360万吨/年。重点项目稳步推进，强化一体化产业链。公司稳步推进120万吨/年“己内酰胺-聚酰胺”一体化及配套项目、文莱炼化二期等项目。此外，合营公司海南逸盛“250万吨年PTA+180万吨/年功能性材料项目”稳步推进，250万吨PTA装置2023年进入试生产阶段；年产180万吨功能性材料项目中，第一套年产60万吨装置已经试生产，剩余两套合计年产120万吨装置将于2024年进行试生产。盈利预测与投资评级。我们预计2024-2026年EPS分别为0.27、0.38、0.46元（原2024-25预测为0.26、0.39元），2024年BPS 6.95元，参考可比公司估值水平，给予2024年PB 1.3倍（原为2023年1.3x），对应目标价9.04元（对应2024年PE 33倍），维持“优于大市”评级。风险提示：原油价格高位震荡；产品价格大幅波动；在建项目进展不及预期。,,海通国际证券,优于大市,[None],2024-04-22,,买入,5594835,pdf_downloads/2024/2024-04-22/000703-恒逸石化（000703）：公司年报点评：2023年同比扭亏.pdf,000703,恒逸石化,恒逸石化（000703）：公司年报点评：2023年同比扭亏
"陈淑娴,何亦桢",事件1：公司发布2023年业绩预告，预计实现归母净利润3.95~4.15亿元，扣非净利润0.45~0.65亿元，同比均扭亏为盈。其中23Q4单季度，预计实现归母净利润1.89~2.09亿元，同比扭亏为盈，扣非净利润亏损1.27~1.47亿元，同比亏损收窄，业绩整体符合预期。事件2：公司发布第六期员工持股计划，拟筹集资金不超过8亿元，其中2.5亿元拟用于受让上市公司回购股票，价格为6.61元/股，5.5亿元拟用于通过二级市场购买股票。长丝盈利中枢修复，PTA整体承压运行：1）2023年期间，POY/FDY/DTY价差分别较22年增加26/144/50元/吨，年均开工率达到79.5%，较22年增加5.7pct，考虑到开工率提升带来的单吨固定成本摊薄，以及能源成本回落，长丝单吨盈利改善明显。向后看，24年后长丝行业扩产降速，根据百川盈孚统计，预计24年仅有115万吨新产能投放，产能增速有望创下近年新低。2）根据百川盈孚统计，2023年我国PTA新增产能达1310万吨，同比增长17%，产能增速显著高于上下游，同期PTA价差均值为346元/吨，较22年下降116元/吨。海外成品油价差有所回落，芳烃维持高景气：1）2023年东南亚汽油/柴油/航煤裂解价差分别为12/24/22美元/桶，同比分别-2/-15/-8美元/桶。进入24年后，受海外炼厂开工率回落以及出行需求回升影响，海外成品油价差有所回升，截至1月30日，东南亚汽油/柴油/航煤价差分别为15/26/22美元/桶。2）2023年PX/纯苯较原油价差分别为438/311美元/吨，同比分别+38/-36美元/吨，整体处于历史中高位。进入24年后，芳烃价差重新走阔，截至1月30日，PX/纯苯交原油价差分别为436/406美元/吨。向后看，2024-2025年期间，我国PX新增产能仅为300万吨，预计行业开工率和盈利中枢有望上移。接连推出多期员工持股计划，彰显长期发展信心：公司于23年7月出台第五期员工持股计划，筹资金额不超过7亿元，控股股东同步成立专项计划，增持金额不超过3亿元。此次公司再度出台第六期员工持股计划，追加筹资金额不超过8亿元，进一步彰显了对于长期发展的信心。盈利预测与投资评级：综合考虑需求复苏节奏，我们调整公司2023-2025年归母净利润为4/11/17亿元（此前为3/9/12亿元），按1月31日收盘价计算，对应PE分别55.4/20.2/13.5倍，维持“买入”评级。风险提示：原材料价格波动，纺服需求不及预期，海外成品油市场下行,,东吴证券,买入,[None],2024-02-01,,买入,5506901,pdf_downloads/2024/2024-02-01/000703-恒逸石化（000703）：2023年业绩预告点评：长丝盈利中枢修复，芳烃维持高景气运行.pdf,000703,恒逸石化,恒逸石化（000703）：2023年业绩预告点评：长丝盈利中枢修复，芳烃维持高景气运行
"Junjun Zhu,Xin Hu,Borong Li",投资要点：3Q23归母净利润环比改善。2023年前三季度，公司实现营业收入1015.29亿元，同比下降17.67%，实现归母净利润2.06亿元。其中，3Q23单季度实现营业收入372.13亿元，同比下降14.48%，环比增长3.56%；实现归母净利润1.30亿元，同比增长126.25%，环比增长215.76%。3Q23芳烃价差维持高位，海外成品油裂解价差环比扩大。2023年三季度，芳烃价差仍处高位，海外成品油裂解价差改善，新加坡柴油、航煤裂解价差分别为28.6/25.8美元/桶，环比分别增长85%/87%。同时，三季度油价震荡上行，布伦特油价从75美元/桶涨至95美元/桶，我们认为有助于公司毛利改善。3Q23公司实现毛利18.32亿元，同比+1354%，环比+102%。全产业链均衡布局。截至2023半年报披露日，公司拥有原油加工能力800 万吨/年；参控股 PTA 产能 1900万吨/年；PIA 产能30 万吨/年；己内酰胺（CPL）产能 40 万吨/年；参控股聚合产能1106.5万吨/年，其中聚酯纤维836.5万吨/年，瓶片（含rPET）270万吨/年。重点项目稳步推进，强化一体化产业链。公司稳步推进1400万吨/年文莱炼化二期项目、120万吨/年“己内酰胺-聚酰胺”一体化及配套项目、宿迁逸达110万吨/年新型环保差别化纤维、海南逸盛“250万吨年PTA+180万吨/年功能性材料”等项目，提高公司在短纤、瓶片等领域市占率，发挥公司“涤纶、锦纶”双“纶”驱动优势，提供未来业绩增量。其中，110万吨/年新型环保差别化纤维一期30万吨产能2023H1已投产。盈利预测与投资评级。我们预计2023-2025年归母净利润分别为3.3亿元、9.4亿元和14.4亿元，EPS分别为0.09、0.26、0.39元，2023年BPS 6.97元，参考可比公司估值水平，给予2023年PB 1.3倍，对应目标价9.06元（对应2023年PE 101倍），首次覆盖，给予“优于大市”评级。风险提示：原油价格高位震荡；产品价格大幅波动；在建项目进展不及预期。,,海通国际证券,优于大市,[None],2023-11-20,,买入,5394633,pdf_downloads/2023/2023-11-20/000703-恒逸石化（000703）首次覆盖：盈利逐季改善.pdf,000703,恒逸石化,恒逸石化（000703）首次覆盖：盈利逐季改善
