author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
陈雯,珠江啤酒(002461)报告关键要素:10月23日，公司发布2025年三季度报告。报告显示，公司2025年第三季度实现营业收入18.75亿元（YoY-1.34%），归母净利润3.32亿元（YoY+8.16%），扣非归母净利润3.13亿元（YoY+7.14%）。公司2025年前三季度累计实现营业收入50.73亿元（YoY+3.81%），归母净利润9.44亿元（YoY+17.05%），扣非归母净利润9.00亿元（YoY+17.16%）。投资要点:公司营收首现负增长，需求端承压明显，但利润端仍保持韧性，增速较同期显著放缓。由于餐饮业整体疲软，需求承压，公司2025年Q3公司实现营收18.75亿元（YoY-1.34%），增速较去年同期（+6.89%）大幅下降，自2023年以来增速首次由正转负。归母净利润3.32亿元（YoY+8.16%），增速较去年同期（+10.60%）下降明显，扣非归母净利润3.13亿元（YoY+7.14%），增速较去年同期（+9.10%）下降明显，虽然增速有所下降，但利润端仍能保持正增长。毛利率、净利率均同比上升，整体期间费用率均小幅增加。2025年第三季度公司毛利率为50.93%，同比+1.16pcts；2025年第三季度公司净利率为17.83%，同比+1.36pcts。毛利率和净利率明显增加，延续上半年成本管控战略和产品高端化转型升级战略，收益稳健增长。2025年第三季度公司销售费用率/管理费用率/研发费用率/财务费用率分别为15.45%/6.53%/3.15%/-2.14%，同比+0.24pcts/+0.02pcts/+0.07pcts/+0.03pcts，整体期间费用率均略有上升。盈利预测与投资建议：由于需求端承压，公司营收自2023年以来首次出现同比负增长，但由于当前公司高端化持续进行，有望通过释放高档产品实现利润正增长，且原材料成本下降提升公司盈利能力，带动公司净利润保持提升。我们维持此前盈利预测，预计公司2025-2027年归母净利润为9.51/10.21/11.10亿元，同比增长17.43%/7.29%/8.72%，对应EPS为0.43/0.46/0.50元/股，10月24日收盘价对应PE为22/21/19倍，维持“增持”评级。风险因素：市场变动风险，原材料供应及价格波动风险，行业竞争风险，食品安全风险。,,万联证券,增持,[None],2025-10-27,,增持,6847665,pdf_downloads/2025/2025-10-27/002461-珠江啤酒（002461）：需求端承压致营收负增长，利润端保持韧性.pdf,002461,珠江啤酒,珠江啤酒（002461）：需求端承压致营收负增长，利润端保持韧性
"朱会振,舒尚立",事件：公司发布2025年三季报，前三季度实现收入50.7亿元，同比+3.8%，实现归母净利润9.4亿元，同比+17%；其中25Q3实现收入18.8亿元，同比-1.4%，实现归母净利润3.3亿元，同比+8.2%。产品结构升级持续，短期销量有所承压。量方面，前三季度公司实现销量120.4万吨，同比+1.8%；其中25Q3实现销量46.9万吨，同比-2.9%。三季度由于华南地区整体雨水天气较多，叠加现饮消费需求持续疲软等因素，公司Q3销量有所承压。价方面，在以97纯生为代表的中高端产品持续放量，以及罐化率持续提升拉动整体产品结构升级等因素带动下，前三季度公司吨价同比+1.9%至4215元/吨水平。成本下行+结构升级，Q3盈利能力稳步提升。前三季度公司毛利率为51.5%，同比+2.2pp；其中25Q3毛利率为50.9%，同比+1.2pp。毛利率提升主要得益于纯生产品持续放量提升带动产品结构升级，以及主要原材料采购成本持续下行；Q3单季度吨成本同比-0.7%至1961元/吨。费用方面，25Q3公司销售费用率为15.5%，同比+0.3pp，主要由于公司旺季期间加大广宣及促销费投力度；管理费用率为6.6%，同比基本持平。综合来看，受益于成本端原料价格下降与产品结构持续提升，25Q3公司归母净利率同比提升1.6pp至17.7%。未来结构升级空间广阔，业绩高增值得期待。公司在华南拥有良好消费者基础，广东啤酒市场高端化程度位居全国前列，未来产品结构升级空间广阔。产品方面，公司高端化“3+N”品牌战略清晰，持续推进97纯生向普通纯生以及纯生对零度的替代升级。在巩固省内8元以上价格带市场地位的同时，持续攫取竞品丢失的次高价格带份额。公司以文化产业提质升级促进协同发展，加快文化产业项目建设进度，深化“双主业”品牌融合。展望未来，随着公司纯生系列产品占比以及罐化率稳步提升，叠加公司非现饮渠道动能充足，公司整体高端化升级态势良好；此外广东省内啤酒消费需求旺盛且高端化空间充足，后续公司业绩高增值得期待。盈利预测与投资建议。预计2025-2027年EPS分别为0.43元、0.49元、0.55元，对应动态PE分别为22倍、20倍、17倍，维持“买入”评级。风险提示：现饮场景恢复不及预期风险，高端化竞争加剧风险。,,西南证券,买入,[None],2025-10-27,,买入,6849241,pdf_downloads/2025/2025-10-27/002461-珠江啤酒（002461）：Q3短期销量承压，盈利能力稳步提升.pdf,002461,珠江啤酒,珠江啤酒（002461）：Q3短期销量承压，盈利能力稳步提升
王雪骄,事件：珠江啤酒发布2025年三季报，前三季度实现营收50.73亿元，同比+3.81%，归母净利润9.44亿元，同比+17.05%，扣非归母净利润9.00亿元，同比+17.16%。点评：Q3收入略有承压。2025Q1-Q3实现营收50.73亿元，同比+3.81%，其中Q3实现收入18.75亿元，同比-1.34%，相较于上半年，收入略有承压，我们认为主要原因在于三季度广东天气雨水较多，对啤酒行业销量有一定的影响。在产品方面，公司积极推动97纯生在省内市场的发展，我们预计Q3仍然维持了较好的趋势。成本红利持续兑现，毛利率提升。从成本端来看，2025Q1-Q3公司营业成本同比-0.67%，其中Q3营业成本同比-3.62%，相较于Q2成本端降幅明显，带动毛利率同比+1.16pct至50.93%。从销售费用端来看，2025Q1-Q3销售费用同比+3.89%，其中Q3同比+0.21%，Q3销售费用率同比+0.24pct至15.45%，波动较小。从管理费用端来看，2025Q1-Q3管理费用同比+6.55%，其中Q3同比-1.07%，管理费用率同比+0.02pct至6.53%，基本持平。综上，2025Q1-Q3公司归母净利润同比+17.05%至9.44亿元，归母净利率同比+2.11pct至18.61%，其中Q3归母净利润+8.16%至3.32亿元，归母净利润率同比+1.55pct至17.69%。盈利预测与投资评级：市场担忧啤酒行业高端化放缓，但是我们认为，尽管超高端整体承压，但是由于区域市场发展阶段、竞争格局有所差异的背景下，区域酒在8-10元价格带保持了较好的增长。作为“广东粮、珠江水”的品牌代表，珠江啤酒深耕广东市场，2019年珠江97纯生上市后在珠三角地区快速放量，我们看好其长期发展空间，此外公司积极布局原浆品类，储备产品升级的下一个大单品。我们预计公司2025-2027年EPS分别为0.43、0.49、0.51元，对应2025年10月24日收盘价（9.61元/股）PE为23、20、19倍，维持“买入”评级。风险因素：中高端啤酒竞争加剧、原材料价格上涨等,,信达证券,买入,[None],2025-10-27,,买入,6843063,pdf_downloads/2025/2025-10-27/002461-珠江啤酒（002461）：利润稳增长，成本改善较好.pdf,002461,珠江啤酒,珠江啤酒（002461）：利润稳增长，成本改善较好
"张向伟,杨苑",公司公布2025年三季度业绩：3Q25实现营业总收入18.8亿元，同比-1.3%；实现归母净利润3.3亿元，同比+8.2%；实现扣非归母净利润3.1亿元，同比+7.1%。Q3行业需求疲弱，公司销量出现下滑。Q3销量同比-2.9%，千升酒收入同比+1.6%，相较于上半年的量价表现有较为明显的走弱，这主要系受Q3啤酒行业需求疲软，以及广东区域不利天气的影响。作为应对，后续公司将会持续在营销改革、产品结构、品牌推广以及管理方面发力，也持续重视与即时零售等新渠道的合作。Q3盈利能力延续同比小幅上行，产品结构有所优化、成本红利亦有贡献。毛利率同比+1.2pp，主要受益于产品结构提升（Q3千升酒收入仍有小幅提升）及原料成本下行。费用方面，Q3销售/管理/研发/财务费用率分别同比+0.2/+0.0/+0.1/+0.0pp，费用控制良好，费用率变化不大。Q3净利率同比+1.6pp至17.7%，毛利率提升是主要推动因素。盈利预测与投资建议：当前主要竞争对手百威在广东市场处于调整阶段，珠江啤酒处于持续扩大竞争优势的关键时期。1）目前珠江啤酒97纯生在广东市场8-10元细分价格带具备较大的竞争优势，公司营销端持续发力，提升品牌影响力；2）除产品端结构持续优化之外，公司继续大力推动数字化转型（主要围绕数字营销、智慧运营、智能制造三大方向），运维效率持续提升，有助于中长期盈利水平中枢上行；3）公司积极补充中高端产品线，如推出97纯生970ml大瓶装、珠江啤酒1985、雪堡精酿白啤980ml罐装等，有望出现更多增长点。因此珠江啤酒仍具备一定的投资价值。考虑到Q3外部环境对啤酒行业需求形成压制，结合三季报情况，我们小幅下调2025-2027年盈利预测：预计2025-2027年公司实现营业总收入59.8/63.1/66.1亿元（前预测值61.3/66.2/70.7亿元），同比+4.3%/+5.6%/+4.7%；实现归母净利润9.6/10.9/11.8亿元（前预测值9.9/11.5/12.8亿元），同比+18.5%/+13.5%/+8.4%；EPS分别为0.43/0.49/0.53元；当前股价对应PE分别为22/20/18倍。目前公司估值在啤酒行业处于中等水平，而由于97纯生放量、内部改革及降本增效举措带来净利润增速中枢略高于行业平均水平，故我们认为当前估值处于合理区间，维持优于大市评级。风险提示：宏观经济增长受到外部环境的负面影响；中高端啤酒需求增速显著放缓；公司核心产品的渠道渗透受到竞品阻击；原料、辅料成本大幅上涨。,,国信证券,优于大市,[None],2025-10-26,,买入,6801517,pdf_downloads/2025/2025-10-26/002461-珠江啤酒（002461）：三季度行业需求疲弱致收入小幅下滑，盈利能力延续提升.pdf,002461,珠江啤酒,珠江啤酒（002461）：三季度行业需求疲弱致收入小幅下滑，盈利能力延续提升
"訾猛,颜慧菁,苗欣,陈力宇",投资建议：维持“增持”评级。行业景气未见明显改善，但公司保持了稳健增长。我们调整 2025-2027年EPS 预测至0.43/0.48/0.53元(原预测为0.45/0.52/0.59)，参考可比公司，考虑到公司经营改善，区域竞争优势兑现，给予2026年25X PE，调整目标价至12.1元。经营稳健，业绩亮眼。公司2025年前三季度实现收入50.7亿元，同比+3.8%；归母净利9.4亿元，同比+17.1%；扣非归母净利9.0亿元，同比+17.2%。其中3Q25单季实现收入18.8亿元，同比-1.3%；归母净利3.3亿元，同比+8.2%；扣非归母净利3.1亿元，同比+7.1%。销量受环境影响短期波动，吨价持续提升。1）25年前三季度公司啤酒销量120.35万千升，同比+1.8%，吨营收4215元，同比+1.9%。根据半年度公告，公司高档啤酒产品销量同比增长双位数，大单品纯生类高档产品销量继续保持较快增长，我们判断三季度这一趋势仍然延续，这一点从三季度单吨收入的提升也可印证。2）3Q25公司啤酒销量46.9万千升，同比-2.9%，吨营收3995元，同比+1.6%。单季度销量波动，我们认为或与整体行业需求走弱以及公司主销区华南阶段性天气不利有关，根据广州市统计局数据，2025年7、8月广东广州地区啤酒产量分别同比-3.5%、-13.8%，承压明显。费用开支稳健，毛利率提升驱动盈利改善。公司3Q25归母净利率同比+1.6pct至17.7%，扣非归母净利率同比+1.3pct至16.7%，主要归功于当季毛利率同比提升1.2pct，费用方面公司保持稳健，3Q25销售/管理/研发/财务费用率分别同比+0.2/+0.02/+0.07/+0.03pct。风险提示：市场竞争加剧、原材料成本波动、天气因素影响等。,,国泰海通,增持,[None],2025-10-24,,买入,6715555,pdf_downloads/2025/2025-10-24/002461-珠江啤酒（002461）：三季报点评：稳健经营，逆势成长.pdf,002461,珠江啤酒,珠江啤酒（002461）：三季报点评：稳健经营，逆势成长
"吕若晨,倪欣雨",2025年10月23日│中国内地 饮料 公司公布25年三季度业绩：25Q1-3收入/归母净利润/扣非归母净利润50.7/9.4/9.0亿，同比+3.8%/+17.1%/+17.2%；对应25Q3公司实现收入/归母净利润/扣非归母净利润18.8/3.3/3.1亿，同比-1.3%/+8.2%/+7.1%。收入端，Q3广东台风雨水天气密集、叠加政商消费偏弱，导致销量表现（Q3同比-2.9%）弱于H1（H1同比+5.1%），97纯生（尤其是听装产品）延续较快增长，引领公司吨酒收入持续向上（Q3同比+1.6%）。展望未来，我们认为天气为短期扰动因素，政商消费影响逐步消退，看好省内格局优化与啤酒高端化趋势下，公司产品结构持续改善带来的盈利释放，维持“买入”评级。销售端：量跌价增，短期因素扰动影响较大25Q1-3公司啤酒销量/吨酒收入同比+1.8%/+1.9%，对应25Q3啤酒销量/吨酒收入同比-2.9%/+1.6%。销量端增长承压，主要受广东极端天气影响以及政商消费偏弱影响。结构端，高端化引领吨价提升，支撑收入稳健增长。以97纯生为代表的高档产品，受益于省内格局优化及性价比消费趋势（替代部分海外高档酒品牌），延续了高增势能，成为支撑吨酒收入正增长、保障整体收入稳健表现的核心引擎。展望来看，公司立足华南地区的强大品牌力、渠道掌控力与消费活力奠定了稳固的经营基础，高档产品97纯生的迭代进展顺利，结构性升级的趋势有望持续。利润端：成本红利/结构升级效应凸显，盈利能力持续提升25Q1-3公司毛利率51.5%，同比+2.2pct，对应25Q3毛利率50.9%，同比+1.2pct，Q3公司吨酒收入/吨酒成本同比+1.6%/-0.7%，结构升级与成本红利共同支撑毛利率同比上行趋势。费用端，25Q1-3销售/管理费用率14.7%/6.6%，同比持平/+0.2pct（Q3同比+0.2pct/持平），旺季销售费用收缩力度减弱，管理费率相对平稳；最终25Q1-3录得归母净利率18.6%，同比+2.1pct；25Q3归母净利率17.7%，同比+1.6pct，盈利能力持续提升。盈利预测与估值考虑旺季天气及政商消费偏弱导致公司Q3业绩偏弱，且26年铝罐等成本有一定上行风险，我们下调公司25-27年盈利预测，对应EPS为0.43/0.48/0.53元（较前次下调4%/8%/12%），参考可比公司26年平均PE 24x（Wind一致预期），给予公司26年24xPE，目标价11.52元（前次12.60元，对应25年28x PE），维持“买入”评级。风险提示：行业竞争加剧、宏观经济表现低于预期、食品安全问题。,,华泰证券,买入,[None],2025-10-24,,买入,6709384,pdf_downloads/2025/2025-10-24/002461-珠江啤酒（002461）：天气等因素致Q3经营短期承压.pdf,002461,珠江啤酒,珠江啤酒（002461）：天气等因素致Q3经营短期承压
陈雯,"毛利率、净利率均稳步提升，管理费用率略有增加，销售费用率、财务费用率、研发费用率均略有下滑。2025年上半年公司毛利率为51.85%，同比+2.81pcts；2025年上半年公司净利率为19.44%，同比+2.34pcts。其中2025Q2公司毛利率为56.11%，同比+3.00pcts；2025Q2公司净利率为23.35%，同比+2.87pcts。毛利率和净利率提升明显，我们判断主要原因是原料成本下降以及产品结构升级所致。2025年上半年公司销售费用率/管理费用率/研发费用率/财务费用率分别14.29%/6.64%/2.97%/-2.65%，同比-0.10pcts/+0.26pcts/-0.13pcts/-0.47pcts，整体期间费用率略有下降。其中2025Q2公司销售费用率/管理费用率/研发费用率/财务费用率分别13.36%/5.92%/2.85%/-2.22%，同比+0.30pcts/+0.53pcts/-0.28pcts/-0.86pcts。商超、电商渠道发力，高档产品表现亮眼，华南地区表现好于其他地区。按渠道分类，按渠道看，公司2025上半年普通/商超/夜场/电商营收分别为29.03亿元/1.26亿元/0.38亿元/0.33亿元，同比+6.57%/+49.29%/-14.58%/+47.72%，占比分别为93.66%/4.05%/1.23%/1.05%，普通渠道为主渠道，占比绝对领先；商超和电商渠道营收增速较快。按产品分类，公司高端产品主要为纯生啤酒、雪堡啤酒，中档产品主要为零度啤酒，大众化产品主要为传统啤酒等。2025年上半年高档/中档/大众化产品营收分别为23.64亿元/5.35亿元/2.01亿元，同比+15.86%/-17.47%/+7.50%，占比分别为76.25%/17.25%/6.49%，高档产品占比最高且增速第一。2025上半年公司实现啤酒销量73.41万吨，同比增长5.10%，啤酒营收同比增长7.8%，啤酒吨价为4222.38元/吨，同比增长2.58%。按地区分，2025年上半年公司在华南地区/其他地区分别实现营收30.17亿元/1.80亿元，同比+8.44%/-11.38%，占比分别为94.36%/5.64%，华南地区为公司主要辐射地。2025年上半年经销商净增加39家，其中广东地区增加8家。丰富产品矩阵，产品力持续增强。公司围绕着“啤酒+”突破品牌边界，和体育、音乐、美食元素相融合，积极举办了万人珠江啤酒纯生音乐派对、珠江啤酒节、珠江琶醍美食节、潮流文化周等活动，还亮相广交会、参加糖酒会等行业展会，强化品牌辐射力。同时，积极推进“珠江啤酒+珠江琶醍”文旅双品牌建设，优化珠江.琶醍啤酒文化创意园区招商运营，强化“啤酒+”消费体验，擦亮其“夜经济”地标、美食地标及城市文旅消费名片。在产品研发上，公司把握高端化趋势，推出吉祥如意珠江啤酒500mL罐装、雪堡精酿白啤酒980mL罐装、12度珠江啤酒980mL罐装等新产品，其中珠江P9获评中国酒业协会2024年度青酌奖酒类新品，持续推进柔性生产技术改造升级，助力产品结构优化。盈利预测与投资建议：当前公司高端化持续进行，有望通过释放高档产品利润维持稳健增长，且2024年原材料成本下降红利有望延续到2025年，提升公司盈利能力，带动公司净利润保持提升。我们维持此前盈利预测，预计公司2025-2027年归母净利润为9.51/10.21/11.10亿元，同比增长17.43%/7.29%/8.72%，对应EPS为0.43/0.46/0.50元/股,9月9日收盘价对应PE为25/23/21倍，维持“增持”评级。风险因素：市场变动风险，原材料供应及价格波动风险，行业竞争风险，食品安全风险。",,万联证券,增持,[None],2025-09-10,,增持,6416678,pdf_downloads/2025/2025-09-10/002461-珠江啤酒（002461）：高档啤酒销量增速亮眼，盈利能力稳步提升.pdf,002461,珠江啤酒,珠江啤酒（002461）：高档啤酒销量增速亮眼，盈利能力稳步提升
"訾猛,颜慧菁,姚世佳,苗欣,庞瑜泽",本报告导读： 业绩维持高增长，量价齐升，结构性景气度，利润率行业领先创新高，上调盈利预测，维持增持评级。 投资要点： 投资建议：维 持“增持”评级。考虑公司销量景气持续高增长、纯生系列产品放量驱动结构提升，我们上调 2025-2027 年EPS 预测至0.45、0.52 元、0.59 元，原值0.42、0.47、0.51 元，参考可比公司同时考虑到公司现阶段业绩增速具有相对优势，给予2025 年28XPE，上调目标价至12.7 元。 业绩维持稳健高增长。珠江啤酒公司发布2025H1 中期业绩，公司公告2025H1 实现营业收入31.98 亿元，同比+7.09%；归母净利润6.12 亿元，同比+22.51%；扣非归母净利润5.87 亿元，同比+23.31%。 2025Q2 实现营业收入19.7 亿元，同比+5.0%；归母净利润4.6 亿元，同比+20.2%；扣非归母净利润4.4 元，同比+18.8%。 销量维持较高景气，结构有望进一步提升。据测算，公司2Q25 销量44 万千升，同比增幅0.48 万千升，同比+1.10%，吨价4484 元/千升，同比+3.8%，吨成本1968 元/千升，同比-2.8%。高档啤酒产品销量同比增长 14.16%，大单品纯生类高档产品销量继续保持较快增长，带动公司整体结构及毛利率进一步提升。 成本优化毛利率行业第一，净利率超20%再创新高。据我们测算，2025H1 毛利率较同期+2.81pct 至51.8%，扣非净利率较同期+2.41pct至18.3%，毛销差较同期+2.91pct 至37.6%，销售费用率较同期-0.10pct 至14.3%；2025Q2 毛利率较同期+3.00pct 至56.1%，销售费用率较同期+0.30pct 至13.4%，扣非净利率较同期+2.61pct 至22.4%。 风险提示：市场竞争加剧、原材料成本波动、天气因素影响等,,国泰海通,增持,[None],2025-09-02,,买入,6400505,pdf_downloads/2025/2025-09-02/002461-珠江啤酒（002461）：业绩维持高增，利润率行业领先.pdf,002461,珠江啤酒,珠江啤酒（002461）：业绩维持高增，利润率行业领先
"王言海,张馨予",量价表现亮眼，看好97纯生持续性事件：2025年8月28日，公司发布2025年半年报。25H1公司实现营收/归母净利润/扣非归母净利润分别31.98/6.12/5.87亿元，分别同比+7.09%/+22.51%/+23.31%。经测算，25Q2公司实现营收/归母净利润/扣非归母净利润分别19.71/4.55/4.41亿元，分别同比+4.96%/+20.18%/+18.80%。利润增速高于此前预告中值。量价表现亮眼，非现饮占比高+渠道利润周期创造α，我们预计动销角度Q2基本延续Q1增势。25Q2公司营收同比+5%，其中量/千升酒收入分别同比+1%/+4%，25Q1公司营收同比+11%，其中量/千升酒收入分别同比+12%/-1%，表观看公司Q2销量增速较Q1有一定降速，但我们认为这里同时有确认节奏和库存波动的影响，若剔除扰动我们预计动销角度延续Q1增势，且维持跑赢行业趋势（25H1全国规上啤酒企业产量同比-0.3%，非现饮占比高+渠道利润周期差异是公司近两年收入持续显现α的原因）。结构端看，25H1公司高端啤酒销量同比+14.2%，其中97纯生我们预计仍保持亮眼增速，成长性持续，且预计Q2费用节奏较为平稳，因此驱动单二季度吨价实现较好增长。25H1，公司啤酒营收同比+7.8%，其中量/价分别+5%/+3%。成本红利+结构升级驱动毛利率抬升，盈利能力向上。25Q2公司吨成本同比-2.8%，主要系原材料价格下降，叠加吨价表现良好驱动综合毛利率同比+3.0pct；销售/管理/研发/财务费用率同比+0.3/+0.5/-0.3/-0.9pct，驱动扣非归母净利率+2.6pct。25H1公司啤酒吨成本同比-3.8%，啤酒毛利率同比+3.3pct，综合毛利率同比+2.8pct；销售/管理/研发/财务费用率同比-0.1/+0.3/-0.1/-0.5pct，驱动扣非归母净利率+2.4pct。看好97纯生大单品成长周期，扎根华南升级韧性良好。展望2025及2026年，97纯生在推力和拉力端均势能向上，近两年公司流通渠道夯实优势结构提升，餐饮渠道持续发力培育，我们看好97纯生持续性，驱动公司量价齐增。珠江啤酒优势市场主要集中在华南，广东作为国内啤酒高线市场，消费氛围&能力、产品结构领先于全国且升级潜力仍较大。未来公司将持续深化营销改革，产品端不断丰富中高端产品矩阵，为后续升级奠定基础；渠道端加大餐饮渠道拓展，推动渠道力创新；品牌端坚持“3+N”（雪堡、珠江纯生、珠江啤酒+N）战略，提升品牌声量。看好公司深耕华南市场推动产品结构持续优化，盈利能力持续提升。投资建议：我们预计公司2025-2027年营收分别为60.87/63.88/66.48亿元，同比增长6.2%/5.0%/4.1%，归母净利润分别为9.73/11.06/12.14亿元，同比增长20.1%/13.6%/9.8%，当前市值对应PE分别为24/22/20X，维持“推荐”评级。风险提示：现饮需求复苏偏慢；原材料价格大幅波动；中高端啤酒竞争加剧。,,民生证券,推荐,[None],2025-09-01,,增持,6376153,pdf_downloads/2025/2025-09-01/002461-珠江啤酒（002461）：2025年半年报点评：量价表现亮眼，看好97纯生持续性.pdf,002461,珠江啤酒,珠江啤酒（002461）：2025年半年报点评：量价表现亮眼，看好97纯生持续性
"张向伟,杨苑",珠江啤酒公布2025年半年度业绩：1H25实现营业总收入32.0亿元，同比+7.1%；实现归母净利润6.1亿元，同比+22.5%；实现扣非归母净利润5.9亿元，同比+23.3%。啤酒业务量价齐升，97纯生带动高档酒收入较快增长。1H25啤酒业务收入同比+7.8%，其中销量同比+5.1%，吨价同比+2.6%，主要得益于高端产品97纯生放量。分档次看，高档/中档/大众化产品收入分别同比+15.9%/-17.5%/+7.5%，收入占比分别为73.9%/16.7%/6.3%，高档酒收入占比进一步提升，高档产品销量同比+14.16%，增量主要由97纯生大单品贡献。分区域看，华南/其他地区收入同比+8.4%/-11.4%，广东省外市场尚待发力，广东省内市场渠道拓展进程显著。2Q25销量同比+1.1%，千升酒收入+3.8%，Q2销量增速放缓主要受到需求疲软的拖累。非啤酒业务收入同比-11.6%，主要受到租赁餐饮服务收入下降拖累。产品结构升级叠加成本节省、利息收入增加，盈利能力延续提升。1H25啤酒业务毛利率同比+3.3pt，主要来自于产品结构升级与成本节约的双重作用。受益于高档酒收入、销量占比提升，吨价同比+2.6%；受益于原料成本下行及公司内部提升生产效率，吨成本同比-3.8%，其中单吨酒原材料/折旧/能源成本同比-3.0%/-7.1%/-24.5%。费用方面，销售/管理/研发费用率同比-0.1/+0.3/-0.1pt，变化不大，其中广告宣传费用率同比提升约0.9pt。财务费用率同比-0.5pt，主要系利息收入同比增加近2000万元。1H25归母净利率同比+2.4pt，盈利能力延续提升。盈利预测与投资建议：考虑到高档产品持续表现强势，对吨价及盈利能力的提升效果较好，我们小幅上调2025-2027年盈利预测：预计2025-2027年公司实现营业总收入61.3/66.2/70.7亿元（前预测值61.3/65.1/68.8亿元），同比+7.0%/+7.9%/+6.9%；实现归母净利润9.9/11.5/12.8亿元（前预测值9.7/10.9/12.1亿元），同比+22.1%/+16.6%/+10.9%；EPS分别为0.45/0.52/0.58元；当前股价对应PE分别为24/20/18倍。目前97纯生大单品延续增势，已在广东市场8-10元细分价格带形成品牌影响力，且公司积极完善产品矩阵，推出97纯生970ml大瓶装、珠江啤酒1985、珠江P9等产品，为进一步的渠道扩张加持。同时公司主要竞争对手在广东市场处于调整阶段，珠江啤酒有望持续扩大竞争优势，维持优于大市评级。风险提示：宏观经济增长受到外部环境的负面影响；中高端啤酒需求增速显著放缓；公司核心产品的渠道渗透受到竞品阻击；原料、辅料成本大幅上涨。,,国信证券,优于大市,[None],2025-08-29,,买入,6368418,pdf_downloads/2025/2025-08-29/002461-珠江啤酒（002461）：2025年上半年啤酒业务量价齐升，盈利能力延续改善.pdf,002461,珠江啤酒,珠江啤酒（002461）：2025年上半年啤酒业务量价齐升，盈利能力延续改善
