author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
刘威,本报告导读：适应全球竞争能力提升，加速推进海外产能布局。投资要点：维持“增持”评级。维持2025-2027年归母净利润为32.00、34.56、37.28亿元，结合同行业可比公司估值，考虑到公司的盈利能力低于可比公司，给予一定估值折价，给予公司2025年11.79倍PE，对应目标价13.44元，维持增持评级。公司将积极应诉。案件原告：日本味之素株式会社；公司及子公司所处的当事人地位：被告；案件所处的诉讼阶段：法院已受理，尚未开庭审理；涉案金额：（2025）粤知民初5号、6号两起案件各1.3亿元；对公司损益产生的影响：鉴于本次案件尚未开庭审理，诉讼结果存在不确定性，暂无法判断是否会对公司损益产生影响。公司与日本味之素为长期合作伙伴，在知识产权领域包括味精的生产技术领域有着多项合作共识，且其他多项合作至今仍然存续。公司生产经营一切正常，公司将积极应诉，采取必要法律措施坚决维护公司和股东的合法权益。协和发酵并表增厚收益。2025年10月22日，经评估，于评估基准日2025年6月30日，协和发酵食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务所涉及的模拟合并股东全部权益价值评估值为16.26亿元。根据评估结果，公司预计将于2025年度合并利润表中确认增加营业外收入约7.8亿元，本项属于非经常性损益，最终数据以公司正式披露的2025年年度报告为准。公司加速推进海外产能布局。公司于2025年7月1日成功完成对日本协和发酵相关食品、医药氨基酸、HMO业务与资产的交割，通过本次交易，公司产业链向下游高附加值医药级氨基酸市场延伸，氨基酸产品管线进一步增加，并获得了位于上海、泰国、北美等地多个生产经营实体，实现产业出海战略落地，通过国际化产能布局增强区域市场风险应对能力。风险提示。下游需求不及预期风险；原材料价格上涨的风险。,,国泰海通,增持,[None],2025-11-24,,买入,8175890,pdf_downloads/2025/2025-11-24/600873-梅花生物（600873）：公司将积极应诉，海外布局加速推进.pdf,600873,梅花生物,梅花生物（600873）：公司将积极应诉，海外布局加速推进
"王强峰,刘天其",主要观点：事件描述2025年10月29日，梅花生物发布2025年第三季度报告，公司2025前三季度实现营业收入182.15亿元，同比增长-2.49%；实现归母净利润30.25亿元，同比增长51.61%；实现扣非归母净利润20.19亿元，同比增长14.15%。公司2025Q3实现营业收入59.35亿元，同比增长-1.71%，环比增长-1.28%；实现归母净利润12.57亿元，同比增长141.06%，环比增长67.79%；实现扣非归母净利润3.91亿元，同比增长-16.11%，环比增长-45.96%。原料下降与产能放量冲抵价格下行影响，前三季度盈利水平逆势增长受海外出口与国内下游养殖淡季影响、公司产品价格普遍下滑，受此影响营业收入有所承压，但在玉米等原料价格下降与产能释放的加持下，公司前三季度盈利水平实现逆势增长，扣非归母显著增长。2025三季度公司实现营收182.15亿元，同比增长-2.49%。分板块看，鲜味剂/饲料氨基酸/医药氨基酸/大原料副产品/黄原胶等分别实现营收53.31/ 81.92/4.69/29.09/13.14亿元，分别同比增长-4.20%/-1.87%/32.99%/ 4.36%/-19.22%。①价格端：（1）赖氨酸受到欧盟反倾销税落地影响导致出口量减幅较大，苏氨酸也遭遇出口行情不佳，同时夏季国内下游终端养殖行业传统淡季，下游采购意愿弱，库存压力大，压制赖氨酸、苏氨酸均价，98.5%/70%赖氨酸、苏氨酸前三季度均价8.36、5.16、 9.84元/公斤，同比增长-17.86%、-2.57%、-6.12%；（2）味精虽然在季中头部企业检修导致市场供应短时缩减，价格在短期迎来一定涨幅，但实际需求跟进不足，整体需求依然疲软，味精前三季度均价7083.88元/吨，同比增长-10.12%；（3）缬氨酸阶段性供大于求价格下降，前三季度均价13.56元/公斤，同比增长-6.49%；②成本端：核心原料采购价呈现下降趋势，2025前三季度玉米与动力煤平均价格为2263、577元/吨，同比增长-3.07%、-20.23%，同时公司继续保持玉米成本优势，在新疆、吉林、通辽玉米采购价格与市场均价价差分别为293、129、 86元/吨，公司成本优势在产能释放的加持下带来毛利的增长，前三季度毛利率21.26%，同比增长2.36Pct。③量：味精、异亮氨酸产能释放带来销量增长，同时赖氨酸、饲料缬氨酸及淀粉副产品销量增长。产品价格延续下滑拖累Q3业绩，收购落地助力归母净利润显著增长受到产品下游需求不振的持续影响，主要产品价格延续下滑态势拖累Q3业绩。根据百川盈孚，味精/缬氨酸/苏氨酸/70%赖氨酸/98.5%赖氨酸Q2市场均价格分别为6867.71元/吨，13.13/9.06/5.02/7.23元/公斤，环比增长-5.01%、-1.87%、-8.94%、-4.92%、-11.61%；同时核心原料采购价环比上升，2025Q3玉米与动力煤平均价格分别为2351、605元/吨，环比增长2.06%、7.94%；在产品下游需求不振与原材料成本上升影响下公司业绩继续承压；另外公司Q3归母净利润显著增长主要源于协和发酵收购所带来的7.8亿元营业外收入；但从长期看，随着下游养殖渗透率提高与消费需求好转，公司业绩仍长期向好。出海战略稳步推进，协和发酵并购交割落地①并购协和发酵：2025年7月1日，公司完成收购协和发酵旗下食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务；通过此次并购公司新增多种氨基酸新品类，拓展上海、泰国、北美生产基地，有利于拓展高附加值的氨基酸产品矩阵，公司有望开启新的业绩增长点；根据公告披露此次收购将于2025年度合并利润表中确认增加营业外收入约7.8亿元，增厚公司业绩。②欧盟赖氨酸反倾销：在公司针对欧盟赖氨酸反倾销调查中，通过积极应诉与海外客户沟通协作，成功将反倾销终裁税率由初裁的 84.8%大幅下调 37.1%至 47.75%，进一步提高公司产品出海竞争力。③海外绿地投资：公司在报告期内，海外考察项目组深入中亚等地区，在原料、能源化工辅料、交通、营商环境等生产建设与经营要素展开实地考察对比，后续公司将根据市场情况与侯选地条件加速海外市场拓展速度，落实公司全球化布局。投资建议预计公司2025-2027年归母净利润分别为34.48、36.24、39.34亿元，对应PE为9、9、8倍，维持“买入”评级。风险提示（1）市场竞争加剧；（2）原材料价格大幅波动；（3）海外及新建项目进度不及预期风险。,,华安证券,买入,[None],2025-11-13,,买入,7979152,pdf_downloads/2025/2025-11-13/600873-梅花生物（600873）：Q3氨基酸景气度回落，出海战略稳步推进.pdf,600873,梅花生物,梅花生物（600873）：Q3氨基酸景气度回落，出海战略稳步推进
"张玮航,许隽逸,黄楷",事件2025年前三季度公司实现营业收入182.15亿元，同比-2.49%；归母净利润30.25亿元，同比+51.61%；扣非归母净利润20.19亿元，同比+14.15%。其中，2025Q3公司实现营业收入59.35亿元，同比-1.71%，环比-1.28%；归母净利润12.57亿元，同比+141.06%，环比+67.79%；扣非归母净利润3.91亿元，同比-16.11%，环比-45.96%。量增价减致营收下降，海外收购助力利润高增2025年前三季度，公司鲜味剂、饲料氨基酸、医药氨基酸、大原料副产品、其他分别实现营收53.31、81.92、4.69、29.09、13.14亿元，分别同比变化-4.20%、-1.87%、+32.86%、+4.38%、-19.24%。2025Q3，公司子公司味精、异亮氨酸产能释放带来销量增长，同时赖氨酸、副产品等产品销量增长，但受市场影响味精、苏氨酸、黄原胶等产品销售价格下降，从而导致主营业务收入减少；归母净利润高增主要来源于收购海外公司产生的合并收益增加营业外收入；扣非归母净利润下降主要受部分主产品市场价格下降导致收入、毛利减少。海外收购完成交割，预计明显增厚非经常性损益公司的全球化布局已进入到实质性运营阶段，2025年7月1日完成与日本协和发酵相关食品氨基酸、医药氨基酸、HMO业务与资产的交割，交易对价约为168亿日元（以2025年6月30日汇率折合人民币约8.33亿元）。根据专业机构评估，标的资产所涉及的模拟合并股东全部权益价值评估值为16.26亿元，公司预计将于2025年度合并利润表中确认增加营业外收入约7.8亿元。我们看好公司作为全球氨基酸龙头企业，出海战略稳步推进，氨基酸价格如回暖盈利或有明显提升。盈利预测与评级我们预计公司2025-2027年营业收入分别为268.38/280.05/288.32亿元，同比增速分别为7.06%/4.35%/2.95%，归母净利润分别为32.05/35.17/37.30亿元，同比增速为16.96%/9.73%/6.06%，EPS分别为1.14/1.25/1.33元/股，3年CAGR为10.82%。鉴于公司是全球氨基酸龙头企业，维持“买入”评级。风险提示：苏/赖氨酸价格大幅波动风险；玉米/煤炭价格大幅波动风险；海外业务收入风险；潜在竞争者进入风险；合成生物学进展不及预期。,,国联民生证券,买入,[None],2025-11-06,,买入,7515831,pdf_downloads/2025/2025-11-06/600873-梅花生物（600873）：Q3业绩承压，出海新阶段获益显著.pdf,600873,梅花生物,梅花生物（600873）：Q3业绩承压，出海新阶段获益显著
"庄汀洲,张雄,杨泽鹏",2025年10月30日│中国内地 农用化工 梅花生物公布三季度业绩：Q3实现营收59亿元（yoy-2%，qoq-1%），归母净利12.6亿元（yoy+141%，qoq+68%）。2025年Q1-Q3实现营收182亿元（yoy-2%），归母净利30.3亿元（yoy+52%），扣非净利20.2亿元（yoy+14%）。公司Q3归母净利润超出我们预测（5.1亿元），主要系收购海外公司合并收益约7.8亿元。考虑养殖领域渗透率提升、豆粕减量替代下氨基酸需求向好及公司出海战略有望持续深化，维持“买入”评级。赖氨酸等销量同比增长，成本端改善下25Q1-3毛利率同比上涨25年前三季度饲料氨基酸营收81.9亿元，yoy-2%，虽赖氨酸等销量增长，苏氨酸等价格有所下跌，据博亚和讯，98.5%赖氨酸/70%赖氨酸/苏氨酸25年前三季度均价8.5/5.3/10.0元/kg，yoy-16%/0%/-5%；鲜味剂25年前三季度营收53.3亿元，yoy-4%，虽味精产能释放带来销量增长，25年前三季度味精均价7084元/吨，yoy-10%；医药氨基酸营收4.7亿元，yoy+33%，主要系收购相关资产；大原料副产品营收29.1亿元，yoy+4%；其他营收13.1亿元，yoy-19%，25年前三季度黄原胶均价21.4元/kg，yoy-16%。玉米和煤炭等原料成本改善下，25年前三季度综合毛利率yoy+2.4pct至21.3%。氨基酸/味精景气有望逐步回暖，公司出海战略稳步推进据博亚和讯，10月29日赖氨酸(98.5%)/赖氨酸(70%)/苏氨酸/味精/黄原胶价格6.7/4.38/8.3/6.6/17.0元/kg，较9月末-5%/-10%/+1%/-3%/-3%，价格仍处于近三年较低位置，伴随养殖渗透率提升及消费需求复苏，叠加供给格局较好等因素，氨基酸、味精等产品景气有望逐步修复。公司通过收购协和发酵相关资产，将新增多种氨基酸新品类和新菌种，并延伸高附加值医药氨基酸产业链，同时协和发酵旗下多个境外生产经营实体未来有望助力公司出海战略落地。股东回报方面，公司16-24年平均分红率超过50%，19-24年持续实施股份回购，21-25年连续实施员工持股计划，积极分红和回购等有望助力长期价值重估。盈利预测与估值考虑到下半年以来氨基酸/味精等景气修复进度略低于此前预期，我们下调25年氨基酸等销售均价，由此下调25年归母净利润预测至35.4亿元（前值36.7亿元，下调3%），维持26-27年归母净利润约36/38亿元的预测，对应25-27年归母净利润增速为同比+29%/+0.5%/+7%，对应EPS为1.26/1.27/1.36元，参考可比公司2026年Wind一致预期平均10xPE，给予公司26年10xPE，给予目标价12.7元（前值14.41元，对应25年11xPE），维持“买入”评级。风险提示：资产整合及出海业务布局不及预期；下游需求不及预期；氨基酸等格局恶化；新技术进展不及预期。,,华泰证券,买入,[None],2025-10-30,,买入,7034973,pdf_downloads/2025/2025-10-30/600873-梅花生物（600873）：氨基酸景气有望回暖助力公司业绩.pdf,600873,梅花生物,梅花生物（600873）：氨基酸景气有望回暖助力公司业绩
刘威,本报告导读： 适应全球竞争能力提升，加速推进海外产能布局。 投资要点： 维持“增持” 评级。维持2025-2027 年归母净利润为 32.00、34.56、37.28 亿元，结合同行业可比公司估值，考虑到公司的盈利能力低于可比公司，给予一定估值折价，给予公司2025 年11.79 倍PE，对应目标价13.44 元，维持增持评级。 协和发酵并表增厚收益。2025 年10 月22 日，经评估，于评估基准日2025 年6 月30 日，协和发酵食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务所涉及的模拟合并股东全部权益价值评估值为16.26 亿元。根据评估结果，公司预计将于2025 年度合并利润表中确认增加营业外收入约7.8 亿元，本项属于非经常性损益，最终数据以公司正式披露的2025 年年度报告为准。 公司适应全球竞争能力提升。公司通过深入研究国际贸易规则，组建专业团队积极应诉，与海外客户紧密沟通协作，历经艰辛努力，成功将欧盟赖氨酸反倾销终裁税率由初裁的84.8%大幅下调37.1%至47.7%。这一成果不仅直接提升了产品的价格竞争力，更体现了公司在国际贸易摩擦应对方面的专业能力和坚定决心。 公司加速推进海外产能布局。公司于2025 年7 月1 日成功完成对日本协和发酵相关食品、医药氨基酸、HMO 业务与资产的交割，通过本次交易，公司产业链向下游高附加值医药级氨基酸市场延伸，氨基酸产品管线进一步增加，并获得了位于上海、泰国、北美等地多个生产经营实体，实现产业出海战略落地，通过国际化产能布局增强区域市场风险应对能力。 风险提示。下游需求不及预期风险；原材料价格上涨的风险。,,国泰海通,增持,[None],2025-10-23,,买入,6701050,pdf_downloads/2025/2025-10-23/600873-梅花生物（600873）：协和发酵并表增厚收益，海外布局加速推进.pdf,600873,梅花生物,梅花生物（600873）：协和发酵并表增厚收益，海外布局加速推进
"庄汀洲,张雄",2025年10月22日│中国内地 农用化工 梅花生物10月22日发布公告，公司收购协和发酵食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务涉及资产评估价值约16.3亿元，且预计该收购资产评估价值高于购买成本部分将于2025年度合并利润表确认营业外收入约7.8亿元，计入非经常性损益。伴随协和发酵资产收购落地及后续整合有序展开，公司出海战略有望持续深化。维持“买入”评级。协和发酵并表预计贡献可观的非经常性损益，出海战略稳步推进据公司公告，公司收购协和发酵旗下发酵食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务，相关资产已于7月1日完成交割，此次收购标的资产按照基准评估日（6月30日）所涉及的模拟合并股东全部权益价值评估值约16.3亿元，结合交易对价预计将于2025年度合并利润表确认营业外收入约7.8亿元，属于非经常性损益。公司通过收购协和发酵相关资产，将新增多种氨基酸新品类和新菌种，并延伸高附加值医药氨基酸产业链，同时依托获得的协和发酵旗下多个境外生产经营实体，未来伴随整合完毕，有望助力公司出海战略的落地。氨基酸/味精景气有望逐步回暖，公司长期价值有望重估据博亚和讯，10月22日赖氨酸(98.5%)/赖氨酸(70%)/苏氨酸/味精/黄原胶价格6.88/4.45/8.30/6.7/17.5元/kg，较6月末-15%/-18%/-18%/-2%/-10%，由于阶段性出口下滑及下游需求偏弱等因素，氨基酸、味精等产品价回落至近3年较低位置，考虑氨基酸养殖领域渗透率提升、味精消费需求有望复苏及供给格局较好等因素，我们预计产品景气有望逐步迎来改善。股东回报方面，公司16-24年平均分红率超过50%，19-24年持续实施股份回购，21-25年连续实施员工持股计划，积极分红和回购等有望助力长期价值重估。盈利预测与估值考虑到协和发酵并表有望增益，我们上调25年归母净利润预测至36.7亿元（前值33.8亿元，上调8.6%，未大幅度上调主要系考虑下半年以来氨基酸/味精等景气修复进度略低于此前预期），基本维持26-27年归母净利润约36/38亿元的预测，对应25-27年归母净利润增速为同比+34%/-3%/+7%，按最新股本对应EPS为1.31/1.27/1.36元，参考可比公司2025年Wind一致预期平均11xPE，给予公司25年11xPE，目标价14.41元（前值12.98元，上调11%），维持“买入”评级。风险提示：资产整合及出海业务布局不及预期；下游需求不及预期；氨基酸等格局恶化；新技术进展不及预期。,,华泰证券,买入,[None],2025-10-23,,买入,6691588,pdf_downloads/2025/2025-10-23/600873-梅花生物（600873）：协和发酵并表增益，出海序幕拉开.pdf,600873,梅花生物,梅花生物（600873）：协和发酵并表增益，出海序幕拉开
"张泽亮,许灿杰","梅花生物(600873)业绩稳步增长，出海战略顺利起航事件：公司发布2025年上半年报，2025年上半年实现营业收入122.80亿元，同比减少2.87%；实现归母净利润17.68亿元，同比增加19.96%；实现扣非归母净利润16.28亿元，同比增加24.98%，25Q2实现营收60.12亿元，同比-2.34%，环比-4.09%；归母净利润为7.49亿元，同比+3.76%,环比-26.45%；实现扣非归母净利润为7.24亿元，同比+8.65%，环比-19.98%。H1业绩持续增长，赖氨酸量价齐增。2025年H1公司主要产品98.5%赖氨酸受反倾销影响，出口量有所减少，国内供应压力增加，产品价格下调，上半年平均价格同比下降7.89%，而70%赖氨酸使用量增长，终端使用量增长，厂家因原材料玉米价格上涨，报价止跌并开始上涨，70%赖氨酸报价保持坚挺。赖氨酸市场虽受欧盟反倾销影响，供需面临压力，但随着三季度厂家开始进行检修，70%赖氨酸的终端需求陆续得以恢复，预计其价格可能会呈现窄幅偏强调整的趋势。上半年国内苏氨酸主流厂家生产状况稳定，出口需求较好，国内市场出现阶段性的供应紧张局面，价格处于震荡调整状态，行业仍然保有较好的利润空间。出海并购进入实质性运营阶段，国际化战略新篇章。2025年7月1日公司与协和和发酵签署的《股份及资产购买协议》完成了业务交割。此次跨境并购，在知识产权上，通过并购公司获得30+专利家族的核心知识产权，将系统性填补我国企业在合成生物产业及氨基酸发酵产业的全球知识产权短板；产品品类上，公司将新增多种氨基酸新品类和新菌种，如精氨酸、组氨酸、丝氨酸、瓜氨酸、鸟氨酸和羟脯氨酸等，公司氨基酸产品管线进一步增加；生产基地上，公司新增上海、泰国、北美三处医药氨基酸生产基地；产业链上，公司不仅能延伸产业链增加下游高附加值医药氨基酸产品的发酵和精制能力，还将获得包括但不限于GMP（良好生产认证）和全球多市场的氨基酸原料药注册证； HMO管线：公司通过本次交易获得位于泰国的HMO生产基地，获得相关工厂和认证资质，将直接提升我国在高端营养原料领域的全球供应链地位。盈利预测和投资建议：我们看好公司国际化布局和研发能力，成长可期，预计公司2025~2027年归母净利润为31.44/33.67/37.45亿元折合EPS分别为1.10,1.18,1.31元，目前股价对应PE估值分别为9.96,9.30,8.36倍，维持“买入”投资评级。风险提示：原材料价格大幅波动、产能建设进度不及预期、贸易摩擦加剧、宏观经济增长不及预期等风险。",,中邮证券,买入,[None],2025-09-08,,买入,6402049,pdf_downloads/2025/2025-09-08/600873-梅花生物（600873）：业绩稳步增长，出海战略顺利起航.pdf,600873,梅花生物,梅花生物（600873）：业绩稳步增长，出海战略顺利起航
"王强峰,刘天其",主要观点：事件描述2025年8月19日，梅花生物发布2025年半年报，公司2025H1实现营业收入122.8亿元，同比-2.87%；实现归母净利润17.68亿元，同比19.96%；实现扣非归母净利润16.28亿元，同比24.98%。公司2025Q2实现营业收入60.12亿元，同比-2.34%，环比-4.09%；实现归母净利润7.49亿元，同比3.76%，环比-26.45%；实现扣非归母净利润7.24亿元，同比8.65%，环比-19.98%。原料成本下降与销量放量冲抵价格下行，25H1盈利水平显著提升受下游供需影响、公司部分产品价格有所下滑、受此影响营业收入略微下滑，但玉米等原料成本显著下降与主要产品加速放量，公司盈利能力显著增长。2025H1公司实现营收122.8亿元，同比-2.87%。分板块看，鲜味剂/饲料氨基酸/医药氨基酸/大原料副产品/黄原胶等分别实现营收 35.66/56.60/2.47/18.89/9.18亿元，分别同比-8.09%/3.44%/-1.04%/ -1.02%/-18.69%。①价格端：98.5%赖氨酸主要受到欧盟反倾销出口压力有所下滑，均价9.11元/公斤，同比-7.89%；缬氨酸阶段性供大于求价格下降，均价14.32元/公斤，同比-6.1%；味精头部厂商扩产且高库存对价格有所影响，均价7193元/吨，同比-10.73%；70%赖氨酸因玉米价格上涨价格坚挺，均价5.39元/公斤，同比+1.32%；苏氨酸出口需求好阶段性供应紧张，价格震荡，均价10.45元/公斤，同比+0.97%；②量：主要产品味精、异亮氨酸、98.5%赖氨酸等产品加速放量，70%赖氨酸实现量价齐增，在整体价格有所下滑情况下，营收依然保持稳健。③成本端：核心原料玉米与煤炭价格同比呈现下降趋势，2025H1玉米平均价格为2227元/吨，同比下降6.78%；动力煤平均价格586.3元/吨，同比下降19.98%。2025Q2延续价格下行态势，业绩同比增长环比有所承压Q2公司营业收入与归母净利润分别为60.12、7.49亿元，同比-2.34%/3.76%，环比-4.09%/-26.45%；主要原因为主要产品价格延续下滑，根据百川盈孚，味精/缬氨酸/苏氨酸/70%赖氨酸/98.5%赖氨酸Q2市场均价格分别为7229元/吨，13.38/9.95/5.28/8.18元/公斤，环比增长1.02%、-5.58%、-6.40%、2.13%、-16.95%。短期看，因氨基酸下游需求持续增长，行业内盈利状况较好，企业扩产意愿强烈，造成阶段性供给增加；但从长期看，随着下游需求的增长，长期依然向好。日本协和发酵并购交割完成，公司出海战略稳步推进并购协和发酵：2025年7月1日，公司完成收购协和发酵旗下食品氨基酸、医药氨基酸及母乳低聚糖（HMO）业务。通过此次并购公司新增多种氨基酸新品类，有利于拓展高附加值的氨基酸产品矩阵，公司有望开启新的业绩增长点；公司新增上海、泰国、北美三处医药氨基酸生产基地，公司借此实现产能出海贴近消费市场；获得了亚洲唯一具备规模化HMO生产能力的生产基地、顺利进入全球功能营养品市场。欧盟赖氨酸反倾销：在公司针对欧盟赖氨酸反倾销调查中，通过积极应诉与海外客户沟通协作，成功将反倾销终裁税率由初裁的 84.8%大幅下调 37.1pct至 47.7%，提升了公司产品价格竞争。海外绿地投资：公司在报告期内海外考察项目组深入中亚等地区，就原料、能源化工辅料、交通、营商环境等生产建设与经营要素展开实地考察，后续公司将从不同维度对考察地区进行对比，加速海外市场拓展速度，落实公司全球化布局。投资建议预计公司2025-2027年归母净利润分别为34.48、36.27、38.34亿元，同比增速25.8%、5.2%、8.5%，对应PE为9、9、8倍，维持“买入”评级。风险提示（1）市场竞争加剧；（2）原材料价格大幅波动；（3）海外及新建项目进度不及预期风险。,,华安证券,买入,[None],2025-08-25,,买入,6345345,pdf_downloads/2025/2025-08-25/600873-梅花生物（600873）：25H1盈利水平显著提升，出海战略稳步推进.pdf,600873,梅花生物,梅花生物（600873）：25H1盈利水平显著提升，出海战略稳步推进
张伟保,事件梅花生物发布2025半年度业绩报告：2025上半年实现营业总收入122.80亿元，同比-2.87%；实现归母净利润17.68亿元，同比+19.96%。分季度来看，2025Q2单季度实现营业收入60.12亿元，同比-2.34%、环比-4.09%，实现归母净利润7.49亿元，同比+3.76%、环比-26.45%。投资要点主营产品销量增长，70%赖氨酸量价齐升2025年上半年，公司实现总营业收入122.80亿元，同比减少2.87%，公司毛利增加3.82亿元带动公司净利润提升。公司主要产品味精、98%赖氨酸、饲料级异亮氨酸销量增长，70%赖氨酸量价齐升带来收入增长、毛利增加，同时主要材料成本下降以及生产指标提升带动生产成本下降。管理费用下降主因咨询费及人工费减少，经营活动净现金流持续稳中向好期间费用方面，2024年公司销售/管理/财务/研发费用率分别同比-0.25/-0.57/+0.43/+0.20pct，销售费用率下降主因公司产品外设库调拨量减少、运费价格下降使运费减少，以及咨询费等开支减少带来费用下降；管理费用小幅下降主因咨询费及人工费减少；财务费用小幅上升主因收入、汇率收益均有减少；研发费用率提升主因公司研发投入加大。现金流方面，2025年1-6月利润增加促使经营活动现金流量净额较上年同期增加，增幅为3.44%。全球化布局协同发力，氨基酸龙头地位持续巩固公司产能扩张成果显著，通辽味精产能升级项目已实现满产，成为全球单体规模较大的生产线之一；通过主动关停低效旧产线并实施技改转产，产能结构持续优化。吉林赖氨酸项目预计于2025年四季度投产试车，经营规模将进一步扩大，巩固公司在氨基酸行业的龙头地位。此外，公司积极推进缬氨酸、色氨酸等高附加值产品的提档升级，持续丰富产品组合，增强市场竞争力。在海外产能布局方面，公司于2025年7月1日完成对日本协和发酵相关食品、医药氨基酸及HMO业务与资产的收购，实现产业链向下游高附加值医药级氨基酸延伸，并新增HMO业务线。通过此次并购，公司获得位于上海、泰国及北美等多个生产经营实体，推动产业出海战略落地，提升在全球氨基酸及高级营养原料领域的供应链地位与综合竞争力。盈利预测公司为氨基酸行业龙头企业，新产能快速释放有望促进公司业绩稳健增长，预测公司2025-2027年归母净利润分别为31.06、35.24、39.05亿元，当前股价对应PE分别为10.1、8.9、8.0倍，维持“买入”投资评级。风险提示下游需求波动风险；产品价格下跌风险；原材料价格上涨风险；新建项目不及预期等风险。,,华鑫证券,买入,[None],2025-08-25,,买入,6344970,pdf_downloads/2025/2025-08-25/600873-梅花生物（600873）：公司事件点评报告：氨基酸行业领军企业，氨基酸跨境并购顺利完成.pdf,600873,梅花生物,梅花生物（600873）：公司事件点评报告：氨基酸行业领军企业，氨基酸跨境并购顺利完成
刘威,本报告导读：适应全球竞争能力提升，加速推进海外产能布局。投资要点：维持“增持”评级。维持2025-2027年EPS为1.12、1.21、1.31元，结合同行业可比公司估值，考虑到公司的盈利能力低于可比公司，给予一定估值折价，给予公司2025年12倍PE，对应目标价13.44元，维持增持评级。25H1扣非净利润同比增长24.98%。2025年上半年，公司实现营业收入122.80亿元，同比下降2.87%；实现归属净利润17.68亿元，同比增加19.96%，扣非净利润16.28亿元，同比增长24.98%。公司主要产品味精、98%赖氨酸、饲料级异亮氨酸销量增长，70%赖氨酸量价齐增带来收入增长毛利增加，同时主要材料成本下降以及生产指标提升带动生产成本下降，2025H1，公司毛利增加3.82亿元带来公司净利润增长。公司子公司味精、异亮氨酸等产品产能释放带来销量增长，同时98%赖氨酸销量增长，70%赖氨酸实现量价齐增，但主要产品味精、黄原胶、苏氨酸等产品市场销售价格下降，从而导致主营业务收入减少。公司适应全球竞争能力提升。公司通过深入研究国际贸易规则，组建专业团队积极应诉，与海外客户紧密沟通协作，历经艰辛努力，成功将欧盟赖氨酸反倾销终裁税率由初裁的84.8%大幅下调37.1%至47.7%。这一成果不仅直接提升了产品的价格竞争力，更体现了公司在国际贸易摩擦应对方面的专业能力和坚定决心。公司加速推进海外产能布局。公司于2025年7月1日成功完成对日本协和发酵相关食品、医药氨基酸、HMO业务与资产的交割，通过本次交易，公司产业链向下游高附加值医药级氨基酸市场延伸，氨基酸产品管线进一步增加，并获得了位于上海、泰国、北美等地多个生产经营实体，实现产业出海战略落地，通过国际化产能布局增强区域市场风险应对能力。风险提示。下游需求不及预期风险；原材料价格上涨的风险。,,国泰海通,增持,[None],2025-08-24,,买入,6344761,pdf_downloads/2025/2025-08-24/600873-梅花生物（600873）：公司半年报点评：25H1扣非净利润同比增长24.98%，加速推进海外布局.pdf,600873,梅花生物,梅花生物（600873）：公司半年报点评：25H1扣非净利润同比增长24.98%，加速推进海外布局
