author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
王凯,"公司发布2025年度业绩快报，符合我们预期：2025年实现营业收入约123.85亿元，同比+36.62%；预计实现归母净利润约21.11亿元，同比+30.69%。同期公司研发投入约37.44亿元，同比+52.65%，研发费用率为30.23%。刻蚀设备主业维持稳健增长，公司2025年刻蚀设备实现销售98.32亿元，同比+35.12%，收入占比约79.39%，为公司核心收入来源。1）行业需求侧来看，多重图案化与3D存储结构升级持续提升刻蚀与沉积设备强度。逻辑制程由7nm向5nm及以下演进，3DNAND由100+层向200+层、由单deck向双/三deck发展，带动单晶圆工艺步数及对应设备SAM提升至约1.7–2.0倍，行业需求呈结构性扩张。2）公司在先进逻辑关键刻蚀及存储超高深宽比刻蚀环节实现稳定量产，CCP覆盖高深宽比需求；面向下一代逻辑与存储的ICP及化学气相刻蚀设备已具备单原子级加工精度与重复性。截至2025年底，公司反应台累计装机超7,800台，覆盖170余条芯片及LED产线。公司薄膜业务增速显著快于整体，收入占比持续提升；产品矩阵延伸至多领域。公司LPCVD及ALD设备2025全年实现销售5.06亿元，同比+224.23%，收入占比由2024年的1.72%提升2.36pct至4.09%。产品层面，公司已覆盖先进存储与逻辑器件的多款LPCVD、ALD设备，近两年新开发十余种薄膜设备并部分实现量产出货，LPCVD累计出货超300个反应台。外延方面，公司硅及SiGeEPI设备进入量产验证，减压EPI向先进制程延伸。化合物半导体及显示领域，公司保持GaN基MOCVD设备领先地位，布局SiC、GaN功率器件及Micro-LED方向，部分新品进入验证阶段，SiC外延及红黄光LED设备已付运客户端验证。投资建议：考虑到公司25年加强研发投入，我们调整2025年归母净利润为21.11亿元（前值为21.81亿元）。先进逻辑制程推进与高层数3DNAND演进带来工艺复杂度提升，推动单线设备投入强度与可服务市场持续扩张，有望提升公司中期业绩增长上限。在刻蚀和薄膜两条核心工艺主线上，公司已切入关键制程并形成批量应用基础，受益路径清晰，具备较强稀缺性与成长弹性。我们预计公司2025–2027年归母净利润分别为21.11/31.58/42.78亿元,对应同比增长30.7%/49.6%/35.4%，对应PE分别为103.5x/69.2x/51.1x。维持&quot;买入&quot;评级。风险提示：先进制程及存储扩产节奏不及预期；下游晶圆厂资本开支波动；新产品验证及放量进度低于预期；核心零部件及供应链稳定性风险。",,爱建证券,买入,[None],2026-03-03,,买入,8473027,pdf_downloads/2026/2026-03-03/688012-中微公司（688012）：2025 年业绩快报点评：刻蚀业务稳健增长、薄膜业务加速放量.pdf,688012,中微公司,中微公司（688012）：2025 年业绩快报点评：刻蚀业务稳健增长、薄膜业务加速放量
"王大卫,童钰枫",中微公司 (688012 CH)2025年净利润超预期，切入CMP领域推进平台化布局，上调目标价2025营收符合预期，国产半导体设备龙头增速保持强劲：公司发布2025全年业绩预告。营业收入约123.85亿元（人民币，下同），符合我们和市场预期，同比增长37%。研发投入约37.4亿元，占总营收的30.2%。归母净利润为20.8-21.8亿元，中位数同比增长32%，超过我们的预期（19.4亿元）和VA一致预测（20.8亿元）。扣非归母净利润约15.0-16.0亿元，中位数同比增长12%。报告期内，公司在离子刻蚀设备、LPCVD、MOCVD等各领域均取得重要进展。刻蚀设备方面，针对先进逻辑和存储器件关键刻蚀工艺的高端产品新增付运量显著提升。薄膜沉积方面，多款新型产品进入市场，LPCVD设备累计出货量突破300个反应台。EPI设备已顺利进入客户端量产验证阶段。公司几款MOCVD新产品进入客户端验证阶段。同时，新兴8寸碳化硅外延设备、新型红黄光LED应用设备已付运至中国内地领先客户开展验证。收购杭州众硅切入CMP领域，持续推进平台化布局：2025年12月，公司公告正筹划通过发行股份方式购买杭州众硅电子科技有限公司（杭州众硅）。杭州众硅主营12寸高端机械平坦化抛光（CMP）设备研发、生产和销售，产品主要用于湿法工艺。我们认为杭州众硅的高端CMP业务与中微现有业务高度互补，有利于中微构建平台化半导体公司，提供结合等离子刻蚀、沉积、检测、湿法为一体的更具竞争力的产品解决方案。上调目标价：考虑到公司针对先进逻辑和存储的ICP产品未来进一步放量，90：1 CCP刻蚀设备或已推向市场，薄膜沉积设备种类持续丰富且覆盖率不断增加，以及在CMP领域的多元化进展。我们上调中微公司2026/27年营收预测到162.0/193.6亿元（前值160.7/192.1亿元）。我们预测2026/27年毛利率将攀升至40.8%/41.0%。上调2026/27年归母净利润预测至34.6/42.8亿元（前值32.4/40.2亿元）。考虑到存储/逻辑电路制造均出现供不应求，对上游设备需求或持续高涨，且A股市场流动性充裕，我们上调目标价到415元（前值325元），对应2027年60倍（前值50倍）市盈率，维持买入评级。,,交银国际,买入,[None],2026-01-30,,买入,8376220,pdf_downloads/2026/2026-01-30/688012-中微公司（688012）：2025年净利润超预期，切入CMP领域推进平台化布局，上调目标价.pdf,688012,中微公司,中微公司（688012）：2025年净利润超预期，切入CMP领域推进平台化布局，上调目标价
王凯,"事件：公司公告拟通过发行股份方式购买杭州众硅电子科技有限公司（下称“众硅科技”）控股权并同步募集配套资金。公司股票自2025年12月19日起停牌，预计停牌时间不超过10个交易日。众硅科技成立于2018年，主要从事CMP设备及配套系统研发制造，产品布局覆盖6–12英寸CMP整机、单模组CMP、抛光液供液系统（SDS）及ECMP等。其中，12英寸高端CMP设备已批量应用，8英寸先进CMP设备通过SEMI认证并导入多家晶圆厂产线。CMP（化学机械抛光）设备价值量约占半导体设备投资总额的4%，市场集中度较高。1）CMP通过化学反应与机械去除协同实现晶圆表面高精度平坦化，是当前唯一能够有效抛光铜互连金属层的关键工艺，广泛应用于晶圆制造及TSV、2.5D/3DIC等先进封装环节。2）据头豹，预计2025-2029年，中国半导体化学机械抛光设备行业市场规模由183亿元人民币增长至486亿元人民币，期间年复合增长率27.7%；3）CMP行业竞争格局高度集中，根据Gartner，AppliedMaterials与日本荏原合计占据全球约93%的CMP市场份额，尤其在14nm以下先进制程产线中形成垄断。公司此次筹划收购众硅科技，核心意义在于补齐湿法关键工艺、完善前道核心设备体系，加速向平台型半导体设备厂商演进。1）工艺上，公司现有产品以刻蚀、薄膜沉积等真空干法设备为主，而CMP是湿法工艺中不可替代的核心环节，与刻蚀、沉积共同构成除光刻机外最关键的前道工艺装备组合。通过并购切入CMP领域，公司有望实现“刻蚀—沉积—平坦化”工艺系统覆盖，提升体解决方案竞争力。2）战略上，本次交易推动公司由单一设备龙头向“集团化、平台化”设备企业迈出关键一步。投资建议：维持""买入""评级。我们预计公司2025–2027年归母净利润分别为21.81/31.58/42.78亿元，对应同比增长35.0%/44.8%/35.4%，对应PE分别为74.8x/51.6x/38.1x。在晶圆厂扩产与国产替代推进下，本次收购补齐CMP关键工艺，完善前道设备体系，推动公司平台化发展并强化中长期成长性。风险提示：化学机械抛光设备市场拓展不及预期、标的公司业务整合进度不及预期。",,爱建证券,买入,[None],2025-12-19,,买入,8257165,pdf_downloads/2025/2025-12-19/688012-中微公司（688012）：公司收购事件点评：补齐CMP关键拼图，平台化战略再进一步.pdf,688012,中微公司,中微公司（688012）：公司收购事件点评：补齐CMP关键拼图，平台化战略再进一步
"周尔双,李文意",投资要点切入湿法CMP设备领域，完善成套工艺平台能力：2025年12月18日，公司公告拟通过发行股份方式购买杭州众硅，本次交易尚处于筹划阶段，具体交易方式与方案待后续披露。此前公司于2024年12月通过B轮投资首次持股杭州众硅，并于2025年9月联合上海国投与孚腾资本等再次对其进行战略投资。截至此次公告发布前，中微公司共持股杭州众硅12.04%股份，为其第二大股东。杭州众硅主营12寸高端CMP设备，属于湿法工艺核心装备，与中微现有的刻蚀、薄膜沉积等干法设备构成高度互补。本次收购旨在提升中微在成套工艺方案与全流程覆盖方面的竞争力，代表公司向集团化、平台化”加速演进。杭州众硅技术底蕴深厚，自主研发国内首台大硅片CMP设备：杭州众硅成立于2018年，由顾海洋博士创立。顾博士本科毕业于浙江大学金属材料工程专业，后赴美深造，在密苏里大学罗拉分校取得博士学位；在国际半导体行业深耕多年，亲历130nm至14nm多个技术节点的设备迭代。公司成立后持续攻关CMP核心技术，2021年实现6英寸第三代半导体CMP设备突破，2022年自主研制出国内首台12英寸大硅片CMP量产设备并获首台认定，填补国内空白，2023年已交付国内头部厂商投入产线应用。平台化布局持续推进，将覆盖刻蚀、薄膜、量检测、湿法等核心工艺：（1）CCP设备：60比1超高深宽比介质刻蚀设备成为国内标配设备，量产指标稳步提升，下一代90比1超高深宽比介质刻蚀设备即将进入市场。（2）ICP设备：适用于下一代逻辑和存储客户用ICP刻蚀设备和化学气相刻蚀设备开发取得了良好进展。（3）薄膜沉积设备：LPCVD、ALD等多款薄膜设备已经顺利进入市场，硅和锗硅外延EPI设备已顺利运付客户端进行量产验证，并且获得客户高度认可。（4）量检测设备：成立子公司超微公司引入电子束检测设备领军人才，电子束检测设备有望加速落地。盈利预测与投资评级：我们维持公司 2025-2027 年归母净利润预测为24.4/34.1/44.6亿元，当前股价对应动态PE分别为70/50/38倍，维持“买入”评级。风险提示：晶圆厂扩产节奏不及预期，新品研发&amp;产业化不及预期等。,,东吴证券,买入,[None],2025-12-19,,买入,8254520,pdf_downloads/2025/2025-12-19/688012-中微公司（688012）：拟收购杭州众硅布局CMP设备，平台化布局提速.pdf,688012,中微公司,中微公司（688012）：拟收购杭州众硅布局CMP设备，平台化布局提速
"吴文吉,翟一梦",中微公司(688012)ICP刻蚀加速增长，CCP刻蚀受益于存储扩产l投资要点ICP刻蚀加速增长。2025H1，公司ICP刻蚀设备已在逻辑、DRAM、3DNAND等领域超50家客户产线实现大规模量产，同时持续推进更多ICP刻蚀工艺验证，截至报告期末，设备累计装机反应台超1200台。2025H1等离子体刻蚀设备新签订单中，ICP设备的占比略高于CCP设备的占比，ICP快速起量。新产品方面，PrimoMenova™12寸ICP单腔刻蚀设备聚焦金属刻蚀领域，擅长Al线、Al块刻蚀，适配功率半导体、存储器件及先进逻辑芯片制造，是晶圆厂金属化工艺核心设备。该设备刻蚀均一性优异，兼具高速率、高选择比、低介质损伤特性；搭载高效腔体清洁工艺，可减少污染、延长运行时长；集成高温水蒸气除胶腔室，能高效清除刻蚀后晶圆表面的光刻胶及副产物；主刻蚀与除胶腔体支持灵活组合，可满足高生产效率需求，保障高负荷工况下的稳定性与良率。公司紧跟客户与市场技术需求，稳步推进先进ICP刻蚀技术研发，以满足新一代逻辑、DRAM及3DNAND存储芯片的制造需求。刻蚀受益于存储扩产。在存储芯片制造环节，公司的等离子体刻蚀设备已大量用于先进三维闪存和动态随机存储器件的量产。公司致力于提供超高深宽比掩膜（≥40:1）ICP刻蚀设备和超高深宽比介质刻蚀(≥60:1)CCP刻蚀设备的解决方案。配备超低频偏压射频的用于超高深宽比掩膜刻蚀的ICP刻蚀机目前已经在生产线上大规模应用，工艺能力可以满足国内最先进的存储芯片制造的需求。配备超低频高功率偏压射频的用于超高深宽比介质刻蚀的CCP刻蚀设备也在最关键的超高深宽比刻蚀工艺大规模生产，并逐步拓展应用。2025年前三季度，公司针对先进逻辑和存储器件制造中关键刻蚀工艺的高端产品新增付运量显著提升，先进逻辑器件中段关键刻蚀工艺和先进存储器件的超高深宽比刻蚀工艺实现大规模量产。投资建议我们预计公司2025/2026/2027年分别实现收入121/157/198亿元，归母净利润21/31/43亿元，维持“买入”评级。风险提示下游客户扩产不及预期的风险，员工股权激励带来的公司治理风险，政府支持与税收优惠政策变动的风险，供应链风险，行业政策变化风险，国际贸易摩擦加剧风险，研发投入不足导致技术被赶超或替代的风险。,,中邮证券,买入,[None],2025-12-18,,买入,8253575,pdf_downloads/2025/2025-12-18/688012-中微公司（688012）：ICP刻蚀加速增长，CCP刻蚀受益于存储扩产.pdf,688012,中微公司,中微公司（688012）：ICP刻蚀加速增长，CCP刻蚀受益于存储扩产
王凯,"投资建议：首次覆盖，给予“买入”评级。我们预计公司2025–2027年归母净利润分别为21.81/31.59/42.79亿元，对应同比增长35.0%/44.8%/35.5%，对应PE为78.61x/54.28x/40.07x。当前估值虽高于部分同业，但基于公司1）刻蚀设备在主流晶圆厂不断验证，应用于先进逻辑节点；2）薄膜沉积产品线在LPCVD、ALD、金属栅、金属钨等关键工序实现突破，新产品已陆续进入规模化放量阶段，在半导体设备行业中具备稀缺性，我们认为应给予一定估值溢价。行业与公司情况：公司是中国前道核心工艺设备领先厂商，刻蚀产品覆盖CCP与ICP两大体系，已满足65nm至5nm及更先进节点需求，并在国内外一线客户实现规模化导入。公司加速布局薄膜沉积与外延装备，同时拓展光学与电子束量测及多类泛半导体微加工设备。行业方面，全球半导体设备市场2024–2027年将保持复苏，我们预计市场规模由2024年的1,255亿美元增至2027年的1,505亿美元，CAGR=11.3%。中国大陆市场在晶圆厂扩产与国产替代推动下，由2024年的491亿美元增至2027年的662亿美元。关键假设点：1）多重图案化与3D存储结构驱动刻蚀和薄膜沉积设备需求提升。随着逻辑制程从7nm向5nm及以下推进，以及3DNAND层数由100+层向200+层、单deck向双/三deck演进，刻蚀与沉积的单晶圆片工艺步数与设备SAM均提升约1.7–2.0倍。我们认为公司凭借在高深宽比刻蚀、金属栅与钨填充沉积等关键节点的技术储备与验证进展，有较强能力承接先进制程扩容带来的结构性增量。2）薄膜沉积业务进入规模化阶段，新增订单贡献第二增长曲线。公司LPCVD、ALD等新品相继通过客户验证并形成批量出货，2025前三季度该业务收入约4亿元，同比增幅超1300%。同时，硅及SiGe外延（EPI）设备已陆续导入头部客户的量产验证环节，外延产品线加速从研发向商业化转变。我们假设沉积设备2025–2027年保持放量，公司收入结构逐渐多元化，并成为未来毛利率改善主要来源。有别于市场的认识：市场多将关注点放在国产替代进程上，但我们认为未来三年公司业绩的关键驱动力更可能来自先进逻辑及高层数3DNAND在深宽比、均匀性与材料结构上的持续演进，由此带来刻蚀与薄膜沉积环节的结构性SAM提升；在这两条工艺主线中，公司产品已进入核心制程验证与批量应用阶段，具备相对更明确的受益基础。股价表现的催化剂：公司薄膜沉积产品线放量；公司先进工艺验证进展加速；中国主流晶圆厂资本开支上修；AI驱动算力存力投资上行。风险提示：先进工艺验证不及预期风险、下游晶圆厂扩产不达预期风险、竞争加剧及价格压力风险、新产品良率爬坡不及预期风险。",,爱建证券,买入,[None],2025-12-08,,买入,8225010,pdf_downloads/2025/2025-12-08/688012-中微公司（688012）：首次覆盖报告：刻技精深，沉积致远：先进工艺演进驱动产品放量.pdf,688012,中微公司,中微公司（688012）：首次覆盖报告：刻技精深，沉积致远：先进工艺演进驱动产品放量
"陈耀波,李美贤",中微公司(688012)事件公司2025年第三季度实现营业总收入31亿元，同比增加51%，环比增加11%；归母净利润5亿元，同比增加28%，环比增加29%；扣非净利3亿元，同比增加5%，环比增加45%。刻蚀基本盘稳固，薄膜新品爆发增长公司针对先进逻辑和存储器件制造中关键刻蚀工艺的高端产品新增付运量显著提升，前三季度，公司刻蚀设备实现收入约61亿元，同比增长38%。薄膜设备迎来爆发期，LPCVD、ALD等新产品顺利放量，前三季度收入约4亿元，同比激增超1300%。此外，硅和锗硅外延EPI设备已运付客户端进行量产验证，公司半导体设备布局持续完善。研发加码驱动创新提速，平台化战略加速落地公司坚持高强度研发策略，前三季度研发支出约25亿元，同比大幅增长63%，占营收比例高达31%。公司研发效率大幅提升，新设备开发周期已大幅缩短至2年以内。目前公司在研项目涵盖6类设备、超20款新品。随着先进逻辑和存储关键工艺的高端产品付运提升，公司正加速向平台型设备公司迈进。投资建议我们预计2025-2027年公司归母净利润分别为24.76、34.09、42.90亿元，对应的EPS分别为3.95、5.44、6.85元，对应最新收盘价PE分别为66x、48x、38x。维持公司“买入”评级。风险提示研发进度不及预期、产业竞争加剧、贸易摩擦加剧。,,华安证券,买入,[None],2025-12-03,,买入,8205108,pdf_downloads/2025/2025-12-03/688012-中微公司（688012）：薄膜设备顺利放量，高研发加速平台化布局.pdf,688012,中微公司,中微公司（688012）：薄膜设备顺利放量，高研发加速平台化布局
葛星甫,技术壁垒深厚，核心产品领跑国产替代。中微公司是国内半导体高端装备龙头，核心产品覆盖等离子体刻蚀设备、MOCVD设备及薄膜沉积设备，技术实力稳居行业前列。刻蚀设备领域，截至2025H1，CCP刻蚀设备累计装机超4500个反应台；ICP刻蚀设备累计装机接近1200个反应台，NanovaLUX-Cryo等机型获重复订单。MOCVD设备在氮化镓基领域全球领先，PRISMOUniMax等机型主导高端Mini-LED显示外延片市场，同时推进氮化镓、碳化硅功率器件设备研发，2025年新一代功率设备有望进入客户验证。薄膜沉积设备已推出6款产品，钨系列覆盖存储与逻辑关键应用，金属栅系列产品性能达国际先进水平，独创方案实现60:1深宽比填充突破，多类产品获头部客户量产订单，持续巩固国产设备技术话语权。研发与团队双轮驱动，成长动能强劲。公司构建了国际化、高学历的核心团队，创始人尹志尧博士拥有三十余年半导体设备经验，2024年研发人员达1190人，占员工总数47.98%，硕博占比54.71%，跨学科技术储备深厚。研发投入持续加强，2025年上半年增至14.92亿元（yoy：+53.70%），占营业收入比例约为30.07%，截至2025年年中，公司在研项目涵盖六类设备，包含多个关键制程工艺的核心设备开发。同时，公司通过大规模股权激励绑定核心人才，2024年激励覆盖1798人（占比99.72%），2025年计划授予不超过1200万股限制性股票，考核目标锚定营收增速对标行业均值，为长期创新与业绩增长提供保障。2025年上半年营收49.61亿元、归母净利润7.06亿元，LPCVD设备收入同比激增608.19%，新品放量推动增长韧性凸显。受益行业高景气，市场空间广阔。全球半导体设备市场规模超千亿美元，2024年达1090亿美元，刻蚀设备作为核心环节（Gartner数据显示2022年占比22%），2024年全球半导体刻蚀设备市场规模预计为256.1亿美元，2024-2029年CAGR预计为7.6%，AI、5G、3DNAND等驱动刻蚀工艺复杂度与设备需求提升，3DNAND向千层堆叠演进更放大高深宽比刻蚀设备价值。国内市场方面，中国大陆半导体设备国产化率快速提升。公司作为国产刻蚀设备领军者，南昌、上海临港基地投产，广州、成都基地规划落地后有望进一步支撑产能扩张，叠加三维立体发展战略，有望持续受益于国内晶圆厂扩产与全球技术竞争，长期成长确定性较高。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为23.25/31.44/42.21亿元，同比增速分别为43.90%/35.23%/34.27%，当前股价对应的PE分别为82.44/60.96/45.40倍。我们选取芯源微、拓荆科技为可比公司，测得同行业可比公司2025年平均估值为102.36倍，鉴于中微公司在刻蚀设备的龙头地位，维持“买入”评级。风险提示：下游客户扩产不及预期的风险、研发风险、上游供应链风险等。,,华源证券,买入,[None],2025-11-12,,买入,7658836,pdf_downloads/2025/2025-11-12/688012-中微公司（688012）：核心装备技术领先，研发与团队夯实成长根基.pdf,688012,中微公司,中微公司（688012）：核心装备技术领先，研发与团队夯实成长根基
"倪正洋,谢春生",2025年11月03日│中国内地 专用设备 中微公司发布三季报：Q3实现营收31.02亿元（yoy+50.62%，qoq+11.29%），归母净利5.05亿元（yoy+27.50%，qoq+28.62%）。2025年Q1-Q3实现营收80.63亿元（yoy+46.40%），归母净利12.11亿元（yoy+32.66%），扣非净利8.87亿元（yoy+9.01%）。公司25Q3收入利润同比继续保持较高增长，高性能刻蚀设备与薄膜沉积设备持续向好，刻蚀设备龙头不断向平台化公司迈进，上调至“买入”评级。研发投入力度加大，非经常损益助力利润2025年前三季度净利润增长，研发投入显著提升。2025年前三季度公司实现营业收入80.63亿元，同比增长46.40%；归属于上市公司股东的净利润为12.11亿元，同比增长32.66%。2025Q3公司实现营业收入31.02亿元，同比增长50.62%。净利润增长主要因前三季度营业收入增长使毛利增加8.27亿元，且非经常性损益的股权投资收益增加2.75亿元。费用率方面，前三季度研发支出25.23亿元，较去年同期增长约63.44%，研发支出占公司营业收入比例约为31.29%，yoy+3.26pct，主要系公司加大研发力度以补短板。刻蚀设备收入继续高增，高性能CCP与ICP产品进展持续公司25Q1-Q3刻蚀设备收入61.01亿元，同比增长约38.26%；公司针对先进逻辑和存储器件制造中关键刻蚀工艺的高端产品新增付运量显著提升，先进逻辑器件中段关键刻蚀工艺和先进存储器件的超高深宽比刻蚀工艺实现大规模量产。其中CCP方面，公司用于关键刻蚀工艺的单反应台介质刻蚀产品保持高速增长，60比1超高深宽比介质刻蚀设备成为国内标配设备，量产指标稳步提升，下一代90比1超高深宽比介质刻蚀设备即将进入市场；ICP方面，适用于下一代逻辑和存储客户用ICP刻蚀设备和化学气相刻蚀设备开发取得了良好进展。加工的精度和重复性已达到单原子水平。薄膜沉积设备放量，新产品进展良好覆盖率不断增加公司25Q1-Q3的LPCVD和ALD等薄膜设备收入4.03亿元，同比增长约1332.69%。公司为先进存储器件和逻辑器件开发的LPCVD、ALD等多款薄膜设备已经顺利进入市场，并且设备性能完全达到国际领先水平，薄膜设备的覆盖率不断增加。公司硅和锗硅外延EPI设备已顺利运付客户端进行量产验证，并且获得客户高度认可。在泛半导体设备领域，公司正在开发更多化合物半导体外延设备，已陆续付运至客户端开展生产验证。给予公司目标价333.2元，上调至“买入”评级我们维持公司2025-2027年归母净利润预测分别为22.87/29.83/38.55亿元。可比公司26年ifind一致预期PE均值为49倍（前值25年42倍），考虑公司刻蚀设备订单饱满，LPCVD/量检测等新产品进展较快，继续向平台化公司迈进，给予公司26年70倍PE（前值25年55倍），目标价333.2元（前值202.4元），上调至“买入”评级。风险提示：半导体周期性波动，新产品研发不及预期。,,华泰证券,买入,[None],2025-11-04,上调评级,买入,7379969,pdf_downloads/2025/2025-11-04/688012-中微公司（688012）：刻蚀与薄膜沉积设备持续向好.pdf,688012,中微公司,中微公司（688012）：刻蚀与薄膜沉积设备持续向好
"王大卫,童钰枫",中微公司 (688012 CH)3Q25营收加速增长，上调目标价3Q25营收超预期，国产半导体设备龙头增速保持强劲：3Q25营收31.0亿元（人民币，下同；同比增50.6%），超过我们之前预期。毛利率37.9%，我们认为主要因为新产品在爬坡前期或摊薄毛利率水平，管理层之前指引长期毛利率水平或在40%左右。3Q25研发费用率21.8%，环比降1.5个百分点，1-3Q25研发费用率约为31.3%。我们认为公司收入主要由研发驱动，随着产品日益高端化，研发费用处于高水平或助公司持续推出新产品。3Q25归母净利润5.05亿元，符合我们之前预期。刻蚀产品继续拓展，薄膜沉积产品持续上线：3Q25刻蚀设备收入23.2亿元，同比增长35.3%。管理层提到90：1超高深宽CCP即将进入市场，我们在之前报告中深挖超高深宽比设备在先进存储器件和逻辑电路制造中的重要作用，并认为中微产品或接近世界先进水平。我们认为公司ICP产品营收潜力或进一步释放，并维持ICP收入2026年超过CCP产品的预测。我们测算3Q25薄膜沉积产品收入或在2.04亿元左右（现在主要是LPCVD和ALD产品）。公司称其硅和锗硅外延EPI设备已顺利运付客户端进行量产验证。2024年末薄膜沉积在手订单4.76亿元，1-3Q25实现薄膜沉积收入4.03亿元，我们上调2025全年薄膜沉积收入到6.30亿元（前值4.98亿元）。我们认为包括以上产品在内的薄膜沉积设备陆续投放市场，ICP放量和90：1 CCP刻蚀设备进入市场或是公司业绩增长的重要驱动。上调目标价：我们之前上调了中国内地半导体设备2025全年市场规模至520亿美元（同比增长5%），我们认为国产半导体设备公司业绩高增长的趋势或超之前市场预期。我们上调中微公司2025/26/27年营收预测到124.3/160.7/192.1亿元（前值123.0/159.3/190.1亿元）。我们预测之后公司毛利率温和回升到40%左右，并预测归母净利润19.4/32.4/40.2亿元（前值20.9/30.6/38.2亿元）。我们维持公司买入评级，上调目标价到325元（前值280元），对应2027年50倍市盈率。,,交银国际,买入,[None],2025-11-04,,买入,7374763,pdf_downloads/2025/2025-11-04/688012-中微公司（688012）：3Q25 营收加速增长，上调目标价.pdf,688012,中微公司,中微公司（688012）：3Q25 营收加速增长，上调目标价
