author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"舒思勤,方丽,洪希柠,夏昌盛",核心内容中油资本是中国石油集团旗下负责金融业务管理的专业化综合性金融业务公司，是中石油金融资产监管、金融业务整合、金融股权投资、金融风险管控的平台。公司于2016年10月由中国石油集团批复设立，于2017年2月在深交所A股市场完成重组上市。2025Q1-3公司实现营业总收入256.45亿元，同比-12.2%；实现归母净利润39.97亿元，同比-7.9%；加权平均ROE（未年化）同比-0.42pct至3.87%。业绩下滑预计主要系利率下行背景下，公司部分业务板块净利差有所下降。公司具备多个牌照金融业务，昆仑银行、中油财务、昆仑金租是公司的主要业务。主要通过其控股公司昆仑银行、中油财务、昆仑金融租赁、中油资产、专属保险、昆仑保险经纪，以及参股公司中意人寿、中银证券、中债信增、昆仑资本与昆仑数智，分别经营银行、财务公司、金融租赁、信托、保险、保险经纪、证券、信用增进、股权投资与数智业务。24年昆仑银行、中油财务、昆仑金租营收分别为167、163、28亿元，占比分别为43%、42%、7%。1）昆仑银行（持股比例为77.09%）：依托中国石油集团的资源优势进行展业，产融结合特色化经营，对公业务优势显著。国际业务成熟，有望受益于石油人民币结算。2）中油财务（持股比例为28%）：集团公司的内部银行和唯一司库平台，资产、收入、利润等指标连续保持国内第一。截至2024年末，贷款规模同比增长23%；不良率为0.02%，资产质量很好。3）昆仑金租（持股比例为60%）：资产集中于交通与能源领域，资产质量优异，24年末不良租赁资产占比为0.44%，同比下降0.26pct。各业务板块协同发力，深度融入石油产业链生态。中油资本凭借齐全的金融牌照，在综合金融布局中具备先发优势。预计金融板块盈利能力逐步修复，有望对公司整体收益形成支撑。盈利预测、估值和评级我们预计2025-2027年中油资本营业总收入分别为392.90、396.07、399.21亿元，分别同比增长0.7%、0.8%、0.8%；归母净利润分别为47.42、49.31、51.40亿元，分别同比增长1.9%、4.0%、4.2%。综合来看，公司2025年合理估值约为1388亿元，对应目标价10.98元，首次覆盖给予“买入”评级。风险提示1、石油产业链景气度下行风险；2、资产质量承压风险；3、利率波动影响盈利能力的风险。,,国金证券,买入,[None],2025-11-14,,买入,7822669,pdf_downloads/2025/2025-11-14/000617-中油资本（000617）：多牌照发力，产融协同韧性突显.pdf,000617,中油资本,中油资本（000617）：多牌照发力，产融协同韧性突显
杨晓天,事件：中油资本（000617.SZ）发布2024年年报及2025年一季报，2024年全年实现营业总收入390.24亿元，同比增长0.08%，归属于上市公司股东的净利润同比下降8.14%至46.52亿元；2025年一季度公司营业总收入为89.47亿元，同比去年同期下降7.77%，归母净利润为12.69亿元，同比去年同期下降26.57%。观点：资产稳步提升，营收创历史新高。公司2024年资产总额10841.72亿元，同比增长1.01%，全年实现营业总收入390.24亿元，同比增长0.08%，创历史新高，市场整体降息背景下实现净利润99.00亿元。公司资产提升将有助于提升营收与利息业务能力，由于银行业整体信贷业务承压，公司定位产业金融，以服务油气产业和产业链为重点，受此影响贷款投放方向和规模长期保持稳定向好，预计公司营收能力将持续受益。2025年一季度受债券市场投资收益和公允价值变动收益减少，以及计提信用减值损失增加影响，利润有所下行。利息业务收入稳中有增，产业金控平台助力息差保持稳定。银行业务2024年末资产总额4555.60亿元，同比增长5.84%，实现对外营业总收入167.40亿元，同比增长4.25%，实现净利润17.05亿元。财务公司资产总额5157.32亿元，全年实现对外营业总收入163.35亿元，实现净利润60.40亿元。公司利息业务基本盘保持稳定，在市场利率持续下行的背景下，公司背靠中石油的产业金控平台有望凸显息差稳定性，公司营收基本盘有望长期稳定。市值管理作为重要战略目标，分红政策有望持续稳定。公司确定了以“三个六”为核心的市值管理工作思路，从经营发展、ESG管理、市值管理3个方面提出相应的具体工作举措，将结合公司现状和未来发展战略制定与公司发展相契合的市值管理工作方案。公司连续7年执行“不低于归母净利润30%”的分红政策，2024年拟每10股派现1.17元（含税），派息率31.80%，分红总额14.79亿元。公司市值管理战略目标下，市值及分红政策有望持续保持稳定，公司股价吸引力有望提升。盈利预测及投资评级：中油资本是A股市场持有金融牌照较为齐全的综合性金融业务上市公司，公司业务收入主要以服务于石油产业链的利息收入为主，能源相关产业在国民经济中重要性较强，以及中国石油集团产业链稳定性较强，对公司利息为核心的业绩具备较强的支撑。预计公司2025-2027年归母净利润分别为48.02/48.88/49.26亿元，同比增速3.22%/1.79%/0.78%，PB为0.82/0.80/0.77倍，首次覆盖，给予“增持”评级。我们选取越秀资本（000987.SZ）、中粮资本（002423.SZ）、国投资本（600061.SH）作为可比公司。中油资本收入结构以净利息收入为主，我们采用PB估值法进行可比公司估值。可比公司2025年/2026年/2027年平均PB估值为0.97/0.92/0.94倍，公司对应年份PB估值为0.82/0.80/0.77倍，公司估值小于行业平均估值，具备一定估值提升的空间。风险提示：石油产业链景气度下降风险；宏观经济波动风险。资本市场价格波动风险；政策变动风险；第三方数据误差风险。,,华龙证券,增持,[None],2025-05-05,,增持,6042712,pdf_downloads/2025/2025-05-05/000617-中油资本（000617）：2024年报及2025年一季报业绩点评：定位优质产融金控平台，公司资产规模稳步提升.pdf,000617,中油资本,中油资本（000617）：2024年报及2025年一季报业绩点评：定位优质产融金控平台，公司资产规模稳步提升
杨晓天,事件：中油资本（000617.SZ）发布2024年年报，全年实现营业收入390.24亿元，同比增长0.08%，归属于上市公司股东的净利润同比下降8.14%至46.52亿元。观点：资产稳步提升，营收创历史新高。公司2024年资产总额10841.72亿元，同比增长1.01%，全年实现营业总收入390.24亿元，同比增长0.08%，创历史新高，市场整体降息背景下实现净利润99.00亿元。公司资产提升将有助于提升营收与利息业务能力，由于银行业整体信贷业务承压，公司定位产业金融，以服务油气产业和产业链为重点，受此影响贷款投放方向和规模长期保持稳定向好，预计公司营收能力将持续受益。利息业务收入稳中有增，产业金控平台助力息差保持稳定。银行业务2024年末资产总额4555.60亿元，同比增长5.84%，实现对外营业总收入167.40亿元，同比增长4.25%，实现净利润17.05亿元。财务公司资产总额5157.32亿元，全年实现对外营业总收入163.35亿元，实现净利润60.40亿元。公司利息业务基本盘保持稳定，在市场利率持续下行的背景下，公司背靠中石油的产业金控平台有望凸显息差稳定性，公司营收基本盘有望长期稳定。市值管理作为重要战略目标，分红政策有望持续稳定。公司确定了以“三个六”为核心的市值管理工作思路，从经营发展、ESG管理、市值管理3个方面提出相应的具体工作举措，将结合公司现状和未来发展战略制定与公司发展相契合的市值管理工作方案。公司连续7年执行“不低于归母净利润30%”的分红政策，2024年拟每10股派现1.17元（含税），派息率31.80%，分红总额14.79亿元。公司市值管理战略目标下，市值及分红政策有望持续保持稳定，公司股价吸引力有望提升。盈利预测及投资评级：中油资本是A股市场持有金融牌照较为齐全的综合性金融业务上市公司，公司业务收入主要以服务于石油产业链的利息收入为主，能源相关产业在国民经济中重要性较强，以及中国石油集团产业链稳定性较强，对公司利息为核心的业绩具备较强的支撑。预计公司2025-2027年归母净利润分别为48.48/48.80/49.50亿元，同比增速4.22%/0.65%/1.44%，PB为0.83/0.80/0.77倍，首次覆盖，给予“增持”评级。我们选取越秀资本（000987.SZ）、中粮资本（002423.SZ）、国投资本（600061.SH）、中航产融（600705.SH）作为可比公司。中油资本收入结构以净利息收入为主，我们采用PB估值法进行可比公司估值。可比公司2025年/2026年/2027年平均PB估值为0.90/0.85/0.84倍，公司对应年份PB估值为0.83/0.80/0.77倍，公司估值小于行业平均估值，具备一定估值提升的空间。风险提示：石油产业链景气度下降风险；宏观经济波动风险。,,华龙证券,增持,[None],2025-04-22,,增持,6017989,pdf_downloads/2025/2025-04-22/000617-中油资本（000617）：2024年业绩点评报告：定位优质产融金控平台公司资产规模稳步提升.pdf,000617,中油资本,中油资本（000617）：2024年业绩点评报告：定位优质产融金控平台公司资产规模稳步提升
"屈俊,于博文","核心观点银行、财务公司业务表现强势，支撑营收增速保持高位。截至2023年末，中油资本营收增速维持在20%以上。分部来看，财务公司全年营收增速高达36.9%，在总资产增速微弱下降的背景下，或主要受益于息差的改善以及交易性金融资产公允价值变动；昆仑银行全年营收增速11.2%，较23H1回落0.9pct，营收增速预计优于绝大多数上市银行，或主要来自净息差的支撑， 2021年以来，在“做小、做难、做专、做深”发展方向以及零售转型的引领下，其净息差实现逆势回升（23H1有所回落，但仍优于城商行平均水平）。尽管营收增速保持较高水平，但利润增速环比23Q3回落5.8pct至0.2%，主要受信用减值损失计提力度加大的影响，其中贷款、表外信用减值损失增加明显。资产规模温和扩张，各牌照有所分化。截至2023年末，中油资本总资产同比增速4.9%，环比23Q3回落4.9pct。分部来看，昆仑银行资产增速较22年提高2pct至11%，财务公司则延续微幅负增长，金融租赁公司2023年扩表明显提速，增速较22年抬升超10pct，表明疫情影响消除后，金租业务的修复相对显著。作为坚守产融结合的央企金控平台，市值管理考核有望助力其ROE提升。截至2023年末，中油资本ROE（摊薄）为4.92%，较22年小幅下降，测算股利支付率仍维持30%。2024年国资委召开会议，提出今年全面推开央企上市公司市值管理考核，中油资本作为央企金控平台，有望通过产融结合、融融协同的方式，改善营业成本，一是可以体现在管理费用端，二是产融结合所赋予的对石油链等企业的深刻理解能力，也可能助力改善信用成本，进而支撑利润增速以及ROE的企稳回升。在石油价格延续上涨、金融周期有望筑底、央企市值管理考核全面推进下，公司经营基本面有较好支撑，ROE有望进入上行通道。考虑到2023年利润增速低于预期，我们小幅调整盈利预测，预测公司24/25/26年归母净利润增速为20.9%/6.3%/11.5%，BVPS 为8.34/8.73/9.17元（24/25年前值为8.29/8.74元）,当前股价对应PB 为 0.7X/0.7X/0.6X。采用可比公司估值法，我们给予中油资本24年0.8倍PB，对应目标价为6.67元，维持“买入”评级。风险提示油价超预期回落；经济复苏不及预期；特定产业不良加剧暴露。",,东方证券,买入,[None],2024-04-01,,买入,5568211,pdf_downloads/2024/2024-04-01/000617-中油资本（000617）：2023年报点评：营收保持高增，资产温和扩张.pdf,000617,中油资本,中油资本（000617）：2023年报点评：营收保持高增，资产温和扩张
"屈俊,王晶","核心观点背靠油气产业链巨头的综合性金融公司，盈利模式以净利息收入为主。中油资本于2017年完成重组上市，成为中国石油集团旗下的全牌照金控公司。三大主营业务为商业银行、财务公司和金融租赁，净利息收入贡献近9成营收。2023年以来业绩改善明显，带动ROE企稳回升。子板块协同发力，财务公司和银行贡献核心营收。1、中油财务：集团成员企业专属的金融服务机构，贷款投向主要为采矿和交通行业，而绿色信贷、“一带一路”国际能源合作等方向正在塑造新的增长点，2023年以来营收增速实现改善。2、昆仑银行：作为能源领域特色银行，经营区域覆盖中石油主要生产区域，对公业务优势突出，但近年加速零售转型；国际业务发展成熟，有望受益于石油人民币结算体系。2020年以来，净息差逆势抬升，并保持资产质量整体稳定，业绩进入上升通道。3、昆仑金融租赁：依托母公司资金和客户资源，资产主要投向交通和能源板块，以国企为主的客户结构带来优异资产质量，并保持20%左右的租赁业务投放增速。牌照优势突出，周期因素叠加国企改革，ROE有望继续改善。中油资本手握7张金融牌照，一方面奠定了产业金融竞争优势，助力“以产促融，以融助产，融融协同”的落地，另一方面拥有更高的金控牌照竞争起点。公司本身受到石油行业周期和金融周期双重影响：1、国内石油产品消费持续复苏，同时能源安全上升到国家安全战略，增储扩展确定性强，国内石油企业经营基本面有望向好；2、金融周期或进入筑底阶段，对中油资本盈利水平回升有重要意义，以昆仑银行为例，过去两年油价强势回升，但ROE却连续下行，2023年以来改善势头的延续需要金融周期的支撑。此外，新一轮国企改革深入推进，引领央国企从价值发现到价值创造， ROE抬升有望成为中油资本的重点经营目标，并驱动估值中枢的修复。在石油周期相对平稳、金融周期有望筑底、新一轮国企改革背景下，公司经营基本面有较好支撑。预测公司23/24/25年归母净利润增速为6.9%/17.4%/9.4%，BVPS为7.89/8.29/8.74元,当前股价对应PB 为 0.6X/0.6X/0.6X。采用可比公司估值法，我们给予中油资本23年0.8倍PB，对应目标价为6.31元，首次给予买入评级。风险提示油价超预期回落；经济复苏不及预期；特定产业不良加剧暴露。",,东方证券,买入,[None],2024-01-26,,买入,5500648,pdf_downloads/2024/2024-01-26/000617-中油资本（000617）首次覆盖报告：牌照优势突出，坚守产业金融的央企金控平台.pdf,000617,中油资本,中油资本（000617）首次覆盖报告：牌照优势突出，坚守产业金融的央企金控平台
陈雳,中油资本是中石油集团下的综合性金融公司，牌照齐全作为一家拥有完整的资本市场资质的企业，中油资本已成为一家多元化的、集资管理、投资咨询、保险服务于一体的企业。它拥有多个子公司，公司控股参股昆仑银行、中油财务、昆仑金融租赁、中油资产、专属保险、中意财险、中意人寿、昆仑保险经纪、中银国际与中债信增等公司。公司紧密围绕国家相关倡议，近年来，公司产融结合工作突出，业务不断扩展至整个能源石油产业链。公司前三季度，公司的营业总收入达到了282.14亿元，同比增加21.09%，归属于母公司的净利润52.66亿元，同比增加5.95%，公司的各项业务都在稳步发展，不断提高效益。打造“中国特色估值体系”，受益一带一路建设和国企考核体系改革市场持续打造“中国特色估值体系”，公司有望率先受益于“一带一路”政策及央企新考核体系改革。中油财务和昆仑银行在一带一路建设中充分贡献力量。中油财务充分发挥境内外金融税收优惠政策，为集团内成员企业在“一带一路”沿线国家能源合作开发提供多项综合性金融服务。昆仑银行利用自身天然的地理优势，注册地在新疆，紧跟国家“一带一路”战略，大力支持新疆，开展能源金融合作，持续加快产融结合，不断做强做大产融结合的各项业务。此外，央企新考核体系改革后，选择用ROE替换净利润，重点突出企业盈利能力与盈利质量。随着国企改革首次使用ROE代替净利润增速，结合公司的经营计划，有望提高对盈利质量的重视程度，助力ROE提升。充分践行ESG投资理念， “中特估”大背景下，企业估值有望修复公司连续两年发布ESG报告，并持续践行相关理念。中特估与ESG宏观内涵层面具有契合之处：一是，两者均注重企业的长期价值，关注非传统财务因素；二是，两者均秉持社会可持续发展理念，注重企业在环境保护、绿色发展等方面的表现与贡献。中油资本的相关实践工作，强化了国内资本市场对ESG投资理念的重视程度。中特估大背景下，未来随着市场需求复苏、企业降本增效以及新增项目的开发，公司有望迎来新一轮价值重塑。首次覆盖予以“增持”评级我们预计 2023-2025年，公司可实现营业收入 342.4、363.2 和 380.1亿元；毛利率分别为 32.3%、32.8%、33.1%。归属于母公司净利润 58.5、64.1和 69.2亿元。对应 EPS0.46、0.49和 0.54 元。2023-2025年PE 约为 13.1、11.9和10.8倍。风险提示：石油产业链景气度下降；信托业务信用风险持续扩张；资本市场大幅波动。,,川财证券,增持,[None],2023-12-24,,增持,5464626,pdf_downloads/2023/2023-12-24/000617-中油资本（000617）深度报告：“中特估”加持、ESG投资价值凸显，产融业务稳定增长.pdf,000617,中油资本,中油资本（000617）深度报告：“中特估”加持、ESG投资价值凸显，产融业务稳定增长
夏芈卬,"事件：公司近日发布2023年三季度报，前三季度公司实现营业总收入282.14亿元，同比+21.09%，归母净利润52.66亿元，同比+5.95%，EPS为0.42元。加权ROE小幅回升0.16%至5.37%。截至报告期末，公司资产总额10,867.29亿元，较年初增长6.15%。财务公司、银行业务贡献拉高营收增速。财务公司、商业银行、金融租赁业务贡献公司超九成营收，利息收入作为主要收入来源，前三季度实现248.84亿元，同比+22.66%，结构化占比稳步增长。截至中报披露，公司上半年财务公司/商业银行/金融业务/其他业务/信托业务营收分别实现80.82/77.54/14.80/11.26/2.43亿元，同比+40.58%/+12.07%/-0.02%/+28.57%/-27.12%。上半年为应对LPR下调和贷款利差收窄背景，公司发力市场营销，稳步提升效益，同时，与中东、伊朗国家跨境结算增长推动昆仑银行净利润贡献高增，资产规模、存贷款规模均同比上升明显。央国企新考核体系改革为ROE提升蓄能。2023年3月，国资委将“两利四率”调整为“一利五率”， 用ROE替换净利润指标、营业现金比率替换营业收入利润率，有望引导企业提质增效，实现“一增一稳四提升”战略目标，稳固核心竞争力，公司近年来受资本市场波动、利差收窄影响，ROE有所下滑，公司2020/2021/2022年ROE分别为9.05%/6.09%/5.22%，2023前三季度ROE实现小幅回升至5.38%，系公司净利润微幅回升（同比+0.37%），后续公司深入拓展产业链金融，有望持续优化经营效益。出清中意财险股权或助力高效运营。2023年国资委发布《国有企业参股管理暂行办法》规定，国企要聚焦主责主业，严控非主业投资，不得通过参股等方式开展投资项目负面清单规定的禁止类业务。 公司2023年11月公告披露，拟转让中意财险51%股份，中意财险作为公司旗下财产保险公司，业务与中石油的专属保险部分体系重合，近年业绩波动大，转出有利于公司提高资产配置效率，促进结构优化进而提高盈利能力和质量。综上所述，随人民币国际化进程与 “一带一路”深入推进，公司有望与沿线国家深入合作，拓展国际业务深度广度。我们预计公司2023-25 年EPS 分别为0.46/0.50/0.55元，对应2023 年PE 为12.97x，调高为“买入”评级。风险提示：资本市场震荡，LPR下调持续；石油行业景气度下降；信用风险。",,太平洋证券,买入,[None],2023-11-22,上调评级,买入,5400177,pdf_downloads/2023/2023-11-22/000617-中油资本（000617）Q3点评：财务、银行稳步发力，改革助力提质增效.pdf,000617,中油资本,中油资本（000617）Q3点评：财务、银行稳步发力，改革助力提质增效
夏芈卬,中油资本Q1点评：银行财务公司贡献显著，国家战略结算链稳步推进 事件：公司近日发布2023年一季报，实现营业收入91.49亿元，同比增20.01%，归母净利润21.89亿元，同比增27.13%，EPS为0.17元，加权ROE为2.26%全牌照金融布局，打造一体化金融平台。中油资本通过控股与参股以下公司：昆仑银行、中油财务、昆仑金融租赁、中油资产、中意财险、昆仑保险经纪、中意人寿、中银证券、与昆仑资本等，实现金融业务全牌照运营，并依此打造一体化金融服务平台。截至2022年末，公司商业银行业务实现营收144.42亿元，营收贡献占比44.53%；财务公司实现营收125.51亿元，营收贡献占比38.7%；金融租赁业务实现营业收入28.84亿元，营收贡献占比8.89%；信托业务及其他业务分别实现营收5.3亿元、20.24亿元，营收贡献占比分别为1.64%与6.24%。其中昆仑银行、中油财务营收贡献占比较大，逐渐成为公司业绩“压舱石”。在2023年一季度，以财务公司为主要贡献的手续费及佣金收入达4.17亿元，以商业银行及融资租赁业务为主要贡献的利息收入达81.34亿元，同比增长分别达到+4.56%、+88.9%。依托中伊石油贸易，昆仑银行强化跨境支付结算体系。昆仑银行成立于 2002 年 12 月，前身为克拉玛依市城市信用社，2006 年 5 月改制成立克拉玛依市商业银行， 2010 年 5 月正式更名为“昆仑银行股份有限公司”。根据公司报告披露，昆仑银行依托与伊朗的石油贸易搭建起跨国结算与融资体系，目前已为中国与伊朗两国相关企业提供国际结算、外汇交易、跨境担保与融资等多方面金融业务，成为中伊双边贸易的主要金融窗口与渠道。服务“一带一路”发展战略，中油财务业务特色显著。根据公司公告披露显示，中油财务以优质的金融服务助力国家“一带一路”发展战略，并先后参与 15 个中亚、西亚、东南亚等“一带一路”沿线国家和地区的 51 个企业 158 个重点项目，依托母公司中国石油在油气方面的优势，为油气开采、工程建设、原油贸易、海外并购、设备进口等项目实施提供优质的资金保障和金融服务支持。随着海外动荡局势的加剧，国家加速推进“一带一路”战略，对沿线国家投资金额逐步增加，中油财务有望依托现有优势，继续扩大服务企业数量与营业规模。综上所述，我们预计公司2023-25年EPS分别为0.47/0.52/0.56元，对应2023年PE为17.29x，推荐级别为“买入”评级。,,太平洋证券,买入,[None],2023-05-31,上调评级,买入,5226337,pdf_downloads/2023/2023-05-31/000617-中油资本（000617）Q1点评：银行财务公司贡献显著，国家战略结算链稳步推进.pdf,000617,中油资本,中油资本（000617）Q1点评：银行财务公司贡献显著，国家战略结算链稳步推进
夏昌盛,中油资本是中石油集团旗下的综合性金融业务公司，产融结合突出：控股参股昆仑银行、中油财务、昆仑金融租赁、中油资产、专属保险、中意财险、中意人寿、昆仑保险经纪、中银国际与中债信增等公司，牌照齐全。产融结合下，由服务中石油集团，延伸至服务能源石油产业链，再扩张至服务“一带一路”等相关国家倡议。公司2022年营业收入同比+5%至324亿元，受信托业务信用减值计提和交易性金融资产公允价值下降影响，归母净利润同比-11%至49亿元。多牌照协同，共同服务于石油产业链及“一带一路”建设：商业银行、财务公司、金融租赁是公司的三大主要业务，2022年分部营收分别为144、126、29亿元，占比分别为45%、39%、9%，三者收入形式均为利息收入为主，分部归母净利润分别为21.31亿元、17.67亿元、6.76亿元，占公司归母净利润的比例分别为43%、36%、14%。中油财务作为中国石油集团司库平台，始终紧跟中石油集团国际化战略，充分发挥境内外金融税收优惠政策和统一平台优势，为中石油集团成员企业在“一带一路”沿线国家能源合作开发提供融资、国际结算及外汇交易等综合性金融服务。昆仑银行作为注册地在新疆的城市商业银行，发挥注册地区位优势，紧跟国家“一带一路”战略，大力支持新疆地区（丝绸之路经济带核心区）能源开发、能源金融合作，服务当地经济，促进新疆发展，加快产融结合、融融协同、业务创新，不断做强做大产融结合业务。国企改革有望引领公司高质量发展：央企新考核体系用ROE替换净利润，重点突出企业盈利能力与盈利质量，国资委对国有企业开展世界一流企业对标动员部署。中油资本的ROE近两年受息差收窄、信托业务风险、金融资产公允价值下降等影响，ROE大幅下滑，公司2023年经营计划提出将搭建一流企业指标体系。我们认为，随着国企改革首次使用ROE代替净利润增速，中油资本作为中石油旗下的上市公司，结合公司的经营计划，有望提高对盈利能力和盈利质量的重视程度，为ROE提升积蓄动能。2023Q1公司实现营业收入91.49亿元，同比+20.0%；归母净利润21.89亿元，同比+27.1%；平均ROE同比+0.42pct至2.26%。投资建议：我们预计2023E-2025E中油资本营业总收入分别为352.39、376.74、407.16亿元，分别同比增长8.66%、6.91%、8.07%；归母净利润分别为60.69、68.37、76.28亿元，分别同比增长23.41%、12.65%、11.56%。公司当前股价对应2023年17.64×PE。首次覆盖，给予“增持”评级。风险提示：大股东减持风险；石油产业链景气度下降；信托业务信用风险持续扩张；资本市场大幅波动带来公司的金融产品投资公允价值下跌。,,财通证券,增持,[None],2023-05-12,,增持,5210219,pdf_downloads/2023/2023-05-12/000617-中油资本（000617）：产融结合突出，多金融牌照协同服务石油产业链.pdf,000617,中油资本,中油资本（000617）：产融结合突出，多金融牌照协同服务石油产业链
"罗惠洲,董春晓","事件：公司近日发布2019年中报，实现营业总收入163.46亿元，同比下降0.54%；实现归母净利润40.8亿元，同比增加0.27%；ROE5.17%，同比下降0.37个百分点；截至2019年上半年末，中油资本资产总额9182.6亿元，较年初增长3.01%；期末归母净资产800.57亿元，较年初增长3.46%；EPS为0.45元/股。    
    财务公司、金融租赁业绩双升，银行、信托业务业绩下降。上半年，财务公司业务营业总收入82.04亿元，同比增长5.14%；金融租赁业务营业总收入17.49亿元，同比增长6.34%；商业银行业务营业总收入53.67亿元，同比减少8.91%；信托业务营业总收入3.30亿元，同比减少18.08；其他业务营业总收入6.96亿元，同比增长1.34%。    
    依托股东优势，打造“一站式”金融服务平台。公司利用中石油集团资源，深化产融结合业务，围绕油气产业链建立分区域、分条线的产融结合协调机制，在目前已实现产融结合区域协调机制中石油集团全覆盖的前提下，推进金融产品及服务的全覆盖工作。公司发挥资源整合优势，与各大银行构建战略合作伙伴关系，获得国家开发银行、工商银行、招商银行等10家银行综合授信额度支持。截至2019年6月30日，中石油集团及其下属公司在本公司及其所属金融企业的存款余额为2772.11亿元，贷款及应收融资租赁款余额为1851.47亿元，租入资产承诺为19,514.46万元，贷款承诺为583.46亿元元，开出保函4.01亿元。    
    三方股东增资中油财务逾220亿元。2019年7月，公司股东大会同意中油资本有限与中石油集团、中石油股份分别按照持股比例向中油财务进行增资，增资总金额为220.64亿元，其中，以中油财务资本公积转增注册资本金80.64亿元，三方股东现金增资140亿元（现金增资中36.05亿元认缴注册资本，其余部分计入中油财务资本公积）。    
    投资建议：中油资本依托产业背景，业务范围涵盖银行、财务公司、金融租赁、信托、保险、保险经纪、证券、信用增进等多个领域，产融结合业务优势明显。给予“增持”评级。    
    风险提示：市场波动风险；宏观经济下行带来的风险等。",,太平洋证券,增持,[None],2019-08-27,,增持,3891147,pdf_downloads/2019/2019-08-27/000617-中油资本（000617）中报点评：业绩稳健向好，股东增资中油财务.pdf,000617,中油资本,中油资本（000617）中报点评：业绩稳健向好，股东增资中油财务
