author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
吴砚靖,"通达信老牌焕新，拥抱金融科技新机遇:财富趋势以自主品牌&quot;通达信&quot;为核心，成立于1995年，是国内老牌的证券软件企业。商业模式以B2B为主,为超过90%的证券公司提供行情交易系统软件及维护服务，先发优势稳固。2024年，公司实现营业收入3.89亿元，归母净利润3.04亿元，毛利率为85.98%，财务结构稳健，现金流稳定。AI赋能业务增长，B端维护服务收入占主导，C端用户规模稳步扩张。2025年H1，研发费用率提升至30.19%。B端业务稳中有进，产品研发夯实基础:2025年H1，公司B端业务收入合计0.94亿元，受国密改造完成后的阶段性需求回落影响同比下滑17.4%，贡献总收入70.99%。信创领域，各产品模块的信创化改造均已顺利完成，其中通达信iTendx研究终端已在统信和麒麟国产桌面操作系统应用商店上架，以及通达信鸿蒙版PC客户端。此外，全品类金融数据库系统的建设基本完成，进一步完善了跨境市场数据服务能力。新业务线上，公司着重投入债券市场,目前，债券终端已经完成开发并在金融机构推广使用，支持更多衍生品行情和估值等数据，沟通聚合技术对接已经完成，推出了交易员端的工作台。用户规模持续扩张，C端有望持续改善:2025H1，公司C端收入重回双位数增长。公司通过线上销售模式，用户通过公司官网或APP应用商城下载免费版软件体验基础功能，付费用户规模稳步增长。公司推出AI产品如&quot;通达信TendencyGPT&quot;金融大模型和&quot;问小达&quot;智能证券助手，通过自然语言交互、智能选股、策略回测等功能提升用户体验。投资建议:预计公司2025-2027年营业收入分别为3.78/4.21/4.87亿元，增速分别为-2.75%/+11.53%/+15.73%,EPS分别为1.17/1.36/1.64元。当前股价对应PE估值分别为123.33/106.37/88.06倍，公司作为老牌证券软件，行业Know-how及先发优势明显，持续完善产品矩阵，首次覆盖给予&quot;推荐&quot;评级。投资建议:预计公司2025-2027年营业收入分别为3.78/4.21/4.87亿元，增速分别为-2.75%/+11.53%/+15.73%,EPS分别为1.17/1.36/1.64元。当前股价对应PE估值分别为123.33/106.37/88.06倍，公司作为老牌证券软件，行业Know-how及先发优势明显，持续完善产品矩阵，首次覆盖给予&quot;推荐&quot;评级。风险提示:资本市场波动的风险、技术创新进展不及预期的风险、国密改造或金融信创落地节奏不及预期的风险、B端业务存量市场竞争的风险。",,银河证券,推荐,[None],2026-01-26,,买入,8369714,pdf_downloads/2026/2026-01-26/688318-财富趋势（688318）：深度报告：通达信老牌焕新，乘金融科技新势.pdf,688318,财富趋势,财富趋势（688318）：深度报告：通达信老牌焕新，乘金融科技新势
"杨林,魏宗,张盛海",维持“增持”评级。我们预测公司2025-2027年归母净利润为3.35/3.57/3.85亿元，对应EPS预测值为1.31/1.39/1.50元，参考可比公司估值，给予公司2026年130倍PE，目标价为181.08元/股。深耕证券行情交易系统软件市场，竞争力位居前列。ToB端，公司主要面向国内证券公司提供行情分析系统、证券交易系统、智能服务系统等，并配套软件维护服务。其中以证券行情交易系统为核心产品，在该细分市场内，公司竞争厂商较少，仅包含同花顺、大智慧等。2025H1，公司证券行情交易系统及维护服务实现收入0.94亿元，同比-17.42%。在当前市场环境下，业务创新、监管要求的变化对系统供应商的研发能力和产品适应能力提出了更高的要求，公司依托技术实力和客户基础获得了良好的口碑和稳定的市场，业务已覆盖了国内 90％以上的证券公司。此外公司抓住资本市场深化改革的机遇，从商密改造、人工智能赋能、信创版软件、以及&quot;多端协同数字化中台&quot;等方面助力证券行业数字化转型。市场交投活跃，行情软件业绩弹性凸显。公司证券信息服务业务包括授权行情服务和金融数据服务，满足机构或者个人客户对行情揭示和分析、金融数据增值服务及个性化服务的需求。在当前市场交投活跃背景下，资本市场成交放量，投资者对行情软件和金融终端的付费意愿提高，行情软件未来业绩放量预期提升。2025H1，公司金融终端及信息服务业务实现收入0.38亿元，同比+15.73%。AI赋能产品进阶，信创加速推进。公司基于通达信人工智能开发平台，成功接入DeepSeek大模型，上线了“AI 写公式” 功能，并通过知识库与 RAG 技术持续迭代。此外，通达信PC版已上线“问小达2.0”证券Agent，内置查证券、选证券、查资讯、查公告、查研报、查宏观、联网搜索及百科等八大辅助工具。在信创领域，截止2025年上半年，公司各产品模块的信创化改造均已顺利完成，其中通达信iTendx研究终端已在统信和麒麟国产桌面操作系统应用商店上架，除了鸿蒙手机版上线外，也推出了通达信鸿蒙版PC客户端。风险提示。行业竞争加剧，资本市场波动，AI落地不及预期。,,国泰海通,增持,[None],2026-01-09,,买入,8319972,pdf_downloads/2026/2026-01-09/688318-财富趋势（688318）：跟踪报告：受益市场交投活跃，AI赋能产品进阶.pdf,688318,财富趋势,财富趋势（688318）：跟踪报告：受益市场交投活跃，AI赋能产品进阶
"夏芈卬,王子钦",事件：财富趋势发布2025年半年度报告。报告期内，公司实现营收1.33亿元，同比-9.96%；实现归母净利润1.07亿元，同比+6.61%。软件信息行业发展，金融数字转型提速。2025上半年，我国软件业务收入70585亿元，同比+11.9%，利润总额8581亿元，同比+12.0%。该行业不仅为经济发展提供技术保障，更在推动数字化转型与业务创新中扮演着核心角色。收入端，公司2025H1实现营收和归母净利润分别为1.33、1.07亿元，其中Q2单季实现营收和归母净利润分别为0.78、0.61亿元，同比分别+1.88%、+20.59%。2025年上半年，金融科技行业继续保持快速发展。随着人工智能、大数据、云计算等技术的广泛应用，金融行业的数字化转型不断推进。在这一背景下，证券信息服务和金融软件的市场需求持续增长。B端软件销售回落，C端信息服务增长。公司通过智能化的数据处理和决策支持系统，满足了机构和个人投资者对高端证券信息服务的需求。业务端，公司上半年在软件服务、证券信息服务及证券行情交易系统及维护服务的营收分别为0.60、0.38、0.35亿元。其中，软件服务收入虽受到市场需求下降的影响，同比回落1.5%，仍占营业收入44.78%。C端证券信息服务同比+15.73%，占比28.94%。公司客户覆盖国内90%证券公司，表现亮眼，尤其是在云计算和大数据分析领域，带动了部分增值服务的需求。成本端，报告期内公司销售费用、管理费用、研发费用分别为292.56、452.61、4013.64万元，其中销售费用和管理费用同比分别-6.21%、-7.41%，成本管控良好。技术研发持续投入，前瞻布局着眼未来。面对市场压力，公司持续加大在人工智能、大数据和云计算等领域的技术创新和研发投入，年内获得了4个软件著作权，并有多个项目正在研发过程中。报告期内，公司投入研发费用4013.64万元，占公司总收入30.19%。公司在人工智能项目产品功能拓展、平台生态构建和核心技术升级方面取得了重大突破，推动了“问小达”系统从智能问答助手向证券分析智能体的进化。人工智能平台接入DeepSeek等大模型，上线了“AI写公式”功能，并通过知识库与RAG技术持续迭代，显著提升了数据信息生成质量、效率和用户交互体验。投资建议：公司在技术创新上的持续投入使其具备了长期增长的潜力，未来业务增量可期。预计2025-2027年营收为4.20、5.19、5.13亿元，归母净利润为3.41、4.20、4.25亿元，EPS为1.33、1.64、1.66元，对应9月29日收盘价的PE估值为121.79、98.71、97.74倍。维持“买入”评级。风险提示：资本市场波动影响、技术创新进展不及预期,,太平洋证券,买入,[None],2025-10-02,,买入,6502501,pdf_downloads/2025/2025-10-02/688318-财富趋势（688318）：2025 年中报点评：业绩拐点已现，AI金融有望重估.pdf,688318,财富趋势,财富趋势（688318）：2025 年中报点评：业绩拐点已现，AI金融有望重估
"王倩雯,舒思勤,孟灿","业绩简评2025年8月29日，公司披露2025年度中期业绩：公司2025年上半年实现营收1.33亿元，同比下滑10.0%，毛利润同比下滑13.3%,扣非后归母净利润为0.67亿元，同比下滑13.8%。2025年第二季度，公司营业收入为0.78亿元，同比增长1.9%，毛利润同比下滑5.0%；扣非后归母净利润为0.41亿元，同比增长13.3%。经营分析To B的软件销售及服务之和2025年上半年为0.94亿元，同比下滑17.4%。目前公司债券终端已经完成开发并在金融机构推广使用，支持更多衍生品行情和估值等数据，推出了交易员端的工作台。全品类金融数据库系统的建设基本完成，推出了新版港股、美股、外盘数据库，进一步完善了跨境市场数据服务能力。此外，公司成功推动了“问小达”系统从智能问答助手向证券分析智能体的进化，上线了“AI写公式”功能，并通过知识库与RAG技术持续迭代。To C端证券信息服务2025年上半年营收为0.38亿元，同比增长15.7%。公司将不断扩展通达信个人版产品的覆盖面，努力扩大通达信App端的用户规模。盈利预测、估值与评级根据2025年中报，我们预计2025~2027年营业收入分别为3.7/3.8/4.1亿元，同比增长-4.0%/2.5%/5.8%；归母净利润分别为3.2/3.3/3.5亿元，同比增长5.7%/2.1%/6.4%，对应95.8/93.9/88.2倍PE，维持“买入”评级。风险提示国密改造或金融信创落地节奏不及预期；C端业务开展不及预期；资本市场剧烈波动风险。",,国金证券,买入,[None],2025-08-31,,买入,6371577,pdf_downloads/2025/2025-08-31/688318-财富趋势（688318）：加大债券研发，完善跨境市场服务能力.pdf,688318,财富趋势,财富趋势（688318）：加大债券研发，完善跨境市场服务能力
"孟灿,舒思勤",业绩简评2025年3月28日公司披露年报，24年实现营收3.89亿元，同比下降10.51%；实现归母净利润3.04亿元，同比下降2.18%；扣非归母净利润2.71亿元，同比下降7.02%。经营分析分业务来看，24年软件销售收入1.53亿元，同比下降26.83%，主要受到市场波动、金融机构IT投入放缓影响，券商行情交易系统项目减少；在软件销售的免费维护期满后，公司按照合同的一定比例收取维护服务费，24年软件服务收入1.59亿元，同比增长 2.94%；受益于Q4资本市场回暖，公司证券信息服务营收0.76亿元，同比增长9.91%。公司毛利率为85.98%，较上年同期提升0.52pct，主要系硬件采购减少，优化后台和客户端减少实体机房；公司员工人数同比减少4.81%，带动销售/管理费用分别同比下降29.6%/8.0%；此外公司新增对福建新意科技投资收益0.42亿元，使得扣非归母净利率提升2.62pct。积极进行AI投入，C端功能不断升级。24年公司研发费用率为23.5%，较上年同期增长6.16pct，主要用于大模型开发及AI云服务器。公司“通达信Tendency GPT”于24年6月获得网信办备案；基于大模型语义解析的问小达V2.0已经试上线；数据产品广泛采用大模型标注和智能图文采集系统；在App端推出AI阅读助手等产品，有望带动月活量持续提升。盈利预测、估值与评级根据公司年报，我们预计2025-2027年公司实现营收4.47/5.06/5.67亿元，同比增长14.80%/13.40%/11.90%；预计归母净利润为3.38/3.74/4.12亿元，同比增长11.22%/10.69%/10.00%，对应80.59/72.81/66.19倍PE，维持“买入”评级。风险提示金融信创落地节奏不及预期；C端业务开展不及预期；投资产品公允价值调减的风险。,,国金证券,买入,[None],2025-03-29,,买入,5967846,pdf_downloads/2025/2025-03-29/688318-财富趋势（688318）：受益于市场回暖，AI功能持续优化.pdf,688318,财富趋势,财富趋势（688318）：受益于市场回暖，AI功能持续优化
"刘雯蜀,童非,张致远",B端基础稳健，C端具备潜力B端，“通达信”软件品牌在机构中具有较高认可度，公司在券商行情交易系统市场市占率领先，目前已覆盖国内超过90%的拥有经纪业务资质的证券公司。 C端，产品体系完善，证券信息服务收费终端主要分为基础行情、专业研究、高端决策三大类，可满足不同类型投资者需求。移动端APP月活位居三方证券APP第7。2018-2023年，证券信息服务业务CAGR为20.9%，快速增长。“9.24”行情带动成交额倍增2024年9月24日以来，沪深股市成交额显著上升，从9月23日时的5244亿元增长至10月8日的3.2万亿元，11月7日，成交额为2.4万亿元。我们认为，如果未来货币政策、财政政策持续发力提振国内经济、改善信心，则市场成交额有望持续保持在高位，非银IT有望持续受益。对公司而言，本轮行情下，B端业务受益于下游券商经营改善，预算有望提升。C端业务受益于增量投资者入市以及成交活跃，具备弹性。新投资者入市，增量空间下，业务增长机会更多，也给行业格局变化带来机会。与同花顺、指南针、东方财富相比，10月8日至今上涨幅度较小，公司涨幅为25.1%，上述可比公司则分别上涨69.5%、57.1%、47.8%。考虑到公司规模小、人效高、资金充裕，我们认为公司仍有较好成长空间与弹性，在当前极为活跃的市场下，如果公司能够加大市场投入、升级产品，则有望获取增量市场，扩大市场份额。信创夯实基础，AI打开空间公司重视技术，研发费用在期间费用中占主导地位。伴随公司持续研发，丰富产品矩阵，市场有望进一步打开。1）信创方面，通过编码、安全、密码积累，公司在数据安全技术领域，公司提出全栈信息技术创新，为证券公司提供基于商密、信创、多端协同数字化中台的解决方案。移动端，通达信HarmonyOS网上交易系统软件V1.0上线华为鸿蒙应用商店，未来功能将逐步完善，计划2024年底实现与 Android和iOS功能一致。2）AI方面，公司继续深入生成式AI、语言模型等领域的研究， 现有产品问小达自然语言理解(NLP)持续优化中；TendencyGPT金融大模型获得国家深度合成备案，并试上线手机app和PC公版软件，丰富了智能金融服务渠道。盈利预测与估值预计2024-2026 年公司营业收入达到 4.51、5.23、6.07亿元，同比+3.86%、+15.75%、+16.18%；归母净利润分别为 3.26、3.53、4.17 亿元，同比+4.86%、+ 8.34%、+18.10%。以同花顺、指南针作为可比公司，公司2024-2026年对应PE为101、93、79，可比公司对应PE的均值为198、121、94。首次覆盖，给予“买入”评级。风险提示竞争风险、资本市场风险、研发风险。,,浙商证券,买入,[None],2024-11-13,,买入,5829714,pdf_downloads/2024/2024-11-13/688318-财富趋势（688318）：深度报告：充分受益市场成交额倍增，C端通达信夯实增长基础.pdf,688318,财富趋势,财富趋势（688318）：深度报告：充分受益市场成交额倍增，C端通达信夯实增长基础
"王倩雯,孟灿","2024年8月28日，公司披露2024年度中期业绩：公司2024年上半年实现营收1.5亿元，同比增长0.1%；扣非后归母净利润为0.8亿元，同比下滑17.9%；剔除财务费用影响的扣非后归母净利润为0.6亿元，同比下滑7.6%。2024年第二季度，公司营业收入为0.8亿元，同比下滑7.0%；扣非后归母净利润为0.4亿元，同比下滑32.5%；剔除财务费用影响的扣非后归母净利润为0.3亿元，同比下滑23.1%。经营分析分业务而言，To C的证券信息服务为0.3亿元，同比增长0.4%；To B软件销售及维护服务之和为1.1亿元，同比增长1.3%，主要由于公司在商密改造、信创版软件、以及“多端协同数字化中台”等方面助力证券行业数字化转型，且新增债券行情交易数据接入服务。成本费用方面，上半年公司成本费用之和为0.8亿元，同比增长8.8%，其中销售和管理费用均下滑，但研发费用同比增长30.1%，主要由于本期研发直接投入较上年同期增长0.1亿元。公司上半年投资收益较上年同期增长0.2亿元，主要由于公司新增新意科技投资，且本期现金管理中理财计划和信托计划收益增加。盈利预测、估值与评级根据 2024 年中报，我们预计 2024~2026 年营业收入分别为
4.3/4.2/4.2 亿元，同比增长-1.4%/-2.3%/0.8%；归母净利润分别为
3.1/2.8/2.9 亿 元 ，同比增长 -0.9%/-8.1%/1.6% ， 对 应
48.6/52.9/52.0 倍 PE，维持“买入”评级。风险提示国密改造或金融信创落地节奏不及预期；C端业务开展不及预期；投资产品公允价值调减的风险。",,国金证券,买入,[None],2024-08-29,,买入,5740188,pdf_downloads/2024/2024-08-29/688318-财富趋势（688318）：主营业务平稳发展，加大研发支出.pdf,688318,财富趋势,财富趋势（688318）：主营业务平稳发展，加大研发支出
"王倩雯,孟灿","2024年3月28日，公司发布2023年报。公司2023年全年实现营收4.3亿元，同比增长35.2%；扣非后归母净利润为2.9亿元，同比增长37.8%；剔除财务费用影响的扣非净利润为2.5亿元，同比增长54.3%。单四季度公司实现营收1.9亿元，同比增长49.7%；扣非后归母净利润为1.3亿元，同比增长66.1%；剔除财务费用影响的扣非净利润为1.2亿元，同比增长83.9%。经营分析公司营业收入增速较其他To B金融IT公司有明显超额，主要系公司积极推进国产商业密码相关系统改造、以及部分信创产品在券商部署上线，推动公司软件销售业务营收达2.1亿元，同比增长76.1%。2023年公司对香港子公司增资2亿元，进一步拓展香港和境外市场；以自有资金5.94亿元受让新意科技33%股权，拓展金融证券业市场布局。公司经营管理能力持续改善，2023年成本及三费之和为1.59亿元，同比增长12.7%，费用增速放缓。2023年公司人均创收达90.1万元、人均扣非后创利达60.5万元，均创历史新高。此外，基于审慎原则，公司对湖州鲸德股权投资公司的股权投资计提减值2,700万元，对公司净利润产生一定影响。2024年公司着重投入债券市场产品的开发，同时加强全品类金融数据库系统的建设，力求形成新的增长点。此外，公司预计将为投资人提供智能投资分析、智能投顾、智能客服等产品，努力扩大通达信APP端的用户规模，进一步提升公司的收入规模和盈利水平。盈利预测、估值与评级基于公司2023年报以及对公司积极拓展产品矩阵的预期，我们预计公司2024~2026年营业收入分别为5.3/6.6/8.1亿元，同比增长22.8%/23.2%/23.2%；归母净利润分别为3.9/4.8/5.9亿元，同比增长23.9%/23.9%/24.3%，分别对应36.6/29.5/23.8倍PE，维持“买入”评级。风险提示国密改造或金融信创落地节奏不及预期；C端业务开展不及预期；投资产品公允价值调减的风险。",,国金证券,买入,[None],2024-03-29,,买入,5562884,pdf_downloads/2024/2024-03-29/688318-财富趋势（688318）23年报点评：信创促进营收积极增长，24年打造多业务矩阵.pdf,688318,财富趋势,财富趋势（688318）23年报点评：信创促进营收积极增长，24年打造多业务矩阵
"陈宝健,闫宁",金融IT领军，维持“买入”评级公司发布2023年业绩预告，公司国密系统和信创产品持续上线，收入实现快速增长。在政策推动下，信创替换和国密改造有望持续推进，公司有望持续受益。我们维持盈利预测，预计公司2023-2025年归母净利润分别为3.01、3.97、5.19亿元，对应EPS分别为2.30、3.03、3.97元，对应当前股价PE分别为48.5、36.8、28.1倍，维持 “买入”评级。事件：公司发布2023年年度业绩预告公司预计2023年实现收入4.1-4.4亿元，同比增长27.54%-36.87%，预计实现归母净利润3.10-3.45亿元，同比增长101.86%-124.65%，预计实现扣非归母净利润2.69-3.04亿元，同比增长27.05%-43.58%。公司业绩超预期，2B业务韧性凸显公司利润大幅增长，超我们预期，主要系2022年公司对部分投资产品公允价值进行了大幅调减，2023年公司加强成本与费用的管控，经营管理能力持续改善，扣非利润增速快于收入增速，盈利水平提升。公司主要为B端证券公司提供证券行情交易系统软件和证券信息服务，2023年收入实现快速增长，主要系公司国产商业密码相关信息安全类系统和部分信创产品在各大券商部署上线，表明国密改造和信创产品需求相对刚性，公司2B业务韧性凸显。信创替换和国密改造持续推进，公司有望持续受益2023年5月，《证券期货业网络和信息安全管理办法》开始实行，明确要求金融相关机构需开展信息技术创新以及商用密码应用相关工作。2023年6月，中证协发布三年提升计划，鼓励券商加大信息技术投入，持续提高核心系统自主掌控能力。在政策推动下，信创替换和国密改造有望持续推进。信创方面，公司提出全栈信息技术创新，为证券公司提供基于商密、信创、多端协同数字化中台的解决方案，能够高效完成信创适配工作；国密方面，公司拥有完全自主知识产权的商用密码改造方案正在各大券商部署上线，公司预计未来1-3年会是密集改造期，公司有望持续受益。风险提示：券商IT投入不及预期；新产品开发不及预期；市场竞争加剧。,,开源证券,买入,[None],2024-01-21,,买入,5490557,pdf_downloads/2024/2024-01-21/688318-财富趋势（688318）：公司信息更新报告：公司业绩超预期，有望持续受益于信创和国密改造.pdf,688318,财富趋势,财富趋势（688318）：公司信息更新报告：公司业绩超预期，有望持续受益于信创和国密改造
"王倩雯,孟灿",业绩简评2023年10月30日，公司披露第三季度业绩报告：前三季度实现营收2.49亿元，同比增长26.07%；实现毛利润2.02亿元，同比增长25.26%；公司前三季度归母净利润为1.98亿元，同比增长196.5%，主要系上年同期债权投资调减公允价值所致；实现扣非后归母净利润1.6亿元，较上年同期增长21.7%。经营分析公司单Q3实现营收1.0亿元，同比增长26.7%，预计系To B业务保持较高增速，券商国密及信创改造持续推进所致。公司单Q3成本费用同比增长17.4%，低于营收增速。其中，公司单Q3毛利率为82.7%，较上年同期略降1.6pct；销售/管理/研发费用率分别为2.4%/1.9%/16.4%，同比变动0.2pct/-1.1pct/-3.8pct，控费效果良好。公司持续加强C端业务发展和AI能力建设。目前公司问小达产品支持智能选股、指令直达、资讯检索、答疑解惑等功能。根据易观千帆数据，23年9月通达信APP的MAU为193.4万人，在第三方证券APP中排名第7。10月29日，公司以自有资金5.94亿元受让新意科技33%股权，进一步拓展金融证券业市场布局。新意科技产品包括证券综合管理平台、客户账户集中管理系统、结算任务管理系统等，客户涵盖上海证券交易所、中证登上海分公司及深圳分公司、中国金融期货交易所及多家券商。据不完全统计，目前约有101家金融机构正在使用新意结算产品，约占90%的市场份额。盈利预测、估值与评级根据公司三季报经营情况，我们将2023~2025年营业收入预测由4.7/5.8/7.1亿元调降至4.1/5.1/6.2亿元，同比增长28.2%/22.8%/22.9%；将 2023~2025年归母净利润预测由3.8/4.6/5.7亿元调降至3.3/4.0/4.9亿元，同比增长115.1%/19.8%/24.8%。公司股票现价对应PE估值为56.4/47.1/37.7倍，维持“买入”评级。风险提示国密改造或金融信创落地节奏不及预期；C端业务开展不及预期；投资产品公允价值调减的风险。,,国金证券,买入,[None],2023-10-31,,买入,5368611,pdf_downloads/2023/2023-10-31/688318-财富趋势（688318）：ToB业务持续高增，投资新意拓展布局.pdf,688318,财富趋势,财富趋势（688318）：ToB业务持续高增，投资新意拓展布局
