author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"查浩,刘晓宁,戴映炘",公司发布2025年三季报。公司25Q1-Q3实现营业收入94.5亿元，同比下降1.4%，实现归母净利润9.01亿元，同比增长0.75%。其中25Q3实现营业收入30.1亿元，同比增长9.3%，实现归母净利润2.67亿元，同比增长0.3%。控费控成本效果初步显现，费用率同比下滑。公司近年来销售费用率有所提升，主要与公司系统部署扩充二级营销力量和支撑保障能力、强化一二级营销协同市场开拓相关，前三季度销售费用率4.34%（同比+0.5pct）、总费用率12.42%（同比+1.04pct），但25Q3销售费用率为4.58%（同比-0.78pct）、总费用率13.98%（-1.79pct）均同比有明显改善。此外公司25Q3毛利率为24.16%（同比-0.36pct），通过控制成本有效对冲了电表和配电设备价格下滑压力，保证公司整体业绩稳定。特高压迎来交付高峰，远海风电有望打开直流输电空间。今年国内特高压直流迎来投产高峰，预计有4条特高压直流投产，直流输电板块有望迎来快速增长。展望十五五海上风电有望走出低谷且向深远海发展，柔直预计将成为海上风电的主要送出技术，公司作为我国直流输电设备龙头企业之一有望充分受益。此外三北地区新能源消纳压力增大，特高压作为主要消纳手段，长期需求也有望充分保证。盈利预测与评级：我们预计公司2025-2027年归母净利润为13.5/15.7/18.5亿元，同比增速分别为20.8%/16.7%/17.7%，当前股价对应的PE分别为19/17/14倍。维持“买入”评级。风险提示：电网投资力度下滑，特高压核准不及预期，网外业务增长不及预期,,华源证券,买入,[None],2025-11-23,,买入,8165155,pdf_downloads/2025/2025-11-23/000400-许继电气（000400）：成本控制效果显著，十五五直流输电需求有望高增.pdf,000400,许继电气,许继电气（000400）：成本控制效果显著，十五五直流输电需求有望高增
杨帅波,"许继电气(000400)业绩稳健增长，看好“十五五”柔直技术的应用提升投资要点事件：2025年10月27日，公司发布2025年三季报。2025Q1-3,公司营收94.5亿元，同比-1.4%；归母净利润9.0亿元，同比+0.8%；其中2025Q3公司营收30.1亿元，同环比分别+9.3%/-26.7%，归母净利润2.7亿，同环比分别+0.3%/-37.3%。费用端：持续投入研发，费用率整体有所提升。2025Q1-3，公司毛利率、净利率分别为23.9%/10.6%，同比分别+1.9pcts/-0.1pct，公司主要费用中，销售费用率（4.3%）、财务费用率（-0.4%）和研发费用率（5.2%）有所上升，管理费用率（3.4%）略微下降，四项费用率总体上升1.0pct，影响公司的盈利能力。“十五五”期间柔直技术的应用有望进一步提升。2025年11月10日，国家发改委和能源局发布《关于促进新能源消纳和调控的指导意见》，新能源消纳需要强化电网技术创新，试点试验高比例新能源特高压柔性直流输电、大容量高电压海上柔性直流海缆输电技术以及多端直流孤岛运行技术，公司的换流阀产品有望持续开拓。盈利预测与投资评级:我们预测公司2025-2027年营收分别为185.8/204.8/225.3亿元，归母净利润分别为13.0/15.4/18.0亿元，对应PE分别为23/19/16倍，维持“买入”评级。风险提示：电网投资不及预期风险、特高压项目建设不及预期风险、行业竞争加剧风险；需求不及预期的风险。",,中邮证券,买入,[None],2025-11-12,,买入,7640099,pdf_downloads/2025/2025-11-12/000400-许继电气（000400）：业绩稳健增长，看好“十五五”柔直技术的应用提升.pdf,000400,许继电气,许继电气（000400）：业绩稳健增长，看好“十五五”柔直技术的应用提升
"邓永康,李佳,许浚哲",业绩稳步增长，毛利率持续改善事件：2025年10月27日，公司发布2025年三季报。2025年前三季度公司实现营业收入94.54亿元，同比下降1.38%；归母净利润9.01亿元，同比增长0.75%；扣非归母净利润8.77亿元，同比增长1.48%。单2025年第三季度，公司实现营业收入30.06亿元，同比增长9.30%；归母净利润2.68亿元，同比增长0.26%；扣非归母净利润2.59亿元，同比增长2.34%。2025年前三季度公司毛利率同比、2025年第三季度毛利率环比持续改善。毛利率方面，2025年前三季度公司毛利率同比提升1.94Pcts至23.88%，2025年第三季度公司毛利率环比提升0.25Pct至24.16%。费用率方面，公司2025年前三季度公司销售费用率、管理费用率、研发费用率、财务费用率分别为4.34%、3.35%、5.15%、-0.42%，公司销售费用率、管理费用率等仍具备一定压降空间。2025年前三季度公司存货金额持续提升。2025年前三季度公司存货金额提升至34.24亿元，较2025年上半年、2024年前三季度的29.35亿元、33.77亿元持续增长，对公司后续业务增长提供相关支撑。国家电网特高压项目招标稳步推进，公司直流输电业务板块业务有望受益。近日，国家电网发布2025年特高压项目第四次设备招标采购公告，对蒙西-京津冀、藏粤工程两大特高压工程相关设备进行招标，涉及换流阀、直流量测设备、直流输电控制保护系统等核心设备，随国家电网对特高压相关线路招标持续推进，公司直流输电等相关业务板块有望受益。研发投入持续加码，已在电力电子多个领域实现创新性突破。2025年前三季度公司研发费用率达5.15%，较2025年上半年、2024年前三季度的4.71%、4.65%持续提升，公司研发投入方面持续加码，在电力电子产品方面实现突破，6.5千伏/3千安IGBT柔直换流阀完成挂网，35兆瓦IGBT制氢电源实现首台套应用。投资建议：我们预计公司2025-2027年营收分别为183.46、205.60、231.89亿元，对应增速分别为7.4%、12.1%、12.8%；归母净利润分别为13.74、16.75、21.28亿元，对应增速分别为23.0%、21.9%、27.1%，以10月30日收盘价为基准，对应2025-2027年PE为19X、16X、13X，公司是特高压换流阀和控制保护系统龙头企业，盈利能力持续优化，维持“推荐”评级。风险提示：电网投资不及预期风险，原材料价格大幅波动风险，新领域拓展不及预期风险等。,,民生证券,推荐,[None],2025-10-31,,增持,7085141,pdf_downloads/2025/2025-10-31/000400-许继电气（000400）：业绩稳步增长，毛利率持续改善.pdf,000400,许继电气,许继电气（000400）：业绩稳步增长，毛利率持续改善
"徐强,房青,任苒威",盈利预测与投资评级。预计2025-2027年，公司归母净利润13.41亿元、16.19亿元、19.36亿元，增速为20.1%、20.7%、19.6%。对应EPS 1.32元、1.59元、1.90元。结合公司市场地位，未来成长性，以及同业估值，给予公司2026年21倍PE，目标价33.39元，维持“增持”评级。2025第三季收入提速，2025前三季毛利率明显提升。2025前三季，公司收入94.54亿元，同比降1.38%；归母净利润9.01亿元，同比增0.75%。2025第三季，公司收入明显提速，同比增9.30%，比上半年收入同比降5.68%有明显好转。2025前三季，公司综合毛利率23.88%，同比增1.94pct。源于产品结构变化以及持续开展工艺和设计优化等降本增效措施。2025第三季期间费率下降。2025前三季，公司期间费率12.42%，同比增1.04pct。2025第三季，公司期间费率13.98%，同比降1.79pct。 2025前三季：（1）销售费率4.34%，同比增0.50pct。源于公司强化二级营销体系，增加一线营销人员，强化一二级营销协同市场开拓，协同优势进一步提升。（2）管理费率3.35%，同比降0.01pct。（3）研发费率5.15%，同比增0.50pct。（4）财务费率-0.42%，同比增0.04pct。国内市占率稳步提升、海外拓展成效显著。（1）国内：2025年以来，公司在国网省招市场占有率同比提升，区域联采一二次融合成套柱上断路器及一二次融合成套环网箱合计中标额、占有率排名均保持领先。南网市场订货同比增长显著。（2）海外：2025年以来，公司海外拓展成效显著，移动变电站、直流测量、环网柜设备进入沙特、巴西、西班牙等市场，充电桩系列产品成功入围泰国、秘鲁等国家电力公司短名单。风险提示。特高压建设进度不达预期，电网投资不达预期，海外拓展不达预期。,,国泰海通,增持,[None],2025-10-30,,买入,7018930,pdf_downloads/2025/2025-10-30/000400-许继电气（000400）：前三季毛利率明显提升，第三季收入提速.pdf,000400,许继电气,许继电气（000400）：前三季毛利率明显提升，第三季收入提速
"曾朵红,谢哲栋,司鑫尧","事件：公司25年Q1-3营收94.5亿元，同比-1.4%，归母净利润9亿元，同比+0.8%，扣非净利润8.8亿元，同比+1.5%,毛利率23.9%，同比+1.9pct，归母净利率9.5%，同比+0.2pct；其中25年Q3营收30.1亿元，同比+9.3％，归母净利润2.7亿元，同比+0.3%，扣非净利润2.6亿元，同比+2.3%，毛利率24.2%，同比-0.4pct，归母净利率8.9%，同比-0.8pct。业绩基本符合市场预期。特高压在手订单充沛，十四五待建+十五五规划确保中长期行业景气度。25Q1-3电网基础建设完成额4378亿元，同比+10%，电网资本开支保持了较快增长；25Q1-3已有4条特高压直流实现投运，公司中标订单陆续交付，我们预计25Q4有望完成阳江海风项目交付确收，对利润形成有力支撑。展望十五五，我们预计有6条十四五待建项目在十五五阶段核准建设，十五五规划+深远海风柔直外送+省间背靠背柔性输电项目需求量大，公司换流阀份额稳固，十五五阶段柔直业务收入有望实现高速增长。传统主业稳健，新能源+充电桩盈利好转，核聚变电源布局未来。1）公司变配电业务预计保持稳健增长，配电一次设备持续降本对冲配电集采降价影响，展望全年变配电+中压供用电业务有望维持0-10%平稳增长；2）公司新能源业务剥离EPC毛利率水平大幅改善，充换电设备及其他受益于高压大功率桩渗透率提升+核聚变电源业务，我们预计毛利率端也有望实现大幅提升；3）公司是国内领先的核聚变磁体电源供应商，并成功研制了首台300MVA脉冲供电系统，在可控核聚变电源领域实现技术和产品领先，有望成为公司重要的第二增长曲线。控费效果良好，合同负债稳健增长。公司25年Q1-3期间费用11.7亿元，同比+7.6%，费用率12.4%，同比+1pct，其中Q3期间费用4.2亿元，同比-3.1%，费用率14%，同比-1.8pct；25年Q1-3经营性现金净流入19.1亿元，同比+140.6%；25Q3末合同负债21.76亿元，同比+15%，保持稳健增长。盈利预测与投资评级：我们维持公司25-27年归母净利润预测分别为14.26/17.05/21.26亿元，同比+28%/20%/25%，现价对应PE分别为19x、16x、13x，维持“买入”评级。风险提示：行业竞争加剧，下游需求不及预期，原材料价格波动。",,东吴证券,买入,[None],2025-10-28,,买入,6897731,pdf_downloads/2025/2025-10-28/000400-许继电气（000400）：特高压柔直输电需求旺盛，核聚变电源龙头蓄势待发.pdf,000400,许继电气,许继电气（000400）：特高压柔直输电需求旺盛，核聚变电源龙头蓄势待发
"刘俊,边文姣,戚腾元",2025年10月28日│中国内地许继电气发布三季报：Q3实现营收30.06亿元（yoy+9.30%，qoq-26.66%），归母净利2.68亿元（yoy+0.26%，qoq-37.25%），扣非归母净利2.59亿元（yoy+2.34%，qoq-37.49%）。公司是中电装骨干企业，业务广泛覆盖新型电力系统输变配用核心环节，业绩有望伴随国网总投资稳步增长。公司的直流输电业务收入伴随特高压周期建设高峰实现高增，毛利率伴随提质增效+收入结构优化实现提升，我们看好公司盈利能力持续提升，维持“买入”评级。业绩表现稳健，毛利率显著提升2025年Q1-Q3实现营收94.54亿元（yoy-1.38%），归母净利9.01亿元（yoy+0.75%），扣非净利8.77亿元（yoy+1.48%）。Q3实现营收30.06亿元（yoy+9.30%，qoq-26.66%），归母净利2.68亿元（yoy+0.26%，qoq-37.25%），扣非归母净利2.59亿元（yoy+2.34%，qoq-37.49%）。公司业绩表现较为稳健，季度间波动主要受到项目收入确认节奏影响。公司2025年Q1-3毛利率为23.88%，同比+1.94pct，毛利率伴随提质增效+收入结构优化实现提升，我们预计该趋势有望持续。蒙西-京津冀、藏粤特高压工程招标，特高压储备项目较多年内特高压建设与规划持续推进，国家发改委 6 月核准批复藏东南-粤港澳大湾区、蒙西-京津冀+800 千伏特高压直流输电工程；5-8 月，陇东-山东、哈密-重庆、宁夏-湖南±800 千伏特高压直流工程接连投运，金上-湖北于9月试运行。特高压项目第四次设备招标采购发布，主要需求来自蒙西-京津冀、藏粤工程。根据Data电力预测，第四次招标金额或超150亿元。加上前3批合计招标金额37.8亿元，前4批合计金额有望达到190亿元（24年全年招标金额261.6亿元），考虑到年内按计划仍有2批招标；我们预计公司全年订单有支撑。展望十五五，当前披露的在储备特高压项目较多，预计订单充足。海外业务高速增长，国内市场保持领先公司上半年在国网集招电能表中标保持第一；国网省招市场占有率同比提升，区域联采一二次融合成套柱上断路器及一二次融合成套环网箱合计中标额、占有率排名均保持领先；南网市场订货同比增长显著。国际市场方面，公司移动变电站、直流测量、环网柜设备进入沙特、巴西、西班牙等市场，充电桩系列产品成功入围泰国、秘鲁等国家电力公司短名单，海外收入高速增长，产品国际竞争力不断提升。盈利预测与估值考虑电表及配网集采降价的影响，我们下调公司25-27年归母净利润（-8.77%/-9.13%/-8.54%）至12.88/16.55/19.40亿元，对应EPS为1.26/1.62/1.90元。截至 2025 年 10月 27 日，可比公司 2026 年一致性预期平均 PE 为 19倍，考虑到公司在柔性直流输电领域具备领先优势，我们给予公司 2026 年 20倍 PE，给予目标价 32.4 元（前值26.41元，对应19倍25年PE），维持“买入”评级。风险提示：电网投资力度不及预期风险，竞争加剧，原材料价格上涨风险。,,华泰证券,买入,[None],2025-10-28,,买入,6888947,pdf_downloads/2025/2025-10-28/000400-许继电气（000400）：提质增效+结构优化下毛利率改善.pdf,000400,许继电气,许继电气（000400）：提质增效+结构优化下毛利率改善
"曾彪,徐梦超","事件：公司发布2025年年中报告。2025H1，公司实现营业收入64.47亿元，同比下降5.68%；归母净利润6.34亿元，同比增长0.96%；扣非归母净利润6.18亿元，同比增长1.13%。Q2业绩同比增速恢复。2025H1，公司实现营收64.47亿元，同比有所下滑，主要原因为EPC业务调整；归母净利润6.34亿元，同比增长0.96%，保持基本稳定。其中，25Q2，公司实现营业收入40.99亿元，同比增长1.81%；归母净利润4.26亿元，同比增长9.12%；扣非归母净利润4.15亿元，同比增长7.64%，Q2利润端同比增速恢复。盈利能力稳定提升。2025H1，公司销售毛利率23.75%，同比提升2.85pct；净利率11.01%，同比提升0.43pct。其中，25Q2，公司销售毛利率23.91%，同比提升1.17pct，环增0.44pct；销售净利率11.55%，同比提升0.14pct，环比提升1.49pct；盈利能力稳步提升。2025H1，公司销售/管理/研发费用率分别为4.23%/3.14%/4.71%，同比+1.01/+0.18/+0.85pct。公司盈利能力提升主要系毛利率提升所致。直流输电业务高增，海外业务进展迅速。2025H1，直流输电业务实现营收4.60亿元，同比增长211.71%，主要系前期中标特高压直流输电工程交付所致。海外业务实现营收2.55亿元，同比增长72.68%，毛利率25.29%，同比增长3.82pct，海外业务进展迅速；公司移动变电站、直流测量、环网柜设备已进入沙特、巴西、西班牙等市场，充电桩系列产品成功入围泰国、秘鲁等国家电力公司短名单，产品国际影响力不断提升。盈利预测及投资建议：未来，特高压工程建设有望持续，柔性直流技术有望高速发展，电力设备出海景气度有望回升。另一方面，国内配网和电表行业短期承压，特高压直流项目核准招标节奏有所延缓。我们下调公司2025-2027年归母净利润至13.70/17.27/21.35亿元（前值14.42/17.91/22.04亿元），同比增长23%/26%/24%,对应PE分别为17/14/11倍。维持“买入”评级。风险提示：电网投资不及预期；特高压规划和建设不及预期；技术路线变更风险；原材料波动的风险；竞争加剧的风险；研报使用数据更新不及时风险。",,中泰证券,买入,[None],2025-09-06,,买入,6396846,pdf_downloads/2025/2025-09-06/000400-许继电气（000400）：业绩总体符合预期，“调结构+提两效”增强长期发展动力.pdf,000400,许继电气,许继电气（000400）：业绩总体符合预期，“调结构+提两效”增强长期发展动力
唐俊男,事件：公司发布2025年中报，公司实现营业总收入64.47亿元，同比下滑5.68%；实现归属于母公司股东的净利润6.34亿元，同比增长 0.96%；经营活动产生的现金流量净额11.20亿元，同比提升 237.08%；基本每股收益0.63元；加权平均净资产收益率5.49%，同比降低0.21个百分点。点评：公司上半年总体业绩表现平稳，经营活动现金流改善明显。公司是国内电力装备行业龙头，聚焦特高压、智能电网、新能源、电动汽车充换电、轨道交通及工业智能化五大核心业务，产品包括智能变配电系统、直流输电系统、智能电表、智能中压供用电设备、新能源及系统集成、充换电设备及其它制造服务。2025年上半年，公司营业收入略有下滑，主要受智能变配电和智能中压一次设备订单交付节奏放缓，智能电表中标订单收入确认减少，新能源及集成板块业务压降低毛利类总包业务影响。公司销售毛利率23.75%，同比提升2.85个百分点。公司销售费用2.73亿元，同比增长23.79%。销售费用增速显著高于营收增速，主要系公司强化销售力度，加强订单跟进所致。公司经营活动产生的现金流量净额11.20亿元，同比增长237.08%，主要是公司强化回款，收到现金增加影响。智能变配电系统、智能电表和智能中压供用电业务收入有所承压，关注下半年订单交付进度。智能变配电系统实现营业收入18.47亿元，同比下滑13.01%，毛利率26.93%，同比提高3.81个百分点；智能电表营业收入15.28亿元，同比下滑4.44%，毛利率24.06%，同比降低3.5个百分点；智能中压供用电设备营业收入13.39亿元，同比下降5.47%，毛利率23.67%，同比提高3.34个百分点。公司的智能变配电系统和智能中压供用电设备收入降低主要受交付节奏影响，而智能电表收入降低受中标价格降低影响。公司上半年合同负债25.86亿元，较年初增加50.96%，体现后续收入兑现潜力。公司直流输电系统业务表现亮眼，中长期市场空间广阔。公司是目前国际领先的具备特高压直流输电、柔性直流输电设备成套能力和整体解决方案能力的企业，形成了由±1100千伏及以下特高压直流输电、±800千伏及以下柔性直流输电、直流输电检修和实验服务等构成的特高压业务体系。2025年上半年，公司直流输电系统业务营业收入主要受宁夏-湖南、哈密-重庆特高压项目收入确认影响，实现营业收入4.60亿元，同比增长211.71%，毛利率40.76%，同比降低10.74个百分点。后续仍未确认收入的重点项目包括灵宝改造、阳江青州、巴西、沙特、广州棠下、甘肃-浙江等直流输电项目。根据此前国家电网和南方电网公布的计划，2025年全年两大电网公司合计计划总投资将超8250亿元，主要用于特高压交直流工程及骨干电网建设、超大特大城市城中村供电问题治理、电网数字化智能化升级等方面。这给相关电力设备供应商带来较好发展机遇。中期来看随着以风、光为主的新能源装机规模持续高速增长，对电力系统的平稳运行和大范围资源配置能力提出更高要求。特高压线路输电成为跨区域能源资源配置、支撑新能源大规模开发利用的关键基础设施。2025 年上半年，长沙主变扩建、藏东南至粤港澳、蒙西至京津冀3项特高压工程获核准。下半年及十五五我国特高压线路将持续建设，打开相关设备广阔市场空间。国际收入高增，海外市场拓展取得积极效果。2025年上半年，公司国际业务实现营业收入2.55亿元，同比增长72.68%，毛利率25.29%，同比提高3.82个百分点。公司的国际业务收入高增主要受过去两年获取的订单确认影响，其中电表产品占比超过五成。公司的移动变电站、直流测量、环网柜设备进入沙特、巴西、西班牙等市场，充电桩系列产品成功入围泰国、秘鲁等国家电力公司短名单，产品国际竞争力不断提升。在全球能源转型，新能源汽车、数据中心快速发展，输变电设施有望持续完善的背景下，海外电力设备市场将面临较好的增长需求。公司未来将落实“一带一路”战略，产品以电表、开关柜、变压器、充电桩等产品为主，持续拓展南美、中东、东南亚、非洲、欧洲等市场，有望持续扩大海外业务规模。投资建议：预计公司2025、2026、2027年归属于上市公司股东的净利润分别为13.17亿元、15.25亿元和17.46亿元，对应的全面摊薄EPS分别为1.29元、1.50元和1.71元。按照9月3日22.41元/股收盘价计算，对应PE分别为17.33、14.97和13.08倍。公司作为国内电力设备领先央企，在输配电领域行业地位稳固，且持续受益于特高压线路建设以及海外市场拓展。目前公司估值水平较低，首次覆盖，给与公司“增持”投资评级。风险提示：电网投资力度下降；特高压线路建设不及预期；竞争加剧，盈利能力下降风险。,,中原证券,增持,[None],2025-09-04,,增持,6393324,pdf_downloads/2025/2025-09-04/000400-许继电气（000400）：中报点评：直流输电和国际业务快速发展，毛利率显著改善.pdf,000400,许继电气,许继电气（000400）：中报点评：直流输电和国际业务快速发展，毛利率显著改善
"徐强,房青,任苒威",盈利预测与投资评级。预计2025-2027年，公司归母净利润为13.40亿元、15.78亿元、18.66亿元，同比增20.0%，17.8%，18.2%，对应EPS为1.32元、1.55元、1.83元。结合同业估值，以及公司市场地位，给予公司2025年22倍，对应目标价29.04元，维持“增持”评级。产业：新型电力系统建设加快推进。“双碳”战略、新型电力系统建设、电力体制改革等进一步促进特高压、配网、新能源、储能等项目建设。电网投资持续增长，特高压输电项目持续建设，配电网向源网荷储融合互动方向转变。2025上半年，我国电网工程完成投资2911亿元，同比增长14.6%。公司：稳居市场领先地位。2025上半年，（1）网内：公司在国网集招电能表中标保持第一。国网省招市场占有率同比提升，区域联采一二次融合成套柱上断路器及一二次融合成套环网箱合计中标额、占有率排名均保持领先。南网市场订货同比增长显著。（2）网外：轨道交通领域，公司中标渝昆铁路、京广铁路等综自改造项目，雄商高铁项目中标辅控产品，进一步提升公司在铁路监控保护领域行业地位。公司：持续布局海外市场。2025上半年，公司的移动变电站、直流测量、环网柜设备进入沙特、巴西、西班牙等市场，充电桩系列产品成功入围泰国、秘鲁等国家电力公司短名单，产品国际竞争力不断提升。风险提示。特高压建设进度不达预期，电网投资不达预期，海外拓展不达预期。,,国泰海通,增持,[None],2025-08-29,,买入,6365690,pdf_downloads/2025/2025-08-29/000400-许继电气（000400）：新型电力系统加快推进，公司稳居市场领先地位.pdf,000400,许继电气,许继电气（000400）：新型电力系统加快推进，公司稳居市场领先地位
"查浩,刘晓宁,戴映炘",公司发布2025年半年报。公司25H1实现营业收入64.5亿元，同比下降5.7%，实现归母净利润6.34亿元，同比增长0.96%，业绩符合预期。其中25Q2实现营业收入41.0亿元，同比增长1.8%，实现归母净利润4.26亿元，同比增长9.1%。直流输电系统营收同比大增带动公司毛利率水平反弹。25H1公司直流输电系统实现营业收入4.6亿元（同比+212%），虽然该板块毛利率水平（40.8%）同比下滑10.7pct，但对公司整体毛利率水平有拉动作用：25H1毛利率达到23.8%（同比+2.9pct），对冲了营收下滑。直流输电系统收入大幅增长预计主要与今年部分直流特高压项目投产相关。今年我国已核准藏东南—大湾区、蒙西—京津冀等2条特高压直流项目，设备招标预计将于近期启动，公司作为我国主要的直流输电设备供应商或将受益。智能变配电等板块收入承压。25H1智能变配电板块实现营收18.5亿元（同比下滑13%），毛利率26.9%（同比+3.8pct）；智能电表板块实现营收15.3亿元（同比下滑4.4%），毛利率24.1%（同比-3.5pct）；智能中压供用电设备板块实现营收13.4亿元（同比下滑5.5%），毛利率23.7%（同比+3.3pct）；新能源及系统集成实现营收6.96亿元（同比下滑30.4%），毛利率10.6%（同比+4.1pct）。上述板块收入均同比下滑，或与国外二次设备、智能电表、配电设备降价有关。搭建二级营销平台继续拉高销售费用率。公司25H1销售/管理/研发/财务费用率分别为4.23%/3.14%/4.71%/-0.39%，分别较24H1变动+1.01/+0.19/+0.86/+0.03pct，总费用率相比24H1增加2.08pct。各项费用率均有所增加，其中销售和研发费用率增加明显，销售费用率提升或与系统部署扩充二级营销力量和支撑保障能力，强化一二级营销协同市场开拓相关。盈利预测与评级：我们预计公司2025-2027年归母净利润为13.5/15.7/18.5亿元，同比增速分别为20.8%/16.7%/17.7%，当前股价对应的PE分别为18/15/13倍。维持“买入”评级。风险提示：电网投资力度下滑，特高压核准不及预期，网外业务增长不及预期,,华源证券,买入,[None],2025-08-26,,买入,6350376,pdf_downloads/2025/2025-08-26/000400-许继电气（000400）：直流输电板块营收大增年内多条特高压启动.pdf,000400,许继电气,许继电气（000400）：直流输电板块营收大增年内多条特高压启动
