author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘一鸣,张予名",本报告导读：公司发布2025年度业绩预增公告。重卡销量翻倍增长，显著跑赢行业增速。坚定新能源转型战略，重铸商用车龙头壁垒。投资要点：上调目标价至4.74元，维持“增持”评级。我们预计公司2025/26/27年EPS分别为0.17（-0.01）/0.25（+0.01）/0.34（+0.05）元，参考可比公司，我们认为公司为行业龙头，给予公司2026年19倍PE，对应目标价4.74元（原为3.56元），维持“增持”评级。公司发布2025年度业绩预增公告。经公司财务部门初步测算，预计2025年实现归属于母公司所有者的净利润13.3亿元，与上年同期相比，将增加12.5亿元，同比增加1551%左右。预计2025年实现归属于母公司所有者的扣除非经常性损益后的净利润8.2亿元，与上年同期相比，将增加10.3亿元，同比实现扭亏为盈。重卡销量翻倍增长，显著跑赢行业增速。2025年重卡全年累计销售114.5万辆、累计同比增长26.98%。根据福田汽车公众号，公司重卡全年累计销量14.2万辆，同比增长103.6%，实现销量规模翻番，显著跑赢行业增速。其中根据上证e互动显示，2025年重卡出海累计销量约2.7万辆，同比增长超130%。公司出海策略为产业链协同出海模式，目前已在全球建成32个属地化工厂，在东南亚、非洲、南美、中东等关键区域构建“本地研发—属地生产—周边辐射”的产业化体系。我们认为，依托多年国际化布局基础，重卡出海有望持续驱动公司业绩增长。坚定新能源转型战略，重铸商用车龙头壁垒。根据福田汽车公众号，2025年公司全年累计销售超65万辆，同比增长6%，稳居行业销量榜首；其中新能源板块全年销量10.1万辆，同比增长87.2%。公司打造全域智慧生态品牌爱易科，实现三电技术的自主可控和卓越性能。根据福田汽车公众号，爱易科电池实现111kW·h满电续航330km，搭配快充技术20%-80%充电仅需30分钟；电控系统则搭载高算力芯片与Sic功率器件，可使得整车综合效率提升3%，能耗降低2%；电驱桥系统已经精准覆盖轻、重、客用等多元商用车场景，其中重型800V高压平台电驱桥产品峰值功率达380kW，电机效率高达97.7%。我们认为，公司坚定新能源转型战略，通过持续研发不断巩固公司技术优势，将进一步推动公司新能源销量提升。风险提示：商用车产销不及预期，原材料价格大幅上涨。,,国泰海通,增持,[None],2026-01-30,,买入,8375282,pdf_downloads/2026/2026-01-30/600166-福田汽车（600166）：2025年度业绩预增公告点评：重卡销量翻倍增长，新能源重铸龙头壁垒.pdf,600166,福田汽车,福田汽车（600166）：2025年度业绩预增公告点评：重卡销量翻倍增长，新能源重铸龙头壁垒
"刘一鸣,张予名","本报告导读：
公司发布 2025 年三季报，营收与归母净利润均有较高增长。重卡销量同比高增，跑
赢市场总体增速。纯电轻卡新平台巩固行业龙头地位。维持“增持”评级，上调目标价至4.03元。我们预计公司2025/26/27年EPS分别为 0.18（-0.04）/0.24（-0.01）/0.29（+0.01）元，参考可比公司，我们认为公司为行业龙头，给予公司2026年17倍PE，对应目标价4.03元（原为3.73元），维持“增持”评级。公司发布2025年三季报，营收与归母净利润均有较高增长。2025年前三季度公司实现营收454.5亿元，同比+27.1%，归母净利润11.1亿元，同比+157.5%，营收与归母净利同比均有较高增长；毛利率为10.2%，同比-2.4pct，主要受新能源产品占比上升所致，净利率为2.3%，同比+1.2pct，净利率持续改善，ROE为7.2%，同比+4.3pct。分单季度来看，2025Q3公司实现营收150.8亿元，同比+27.9%，环比-3.2%，归母净利润3.4亿元，同比低基数，环比-1.58%；毛利率为9.9%，同比-2.9pct，环比+0.1pct，净利率为2.1%，同比+2.0pct，环比持平，ROE为2.2%，同比+2.1pct，环比-0.1pct。重卡销量同比高增，跑赢市场总体增速。2025年9月国产重卡销量10.6万台，同比增长83%，环比增长15%。1-9月国产重卡累计销量82.1万台，同比增长20%。根据第一商用车网，2025年1-9月公司重卡销量10.4万辆，同比95%，跑赢行业整体增速，在行业销量前五增速位列第一，市场份额也达到了12.6%。我们认为，公司业绩大幅增长主要是受公司前九月重卡销量带动，若公司维持住市场份额，重卡销量将继续随年末重卡市场的高景气度而增长。纯电轻卡新平台巩固行业龙头地位。2025年10月21日，公司发布行业首款全新开发纯电轻卡专属平台产品“启明星”轻卡平台。四大全新技术架构建立差异化竞争壁垒：一是首创“MTCU+SiC+油冷扁线电机”的中央分布式驱动架构，总成效率高达95.7%；二是首创“跨域集成+区域控制+边缘计算”的整车集成域控架构；三是“线控底盘+底盘健康管理”的智能底盘架构，首创的FBS超高压蓄能线控制动系统，制动距离缩短15.5%；四是全新开发的人机架构，470mm一级踏步较传统轻卡降低40%，2120mm行业最宽驾驶室搭配1.8米标顶、2.26米高顶内部空间。我们认为，公司有望通过高质量的研发投入成果转化，抢占新能源轻卡市场，巩固轻卡行业龙头地位。风险提示：商用车产销不及预期，原材料价格大幅上涨。",,国泰海通,增持,[None],2025-11-04,,买入,7384086,pdf_downloads/2025/2025-11-04/600166-福田汽车（600166）：2025年三季报点评：营收与归母净利润高增，重卡销量跑赢行业.pdf,600166,福田汽车,福田汽车（600166）：2025年三季报点评：营收与归母净利润高增，重卡销量跑赢行业
"黄细里,赖思旭",公告要点：公司发布三季报，25Q3实现营收151亿元，同环比分别+27.9%/-3.2%，归母净利润3.36亿元，同比+1764.2%，环比-1.6%，扣非后归母净利润2.11亿元，环比-34.6%，24Q3为-0.84亿元，25Q3扣非扣投资收益净利润0.72亿元，同环比-50.1%/-55.4%，25Q3业绩符合预期。25Q3中重卡、客车销量提升，重卡出口表现亮眼。根据公司公告，25Q3公司中重卡销量3.9万辆，同环比分别+92.3%/+6.8%，轻卡销量9.9万辆，同环比-1.5%/-7.2%，客车销量1.24万辆，同环比+17%/+9.7%，合计并表销量12.6万辆，同环比+4.6%/-5.5%。根据中汽协，25Q3公司重卡批发销量3.74万辆，同环比分别+146.9%/+7.1%，重卡出口销量0.68万辆，同环比分别+168.6%/-7.6%。25Q3毛利率同比下滑，费用率同比压降。25Q3公司毛利率9.9%，同环比分别-2.4/+0.1pct；期间费用率9.4%，同环比-1.7/+0.5pct，其中25Q3研发费用额4.18亿元，同比-10.3%，研发费用率同比-1.2pct。25Q3投资收益环比下降，减值同环比增加。25Q3投资收益1.39亿元，环比-1.7%，去年同期受福戴亏损影响为负。展望未来：商用车行业复苏，福田轻卡以“产品+技术+营销”全面布局构建高壁垒，中重卡/客车/发动机/变速箱多点开花，业绩有望持续向上。当前公司对福戴长期股权投资已冲减至零，对公司业绩影响消除，25年公司轻装上阵；公司于重卡出口进行大力布局，25年出口销量持续高增，中长期成长空间大，有望持续拉动公司利润向上。盈利预测与投资评级：考虑轻卡利润率受电动化影响，且客车业务承压，我们下调公司2025年盈利预测至14.74亿元（原16.66亿元），基本维持公司2026~2027年归母净利润预测20.29/21.36亿元，2025~2027年EPS 分别为0.19/0.26/0.27元，对应PE 估值16.1/11.7/11.1倍，考虑当前公司估值较低，且重卡出口有望持续向上贡献利润弹性，维持福田汽车“买入”评级。风险提示：商用车行业复苏不及预期；全球地缘政治风险。,,东吴证券,买入,[None],2025-11-01,,买入,7201939,pdf_downloads/2025/2025-11-01/600166-福田汽车（600166）：Q3业绩同比高增，重卡出口增长强劲.pdf,600166,福田汽车,福田汽车（600166）：Q3业绩同比高增，重卡出口增长强劲
"邢重阳,李渤","事件：公司发布2025年中报，上半年实现营收303.71亿元，同比增长26.71%，实现归母净利润7.77亿元，同比增长87.57%。毛利率同比有所下滑，期间费用率有所降低： 2025年上半年公司实现毛利率10.31%，同比下滑1.96pct，实现销售费用率3.37%，同比下滑0.17pct，实现管理费用率2.46%，同比下滑0.63pct，实现研发费用率3.16%，同比下滑1.19pct。销量同比高增长，坚定推进全面国际化：公司紧抓消费提振、“以旧换新”政策实施带来的结构性市场机会，有序推动欧曼银河、轻卡大电量、风景i等新产品上市，持续完善生态业务布局，上半年公司累计实现销量32.7万辆（含福田戴姆勒），同比增长9.1%，占有率15.4%，同比提升0.9pct。公司坚定推进全面国际化战略落地，完善产品布局；重点突破重卡、皮卡、客车业务，完善新能源产品矩阵，推进属地产业化及合资合作项目；持续推进国内经销商出海，在资金、金融、团队、政策等方面对出海经销商给予支持。2025年上半年公司完成出口销量78,518辆，与去年同期基本持平。投资建议：我们预计公司2025-2027年实现归母净利润11.46、12.81、16.72亿元。对应PE分别为19.1、17.1、13.1倍，维持“增持”评级。风险提示：商用车景气度低于预期、出口不及预期、行业竞争加剧风险。",,财通证券,增持,[None],2025-08-31,,增持,6370617,pdf_downloads/2025/2025-08-31/600166-福田汽车（600166）：业绩同比高增长，坚定推进全面国际化.pdf,600166,福田汽车,福田汽车（600166）：业绩同比高增长，坚定推进全面国际化
"刘一鸣,张予名",本报告导读： 公司发布2025 年半年报，上半年业绩表现亮眼。重卡快速上量，出口势头迅猛。新能源迅速布局，核心模块深度自研。 投资要点： 上调目标价至 3.73元，维持“增持”评级。我们预计公司 2025/26/27年EPS 分别为0.22（+0.01）/0.25（微增）/0.28（微增）元，参考可比公司，我们认为公司为行业龙头，给予公司2025 年17 倍PE，对应目标价3.73 元（原为3.56 元），维持“增持”评级。 公司发布2025 年半年报，上半年业绩表现亮眼。2025 年上半年公司实现营收303.7 亿元，同比+26.7%，归母净利润7.8 亿元，同比+87.6%；其中，公司25Q2 实现营收155.7 亿元，同比+40.3%，环比+5.2%，归母净利润3.4 亿元，同比+115.9%，环比-21.8%。25Q2毛利率为9.7%，同比-3.8pct，环比-1.1，净利率为2.1%，同比+0.6pct，环比-0.7pct，ROE 为2.3%，同比+1.2pct，环比-0.7pct。 重卡快速上量，出口势头迅猛。根据公司2025 年中报披露，2025 年上半年公司销售重卡6.7 万辆，同比+74.3%，占有率12.3%，同比+4.8 pct；重卡行业上半年销量53.9 万辆，同比增长6.9%。公司全面推动银河 9/7/5/3 和A7 动力等系列新产品推广，持续推进新能源专网及传统网络转型，加大新能源业务投入，使得重卡销量得以显著跑赢行业。公司上半年重卡出口同比增长135.7%，重卡出口的高速增长得益于公司持续推进各项海外产业化项目落地，继去年泰国工厂投产后，今年逐步建立东南亚、非洲、拉美等制造基地，在海外超过 130 个国家和地区建立了配件库，确保海外客户能更快获得配件支持。 新能源迅速布局，核心模块深度自研。2025 年上半年，商用车行业新能源销量40.2 万辆，同比增长66.5%；公司新能源销量5.0 万辆，同比增长 151.0%，市场占有率 12.5%，同比提升4.2 个百分点。公司新能源销量远超行业增速，占有率迅速提升，得益于核心模块的深度战略布局。公司已量产轻型自主电驱桥、VCU；已启动开发中重型电驱桥、PEU、能量功率型电池、氢燃料系统及储氢系统。公司陆续推出了 600kWh 重卡产品、中卡经济型、轻卡价值型产品，微卡 71.63kWh 大电量产品以及中 VAN 全新平台产品，实现主流市场新能源产品全覆盖。 风险提示：商用车产销不及预期，原材料价格大幅上涨,,国泰海通,增持,[None],2025-08-30,,买入,6369266,pdf_downloads/2025/2025-08-30/600166-福田汽车（600166）：上半年业绩表现亮眼，重卡出口势头迅猛.pdf,600166,福田汽车,福田汽车（600166）：上半年业绩表现亮眼，重卡出口势头迅猛
"刘一鸣,张予名",本报告导读： 公司发布2025 年半年度业绩预增公告。重卡出口高歌猛进，驱动业绩快速增长。新能源转型卓有成效。上调目标价至 3.56元，维持“增持”评级。 投资要点： 上调目标价至3.56元，维持“增持”评级。我们预计公司 2025/26/27年EPS 分别为0.21（+0.01）/0.25（+0.01）/0.28（+0.01）元，参考可比公司，我们认为公司为行业龙头，给予公司2025 年17 倍PE，对应目标价3.56 元（原为3.37 元），维持“增持”评级。 公司发布2025 年半年度业绩预增公告。预计2025 年半年度实现归属于母公司所有者的净利润7.77 亿元，与上年同期相比，将增加3.62亿元，同比增加约87.5%。预计2025 年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润5.30 亿元，与上年同期相比，将增加2.26 亿元，同比增加约74.1%。 重卡出口高歌猛进，驱动业绩快速增长。6 月公司销售重卡1.13 万辆，同比增长116.3%；上半年累计销量6.65 辆，同比增长74.3%，其中，上半年重卡出口同比增长135.7%。公司在海外以泰国、南非KD 工厂推进属地化生产，今年上半年南非工厂首辆重卡下线、巴西工厂获 ISO 认证。我们认为，随着公司全球布局的持续深化，重卡海外销量有望继续增长，从而称为业绩增长的有力驱动。 新能源转型卓有成效。公司上半年新能源板块销量超5 万辆，同比增长151%，位居行业第一，其中新能源重卡销量同比增长300.6%。 新能源转型顺利进行得益于公司的先发优势，2023 年福田汽车率先确立了“2025 年构建‘车+桩+光+储+荷+智’新能源生态”、“2030年新能源销量占比超过50%”的“30·50 战略”。6 月底，公司旗下卡文新能源顺利完成 Pre-A 轮12 亿元融资。我们认为，聚焦纯电动和氢燃料电池技术路线的卡文新能源，将进一步巩固公司在新能源领域的技术和渠道优势，有望继续推进公司新能源转型。 风险提示：商用车产销不及预期，原材料价格大幅上涨。,,国泰海通,增持,[None],2025-07-15,,买入,6296699,pdf_downloads/2025/2025-07-15/600166-福田汽车（600166）：重卡出口高歌猛进，新能源转型卓有成效.pdf,600166,福田汽车,福田汽车（600166）：重卡出口高歌猛进，新能源转型卓有成效
"黄细里,赖思旭",投资要点公告要点：公司发布一季报， 25Q1实现营收148.0亿元，同环比分别+15.0%/+24.0%；归母净利润4.4亿元，同比+70.1%，环比扭亏；扣非后归母净利润2.3亿元，同比+10.3%，环比扭亏。25Q1重卡市占率大幅提升，单车均价上行。25Q1公司中重卡销量3.6万辆，同环比分别+19.4%/+63.2%；并表销量14.7万辆，同环比分别+6.2%/-12.7%。重卡销量来看，25Q1福田批发3.2万，市占率11.9%，同环比分别+4.3/+4.4pct，其中内销1.6万，市占率10.2%，同环比分别+0.2/-0.8pct，出口0.6万，市占率8.4%，同环比分别+3.8/+3.8pct。25Q1并表单车均价10.1万元，同环比+8.3%/+42.0%。25Q1毛利率同环比下滑，费用率同环比压降。25Q1毛利率10.9%，同环比分别-0.6/-1.9pct；25Q1销售/管理/研发费用率分别3.3%/2.5%/3.3%，期间费用率9.0%，同环比分别-1.5/-1.6pct。25Q1非经常性损益和投资收益明显增长。25Q1非经常性损益 2.07亿元，同比增加1.58亿元，主因非流动资产处置损益增加1.24亿元。25Q1投资收益1.6亿元，24Q1/24Q4分别为0.7/-6.4亿元，投资收益同环比大幅改善主因福戴亏损影响消除，具备持续性。25Q1扣非扣投资收益后归母净利润0.7亿元，同环比分别-47.1%/-65.7%。展望未来：商用车行业复苏，福田轻卡以“产品+技术+营销”全面布局构建高壁垒，中重卡/客车/发动机/变速箱多点开花，业绩有望持续向上。当前公司对福戴长期股权投资已冲减至零，对公司业绩影响消除，25年公司有望轻装上阵。根据公司经营计划，25年计划实现营收680亿元，同比+42.6%，看好全年公司业绩同比高增。盈利预测与投资评级：考虑25年重卡行业复苏，同时福戴亏损负面影响消除，我们基本维持公司2025~2026年归母净利润预测16.66/20.44亿元，给予公司2027年归母净利润预测21.51亿元，2025~2027年EPS分别为0.21/0.26/0.27元，对应PE 估值12.4/10.1/9.6倍，考虑当前公司估值较低，且行业有望触底回升，维持福田汽车“买入”评级。风险提示：商用车行业复苏不及预期；全球地缘政治风险。,,东吴证券,买入,[None],2025-04-30,,买入,6035937,pdf_downloads/2025/2025-04-30/600166-福田汽车（600166）：Q1业绩超预期，看好全年业绩同比高增.pdf,600166,福田汽车,福田汽车（600166）：Q1业绩超预期，看好全年业绩同比高增
"刘一鸣,张予名",本报告导读：福田汽车2025年一季度业绩优秀。海外销量增长驱动公司业绩。新能源转型加速进行。投资要点：上调目标价至3.37元，维持“增持”评级。我们预计公司2025/26/27年EPS分别为0.20/0.24/0.27元。参考可比公司，我们认为公司为行业龙头，给予公司2025年17倍PE，对应目标价3.37元，维持“增持”评级。福田汽车2025年一季度业绩优秀。2024年全年公司取得营收477.0亿元，同比-15.0%；25Q1营收148.0亿元，同比+15.0%，环比+24.0%。2024年全年公司取得归母净利润0.8亿元，同比-91.1%；25Q1归母4.4亿元，同比+70.1%，环比223.9%。公司2024年全年毛利率为12.6%，同比+1.2pct；净利润率为0.1%，同比-1.4pct。25Q1公司毛利率10.9%，同比-0.7pct，环比-1.9pct；净利润率2.8%，同比+0.9pct，环比+5.8pct。净利率同比、环比均有所改善。海外销量增长驱动公司业绩。2024年公司累计出口整车15.3 万辆，同比增长17.3%，市占率17%，稳居中国商用车出口第一。公司在美洲、东南亚市场优势明显，在欧洲、日本等高端市场实现突破，非洲市场取得大幅增长。泰国市场实现属地化运营，美洲、非洲、中亚等属地化项目稳步推进。公司在海外市场已覆盖139个国家和地区，设立22个KD工厂，1000余个海外营销网点，1200余个服务网点。我们认为，公司有望通过自身在海外的广泛布局，抓住细分市场的成长机遇，实现海外销量持续增长，从而拉动业绩提升。新能源转型加速进行。2024年全年，公司新能源实现销量5.41万台，同比增长35%，市场占有率同比提升0.4个百分点。公司已推出轻卡、中重卡到客车的全系列新能源商用车，全面覆盖城市配送、矿山、港口、城建等重型运输以及机场、环卫等专用新能源商用车领域。2025年4月28日，公司公告拟认购北汽蓝谷定增股票，金额不超过25亿元。我们认为，公司参与北汽蓝谷定增，可以分享新能源乘用车市场增长红利，还可以优化自身业务结构，加速商用车新能源化、智能化转型。风险提示：乘用车产销不及预期，原材料价格大幅上涨。,,国泰海通,增持,[None],2025-04-30,,买入,6648091,pdf_downloads/2025/2025-04-30/600166-福田汽车（600166）：2024 年报及 2025 一季报点评：海外销量增长，新能源转型加速.pdf,600166,福田汽车,福田汽车（600166）：2024 年报及 2025 一季报点评：海外销量增长，新能源转型加速
"邓健全,赵悦媛,赵启政,丁泓婧,徐国铨","事件：公司发布2024年年报，公司2024年实现营收477.0亿元，同比-15.0%，实现归母净利润0.8亿元，同比-91.1%。其中Q4公司实现收入119.4亿元，同比-9.3%，环比+1.2%；实现归母净利润-3.5亿元，同比-391.2%，环比-2052.2%。点评：盈利能力改善，毛利率持续回暖。从收入端看，2024年公司收入477.0亿元，同比-15.0%；Q4公司实现收入119.4亿元，同比-9.3%，环比+1.2%。从盈利能力看，24年公司毛利率为12.6%，同比+1.3pct；归母净利率为0.2%，同比-1.5pct；对应归母净利润为0.8亿元，同比-91.1%。24Q4的毛利率为12.8%，同比+3.5pct，环比+0.1pct；归母净利率为-2.9%，同比-3.9pct，环比-3.1pct；对应归母净利润为-3.5亿元，同比-391.2%，环比-2052.2%。从费用率来看，24年销售/管理/研发/财务费用率分别为4.0/2.9/4.0/0.1%，分别同比+0.2/+0.2/+0.3/+0.3pct；24Q4销售/管理/研发/财务费用率分别为4.3/2.4/3.3/0.6%，分别同比-0.0/+0.5/-1.2/+0.6pct，环比-0.0/-0.8/-0.7/+0.4pct。经常性利润总额同比下降，主要由于 2024 年重卡行业竞争激烈，内卷严重，市场价格不断下探，奔驰业务产品前期投入较大，重资产运营，且 2024 年销量不及预期，盈利能力大幅下降，上述因素导致公司投资收益同比大幅降低。稳居商用车龙头地位，新能源战略提速发展。2024年公司全年实现销量61.4万辆，同比-2.7%，市占率15.9%，同比+0.2pct。其中，新能源实现销量5.4万台，同比增长35%，市场占有率同比+0.4pct。公司持续推进新能源第一战略落地，拉动全价值链全面向新能源转型，三电和氢燃料等新能源核心技术和核心模块逐步实现自主可控，全力打造智能化新能源专属整车平台架构，发布爱易科生态品牌，打造一体化解决方案。公司新能源产品矩阵持续扩容，陆续推出了包括面向重卡市场的福田欧曼银河 9 和银河7，轻卡市场的欧马可智蓝ES1 和奥铃智蓝 EL 以及电动中 VAN 平台的风景 i 系列、首款新能源专属平台产品福田卡文乐福等新产品，覆盖不同细分市场，竞争力不断提升。纵深推进国际化战略，海外市场表现亮眼。2024 年公司累计出口整车 15.3万 辆，同比增长 17.3%，市占率17%，稳居中国商用车出口第一。其中，轻卡、皮卡、VAN、大中客等业务销量、占有率提升。在美洲、东南亚市场优势明显，在欧洲、日本等高端市场实现突破，非洲市场取得大幅增长。泰国市场实现属地化运营，美洲、非洲、中亚等属地化项目稳步推进。公司将优化海外管理架构，全力支持中重卡业务破局突围，全面实施“福田+时代”海外双品牌战略，实现产品平台与海外贸易平台的资源共享。风险因素：汽车销量不及预期、盈利能力不及预期、新车推出不及预期
等",,信达证券,,[None],2025-04-27,,,6026401,pdf_downloads/2025/2025-04-27/600166-福田汽车（600166）：稳居商用车行业第一，“新能源”和“国际化”战略效果显著.pdf,600166,福田汽车,福田汽车（600166）：稳居商用车行业第一，“新能源”和“国际化”战略效果显著
"邢重阳,李渤",事件：公司发布 2024 年三季度报告，公司 2024 年前三季度实现营业收入357.62亿元，同比-16.72%；实现归母净利润4.32亿元，同比-45.20%，实现扣非归母净利润2.21亿元，同比-51.17%。其中，公司2024年第三季度实现营业收入117.93亿元，同比-16.34%，实现归母净利润0.18亿元，同比-90.16%，实现扣非归母净利润-0.84亿元，同比-304.42%。毛利率改善，费用率提升：受益于坚持推进全价值链降本增效，在采购端、营销端提升降本力度，公司2024年前三季度实现毛利率12.59%，同比+0.58pct。费用率方面，公司2024年前三季度实现销售费用率3.94%，同比+0.29pct；实现管理费用率3.12%，同比+0.13pct；实现研发费用率4.22%，同比+0.75pct。发布出海目标，进军新能源、智能化汽车：2024年9月28日，公司旗下时代汽车发布全球化战略，本次发布会上，公司发布福田汽车国际化战略GREEN 3030，目标旨在到2030年实现海外销量30万辆，其中新能源占比达到30%。在新能源化、数字化、智能化和全球化的驱动下，时代汽车开启全新战略布局，车辆和装备板块将聚焦轻微型商用车和装备，持续拓展产品品类、提升用户体验；智能科技板块将激活智慧物流降本增效，提升用户价值。时代汽车展示首款智能驾驶平台F10，以及基于该平台规划的线控底盘产品，时代汽车目标2030年实现销量50万辆，其中新能源占比50%，海外占比30%，产销覆盖全球150个国家和地区，实现智能汽车占比超过50%。投资建议：我们预计公司2024-2026年实现归母净利润5.54/7.69/9.90亿元。对应PE分别为39.59/28.53/22.15倍，维持“增持”评级。风险提示：商用车景气度低于预期、出口不及预期、行业竞争加剧风险。,,财通证券,增持,[None],2024-11-14,,增持,5831144,pdf_downloads/2024/2024-11-14/600166-福田汽车（600166）：Q3业绩同比有所下滑，积极拓展海外市场.pdf,600166,福田汽车,福田汽车（600166）：Q3业绩同比有所下滑，积极拓展海外市场
