author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
李斌,2025年8月29日│中国内地 其他金属非金属新材料及加工 天华新能发布半年报，2025年H1实现营收34.58亿元（yoy-6.88%），归母净利-1.56亿元（yoy-118.65%），扣非净利-2.00亿元（yoy-138.29%）。其中Q2实现营收17.70亿元（yoy-9.63%，qoq+4.89%），归母净利-1.59亿元（yoy-147.75%，qoq-4977.49%）。考虑三季度锂价回升，公司业绩或环比修复，我们维持增持评级。公司上半年毛利率受锂价拖累，期间费用上升25H1公司综合毛利率为7.21%，同比-12.45pct，其中锂电材料产品实现毛利率2.49%，yoy -15.42pct，锂电材料板块毛利率下降主要系二季度锂价下跌较多，根据SMM数据，二季度碳酸锂均价为6.53万元/吨，环比下降13.92%，同比下降38.37%。费用方面，公司上半年合计期间费用为3.34亿元，同比+64.93%，费用率为9.65%，同比+4.20pct，其中公司财务费用7825.39万元，同比+260.59%，主要原因系报告期利息收入减少、利息费用增加、汇兑损失增加所致。锂资源矿端扰动导致锂价上行近期国内锂资源供应扰动增加，藏格矿业旗下盐湖在7月17日公告停产，根据藏格矿业24年年报，该项目设计产能为1万吨/年；此外宁德时代江西宜春枧下窝云母矿在8月9日因矿权许可证到期停产。上述两个项目合计产能规模较大，对国内短期锂资源供给或产生较大影响，导致7月以来碳酸锂现货价格明显抬升，据SMM，国内碳酸锂现货价格从7月初6.13万元/吨上涨至8月下旬的8万元/吨以上。展望后市，已停产矿山复产时间仍具有较大不确定性，叠加需求端新能源汽车及储能均维持高增速，在供给扰动仍在的情况下，我们认为下半年国内碳酸锂社会库存大概率呈现连续去化，或将支撑碳酸锂价格维持在8万元/吨左右的价格中枢。津巴布韦Zulu矿重启，公司上下游业务拓展同步加速根据公司公告，公司当前具备16.5万吨电池级锂盐产品产能，含13.5万吨电池级氢氧化锂产能和3万吨电池级碳酸锂产能。原料方面，根据Premier公司公告，Zulu锂钽矿项目于7月6日正式重启，该矿规划锂精矿年产能8.4万吨，已投产试点产能5万吨，公司作为Premier第一大股东，公司可获得每月至少4000吨的锂精矿供应，公司上游资源自给率有望持续提升。固态电池方面，公司除三元、钴酸锂正极材料已实现多款量产外，富锂锰基、尖晶石镍锰酸锂等新型正极材料已向多家客户送样并获得合格评价；硫化物固态电解质已送样至头部企业且反馈良好，目前正推动量产，固态电池业务有望成为公司未来新的业绩增长点。盈利预测与估值二季度公司业绩受到锂价下跌的明显拖累，但考虑到三季度锂价回升，我们基本维持此前盈利预测，预期公司25-27年归母净利润1.81/4.61/8.44亿元，对应EPS为0.22/0.55/1.02元。25预期BPS为13.27元（前值13.28元），25年Wind一致预期PB均值为1.83倍，给予公司25年1.83倍PB，对应目标价24.28元（前值18.25元，对应25年1.37倍PB），维持“增持”评级。风险提示：锂价超预期下跌，公司在建项目进展不及预期等。,,华泰证券,增持,[None],2025-08-29,,增持,6367961,pdf_downloads/2025/2025-08-29/300390-天华新能（300390）：锂价下跌对公司上半年业绩形成拖累.pdf,300390,天华新能,天华新能（300390）：锂价下跌对公司上半年业绩形成拖累
"李斌,马晓晨",天华新能发布年报及一季报，2024年实现营收66.08亿元（yoy-36.87%），归母净利8.48亿元（yoy-48.91%），扣非净利4.41亿元（yoy-67.98%）。其中Q4实现营收11.55亿元（yoy-25.80%，qoq-33.58%），归母净利-7567.26万元（yoy+53.44%，qoq-185.57%）；25Q1实现营收16.88亿元（yoy-3.80%、qoq+46.05%），归母净利325.88万元（yoy-99.35%、qoq+104.31%），扣非净利-2737.27万元（yoy-110.56%）。考虑到行业逐渐接近曙光，公司冶炼产能多且逐步布局上游资源，维持增持评级。锂价下跌导致盈利能力下降，资产减值亦影响业绩表现受锂价下跌影响，锂电材料行业生产量/销售量分别yoy-33.46%/-40.66%。同时，2024 年公司综合毛利率 22.57%，同比下降 5.34pct，其中锂电材料业务毛利率 21.08%，同比下降 6.56pct。此外，24年公司计提2亿左右资产减值，亦影响业绩表现。中游完成技术改造，积极布局上游锂矿资源截至2024年末，公司位于四川省宜宾市的子公司天宜锂业拥有年产7.5万吨电池级氢氧化锂产能；位于四川省眉山市的子公司四川天华拥有年产6 万吨电池级氢氧化锂产能，其中一条产线为柔性生产线，可根据市场需求转化为年产2.65万吨电池级碳酸锂产能；位于江西省宜春市的子公司奉新时代拥有年产3万吨电池级碳酸锂产能。公司非常注重上游资源布局，子公司四川天华通过竞拍获得四川省道孚县容须卡南锂矿勘查探矿权；子公司宜春盛源通过竞拍获得江西省奉新县金子峰—宜丰县左家里矿区陶瓷土（含锂）矿采矿权。资源布局能有效保障公司锂矿资源供应，增强公司核心竞争力。锂：延续震荡寻底，能否触发大型矿山退出是关键行业方面，我们认为锂25年大概率延续供给过剩，若25年需求表现好于市场预期，则锂价可能在7-9万元/吨区间震荡；如果25年需求表现弱于市场预期，则锂价可能重新跌回至7万元/吨以下，低价能否触发大型矿山退出或将成为行业供需格局能否反转的关键。盈利预测与估值我们预计公司2025-2027年EPS分别为0.22、0.56、1.03元（前值2025-2026年1.64、2.50元，调整幅度分别为-86.6%、-77.6%）。可比公司25年Wind一致预期PB均值为1.37倍，给予公司25年1.37倍PB，25年BPS为13.28元，对应目标价18.25元（前值17.94元，对应2024年1.14X PB），维持“增持”评级。风险提示：行业下游需求不及预期，锂价下跌超预期等。,,华泰证券,增持,[None],2025-04-27,,增持,6025481,pdf_downloads/2025/2025-04-27/300390-天华新能（300390）：锂价下跌影响业绩，积极布局上游资源.pdf,300390,天华新能,天华新能（300390）：锂价下跌影响业绩，积极布局上游资源
"周旭辉,程文祥",【投资要点】锂盐价格弱势背景下公司利润保持韧性。2024前三季度公司实现营业收入54.5亿元，同比下降38.8%；实现归母净利润9.23亿元，同比下降49.3%；实现扣非后归母净利润6.0亿元，同比下降60.7%。公司2024Q3实现收入17.4亿元，同比下降23.3%，环比下降11.2%；实现归母净利润0.88亿元，同比下降80.2%，环比下降73.4%；实现扣非后归母净利润0.80亿元，同比下降77.0%，环比下降69.6%。公司锂资源布局方式包括共同投资和包销权。公司积极布局锂精矿供应渠道，已经与 Pilgangoora、 AMG、 AVZ、环球锂业等上游锂精矿资源生产企业签订了长期采购包销协议，形成了稳定、优质的原材料供应体系。 同时，公司不断拓展上游锂资源原材料的供应，先后在刚果（金）、津巴布韦、尼日利亚等国通过共同投资、获取包销权等方式，增加新的锂资源项目储备。公司始终密切关注优质的锂矿资源，持续在全球范围内开拓优质的锂矿资源标的，并通过不断扩大上游锂精矿的合作范围，保障原材料的稳定保质供应。公司防静电超净技术和医疗器械业务保持稳步发展。经过在防静电超净技术行业多年的深耕发展，公司积累了优质的客户资源、拥有先进的技术及生产工艺，通过为客户提供高品质、多品种、低成本的产品和快速响应能力，持续为客户创造价值并保持行业领先地位。宇寿医疗是专业从事医疗器械研发、制造、销售和服务的国家高新技术企业，凭借多年积累的医疗器械产品研发和制造能力，已与国内外知名企业、客户建立了长期合作，围绕客户提出的市场及应用需求，进行新产品研发、规模化生产及市场销售。【投资建议】根据最新锂盐价格和公司三季报财务数据，我们预计2024-2026年公司营业收入分别为70.9亿元、77.0亿元和91.9亿元；归母净利润分别为10.3亿元、11.46亿元和14.6亿元，对应EPS分别为1.24元、1.37元和1.75元，对应PE分别为24.3倍、22.0倍和17.2倍。鉴于公司在碳酸锂价格弱势背景下利润保持韧性，我们首次覆盖，给予“增持”评级。,,东方财富证券,增持,[None],2024-11-15,,增持,5832197,pdf_downloads/2024/2024-11-15/300390-天华新能（300390）2024年三季报点评：利润保持韧性，锂资源布局不断完善.pdf,300390,天华新能,天华新能（300390）2024年三季报点评：利润保持韧性，锂资源布局不断完善
"李斌,马晓晨",24H1归母净利同比-39.26%，维持增持评级天华新能发布半年报，2024年H1实现营收37.13亿元（yoy-44.09%），归母净利8.35亿元（yoy-39.26%），扣非净利5.23亿元（yoy-55.92%）。其中Q2实现营收19.59亿元（yoy-36.89%，qoq+11.66%），归母净利3.33亿元（yoy-32.49%，qoq-33.69%）。基于行业仍处于寻底阶段，我们预计公司2024-2026年EPS分别为1.55、1.64、2.50元（前值2024-2026年1.56、1.65、2.51元）。BPS分别为：15.74、17.07、19.24元（前值2024-2026年15.83、17.17、19.35元），可比公司24年Wind一致预期PB均值为1.14倍，给予公司24年1.14倍PE，目标价17.94元（前值21.4元），维持“增持”评级。锂价下跌拖累业绩表现24H1公司锂电材料产品实现营收33.16亿元，yoy-47.08%，成本27.22亿元，yoy-37.48%，毛利率17.91%，yoy-12.59pct。营收同比下降明显主要因锂价大幅下跌。据wind，24H1氢氧化锂均价9.23万元/吨，同比下降73.8%，但因公司产能扩张，因此营收跌幅小于锂价跌幅。公司产能持续扩张，积极布局锂精矿供应渠道公司产能持续扩张。据公告，天宜锂业一期、二期电池级氢氧化锂项目已有年产5万吨成熟产能。四川天华时代锂能年产6万吨电池级氢氧化锂建设项目已全部达产并顺利投入使用。宜宾市伟能锂业一期年产2.5万吨电池级氢氧化锂项目已竣工，目前进入小试阶段。奉新时代规划年产10万吨电池级碳酸锂冶炼产能项目分期建设，年产3万吨电池级碳酸锂的一期工程于2023年7月基本建成并正式点火。此外，公司积极布局锂精矿供应渠道，已经与 Pilgangoora、AMG、AVZ、环球锂业等上游锂精矿资源生产企业签订了长期采购包销协议，形成了稳定、优质的原材料供应体系。短期锂价下跌趋势仍将延续，后续需关注供给端出清程度因供过于求，24H1锂价延续下跌走势。近期部分海外大型矿山出现减产信号，全球最大锂矿商美国雅宝（Albemarle）主动暂停了在澳大利亚的扩张计划。供给已开始出现收缩趋势，但当前减产幅度仍难以扭转当下的供需的格局，我们预期锂价仍将延续下跌走势，但跌幅或逐渐收窄。后续若跌破更多矿山成本线引发更大规模停产，供需格局有望改善，建议关注供给端出清程度。风险提示：行业下游需求不及预期，锂价下跌超预期等。,,华泰证券,增持,[None],2024-08-07,,增持,5712524,pdf_downloads/2024/2024-08-07/300390-天华新能（300390）：锂价下跌拖累业绩，静待行业拐点.pdf,300390,天华新能,天华新能（300390）：锂价下跌拖累业绩，静待行业拐点
"王琪,马越",事件：4月23日公司披露2023年报及2024年一季度报。2023年公司实现营收105亿元，同比-39%，毛利率28%；归母净利17亿元，同比-75%，净利率16%。分季度看，Q1-Q4分别实现营收35/31/23/16亿元，Q4同环比-65%/-31%；归母净利8.8/4.9/4.5/-1.6亿元，Q4同环比转亏。2024Q1公司实现营收17.5亿元，同环比-50%/+13%，毛利率17%；归母净利5亿元，净利率29%；扣非归母2.6亿元，扣非净利率15%，环比实现扭亏。锂价下跌与矿端成本刚性构成公司业绩大幅下滑主因。从毛利结构来看，公司主要盈利来源为锂盐、防静电超净产品与医疗器械，2023年毛利分别为27/1/1.4亿元。2023年锂盐价格大幅下跌，而矿石原料调价周期相对滞后，成本刚性下公司锂盐版块盈利空间大幅收窄，并产生3亿元资产减值损失。得益于与宁德时代的深度捆绑关系，公司部分采用来料加工模式赚取稳定加工费，保证了相对平稳的净利率水平。同时，由于国内管控措施放开，公司防静电超净产品与医疗器械业务营收亦出现下滑。随着锂价平抑，2024Q1公司实现环比扭亏，毛利录得3亿元，环增11%；同时，公司资产减值损失冲回2.16亿元并获3.8亿元其他收益（主要为政府补贴），归母净利明显改善。截至2024Q1公司账面存货价值19亿元，占流动资产比重由去年同期21%降至15%，环比有增主因锂精矿备货增加，总体库存压力偏低。资源&amp;冶炼一体化布局稳步推进，背靠宁德时代有望以量补价。（1）冶炼端，公司现已建成13.5万吨电氢+3万吨电碳产能。其中天宜锂业（持股75%）5万吨和四川天华（持股93%）6万吨电氢产能，目前均已达产；伟能锂业（持股75%）规划5万吨电氢项目，一期2.5万吨电氢项目于2023Q3达到预定可使用状态；奉新时代（持股75%）规划建设10万吨碳酸锂产能，一期3万吨于去年7月投产。远期规划26万吨电池级锂盐产能。预计今年新建产能将持续释放增量；公司通过合资、来料加工、相互持股等方式与宁德时代形成稳定利益共同体，有望依靠大客户消化新增产能，实现以量补价。（2）资源端：公司现为AVZ、环球锂业、Premier、QXR等海外资源商第一大股东，并获得旗下矿山远期包销权。其中Premier旗下Zulu项目浮选厂此前因设计问题产能不及预期，预计今年4月项目完成装置优化并进入调试阶段。若能达到设计产能，项目有望加速推进，远期资源短板或得到补强。投资建议：公司是国内电氢龙头，背靠宁德时代有望实现以量补价；资源端多点开花提供中远期业绩弹性。预计2024-2026年公司归母净利18/20/22.6亿元，对应PE为9.1/8.3/7.4倍，维持“买入”评级。风险提示：需求增速不及预期，供给项目超预期释放，非洲矿权开发风险。,,国盛证券,买入,[None],2024-04-29,,买入,5608113,pdf_downloads/2024/2024-04-29/300390-天华新能（300390）：锂价下跌公司业绩承压，资源、冶炼一体化布局稳步推进.pdf,300390,天华新能,天华新能（300390）：锂价下跌公司业绩承压，资源、冶炼一体化布局稳步推进
"李斌,马晓晨",23年归母净利润同比下降-74.81%，维持增持评级公司23年实现营业收入104.68亿元，yoy-38.54%；归母净利润16.59亿元，yoy-74.81%。公司24Q1实现营收17.54亿元（yoy-50.41%，qoq+12.66%），归母净利润5.02亿元（公司24Q1获得政府补助3.76亿元），扣非净利润2.59亿元（yoy-69.80%，qoq+262.84%）。当前锂行业供需关系延续过剩格局，但我们认为过剩情况已呈现收敛态势，锂价有望在寻底后逐步企稳。基于氢氧化锂24-26年9/10/12万元/吨的假设，预计公司24-26年归母净利润分别为13.08/13.83/21.05亿元（前值24-25年分别9.70/16.44亿元）。可比公司24年Wind一致预期PB(24E)均值1.35X，给予公司PB(24E)1.35X。测算公司目标价 21.40元，给予“增持”评级。锂价下跌，公司盈利下滑受锂价下跌影响，23年公司综合毛利率、净利率分别为27.91%/20.22%，同比分别下降-36.53pct/-31.50pct。其中公司锂电材料业务毛利率27.63%，yoy-36.53pct。24Q1公司综合毛利率16.84%（yoy-23.78pct，qoq-0.23pct）。费率方面，23年合计期间费用率4.38%，yoy+1.93pct。此外公司23Q4资产减值2.9亿元，主要系公司存货价值下跌所致。公司建成16.5万吨锂盐产能，正加快推动产业链一体化发展随着子公司天华时代6万吨和伟能锂业2.5万吨氢氧化锂产能相继在2023年投产，公司目前合计拥有13.5万吨氢氧化锂产能。此外公司还规划建设碳酸锂产能10万吨，其中一期3万吨产能在2023年7月实现投产。原材料端公司在23年继续加大上游精矿投资，根据公司年报披露，目前公司目前拥有AVZ公司6.73%股权，该公司持有目前全球储量最大、品位最好的硬岩锂矿床之一 Manono项目75%权益，该项目量产后有望成为公司最大锂精矿来源。公司积极拓展上下游投资，加快推动一体化发展。海外锂矿出现减产信号，锂价或在24年探底后有所回暖受矿端持续扩产及需求增速放缓等原因影响，锂行业供需关系在23年至今呈现明显过剩格局。但在锂价持续下跌影响下，近期包括Finnis等高成本矿山宣布停产，同时Greenbush、Mt Cattlin等矿山下调了24年的产量指引，部分矿山扩产进度放缓，锂供给过剩格局已出现一定程度收窄迹象。若锂价在后续继续下探，可能引发更多矿山减产，锂供需格局有望迎来实质性改善。基于此判断，我们预计24-26年锂供需过剩比例分别为5.36%/5.02%/-2.22%，锂价有望实现寻底后企稳态势。风险提示：行业下游需求不及预期，锂价下跌超预期。,,华泰证券,增持,[None],2024-04-24,,增持,5598711,pdf_downloads/2024/2024-04-24/300390-天华新能（300390）：锂价下行，23年业绩承压.pdf,300390,天华新能,天华新能（300390）：锂价下行，23年业绩承压
"李斌,马晓晨",公司23年预告实现归母净利润16.5-17.5亿元，给予“增持”评级根据公司公告，预计2023年归母净利润16.5-17.5亿元，同比下降73.43%-74.95%。盈利大幅下降主要为23年氢氧化锂价格下跌所致。我们判断24/25年锂价将呈现寻底后逐步企稳走势，因此假设23-25年氢氧化锂（含税）均价分别为26.89/8.60/10.00万元/吨，预计公司23-25年归母净利润分别为16.54/9.70/16.44元，预计公司同期每股净资产 14.44/15.20/16.93元。可比公司24年Wind一致预期PB(24E)均值1.46X，考虑到公司近期产能释放节奏快，客户资源优势显著，给予公司PB(24E)1.50X。测算公司总市值目标190.96亿元，目标价 22.80元，给予“增持”评级。23年业绩承压，管理层多举措推动公司质量回报双提升23年受上游产能扩张过快及下游新能源汽车等领域需求增速放缓影响，氢氧化锂价格下跌幅度较大。公司目前锂电业务以采购精矿后进行冶炼加工成电池级氢氧化锂材料为主，公司该板块22年毛利占比高达97%。锂价下跌对公司业绩造成较大幅度影响。行业下行周期下，为增强投资者信心，提升公司质量，公司在2月26日发布推动“质量回报双提升”行动方案，主要举措包括：聚焦主业、创新驱动，回购增持、现金分红以及提高信披质量等。公司加快锂电一体化布局，与宁德时代形成多方位战略合作关系公司加快锂电一体化布局，伟能锂业规划氢氧化锂二期产能2.5万吨，投产后公司合计氢氧化锂产能将达到16万吨。资源端，公司积极寻求矿山布局，截至23Q3拥有AVZ公司6.73%股权，该公司持有目前全球储量最大、品位最好的硬岩锂矿床之一 Manono项目75%权益，该项目量产后有望成为公司最大锂精矿来源。同时公司在建年产90万吨的锂辉石原矿精选项目已接近投产，原料端保障将得到进一步加强。此外宁德时代作为全球锂电行业龙头，公司与其形成包括产品供应、战略持股、合资建厂等多方位的合作关系。其中公司与宁德时代的合资子公司天宜锂业目前拥有7.5万吨氢氧化锂产能和3万吨碳酸锂产能，未来规划建设碳酸锂产能达到10万吨。海外锂矿出现减产信号，锂价或在24/25年磨底后有所回暖锂行业供给过剩格局仍在延续。但在锂价持续下跌影响下，近期包括Finnis等部分高成本矿山宣布停产，同时Greenbush、Mt Cattlin等低成本矿山下调了24年的产量指引，锂供给过剩格局已出现一定程度收窄迹象。若锂价在后续继续下探，可能引发更多矿山减产，锂供需格局或迎来实质性改善。基于此判断，我们预计24/25年锂供需过剩比例分别为5.76%/1.96%，锂价有望实现寻底后企稳态势。风险提示：海外矿山扩产超预期，下游需求不及预期等,,华泰证券,增持,[None],2024-03-15,,增持,5544116,pdf_downloads/2024/2024-03-15/300390-天华新能（300390）：业绩承压，期待锂供需关系改善.pdf,300390,天华新能,天华新能（300390）：业绩承压，期待锂供需关系改善
"王琪,马越",事件：2月26日公司公告，为增强投资者获得感，提升公司质量和投资价值，公司发布推动“质量回报双提升”行动方案，具体举措包括：聚焦主业、创新驱动，回购增持、现金分红以及提高信披质量等。公司现金分红比例优于同行，实控人增持凸显公司未来发展强信心。公司自2014-2022年累计分红17.6亿元，分红比例达22%，显著高于同行中位数14%。公司实控人裴振华先生以自有资金于去年1-7月累计回购1.3亿元，占公司股份总数的0.32%；此外，公司结合自身财务情况与业务发展前景积极开展回购，截至1月底已回购约1.6亿元股份，占总股本0.74%。冶炼产能位于国内第一梯队，深度捆绑宁德时代有望以量补价。2023年预计公司形成13.5万吨电氢+3万吨电碳产能。其中，天宜锂业（持股75%）5万吨和四川天华（持股93%）6万吨电氢产能，目前均已达产；伟能锂业（持股75%）规划5万吨电氢项目，一期2.5万吨电氢项目于2023Q3达到预定可使用状态；奉新时代（持股75%）规划建设10万吨碳酸锂产能，一期3万吨于去年7月投产。远期规划26万吨电池级锂盐产能。公司深度捆绑宁德时代，主要合作方式有三：一为合资设厂，主要生产基地天宜锂业由公司及宁德时代分别持股75%/25%。二为来料加工，宁德时代持有江西枧下窝云母矿及Pilbara等海外矿商股权，并凭借其市场地位、规模化采购获取低价矿石原料；公司与其合作过程中，部分采用来料加工模式赚取稳定加工费。三为互相持股，公司实控人裴振华先生间接持股宁德时代5.16%股权，为后者第四大股东；宁德时代直接或间接持股公司0.72%，为公司第七大股东。公司背靠下游行业龙头，有望有效消化新增产能实现以量补价。资源端持续孵化绿地项目，Manono诉讼取得积极进展。公司目前主要包销原料来源为AMG与Pilbara，合计精矿年包销量为22-25万吨；考虑宁德时代保供原料，公司现阶段资源保障率约39%。公司现为AVZ、环球锂业、Premier、QXR等海外资源商第一大股东，并获得旗下矿山远期包销权。其中AVZ旗下Manono为世界上最大的锂辉石矿山之一。近期仲裁庭颁布临时法令：恢复Dathcom对拆分后的矿权PR13359的所有权，PR15775矿权尚存争议。这一临时措施倾向于支持AVZ及公司对矿山已勘探区域所有权。盈利预测：锂价大幅下跌公司业绩承压，谨慎下调2023-2025年电氢价格假设为23/10/8.5万元/吨。公司是国内电氢龙头，背靠宁德时代有望实现以量补价，资源端多点开花提供中远期业绩弹性。预计2023-2025年公司归母净利17/20/22亿元，对应PE为11.2/9.3/8.5倍，维持“买入”评级。风险提示：需求增速不及预期，供给项目超预期释放，非洲矿权开发风险。,,国盛证券,买入,[None],2024-03-03,,买入,5529626,pdf_downloads/2024/2024-03-03/300390-天华新能（300390）：推动质量回报双提升，资源、冶炼一体化布局静待花开.pdf,300390,天华新能,天华新能（300390）：推动质量回报双提升，资源、冶炼一体化布局静待花开
"王琪,马越",事件：10月23日公司披露2023年三季报。前三季度公司实现营收89亿元，同比-29%，毛利率30%；归母净利18亿元，同比-65%，净利率20%，扣非归母15.4亿元，同比-70%。分季度看，Q1-Q3分别实现营收35/31/23亿元，同比+4.4%/-29%/-53%，Q3环比-27%，毛利率41%/19%/27%；归母净利8.8/4.9/4.5亿元，同比-42%/-75%/-73%，Q3环比-9%；扣非归母8.6/3.3/3.5亿元，同比-43%/-83%/-79%，Q3环比+6%。锂价阴跌行情下，三季度盈利环比显韧性。受限于下游传统旺季增产补库需求未能兑现，电氢价格自8月起开启阴跌趋势，电氢价格由三季度初26.8万元/吨（含税）跌至当前16.4万元/吨；而上游进口澳矿长协主要采用“Q-1”机制定价，导致成本端澳矿韧性明显强于锂盐，7-9月电氢价格下跌46%而锂辉石到岸价则仅下跌24%。锂盐价格下跌与矿石成本刚性导致公司盈利空间同比收窄。环比来看，三季度公司毛利及扣非归母分别环增4.6%/6%实现小幅增长，主因四川天华及奉新时代新增产能陆续投产爬坡、实现以量补价；奉新时代采用国内锂云母原料，价格弹性优于海外锂矿，有效摊薄原料成本。规模效应与多原料渠道支撑公司经营韧性。随着公司新增产能进一步释放，预计四季度公司有望延续稳增态势。2023年预计建成13.5万吨电氢+3万吨电碳产能。氢氧化锂方面，目前公司已建成天宜锂业（持股75%）5万吨电氢和四川天华（93%）6万吨电氢产能，目前均已达产。伟能锂业（75%）规划5万吨电氢项目，其中一期2.5万吨电氢项目于三季度投产。碳酸锂方面，天宜锂业（75%）于2022年12月收购奉新时代100%股权，规划建设10万吨碳酸锂产能，其中一期3万吨于7月投产。预计2023年公司将形成13.5万吨电氢+3万吨电碳产能，远期规划超26万吨电池级锂盐产能。Manono锂矿项目股权争议取得重大进展；Zulu锂矿延期执行交付协议。公司积极向上拓展资源保供渠道，现已与Pilgangoora、AMG、AVZ、环球锂业签订长协，并参股Manono、Zulu锂矿项目。刚果（金）Manono项目是目前已知最大的锂辉石矿之一，但由于此前AVZ、紫金矿业、刚果（金）相关方在15%项目权益的交易上存在争议并展开多轮仲裁，项目开发处于停滞状态，2023年1月刚果（金）矿业部撤回项目公司持有的采矿权证。目前Manono项目争议取得重大进展，据紫金矿业10月23日公告，该项目涉及PR13359探矿权的100%权益已归还至刚果矿业开发股份有限公司（COMINIERE）名下，并被拆分为西南PR13359与东北PR15775两项矿权，覆盖Kitotolo矿体（即AVZ原项目已进行DFS的部分）和Manono矿体，由紫金矿业控股子公司对PR15775进行开发。目前PR13359探矿权仍由COMINIERE所有，后续该部分矿权归属待定。Zulu锂矿方面，公司于8月与Premier关于Zulu项目延期签署《修订协议》，在协定新的供应时间表的同时，规定2025年4月1日前若Premier未交付所需产品或偿还预付款，公司将有权获得Zulu的直接权益。投资建议：当前时点下产能兑现及降本增效为竞争关键，公司有望通过横向快速扩产与上下游深度捆绑平稳度过市场调整期，以量补价实现业绩稳增。预计2023-2025年公司归母净利24/35/45亿元，对应PE为9.1/6.3/4.9倍，维持“买入”评级。风险提示：项目建设不及预期风险，供需格局恶化风险，新技术替代风险。,,国盛证券,买入,[None],2023-10-24,,买入,5356392,pdf_downloads/2023/2023-10-24/300390-天华新能（300390）：三季度盈利环比显韧性，Manono股权争议取得重大进展.pdf,300390,天华新能,天华新能（300390）：三季度盈利环比显韧性，Manono股权争议取得重大进展
"王琪,马越",事件：8月30日公司披露2023年半年报。上半年公司实现营收66亿元，同比-15%，毛利率30.6%；归母净利13.7亿元，同比-61%，净利率20.7%；扣非归母12亿元，同比-66%。分季度看，Q1/Q2实现营收35/31亿元，同比+4.4%/-29%；归母净利8.8/4.9亿元，同比-42%/-75%，净利率25%/16%；扣非归母8.6/3.3亿元，同比-43%/-83%。锂盐快速下跌与矿石成本刚性导致公司盈利空间大幅收窄。上半年公司锂电材料实现营收62.6亿元（-13%），营业成本43.5亿元（+185%），毛利率30.5%（-48pct），防静电超净产品、医疗器械等传统主业营收3.8亿元，同比-33%，毛利率32%。公司业绩下滑主因锂盐价格大幅下跌而锂矿价格刚性。上半年锂盐价格快速下跌，但由于Q1进口精矿长协价主要锚定去年Q4高位且澳洲供货商控价能力更强，导致锂矿价格刚性显著高于锂盐，年初至3月末电碳价格下跌50%而锂辉石则下跌28%；4月起锂价虽有复苏，但冶炼端仍维持微利状态，导致公司锂盐业务盈利空间大幅收窄。此外，随着管控措施放开，公司防静电超净产品、医疗器械产品营收也出现大幅下滑。2023年预计建成13.5万吨电氢+3万吨电碳产能。氢氧化锂方面，目前公司已建成天宜锂业（持股75%）一二期5万吨电氢和四川天华（93%）6万吨电氢产能，目前均已达产。伟能锂业（75%）一期2.5万吨电氢项目预计于2023Q3达到预定可使用状态，二期规划2.5万吨电氢产能。碳酸锂方面，天宜锂业（75%）于2022年12月收购奉新时代100%股权，规划建设10万吨碳酸锂产能，其中一期3万吨于7月投产。预计2023年公司将形成13.5万吨电氢+3万吨电碳产能，保持锂盐行业一线水平。Zulu项目延期争议解决，上下游深度捆绑提升产能落地确定性。资源端，公司积极布局锂精矿供应渠道，现已与Pilgangoora、AMG、AVZ、环球锂业签订了长期供应协议，其中AVZ旗下Manono锂矿项目是目前已知的规模最大的锂矿床之一；公司与Premier关于Zulu项目延期的争议得到解决，《修订协议》规定新的供应时间表的同时，规定2025年4月1日前若Premier未交付所需产品或偿还预付款，公司将有权获得Zulu的直接权益。客户端，公司通过合资、定增、参股等方式与宁德时代结成利益共同体，同步开发华友钴业、当升科技、杉杉股份等下游龙头。公司将凭借稳定客户优势与稳定原料供应有望平稳度过市场低迷期。投资建议：谨慎下调2023-2025年电氢价格假设为25/19/17万元/吨。当前时点下产能兑现及降本增效为竞争关键，公司有望通过横向快速扩产与上下游深度捆绑平稳度过市场调整期。预计2023-2025年公司归母净利24/35/45亿元，对应PE为9.2/6.5/5.0倍，维持“买入”评级。风险提示：项目建设不及预期风险，供需格局恶化风险，新技术替代风险。,,国盛证券,买入,[None],2023-09-05,,买入,5314721,pdf_downloads/2023/2023-09-05/300390-天华新能（300390）：锂价下跌公司业绩承压，2023年预计建成16万吨锂盐产能.pdf,300390,天华新能,天华新能（300390）：锂价下跌公司业绩承压，2023年预计建成16万吨锂盐产能
