author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"王亮,王海涛",事件：公司发布2025年三季报，期内实现营业收入145.52亿元，同比增长55.92%；实现归母净利润6.53亿元，同比增长0.54%。点评：短期利空因素使得公司第三季度业绩承压。2025三季度，公司实现营业收入145.52亿元，同比增长55.92%；实现归母净利润6.53亿元，同比增长0.54%。其中，第三季度单季营收54.01亿元，同比增长44.14%；净利润1.49亿元，同比下降36.93%。利润增速滞后于营收增速的主要原因是因为雪峰科技并表叠加组织扩张带动管理费用同比增长52.77%，另外新增并购贷款及汇兑损失带动第三季度财务费用激增128.84%。传统民爆业务维持国内龙头地位，军工转型加速兑现。公司通过收购秘鲁炸药厂及南部永生，工业炸药产能已经突破72.55万吨，规模稳居国内前列。其中，公司在新疆地区工业炸药产能达17.85万吨（自有3.6万吨，在建2.5万吨，雪峰科技11.75万吨），大幅提高了在新疆市场的份额与盈利能力。公司现场混装炸药产能占比62.83%远超行业目标。另一方面，截至2025年9月，公司完成大连长之琳60%股权的收购。另外通过收购江苏红光、湖南国科宏惯等若干外延并购业务落地，公司实现军工业务转型的目标得到持续推进。目前公司已经形成了导弹、炸药、以及其它相关武器装备业务的产业布局，使得公司未来将防务装备业务打造成为未来第二增长曲线的目标愈加坚实。投资建议：广东宏大是中国第一家矿山民爆一体化服务上市公司，矿服和炸药传统主业稳步增长，通过外延并购持续军工业务打造成公司成长的另一支持，未来有望推动公司实现双引擎增长。预计公司2025/2026/2027年EPS分别为1.45元、1.69元、1.9元，维持“买入”评级。风险提示：原材料价格剧烈波动；需求下滑；项目进展不及预期等。,,太平洋证券,买入,[None],2025-11-07,,买入,7558339,pdf_downloads/2025/2025-11-07/002683-广东宏大（002683）：Q3业绩承压不改长期增长趋势，军工转型持续推进.pdf,002683,广东宏大,广东宏大（002683）：Q3业绩承压不改长期增长趋势，军工转型持续推进
"钱伟伦,甄理",事件：广东宏大发布2025年三季报，2025年前三季度公司实现营业收入145.52亿元，同比增长55.92%，实现归母净利润6.53亿元，同比增长0.54%；2025年三季度实现营业收入54.01亿元，同比增长44.12%，环比减少1.74%，实现归母净利润1.49亿元，同比减少36.93%，环比减少63.59%。矿服民爆龙头，防务装备崛起。公司是国内矿山民爆一体化服务领域的龙头企业，前身为广东省宏大爆破工程公司，1988年成立，2012年在深交所上市。经过二十余年的发展，公司逐步形成防务、民爆、矿服、能化四大业务板块，业务覆盖全国及“一带一路”沿线国家。公司是广东省属国资广东环保集团下属的国有控股公司，具有“国有控股、管理层参股”的多元化股权结构，凭借在爆破技术、项目管理和装备研发方面的综合优势，公司已成长为国内最具影响力的矿服民爆一体化运营商之一。公司矿服夯实主业，民爆扩能提效，防务开创新局。矿服板块为公司核心支撑业务，涵盖露天矿山、地下矿山及现场混装炸药等全流程服务，主要提供矿山基建剥离、整体爆破方案设计、爆破开采、矿物分装与运输等一体化工程服务，矿种覆盖煤矿、有色金属矿、铁矿及石灰石矿等。民爆板块主要从事工业炸药、电子雷管等民用爆破器材的研发、生产与销售，具备全国领先的产能布局，通过控股雪峰科技等并购整合，工业炸药产能已达72.55万吨，位居国内前列。 防务装备板块是公司转型升级的重要方向，依托旗下宏大防务平台，通过并购江苏红光等方式延伸军工产业链，推动防务业务高质量发展。今年8月，公司收购大连长之琳60%股权，坚定向军工转型。长之琳聚焦航空装备领域，专业从事航空零部件研发、制造的高新技术企业，军工配套业务资质齐全。本次收购将进一步补强防务装备业务，完善产业链布局。营业收入保持持续增长态势，展现出稳健的经营扩张能力。公司稳步推进矿服、民爆、防务业务，营收和利润保持持续增长趋势。受到矿服业务订单释放及雪峰科技并表贡献的影响，今年前三季度继续保持强劲增长，未来随着国内新疆、西藏以及海外地区业务的快速发展，叠加防务装备的贡献增加，业绩有望持续向好。2025年前三季度公司销售、管理、财务三项费用率分别0.57%、5.45%、0.50%，分别同比+0.06pp、-0.12pp、-0.22pp，费用控制良好。2025年前三季度公司毛利率、净利率分别为19.94%、8.18%，维持在较好水平。盈利预测与投资建议：公司是国内矿山民爆一体化服务领域的龙头企业，随着行业整合持续推进，民爆行业有望向龙头集中，叠加公司防务板块的贡献，看好公司长期成长。我们预计未来三年归母净利润复合增长率为22.08%，给予2025年37倍PE，目标价51.43元，首次覆盖给予“买入”评级。风险提示：矿山项目进度不及预期风险；海外市场拓展下降风险；民爆需求下降风险。,,西南证券,买入,[None],2025-11-06,,买入,7540895,pdf_downloads/2025/2025-11-06/002683-广东宏大（002683）：矿服民爆主业稳健，防务装备成长提速.pdf,002683,广东宏大,广东宏大（002683）：矿服民爆主业稳健，防务装备成长提速
"孙颖,曹惠",报告摘要事件：公司发布2025年三季报，2025年前三季度公司实现营业收入145.52亿元，同比+55.92%；归母净利润6.53亿元，同比+0.54%；扣非归母净利润6.43亿元，同比+5.49%。2025Q3单季实现营业收入54.01亿元，同比+44.14%，环比-1.74%；归母净利润1.49亿元，同比-36.93%，环比-63.59%；扣非归母净利润1.61亿元，同比-29.69%，环比-59.08%。25Q3业绩暂时承压，长期增长趋势不改。报告期内①矿服板块有所承压，主要系新疆、海外市场阶段性因素影响所致，其中新疆市场由于煤价下行抑制生产意愿、叠加超产核查政策性减产效应，疆煤7-9月产量分别同比-13.8%、-10.5%、-6.9%，采剥量减少致使公司矿服板块业绩受到拖累；海外项目则受到工期接续、恶劣天气停工等因素影响，进展不及预期。展望后续，短期来看，疆煤7-9月产量同比跌幅收窄、逐月环比增长，且目前煤价企稳回升，预计疆煤四季度有望恢复性增长，矿服板块有望改善；长期来看，新疆是我国能源保供重要战略基地，煤炭供应重心西移趋势不改，公司作为新疆民爆市场头部玩家，有望充分受益。②民爆板块业务规模同比基本持平，目前产能已提升至72.55万吨，在国内公司将继续向着百万吨目标进行并购整合，在海外赞比亚、秘鲁炸药厂建设亦顺利推进，预计公司炸药产能版图将愈发完善。③防务板块黑索今效益良好，另长之琳于9月底完成收购，预计Q4为公司带来并表收益。盈利有所承压，费用端持续优化。2025年前三季度公司毛利率为19.94%，同比减少1.42pct，主要与矿服板块因毛利率相对较低的总承包项目增加、新疆项目承压、海外个别项目收尾等多重因素影响毛利率下滑有关。报告期内公司净利率为8.18%，同比减少1.25pct，公司信用减值、资产减值由于应收账款较期初+93.86%带来计提增加、并表雪峰科技等因素合计增加0.59亿元，亦对利润端有所扰动。费用端方面，报告期内公司期间费用率为9.13%，同比减少0.92pct，其中财务费率同比减少0.22pct，管理费率减少0.12pct。矿服奠基，军工启新，双轮驱动成长。公司矿服业务稳健发展，拿单能力强劲，据公司官方公众号，9月公司连中青海青龙沟金矿坑探工程、安徽柯家村石方钻孔爆破工程、深圳中金岭南铅锌矿采矿工程、宝武大红山铁矿采掘工程等四个项目，彰显行业领军实力，当前公司在手矿服订单逾350亿元，后续稳步释放为公司业绩增长提供坚实保障。在矿服主业的基础上，公司积极向军工转型，先后收购参股宏大卫星、长之琳等标的，军贸业务亦顺利推动中，为公司后续业绩增长构建多个增长点。盈利预测：考虑到公司最新经营情况及军工转型带来的业绩增长，我们调整盈利预测，预计2025-2027年归母净利润分别为10.03、13.85、16.29亿元（前次预测2025-2027年归母净利润分别为11.62、13.76、15.68亿元），当前股价对应PE分别为30.3、21.9、18.6倍。公司是民爆矿服一体化龙头，市场地位领先，且在新疆西藏等高景气市场也有优势布局，有望受益于相关区域需求释放，同时防务板块军贸及黑索今弹性可期，维持“买入”评级。风险提示：宏观经济风险、区域景气度不及预期、竞争加剧、安全生产风险、防务装备板块转型升级风险、测算偏差风险、报告使用的公开资料可能存在信息滞后或更新不及时的风险。,,中泰证券,买入,[None],2025-10-25,,买入,6758035,pdf_downloads/2025/2025-10-25/002683-广东宏大（002683）：2025年三季报点评：Q3业绩阶段性承压，长期成长性不变.pdf,002683,广东宏大,广东宏大（002683）：2025年三季报点评：Q3业绩阶段性承压，长期成长性不变
马强,"广东宏大(002683)业绩实现较快增长，内生外延进一步完善业务布局事件8月22日，广东宏大发布2025年半年报。2025H1，公司实现营业收入91.50亿元，同比增长64%，实现归母净利润5.04亿元，同比增长22%。点评1、受益于矿服板块规模扩大和雪峰科技并表，公司2025H1收入、利润快速增长。2025H1，公司实现营业收入91.50亿元，同比增长64%，实现归母净利润5.04亿元，同比增长22%。公司营收、利润快速增长主要受益于矿服板块的收入规模扩大和雪峰科技并表。2025H1，公司矿山开采收入64.38亿元，同比增长49%，民爆器材销售收入13.83亿元，同比增长40%，防务装备收入0.80亿元，同比减少40%，能化业务收入11.76亿元。2、收入结构和矿山开采业务等影响，毛利率同比降低1.85pcts，费用控制良好，四费费率同比降低1.51pcts。2025H1，公司销售毛利率为19.86%，同比降低1.85pcts。分业务看，矿山开采业务毛利率16.47%，同比降低1.86pcts，民爆器材销售业务毛利率36.35%，同比提高3.14pcts，能化业务毛利率14.67%。费用率方面，2025H1，公司四费费率8.40%，同比降低1.51pcts，其中，销售费用率0.53%，同比持平，管理费用率5.15%，同比降低0.04pcts，研发费用率2.51%，同比降低0.90pcts,财务费用率0.22%，同比降低0.58pcts。3、加大并购力度延伸军工产业链，防务装备业务布局不断完善。防务装备业务是公司战略转型重点方向，公司在传统单兵弹药的基础上，转型以XD-1/XD-1A和XK-2等为代表的高端防务装备，自主研发的超声速巡航导弹武器系统赢得国际市场强烈反响。近几年，公司加大并购力度，延伸军工产业链。2023年，子公司宏大防务收购江苏红光并在2024年实现对江苏红光全资控股，全面进军炸药领域。2025H1，公司再收购了军工集团10%股权，对军工集团持股比例提升至65%，发挥其军工产业平台优势；公司合资设立了湖南国科宏惯有限公司，以延伸和完善防务装备产业链布局，提升防务板块核心竞争力。2025年8月，公司董事会审议通过了向宏大防务增资16.2亿元及宏大防务收购长之琳60%股权事项，控股长之琳亦可补强公司防务装备业务，加速产业布局。4、矿服业务深耕新疆、西藏及海外重点市场，在手订单逾350亿元。2025H1，在不含雪峰科技并表影响的情况下，公司在新疆、西藏地区矿服项目营收同比大幅增长121%和45%，矿服业务市场份额稳步提升；国际市场上，公司矿服业务覆盖塞尔维亚、巴基斯坦、老挝、圭亚那、哥伦比亚、几内亚、刚果（布）、刚果（金）、秘鲁等国，2025H1，公司新开拓塞拉利昂市场，海外矿服营收同比增长19%。此外，公司积极响应国家及行业政策，全力推进智能矿山建设。目前，公司在手矿服订单逾350亿元。5、工业炸药产能提升至72.55万吨，收购秘鲁EXSUR开启国际化发展新征程。2025年2月，公司收购雪峰科技21%股权事项完成过户，雪峰科技成为公司控股子公司，公司工业炸药产能提升至69.95万吨。2025年7月，雪峰科技完成对南部永生的控股，公司炸药产能新增2.6万吨达72.55万吨，位居国内前列。从产品品类上看，公司混装炸药产能占比远超行业水平。公司混装炸药产能可以跨区域调配，通过混装业务切入终端市场，与矿服业务板块协同，发挥矿服民爆一体化优势。2025年1月，公司收购秘鲁EXSUR公司51%股权，正式进军秘鲁民爆市场，加速民爆业务国际化布局。公司将继续推进民爆企业整合并购，民爆产能以百万吨为发展目标。6、我们预计公司2025-2027年的归母净利润分别为11.73、13.83、16.09亿元，对应当前股价PE估值分别为23、20、17倍，维持“增持”评级。风险提示防务产品军贸市场拓展不及预期；矿服、民爆业务国内市场竞争加剧；矿服、民爆业务国外市场拓展不及预期；原材料价格波动等。",,中邮证券,增持,[None],2025-08-25,,增持,6345081,pdf_downloads/2025/2025-08-25/002683-广东宏大（002683）：业绩实现较快增长，内生外延进一步完善业务布局.pdf,002683,广东宏大,广东宏大（002683）：业绩实现较快增长，内生外延进一步完善业务布局
"杨林,王新航",矿服业务规模扩大及雪峰科技并表，公司营收及利润大幅增长。2025年上半年，公司实现营业收入91.50亿元，同比增长63.83%；实现归母净利润5.04亿元，同比增长22.05%；公司业绩实现高速增长，主要得益于矿服业务规模扩大及控股的雪峰科技开始并表（对宏大并表影响为营业收入增加23.35亿元，归母净利润增加3808.23万元）。民爆产能持续扩张，营收及盈利水平提升。上半年公司民爆器材销售板块实现营业收入13.83亿元，同比增长40.31%，毛利率36.35%，同比提升3.14pcts；公司现拥有工业炸药产能72.55万吨/年，位居全国前列，产能遍布全国各地。未来公司将继续推进民爆企业整合并购，以实现百万吨民爆产能为民爆业务发展重要战略之一。矿服在手订单充足，重点市场营收大幅增长。上半年公司矿服板块实现营收64.38亿元，同比增长48.74%，毛利率16.47%，同比下降1.86pcts。公司持续深耕新疆、西藏及海外重点市场，当前在手矿服订单逾350亿元，市场份额稳步提升，上半年新疆、西藏地区矿服项目营收同比大幅增长121.27%、45.11%（不含雪峰科技并表影响情况下）。持续扎实推进出海业务，打造新利润增长点。上半年公司境外业务收入合计7.18亿元，同比增长18.87%，营收占比7.85%。公司于2025年初完成了秘鲁一家炸药厂并购，并在非洲等地筹划建设工业炸药生产线，未来公司将加速亚洲、南美洲、欧洲及非洲等地区的市场布局，着力将海外业务打造成新的利润增长点。拟收购大连长之琳，防务装备板块经营持续向好。近几年，公司坚定向军工转型，加大并购力度，延伸军工产业链。上半年宏大防务重要控股子公司江苏红光实现净利润3662.56万元，同比增长6.67%。2025年8月，公司公告子公司宏大防务拟收购大连长之琳60%股权，长之琳聚焦航空装备领域，专业从事航空零部件研发、制造的高新技术企业，军工配套业务资质齐全。风险提示：下游需求不及预期风险；安全生产风险；商誉减值风险等。投资建议：维持“优于大市”评级。考虑雪峰科技并表，我们上调公司盈利预测，预计2025-2027年公司归母净利润为11.04/13.01/15.25亿元（原值为10.70/11.95/13.22亿元），摊薄EPS为1.45/1.71/2.01元，当前股价对应PE为26.0/22.1/18.8x，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-22,,买入,6338592,pdf_downloads/2025/2025-08-22/002683-广东宏大（002683）：矿服业务规模扩大及雪峰科技并表，公司营收及利润大幅增长.pdf,002683,广东宏大,广东宏大（002683）：矿服业务规模扩大及雪峰科技并表，公司营收及利润大幅增长
"孙颖,曹惠",报告摘要事件：公司发布2025年半年报，2025H1公司实现营业收入91.50亿元，同比+63.83%；归母净利润5.04亿元，同比+22.05%；扣非归母净利润4.82亿元，同比+26.76%。2025Q2单季实现营业收入54.97亿元，同比+62.34%，环比+50.44%；归母净利润4.10亿元，同比+21.62%，环比+338.87%；扣非归母净利润3.95亿元，同比+22.13%，环比+354.05%。2025H1公司矿服民爆主业保持稳健增长态势。分板块来看，报告期内①矿服板块实现营收64.38亿元，同比增长48.74%，其中新疆、西藏及海外收入分别同比大幅增长121.27%（不含雪峰科技并表影响）、45.11%及18.87%，公司在深耕新疆、西藏等本土富矿区域的基础上，积极拓展海外市场，报告期内新开拓塞拉利昂市场，目前海外业务覆盖塞尔维亚、巴基斯坦、老挝、圭亚那、哥伦比亚、几内亚、刚果（布）、刚果（金）、秘鲁等多个国家。截至报告期末，公司在手矿服订单逾350亿元，为后续业绩稳步增长提供坚实保障。②民爆板块实现营收13.83亿元，同比增长40.31%，报告期内公司完成雪峰科技收购，新疆成为公司民爆的战略市场，目前国内民爆产能已提升至72.55万吨，同时公司年初亦完成秘鲁炸药厂收购，正式进军秘鲁炸药生产市场。③防务板块实现营收0.8亿元，同比下滑39.55%，或与传统军品交付节奏有关。毛利率有所承压，费用端持续优化。2025H1公司毛利率为19.86%，同比减少1.86pct，主要系矿服板块由于一体化项目比重增加、项目滚动释放节奏等影响毛利率下滑1.86pct所致，此外民爆板块受益于硝酸铵价格持续下行（6月硝酸铵均价为2264元/吨，同比下降12.91%）毛利率提升3.14pct。费用端方面，报告期内公司期间费用率为8.41%，同比减少1.53pct，其中财务费率同比减少0.57pct，主要系报告期内塞尔维亚第纳尔升值，产生汇兑收益。军工转型提速，未来成长可期。防务装备业务是公司战略转型重点板块，报告期内公司再次收购广东省军工集团10%股权，对军工集团持股比例提升至65%，有望借助军工产业平台优势加速军工转型；此外，公司还合资设立了湖南国科宏惯有限公司，进一步延伸和完善防务装备产业链布局。2025年8月，公司发布公告拟以10.2亿元现金收购长之琳60%股权，对应PE10.9X，长之琳专业从事航空零部件研发，是航发产业的小品类龙头，广泛配套于中航工业、中国航发、中国商飞等客户，参照长之琳24年归母净利润1.56亿元，并表后完整年度有望增厚公司净利润0.93亿元。公司坚定向军工转型，持续拓展防务板块参与深度、广度，助力公司突破传统业务边界，为未来可持续成长提供多元支撑。盈利预测：考虑到公司已并表雪峰科技，我们调整盈利预测，预计2025-2027年归母净利润分别为11.62、13.76、15.68亿元（前次预测2025-2027年归母净利润分别为10.61、12.67、14.49亿元），当前股价对应PE分别为23.2、19.6、17.2倍。公司是民爆矿服一体化龙头，市场地位领先，且在新疆西藏等高景气市场也有优势布局，有望受益于相关区域需求释放，同时防务板块军贸及黑索今弹性可期，维持“买入”评级。风险提示：宏观经济风险、区域景气度不及预期、竞争加剧、安全生产风险、防务装备板块转型升级风险、测算偏差风险、报告使用的公开资料可能存在信息滞后或更新不及时的风险。,,中泰证券,买入,[None],2025-08-22,,买入,6346657,pdf_downloads/2025/2025-08-22/002683-广东宏大（002683）：矿服稳健增长，防务成长可期.pdf,002683,广东宏大,广东宏大（002683）：矿服稳健增长，防务成长可期
杨林,事项：广东宏大于2025年8月8日召开了第六届董事会2025年第六次会议，审议通过了《关于收购大连长之琳科技股份有限公司控股权的议案》，为补强公司防务装备板块，提升公司防务板块未来财务和持续经营能力，公司下属子公司宏大防务拟以现金10.2亿元收购大连长之琳科技股份有限公司60%的股权。本次交易完成后，宏大防务将成为长之琳的控股股东。国信化工观点：1）大连长之琳主营航空零部业务，此次收购估值公允。此次收购股东全部权益相比净资产账面值增幅98.97%，估值/归母净利润比值为10.92。2）大连长之琳所具备的飞机、航空发动机领域研发设计、加工制造能力，与广东宏大存量防务装备业务具有较大协同性。3）此次收购制定了详细的利润分享及补偿机制，明确了广东宏大及长之琳股东方利润分配原则。4）公司账上现金充裕，资产负债率可控。截至2025年3月31日，广东宏大的资产负债率为50.27%，公司货币资金为29.38亿元。本次收购所需资金均为公司自有资金，约占公司货币资金的34.72%。评论：大连长之琳主营航空零部业务，此次收购估值公允大连长之琳是聚焦航空装备领域，专业从事航空零部件研发、制造的高新技术企业，军工配套业务资质齐全，主要产品包括紧固类产品、隔热类产品、管路连接件及导管类产品、发动机零组件及单元体类产品等，广泛配套于中航工业、中国航发、中国商飞等客户。据大连长之琳官网，公司成立于2005年，现拥有员工千余人，其中技术人员100余人，现有大连、成都、贵阳三大制造基地，依市场属地化配套所需，为客户提供“门对门”服务。长之琳的现有的多项技术填补了国内市场空白，突破技术瓶颈，解决了技术难题。据公司公告，2024年大连长之琳实现营业收入7.31亿元，归母净利润1.56亿元，净利润率21.28%。,,国信证券,优于大市,[None],2025-08-11,,买入,6298790,pdf_downloads/2025/2025-08-11/002683-广东宏大（002683）：拟收购大连长之琳，补强公司防务装备板块.pdf,002683,广东宏大,广东宏大（002683）：拟收购大连长之琳，补强公司防务装备板块
"鲍学博,马强",事件2025年6月20日，广东宏大防务科技股份有限公司与航天技术动力研究院在西安隆重举行签约暨揭牌仪式，共同宣布“航天特种动力联合创新中心”正式成立。点评1、航天特种动力联合创新中心成立，防务装备业务布局进一步完善。防务装备业务是公司战略转型重点方向，公司布局了国内及国际军贸两大市场，产品包含传统弹药和智能武器装备。近几年，公司在传统单兵弹药的基础上，转型以XD-1/XD-1A和XK-2等为代表的高端防务装备，自主研发的超声速巡航导弹武器系统赢得国际市场强烈反响。宏大防务与航天技术动力研究院共同成立“航天特种动力联合创新中心”，旨在响应市场需求，整合双方的核心优势资源。未来，通过深度融合的合作模式，双方致力于优化研发流程，提升产品性能，有效控制成本，最终共同打造技术指标先进、性能可靠且价格极具市场竞争力的特种发动机产品，以满足国内外市场日益增长的需求。2、工业炸药产能提升至69.75万吨，收购秘鲁EXSUR开启国际化发展新征程。国内民爆行业重组整合稳步推进，产业集中度持续提高，公司工业炸药产能69.75万吨，产能具有地域和品类优势，产能利用率仍有提升潜力。公司有约45%的工业炸药产能在内蒙、甘肃和新疆地区。从产品品类上看，公司混装炸药产能占比远超行业水平。公司混装炸药产能可以跨区域调配，通过混装业务切入终端市场，与矿服业务板块协同，发挥矿服民爆一体化优势。2025年1月，公司收购秘鲁EXSUR公司51%股权，正式进军秘鲁民爆市场，加速民爆业务国际化布局。3、公司是国内矿服龙头企业，国际化加快布局、智能化逐见成效。公司是目前国内实力最强、市场规模最大的矿服领军企业。公司以矿业管家服务管理为客户创造价值，运营海内外在建矿山逾百座。近几年，国内采矿业固定资产投资完成额稳步增长，公司秉承“大项目、大客户”战略，聚焦新疆、内蒙、西藏等富矿带重点区域，持续优化矿服业务矿种结构，现矿服业务矿种以金属矿为主，其次为煤炭、砂石骨料等，抗风险、抗周期能力有所提升。此外，公司加快国外市场布局。2024年，公司矿山开采收入108.11亿元，同比增长21%，公司海外市场营收13.56亿元，同比增长44%。截至2024年末，公司矿服业务在手订单超300亿元，矿服业务收入有望保持较快增长。 4、我们预计公司2025-2027年的归母净利润分别为11.73、13.83、16.09亿元，对应当前股价PE估值分别为22、19、16倍，维持“增持”评级。风险提示防务产品军贸市场拓展不及预期；矿服、民爆业务国内市场竞争加剧；矿服、民爆业务国外市场拓展不及预期；原材料价格波动等。,,中邮证券,增持,[None],2025-07-01,,增持,6201034,pdf_downloads/2025/2025-07-01/002683-广东宏大（002683）：航天特种动力联合创新中心成立，防务装备业务布局进一步完善.pdf,002683,广东宏大,广东宏大（002683）：航天特种动力联合创新中心成立，防务装备业务布局进一步完善
"鲍学博,马强",投资要点广东宏大创立于1988年，是广东省环保集团有限公司控股企业是中国第一家矿山民爆一体化服务上市公司。公司以矿山工程服务、民用爆破器材生产与销售、防务装备为三大主业，为客户提供民用爆破器材产品（含现场混装）、矿山基建剥离、矿井建设、整体爆破方案设计、爆破开采、矿物分装与运输等垂直化系列服务，同时研发并销售导弹武器系统、精确制导弹药等防务装备产品。防务装备业务是公司战略转型重点方向。公司是广东省承担武器装备科研生产任务的唯一省属军工企业，是全国地方重点军工企业。在防务装备板块，公司布局了国内及国际军贸两大市场，产品包含传统弹药和智能武器装备。近几年，公司在传统单兵弹药的基础上，转型以XD-1/XD-1A和XK-2等为代表的高端防务装备，自主研发的超声速巡航导弹武器系统赢得国际市场强烈反响。我们认为，导弹是军贸市场的重要产品类型，超声速巡航导弹、多功能空地导弹等产品军贸市场需求旺盛，公司成长空间广阔。2024年，公司实现对江苏红光的全资控股，江苏红光以黑索今为主要产品，而在常规武器的基本装药中，以黑索今为基的混合炸药是国内外发展的重点。俄乌战争经验表明，现代战争对于弹药的需求量依然巨大。民爆领域，公司拥有69.75万吨工业炸药产能，位居国内前列，收购秘鲁EXSUR开启国际化发展新征程。国内民爆行业重组整合稳步推进，产业集中度持续提高，公司工业炸药产能69.75万吨，产能具有地域和品类优势，产能利用率仍有提升潜力。公司有约45%的工业炸药产能在内蒙、甘肃和新疆地区。从产品品类上看，公司混装炸药产能占比远超行业水平。公司混装炸药产能可以跨区域调配，通过混装业务切入终端市场，与矿服业务板块协同，发挥矿服民爆一体化优势。2025年1月，公司收购秘鲁EXSUR公司51%股权，正式进军秘鲁民爆市场，加速民爆业务国际化布局。矿服领域，公司是国内龙头企业，国际化加快布局、智能化逐见成效。公司是目前国内实力最强、市场规模最大的矿服领军企业。公司以矿业管家服务管理为客户创造价值，运营海内外在建矿山逾百座。近几年，国内采矿业固定资产投资完成额稳步增长，公司秉承“大项目、大客户”战略，聚焦新疆、内蒙、西藏等富矿带重点区域，持续优化矿服业务矿种结构，现矿服业务矿种以金属矿为主，其次为煤炭、砂石骨料等，抗风险、抗周期能力有所提升。此外，公司加快国外市场布局。2024年，公司矿山开采收入108.11亿元，同比增长21%公司海外市场营收13.56亿元，同比增长44%。截至2024年末，公司矿服业务在手订单超300亿元，矿服业务收入有望保持较快增长。我们预计公司2025-2027年的归母净利润分别为11.73、13.83、16.09亿元，对应当前股价PE估值分别为21、18、15倍，首次覆盖给予“增持”评级。风险提示防务产品军贸市场拓展不及预期；矿服、民爆业务国内市场竞争加剧；矿服、民爆业务国外市场拓展不及预期；原材料价格波动等。,,中邮证券,增持,[None],2025-06-27,,增持,6192416,pdf_downloads/2025/2025-06-27/002683-广东宏大（002683）：矿服民爆一体化龙头，深耕军工谱新篇.pdf,002683,广东宏大,广东宏大（002683）：矿服民爆一体化龙头，深耕军工谱新篇
"李阳,陈屹,赵铭",业绩简评2025年4月28日，公司发布2025年一季报公告：25Q1单季度收入36.54亿元，同比+66.1%，归母净利润0.94亿元，同比+24.0%，扣非归母净利润0.87亿元，同比+53.2%。25Q1起公司正式并表雪峰科技（收入并表100%，净利润并表21%、其余体现在少数股权权益科目），我们测算不考虑雪峰并表、同口径宏大归母净利仍实现双位数增速。经营分析（1）“西部大开发”+出海市场持续高景气，25Q1新疆区域整体炸药产量同比+16%、西藏同比+16%。①新疆：煤化工发展有利消纳疆煤，需求从“煤化工-&gt;煤矿-&gt;民爆”逐级传导，25Q1新疆区域民爆生产总值同比+11%（全国同比-1%）、工业炸药产量同比+16%（全国同比+2%）。公司收购雪峰、打开新疆区域增长空间，一方面打造“广东+新疆”跨省国资委合作新模式，另一方面有望实现核心原材料硝酸铵自供；②西藏：区域基建弹性突出，水电+铜矿增强民爆需求预期，25Q1西藏区域民爆生产总值同比+18%、工业炸药产量同比+16%，公司西藏地区产能1.5万吨、其中7000吨产能处于建设阶段，主要用于保障巨龙铜矿爆破开采需求；③海外，矿企央企拥有全球市场布局优势，民爆企业“借船出海”具备优势，2020-2024年公司海外业务收入CAGR达76.8%，除矿服业务外，公司在赞比亚+秘鲁同步布局炸药产能。（2）军工防务“1+N”战略布局：公司军工防务板块前期受下游户需求计划影响，2024年已重回增长。公司将继续坚定推进国际化战略，强化与主流无人机及军贸公司的合作。盈利预测、估值与评级预计公司2025-2027年归母净利润分别为12.04、14.02和16.20亿元（均已考虑雪峰并表，假设宏大2025年2月起并表雪峰），现价对应PE分别为19x、17x、14x，维持“买入”评级。风险提示下游矿山景气不及预期；西部地区煤炭及矿业开采节奏不及预期；海外市场开拓风险；收购整合不及预期；重大安全、环保事故风险；原材料价格波动风险；商誉减值风险。,,国金证券,买入,[None],2025-04-29,,买入,6033275,pdf_downloads/2025/2025-04-29/002683-广东宏大（002683）：矿服业务稳增，雪峰并表贡献增量.pdf,002683,广东宏大,广东宏大（002683）：矿服业务稳增，雪峰并表贡献增量
