author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"欧阳予,范子盼,董广阳",引言：我们在 25 年 4 月发布深度报告《安琪酵母：盈利开启新周期，全球领航新征程》，而后海外高增、盈利上行、酵母蛋白商业化加速三大逻辑持续验证。本篇深度，我们将进一步展开对糖蜜价格超预期下行的理解，及“十五五”展望及驱动等市场焦点，重申“强推”评级！焦点一：如何理解当前糖蜜价格大幅超预期下行？供给过剩为基，节奏错配催化，且26/27榨季价格有望维持相对低位。榨季初市场预期25/26榨季糖蜜价格降至1000元/吨，但当前价格已至700元左右，跌幅远超预期。我们认为：糖蜜价格下跌的核心，在于25/26榨季初供过于求形势加剧，且26/27年供需宽松格局有望延续。复盘来看，供给端，23/24起进入食糖扩产周期，23/24-24/25两个增产榨季累计增加糖蜜产量约66万吨；而需求端，酵母生产中水解糖替代加速（测算23年以来安琪糖蜜采购量仅增加约20+万吨，乐斯福、马利相对稳定），叠加酒精、饲料等需求持续疲软，预计近几年已形成糖蜜库存滚动结余。而25/26榨季初甘蔗含糖量较高，11月农业部进一步上修食糖产量预测，对应糖蜜产量约350万吨左右、同增16万吨，供过于求形势加剧。展望26/27榨季，考虑糖蜜库存结转及甘蔗种植面积或相对平稳，预计供需格局仍宽松，糖蜜价格维持相对低位。近年来买卖双方博弈加强，短期节奏错配加剧价格下行。在19/20-21/22榨季内糖蜜价格大幅上涨，糖企布局仓储惜售、贸易商囤货等使得采购博弈性增强，尤其体现为23/24榨季以来糖蜜价格“12-1月探底、随后逐月回升”季节性规律被打破，榨季内价格单边下行。本榨季糖厂清库压力、安琪采购节奏放缓，叠加价格下行加剧市场恐慌，糖蜜价格下跌超预期。焦点二：如何看待糖蜜价格影响？短看成本红利释放，长看经营稳定性提升。成本弹性：安琪或部分使用水解糖，26年成本红利贡献至少3+亿。24/25榨季安琪国内糖蜜采购平均吨价近1200元，同比降低约200元。我们测算，考虑水解糖成本及运费，理论上糖蜜价格低于900元时，使用糖蜜更有利。因此，保守假设安琪加大采购后，糖蜜价格回升至900元上下，公司水解糖替代糖蜜0-30万吨，对应净利润增厚2.9-3.5亿元，且糖蜜价格越低、越有望减少水解糖的替代，进一步推动弹性释放。未来展望：水解糖的锚定作用将增强，安琪经营稳定性趋势性提升。一方面，当前安琪水解糖产能可替代50万吨糖蜜，未来规划或可替代90万吨，而即便乐观估计，酒精产能消耗糖蜜量不足50万吨，意味着水解糖的影响将远超过酒精，其价格锚定作用将更为突出。公司水解糖锁定成本上限、灵活采购策略强化成本管控，经营稳定性将趋势性提升。焦点三：中期成长空间如何展望？：国内外路径清晰，“十五五”看翻倍潜力。海外：步入收获期，成长性与利润率均引领整体。公司21年海外事业部重大改革后，22年以来海外均维持20%左右甚至更快增长。当前公司加快印尼、俄罗斯等海外产能建设的同时，积极寻求海外并购机会，预计“十五五”期间站稳全球第一，未来五年海外有望维持15%以上复合增长。而考虑当前埃及、俄罗斯子公司净利率水平高达30%/19%，远高于公司整体不足10%的净利率水平，海外产能占比提升亦有望提振盈利。国内：强化产能技术协同，加快下游酵母蛋白/食品原料/新兴生物技术等业务延展。安琪国内龙一地位稳固，在烘焙酵母需求放缓背景下，未来一是将强化产能技术协同，加快下游衍生品延展（酵母蛋白、酶制剂/PHA生物材料/农业微生物等新兴生物技术），二是放大渠道优势以食品原料业务扩展增量，并配合以研发、销售组织架构调整，护航规划落地。25年安琪酵母蛋白产品上市、产能上量，商业化进程加速推进，释放积极信号。预计未来五年国内营收有望维持双位数左右复合增长。投资建议：年内弹性释放，长期空间打开，近期股价回调给予布局良机，重申“强推”评级。年内看，糖蜜成本已超预期下行、折旧摊销压力减轻，结合测算汇率波动扰动有限、海运运价稳中有降，预计盈利弹性将加速释放。我们上修25-27年业绩预测至15.6/20.1/23.2亿元（原预测为15.6/19.0/22.1亿元），对应PE 23/18/16倍。考虑公司海外步入收获期，而国内衍生品加速拓展、食品原料贡献增量，打开长期成长空间，结合水解糖锚定作用增强，公司盈利稳定性将趋势性提升，成长性与稳定性兼具，给予26年PE估值25倍，对应上修目标价至58元，近期股价系统性回调给予布局良机，重申“强推”评级。风险提示：石油等大宗商品上涨带动糖蜜上涨、汇率扰动海外营收、海外市场拓展不及预期、需求复苏不及预期、行业竞争格局加剧等。,,华创证券,强推,[None],2026-02-04,,买入,8393511,pdf_downloads/2026/2026-02-04/600298-安琪酵母（600298）：再论成本周期与五年新蓝图：从盈利弹性到质量成长.pdf,600298,安琪酵母,安琪酵母（600298）：再论成本周期与五年新蓝图：从盈利弹性到质量成长
张向伟,"公司是中国酵母行业龙头，全球第二大酵母企业。公司主业为酵母及深加工产品，2024年酵母发酵总产能达40万吨，酵母及深加工产品销量41.54万吨。2024年公司实现营业收入151.97亿元，净利润13.25亿元，综合毛利率为23.52%。公司实行全球化布局，在国内建有11个生产基地，在埃及、俄罗斯设有海外工厂，产品销往全球160多个国家和地区。酵母行业呈现寡头垄断格局，原料成本周期性波动。全球酵母行业CR3超过70%，安琪酵母在中国市场份额达55%，位居第一。行业具有重资产、高环保壁垒特征，单位产能投资额是调味品行业的10-18倍。生产核心原料糖蜜（成本占比约40%）价格与白糖周期高度联动，呈现周期性波动。2025年随着国内糖料种植面积扩大，糖蜜价格进入下行区间，为公司利润修复提供支撑。公司构建全球产能与研发体系，形成核心竞争壁垒。公司生产基地贴近原料产区以保障供应稳定，并通过自建约60万吨水解糖产能，对冲糖蜜价格波动。研发投入方面，公司研发费用率常年保持在4%以上，拥有大量国内外发明专利。凭借技术及规模优势，公司对下游具备较强议价权，酵母系列产品均价从2015年至2024年复合增长率约4.4%。成本下行释放利润弹性，海外与酵母抽提物（YE）构成增长双引擎。短期来看，糖蜜成本下降将直接提振毛利率，根据我们测算，预计原材料价格每下降5%可拉动毛利率提升约1.4个百分点。中长期增长动力明确：1）海外业务高增长，收入占比从2020年28%提升至2024年38%，本地化生产的海外工厂对净利率提升亦有贡献；2）酵母抽提物（YE）作为天然调味料，契合食品工业健康化趋势，市场渗透空间广阔。盈利预测与估值：公司在国内外市场同步推进产能布局与渠道下沉，具备份额提升与衍生品类延伸潜力。根据我们的预测，2025-2027年公司实现营业总收入167.2/188.4/210.0亿元，同比10.0%/12.6%/11.5%;2025-2027年公司实现归母净利润15.8/19.7/23.1亿元，同比19.6%/24.5%/17.3%；实现EPS1.82/2.27/2.66元；当前股价对应PE分别为24.8/19.9/17.0倍。若给予公司2026年22-25XPE，则对应股价49.98-56.79元,对应市值434-493亿元，相比当前有10%-25%溢价。首次覆盖，给予“优于大市”评级。风险提示：原材料价格大幅波动的风险；下游需求增长不及预期的风险；新产品拓展与海外市场拓展不及预期的风险；产能快速扩张带来的消化与运营风险；汇率波动风险；其他风险。",,国信证券,优于大市,[None],2026-01-21,,买入,8349847,pdf_downloads/2026/2026-01-21/600298-安琪酵母（600298）：深耕中国酵母市场，全球布局逐渐深化.pdf,600298,安琪酵母,安琪酵母（600298）：深耕中国酵母市场，全球布局逐渐深化
"吕若晨,王可欣",2026年1月14日│中国内地公司为全球酵母行业龙头企业，24年国内/全球市占率为55%/22%（按产能），分别列第1/2。本文旨在剖析公司投资价值，回答市场关心的收入稳健性与利润波动性问题。收入端，国内传统酵母/酵母衍生品/海外市场将构成公司未来收入增长的核心驱动，国内需求具备韧性，海外市场大有可为。利润端，我们判断安琪短期利润率已处周期低点，25/26榨季糖蜜价格下行的背景下，26年公司利润率有望延续改善趋势；长期看，定价权彰显/成本控制能力强化/资本开支高峰期已过等有望支撑安琪利润率波动性弱化。论壁垒：从供需两侧深挖公司龙头地位炼就之路供给侧：酵母生产难度较大（高品质菌种培育工艺繁杂）且需重资产投入（单吨酵母生产线所需投资超2亿），进入壁垒坚固。此外，酵母技术研发依赖不断积累的渐进性创新，进一步强化了公司的先发优势。需求侧：酵母行业下游客户以B端为主，C端为辅，普遍具备较强的需求粘性。公司通过庞大的渠道网络形成对下游客户的广泛覆盖（渠道下沉至县镇级），凭借技术指导跟进服务、一揽子采购支持及深入人心的品牌形象进一步夯实下游粘性。探收入：国内需求具备韧性，海外市场大有可为25Q1-3公司国内/海外收入占比为56%/44%：1）国内：传统酵母业务的增量将主要来自下游烘焙行业的扩容等，行业需求仍有望保持平稳；酵母衍生品业务中，YE有望逐步替代味精等传统化学鲜味剂，渗透率仍有较大提升空间（据产业信息网，23年欧美YE已占鲜味剂市场份额的40%+）；公司在人体营养/动物营养/植物营养/微生物营养/酵母蛋白/酶制剂领域的业务均有一定的收入成长性。2）海外：差异化的干酵母产品及性价比优势在海外新兴市场竞争力较强，YE等产品价格优势凸显，切入雀巢/联合利华等大客户。公司在海外的组织架构与团队配置上进一步完善，助力渠道下沉。析利润：短期具备向上弹性，长期看利润波动周期性有望弱化公司在利润维度存在周期低点弹性、波动周期弱化双重红利：1）短期具备弹性：我们判断安琪2024年利润率已处周期低点，2024年归母净利率（8.7%）＜2000年以来的归母净利率均值（11.1%）、2024年扣非净利率（7.3%）＜2000年以来的扣非净利率均值（9.6%），25/26榨季糖蜜价格下行趋势明确，我们预计安琪新榨季的采购价格约800-900元/吨（同比下降250-350元/吨），2026年净利率有望改善；2）长期看波动性有望弱化：我们看好随着公司在行业中的定价权进一步彰显、水解糖产能投产后成本控制能力强化、资本开支高峰已过/折旧摊销对于经营的影响减少、海外市场产能扩张后可以有效节约运输费用，公司利润率振幅有望控制在更低水平。我们与市场观点不同之处市场担忧安琪利润率的波动性，我们认为公司利润率波动周期性有望弱化。公司作为全球第二大酵母龙头，核心壁垒稳固。中长期视角下，公司利润率的波动幅度有望持续受益于其行业定价权彰显、水解糖价格锁定成本上限、后续折旧摊销对公司经营的影响减少、海外市场产能补充或可减少运费等。盈利预测与估值预计25-27年归母净利15.7/20.1/23.5亿，同比+18.3%/+28.2%/+16.8%，对应EPS 1.81/2.31/2.70元（较前次+1%/+8%/+10%），参考可比公司26年PE均值24x（Wind一致预期），给予其26年24x PE，目标价55.55元（前值47.30元，对应26年22xPE），维持“买入”评级。风险提示：原料成本波动、行业竞争加剧、汇率波动。,,华泰证券,买入,[None],2026-01-14,,买入,8332932,pdf_downloads/2026/2026-01-14/600298-安琪酵母（600298）：看好全球酵母龙头价值回归.pdf,600298,安琪酵母,安琪酵母（600298）：看好全球酵母龙头价值回归
"刘宸倩,陈宇君","公司前身是1984年在宜昌成立的食用酵母基地，2000年在上交所上市。目前在全球共建有16家酵母工厂，2024发酵总产能超45万吨，酵母产品在国内市占率近55%，产销量亚洲第一。全球市占率超20%，产品远销170多个国家和地区，目前全球市占率第二。收入端：产能锚定全球第一，中期维度产能超60万吨，产值约240亿元。1）海外产能结构优化，持续提升市占率。十四五期间受宏观需求疲软、行业竞争等影响，国内收入增速放缓，海外市场成为新的增长引擎，21-24年国内/国外收入CAGR分别为6.3%/26.5%。公司近年来加快海外产能布局，围绕潜力市场如非洲、东南亚基于供应链配套和服务优势持续提升份额。目前海外收入占比40%，预计未来5年CAGR为20%，中长期海外占比预计超50%。2）拓展业务领域，大力发展YE、酵母蛋白等高附加值衍生品。随着低盐化、健康化趋势演绎，酵母抽提物逐步成长为15万吨体量大单品，参照发达国家基于替代味精角度仍有2~3倍成长空间。酵母蛋白有望弥补国内蛋白缺口，目前仍处于开发阶段，未来有望复刻YE成长路径，市场空间广阔。利润端：成本高位回落、资本开支已过小高峰，27年净利率有望修复至10%+：1）公司核心原材料糖蜜约占比总成本25-30%，受供需错配影响价格持续3年高涨，对毛利造成显著冲击。公司自22年开始自建水解糖产能，目前可替代30%糖蜜原材料。同时伴随着上游扩产、粮食作物价格下行，25Q1-Q3毛利率顺利实现2.3pct修复，我们预计25/26年新榨季成本有望进一步下降至1000元/吨，对应毛利率有望改善1pct。2）十四五期间伴随着国内扩产及项目搬迁，23/24年折旧费用7.1/8.1亿元，占主业成本比重约10%。参照近年来产能设计较为宽裕（24年产能/销量分别为45/41万吨），我们认为十五五初期产能建设速度有望放缓，且产能投放结构持续优化，海外自产自销模式下利润率有望改善。预计公司25-27年归母净利润分别为15.8/19.4/22.3亿元，同比+19%/23%/+15%,对应EPS分别为1.82/2.24/2.57元/股，对应PE分别为22/18/16x，给予公司26年行业平均PE 22x，目标价49.25元/股，维持“买入”评级。食品安全风险、成本下降不及预期风险、海外贸易政策风险、市场竞争加剧等风险",,国金证券,买入,[None],2025-11-25,,买入,8186157,pdf_downloads/2025/2025-11-25/600298-安琪酵母（600298）：产能深化全球布局，利润开启上行周期.pdf,600298,安琪酵母,安琪酵母（600298）：产能深化全球布局，利润开启上行周期
孙山山,事件2025年10月29日，安琪酵母发布2025年三季报。2025Q1-Q3总营业收入117.86亿元（同增8%），归母净利润11.16亿元（同增17%），扣非净利润9.65亿元（同增15%）。其中2025Q3总营业收入38.87亿元（同增4%），归母净利润3.17亿元（同增21%），扣非净利润2.23亿元（同减8%）。投资要点成本位于周期底部，盈利能力优化2025Q3毛利率同增3pct至24.43%，主要系糖蜜成本下降叠加海运费压力减轻所致，预计未来1-2年内糖蜜价格仍处于周期底部位置，叠加公司水解糖成本托底，预计后续公司持续锁定毛利率优势。2025Q3销售/管理费用率分别同增1pct/1pct至6.24%/3.77%，净利率同增1pct至8.24%，盈利能力持续提升。主业稳步增长，海外延续高增分产品来看，2025Q3酵母及深加工产品营收26.45 亿元（同增2%），主要系量增贡献，随着子公司扩建与云南普洱二期建设推进，产能预计持续释放；2025Q3制糖产品营收2.56 亿元（同减17%），2025Q3食品原料营收5.61亿元，公司积极推进战略新品酵母蛋白推广动作，依托原有渠道资源进行市场导入，多家客户保持稳定合作。分区域来看，2025Q3国内/国外营收分别为21.90/16.87亿元，分别同比-3%/+18%，截至2025Q3，国内/海外经销商数量较2025H1末分别净增加173/192家至18419/6535家，国内受下游烘焙需求疲软影响，营收相对承压，海外中东、非洲、东南亚、中亚等市场延续高增，2025年初俄罗斯、埃及产线投产，发挥海外低价原料与运费优势，印尼工厂预计2026年投产，后续公司持续通过海外扩产/并购等动作提升全球竞争力。盈利预测国内年初推进事业部架构调整，Q1磨合期结束后，中后台效率持续提升，目前糖蜜价格下行趋势延续，伴随各项目建成投产，产能瓶颈逐渐突破，预计业绩持续改善。根据2025年三季报，我们预计2025-2027年EPS分别为1.80/2.17/2.53元（前值为1.81/2.06/2.31元），当前股价对应PE分别为21/18/15倍，维持“买入”投资评级。风险提示宏观经济下行、消费复苏不及预期、产能建设不及预期、原材料价格波动、海外拓展不及预期等。,,华鑫证券,买入,[None],2025-11-04,,买入,7386503,pdf_downloads/2025/2025-11-04/600298-安琪酵母（600298）：公司事件点评报告：海外维持高增，成本红利释放.pdf,600298,安琪酵母,安琪酵母（600298）：公司事件点评报告：海外维持高增，成本红利释放
"王言海,张玲玉,范锡蒙",海外延续增势，毛利表现亮眼事件：公司发布2025年三季报，25Q1-3实现营业收入117.9亿元，同比+8.0%；归母净利润11.2亿元，同比+17.1%；扣非净利润9.7亿元，同比+15.0%。单季度看，25Q3实现营业收入38.9亿元，同比+4.0%；归母净利润3.2亿元，同比+21.0%；扣非净利润2.2亿元，同比-8.2%。国内需求平淡，海外延续增势。分产品看，25Q1-3酵母及深加工/制糖/包装/食品原料+其他分别实现收入84.0/6.4/2.7/24.4亿元，同比+8.9%/-28.6%/-12.7%/+26.5%；拆分单季度，25Q3酵母及深加工/制糖/包装/食品原料+其他分别实现收入26.5/2.6/0.7/9.0亿元，同比+2.0%/-17.0%/-34.0%/+30.8%，其中酵母主业务增速环比放缓预计主要系Q3下游需求偏弱，制糖业务有序剥离，食品原料表现亮眼。分地区看，25Q1-3国内/国外分别实现收入65.9/51.5亿元，同比+0.2%/+21.0%；25Q3国内/国外分别实现收入21.9/16.9亿元，同比-3.5%/+17.7%，国内下滑预计主因制糖等业务剥离所致，海外仍延续较快增势。截至25Q3末，公司共24954名经销商，环比Q2末净增365家，其中国内净增173家，国外净增192家。成本红利延续、财务费用提升、收到政府补助，Q3归母/扣非净利率同比+1.2/-0.8pcts。25Q1-3公司毛利率为25.5%，同比+2.3pcts（Q3同比+3.1pcts），低价糖蜜原料使用下Q3成本红利延续释放，叠加去年同期海运费偏高，毛利改善明显。费用端， 25Q1-3四费同比+1.0pcts（Q3同比+3.0pcts），其中销售费用率5.8%，同比+0.5pcts（Q3同比+0.7pcts）；管理费用率3.5%，同比+0.3pcts（Q3同比+0.7pcts）；研发费用率3.9%，同比-0.1pcts（Q3同比+0.3pcts）；财务费用率0.8%，同比+0.4pcts（Q3同比+1.4pcts），Q3增加明显主因利息支出集中计提。25Q1-3/25Q3实现归母净利率9.5%/8.2%，同比+0.7/1.2pcts；扣非净利率8.2%/5.8%，同比+0.5/-0.8pcts，由于25Q3公司收到政府补助同比增加，带动其他收益同比+313.1%，占收入比重同比+2.2pcts，剔除非经部分后Q3扣非净利率同比略有下滑。投资建议：展望看，收入端国内伴随后续需求恢复、组织架构到位下有望实现稳健长，海外产能有序布局支撑双位数增长；利润端糖蜜成本下行、转固高峰已过，利润弹性有望持续释放。我们预计2025-2027年公司营业收入分别为167.2/185.5/204.4亿元，同比+10.0%/11.0%/10.2%；归母净利润15.5/18.5/22.0亿元，同比+17.2%/19.4%/18.8%，对应PE 22/18/15x，维持“推荐”评级。风险提示：国内需求持续疲软，海外拓展不及预期，汇率波动风险，关税政策影响，行业竞争加剧等。,,民生证券,推荐,[None],2025-11-03,,增持,7294812,pdf_downloads/2025/2025-11-03/600298-安琪酵母（600298）：2025年三季报点评：海外延续增势，毛利表现亮眼.pdf,600298,安琪酵母,安琪酵母（600298）：2025年三季报点评：海外延续增势，毛利表现亮眼
"朱会振,舒尚立",事件：公司发布2025年三季报，前三季度实现营业收入117.9亿元，同比+8%；实现归母净利润11.2亿元，同比+17.1%；实现扣非归母净利润9.7亿元，同比+15%。其中25Q3实现营业收入38.9亿元，同比+4%；实现归母净利润3.2亿元，同比+21%；实现扣非归母净利润2.2亿元，同比-8.2%。Q3酵母主业增速稳健，海外市场表现出色。1、分品类看，2025年前三季度酵母及深加工产品、制糖产品、包装类产品分别实现营业收入84亿元（+8.9%）、6.4亿元（-28.6%）、2.7亿元（-12.7%）；其中25Q3分别实现收入26.5亿元（+2%）、2.6亿元（-17%）、0.7亿元（-34%）。2、分区域看，25Q3国内、国外分别实现营业收入21.9亿元（-3.5%）、16.9亿元（+17.7%）。Q3国内业务有所承压，或与加快制糖及包装业务剥离有关；受益于俄罗斯、埃及等地市场开拓顺利，海外市场延续出色表现。成本红利叠加运费压力减小，Q3盈利能力提升。1、公司前三季度毛利率为25.5%，同比+2.3pp；其中25Q3毛利率24.4%，同比+3.1pp。毛利率提升主要系：1）糖蜜成本下降趋势延续，原材料成本端改善；2）海运费用压力同比减小；3）产品结构持续改善所致。2、费用率方面，25Q3公司销售费用率、管理费用率、研发费用率、财务费用率分别为6.2%（+0.6pp）、3.8%（+0.7pp）、4%（+0.2pp）、2.2%（+1.4pp），财务费用率提升较多或与费用计提节奏扰动有关。3、综合来看，25Q3公司净利率为8.2%，同比+1.3pp。国内需求有望持续改善，海外市场扩张态势良好。1、产能方面，公司为全球最大的YE供应商和第二大酵母供应商，酵母总产能超45万吨，在全球16个城市拥有生产基地，产能建设稳步推进。2、成本方面，国内糖蜜价格下降概率较大，同时埃及、俄罗斯公司扩建可进一步发挥海外成本优势。3、展望后续，随着国内酵母市场需求持续改善，海外扩张态势良好，收入端有望持续增长；利润端方面随着糖蜜成本红利持续与海运费用持续优化，后续仍具备充足弹性。盈利预测与投资建议。预计2025-2027年EPS分别为1.78元、2.10元、2.43元，对应动态PE分别为22倍、18倍、16倍，维持“买入”评级。风险提示：原材料价格或大幅波动；汇率或大幅波动；产能建设进度或不及预期。,,西南证券,买入,[None],2025-11-01,,买入,7568929,pdf_downloads/2025/2025-11-01/600298-安琪酵母（600298）：25Q3海外市场表现出色，成本红利持续释放.pdf,600298,安琪酵母,安琪酵母（600298）：25Q3海外市场表现出色，成本红利持续释放
"张东雪,周翔",业绩公告：公司2025年前三季度实现营业收入117.9亿元，同比+8%，归母净利润11.2亿元，同比+17.1%，扣非归母净利润9.7亿元，同比+15%。其中，Q3单季度公司实现营收38.9亿元，同比+4%；归母净利润3.2亿元，同比+21%；扣非归母净利润2.2亿元，同比-8.2%。Q3国内业务有所承压，海外业务保持高质量增长。分产品看，Q3酵母及深加工、制糖业务、包装类、食品原料以及其他产品营收分别同比+2%/-17%/-34%/+30.8%。其中，公司酵母主业增速环比降速，预计系国内需求偏淡以及高基数等影响。分渠道看，线上、线下渠道Q3营收分别同比+8.1%/-2.1%。分区域看，Q3国内、海外营收分别同比-3.5%/+17.7%；Q1-3国内、国外经销商数量分别净增加427/507家，同时海外平均单商收入同比+8%，海外保持高质量增长。成本红利扩大、出口运价回落等驱动Q3毛利率显著改善，但同期费用率提升较多。盈利端，公司Q1-3综合毛利率为25.54%，对比上年同期提升2.26pct，其中Q3公司综合毛利率实现24.43%，对比同期提升3.08pct，单季度盈利改善幅度扩大，24Q4/25Q1/25Q2毛利率分别改善1.13/1.31/2.27pct;预计系糖蜜综合使用成本不断下移，出口运价大幅回落等贡献。费用方面，公司25Q3销售/管理/研发/财务费用率分别对比同期+0.65/+0.70/+0.25/+1.41pct，Q3四项费用率合计同比+3.01pct；其中，财务费用显著增加主要原因是本年利息支出增加。总体来看，Q3公司扣非归母净利率/归母净利率同比-0.76/+1.15pct，两者表现差异主要受其他收益等扰动。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为15.95/19.93/23.15亿元，同比增速为20%/25%/16%，对应PE分别为21/17/15倍。鉴于公司作为全球酵母龙头，海外营收保持快速增长，盈利周期预计向上，维持“买入”评级。风险提示。原材料价格波动，市场竞争加剧，食品安全问题,,华源证券,买入,[None],2025-10-31,,买入,7095787,pdf_downloads/2025/2025-10-31/600298-安琪酵母（600298）：Q3毛利率显著改善，短期费用波动不改盈利向上.pdf,600298,安琪酵母,安琪酵母（600298）：Q3毛利率显著改善，短期费用波动不改盈利向上
"张宇光,方勇",成本下降、利润弹性释放，维持“买入”评级2025Q1-Q3公司营业总收入117.86亿元，同比+8.01%；扣非前后归母净利润11.16、9.65亿元，同比+17.13%、15.02%。2025Q3营收38.87亿元，同比+4.00%，扣非前后归母净利润3.17、2.23亿元，同比+21.00%、-8.17%。因国内需求疲软，我们下调2025-2027年归母净利润预测15.43/19.69/24.08亿元（前次16.39/20.96/25.42亿元），对应2025-2027年EPS1.78/2.27/2.77元，当前股价对应2025-2027年21.9/17.1/14.0倍PE，新榨季糖蜜价格下降幅度可期，2025-2026年利润弹性有望持续释放，维持“买入”评级。国内需求短期依然疲软，国际市场保持较好势头分业务看，2025Q3酵母、制糖、包装营收同比+2.0%、-17.0%、-34.0%，其中酵母主业增速有所放缓，主因国内需求疲软；制糖业务增速下降主因糖价下降等因素影响。分区域看，国内、国际市场营收同比-3.5%、+17.7%，国内市场需求再现疲软，短期仍有待恢复；国际市场营收增速仍保持较快增长，势头依然良好，增速略有下降。成本如期下降，利润弹性显现2025Q3归母净利率同比+1.15pct，其中公司毛利率同比+3.08pct，预计糖蜜成本下降、规模效应带动效率提升贡献。销售、管理、研发、财务费用率分别同比+0.65、+0.70、+0.25、+1.41pct，其中销售人员薪酬增长、利息费用增长影响销售和财务费用率，其他收益/收入增厚2.21pct，主因政府补助增加所致。新榨季糖蜜价格催化正在进行时，中长期稳健成长仍可期当前国际市场较快增长弥补短期国内增速不足影响，长期来看国内需求和格局有望企稳改善，国际市场拓展空间可期。2025Q1-Q3收入增速偏慢，后续有望追赶至10%左右着呢各种。当前新榨季糖蜜采购临近，我们认为糖蜜成本有望超预期下降，2026年利润弹性可期。风险提示：汇率波动风险、降价风险、食品安全风险、国际需求下降风险。,,开源证券,买入,[None],2025-10-31,,买入,7091363,pdf_downloads/2025/2025-10-31/600298-安琪酵母（600298）：公司信息更新报告：国内需求承压，新榨季糖蜜价格下降弹性大.pdf,600298,安琪酵母,安琪酵母（600298）：公司信息更新报告：国内需求承压，新榨季糖蜜价格下降弹性大
"李梓语,陈熠",成本红利持续兑现，费用扰动扣非承压事件：公司发布2025年三季报，前三季度公司实现营收117.9亿元，同比+8.0%；归母净利润11.2亿元，同比+17.1%；扣非归母净利润9.7亿元，同比+15.0%。25Q3实现营收38.9亿元，同比+4.0%；归母净利润3.2亿元，同比+21.0%；扣非归母净利润2.2亿元，同比-8.2%。主业高基数下表现稳健，海外保持双位数增长。25Q3公司收入端稳健增长，分品类来看酵母及深加工/制糖/包装/其他（食品品料））业务分别实现营收26.5/2.6/0.7/9.0亿元，同比+2.0%/-17.0%/-34.0%/+30.8%，酵母及深加工主业在高基数下表现稳健，制糖和包装业务有所下滑，而品品料）等其他业务保持高速增长，贡献收入增量。分地区来看，25Q3国内/国外实现营收21.9/16.9亿元，同比-3.5%/+17.7%，海外维持双位数增长，国内收入略降或受基数偏高、整体消费力偏弱影响。毛利率提升幅度亮眼，费用率上行影响扣非净利润表现。25Q3公司毛利率同比+3.1pct至24.4%，毛利率提升幅度亮眼，我们判断持续受益于糖蜜成本、海运费同比下降。25Q3公司销售/管理/研发/财务费用率同比+0.6/+0.7/+0.2/+1.4pct至6.2%/3.8%/4.0%/2.2%，其中财务费用率提升幅度较大。但25Q3政府补助同比增加8873万元，显著增厚利润。综合来看，25Q3归母/扣非净利率同比+1.1/-0.8pct至8.2%/5.7%。收入提速冲刺全年目标，成本及海运费下降红利延续。展望25Q4，收入基数下降后增长有望提速，或仍将推进全年营收同比增速实现10%以上的目标。其中国内小包装酵母增速更高，海外市场中东、非洲、东南亚、中亚等保持较好增长。利润端来看，我们预计糖蜜成本红利、海运费下降有望在25Q4延续，持续兑现利润弹性。投资建议：考虑到Q3费率上行压制利润表现，略下调盈利预测，预计公司2025-2027年分别实现归母净利润16.0/18.8/21.8亿元（前次为16.4/19.2/21.9亿元），同比+20.6%/18.0%/15.8%，当前股价对应PE为22/19/16x，维持“买入”评级。风险提示：行业竞争加剧，消费力恢复不及预期，大单品培育不及预期。,,国盛证券,买入,[None],2025-10-31,,买入,7081100,pdf_downloads/2025/2025-10-31/600298-安琪酵母（600298）：成本红利持续兑现，费用扰动扣非承压.pdf,600298,安琪酵母,安琪酵母（600298）：成本红利持续兑现，费用扰动扣非承压
