author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘孟峦,谷瑜",公司2025H1归母净利润同比微增3.3%，实现平稳经营。2025H1实现营收106亿元（+7.7%），归母净利润9.3亿元（+3.3%），扣非归母净利润9.2亿元（+12.1%），经营活动产生的现金流量净额21.6亿元（+34.7%）。2025Q2归母净利润4.4亿元，同比略增5.5%，环比-11.4%。上半年公司集中开展会泽冶炼、呼伦贝尔驰宏、驰宏综合利用和永昌铅锌冶炼系统年度检修；下半年将在主金属有边际贡献的前提下，优化生产组织，确保冶炼系统稳产优产。产销情况：2025H1公司铅锌精矿产量15.16万金属吨，同比增加0.34万金属吨，增幅2.29%，会泽矿业深部安全系统优化工程建设和荣达矿业怡盛元矿区整改工作正在有序推进中，2个项目的实施将对公司2025年矿山产能的释放产生阶段性影响。公司冶炼铅锌产品产量32.92万吨，同比减少2.47万吨，降幅6.98%，主要系上半年集中开展冶炼系统年检。同比2024H1年，增利因素：①2025H1锌价23312元/吨，同比增1092元/吨，涨价增利约2.7亿元；②2025H1锗价1573万元/吨同比增597万元/吨，半年度产锗产品含锗32.58吨，增利约1.9亿元。减利因素：①2025H1冶炼铅锌产量32.92万吨，同比减2.47万吨，减利约1亿元；②2025H1锌冶炼加工费3115元/吨，同比下降352元/吨，铅冶炼加工费642元/吨，同比下降150元/吨，合计减利约1亿元。2024年6月份以来锗价暴涨，锗锭价格先涨至18850元/千克后回落至2025年6月末的14500元/千克。驰宏锌锗是全球最大锗生产商，会泽矿、彝良矿伴生锗，年产能60吨，占全球1/4，占国内1/3，如果锗价能维持在高位，公司将明显受益。风险提示：铅锌价格下跌风险，精矿加工费下跌风险，老旧资产减值超预期。投资建议：维持“优于大市”评级。参照今年年初至今各个商品的均价，假设2025/2026/2027年锌锭现货年均价23000元/吨，锌精矿加工费均为3500元/吨，铅锭现货价格年均价17000元/吨，铅精矿加工费为700元/吨，锗价15000元/千克。预计公司2025-2027年归母净利润分别为17.5/19.2/20.0亿元（前值15.45/17.02/17.77亿元），同比增长35.7%/9.5%/4.2%，摊薄EPS分别为0.34/0.38/0.39元，当前股价对应PE为17.4/15.9/15.3X。公司是国内铅锌龙头企业，拥有全球顶级高品位铅锌矿山，配套冶炼产能布局合理，未来2-3年依托股东加速扩张且路径明确，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-09-03,,买入,6389700,pdf_downloads/2025/2025-09-03/600497-驰宏锌锗（600497）：公司稳中有升，25H1归母同比微增3.3%.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：公司稳中有升，25H1归母同比微增3.3%
"邱祖学,袁浩",产量保持稳定，业绩稳健增长事件：公司发布2025年半年报。2025年上半年公司营业收入105.81亿元，同比+7.67%；归母净利润9.32亿元，同比+3.27%；扣非净利润9.19亿元，同比+12.11%；其中2025Q2，公司单季度营业收入54.37亿元，同比+5.47%，环比+5.69%；单季度归母净利润4.38亿元，同比+5.45%，环比-11.42%；单季度扣非净利润4.34亿元，同比+20.71%，环比-10.41%。公司宣布中期分红，拟向全体股东每10股派发现金红利0.3元（含税），合计派发1.5亿，支付比例达到16.1%。矿山端：精矿产量同比略有恢复，铅锌价格同比稳定。公司25H1铅锌精矿金属产量 15.16万吨，同比增加0.34万吨，其中，铅/锌产量同比变化+13.8%/-1.3%。会泽矿业深部安全系统优化工程建设和荣达矿业怡盛元矿区整改工作正在有序推进中，对公司 2025 年矿山产能的释放产生阶段性影响。价格方面，24H1国内铅价16827元/吨，同比-0.38%；24H1锌价23328元/吨，同比增长5.18%，铅锌价格整体保持稳定。国内锗锭及二氧化锗价格大幅上涨，分别同比上涨61.92%和57.68%。冶炼端：锌加工费趋势性回升明显，产量受检修影响同比略有下滑。25H1铅锌精炼产品产量32.92 万吨，同比-6.98%，其中锌合金产品产量 10.95 万吨，同比+ 17.23%；锗产品含锗产量 32.58 吨，同比-4.99%；银产品产量 87.32吨，同比+16.44%；黄金产量 116.26 千克，同比-25.13%。根据SMM，25H1国内锌精矿加工费趋势性回升明显，主要是海外矿山陆续复产提产，全球锌精矿供应显著增加，国内原料供应逐步转向宽松，冶炼厂利润得到修复。铅精矿加工费维持在低位。费用有所提升，资产结构进一步优化。25H1公司销售/管理/研发费用分别0.32/5.54/0.63亿元，同比变化+44.10%/+23.91%/+41.06%，主要系薪酬计提同比增加。截至2025年上半年公司资产负债率26.44%，较2024年末下降2.33pct，经营性现金流量净额21.58亿元，同比增长34.73%未来看点：①铅锌行业龙头，资源禀赋优异。铅锌资源量超过3200万吨，矿山铅锌精矿完全成本稳定保持在行业前 1/4 分位；②资产注入进行时，青海鸿鑫100%股权已注入公司、正式托管云铜锌业81.12%股权、金鼎锌业100%股权，期待未来注入，资源禀赋和金属产量有望进一步提升投资建议：公司铅锌资源丰富，业绩有望保持增长，我们预计2025-2027年分别实现归母净利润18.62/20.17/23.63亿元，EPS分别为0.37/0.40/0.47元/股。以2025年8月27日收盘价计算，公司2024-2026的PE为16/15/12倍，维持“推荐”评级。风险提示：铅锌价格下跌风险，项目增产不及预期风险。,,民生证券,推荐,[None],2025-08-28,,增持,6359614,pdf_downloads/2025/2025-08-28/600497-驰宏锌锗（600497）：2025年半年报点评：产量保持稳定，业绩稳健增长.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：2025年半年报点评：产量保持稳定，业绩稳健增长
李斌,2025年8月27日│中国内地 基本金属及加工 驰宏锌锗发布半年报，2025年H1实现营收105.81亿元（yoy+7.67%），归母净利9.32亿元（yoy+3.27%），扣非净利9.19亿元（yoy+12.11%）。其中Q2实现营收54.37亿元（yoy+5.47%，qoq+5.69%），归母净利4.38亿元（yoy+5.45%，qoq-11.42%）。公司高分红属性突出，电解铝产能天花板约束下，铝价维持高位，公司盈利稳中有增，维持公司增持评级。公司上半年毛利率同比上升，费用率略有抬升盈利方面，公司25H1毛利率19.77%，同比+2.03pct，其中25Q2毛利率为19.83%，环比+0.12pct。费用方面，公司上半年合计期间费用率为6.52%，同比+0.76pct，其中25Q2合计期间费用率6.94%，环比+0.87pct，其中二季度管理费用率5.66%，同比上升1.86pct，根据公司披露主要系根据权责发生制计提薪酬同比增加所致。云铜锌业15万吨锌锭项目进入试生产阶段根据半年报，截至25年年中，公司目前拥有铅锌金属产能42万吨/年，目前公司拥有冶炼产能63万吨/年，原生锗产能60吨。增量方面，西藏鑫湖1万吨铅锌项目的产能爬坡或贡献增量。云铜锌业异地新建项目于2025年5月28日已经成功产出首批锌锭，设计产能为15万吨锌锭及24万吨工业硫酸，预计下半年进入试生产。中长期来看，呼伦贝尔驰宏铅锌冶炼挖潜增效工程开工，建成后预计每年可新增4万吨铅产品产能，6万吨锌产品产能。资源整合持续推进，未来规划延续深耕铅锌锗资源根据公司半年报，25H1共实现铅锌资源增储28万吨，矿产资源储量持续保持净增长，当前保有铅锌资源量超3200万吨，锗资源量593吨，且未来托管企业金鼎锌业、云铜锌业有望择机注入，公司铅锌龙头地位稳固。未来战略规划方面，公司已经编制完成《公司“十五五”规划》(建议稿)，目前正在做进一步完善修订，未来公司将持续深耕铅锌锗主业，以强化资源保障能力为基础，向高附加值产业链延伸，科学规划产能布局，持续提升公司市场竞争力。盈利预测与估值我们基本维持公司25-27年归母净利润为19.38/21.43/23.07亿元，对应EPS为0.38/0.43/0.46元。可比公司25年Wind一致预期PE均值为18.3倍，给予公司25年18.3倍PE，目标价6.95元（前值6.08元，对应25年16X PE）。风险提示：铅锌下游需求不及预期，公司在建产能进度不及预期。,,华泰证券,增持,[None],2025-08-27,,增持,6354582,pdf_downloads/2025/2025-08-27/600497-驰宏锌锗（600497）：公司Q2业绩同环比均实现增长.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：公司Q2业绩同环比均实现增长
"刘强,梁必果",事件：2025年3月28日，公司发布2024年年报，报告期内公司实现收入188.0亿元，同比-14.8%；归母净利润12.9亿元，同比-14.2%；扣非净利润14.0亿元，同比-9.6%。其中第四季度实现收入41.5亿元，同比-25.5%，环比-14.0%；归母净利润-1.8亿元，扣非净利润0.3亿元。受项目改造等影响，铅锌产量有所下滑。2024年公司铅精矿/锌精矿产量分别为7.5/21.5万金属吨，同比分别为-15.1%/-14.9%；铅产品/锌产品产量分别为16.6/48.5万吨，同比分别为-7.4%/-6.4%；锗产品产量65.1吨，同比-1.2%。公司铅锌精矿产量下滑主要因为：（1）会泽矿业实施选矿厂提质增效项目及深部安全系统优化工程项目，影响了2024年产量；（2）荣达矿业因安全生产许可证办理问题，2024年1-8月部分生产系统停产改造至9月份才恢复生产。盈利能力同比提升，期间费用率有所增加。2024年公司销售/管理/研发/财务费用率合计为7.66%，同比+2.13pct；其中第四季度销售/管理/研发/财务费用率合计为12.64%，同比+2.91pct。2024年公司毛利率/净利率为17.71%/6.87%，同比分别为+1.64/+0.35pct，同比有所增加。根据上海有色网等数据统计，2024年铅/锌全年均价分别为1.72/2.34万元/吨，同比分别为+10.1%/+8.2%；国产铅/锌精矿加工费全年均价分别为675/2642元/金属吨，同比-35.7%/-46.4%；2024年国内铅锌矿供应偏紧，铅锌精矿加工费持续下滑，冶炼企业开工积极性受挫。2024年锗锭/二氧化锗全年均价分别为1.34/0.93万元/千克，同比分别为+45.0%/+51.1%，地缘动荡加剧推动锗价格显著走强。资产负债率继续降低，维持高股息分配率。至2024年年末，公司长短期借款分别为12.1/6.1亿元，同比分别为-11.6/-1.0亿元；资产负债率为28.8%，同比-2.4pct，持续下降；公司拟派发现金红利6.6亿元，占2024年归母净利润的51.2%，维持高股息分配率。投资建议：我们下调公司2025、2026年并新增2027年盈利预测，预计公司2025-2027年归母净利润分别为17.5/20.0/22.6亿元（2025、2026年前值分别为21.2/23.6亿元），我们看好公司铅锌锗业务长期发展趋势，维持“买入”评级。风险提示：价格大幅波动风险，供应端超预期释放，下游需求不及预期。,,太平洋证券,买入,[None],2025-04-02,,买入,5974742,pdf_downloads/2025/2025-04-02/600497-驰宏锌锗（600497）：项目改造影响产量，维持高股息分配率.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：项目改造影响产量，维持高股息分配率
"刘孟峦,焦方冉,谷瑜",公司2024全年归母净利润同比下降14%。2024全年实现营收188亿元（-14.80%），归母净利润12.9亿元（-14.24%），扣非归母净利润14.0亿元（-9.57%），经营活动产生的现金流量净额23.7亿元（-34.40%）。2024Q4归母净利润-1.8亿元，同比亏损缩小，环比转负；2024Q4扣非归母净利润0.3亿元，同比转正，环比-94.2%。2024Q4归母为负主要系：①会泽矿业Q4实施深部安全系统优化工程项目，影响产量；②2024年对部分已达到报废条件的固定资产进行了报废处置2.19亿元；③2024年度部分月度绩效工资预留至年末发放。产销情况：2024全年矿山铅产量7.50万吨同比减1.33万吨，矿山锌产量21.48万吨同比减3.75万吨，全年铅锌精矿产量28.98万吨，同比减少5.08万吨，主要系会泽铅锌矿提质增效项目以及荣达矿业因安全生产许可证办理问题部分生产系统停产改造。铅产品产量16.62万吨环比减1.32万吨，锌产品产量48.52万吨环比减3.29万吨。同比2023年，增利因素：①2024铅价17141元/吨，同比增1529元/吨，锌价23419元/吨，同比增1791元/吨，涨价增利约5亿元；②2024锗价1351万元/吨同比增416万元/吨，全年产锗产品含锗65.12吨，增利约2.7亿元。减利因素：①矿山铅锌产量同比减5.08万吨减利约5亿元；②锌冶炼加工费环比下降2645元/吨，减利约7.7亿元。2024年6月份以来锗价暴涨，截至年末锗锭价格涨至17650元/千克。驰宏锌锗是全球最大锗生产商，会泽矿、彝良矿伴生锗，年产能60吨，占全球1/4，占国内1/3，如果锗价能维持在高位，公司将明显受益。风险提示：铅锌价格下跌风险，精矿加工费下跌风险，老旧资产减值超预期。投资建议：维持“优于大市”评级。参照今年年初至今各个商品的均价，假设2025/2026/2027年锌锭现货年均价23000元/吨，锌精矿加工费均为3000元/吨，铅锭现货价格年均价17000元/吨，铅精矿加工费为700元/吨，锗价15000元/千克。预计公司2025-2027年归母净利润分别为15.45/17.02/17.77亿元（前值20.43/22.40/-亿元），同比增长19.5%/10.1%/4.4%，摊薄EPS分别为0.30/0.33/0.35元，当前股价对应PE为18.4/16.7/16.0X。考虑到公司是国内铅锌龙头企业，拥有全球顶级高品位铅锌矿山，配套冶炼产能布局合理，未来2-3年依托股东加速扩张且路径明确，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-03-31,,买入,5970433,pdf_downloads/2025/2025-03-31/600497-驰宏锌锗（600497）：核心矿山智能化建设影响产量，普查报废资产轻装上阵，24归母同比-14%.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：核心矿山智能化建设影响产量，普查报废资产轻装上阵，24归母同比-14%
"李斌,马晓晨",驰宏锌锗发布年报，2024年实现营收188.03亿元（yoy-14.80%），归母净利12.93亿元（yoy-14.24%），低于我们此前的预期的24年归母净利润22.38亿元，其中Q4实现营收41.51亿元（yoy-25.48%，qoq-13.98%），归母净利-1.81亿元（yoy+25.40%，qoq-131.72%）。公司成本修复虽仍需时间，但考虑公司未来锗板块盈利增长可期，我们维持增持评级。成本上升，导致公司四季度业绩承压根据年报披露，公司24年锌锭及合金/铅锭销量分别为48.54/16.60万吨（yoy-5.97%/-5.88%）。24年公司综合毛利率为17.71%，yoy+0.60pct，其中24Q4毛利率为11.29%，环比-11.85pct，受矿端自给率下降导致成本上升影响，公司四季度盈利能力下滑。费用方面，公司24年合计期间费用率7.66%，同比+1.49pct。量价承压叠加费用率上升对公司业绩造成一定影响。公司拥有铅锌金属产能42万吨/年，未来仍有增量公司坚持矿冶一体化产业布局，依矿建厂，形成了“7 座矿山+4 座冶炼厂”相辅相成的产业布局。其中矿端来看，根据24年报，公司拥有42万吨/年的铅锌金属矿产能；冶炼端，公司铅锌精炼产品产能 63 万吨/年相对稳定。增量方面，西藏鑫湖为公司在建矿山，采矿设计产能20 万吨/年，建成后可形成2 万吨/年的矿山铅锌金属产能，2024 年6月，一期项目顺利完工，具备 10 万吨/年采矿能力、1 万吨/年的矿山铅锌金属产能，2024 年下半年开始试生产，2025 年将正式投产。驰宏锌锗加快资源整合，铅锌龙头地位巩固公司在2024年加快资源整合，通过收购青海鸿鑫等企业，显著提升了铅锌资源储备和生产能力。公司凭借中铝集团背景，加大资源并购力度，进一步巩固了其在铅锌行业的龙头地位。此外公司持续优化资产结构，24年资产负债率同比下降1.62个百分点至28.77%。分红方面，公司24年计划分红比例高达51.43%，积极推进股东回报工作，增强公司未来投资价值。盈利预测与估值由于公司矿端自给率修复仍需时间，我们上调成本假设，铅锌价格偏弱预期下，我们下调价格假设，预计公司25-27年EPS分别为0.38/0.42/0.45元（较前值-20.83%/-19.23%/-）。可比公司25年Wind一致预期PE均值为14.2倍，考虑公司较其他可比公司，公司锗板块未来业绩放量可期，同时公司传统铅锌板块25-26年或实现逐步修复，给予公司25年16倍PE（前值：24年12.7XPE），目标价6.08元（前值5.58元），维持“增持”评级。风险提示：公司项目推进不及预期，铅锌价超预期下跌。,,华泰证券,增持,[None],2025-03-30,,增持,5968336,pdf_downloads/2025/2025-03-30/600497-驰宏锌锗（600497）：成本上升导致公司四季度业绩承压.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：成本上升导致公司四季度业绩承压
"刘孟峦,焦方冉,谷瑜",驰宏锌锗核心推荐逻辑坐拥全球顶级铅锌矿山，具备较强盈利能力截止2023年末，公司铅锌出矿品位15.38%，行业平均值6.55%，行业最优值28%，来自公司驰宏会泽矿业。对比国际和国内主要铅锌矿山企业，公司铅锌矿山品位明显高于同行业，在全球范围内都是稀缺资源，矿山金属生产成本远低于行业平均水平。公司会泽、彝良两座矿山产量占公司矿山金属总产量80%，这两座矿山采选成本位于全球锌矿山成本曲线前10%。公司目前拥有铅锌金属产能42万吨/年，冶炼产能63万吨/年，拥有锗产品含锗产能60吨/年。锌矿山产能将见顶，加工费历史低位全球锌矿山生产能力即将见顶，根据Wood Mackenzie数据，2022-2026年，全球锌精矿生产能力年化增速3.7%，矿山的生产能力预计将于2026年达到峰值，不过根据历年经验，矿端增量大多不及预期。加工费方面，据百川盈孚统计，2024年我国精炼锌累计产量预估567.2万吨，同比下滑4.47%，年初新疆紫金锌合金项目和河池南方二期项目完成投产，产能虽有增长，但全年国产锌精矿供应紧缺形势严峻，进口锌精矿同比回落，2024年锌精矿进口较去年累计同比减少14.98%，加工费处在历史低位水平，亏损逐渐加深炼厂生产意愿不足，8月中旬国内冶炼厂达成减产共识，年内精炼锌产量同比下滑。去年锌精矿加工费一直处于低位，即使考虑“二八分成”，锌冶炼利润也并不丰厚，迫使冶炼厂减产。根据Wood Mackenzie数据，由于低基数的影响，2025年全球精炼锌供应增速为7.4%，低于锌精矿10.0%的增速水平。需求端给出2.9%的年化需求增速，以此测算2025年全球精炼锌供应短缺43万吨。而当前锌市场是高库存，国外精炼锌可交割库存高位，国内锌精矿库存较低。若精炼锌出现短缺，产业链去库可化解。我们认为今年全球锌供需格局较为健康，锌价有望维持在较高水平。背靠中铝集团，步入加速扩张期公司是中铝集团旗下唯一以铅锌为主业的上市平台，中铝集团及中国铜业已筹划铅锌采选冶同业竞争的整合工作，公司有望迎来加速发展期。公司力争十四五末保有铅锌资源储量不低于5000万金属吨，矿山金属产量保底80万吨/年（力争100万吨/年），铅锌冶炼产能100万吨/年（力争136万吨/年）；年营业收入300亿元；年利润总额40亿元。目前，公司西藏鑫湖产能爬坡，金欣钼业待建，金鼎锌业、云铜锌业待注入。风险提示：项目建设进度不达预期；有色金属价格表现不及预期。投资建议：维持“优大于市”评级预计2024-2026年营业收入分别为222.3/231.1/237.3亿元，归母净利润分别为18.53/20.43/22.40亿元，同比增长29.3%/10.2%/9.7%，摊薄EPS分别为0.36/0.40/0.44元，当前股价对应PE为15.5/14.1/12.8X。通过多角度估值，我们认为公司合理估值区间在6.42-7.22元之间，2025年动态市盈率在16-18倍之间，相对于公司目前的股价有14%-28%左右的空间，对应总市值在327-368亿元之间。我们认为公司是国内铅锌行业龙头，拥有全球最优质铅锌矿山，盈利能力强，有望借助控股股东整合铅锌采选冶实现加速扩张，充分受益于锌价上行周期，维持“优大于市”评级。,,国信证券,优于大市,[None],2025-01-17,,买入,5897805,pdf_downloads/2025/2025-01-17/600497-驰宏锌锗（600497）：中铝旗下铅锌龙头，优质资源静待注入.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：中铝旗下铅锌龙头，优质资源静待注入
"刘强,梁必果,谭甘露,钟欣材",报告摘要1、专注铅锌锗产业七十余载。公司前身会泽铅锌矿成立于1951年1月5日，其中锗为两弹一星的成功研制做出突出贡献，公司改制成立于2000年7月，于2004年4月在上海证券交易所上市挂牌交易，于2019年正式进入中铝集团管理序列。公司是一家以铅锌锗产业为主，集地质勘探、采矿、选矿、冶炼、化工、深加工、贸易和科研为一体的综合性矿业公司。2、公司资源禀赋优势显著，优质资产注入确定性高。公司资源禀赋优势显著，截至2024年H1，公司具有铅锌精矿金属产能42万吨/年、铅锌精炼产能63万吨/年、锗产品含锗产能60吨/年、金银镉铋锑等稀贵金属1000余吨/年的综合生产能力。中国铜业旗下的青海鸿鑫、金鼎锌业、云铜锌业与驰宏锌锗存在同业竞争，中国铜业承诺将以资产注入的方式解决同业竞争问题。2024年1月，驰宏锌锗已完成收购青海鸿鑫100%股权，集团将继续推动金鼎锌业、云铜锌业的注入事宜。3、锌：产量连续两年小幅下降，政策发力之下需求有望触底回升。根据USGS统计，2023年全球锌产量为1200万吨，同比-4.0%，自2021年后产量达1270万吨后，连续两年小幅下降。从下游需求结构来看，终端锌消费结构主要包括基础设施、建筑、交通工具、耐用消费品、机械、其他。近年来全球精炼锌需求在1400万吨左右，2024年1-9月全球精炼锌需求为1023万吨，同比+1.4%，随着宏观经济政策逐步发力，需求端有望触底回升。4、铅：产量较为稳定，下游主要为铅酸蓄电池，应用范围较广。全球精炼铅近年来产量维持在1200至1300万吨左右，2023年中国再生铅产量为463万吨，占据国内铅精矿总供应的56%，再生铅产业链较为成熟。从下游需求结构来看，2022年中国原生铅/再生铅主要下游为铅酸蓄电池，需求占比约80%，铅酸蓄电池主要应用于动力电池、储能电池、备用电源电池、启动电池，下游应用范围较广。5、锗：全球多国将锗列入关键原材料清单，主要应用于红外成像仪等领域。根据USGS统计，全球已探明的锗资源储量为8600吨，主要分布在美国、中国、俄罗斯等国，由于锗资源较为稀缺，全球多个国家已经把锗列为战略资源进行保护。锗具有优异的半导体特性和高红外折射率，主要应用于红外成像仪、光纤通讯材料、太阳能电池等。6、盈利预测与投资建议：我们预计公司2024-2026年营业收入分别为224.5/238.6/251.5亿元，归母净利润分别为18.6/21.2/23.6亿元，对应EPS分别为0.36/0.42/0.46元/股。公司作为锌铅锗国内全产业链龙头企业，我们看好公司长期发展趋势，首次覆盖，给予“买入”评级。风险提示：价格大幅波动风险，供应端超预期释放，下游需求不及预期。,,太平洋证券,买入,[None],2024-12-17,,买入,5867859,pdf_downloads/2024/2024-12-17/600497-驰宏锌锗（600497）深度报告：锌光熠熠驰宏志，铅程似锦锗业兴.pdf,600497,驰宏锌锗,驰宏锌锗（600497）深度报告：锌光熠熠驰宏志，铅程似锦锗业兴
"刘孟峦,焦方冉",2024Q1-Q3归母净利润同比下降10%。2024Q1-Q3实现营收146.5亿元（-10.7%），归母净利润14.7亿元（-9.7%），扣非归母净利润13.7亿元（-13.2%），经营活动产生的现金流量净额25.9亿元（-6.7%）。2024Q3归母净利润5.7亿元，同比+1.3%，环比+37.5%；2024Q3扣非归母净利润5.45亿元，同比-0.2%，环比+51.6%。产销情况：Q3矿山铅产量2.26万吨环比增0.66万吨，矿山锌产量5.87万吨环比增1.27万吨，因主力矿山会泽铅锌矿完成智能化改造，产量环比增加；冶炼铅产量4.35万吨环比增0.18万吨，冶炼锌产量6.26万吨环比减2.19万吨，主因锌精矿加工费大幅下滑，控制生产节奏。环比二季度，增利因素：①Q3铅价18062元/吨，环比增300元/吨，锌价23578元/吨，环比增250元/吨，涨价增利2000万元；②矿山锌产量环比增1.27万吨增利1.3亿元；③Q3锗价1550万元/吨环比增560万元/吨，假设单季度锗产量17吨，增利9000万元。减利因素：锌冶炼加工费环比下降1000元/吨，减利6000万元。今年6月份以来锗价暴涨，截至10月底锗锭价格涨至18750元/千克。驰宏锌锗是全球最大锗生产商，会泽矿、彝良矿伴生锗，年产能60吨，占全球1/4，占国内1/3，如果锗价能维持在高位，公司将明显受益。风险提示：铅锌价格下跌风险，精矿加工费下跌风险。投资建议：维持“优于大市”评级参照今年年初至今各个商品的均价，假设2024/2025/2026年锌锭现货年均价23000元/吨，锌精矿加工费均为3000元/吨，铅锭现货价格年均价17000元/吨，铅精矿加工费为700元/吨，锗价13000元/千克（前值9500元/千克）。预计公司2024-2026年归母净利润分别为22.93/26.18/27.24亿元（前值21.66/25.02/26.29亿元），同比增长60.0%/14.2%/4.1%，摊薄EPS分别为0.45/0.51/0.54元，当前股价对应PE为12.6/11.0/10.6X。考虑到公司是国内铅锌龙头企业，拥有全球顶级高品位铅锌矿山，配套冶炼产能布局合理，未来2-3年依托股东加速扩张且路径明确，维持“优于大市”评级。,,国信证券,优于大市,[None],2024-10-30,,买入,5807944,pdf_downloads/2024/2024-10-30/600497-驰宏锌锗（600497）：主力矿山恢复正常生产，三季度业绩环比改善.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：主力矿山恢复正常生产，三季度业绩环比改善
"马金龙,刘岗",公司发布2024年三季报，公司前三季度实现营业收入146.52亿元，同比下降11.19%；归母净利润14.74亿元，同比下降15.79%；扣非归母净利13.65亿元，同比下降19.17%；其中第三季度，公司实现营业收入48.25亿元，同比下滑11.48%，环比下滑6.4%；归母净利润5.71亿元，同比下滑2.97%，环比增长37.5%；扣非归母净利润5.45亿元，同比下降4.59%，环比增长51.56%。评论：业绩符合预期，铅锌锗价格上涨带动三季度业绩环比回升。2024年前三季度，国内铅锌锗价格整体走强，分别同比+12.3%、+4.3%、+29%，其中三季度铅锌锗均价分别同比+13.3%、+12.4%、+65.9%，分别环比+1.6%、+0.9%、+59%，但铅锌加工费下滑明显，前三季度国产铅、锌加工费分别同比-38%、-42.9%，其中三季度铅锌加工费分别同比-54.5%、-66.3%，分别环比-27.8%、-44.6%。受铅锌冶炼费大幅下滑，公司前三季度实现营业收入146.52亿元，同比下降11.19%；归母净利润14.74亿元，同比下降15.79%，其中三季度实现营业收入48.25亿元，同比下滑11.48%，环比下滑6.4%；归母净利润5.71亿元，同比下滑2.97%，环比增长37.5%。第三季度公司期间费用小幅增长。公司第三季度销售费用、管理费用、财务费用和研发费用总额3.5亿元，同比+37.7%，环比+31.2%，期间费用率为7.2%，同比+2.5pct，环比+2.1pct，其中研发费用0.36亿元，同比+154%，环比+48%，系公司加大研发投入力度所致。此外，公司资产减值损失-0.2亿元，主要系每月末按照市场价格及加工费空间进行存货跌价测试，按照测试结果冲回存货跌价准备所致；营业外支出0.12亿元，同比+284%，环比+6.8%，主要系本期捐赠支出较上年同期增加及资产报废损失所致；其他收益0.4亿元，同比+472%，环比-33.3%，主要系增值税5%加计递减及即征即退较上年同期增加所致。第三季度精矿产量环比提升，冶炼产品产量同环比有所下滑。2024年前三季度，会泽矿业选矿厂因提质增效项目建设致其选矿系统停产、荣达矿业因安全生产许可证办理问题前三季度部分生产系统停产，公司铅锌精矿金属产量23.03万吨，同比减少2.76万吨，其中铅金属5.86万吨，同比-12%，锌金属17.17万吨，同比-10%，公司锌产品产量38.15万吨，同比-1%，铅产品产量12.85万吨，同比-3%，锗产品含锗产量51.18吨，同比增长16%；其中第三季度，公司生产铅金属2.26万吨，同比-10%，环比+41%，锌金属5.87万吨，同比-15%，环比+28%，锌产品11.26万吨，同比-8%，环比-15%，铅产品4.35万吨，同比-12%，环比+4%，锗产品含锗产量16.89吨，同比+38%，环比-10%。投资建议：考虑锌价上涨和冶炼加工费下滑，我们预计公司2024-2026实现归母净利润为18.6/22.7/23.4亿元（前值为18.62/20.39/21.22亿元），分别同比增长29.8%、22.2%、2.7%，参考可比公司估值情况，给予公司2025年14倍PE，对应目标价6.2元，维持“强推”评级。风险提示：金属产品价格大幅波动；项目扩产不及预期。,,华创证券,强推,[None],2024-10-25,,买入,5799566,pdf_downloads/2024/2024-10-25/600497-驰宏锌锗（600497）：2024年三季报点评：业绩符合预期，铅锌锗价格上涨带动业绩环比回升.pdf,600497,驰宏锌锗,驰宏锌锗（600497）：2024年三季报点评：业绩符合预期，铅锌锗价格上涨带动业绩环比回升
