author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"崔琰,白如","事件：公司发布收购公告，拟收购豫北转向50.9727%股份，并成为其控股股东。 拟收购豫北转向控股权 强化转向业务竞争力。豫北转向估值不超过22亿元、对应本次收购价款不超过11.21亿元，同时各方承诺，若豫北转向2025年末合并口径经审计归母净资产低于9.3亿元，则估值做相应调整，调整公式为调整后的估值=22亿元*豫北转向截至2025年末合并口径经审计归母净资产/9.3亿元。豫北转向主营业务为汽车转向系统、机电一体化零部件等，2025年实现营业收入31.79亿元、扣非归母净利润1.51亿元、扣非归母净利率4.75%；上市公司此前转向业务收入主要来自子公司浙江万达，2025H1实现营业收入4.15亿元、净利润0.13亿元、净利润率3.21%，我们简单假设浙江万达2025年全年收入8.30亿元，本次收购为公司转向业务带来近4倍增量，且豫北转向扣非归母净利率更高，有望提升公司于汽车转向业务领域的技术能力、收入规模、市场份额、市场地位、盈利能力等，丰富和完善公司在汽车安全系统领域的产品线，提升竞争力。智能化&amp;电动化齐驱 全球化再进一步。1）智能化：公司积极布局线控制动系统并成为国内首家规模化量产和交付线控制动系统的供应商，2025年前三季度在研项目达109项，且新增2条WCBS产线布局持续扩大先发优势。2）电动化：公司是国内首家实现EPB量产的供应商，2025年前三季度在研项目达181项，且2024年公告持续扩张产能，可有效缓解公司产能瓶颈、进一步强化竞争优势。3）全球化：公司2020年开始筹建墨西哥生产基地，2023年墨西哥年产400万套轻量化零部件项目已投产，2024年起筹划摩洛哥基地、全球化再进一步。线控底盘领军者 机器人业务顺利推进。2022年公司并表万达成为其第一大股东，拓展转向系统业务，2025年前三季度机械转向器、机械转向管柱在研项目分别达21项、18项，2026年拟收购豫北转向控股权，加强转向业务竞争优势；近年来公司拓展空悬业务，2024年底已完成空气悬架的B样开发验证；制动+转向+悬架布局全面，逐渐成长为线控底盘行业领军者。同时公司积极推进人形机器人业务，2025年9月设立子公司伯健传动科技、布局人形机器人丝杠产品，同期设立产业基金重点投资人形机器人、智能化等领域，2025年11月设立子公司伯特利驱动、布局人形机器人电机产品，2025年12月向安徽墨甲增资3,500万元。投资建议：公司客户和产品结构齐驱，短期受益于智能电控业务扩张，中长期线控底盘有望贡献显著增量，结合近期行业表现，我们调整盈利预测为2025-2027年收入为123.45/151.40/187.60亿元，归母净利润为13.19/16.12/20.05亿元，对应EPS为2.17/2.66/3.31元，对应2026年2月26日53.50元/股的收盘价，PE分别为25/20/16倍，维持“推荐”评级。风险提示：客户销量不及预期；原材料上涨；收购进展不及预期；关税风险等。",,国联民生证券,推荐,[None],2026-02-26,,增持,8452671,pdf_downloads/2026/2026-02-26/603596-伯特利（603596）：系列点评十三：拟收购豫北转向控股权，智能电动齐驱.pdf,603596,伯特利,伯特利（603596）：系列点评十三：拟收购豫北转向控股权，智能电动齐驱
刘虹辰,事件：早前国内首批L3级自动驾驶牌照开始批量发放，2026年启动L3自动驾驶商业化元年，伯特利以“XYZ+智驾辅助”智能底盘全系解决方案为核心，打造L3核心智驾供应商。另外，公司的人形机器人丝杠、电机业务有望打造第二增长曲线。L3核心智驾供应商。伯特利持续聚焦主业，以“XYZ+智驾辅助”智能底盘全系解决方案为核心，集成电子机械制动EMB、线控制动冗余系统WCBS 2.0H、DP-EPS电动助力转向、空气悬架等产品，供货量稳居行业龙头；辅助智驾前视一体机市场份额进入国内前十。伯特利EMB正式获得国内某大型车企项目定点，将为旗下纯电中大型豪华轿车全系提供完整的EMB解决方案，成为伯特利第二个EMB定点项目。伯特利高性能固定钳与EPB电子驻车制动钳获得华为鸿蒙智行的认可，成功搭载于智界S7、智界R7、享界S9等多款车型，成为华为鸿蒙智行的重要合作伙伴。人形机器人丝杠、电机打造第二增长曲线。伯特利在汽车零部件领域积淀的电驱动、精密传动、感知与控制技术，高度契合人形机器人核心能力。公司通过合资合作：与浙江健壮传动科技成立控股子公司浙江伯健传动科技有限公司，聚焦人形机器人关节所需的滚珠丝杠、微型及行星滚柱丝杠等精密传动部件；与廊坊金润电气共同投资的芜湖伯特利驱动科技有限公司，重点攻坚电机技术，与人形机器人关节模组等核心部件深度关联。伯特利正式将汽车零部件研发制造积累，系统性拓展人形机器人生态，完成了战略性布局人形机器人核心零部件的关键一步。EMB加速量产，智能底盘龙头。伯特利机械式线控制动系统（EMB）正式获得国内某大型车企项目定点，将为旗下纯电中大型豪华轿车全系提供完整的EMB解决方案。此次定点是伯特利的第二个EMB量产开发项目，2026年将是中国市场EMB技术实现规模化应用的元年。下一代EMB电子机械制动系统，作为高阶辅助驾驶的核心执行部件，通过电信号直接控制车辆制动器，彻底摒弃传统液压结构，响应速度较传统制动系统有大幅提升。伯特利EMB Reverse guide pin设计，降低钳体滑阻，四轮卡钳独立控制，支持L3及以上高阶智驾。行业首创空气悬架双模供气单元方案，兼容闭式与开式方案优势，调节速度相较闭式竞品提升25%，±30mm调节用开式模式调节无需气泵工作。电控减振器系统首创采用传感器融合以及与制动控制器集成的方案，减少通讯时延、降低EDC系统成本。通过电磁阀提升低流量时阻尼力，改善车辆侧倾俯仰，电磁阀轴向尺寸相比竞品减小20%。伯特利在智能底盘领域不断投入与研发聚焦，伯特利已布局制动、转向、悬架及辅助智驾四大业务板块。伯特利电子驻车制动系统（EPB）累计量产超2000万套，基础卡钳累计量产超2600万套，One-Box线控制动系统（WCBS）也已实现200万套每年的稳定供货，绝对领跑国内线控制动市场。全球产能布局+核心部件自主可控。伯特利加速全球化产能布局，墨西哥年产400万件轻量化零部件建设项目，2025年上半年度实现效益 885.98 万元，本项目自2024年以来，单季度收入呈快速增加趋势，伯特利墨西哥公司产能继续爬坡，在2025 年上半年实现总体盈利后，后续募投项目效益持续提升。伯特利德国法兰克福研发中心正式启用，摩洛哥基地投产后将覆盖欧洲市场。持续推进核心部件国产替代，线控制动ECU加速实现全自主化，关键芯片依赖度低。投资建议：L3元年EMB加速量产，人形机器人丝杠、电机打造第二增长曲线。伯特利以“XYZ+智驾辅助”智能底盘全系解决方案为核心，打造L3核心智驾供应商，EMB正式获得国内某大型车企项目定点，提供完整的EMB解决方案。伯特利在汽车零部件领域积淀的电驱动、精密传动、感知与控制技术，高度契合人形机器人核心能力。公司聚焦人形机器人关节所需的滚珠丝杠、微型及行星滚柱丝杠，重点攻坚电机技术，与人形机器人关节模组，打造第二增长曲线。预计2025-2027年收入分别为125/156/201亿元，归母净利润分别为14.5/18.9/24.9亿元，对应PE分别为23/18/13倍，维持“买入”评级。风险提示：行业销量不及预期，新业务订单不及预期，原材料价格波动风险。,,太平洋证券,买入,[None],2026-01-28,,买入,8369251,pdf_downloads/2026/2026-01-28/603596-伯特利（603596）：L3元年EMB加速量产，人形机器人丝杠、电机打造第二增长曲线.pdf,603596,伯特利,伯特利（603596）：L3元年EMB加速量产，人形机器人丝杠、电机打造第二增长曲线
"崔琰,白如",深耕制动系统 剑指线控底盘。产品端：公司为国内汽车制动系统龙头，现已形成机械制动+智能电控+机械转向+轻量化结构件四大业务布局，剑指线控底盘。客户端：公司客户结构从机械制动的奇瑞、吉利、长安等自主品牌，逐步向智能电控的蔚小理、赛力斯、东风日产、江铃福特及轻量化的上汽通用、北美通用、欧洲沃尔沃等新势力、合资及全球化平台升级。智能化&amp;电动化齐驱 全球化再进一步。1）智能化：公司为自主线控制动龙头，拓展业务至主动悬架领域，2022年收购浙江万达布局电控转向，打造线控底盘平台型布局，受益于行业智能化渗透率的持续提升。2）电动化：公司是国内首家实现EPB量产的供应商，后拓展业务至ESC/电动尾门等领域，把握行业电动化机遇。3）全球化：公司2020年开始筹建墨西哥生产基地，2023实现墨西哥基地投产，2024年起筹划摩洛哥基地，全球化持续加深。产业化拐点确立 三重驱动开启人形机器人万亿赛道。技术端，大模型突破通用性瓶颈，DeepSeek低成本训练范式加速AGI落地；产业端，特斯拉、英伟达、华为等科技巨头密集布局；政策端，政府工作报告明确，培育具身智能等未来产业，大力发展智能机器人。我们预计2026年全球出货量将达数万台级别，2027年特斯拉目标产能突破百万台，产业链长期成长空间打开。从汽车到机器人 技术沉淀的必然延伸。人形机器人核心零部件含机械件、电子件、软件和嵌件、系统件四大类，对产业链的核心要求体现在跟随主机厂设计开发、精密制造和组装、机电一体化、操作系统设计与应用、规模化量供与降本能力等。公司于汽车业务端积累了深厚的经验，具备精密零部件（传动、电机、ECU等）制造、机电液一体化系统设计、传感器设计融合与软件设计开发、底盘调教等系统方案设计、规模化量产及供应链管理等能力，且掌握压铸/锻造/挤出/冲压/注塑等多种工艺，当前已完成产业基金、丝杠及电机子公司的布局，丝杠及电机产品已进入设备选型阶段，未来基于汽车端深厚技术积淀的必然延伸，有望逐渐成长为人形机器人核心零部件及关节模组、控制模组、视觉模组等领域的中坚力量。投资建议：公司客户和产品结构齐驱，短期受益于EPB和线控制动等智能电控业务渗透率提升，中长期线控底盘有望贡献显著增量、海外产能逐步爬坡；同时，公司于从车端积累的经验与技术壁垒有望复用于人形机器人行业，当前已完成产业基金、丝杠及电机子公司布局，未来有望持续拓展产品品类、带来第二增长曲线。预计公司2025-2027年收入为128.75/164.41/208.31亿元，归母净利润为15.08/18.67/23.14亿元，对应EPS为2.49/3.08/3.81元，对应2026年1月23日57.70元/股的收盘价，PE分别为23/19/15倍，维持“推荐”评级。风险提示：汽车行业销量不及预期，产品拓展不及预期，客户拓展不及预期，人形机器人业务进展不及预期，行业竞争加剧，原材料成本提升。,,国联民生证券,推荐,[None],2026-01-26,,增持,8361519,pdf_downloads/2026/2026-01-26/603596-伯特利（603596）：线控底盘领军者，人形机器人未来的中坚力量.pdf,603596,伯特利,伯特利（603596）：线控底盘领军者，人形机器人未来的中坚力量
"邱世梁,刘巍,顾淳晖",智驾：L3催化不断，公司EMB产品量产在即（1）EMB：L3级智驾获准入许可，公司EMB预计26H1正式量产。 2025年12月15日，工信部正式公布我国首批L3级有条件自动驾驶车型准入许可，EMB是L3级及以上高阶自动驾驶的重要执行基础。目前公司EMB已经获得多家客户定点，如2025年10月31日公司披露其已获得国内某大型车企项目定点，为旗下纯电中大型豪华轿车全系提供完整EMB解决方案。目前公司EMB产线已调试完成，预计25年年底小批量交付，26H1正式量产。（2）销量同比提升，定点不断增加，产能持续扩张。销量方面，公司25Q1-Q3智能电控产品销量473.3万套，同比+42%；定点方面，公司EPB、WCBS供货问界、智界及理想等，25Q1-Q3，EPB/EPS/WCBS共新增定点227项；产能方面， WCBS新增两条产线正在布局中。人形机器人：成立丝杠、电机子公司，预计26年中旬实现量产（1）25H2公司新成立丝杠、电机子公司。2025年9月，公司成立子公司浙江伯健传动科技有限公司，其主要研发生产应用于人形机器人的滚珠、微型、行星滚柱丝杠等；2025年11月，公司与金润电气合资成立子公司伯特利驱动，主营产品包括线控制动、电控转向、电控悬架系统电机与无框力矩电机等。（2）目前丝杠、电机项目建设顺利，预计26年中量产。丝杠和电机在公司EMB、EHB、EPS、空气悬架系统技术上同源，投产后可直接配套EHB和EMB产品，后续会拓展至悬架和转向产品中。公司预计26年将启动机器人丝杠和电机的开发工作，26年中旬可实现量产。轻量化业务：客户覆盖国际知名车企，静待墨西哥工厂产能爬坡25Q1-Q3公司轻量化产品收入同比增长超13%；销量为1047万件，同比增长8%。客户方面，公司轻量化制动零部件客户覆盖通用、福特、沃尔沃、Stellantis等国际知名车企。产能方面，公司规划年产能为400万件轻量化零部件产品的墨西哥生产基地于2023年投产，目前墨西哥二期项目建设推进中。盈利预测与估值我们预计公司 2025-2027年营收分别为119、147、167亿元，同比增速分别为20%、23%、14%，CAGR为19%；归母净利润分别为14.9、18.2、20.8亿元，同比增速分别为23%、23%、14%，CAGR为20%；对应PE分别为23X/19X/17X，维持“买入”评级。风险提示L3进度不及预期，L3智驾实现路径切换，海外产能受国际政治局势负面影响,,浙商证券,买入,[None],2026-01-07,,买入,8312369,pdf_downloads/2026/2026-01-07/603596-伯特利（603596）：点评报告：L3持续催化、EMB量产在即，人形机器人业务齐头并进.pdf,603596,伯特利,伯特利（603596）：点评报告：L3持续催化、EMB量产在即，人形机器人业务齐头并进
"刘一鸣,石佳艺",目标价73.76元，维持“增持”评级。伯特利新产品方案“小缸径卡钳技术方案”有望助力公司长期在线控制动赛道的份额提升和制动其他产品的订单获取，而考虑到短期来看汽车行业仍面临年降压力，我们仍维持25-27年EPS预测分别2.34/2.95/3.63元，参考可比公司，给予伯特利2026年25倍PE，目标价略上调至73.76元，维持“增持”评级。伯特利在中国汽车工业质量大会凭借创新成果“小缸径卡钳技术方案”获得两项重量级奖项。该方案运用WCBS高建压能力的固有优势，通过适当提高抱死压力，成功将前、后卡钳的缸径缩小，使得整车簧下质量降低4.4kg（降幅高达17%），从而同步提升车辆的操控敏捷性与能源利用效率，续航里程得到优化。卡钳的小型化、轻量化设计顺应汽车行业当前阶段的降本趋势，有望助力公司在制动赛道整体份额提升。设立控股子公司芜湖伯特利驱动科技有限公司，深化底盘布局。根据公司2025年11月6日公告，伯特利设立控股子公司伯特利驱动，后者将主要聚焦线控制动系统电机、电控转向系统电机、电控悬架系统电机、无框力矩电机、泵类电机、伺服电机等产品，通过电机与底盘的深度融合，伯特利将巩固自身在汽车底盘领域的优势，深入布局智能驾驶及人形机器人关键部件等高增长赛道。风险提示：智能驾驶不及预期、国内乘用车销量下行、原材料价格上涨。,,国泰海通,增持,[None],2025-12-25,,买入,8275955,pdf_downloads/2025/2025-12-25/603596-伯特利（603596）：看好伯特利新产品助力制动份额提升.pdf,603596,伯特利,伯特利（603596）：看好伯特利新产品助力制动份额提升
"张志邦,刘千琳",主要观点：25Q3营收同环比快速增长，毛利率持续修复2025年前三季度公司累计实现营收83.57亿元，同比+27.04%；实现归母净利润8.91亿元，同比+14.58%；实现扣非归母净利润8.60亿元，同比+21.24%。其中Q3实现营收31.93亿元，同比+22.48%，环比+26.43%；实现归母净利润3.69亿元，同比+15.15%，环比+46.50%；实现扣非归母净利润3.51亿元，同比+21.96%，环比+44.00%。25年前三季度，公司智能电控产品销量473.29万套，同比+41.56%；盘式制动器销量289.43万套，同比+27.42%；轻量化制动零部件销量1047.09万件，同比+8.38%；机械转向产品销量220.23万套，同比+6.96%。25年Q3毛利率环比改善，管理和研发费用率环比下降公司25年Q3实现毛利率20.55%，同比-1.01pct，环比+1.36pct；实现净利率11.74%，同比-0.83pct，环比+1.57pct。受益于降价压力减轻，毛利率环比改善，未来高毛利产品放量有望进一步支撑毛利率上行。25 Q3销售/管理/研发/财务费用率分别为0.45%/2.56%/4.96%/0.47%，同比-0.50/+0.24/-0.46/+0.45pct，环比-0.14/-0.13/-1.28/+1.13pct。财务费用率同环比提升主要因为汇兑收益减少。市场开拓顺利，产能建设积极推进，机器人业务加速公司加大国内外市场开拓力度，积极开发新客户，进一步优化客户结构，25年前三季度公司各类项目总数稳步增长：在研项目总数为536项，较去年同期增长24.07%；新增定点持续积累，项目总数达413项，较去年同期增长37.21%。2025年1-9月，新定点项目预计年化收入为71.03亿元。产能布局逐步完善，墨西哥二期项目建设按照原计划积极推进中，WCBS新增两条产线正在布局中，EMB产线正在调试过程中，预计年底前完成调试，空气悬架产线正在调试过程中，预计年底前完成调试。此外，公司积极推进人形机器人关键零部件丝杠产品落地，与浙江健壮传动科技有限公司共同完成控股子公司浙江伯健传动科技有限公司的设立，主要研发生产应用于人形机器人的滚珠丝杠、微型、行星滚柱丝杠等产品。投资建议受益于智能驾驶渗透率提升，公司线控刹车业务快速增长。新增定点持续积累，产能建设积极推进，积极拓展机器人业务，我们预计25/26/27年归母净利润分别为13.56/16.53/19.81亿元（原值15.66/20.98 /27.11亿元），对应PE分别20/17/14倍，维持公司“买入”评级。风险提示汽车销量不及预期，市场竞争加剧的风险，产品配套不及预期。,,华安证券,买入,[None],2025-11-28,,买入,8194432,pdf_downloads/2025/2025-11-28/603596-伯特利（603596）：25Q3业绩快速增长，积极拓展机器人丝杠业务.pdf,603596,伯特利,伯特利（603596）：25Q3业绩快速增长，积极拓展机器人丝杠业务
"崔琰,白如",电机子公司设立 人形机器人布局再进一步事件：公司披露对外投资公告，与金润电气合资设立子公司伯特利驱动，主要研发、生产、销售线控制动系统电机、电控转向系统电机、电控悬架系统电机、无框力矩电机、泵类电机、伺服电机等产品。电机子公司设立 人形机器人布局再进一步。公司与金润电气合计出资1亿元设立子公司伯特利驱动，其中公司出资0.6亿元、持股比例60%，伯特利驱动主营范围包括电机及其控制系统研发制造（含线控制动系统/电控转向系统/电控悬架系统电机，无框力矩电机等）、智能机器人研发与销售、工业机器人制造与销售、软件开发、工业自动控制系统装置制造等。伯特利驱动的设立，是公司技术自主化、产品多元化、市场全球化战略的核心一环，通过电机技术与智能底盘的深度融合，有利于公司巩固在汽车底盘领域的优势，更深入地布局高端新能源汽车、智能驾驶、人形机器人关键部件等高增长赛道，支持公司进入人形机器人关键部件产业，实现产业化布局。智能化&电动化齐驱 全球化再进一步。1）智能化：公司积极布局线控制动系统并成为国内首家规模化量产和交付线控制动系统的供应商，2025年前三季度在研项目达109项，且新增2条WCBS产线布局持续拓展线控制动产能，进一步扩大先发优势。2）电动化：公司是国内首家实现EPB量产的供应商，2025年前三季度在研项目达181项，且2024年公告拟扩产100万套，可有效缓解公司产能瓶颈、进一步强化竞争优势。3）全球化：公司2020年开始筹建墨西哥生产基地，2023年墨西哥年产400万套轻量化零部件项目已投产，2024年起筹划摩洛哥基地、全球化再进一步。线控底盘领军者 机器人业务顺利推进。2022年公司并表万达成为其第一大股东，拓展转向系统业务，2025年前三季度机械转向器、机械转向管柱在研项目分别达21项、18项，转向业务顺利推进；近年来公司拓展空悬业务，预计年底前完成空悬产线调试；制动+转向+悬架布局全面，逐渐成长为线控底盘行业领军者。同时公司积极推进人形机器人业务，2025年9月与浙江健壮传动设立子公司伯健传动科技，主要研发应用于人形机器人的滚珠丝杠、微型、行星滚柱丝杠等产品；2025年11月再次与金润电气设立子公司伯特利驱动，增强汽车底盘与人形机器人领域电机业务布局。投资建议：公司客户和产品结构齐驱，短期受益于EPB和线控制动等智能电控业务渗透率提升，中长期线控底盘有望贡献显著增量、海外产能逐步爬坡，预计公司2025-2027年收入为128.75/164.41/208.31亿元，归母净利润为15.08/18.67/23.14亿元，对应EPS为2.49/3.08/3.81元，对应2025年11月7日47.51元/股的收盘价，PE分别为19/15/12倍，维持“推荐”评级。风险提示：客户销量不及预期；竞争加剧；原材料价格上涨；关税风险等。,,民生证券,推荐,[None],2025-11-09,,增持,7591704,pdf_downloads/2025/2025-11-09/603596-伯特利（603596）：系列点评十二：电机子公司设立，人形机器人布局再进一步.pdf,603596,伯特利,伯特利（603596）：系列点评十二：电机子公司设立，人形机器人布局再进一步
"石金漫,秦智坤",事件：公司发布2025年三季度报告，2025年Q3，公司实现营业收入31.93亿元，同比+22.48%，环比+26.43%，实现归母净利润3.69亿元，同比+15.15%，环比46.50%，实现扣非归母净利润3.51亿元，同比+21.96%，环比+44.00%。2025年前三季度公司实现营业收入83.57亿元，同比+27.04%，实现归母净利润8.91亿元，同比+14.58%，实现扣非归母净利润8.60亿元，同比+21.24%，EPS为1.47元。奇瑞、长安、吉利等核心客户销量增长带动公司业绩回暖，智能电控产品收入占比继续提升：2025年Q3公司核心客户销量环比增长，带动公司收入环比高增，Q3公司核心客户奇瑞/长安/吉利乘用车销量环比分别+15.5%/+18.6%/+7.2%。Q3单季公司智能电控产品/盘式制动器/轻量化制动零部件销量分别为187.4万套/109.5万套/388.9万件，同比分别+39.3%/+25.4%/+10.1%，环比分别+34.2%/+26.4%/+23.7%，智能电控产品销量同环比增速领先，预计收入占比继续提升，驱动公司高端化、电动化转型。规模效应提升驱动毛利率增长与费用率下降，带动盈利能力快速修复： Q3单季公司毛利率为20.55%，环比+1.36pct，研发/销售/管理/财务费用率分别为4.96%/0.46%/2.56%/0.47%，环比分别-1.28pct/-0.14pct/-0.13pct/+1.13pct，受益于规模效应提升，公司毛利率环比增长，研发、销售、管理费用率环比下降，财务费用率上涨主要系汇兑损益波动，Q3公司净利率（扣非）为10.98%，同比-0.05pct，环比+1.34pct，盈利能力快速修复。新增定点持续积累，夯实公司成长根基，EMB、空气悬架等新品有望于2026年贡献新增量： 2025年前三季度，公司新增定点项目413项，同比+37.21%，新定点项目预计年化收入为71.03亿元，是公司2024年收入的71.5%，新产品方面，公司EMB与空气悬架产线正处于调试过程中，EMB（电子机械制动）法规GB 21670-2025已发布，预计2026年实施，公司已完成功能样件研制并开展冬季测试，同时可转债募资提前布局60万套产能，当前EMB产品已获得4个定点，预计2026年公司EMB与空气悬架产线将投产，带来业绩新增量。全球化拓展提速，墨西哥一期投产，二期规划建设EPB、制动钳等，转向节产能规划550万套/年；获北美新能源车企及德系合资车企定点，订单总额超1.8亿元人民币。切入人形机器人赛道，积极推进丝杠产品落地，人形机器人市场拓展空间广阔：公司与浙江健壮传动科技有限公司共同完成控股子公司浙江伯健传动科技有限公司的设立，主要研发生产应用于人形机器人的滚珠丝杠、微型、行星滚柱丝杠等产品，成功切入人形机器人赛道。产品方面，公司底盘产品与人形机器人传动部件具备技术相通性，公司深耕汽车底盘系统多年，具备完备的技术储备，有望继续拓展人形机器人产品品类；客户方面，公司与奇瑞等主机厂客户长期保持紧密的业务合作关系，有望受益于汽车主机厂切入人形机器人赛道带来的业务拓展机会，凭借技术与客户优势，公司人形机器人市场拓展前景广阔。投资建议：预计2025年-2027年公司将分别实现营业收入130.72亿元、165.81亿元、203.50亿元，实现归母净利润14.50亿元、18.74亿元、23.86亿元，摊薄EPS分别为2.39元、3.09元、3.93元，对应PE分别为20.12倍、15.56倍、12.22倍，维持“推荐”评级。,,银河证券,推荐,[None],2025-11-07,,买入,7550365,pdf_downloads/2025/2025-11-07/603596-伯特利（603596）：2025年三季报业绩点评：Q3业绩高增，积极推进人形机器人丝杆产品落地.pdf,603596,伯特利,伯特利（603596）：2025年三季报业绩点评：Q3业绩高增，积极推进人形机器人丝杆产品落地
"姜雪晴,袁俊轩",核心观点3季度盈利同环比增速回升，毛利率环比向上。公司前三季度营业收入83.57亿元，同比增长27.0%；归母净利润8.91亿元，同比增长14.6%；扣非归母净利润8.60亿元，同比增长21.2%。3季度营业收入31.93亿元，同比增长22.5%，环比增长26.4%；归母净利润3.69亿元，同比增长15.2%，环比增长46.5%；扣非归母净利润3.51亿元，同比增长22.0%，环比增长44.0%。3季度公司毛利率同环比分别-0.4%/+1.4%。3季度公司营收增长稳健，预计部分客户需求恢复，规模效应释放以及产品自制率提升带动毛利率环比提升。新增订单充足，智能底盘市场空间广阔。3季度公司智能电控产品、盘式制动器、轻量化制动零部件、机械转向产品分别销售187.43/ 109.52/ 388.93/ 78.32万套，同比分别增长39.3%/25.4%/10.1%/7.1%。公司现有客户达51家，涵盖奇瑞、吉利、长安、理想、小鹏、零跑、赛力斯、江淮、通用、福特、Stellantis、大众、北美新能源客户等，前三季度公司新增定点项目413项，同比增长37.2%，新定点项目预计年化收益71.0亿元；3季度公司新增定点项目131项，同比增长24.8%，新增订单年化收益29.23亿元。公司新项目开拓顺利，新增订单较多，为公司后续业绩持续增长奠定基础。我们认为公司底盘电子业务正加速放量，EPB、WCBS等产品获得较多项目定点，EMB产品预计明年上半年实现量产，未来公司将打造一体化汽车底盘域控系统，进一步提升单车价值量。产能建设持续推进，成立合资公司布局机器人丝杠业务。产能方面，3季度公司EMB和空气悬挂产线进入调试过程，预计年底完成调试；WCBS新增两条产线正在布局；墨西哥二期项目按计划推进。2025年7月公司完成摩洛哥全资子公司设立工作，项目总投资金额7500万美元，主要生产EPB及线控制动产品，进一步完善海外产能布局。公司出资近2亿元与金鼎私募共同设立伯金创投，用于人形机器人、汽车智能化、出行新技术、低空经济等新兴领域投资。凭借EMB、线控制动等产品研发经验，9月24日公司与浙江健壮传动科技有限公司共同成立浙江伯健传动科技有限公司（公司持股60%），合资公司主要研发生产应用于人形机器人的滚珠丝杠、微型、行星滚柱丝杠等产品。我们认为机器人产业即将进入量产落地周期，预计机器人业务未来将有望成为公司新的增长点。预测2025-2027年归母净利润分别为13.76、17.13、21.27亿元（原为13.73、17.21、21.73亿元，略调整毛利率及费用率等），维持可比公司25年PE平均估值27倍，目标价61.29元，维持买入评级。风险提示汽车电控制动配套量低于预期、轻量化产品配套量低于预期、智能驾驶产品配套量低于预期。,,东方证券,买入,[None],2025-11-05,,买入,7537791,pdf_downloads/2025/2025-11-05/603596-伯特利（603596）：新增订单充足，加快布局机器人业务.pdf,603596,伯特利,伯特利（603596）：新增订单充足，加快布局机器人业务
"黄细里,孙仁昊",公告要点：公司公布2025年三季报，业绩超我们预期。25Q3公司营业收入31.9亿元，同环比+22%/+26%，归母净利润3.7亿元，同环比+15%/+47%，扣非归母净利润3.5亿元，同环比+22%/+44%。核心客户产销提升，线控制动及轻量化产品增速较快。25Q3核心客户奇瑞/吉利产量环比+28%/+14%，这两个客户占公司收入贡献超过50%；核心配套的吉利3.0平台车型A7 6月上市，稳态月销破万贡献较多增量。核心产品增速迅猛，2025年前三季度智能电控产品销量473万套，同比+42%，盘式制动器289万套，同比+27%，贡献公司较多收入增量。降本增效，25Q3毛利率环比修复。25Q1公司受年降影响毛利率基数较低，Q2毛利率显著修复但仍同比承压，25Q3环比显著修复，25Q3公司毛利率为20.6%，同环比-1.0pct/+1.4pct，推测为公司规模环比快速提升，线控制动等产品上量所致。25Q3期间费用率为8.4%，同环比-0.3pct/-0.4pct，销售及研发费用率降低较多。产能布局推进，新增多个定点，机器人业务有所落地。2025Q3公司产能布局持续推进，其中WCBS新增两条产线正在布局中，EMB产线正在调试过程中，公司预计年底前完成调试，空气悬架产线正在调试过程中，公司预计年底前完成调试。2025年前三季度新增定点项目总数为413项，较去年同期增长37.21%。2025年1-9月，新定点项目公司预计年化收入为71.03亿元。机器人领域，公司积极推进人形机器人关键零部件丝杠产品落地，与浙江健壮传动科技有限公司共同完成控股子公司浙江伯健传动科技有限公司的设立。盈利预测与投资评级：我们维持公司2025-2027年营收为129.2/155.0/183.8亿元，同比分别+30%/+20%/+19%；维持2025-2027年归母净利润为14.4/17.4/20.8亿元，同比分别+19%/+21%/+20%，对应PE分别为21/18/15倍，维持“买入”评级。风险提示：乘用车需求不及预期，海外工厂建设不及预期。,,东吴证券,买入,[None],2025-11-02,,买入,7255964,pdf_downloads/2025/2025-11-02/603596-伯特利（603596）：积极推进机器人业务落地，业绩超预期.pdf,603596,伯特利,伯特利（603596）：积极推进机器人业务落地，业绩超预期
