author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
杨鑫,投资要点：事件：公司发布2025年三季度报告，2025年前三季度公司实现营收106.03亿元，同比增长23.41%，实现归母净利润11.85亿元，同比增长16.55%。三季度利润稳健：2025年前三季度公司实现营收106.03亿元，同比增长23.41%，实现归母净利润11.85亿元，同比增长16.55%。单看第三季度，公司实现营收39.59亿元，同比增长25.81%，环比增长9.26%，实现归母净利润4.15亿元，同比增长12.75%，环比增长8.70%。利润率方面，公司第三季度毛利率和净利率分别为23.65%和10.42%，利润率较为稳健。持续创新和研发投入：公司参编行业标准，与日本大金、清华深研院、清研电子联合参编的锂电结构件团体标准正式发布实施。同时，公司加大研发投入持续技术创新，主要专注于动力电池精密结构件的安全性、可靠性、轻量化、高强度、高容量等多维度的持续研究与创新。从研发投入金额上来看，公司前三季度投入研发费用5.53亿元。战略聚焦人形机器人领域：公司战略聚焦人形机器人领域，新增多类产品，全力构建多元化产品矩阵。目前，公司正按照既定技术路线持续推进产品研发，一方面保持与客户的对接沟通，确保技术规划与市场趋势动态匹配；另一方面，公司加速推进多应用场景产品的开发进程，现已有多款针对不同应用场景的新产品处于研发阶段。在客户拓展方面，公司科盟高精密减速机已进入多家国内外优质客户合作测试阶段。关节总成处于技术研发阶段，部分样品已送样并针对性能指标与客户持续对接优化。投资建议：预计公司2025-2027年实现归母净利润16.81、22.02、26.09亿元，对应当前PE分别为25.14、19.19、16.19倍，公司锂电结构件业务稳定增长，积极布局机器人相关业务，我们继续看好公司未来的发展，维持“买入”评级。风险提示：需求不及预期；新业务拓展进度不及预期；竞争加剧；技,,财信证券,买入,[None],2025-11-22,,买入,8164756,pdf_downloads/2025/2025-11-22/002850-科达利（002850）：利润稳健，战略聚焦人形机器人业务.pdf,002850,科达利,科达利（002850）：利润稳健，战略聚焦人形机器人业务
"武佳雄,李扬","科达利核心业务稳健发展，机器人新业务加速布局公司发布2025年三季报，前三季度实现归母净利润11.85亿元，同比增长16.55%；公司主营业务盈利能力保持稳健，产能建设稳步推进，市场地位不断巩固，人形机器人新市场有望逐步打开；维持增持评级。支撑评级的要点前三季度归母净利润11.85亿元，同比增长16.55%：公司发布2025年三季报，前三季度实现营收106.03亿元，同比增长23.41%；归母净利润11.85亿元，同比增长16.55%；扣非归母净利润11.29亿元，同比增长14.53%。第三季度实现营收39.59亿元，同比增长25.81%；归母净利润4.15亿元，同比增长12.75%。盈利能力稳健，经营性现金流净额表现优秀：2025年前三季度公司销售毛利率11.11%，同比基本持平；销售净利率11.11%，同比下降0.69个百分点。前三季度公司经营现金净流入19.29亿元，同比增长7.89%；第三季度经营现金净流入4.96亿元，同比由负转正。海外产能建设有序推进：公司看好海外市场长期增长前景，海外项目正按既定节奏稳步进行，未来有望实现营收增长。根据公司公告，截至2025年10月，匈牙利三期项目设备正在发运安装阶段，美国和泰国项目正在进行前期准备工作。公司将根据客户需求进一步释放产能，满足客户本土化需求。开拓人形机器人新市场，打造业绩第二增长曲线：2025年前三季度公司研发费用达5.87亿元，同比增长29.90%，高于营收增速，体现出公司对于技术研发的重视。公司战略聚焦人形机器人领域，新增多类产品，全力构建多元化产品矩阵。根据公告，公司与多家国内外优质客户保持紧密的对接和沟通，正加速推进机器人业务落地进程，致力于为机器人领域的客户提供与电池结构件业务同等水准的产品与服务，成为该领域重要的核心供应商。在当前股本下，结合公司三季报与行业近况，调整盈利预测，我们预
计公司 2025-2027 年每股收益为 6.25/8.13/9.87 元，（原 2025-2027 年
预测每股收益为 6.59/7.84/9.35 元）对应市盈率 26.7/20.5/16.9 倍；维持
增持评级。新能源汽车产业政策不达预期；新能源汽车下游需求不达预期；价格竞
争超预期；市场份额下滑风险；客户集中风险。",,中银国际,增持,[None],2025-11-07,,增持,7548845,pdf_downloads/2025/2025-11-07/002850-科达利（002850）：核心业务稳健发展，机器人新业务加速布局.pdf,002850,科达利,科达利（002850）：核心业务稳健发展，机器人新业务加速布局
"邓永康,李孝鹏,席子屹","业绩符合预期，结构件龙头盈利能力强劲事件。2025年10月28日，公司发布2025年三季报，公司前三季度实现营收106.03亿元，同比增长23.41%，实现归母净利润11.85亿元，同比增长16.55%，扣非后归母净利润11.29亿元，同比增长14.53%，业绩整体符合预期。Q3业绩拆分。营收和净利：公司2025Q3营收39.59亿元,同比+25.81%，环比+9.26%，归母净利润为4.15亿元，同比+12.75%，环比+8.70%，扣非后净利润为4.09亿元，同比+14.37%，环比+11.25%。毛利率：2025Q3毛利率为23.65%，同比+0.22pct，环比+0.22pcts。净利率：2025Q3净利率为10.42%，同比-1.26pct，环比-0.05pct。费用率：2025Q3期间费用率为9.27%，同比+0.86pct，销售、管理、研发、财务费用率分别为0.35%、2.19%、5.87%、0.85%。盈利韧性凸显，龙头优势持续巩固。公司前三季度整体营业收入106.03亿元，同比增长23.41%，毛利率达23.16%，同比微降0.03个pct。盈利能力稳定的主要原因为：1、新能源汽车销量增长带动动力电池装机量提升，客户对公司动力电池精密结构件的订单持续增加；2、公司深化内部管理降本增效，提升运营效率，叠加营收规模扩大带来的规模效应，有效对冲成本波动影响。专利规模稳步扩大，机器人业务加速突破。公司年内新增162项专利授权，较去年同期增长800%，进一步巩固动力电池结构件龙头的技术优势。在人形机器人领域，子公司科盟创新推进提速，谐波减速器采用铝钢复合与特殊PEEK材料实现轻量化推进量产；摆线减速器完成样品制备并启动客户送样；关节模组通过新技术实现能耗减半；叠加与伟创电气等伙伴的合作及双基地协同优势，新业务路径持续清晰，为公司打开第二增长曲线蓄力。海外布局动态优化，中国香港子公司赋能全球战略。公司全球化产能布局进入密集推进期，北美市场方面，公司将美国锂电池结构件项目实施地点从印第安纳州调整至威斯康星州，结合该州在先进制造、电池材料技术及供应链协同上的优势，提升北美基地响应效率；东南亚市场方面，原马来西亚项目变更为泰国新能源锂电池精密结构件项目，将作为开拓东南亚市场的战略支点，提升本地化服务能力；同时公司在中国香港设立全资子公司，承担研发、营销、供应链与金融功能，支撑订单承接与风险对冲。投资建议：我们预计公司2025-2027年实现营收153.04、191.84和233.22亿元，同比增速分别为27.2%、25.3%和21.6%；归母净利分别为18.00、22.40和27.23亿元，同比增速分别为22.3%、24.4%和21.6%。2025年11月4日收盘价对应PE分别为26、21、17倍。考虑到公司龙头地位明显，海外业务有望持续扩张，维持“推荐”评级。风险提示：新产品开拓不及预期、锂电需求不及预期。",,民生证券,推荐,[None],2025-11-05,,增持,7440413,pdf_downloads/2025/2025-11-05/002850-科达利（002850）：业绩符合预期，结构件龙头盈利能力强劲.pdf,002850,科达利,科达利（002850）：业绩符合预期，结构件龙头盈利能力强劲
"洪一,侯河清,吴征洋",持续稳健，静待人形机器人进展——2025年三季报业绩点评财务要点：公司披露2025年三季报，实现营业收入106.03亿，同比增长23.41%，实现归母净利润11.85亿元，同比增长16.55%。结构件主业稳健经营，三季报业绩符合预期。25年Q3单季度，公司营业收入同比增长25.8%，环比9.3%，主要得益于结构件主业出货持续增长。Q3单季度归母净利润同比12.8%，环比8.7%。Q3单季度毛利率23.65%，较去年同期的23.42%，增加0.23%。净利率10.42%，较去年同期的11.68%，减少1.26%，盈利能力持续稳健。净利润增速与收入增速差距较大，主要是由于公司及子公司按要求进行了税款补缴，导致三季度所得税增加额较大。海外项目持续推进，龙头地位有望强化。伴随动力电池和储能电池装机增长，预计锂电结构件需求持续高景气。公司目前产能利用率超70%，公司依托与头部电池厂商的稳定合作，海外项目正按既定节奏稳步进行，匈牙利三期项目设备正在发运安装阶段，美国和泰国项目正在进行前期准备工作。未来公司将根据客户需求进一步释放产能，满足客户本土化需求。随着新增产能的逐步释放，公司将进一步夯实全球化供应链体系，行业龙头地位有望得到持续强化。布局人形机器人轻量化减速器产品构建第二成长曲线。2024年4月，科达利与台湾盟立、台湾盟英共同投资设立深圳科盟，科达利持股40%拥有控股权。此次三方合作，科达利得以借助台湾盟立和盟英在机器人和谐波减速机方面的技术优势，结合自身在精密结构件设计与制造的全球领先技术经验，实现优势互补。今年公司陆续推出系列轻量化减速器产品，目前已与多家国内外优质客户保持紧密对接和沟通。随着人形机器人产业化加速，公司计划3年内实现年产20万台专用减速器产能，将以谐波减速器为切入点，未来逐步延伸至关节模组等领域，人形机器人业务有望成为公司第二成长曲线。公司盈利预测及投资评级：我们预计公司2025-2027年归母净利分别为18.40、22.35和26.70亿元，对应EPS分别为6.72、8.16和9.75元。当前股价对应2025-2027年PE值分别为27.5、22.6和19.0倍。维持“强烈推荐”评级。风险提示：海外市场拓展不及预期；原材料价格波动；下游需求波动。,,东兴证券,强烈推荐,[None],2025-10-30,,买入,7047456,pdf_downloads/2025/2025-10-30/002850-科达利（002850）：结构件主业持续稳健，静待人形机器人进展.pdf,002850,科达利,科达利（002850）：结构件主业持续稳健，静待人形机器人进展
"张志邦,刘千琳",主要观点：25年Q3业绩符合预期，归母净利润保持较快增长公司2025年前三季度实现营业收入106.0亿元，同比+23.4%；归属于母公司净利润11.8亿元，同比+16.6%；扣非后归母净利润11.3亿元，同比+14.5%。公司Q3实现营业收入39.6亿元，同比+25.8%，环比+9.3%；归属于母公司净利润4.15亿元，同比+12.8%，环比+8.7%；扣非后归母净利润4.09亿元，同比+14.4%，环比+11.3%。公司Q3业绩符合预期。25年Q3毛利率同环比改善，研发费用率明显提升公司25Q3实现毛利率23.7%，环比+0.22pct，同比+0.23pct，体现出公司优秀的成本管控能力。销售、管理、研发、财务费用率分别为0.35%/2.19%/5.87%/0.85%，同比+0.01/-0.21/+0.81/+0.24pct，环比-0.05/-0.11/+0.33/-0.44pct。研发费用率明显提升，主因公司在机器人等新领域加大了研发投入。Q3公司缴纳所得税1.09亿元，环比Q2提升110%，主因Q3子公司所得税调整。布局人形机器人关节总成及灵巧手业务，勾勒第二成长曲线公司携手台湾盟立及台湾盟英，共同投资创立了深圳科盟创新机器人科技有限公司。该公司核心技术聚焦于谐波减速器的研发与生产，致力于打造高精度产品，涵盖驱动器、控制器等核心配套组件，以形成一套完整的关节解决方案。与此同时，公司还与苏州伟创电气及盟立自动化科技（上海）合作，共同投资成立了深圳市伟达立创新科技有限公司。该公司专注于多品类关节组件的布局，提供从关键零部件到关节模组的全方位产品。公司与苏州伟创电气、浙江银轮、上海开普勒共同投资设立苏州依智灵巧驱动科技有限公司，布局机器人灵巧手业务。投资建议公司系国内最大的动力电池精密结构件供应商之一，客户结构优质，未来随着产能逐步释放，人形机器人业务有望开启新增长空间。我们预计公司 2025-2027 年归母净利润为17.6\22.6\26.9亿元（原值18.53\22.77\27.87亿元），对应 PE 为28.5\22.2\18.6倍，维持“买入”评级。风险提示原材料大幅波动风险；下游客户销量不及预期；产业政策变化风险。,,华安证券,买入,[None],2025-10-30,,买入,7035698,pdf_downloads/2025/2025-10-30/002850-科达利（002850）：毛利率改善，积极拓展机器人新业务.pdf,002850,科达利,科达利（002850）：毛利率改善，积极拓展机器人新业务
姚遥,业绩简评10月28日，公司发布三季报业绩。1-3Q25收入106.03亿元，同比+23.4%，归母净利润11.85亿元，同比+16.6%，扣非归母净利润11.29亿元，同比+14.5%；单Q3公司收入39.59亿元，环比+9.3%，归母净利润4.15亿元，环比+8.7%，扣非归母净利润4.09亿元，环比+11.3%。经营分析1、净利率维持强劲。公司1-3Q25毛利率23.16 %，同比-0.03pct，四费率9.32%，同比+0.46pct，投资收益0.13亿元，同比+0.56亿元，扣非归母净利率10.6%，同比-0.8pct，单Q3公司毛利率23.7%，环比+0.2pct，四费率9.3%，环比-0.19pct，扣非归母净利率10.32%，环比+0.2pct。Q3收入环比提升较小主因产品降价，Q3公司补缴税款加回后预计维持11%的净利率。2、主业持续稳健成长，明年预期仍有高增。公司Q3产能利用率较高，Q4收入预计环比较大。后续预计根据客户需求还有扩产，海外基地预计明年进一步放量，明年我们预期整体收入增速超30%。3、人形机器人多方位布局。公司参股公司科盟创新布局三大类产品，谐波减速器、摆线减速器、旋转关节总成，其中谐波减速器主推钢铝复合谐波；在摆线减速器方面，公司已具备样品，下半年将开始送样客户，应用于人形下肢和髋关节；执行器方面，公司推出轴向磁通电机旋转关节，下半年送样客户。盈利预测、估值与评级科达利作为结构件全球龙头，持续保持领先地位，盈利稳定性得到业绩验证，看好机器人部件第二增长曲线的开拓。我们预计25-27年公司归母净利润分别为17.0/19.3/22.0亿元，维持“买入”评级，重点推荐。风险提示下游需求不及预期，产品价格下降超预期，机器人产业化进展不及预期，公司机器人相关产品送样进展不及预期。,,国金证券,买入,[None],2025-10-30,,买入,7031148,pdf_downloads/2025/2025-10-30/002850-科达利（002850）：主业稳健，机器人布局持续向前.pdf,002850,科达利,科达利（002850）：主业稳健，机器人布局持续向前
"曾朵红,阮巧燕,岳斯瑶",25Q3收入亮眼、利润受补交税款影响、经营性利润符合预期。公司25年Q1-3营收106亿元，同+23.4%，归母净利11.8亿元，同+16.6%，扣非净利11.3亿元，同+14.5%，毛利率23.2%，同+0pct，归母净利率11.2%，同-0.7pct；其中25Q3营收39.6亿元，同环比+25.8％/+9.3％，归母净利4.2亿元，同环比+12.8%/+8.7％，扣非净利4.1亿元，同环比+14.4%/+11.3％，毛利率23.7%，同环比+0.2/+0.2pct，归母净利率10.5%，同环比-1.2/-0.1pct，主要由于减值损失计提及补交税款影响，若加回，净利率仍可达接近12%，符合市场预期。结构件收入稳定25%+增长、经营性净利率基本稳定。公司Q3收入39.6亿，同增26%，Q1-3累计收入106亿，我们预计Q4收入可达45亿左右，环增10%+，全年收入预计突破150亿，同比增长25%。2026年我们预计行业总体需求25%增长，公司收入预计可达180亿+，同增23%。盈利端，结构件价格下降空间有限，且公司不断降本增效，我们预计25-26年净利率仍可维持10-12%。机器人多产品储备、加速客户拓展。子公司科盟布局三大类产品，谐波减速器、摆线减速器、旋转关节总成，主打轻量化。其中谐波减速器主推钢铝复合谐波，预计减重20-30%，25年主供工业和协作机器人，人形方面已对接国内外人形机器人主机厂。摆线减速器方面，公司已具备样品，我们预计25H2开始送样客户，应用于人形下肢和髋关节。执行器方面，公司推出轴向磁通电机旋转关节，我们预计25H2送样客户。公司具备优秀的制造、管理和客户拓展能力，我们预计减速器25年形成千万收入，未来随着人形爆发，将成第二增长曲线。研发费用提升、资本开支低位。公司25年Q1-3期间费用9.9亿元，同+29.9%，费用率9.3%，同+0.5pct，其中Q3期间费用3.7亿元，同环比+38.5%/+6.3%，费用率9.3%，同环比+0.9/-0.3pct；25年Q1-3经营性净现金流19.3亿元，同+7.9%，其中Q3经营性现金流5亿元，同比转正，环比-26.9%；25年Q1-3资本开支5.6亿元，同-34%，其中Q3资本开支1.9亿元，同环比-10.3%/-2.1%；25年Q3末存货8亿元，较年初-3.7%。盈利预测与投资评级：考虑一次性补缴税费影响，我们调整25-27年归母净利润为17/22/27亿（原预测值为18/22/26亿元），同比增15%/30%/23%，对应PE为29x/22x/18x，给予26年35x PE，对应目标价281.4元，维持“买入”评级。风险提示：下游需求不及预期，行业竞争加剧。,,东吴证券,买入,[None],2025-10-30,,买入,6996045,pdf_downloads/2025/2025-10-30/002850-科达利（002850）：2025 年三季报点评：Q3主业经营性利润率稳健，机器人稳步推进.pdf,002850,科达利,科达利（002850）：2025 年三季报点评：Q3主业经营性利润率稳健，机器人稳步推进
"刘俊,边文姣",公司发布三季报，25Q1-Q3收入106.0亿元，同比+23.4%，归母净利11.8亿元，同比+16.6%，扣非净利11.3亿元，同比+14.5%，公司盈利稳定增长，Q3一次性所得税计提略微影响公司利润释放。公司结构件主业盈利能力强劲，机器人业务陆续推出新品，平台化布局优势明显，我们维持“买入”评级。25Q3净利率受补交税款影响，四季度及明年需求指引乐观25Q3收入39.59亿元，同/环比+25.8%/+9.3%，归母净利4.15亿元，同/环比+12.8%/+8.7%，扣非净利4.09亿元，同/环比+14.4%/+11.3%，公司Q3一次性补交超2000万元所得税款项，略微影响利润释放；毛利率/归母净利率达23.65%/10.49%，环比+0.22/-0.05pct，若加回所得税款项，公司归母净利率达11.1%，虽年中结构件存在降价，但公司凭借优异的成本控制实现盈利能力基本稳定。根据公司业绩会，公司指引25年/26年结构件收入同比增速达30%/超过30%，我们看好公司今明年实现量增利稳。机器人：子公司围绕人形机器人布局，看好未来增长空间子公司科盟创新围绕谐波减速机、关节模组及摆线减速机三大机器人相关产品方向布局。1）谐波减速器：重点开发轻量化产品，特殊PEEK材料谐波减速器契合人形机器人客户需求。25年8月，科盟创新参与世界机器人大会，展出多款谐波减速器产品，涵盖工业与家庭等应用场景；2）关节模组：公司自研新技术，以提升产品节能属性，8月世界机器人大会中展出新品，能耗降至传统产品的一半；3）摆线减速机：正在尝试下半身采用摆线减速器的重负载方案，计划于25年下半年推出可送样的版本。全球化布局稳步推进，海外产能持续扩张公司积极对外投资：1）泰国/美国：公司8月底公告将原定马来西亚项目变更为泰国，以不超2.1亿元建设锂电池精密结构件一期项目，公司预计泰国与美国工厂有望在26年中投产，26年/27年贡献产值2亿/10亿；2）欧洲：公司预计欧洲工厂明年有望实现超10亿营收，并实现盈利，有望配套欧洲地区电池厂需求；3）香港：25年10月，公司设立香港全资子公司，依托香港及海外高效研发资源搭建具身智能机器人关键部件研发平台。我们看好公司全球化布局，打开营收增长天花板。维持“买入”评级考虑到一次性费用计提影响，我们略微上修所得税费用假设，考虑到下游需求向好，我们上修公司26-27年结构件需求增速假设，预计25-27年归母净利为17.67/24.06/28.84亿元（前值17.91/21.61/24.97亿元，调整-1%/+11%/+15%），参考可比公司26年Wind一致预期下平均PE 27倍，给予公司26年合理PE 27倍（前值25年25倍），对应目标价237.33元（前值163.75元），维持“买入”评级。风险提示：行业竞争加剧；电池需求不及预期；新产能建设不及预期。,,华泰证券,买入,[None],2025-10-29,,买入,6963728,pdf_downloads/2025/2025-10-29/002850-科达利（002850）：看好需求上修带来利润弹性.pdf,002850,科达利,科达利（002850）：看好需求上修带来利润弹性
"曾彪,赵宇鹏","报告摘要经营稳健，半年报业绩符合预期。2025年上半年，公司实现营业收入66.45亿元，同比增长22.0%；实现归母净利润7.69亿元，同比增长18.7%；实现扣非归母净利润7.20亿元，同比增长14.6%；单季度来看，公司2025年第二季度实现营业收入36.23亿元，同比增加23.3%，环比增加19.9%，实现归母净利润3.82亿元，同比增加12.5%，环比减少1.4%；实现扣非归母净利润3.67亿元，同比增加10.3%，环比增加4.0%。二季度实现毛利率23.43%，环比提升1.23pcts；实现净利率10.47%，环比略降2.30pcts，主要基于公司根据会计政策及审慎原则计提信用减值准备，二季度主要是信用减值损失影响0.49亿元，还原后公司扣非归母净利润约4.31亿元，对应净利率11.90%，经营较为稳健。全球化产能布局加速推进，深耕核心客户。公司专注于动力电池结构件的研发与制造，产品包括方形与圆柱锂电池结构件，广泛应用于电池壳体、极柱及模组等领域，技术聚焦安全性、一致性、耐极端环境等核心指标。公司在欧洲匈牙利投资不超过5,000万欧元建设三期动力电池精密结构件项目，同步推进江西、四川及深圳基地扩建，夯实国内产能基础。在美国，公司亦积极筹建生产基地，以应对北美市场需求，提升全球供应链响应速度与服务效率，形成覆盖欧美的本地化制造网络。客户方面，核心客户覆盖CATL、特斯拉、LG、松下等国内外头部厂商，并于2025年获得蜂巢能源金牌供应商称号，公司与蜂巢能源正式签署《战略采购框架协议》为未来更深层次的战略协作奠定了坚实基础。在市场拓展方面，公司积极开拓国内外新客户，如印度OLA、阿特斯等，部分新客户已进入样品验证或小批量生产阶段，为后续业务增长提供了有力支撑。布局人形机器人先进技术，打造具身智能成长曲线。2024年4月，公司和中国台湾企业盟立、盟英公司合资成立深圳科盟，推动机器人零部件、关节等关键组件的研发；2024年9月，公司和苏州伟创及上海盟立合资成立深圳伟达立，进一步加深人形机器人关键组件的研发合作，提升公司技术实力。2025年6月，公司与伟创电气、银轮股份、上海开普勒等合资成立苏州依智灵巧驱动科技有限公司，专注人形机器人核心零部件“灵巧手”的国产化与规模化应用。公司聚焦创新性铝钢轻量化新产品，自主研发的摆线减速机已完成相应测试并送样，正配合客户进行方案优化和深度开发。英伟达将在11月举行的富士康科技日上展示其人形机器人解决方案，公司和台资企业的合作有望拓展至台资供应链体系，深度受益全球人形机器人产业发展。维持“买入”评级。考虑到公司传统业务经营稳健，机器人赛道布局卡位优势，未来有望切入头部人形机器人供应链体系，预计2025-2027年公司归母净利润分别为18.7/23.3/28.5亿元，对应PE估值分别为20/16/13倍，维持“买入”评级。风险提示。下游需求不及预期、市场竞争加剧风险、原材料价格变动风险、产能扩张不及预期等。",,中泰证券,买入,[None],2025-08-26,,买入,6350415,pdf_downloads/2025/2025-08-26/002850-科达利（002850）：2025年半年报点评：业绩符合预期，积极打造具身智能成长曲线.pdf,002850,科达利,科达利（002850）：2025年半年报点评：业绩符合预期，积极打造具身智能成长曲线
牟国洪,科达利(002850)128.43事件：公司公布2025年半年度报告。投资要点：2.92公司业绩符合预期。2025年上半年，公司实现营收66.45亿元，252.80同比增长22.01%；营业利润8.50亿元，同比增长12.64%；归母净利润7.69亿元，同比增长18.72%；扣非后净利润7.20亿元，43.95同比增长14.61%；经营活动产生的现金流净额14.32亿元，同比5.24下降25.42%；基本每股收益2.81元，加权平均净资产收益率22.876.22%。公司业绩符合预期，业绩增长主要受益于行业增长带动公6.29司动力电池精密结构件订单持续增加。其中，公司2025年第二季40.00度实现营收36.23亿元，同比增长23.34%，环比增长19.90%；净利润3.82亿元，同比增长12.54%，环比回落1.36%。2025年上半年，公司非经常损益合计4924万元，其中政府补助2385万元。公司专注于精密结构件研发及制造，主要产品分为新能源汽车动力电池、储能电池和消费电池精密结构件，以及汽车零部件，同时积极布局人形机器人行业，为其提供关键关节部件。公司产品销量持续增长，重点关注锂电池结构件。近年来，公司主营产品金属结构件销量持续增长，2020年合计销量12.37亿只，2024年增至46.25亿只，期间年均复合增长率为39.06%，其中2024年同比增长23.77%。目前，公司产品主要包括锂电池结构件和汽车结构件，2020年以来锂电池结构件在公司收入中占比维持在95%左右，其中2024年占比95.37%。就动力电池而言，锂电池结构件成本占比约10%左右。值得一提的是，公司锂电池精密结构件产品荣获了2021年全国单项冠军奖章。公司锂电池结构件业绩主要受益于全球新能源汽车增长带动动力电池增长，以及我国锂电池在全球具备显著行业地位。马嶔琦全球新能源汽车高增长，我国动力电池全球市场占比持续提升。根据Clean Technica数据：2024年，全球新能源乘用车销售1724021-50586973上海浦东新区世纪大道1788号16楼万辆，同比增长25.98%，占比22%，较2023年提升6个百分点；2001222025年1-6月销售901.43万辆，同比增长25.0%。SNE Research统计显示：2024年，全球动力电池装车量894.4GWh，同比增长27.19%，Top10动力电池企业中中国入围6家企业，6家入围企业在全球动力电池市场份额占比提升3.59个百分点至67.08%。2025年1-6月，全球动力电池合计装车504.4GWh，同比增长37.3%；Top10动力电池企业中国入围6家企业合计占比68.79%，同比提升4.26个百分点。预计2025年全球新能源汽车销售将持续保持两位数增长，考虑我国动力电池产业链竞争优势显著，预计2025年我国动力电池企业全球市占率仍将提升。我国新能源汽车销售和动力电池产量持续增长。中汽协和中国汽车动力电池产业创新联盟统计显示：2024年我国新能源汽车合计销售1285.90万辆，同比增长36.10%，合计占比40.92%。2025年上半年，我国新能源汽车销售693.50万辆，同比增长40.30%，合计占比提升至44.32%。伴随我国新能源汽车销售增长及锂电池出口增加，我国动力电池和其他电池产量持续增长。2024年我国动力电池和其他电池合计产量1096.80GWh，同比增长40.96%，其中出口197.1GW。2025年上半年，我国动力和其他电池合计产量697.3GWh，累计同比增长60.40%；其中出口127.3GWh。2024年12月中央经济工作会议明确要实施更加积极的财政政策和适度宽松的货币政策；实施提振消费专项行动，加力扩围实施“两新”政策。2025年1月，商务部等印发《关于组好2025年汽车以旧换新工作的通知》，进一步明确2025汽车以旧换新补贴政策。叠加动力电池上游材料价格回落至相对合理区间，我国新能源汽车竞争力和性价比持续提升，预计2025年我国新能源汽车仍将保持两位数增长，对应动力电池需求将持续增长。根据ICC鑫椤储能数据库统计：2025年上半年全球储能电池出货量达258GWh，同比增长106%；其中我国出货252GWh，同比增长109%，中国储能电池出货量已占据全球市场主导地位。公司锂电池结构件持续总体增长，预计2025年营收持续增长。公司锂电池结构件营收总体持续增长，2014年营收3.67亿元，2024年增至114.74亿元，期间年均复合增长率为41.10%，其中2024年同比增长14.0%；营收占比由2014的54.40%大幅提升至2024年的95.37%。2025年上半年，公司锂电池结构件营收64.14亿元，同比增长22.35%，在公司营收中占比96.52%。公司锂电池结构件覆盖了动力类、储能类和消费类锂电池，业绩增长一方面受益于行业增长，以及我国锂电池在全球已具备显著行业地位。其次，公司在锂电池结构领域具备一定行业地位，为我国动力电池精密结构件龙头企业，公司凭借优异的技术研发实力、全流程服务及响应能力，与国内外优质客户形成了长期稳固的战略合作关系，下游客户包括CATL、中创新航、LG、松下、特斯拉、亿纬锂能等。同时，公司研发模式采取与客户全程对接的交互研发和自主研发相结合。第三，公司产能布局立足国内的同时加快国际化发展。公司积极配套客户产能需求，在其周边设立生产基地，截至2024年底：公司在全球拥有16个生产基地，其中国内13个、欧洲3个，2025年6月公司公告使用自有资金5000万元，在匈牙利投资动力电池精密结构件三期项目，项目建设期约24个月，达产后将实现年产值约1亿欧元。结合全球及我国新能源汽车全年增长预期，以及我国锂电池全球竞争力和公司在锂电池结构件中的行业地位，预计下半年公司锂电池结构件业绩将持续增长。公司盈利能力略降，预计2025年总体稳定。2025年上半年，公司销售毛利22.87%，同比回落0.19个百分点，其中第二季度为23.43%，环比第一季度提升1.23个百分点。主营产品盈利显示：2025年上半年，公司锂电池结构件销售毛利率为23.26%，同比回落0.35个百分点。公司持续加大研发投入，2025年上半年研发投入3.55亿元，同比增长21.11%。截至2025年6月底：公司及子公司拥有专利595项，同比增加32.52%，其中发明专利41项、实用新型专利552项。结合行业增长预期及公司行业地位，预计全年公司盈利总体稳定。公司积极涉足人形机器人行业，打造公司第二增长极。基于人形机器人广阔发展前景，公司积极进军人形机器人领域，重点聚焦人形机器人所需的高精密减速器、关节模组等关键零部件的研发与生产。2024年4月，公司与台湾盟立自动化、台湾盟英科技共同投资创立深圳市可盟创新机器人科技有限公司，其核心技术聚焦于谐波减速器的研发与生产，涵盖驱动器、控制器等核心配套组件，以形成一套完整的关节解决方案。2024年9月，公司与苏州伟创电气科技及盟立自动化科技(上海)合作，投资成立深圳市伟达立创新科技有限公司，专注于多品类关节组件的布局。2025年6月，公司公告拟与伟创电气、银轮股份、开普勒和伟立成长共同投资设立苏州依智灵巧驱动科技有限公司，其注册资本为5000万元，其中科达利以现金方式投入1500万元持股占比30%。上述公司成立标志公司在人形机器人领域拓展迈出关键步伐，将为公司打造第二增长极。首次给予公司“增持”投资评级。预测公司2025-2026年摊薄后的每股收益分别为6.59元与8.20元，按8月19日128.43元收盘价计算，对应的PE分别为19.48倍与15.66倍。目前估值相对行业水平合理，结合行业发展前景及公司行业地位，首次给予公司“增持”投资评级。风险提示：行业竞争加剧；我国新能源汽车销售不及预期；上游原材料价格大幅波动；海外新能源汽车政策波动。,,中原证券,增持,[None],2025-08-20,,增持,6328127,pdf_downloads/2025/2025-08-20/002850-科达利（002850）：中报点评：锂电结构件龙头，积极布局人形机器人.pdf,002850,科达利,科达利（002850）：中报点评：锂电结构件龙头，积极布局人形机器人
