author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"吴砚靖,邹文倩",中科创达(300496)核心观点中科创达作为全球领先的智能操作系统提供商，凭借“操作系统+端侧智能”的独特卡位，深度受益于AI驱动的产业变革。公司以“全芯片平台、端边云协同架构、多场景落地能力”构建核心技术壁垒，在智能软件、智能汽车、智能物联网三大业务板块形成协同增长。2025年上半年业绩迎来拐点，海外与物联网业务爆发式增长，全球化与全面AI化战略进入兑现期。2025年前三季度业绩表现强劲，存货与合同负债分别增长58.97%和52.92%，反映订单需求旺盛、备货及预收款同步提升，经营性回款能力稳健。未来，公司有望依托AI原生操作系统及软硬一体方案，在端侧AI普及浪潮中持续领跑。智能软件：AI手机渗透带动价值量提升，业务持续复苏。全球智能手机市场自2023Q1步入复苏通道，AI功能成为换机核心驱动力。IDC预计2025年全球智能手机出货量同比增长1%，未来三年温和复苏。AI功能从旗舰机向中端机型下沉，带动软件复杂度与价值量提升。Counterpoint Research数据显示，2025年智能手机AI渗透率将达33%，2027年进一步提升至43%。2025H1智能软件板块业务营收8.41亿元，同比增长10.52%。智能汽车业务：抓住AI定义汽车&amp;整车操作系统行业趋势，滴水AI OS战略布局等待放量。智能汽车仍是高增长赛道，Global Market Insights预计2025-2034年全球汽车生成式AI市场规模CAGR达23.8%。电子电气架构向“中央计算+区域控制”演进，整车操作系统需求迫切。2025年公司发布AI原生整车操作系统滴水OS，支持全芯片平台及端云大模型接入。2025年9月联合吉利、英伟达推出AI Box方案，软硬一体方案已落地量产车型。滴水OS已覆盖现有车企客户，并逐步向海外市场延伸，全球化战略加速推进。2025H1智能汽车板块实现营收11.89亿元，同比增长7.85%。智能物联网：端侧AI爆发核心受益，细分板块业务处于高速增长期。端侧AI应用场景快速拓展，弗若斯特沙利文预测全球端侧AI市场规模将从2025年的3219亿元增长至2029年的1.2万亿元，CAGR达39.6%。公司依托“全芯片平台+端边云架构+多场景适配”能力，深度受益于高通在物联网市场的强势地位，解决物联网碎片化痛点，2025H1物联网收入同比增长136%，产品矩阵覆盖AI眼镜、AIPC、机器人、边缘计算等品类，并与国内头部大模型厂商深度合作，生态协同效应逐渐强化。全球化布局策略有效，海外收入高增长：2025H1公司来自海外市场的收入15.58亿元，同比增长81.41%，体现了公司“全球化+本地化”策略的有效性。投资建议：预计公司2025-2027年分别实现营业收入73.14/94.15/114.36亿元，同比增速35.8%/28.7%/21.5%；实现归母净利润5.78/7.46/9.64亿元，同比增长41.9%/29.0%/29.3%；对应PE分别为52/40/31。综合考虑绝对估值与相对估值，公司合理每股价值区间为117.93元-154.26元，对应市值区间为543亿元-710亿元，首次覆盖，给予“推荐”评级。风险提示：1、AI技术研发落地不及预期的风险；2、行业竞争加剧的风险；3、智能物联网需求不及预期的风险。,,银河证券,推荐,[None],2025-12-10,,买入,8241570,pdf_downloads/2025/2025-12-10/300496-中科创达（300496）：公司深度报告：端侧AI浪潮下的OS龙头，开启新一轮成长周期.pdf,300496,中科创达,中科创达（300496）：公司深度报告：端侧AI浪潮下的OS龙头，开启新一轮成长周期
"杨林,杨蒙,钟明翰","本报告导读：
2025 年前三季度公司营收 51.48 亿元（yoy+39.34%），归母净利润 2.29 亿元（yoy
+50.72%），AIoT 业务成为公司新核心驱动力，看好公司长期发展空间。投资要点：投资建议：维持“增持”评级，上调目标价至75.85（+1.07）元。我们预计公司2025-2027年（新增2027）EPS分别为1.24 (-0.14) / 1.52 (-0.32) /1.79元，可比公司2026年平均PE 18.42X，公司今年业绩高速增长，端侧智能战略为未来增长提供新动能，给予公司一定估值溢价，给予2026年50倍PE，对应目标价75.85元。业绩延续高增亮眼表现，前三季度收入同增39%。2025年前三季度公司业绩亮眼，公司营收51.48亿元（yoy+39.34%），归母净利润2.29亿元（yoy +50.72%），扣非净利润2.00亿元（yoy+57.58%）；单Q3营收18.48亿元（yoy+42.87%），归母净利润0.71亿元（yoy+48.26%），扣非净利润0.64亿元（yoy+64.76%），超过上半年增速，业绩呈现加速上涨态势。业务结构变化使得毛利率下降，费用管控推动净利率提升。2025年前三季度，毛利率、净利率分别为31.72%/4.46%，同比-4.74、+0.27pct。毛利率下降主要系低毛利率的物联网业务占比提升导致。前三季度销售/管理/研发费用率分别为3.42%/8.11%/16.75%，同比下降0.70/1.25/4.48pct，研发费用下降主要由于规模效应开始显现。经营活动产生的现金流量净额为4.01亿元，同比-13.70%，主要由于存货增加及应收账款上升所致。合同负债由期初的5.82亿元增长至8.90亿元，增幅高达52.92%，未来业绩增长具备较强确定性。AIoT业务高速增长，成为公司新核心驱动力。2025年上半年，公司智能物联网（AIoT）业务收入同比大增136.14%，首次超越智能汽车业务，成为最大收入来源。受益于AI浪潮推动的终端智能化升级，公司AIoT平台化战略效果显著，软硬件一体化能力持续强化。公司推出AI眼镜、AIPC、工业机器人及AMR等多款新产品，带动产业链协同扩张。AIoT业务的快速崛起，公司正进行从“车载智能”向“全场景智能终端”的战略切换，增长动能实现结构性转移。风险提示：AI技术进展不及预期，行业政策风险。",,国泰海通,增持,[None],2025-11-19,,买入,8098005,pdf_downloads/2025/2025-11-19/300496-中科创达（300496）：三季报点评：收入利润高增，端侧智能输出新动能.pdf,300496,中科创达,中科创达（300496）：三季报点评：收入利润高增，端侧智能输出新动能
Lin Yang,本报告导读：2025年前三季度公司营收51.48亿元（yoy+39.34%），归母净利润2.29亿元（yoy50.72%），AIoT业务成为公司新核心驱动力，看好公司长期发展空间。投资要点：投资建议：维持“优于大市”评级，目标价75.85元。我们预计公司2025-2027年（新增2027）EPS分别为1.24 / 1.52 /1.79元（原2025-26预测为1.38/1.84元），可比公司2026年平均PE 18.42X，公司今年业绩高速增长，端侧智能战略为未来增长提供新动能，给予公司一定估值溢价，给予2026年50倍PE（原为2025年50x），对应目标价75.85元（+10%）。业绩延续高增亮眼表现，前三季度收入同增39%。2025年前三季度公司业绩亮眼，公司营收51.48亿元（yoy+39.34%），归母净利润2.29亿元（yoy +50.72%），扣非净利润2.00亿元（yoy+57.58%）；单Q3营收18.48亿元（yoy+42.87%），归母净利润0.71亿元（yoy+48.26%），扣非净利润0.64亿元（yoy+64.76%），超过上半年增速，业绩呈现加速上涨态势。业务结构变化使得毛利率下降，费用管控推动净利率提升。2025年前三季度，毛利率、净利率分别为31.72%/4.46%，同比-4.74、+0.27pct。毛利率下降主要系低毛利率的物联网业务占比提升导致。前三季度销售/管理/研发费用率分别为3.42%/8.11%/16.75%，同比下降0.70/1.25/4.48pct，研发费用下降主要由于规模效应开始显现。经营活动产生的现金流量净额为4.01亿元，同比-13.70%，主要由于存货增加及应收账款上升所致。合同负债由期初的5.82亿元增长至8.90亿元，增幅高达52.92%，未来业绩增长具备较强确定性。AIoT业务高速增长，成为公司新核心驱动力。2025年上半年，公司智能物联网（AIoT）业务收入同比大增136.14%，首次超越智能汽车业务，成为最大收入来源。受益于AI浪潮推动的终端智能化升级，公司AIoT平台化战略效果显著，软硬件一体化能力持续强化。公司推出AI眼镜、AIPC、工业机器人及AMR等多款新产品，带动产业链协同扩张。AIoT业务的快速崛起，公司正进行从“车载智能”向“全场景智能终端”的战略切换，增长动能实现结构性转移。风险提示：AI技术进展不及预期，行业政策风险。,,海通国际证券,优于大市,[None],2025-11-18,,买入,8032642,pdf_downloads/2025/2025-11-18/300496-中科创达（300496）：收入利润高增，端侧智能输出新动能.pdf,300496,中科创达,中科创达（300496）：收入利润高增，端侧智能输出新动能
"浦俊懿,陈超,宋鑫宇",核心观点公司发布 25Q3 季报，前三季度实现营收51.48 亿元(+39.34%)，归母净利 2.29亿元(+50.72%)，扣非净利2亿元(+57.58%)，其中 Q3单季度实现营收 18.48亿元(+42.87%)，归母净利0.71亿元(+48.26%)，扣非净利0.64亿元(+64.76%)收入结构变化导致毛利率下滑，费用控制释放业绩弹性。从毛利率看，公司前三季度整体毛利率为 31.72%，较上年同期下降 4.74pct，主要系收入结构变化所致，上半年毛利率较低的智能物联网业务收入增速达到 136%，远超其他业务增速。费用端前三季度公司费用管控成效显著，期间费用率同比持续优化，前三季度整体费用率为 27.61%，较上年同期下降 5.79pct。费用率下降主要得益于营收规模扩大带来的规模效应，以及内部运营效率的持续提升。措建端侧智能平台，覆盖各类终端场景。公司将 A等新技术在操作系统层深度融合，在不同算力平台上实现系统优化，从而帮助不同智能产品实现算法优化和模型部署。公司将既有产品以及技术等与端侧智能相结合，推动端侧智能成为各类智能终端发展的核心底座，在 AI手机、A1机器人、AI 眼镜等领域均实现布局，莫定未来智能终端浪潮的受益基础。深入全球化布局，海外市场成为未来看点。一方面，公司与海外高通、红等国际领先的厂商达成战略合作，提升自身技术能力;另一方面，公司加大海外研发和市场布局，其研发团队遍布 16 个国家或地区，以“全球化+本地化”模式对接市场与客户，还能为企业“出海”提供全方位支持。而从25H1看，来自欧美日等海外地区收入同比增速达到 81.4%，全球化布局成效显著。盈利预测与投资建议我们维持预测公司 25-27 年归母净利分别为 4.71、5.67、6.65 亿元，根据可比公司26 年的 PE 水平，维持给予公司 26年 73倍 PE，对应目标价为 89.79 元，维持买入评级。风险提示整车智能化等产品下游需求弱于预期风险;费用下降速度低于预期。,,东方证券,买入,[None],2025-11-17,,买入,7992915,pdf_downloads/2025/2025-11-17/300496-中科创达（300496）：业绩持续高增，海外市场彰显潜力.pdf,300496,中科创达,中科创达（300496）：业绩持续高增，海外市场彰显潜力
"孙业亮,刘聪颖",中科创达(300496)事件：公司发布2025年第三季度报告，前三季度实现营收51.48亿元同比增长39.34%；实现归母净利润2.29亿元，同比增加50.72%实现扣非归母净利润2.00亿元，同比增加57.58%；基本每股收益为0.50元。点评：三季度业绩超预期。得益于公司在操作系统和端侧智能领域的坚定投入与不断深耕，公司业绩持续高增。其中，单三季度实现营收18.48亿元，同比增加42.87%；实现归母净利润0.71亿元，同比增加48.26%；实现扣非归母净利润0.64亿元，同比增加64.76%；基本每股收益为0.15元。深耕AI定义汽车，AIBOX与滴水AIOS形成“软硬协同”。公司携手吉利联合发布了基于英伟达的创新产品AIBOX，该方案依托公司滴水AIOS和英伟达DRIVER AGX车载计算平台，首次实现7B大模型在车端实时流畅运行，打造了真正的AI座舱。此外，滴水AIOS以“AI原生架构+端边云协同”为核心亮点，以高通Snapdragon Ride平台至尊版（骁龙8797）的超强AI算力为基石，率先实现14B、7B多模态大模型端侧部署，构建多智能体服务矩阵，覆盖多模态问答、界面操作助手、增强哨兵、场景记忆等核心场景，完成从语音交互到智能预警的全链路升级。随着AIOS打造出来的平台基础，可以同步在AI PC、AI眼镜等其他的AI类IoT智能硬件产品里，把AI的能力扩展并应用。加速核心技术与端侧产品的深度融合，物联网业务快速放量。公司的物联网业务已经形成行业手持终端设备、智能视觉与边缘计算、智能会议系统、机器人、AIPC、可穿戴等垂直品类与场景，上半年智能物联网业务线实现营收12.70亿元同比增加136.14%。深度定制移动通信产品，提供软硬件一体化的整机解决方案，成为公司AIoT平台快速发展的加速器；同时，AI视频会议系统、AI可穿戴产品系列等端侧智能融合创新品类也是推动AIoT平台发展的推动力。投资建议：预计公司2025-2027年EPS分别为1.08\1.30\1.61元，对应公司10月31日收盘价68.76元，2025-2027年PE分别为63.92\53.04\42.61，维持“买入”评级。风险提示：技术创新与产品研发进度不及预期风险；客户拓展进度与订单数量不及预期风险等。,,中邮证券,买入,[None],2025-11-05,,买入,7436651,pdf_downloads/2025/2025-11-05/300496-中科创达（300496）：收入利润持续高增长，端侧AI快速起量.pdf,300496,中科创达,中科创达（300496）：收入利润持续高增长，端侧AI快速起量
"谢春生,郭雅丽","2025年10月29日│中国内地 计算机应用 中科创达2025年前三季度营收51.48亿元（yoy+39.34%），归母净利润2.29亿元（yoy+50.72%），扣非净利润2.00亿元（yoy+57.58%）。25Q3营收及扣非净利均加速增长，单Q3营收18.48亿元（yoy+42.87%），归母净利润0.71亿元（同比+48.26%），扣非净利润0.64亿元（yoy+64.76%）。公司深度受益于端侧AI浪潮，我们看好其在“操作系统+端侧智能”战略下的持续深耕和全球化布局，维持“买入”评级。产品结构变化致毛利率下降，费用率下降提升盈利水平前三季度公司综合毛利率为31.72%（yoy-4.74pct），我们预计主要因为毛利率相对较低的智能物联网业务收入占比提升所致。公司费用管控成效显著，前三季度销售/管理/研发费用率分别为3.42%/8.11%/16.75%，同比下降0.70/1.25/4.48pct，研发费用率下降幅度较大主要得益于规模效应及运营效率的提升。经营性现金流为4.01亿元，yoy-13.70%，主要因为存货增加所致。公司在手订单饱满，截至25Q3末，公司合同负债达到8.90亿，较年初增长52.92%，为未来收入增长奠定坚实基础。AIoT业务重回增长快车道，成为公司营收高增的核心驱动力25H1公司智能物联网业务收入同比增长136.14%，是驱动公司整体营收高增的核心动力，高增长部分源于并表T2Mobile带来的硬件收入增加。受益于端侧智能浪潮，公司AIoT平台化战略效果凸显，我们推测25Q3智能物联网业务营收有望延续上半年的高增长态势。公司持续推出AI眼镜、AIPC等新品，软硬一体化平台优势持续兑现。根据25中报，公司工业机器人业务已进入商业化落地阶段，开启新的增量市场。公司已发布叉车型、搬运型等多款AMR（自主移动机器人）产品，已在汽车、锂电等多家世界500强及泰国、越南等海外地区实现批量落地。公司通过“AIOS+AI Box”双引擎战略，引领“AI定义汽车”新时代公司通过AIOS+AI Box双引擎战略，实现软硬件协同，引领“AI定义汽车”新时代。1）滴水AIOS：公司通过构建“OS+域控+生态”的全栈能力引领汽车智能化发展。25年4月发布面向中央计算的AI原生整车操作系统—滴水OS1.0 Evo，将座舱、智驾、舱驾融合等全部打通, 成为汽车智能化核心系统中枢。2）AI Box：25年9月，公司在德国IAA展会联合吉利、英伟达发布了基于英伟达DRIVE AGX平台的AI Box产品，可提供高达200 TOPS的AI算力，并率先实现了70亿参数大模型在车端的实时运行，打造了真正的AI座舱，标志着汽车产业正式进入AI大模型实车量产时代。盈利预测与估值维持盈利预测，预计公司25-27年归母净利为5.36/6.47/8.38亿元，对应EPS为1.17/1.40/1.82元（前值1.17/1.41/1.82元），主要系公司股本变动所致。可比公司25PE均值76倍（Wind），我们给予公司25PE 76倍，对应目标价为88.55元（前值88.62元，对应25年PE76倍）。我们看好公司未来发展前景，维持买入评级。风险提示：下游需求波动；技术落地不及预期。",,华泰证券,买入,[None],2025-10-29,,买入,6948444,pdf_downloads/2025/2025-10-29/300496-中科创达（300496）：AIOT高增驱动Q3业绩亮眼.pdf,300496,中科创达,中科创达（300496）：AIOT高增驱动Q3业绩亮眼
"刘高畅,陈泽青",三季报业绩超预期，核心受益于AI智能物联产业趋势事件：公司发布2025年三季报，2025年单三季度，公司实现收入18.48亿元，同比增长42.87%；实现归母净利润0.71亿元，同比增长48.26%。收入端、利润端超预期增长，公司已是第四个季度维持高速成长。2025年单三季度，公司实现收入18.48亿元，同比增长42.87%；实现归母净利润0.71亿元，同比增长48.26%，无论是利润端还是收入端，都出现了超预期的增长。自2024年Q4以来，这是公司第四个季度维持高速正增长，体现出公司重回成长轨道。费用率与2024Q3同期相比有所降低，体现公司良好的费用管控能力。与2024年单Q3相比，公司2025单Q3各项费用率都有所降低，尤其是管理费用率和研发费用率，显著降低，体现出公司卓有成效的控费。智能物联是大势所趋，端侧AI产业趋势景气持续。混合AI和端侧智能的发展是大势所趋，人工智能和操作系统深入结合，会使得边侧芯片的推理效率、推理性能和边侧的数据知识结合达到最优。混合AI方式适用于几乎所有生成式AI应用和终端领域，公司正在围绕创新产品赛道，将既有的产品、技术、开发等要素和端侧智能结合，推动端侧智能成为全场景智能终端发展的核心底座。维持“买入”评级。鉴于公司新发布的2025三季报业绩，我们调整盈利预测，预计2025E/26E/27E分别实现归母净利润6.06/6.95/7.82亿元，维持“买入”评级。风险提示：下游行业波动风险；智能驾驶渗透率不及预期的风险；研发投入不及预期。,,国盛证券,买入,[None],2025-10-29,,买入,6941016,pdf_downloads/2025/2025-10-29/300496-中科创达（300496）：三季报业绩超预期，核心受益于AI智能物联产业趋势.pdf,300496,中科创达,中科创达（300496）：三季报业绩超预期，核心受益于AI智能物联产业趋势
"浦俊懿,陈超,宋鑫宇",核心观点事件：公司发布中报，2025H1收入32.99亿元，较上年同期增加37.4%，归母净利润1.58亿元，增长51.8%，扣非归母净利1.36亿元，增长54.4%；单Q2来看，公司收入、归母净利和扣非归母净利增速分别为49.7%、384.2%和1613.9%。三大业务线全面提速，智能物联网业务增速突出。分业务看，公司智能软件业务线收入8.41亿元（YoY+10.5%），智能汽车业务线收入11.89亿（YoY+7.85%），智能物联网业务线增长最为显著，达到12.7亿（YoY+136.1%）。公司三条业务线收入增速均高于2024全年，说明下游需求均有好转和恢复，而智能物联产品线收入体量大增，主要源于24年底公司并表T2Mobile带来的影响。此外，分区域看，25H1国内业务收入17.4（YoY+13.0%），海外业务15.6亿 （YoY+81.4%）、收入体量已接近国内。我们认为，随着大模型发展带来端侧智能化提速，以及公司在海外市场的布局不断加深，公司收入有望继续保持平稳较快增长。各业务线毛利率均有所恢复，费用率有望继续下降。25H1，公司智能汽车、智能软件、智能物联网业务毛利率分别为46.0%、37.1%和18.5%，较2024年全年分别提升1.72、2.47、0.27pcts，扭转了过去两年各业务线毛利率持续下降的趋势。费用角度，25H1销售、管理、研发费用率分别为3.38%、8.42%、17.23%，同比下降0.96、1.21、3.43pcts，带动净利率提升至4.8%（YoY+0.45%）。我们认为，公司不断强化的竞争力有助于毛利率继续反弹，而各项费用率仍有望得到较好控制。整车智能化产品不断升级，端侧AI产品线持续丰富。汽车领域，公司发布面向中央计算的AI原生操作系统-滴水OS，推出车规级弹性算力体系、与火山引擎联合推出AI座舱解决方案，从而形成“OS+域控+生态”的全栈能力。端侧AI方面，公司不断丰富产品矩阵，包括AI机器人领域的无人叉车产品、TurboX AI眼镜以及全新视频会议一体机参考设计。我们看好公司在端侧智能领域的布局和竞争力，未来必将受益于AI新浪潮。我们根据最新财报对各业务收入与毛利率、费用率预测进行调整，预测公司25-27年归母净利分别为4.71、5.67、6.65亿元（原25-26年预测为7.14亿、8.55亿），参照可比公司，我们认为合理估值水平为26年73倍PE，对应目标价为89.79元，维持买入评级。风险提示整车智能化等产品下游需求弱于预期风险；费用下降速度低于预期。,,东方证券,买入,[None],2025-09-09,,买入,6410569,pdf_downloads/2025/2025-09-09/300496-中科创达（300496）：业绩恢复高增，AI端侧引领下一轮增长.pdf,300496,中科创达,中科创达（300496）：业绩恢复高增，AI端侧引领下一轮增长
"谢春生,郭雅丽","2025年9月02日│中国内地 计算机应用 自2022年实行战略升级以来，公司经历了将近两年的业绩阵痛期，23-24年归母净利分别同比下滑39.36%/12.60%，25中报重回业绩增长快车道：25H1营收32.99亿（yoy+37.44%），归母净利1.58亿（yoy+51.84%），扣非净利1.36亿（yoy+54.44%）；其中，Q2营收18.31亿（yoy+49.72%，qoq+24.63%），归母净利6590.21万（yoy+384.21%，qoq-28.81%）。公司深度受益于端侧AI浪潮，我们看好其在“操作系统+端侧智能”战略下的持续深耕和全球化布局，维持“买入”评级。三大业务全面向好，物联网业务、海外市场引领公司营收同比快速增长25H1收入构成：1）智能软件：收入8.41亿，yoy+10.52%，受益于AI手机研发需求复苏；2）智能汽车：收入11.89亿，yoy+7.85%；3）智能物联网：收入12.70亿，yoy+136.14%，高增长部分源于并表T2Mobile带来的硬件收入增加。分区域看，25H1国内收入17.42亿，yoy+12.96%；欧美、日本等海外市场的收入15.58亿元，yoy+81.41%，其中欧美地区营收同比增长151.11%，高速增长。随着海外客户拓展与生态合作的持续推进，全球化战略正逐渐转化为公司业绩的新支柱。产品结构变化致毛利率下降，费用管控加强提升公司盈利能力25H1公司综合毛利率为33.16%（yoy-3.64pct），其中智能软件/智能汽车/智能物联网毛利率分别为37.14%/46.02%/18.48%，同比变动+0.86/1.37/-2.96pct，并表T2Mobile带来产品结构变化，导致物联网业务毛利率下降。公司加强费用管控，25H1销售/管理/研发费用率分别为3.38%/8.42%/17.23%，同比下降0.96/1.21/3.43pct，带动公司净利率提升至4.80%（去年同期为4.35%）。AI定义汽车（AIDV）布局：AI OS+端侧AI算力+生态协作公司通过构建“OS+域控+生态”的全栈能力引领汽车智能化发展。25年4月发布面向中央计算的AI原生整车操作系统—滴水OS1.0 Evo，将座舱、智驾、舱驾融合等全部打通, 成为汽车智能化核心系统中枢。基于TurboX车规级平台打造覆盖1TOPS至100TOPS的弹性算力底座，可实现硬件方案在低速无人车、智能座舱、服务机器人等场景间的快速移植。生态上公司与火山引擎联合推出端云协同AI座舱方案，并推出了多款基于高通芯片平台研发的智能汽车硬件参考设计。端侧智能+创新业务：产品矩阵不断丰富公司依托操作系统与智能硬件积累，不断丰富产品矩阵。1）AI机器人：公司聚焦工业场景的AMR和无人叉车，已在汽车、锂电等多家世界500强及泰国、越南等海外地区实现批量落地，25H1发布了1.5吨堆高型和搬运型叉车新品。2）AI眼镜：发布采用高通5100+MCU双芯片架构的TurboX AI眼镜，显著降低功耗，提升续航；3）6月发布全新的视频会议一体机参考设计-Blink II MINI，实现从拾音到导播的全链路AI进化。盈利预测与估值鉴于公司产品结构变化导致毛利率下降，我们下调公司25-27年归母净利为5.36/6.47/8.38亿元（下调幅度16.51%/26.53%/29.41%），对应EPS为1.17/1.41/1.82元。可比公司25PE均值76倍（Wind），我们给予公司25PE 76倍，对应目标价为88.62元（前值93.66元，对应25年PE 66.8倍），主要系可比公司估值变动及公司盈利预测变动所致，维持买入评级。风险提示：下游需求波动；技术落地不及预期。",,华泰证券,买入,[None],2025-09-03,,买入,6388064,pdf_downloads/2025/2025-09-03/300496-中科创达（300496）：端侧AI持续突破，重回增长快车道.pdf,300496,中科创达,中科创达（300496）：端侧AI持续突破，重回增长快车道
吴鸣远,事项： 8 月26 日，公司发布2025 年半年度报告，2025 年上半年实现营业收入32.99亿元，同比+37.44%；实现归母净利润1.58 亿元，同比+51.84%；实现扣非归母净利润1.36 亿元，同比+54.44%。 评论： 核心业务稳健增长，物联网与海外业务表现亮眼。单季度看，公司2025Q2 实现营业收入18.31亿元，同比+49.72%；实现归母净利润0.66亿元，同比+384.21%。2025H1分业务看，智能物联网业务成为增长核心引擎，实现收入12.70亿元，同比大幅增长136.14%，主要得益于公司在AIoT领域的持续深耕和产品矩阵的丰富，覆盖AI眼镜、AI视频会议、机器人等多个高增长赛道；智能汽车业务实现收入11.89亿元，同比+7.85%，保持稳健增长；智能软件业务实现收入8.41亿元，同比+10.52%，受益于AI手机带来的研发需求复苏。分区域看，全球化战略成效显著，公司来自欧美、日本等海外地区的收入达15.58亿元，同比+81.41%，成为业绩增长的重要驱动力。坚持高研发投入，战略性生态合作构筑护城河。公司持续保持高强度研发投入，上半年研发投入8.46亿元，研发投入占比为25.64%。高研发投入支撑了公司在“操作系统+端侧智能”核心战略下的产品创新与迭代，汽车领域发布了面向中央计算的AI原生整车操作系统——滴水OS 1.0 Evo，物联网领域推出了基于高通平台的TurboX AI眼镜、Blink II MINI视频会议一体机及多款AMR和无人叉车产品。公司积极与产业链上下游头部企业深化合作，构建“芯片+OS+生态”的整合优势，包括与火山引擎合作将大模型能力融入AI座舱解决方案，作为高通重要战略合作伙伴推出多款智能汽车硬件参考设计，并通过与AMD、红帽等厂商合作，持续巩固其在端侧智能领域的生态壁垒。AI 定义汽车开启新篇章，端侧智能平台打开广阔空间。公司紧抓 AI 技术浪潮，推动汽车业务从“软件定义汽车”向“AI定义汽车”演进。核心产品滴水OS 1.0 Evo的发布，标志着公司整车操作系统迈入全面AI化新时代，该系统深度融合AI大模型，支持舱驾融合与算力高效调度，为公司在智能汽车新时代抢占先机奠定坚实基础。同时，公司将操作系统技术与AI深度融合，打造了覆盖智能手机、机器人、AIoT等领域的端侧智能平台，构建全场景智能图谱。上半年智能物联网业务实现高增充分验证公司端侧智能平台战略的成功。公司在AI眼镜、AI机器人等新兴赛道已实现产品落地或商业化，并已在多家世界500强企业落地机器人自动化项目为公司长期增长打开全新空间。投资建议：随着公司 AIoT 领域布局持续丰富，叠加 AI 赋能手机、汽车等众多新兴行业蓬勃发展，公司有望显著受益。我们预计2025~2027年的收入分别为72.31\88.73\105.81亿元，增速分别为34.3%\22.7%\19.2%，归母净利润分别为5.01\6.08\7.32亿元，增速分别为22.9%\21.4%\20.5%。据可比公司与公司历史估值，给予2026年72倍PE，对应目标价95.04元/股，维持“强推”评级。风险提示：新业务拓展不及预期、研发投入效果不及预期、行业竞争加剧等。,,华创证券,强推,[None],2025-09-02,,买入,6384550,pdf_downloads/2025/2025-09-02/300496-中科创达（300496）：物联网实现高速增长，端侧AI持续放量.pdf,300496,中科创达,中科创达（300496）：物联网实现高速增长，端侧AI持续放量
