author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"徐强,吴志鹏",本报告导读：25 年公司业绩展现了韧性，26 年储能出货量维持高增，光伏有望底部回升。投资要点：投资建议：我们预计公司2025-2027年的归母净利润分别为10.07/21.79/39.71亿元，EPS分别为0.28/0.60/1.09元。在行业整体承压的背景下，公司依旧实现可观的盈利，储能业务已成为公司第二成长曲线，参考可比公司，给予公司2026年35xPE，目标价为20.93元，首次覆盖给予“增持”评级。25年业绩稳健，储能业务贡献稳定盈利。公司发布业绩预告，25年，预计公司的归母净利润为9-11亿元，扣非净利润为9-11亿元，在行业普遍亏损的情况下依然保持了稳定的盈利。公司积极响应和落实国家“反内卷”的号召，主动优化出货结构与节奏，聚焦高价值区域和长期战略客户，稳步提升在重点市场的份额占比。公司前期大量的储能项目储备和在手合同订单进入收获期，为公司健康的盈利水平提供了有力支撑。储能业务高速成长，26年出货指引乐观。我们认为26年储能业务在规模增长带动下依然会贡献可观盈利，公司海外产能供应链正在完善，东南亚3GWh储能工厂预计26Q1投产，并通过股权转让方式满足OBBB法案要求。根据投资者关系活动记录表，公司2026年全球大型储能预计出货14-17GWh，非美市场占比预计提升到三分之二左右，加拿大、欧洲、澳洲等成熟海外市场需求强劲，呈现高增长态势。光伏需求场景不断延伸，公司取得领先成果。太空光伏长期看有望带来新的行业需求，打开行业空间，公司能提供相关的产品，根据投资者关系活动记录表，公司在与太空光伏相关的晶体硅电池（HJT技术）、钙钛矿/HJT叠层电池与组件等方向已经进行了长期技术开发及储备，并且取得了领先性的研发成果。HJT技术已升级至4.0版，研发效率超过了27.6%，量产效率超过了27.30%，良率达到了99.2%，居于行业先进水平。2023年起，阿特斯与中科院宁波材料技术与工程研究所联合，共同致力于高效钙钛矿/HJT 两端叠层电池的联合开发，电池转换效率突破至33.1%。风险提示：政策风险；竞争加剧；行业需求下滑；技术进步不及预期。,,国泰海通,增持,[None],2026-02-22,,买入,8431892,pdf_downloads/2026/2026-02-22/688472-阿特斯（688472）：储能业务保持增长，光伏底部回升可期.pdf,688472,阿特斯,阿特斯（688472）：储能业务保持增长，光伏底部回升可期
"曾朵红,郭亚男,徐铖嵘",事件：公司公告美国业务调整：1）公司拟与控股股东CSIQ新设合资公司M、N，其中公司持有24.9%、CSIQ持有75.1%股份。公司M/N将分别从事美国的光伏业务/储能业务，并将通过租赁公司的海外资产运营。2）公司计划将通过股权转让，将供应美国市场的海外工厂（包括已建成的THX1光伏切片厂、建设中的SSTH储能厂和GNCM电池厂）重组为CSIQ控股75.1%、公司持股24.9%的架构。降低美国产能股权比例、满足OBBB要求。公司在美国已投产5GW光伏组件工厂，当前满产运行；按美国IRA制造补贴，组件每W可享7美分补贴；公司预计美国电池工厂一期将于26年3月投产，总规划5GW电池、每W可享4美分补贴。公司预计美国储能工厂一期将于26年12月投产。为满足OBBB法案FEOC要求，公司需将美国产能股权比例降至25%以下，而后可获取正常补贴。海外光伏切片工厂THX1产能约8GW已建成，海外储能工厂SSTH和电池厂GNCM约3GWh/2.9GW在建，公司预计26年投产。股权变动落地、获取一次性转让费、后续对美25%股权+租赁服务费。公司海外非美三家工厂净资产评估总价为4.6933亿元，故本次转让75.1%股权交易金额约3.52亿元。公司可获一次性股权转让对价，且享有后续美国业务24.9%持续收益。公司M、N将通过租赁公司的部分海外资产开始运营，2026年度日常关联交易中预计租金不超10.99亿元，可持续获取租赁服务费。26年储能出货高增、光伏保利控量。公司储能订单充沛，截止25年10月31日在手订单为31亿美元（包括长期服务协议），公司预计25全年出货7.9-8.1GWh、26全年约14-17GWh，同增73~115%。组件稳健经营、盈利优先，26全年公司预计出货25-30GW，同增1~22%。盈利预测与投资评级：由于公司将美国市场相关业务的控股权转移给控股股东，我们下调盈利预测，预计25-27年归母净利润15.0/26.3/35.1亿元（前值为15.0/32.4/42.7亿元），同比-33%/+75%/+33%。考虑到此举获得了美国市场的长期准入资格和公司的战略安全，且公司的核心业务增长强劲，维持“买入”评级。风险提示：竞争加剧，政策不及预期，汇率变动等。,,东吴证券,买入,[None],2025-12-01,,买入,8199675,pdf_downloads/2025/2025-12-01/688472-阿特斯（688472）：公告美国市场业务调整，保障美国长期经营.pdf,688472,阿特斯,阿特斯（688472）：公告美国市场业务调整，保障美国长期经营
"曾朵红,郭亚男,徐铖嵘",事件：25年11月13日，阿特斯控股股东CSIQ公布2025Q3财务报告，并发布25Q4及26年业务展望。公司预计25Q4销售额将在13亿美元至15亿美元之间(约合人民币92.4亿元-106.7亿元)（Q3销售额约15亿美元）；毛利率公司预计将在14%-16%之间（Q3毛利率约17.2%）。组件稳健经营、盈利优先：CSIQ位于美国印第安纳州的电池片工厂第一期公司预计将于26年3月投产。在产能方面：拉棒/硅片/电池/组件25年底CSIQ公司预计产能约31.0GW/37.0GW/32.4GW/51.3GW，26年底将达31.0GW/33.2GW/33.2GW/55.8GW；在组件出货方面：CSIQ预计25Q4组件出货约4.6GW-4.8GW，全年约24.5GW-24.7GW；26全年公司预计组件出货约25GW-30GW，同比增长1%~22%。储能在手订单充沛、26年高速增长：截至25年10月31日，CSIQ储能在手订单为31亿美元（包括长期服务协议），在手订单充沛（较6月30日增长约1亿美元）。CSIQ位于美国肯塔基州的储能工厂一期工程公司预计将于26年12月投产。在产能方面：CSIQ公司预计25年底储能电芯/储能系统产能约3GWh/15GWh，公司预计26年底达9GWh/24GWh；在储能出货方面：CSIQ公司预计25Q4储能出货2.1GWh-2.3GWh，全年储能出货7.9GWh-8.1GWh；公司预计26全年储能出货约14GWh-17GWh，同比增长73%~115%。费用率小幅上升、现金流显著改善。阿特斯公司25年Q1-Q3期间费用27.9亿元，同比+8%，费用率8.9%，同比+1.4pct，其中Q3期间费用9.3亿元，同环比-0.5%/-5%，费用率9.1%，同环比+1.5pct/+1.3pct；25年Q1-Q3经营性净现金流54.7亿元，同比+120.9%，其中Q3经营性净现金流16.9亿元；25年Q1-Q3资本开支50.8亿元，同比-19.5%，其中Q3资本开支20亿元；25年Q3末存货76.1亿元，较年初增加6.2%。盈利预测与投资评级：考虑到全球光伏需求恢复节奏不及预期、公司短期盈利能力承压，我们下调25年盈利预测，我们预计25年归母净利润为15.0亿元（25年前值为22.8亿元）；考虑到公司储能与组件业务产能逐步释放，上调26-27年盈利预测，我们预计26-27年归母净利润为32.4/42.7亿元（26-27年前值为31.6/38.8亿元）；同比-33%/+115%/+32%，对应当前PE为46/21/16倍，基于公司清晰的产能扩张规划、储能业务的高速成长及中长期盈利弹性，维持“买入”评级。风险提示：竞争加剧，政策不及预期，汇率变动等。,,东吴证券,买入,[None],2025-11-19,,买入,8099625,pdf_downloads/2025/2025-11-19/688472-阿特斯（688472）：CSIQ披露25Q4及26年展望，CSIQ在手订单充沛、26年储能出货翻倍.pdf,688472,阿特斯,阿特斯（688472）：CSIQ披露25Q4及26年展望，CSIQ在手订单充沛、26年储能出货翻倍
"邓永康,朱碧野,王一如,林誉韬",组件坚持利润优先，储能业务增长强劲  事件：2025年10月30日，公司发布2025年三季报。2025年前三季度，公司实现营业收入312.70亿元，同比-8.51%；实现归母净利润9.89亿元，同比-49.41%；实现扣非归母净利润11.19亿元，同比-40.59%。2025Q3，公司实现营业收入102.18亿元，同比-16.38%，环比-18.03%；实现归母净利润2.58亿元，同比-63.96%，环比-62.28%；实现扣非净利润2.84亿元，同比-56.77%，环比-62.12%。组件坚持利润优先，深耕高毛利市场。2025年前三季度，公司全球组件出货量达19.9GW，其中第三季度出货5.1GW。2025年以来，公司积极响应和落实国家“反内卷”的号召，在销售策略上坚持“利润第一性”原则，主动调控出货节奏，有序推进全球化产能布局优化，稳固提升在高价值市场的出货规模与份额优势，确保组件业务的健康盈利水平。公司对产业链垂直一体化进行了积极布局，预计2025年末，公司拉棒、硅片、电池片和组件产能将分别达到31GW、37GW、32.4GW和51.2GW。储能业务增长强劲。2025年前三季度，公司大型储能产品出货量达5.8GWh，同比增长32%；其中，2025Q3单季出货2.7GWh，同比增幅达50%，对公司三季度整体业绩贡献突出。订单储备方面，截至2025年6月30日，公司包括长期服务协议在内的在手储能系统订单总额约30亿美元，为未来持续高增长奠定坚实基础。公司在北美市场连续斩获大单，2025年10月，阿特斯储能连续斩获加拿大2.1GWh、美国德州66MWh储能订单；同时今年3月签署的美国1.8GWh储能项目稳步推进。此外，公司持续扩大储能产能，预计2025年末，储能系统产能将达到15GWh，储能电芯产能将达到3GWh。经营性现金流表现优异。在行业竞争加剧的背景下，公司依托大型储能的先发优势、成熟的海外渠道和跨文化运营能力，在复杂环境中保持盈利韧性，并维持强劲的经营性现金流。2025年前三季度，公司经营活动产生的现金流量净额约55亿元，同比增长120.9%，充沛的现金流为公司持续推进技术研发与全球市场拓展提供了有力支撑。投资建议：我们预计公司2025-2027年营收分别为391.69、458.91、551.48亿元，对应增速分别为-15.2%、17.2%、20.2%；归母净利润分别为13.72、29.10、37.18亿元，对应增速分别为-38.9%、+112.0%、+27.8%，以11月3日收盘价为基准，对应2025-2027年PE为47、22X、17X，公司储能第二主业已成为新增长极，维持“推荐”评级。风险提示：下游需求不及预期，市场竞争加剧，国际贸易风险等。,,民生证券,推荐,[None],2025-11-04,,增持,7389114,pdf_downloads/2025/2025-11-04/688472-阿特斯（688472）：组件坚持利润优先，储能业务增长强劲.pdf,688472,阿特斯,阿特斯（688472）：组件坚持利润优先，储能业务增长强劲
"刘俊,边文姣,苗雨菲",2025年11月02日│中国内地 新能源及动力系统 阿特斯发布三季报：Q3实现营收102.18亿元（yoy-16.38%，qoq-18.03%），归母净利2.58亿元（yoy-63.96%，qoq-62.28%）。2025年Q1-Q3实现营收312.70亿元（yoy-8.51%），归母净利9.89亿元（yoy-49.41%），扣非净利11.19亿元（yoy-40.59%）。Q3业绩受到光伏组件业务成本上涨和供应链切换压制，但储能出货超出指引区间且明年需求展望积极，我们看好公司有望充分受益于美国数据中心配储新趋势，储能出货放量可期，上调至“买入”评级。3Q25组件经营承压，但储能出货超预期3Q25公司组件出货量为5.1GW，环比下降35%、同比下降38%，落在指引区间中段（5.0-5.3GW）。尽管组件价格在“反内卷”下止跌企稳，但组件环节仍面临上游成本上行与价格传导之后的挑战，叠加北美关税成本上升压力，导致本季度组件盈利能力相对承压。3Q25公司储能出货量为2.7GWh，环比增长27%、同比增长50%，超过指引区间上限（2.1-2.3GWh），通过与客户共担关税增长，储能板块单季度毛利率维持在20%以上、净利率维持在13-14%以上，为公司第三季度整体业绩做出了突出贡献。全球储能需求共振，公司有望充分受益于美国数据中心配储新趋势我们看好系统平价到来和商业模式创新推动全球储能需求高增。其中，中国在电网调节需求和各省容量电价政策支持下有望迎来独立储能的非线性增长；欧洲各国国家级大储项目招标有望推动未来几年需求高增；而美国在数据中心电力需求增长预期持续上修的背景下，电力供需紧张或推动储能需求加速。我们看好美国各类型储能需求增长，包括数据中心配置表后独立储能，有助于更快取得并网资格，降低接入电网容量需求，以及应对潜在的缺电断电风险；此外电网侧储能亦有加速可能，以缓解电网阻塞、提升电网传输能力；在部分资源充沛地区，表后新能源配储直供数据中心也具备开发潜力。根据公司公开业绩会交流，当前已有十几个具体的AI数据中心配储项目正与潜在客户进行技术探讨，此类项目对电力电子、PCS响应速度要求更高，提高对储能集成供应商的实力要求，相较于传统储能项目或有一定的溢价空间。盈利预测与估值考虑到上游涨价导致组件经营阶段性承压，我们下调公司2025年归母净利润至16.39亿元；看好光伏反内卷政策持续推进以及公司美国储能业务积极进展，我们维持2026-27归母净利润30.02/34.87亿元，对应25-27年EPS为0.44/0.81/0.95元。可比公司26年Wind一致预期PE均值为25.3x，考虑到公司储能业务聚焦于美国市场，参考阳光电源估值，给予公司2026年24倍PE，上调目标价为19.44元（前值10.8元，对应2025年20倍PE），我们看好公司储能业务在手订单充足，有望充分受益于美国数据中心配储新趋势，储能出货放量可期，组件盈利有望持续修复，上调至“买入”评级。风险提示：产能扩张不及预期、境外市场经营风险、行业需求不及预期、海外政策不确定性。,,华泰证券,买入,[None],2025-11-03,上调评级,买入,7300813,pdf_downloads/2025/2025-11-03/688472-阿特斯（688472）：看好储能业务高景气.pdf,688472,阿特斯,阿特斯（688472）：看好储能业务高景气
"姚遥,张嘉文",业绩简评10月30日公司披露2025年三季报，前三季度公司实现营收313亿元、同比-9%，实现归母净利润9.89亿元，同比-49%；其中Q3实现营收102亿元，同比-16%、环比-18%，归母净利润2.58亿元，同比-64%、环比-62%。经营分析大储在手订单充足，有望充分受益数据中心配储需求爆发。前三季度公司大型储能产品出货5.8GWh，同比增长32%，其中Q3出货2.7GWh，同比增长50%、环比增长23%，出货量超前期指引（2.1-2.3GWh）。因前期高价订单逐步实施完毕，测算Q3大储业务盈利能力环比有所下降，但仍处于较高水平。公司大储业务布局北美、南美、澳洲、欧洲等高盈利市场，截至6月末在手订单金额为30亿美元（含长期服务合同），充足订单支撑储能业务放量；此外，公司北美出货领先，有望充分受益数据中心配储需求爆发。组件业务坚持“利润优先”，关税政策影响盈利。前三季度公司实现组件出货19.9GW，其中第三季度出货5.1GW，环比基本持平。产业链价格及盈利承压的背景下，公司积极响应落实国家“反内卷”号召，在销售策略上坚持“利润第一性”原则，主动减少出货，有序推进全球化产能布局优化，稳固提升在高价值市场的出货规模与份额优势，确保组件业务的盈利性。测算Q3公司组件业务盈利环比承压，预计主要因美国对等关税实施后公司成本上涨。计提减值影响利润。三季度公司计提减值2.52亿元，其中资产减值损失1.55亿元，主要为存货跌价损失及合同资产减值损失等；信用减值损失0.97亿元，主要为应收账款坏账损失。积极布局户储，有望贡献新的利润增长点。公司户用储能业务已在北美、欧洲、日本等户储活跃区域布局经销网络，同步配合电力电子等新业务领域辅助，有望打造第三个利润来源。公司EP Cube产品进入日本市场后迅速获得当地市场认可，已成功通过日本JET测试，同时荣获红点等多个国际知名设计大奖，有望逐步开拓市场、贡献业绩增量。盈利预测、估值与评级考虑到国际贸易环境不确定性，调整公司2025-2027年净利润预测至14、35、44亿元，当前股价对应PE分别为43/17/14倍，公司大储业务在手订单充足、有望充分受益数据中心配储需求爆发，组件业务有望维持盈利优势，维持“买入”评级。风险提示国际贸易环境恶化；下游需求不及预期；人民币汇率波动。,,国金证券,买入,[None],2025-10-31,,买入,7176666,pdf_downloads/2025/2025-10-31/688472-阿特斯（688472）：大储持续高景气，关税影响组件盈利.pdf,688472,阿特斯,阿特斯（688472）：大储持续高景气，关税影响组件盈利
"开文明,刘清馨",核心观点公司发布2025年半年报，公司上半年实现营业收入210.52亿元，同比-4.12%；归母净利润为7.31亿元，同比-41.01%。其中二季度实现营业收入124.67亿元，同比+0.85%，环比+45.20%；实现归母净利润6.84亿元，同比+3.51%，环比+1346.82%。公司上半年通过高质量光伏业务的战略取舍与储能第二增长极的强势突破，维持了业绩韧性，巩固了行业地位。光伏组件业务国际化稳步推进。公司上半年组件出货量14.8GW，其中一季度出货6.9GW，二季度出货7.9GW，公司稳步推进深度国际化，组件海外产能提产、销售顺利，在高毛利区域的市场份额领先，组件毛利率保持健康状态。未来响应“反内卷”政策，公司预计继续维持量和利的平衡，第三季度预计出货主动调整至5-5.3GW，全年组件出货预计为25-27GW。目前公司美国组件工厂已提产，预计今年组件产量将超过3.5GW，同时公司正在美国规划建设电池片生产基地，预计明年投产。储能展现强劲动能，在手订单充足，毛利率领跑行业，为业绩提供坚实支撑。公司上半年储能出货量达3.1GWh，其中二季度出货2.2GWh，环比上季度增长超140%。截至2025年6月30日，公司储能系统已签署合同的在手订单金额达30亿美元。预计三季度大型储能出货2.1-2.3GWh，全年出货量将达7-9GWh。公司储能毛利率持续领跑行业，为公司业绩提供坚实支撑。投资建议我们认为公司光伏组件业务稳健运行，美国地区产能贡献增量；同时储能业务作为第二增长曲线，在手订单充足，毛利率领跑行业，有效支撑公司业绩。预计公司2025-2027年营业收入分别为458.41亿元、503.06亿元、549.91亿元，同比分别-0.7%、+9.7%、+9.3%；归母净利润为20.19亿元、28.24亿元、33.87亿元，同比分别-10.1%、+39.9%、+19.9%。9月16日股价对应PE分别为23、16、14倍。首次覆盖，给予“买入”评级。风险提示下游需求不及预期，市场竞争加剧，国际贸易政策不确定,,甬兴证券,买入,[None],2025-09-19,,买入,6452564,pdf_downloads/2025/2025-09-19/688472-阿特斯（688472）：2025半年报点评：储能强势突破，高盈利支撑公司业绩.pdf,688472,阿特斯,阿特斯（688472）：2025半年报点评：储能强势突破，高盈利支撑公司业绩
"曾朵红,郭亚男",公司发布2025年中报，25H1营收210.5亿，同比-4.1%，归母净利7.3亿，同比-41.0%；其中Q2营收124.7亿，同环比+0.9%/+45.2%，归母净利6.8亿，同环比+3.5%/+1346.8%，业绩略超市场预期。组件高价市场支撑、盈利优于同行。25H1公司组件出货14.8GW，其中Q2出货7.9GW，环增14%。Q2公司计提5.5亿的PERC及库存资产减值后，组件基本盈亏平衡，显著优于同行，主要是美国本土组件工厂持续爬坡生产贡献利润，据我们测算，Q2美国出货占比预计30%+。公司预计25Q3组件出货5-5.3GW，全年出货25-27GW，同比-16%左右。新技术上，公司HJT电池转换效率达27.1%，良率99%，同时研发BC和钙钛矿叠层，强化技术储备。储能增长势头强劲、在手订单充足。25H1公司储能出货3.1GWh，同增19%，我们预计贡献7-8亿利润，对应单wh利润预计2.5毛/wh，其中Q2出货2.2GWh，环增140%+。除美国市场外，公司在加拿大、拉美、英国等市场持续开拓，截至Q2末公司储能在手订单金额达30 亿美元（含长期服务协议），为后续业绩增长提供坚实支撑。公司预计25Q3储能出货2.1-2.3GWh，全年出货7-9GWh，同增20%+。费用率有所提升、现金流大幅增长。公司H1期间费用率8.8%，同比+1.3pct，主要系储能板块管理人员增加，同时组件板块辞退福利增加导致管理费用同比+37.4%。H1期间经营活动现金流净额大幅增长至37.82亿元，同比+157.95%，主要受益于货款回笼加快及储能预收款增加，同时公司持续优化库存，采购支出较去年同期减少。盈利预测与投资评级：由于上半年光伏行业竞争依然激烈，公司盈利承压，我们下调25-26年盈利预测，预计25-26年归母净利润分别为22.8/31.6亿元（原预期25/26年为37.3/45.9亿元），新增预期27年归母净利润38.8亿元，同比+1.5%/+38.7%/+22.7% ，对应PE分别为 16/11/9x。考虑储能业务成为第二增长曲线，公司组件业务高价市场支撑，我们给予26年16xPE，目标价13.8元，维持“买入”评级。风险提示：竞争加剧，政策不及预期，汇率变动等,,东吴证券,买入,[None],2025-08-29,,买入,6368612,pdf_downloads/2025/2025-08-29/688472-阿特斯（688472）：2025年中报点评：高质量光伏战略+储能强势突破，25H1业绩超市场预期.pdf,688472,阿特斯,阿特斯（688472）：2025年中报点评：高质量光伏战略+储能强势突破，25H1业绩超市场预期
"张磊,李灵雪",事件2025年8月21日，阿特斯发布2025年半年报。2025H1公司实现营业收入210.5亿元，同比减少4.1%，实现归母净利润7.3亿元，同比减少41.0%，实现销售毛利率12.5%，同比下降3.3pct，实现经营活动现金净流量37.8亿元，同比增长158.0%；其中2025Q2公司实现营业收入124.7亿元，同比增长0.9%，环比增长45.2%，实现归母净利润6.8亿元，同比增长3.5%，环比增长1346.8%，公司业绩环比显著改善。先进电池组件技术研发持续发力2025H1公司光伏组件业务实现营业收入143.6亿元，同比减少7.3%，实现毛利率10.3%，同比下降6.2pct，组件出货量14.8GW，上年同期销量为14.5GW。公司预计Q3组件出货或将达到5.0-5.3GW，2025全年组件出货有望达25-27GW，同比微降。2025H1，公司TOPCon电池量产效率已提升至26.9%，良率超98.5%；随着poly层优化、ALD钝化增强、图形化改良等多项量产技术导入，TOPCon 182Pro电池研发中试线效率可达27.2%，182×210规格组件功率已突破645W。储能在手订单充足有望支撑增长2025H1公司储能系统业务实现营业收入44.3亿元，同比增长8.6%，实现毛利率31.4%，同比提升8.1pct，实现储能系统交付量3.1GWh（含户储），其中Q2交付2.2GWh，环比增长约144%，公司预计Q3出货量或将达到2.1-2.3GWh，环比基本持平，2025全年出货有望达7-9GWh，相对2024年的6.6GWh销量呈现稳定增长状态。截至2025年6月底，子公司阿特斯储能科技e-STORAGE已签署合同在手订单金额达30亿美元（含长期服务合同），有望支撑公司储能业绩持续增长。投资建议光伏行业竞争加剧、利润受到挤压、海外政策不确定性较高的背景下，我们预计公司2025-2027年营业收入分别为390.9/490.3/581.8亿元，同比增速分别为-15.3%/25.4%/18.7%；归母净利润分别为21.2/33.9/42.6亿元，同比增速分别为-5.9%/60.1%/25.7%。EPS分别为0.57/0.92/1.15元。公司组件业务维持相对稳健经营，储能业务快速起量，有望助力公司穿越周期，维持“买入”评级。风险提示：海外政策变动风险；行业竞争加剧；原材料价格大幅波动。,,国联民生证券,买入,[None],2025-08-26,,买入,6349157,pdf_downloads/2025/2025-08-26/688472-阿特斯（688472）：组件业务稳健运营，储能在手订单充足.pdf,688472,阿特斯,阿特斯（688472）：组件业务稳健运营，储能在手订单充足
"邓永康,朱碧野,王一如,林誉韬",25Q2业绩亮眼，储能成为新增长级事件：2025年8月21日，公司发布2025年半年报。2025H1，公司实现营业收入210.52亿元，同比-4.13%；归母净利润7.31亿元，同比-41.01%；扣非归母净利润8.36亿元，同比-31.95%。2025H1，公司经营性净现金流37.8亿元，同比增长超150%；计提信用及资产减值准备共6.62亿元，其中计提资产减值损失6.12亿元，计提信用减值损失0.50亿元。2025Q2，公司实现营业收入124.67亿元，同比+0.85%，环比+45.20%；实现归母净利润6.84亿元，同比+3.51%，环比+1346.82%；实现扣非净利润7.49亿元，同比+26.92%，环比+757.26%。组件坚持利润优先，深耕高毛利市场。2025H1，公司组件销售14.8GW，较去年同期基本持平，通过高毛利市场布局，光伏业务毛利率保持健康状态；组件出货量排名前三的地区分别为中国、美洲、欧洲，其中北美市场的市占率环比提升4%，同比出货量增15%。公司对产业链垂直一体化进行了积极布局，预计2025年末，公司拉棒、硅片、电池片和组件产能将分别达到31GW、37GW、32.4GW和51.2GW。公司主动限产保价，响应并执行“反内卷”政策，预计2025Q3组件出货量调整为5.0-5.3GW，全年组件出货量预计达25-27GW，继续通过技术领先与全球化渠道等优势巩固市场份额。储能第二主业已成为新增长极。2025H1，公司储能销售3.1GWh（含户用储能），同比+19.23%；其中2025Q储能交2.2GWh，环比增长超140%。截至报告期末，阿特斯储能科技（e-STORAGE）已签署合同在手订单金额30亿美元（含长期服务合同），公司已经成功向全球市场交付了13GWh的 储能解决方案。公司持续扩大储能产能，预计2025年末，储能系统产能将达到15GWh，储能电芯产能将达到3GWh。公司预期2025Q3储能出货量2.1-2.3GWh，全年储能出货量将达7-9 GWh，储能业务毛利率持续领跑行业，成为利润增长的核心引擎。投资建议：我们预计公司2025-2027年营收分别为391.69、458.91、551.48亿元，对应增速分别为-15.2%、17.2%、20.2%；归母净利润分别为17.20、29.37、37.51亿元，对应增速分别为-23.5%、70.7%、27.7%，以8月22日收盘价为基准，对应2025-2027年PE为21、13X、10X，公司储能第二主业已成为新增长极，维持“推荐”评级。风险提示：下游需求不及预期，市场竞争加剧，国际贸易风险等。,,民生证券,推荐,[None],2025-08-24,,增持,6341229,pdf_downloads/2025/2025-08-24/688472-阿特斯（688472）：25Q2业绩亮眼，储能成为新增长级.pdf,688472,阿特斯,阿特斯（688472）：25Q2业绩亮眼，储能成为新增长级
