author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"朱会振,王书龙,杜雨聪",事件：公司发布2025年三季报，前三季度实现收入31.7亿元，同比-27.2%，实现归母净利润7.4亿元，同比-43.4%；2025单Q3实现收入6.4亿元，同比-46.2%，实现归母净利润0.3亿元，同比-92.5%。25Q3需求较为疲软，收入端显著承压。1、25Q2外部饮酒政策趋严，渠道库存有所累积；今年中秋国庆期间，白酒行业需求端仍然没有改善，商务宴请表现尤为低迷，宴席场次同比下滑；在这样的背景下，渠道打款意愿低迷，25Q3收入端大幅承压。2、分产品，25单Q3高档白酒收入5.8亿，同比-49.3%，主要系外部消费环境疲软，宴席等消费场景大幅减少；中档/低档白酒收入增速分别同比-28.5%、+117.3%。3、分区域，25单Q3省内实现收入4.9亿元，同比-48.9%，徽酒市场竞争较为激烈，渠道处在加速去库存阶段；省外实现收入1.5亿元，同比-34.0%，省外市场需求持续承压，动销显著下滑。盈利能力较为承压，合同负债同比减少。1、25单Q3公司毛利率同比下滑9.2个百分点至62.7%，预计主要系次高端以上白酒动销压力较大，产品结构阶段性下沉。费用率方面，25单Q3公司销售费用率同比上升12.2个百分点至24.6%，管理费用率同比上升8.0个百分点至15.0%，财务费用率同比下降0.6个百分点至-0.7%；整体费用率同比上升20.3个百分点至40.1%。综合作用下，25Q3净利率同比下降26.1个百分点至4.2%，盈利能力较为承压。2、现金流方面，公司25单Q3实现现金回款7.3亿元，同比-48.9%，渠道回款表现承压。此外，截止三季度末公司合同负债3.4亿元，同比-4.4%，预计公司主动降低渠道回款要求，缓解经销商现金流压力。行业处在深度调整期，静待需求恢复。1、当前行业需求端显著承压，面对行业的严峻形势，公司聚焦“三个升级”的阶段目标（即市场升级、结构升级、品牌升级），积极调整战术打法，更好地服务消费者和经销商。2、在当前徽酒市场竞争白热化的背景下，公司坚持全面参与市场竞争，推动渠道转型和精耕细作，不断下沉县级及乡镇市场，以此巩固基本盘，并挖掘新的增长点；与此同时，公司主动控货缓解经销商资金压力，帮助渠道积极细化库存，为之后轻装上阵打下良好基础。盈利预测。预计2025-2027年EPS分别为1.57元、1.71元、1.86元，对应动态PE分别为21倍、19倍、18倍。伴随着未来外部需求改善，叠加公司兼系列培育取得突破，营销体系充分理顺，有望迎来内外共振。风险提示：经济复苏不及预期风险，市场竞争加剧风险。,,西南证券,,[None],2025-10-30,,,7033131,pdf_downloads/2025/2025-10-30/603589-口子窖（603589）：25Q3动销承压明显，静待需求改善.pdf,603589,口子窖,口子窖（603589）：25Q3动销承压明显，静待需求改善
"欧阳予,刘旭德,田晨曦,董广阳",事项：公司公布 2025 年三季报，25 年前三季度实现营收 31.7 亿元，同降 27.2%；归母净利7.4亿元，同降43.4%；其中单Q3实现营收6.4亿元，同降46.2%；归母净利0.3亿元，同降92.5%；销售回款7.3 亿元，同降48.9%；经营性现金流净额为-0.1亿元，25Q3末合同负债3.4亿元，环比25Q2增加0.4亿元。评论：Q3 聚焦纾压，报表延续出清。公司 25Q3 营收同降 46.2%，主要系消费场景受损，公司聚焦去库纾压所致。分档次看，Q3高档/中档/低档产品营收分别同比-49.3%/-28.5%/+117.3%，其中兼8依托大众场景相对具有韧性，兼10、20受场景限制叠加去年铺货高基数下滑去库，老品窖系列周转变慢，库存累积下去库纾压。分渠道看，直销/批发分别实现营收0.9/5.4亿元，同比+108.5%/-52.0%，判断系公司渠道承压下，加大直销供给所致。分区域看，Q3省内营收同降48.9%，主要系省内消费场景受损叠加竞争加剧所致，省外延续去库动作，营收同降34.0%。此外，25Q3末省内/省外经销商数量较Q2末分别增加23/26家，分别减少2/8家，渠道改革加速调整。费投加大梳理渠道，利润、现金流量表均有承压。盈利能力方面，单 Q3 公司实现毛利率62.7%，同比减少9.2pcts，主要系低线产品放量叠加高线产品承压去库，致使产品结构下移。费用端，25Q3公司税金及附加率/销售费用率/管理费用率分别实现19.0%/24.6%/15.0%，同比+2.7pcts/+12.2pcts/+7.9pcts，判断系收入下降削弱规模效应所致，其中销售费用率提升幅度较大，判断系公司加大费投补贴渠道，叠加场景受损下加大货折所致。综上，公司归母净利同降92.5%，归母净利率同比减少26.1pcts。现金流量方面，Q3销售回款7.3 亿元，同降48.9%，经营性现金流净额转负，25Q3末合同负债3.4亿元，环比25Q2增加0.4亿元，判断系公司聚焦纾压放宽回款要求，并主动补贴渠道所致。理性梳理渠道，纾压调整去库。三季度省内场景受损，叠加竞争持续加大，公司营收同降46.2%。在此背景下，公司加大费用投放梳理渠道网络，聚焦去库出清，用现金补贴经销商，缓解商资金压力，持续巩固省内市场基本盘，着眼长期良性运营。展望来看，公司持续聚焦“市场升级、结构升级、品牌升级”的目标，稳步推动渠改进程，将产品有序下沉推广至低线市场，提升渠道韧性，并加速开拓省外市场，围绕华北、华东、华南等区域进行布局。考虑当前竞争形势加剧，公司亦需同步调整改革动作，以保障市场份额为第一要义，循序渐进推进渠道及市场改革动作，筑牢长期发展根基。投资建议：理性纾压，加速出清，维持“推荐”评级。前三季度，公司聚焦去库纾压，主动加大费投梳理渠道状态，着眼于长期运营。展望来看，公司渠改稳步推进，产品线加速下沉，考虑后续当前竞争形势加剧，公司务实聚焦去库，我们调整25-27年EPS预测为1.4/1.5/1.7元（原预测值为1.5/1.7/1.9元），考虑后续需求回暖后公司仍有增长潜力，维持目标价40元，对应26年27倍PE，维持“推荐”评级。风险提示：新品动销不及预期、渠道改革放缓、徽酒竞争加剧。,,华创证券,推荐,[None],2025-10-29,,增持,6956614,pdf_downloads/2025/2025-10-29/603589-口子窖（603589）：2025年三季报点评：加速出清，释放压力.pdf,603589,口子窖,口子窖（603589）：2025年三季报点评：加速出清，释放压力
"龚源月,宋英男",公司公告2025年三季度报，25年Q1-Q3总营收/归母净利/扣非净利31.7/7.4/7.2亿，同比-27.2%/-43.4%/-42.8%；25Q3总营收/归母净利/扣非净利6.4/0.3/0.3亿，同比-46.2%/-92.5%/-92.1%。上半年公司外部需求承压，三季度业绩继续承压，经营压力在报表端继续体现。公司保持战略定力，以长期健康发展为重，积极调整战术打法。我们预计公司将持续推进兼系列产品的培育突破，聚焦理顺营销体系；期待外部需求改善，渠道信心逐步恢复，迎来内外共振，维持“增持”评级。低档产品表现稳健，公司加大营销改革分产品，25年Q1-Q3高档/中档/低档白酒营收29.6/0.4/1.1亿元，同比-28%/-15%/+25%，25Q3同比-49%/-29%/+117%，我们预计大众价位百元价位产品表现相对突出。分区域，25Q1-Q3安徽省内/省外营收25.9/5.3亿元，同比-27%/-24%，25Q3安徽省内/省外营收4.9/1.5亿元，同比-49%/-34%，三季度市场竞争加剧，竞品投入增加导致经营压力提升。公司继续加大省内营销改革，推动渠道扁平化逐步落地；25Q1-Q3 省内/省外经销商557/564家，较24年末净增加55/47家。分渠道，25Q1-Q3直销（含团购）/批发代理营收2.2/28.9亿元，同比+65%/-30%，前三季度公司电商业务显著增长。毛利下降+费用投放刚性，公司盈利能力承压25Q1-Q3毛利率同比-3.8pct至71.0%（Q3同比-9.2pct至62.7%），我们预计高档产品下滑幅度较高所致；25Q1-Q3销售费用率同比+1.9pct至16.2%（Q3同比+12.2pct至24.6%）；25Q1-Q3管理费用率同比+2.5pct至8.9%（Q3同比+7.9pct至15.0%），费用投放相对刚性；25Q1-Q3税金及附加率同比+1.2pct至16.4%（Q3同比+2.7pct至19.0%）；最终25Q1-Q3/Q3归母净利率同比-6.7/-26.1pct至23.4%/4.2%。同时，公司25Q1-Q3销售回款29.8亿元（同比-29.4%）；经营性净现金流-3.9亿元（同比转负）；25Q3末，公司合同负债3.4亿元，同比/环比分别-0.2/+0.4亿元。期待后续公司经营改善，维持“增持”评级考虑外部消费环境整体平淡、公司改革成效显现仍需要一段时间，我们下调25-26年盈利预测，考虑到公司库存加速去化，调高27年盈利预测。给予25-27年营业收入48.3/51.5/55.9亿元（较前次分别-6%/-2%/+2%），预计25-27年EPS 1.91/2.14/2.40元（较前次分别-13%/-5%/+1%），参考可比公司26年平均PE 17x（Wind一致预期），给予公司26年17x PE，目标价36.38元（前次39.72元，对应25年18xPE，前次可比公司25年平均估值18xPE），维持“增持”评级。风险提示：行业竞争加剧，消费需求不达预期，食品安全问题。,,华泰证券,增持,[None],2025-10-29,,增持,6945013,pdf_downloads/2025/2025-10-29/603589-口子窖（603589）：压力持续释放，盈利能力承压.pdf,603589,口子窖,口子窖（603589）：压力持续释放，盈利能力承压
"杨骥,张家祯,满静雅",25H1营业总收入25.3亿元（同比-20.07%，下同）；归母净利润7.2亿元（-24.63%）。25Q2营业总收入7.2亿元（-48.48%）；归母净利润1.1亿元（-70.91%）。公司聚焦“三个升级”的阶段目标（即市场升级、结构升级、品牌升级），务实进取；另一方面，结合市场节奏，积极调整战术打法。省内依托安徽运营中心，持续通过推进渠道转型，精耕细作，不断下沉县级及乡镇市场。省外加快长三角、珠三角等重点市场建设。产品结构有所承压，Q2省内市场下滑较大1) 分产品看，25年H1高档白酒/中档白酒/低档白酒收入23.84/0.32/0.68亿元（-19.80%/-10.82%/-2.59%）。25Q2高档白酒/中档白酒/低档白酒收入6.56/0.11/0.29亿元（-49.64%，-7.68%，7.49%）。2) 分渠道看，25H1直销/批发渠道收入分别1.32/23.52亿元。3) 分地区看，25H1安徽省内/省外市场收入分别为21.00/3.84亿元（-19.31%/-19.24%），25Q2安徽省内/省外市场收入分别为5.45/1.82亿元（-51.33%/-18.57%）。盈利能力下降，管理费用有所提升1) 25H1毛利率/净利率同比-2.78/-1.71pct至73.07%/28.25%，25Q2毛利率/净利率同比-15.81/-11.18pct至65.18%/14.51%。2) 25H1销售/管理（含研发）费用率变动-4.72/+0.1pct至14.09%/0.58%，25Q2销售/管理（含研发）费用率变动-0.59/4.57pct至18.2%/11.81%。3) 25H1经营性现金流降至-38.29亿元，25Q2经营性现金流降至-13.71亿元。4) 25H1合同负债同比下降26.16亿元至29.81亿元。盈利预测及估值：考虑到公司仍在改革及战略调整期，我们下调 2025-2027 年收入增速至-23%/2/%/4%，下调归母净利润增速至-24%/6%/6%。考虑到行业周期逐步见底，股价早于基本面修复，维持买入评级。催化剂：新品开拓超预期；改革调整进度超预期。风险提示：消费恢复不及预期； 市场竞争加剧。,,浙商证券,买入,[None],2025-09-29,,买入,6491663,pdf_downloads/2025/2025-09-29/603589-口子窖（603589）：公司更新报告：短期承压，等待修复.pdf,603589,口子窖,口子窖（603589）：公司更新报告：短期承压，等待修复
"朱会振,王书龙,杜雨聪",事件：公司发布2025年中报，2025H1实现收入25.3亿元，同比-20.1%，实现归母净利润7.2亿元，同比-24.6%；2025单Q2实现收入7.2亿元，同比-48.5%，实现归母净利润1.0亿元，同比-70.9%。25Q2行业需求较为疲软，收入端显著承压。1、25Q2淡季以来，白酒行业分化与竞争加剧，需求下降、动销不畅、库存高企等成为行业常态；在外部消费环境疲软的背景下，公司25Q2业绩有所承压。2、分产品，25Q2高档白酒收入6.6亿，同比-49.6%，主要系外部消费环境疲软，叠加公司主动控货为渠道减轻压力；中档/低档白酒收入增速分别同比-7.7%、+7.5%。3、分区域，25Q2省内实现收入5.2亿元，同比-54.0%，省内基本盘市场竞争较为激烈，整体处在渠道去库存阶段；省外实现收入1.8亿元，同比-18.6%，省外市场短期需求承压，动销出现下滑。盈利能力短期承压，合同负债同比减少。1、25Q2公司毛利率同比下滑9.9个百分点至65.2%，预计主要系次高端以上白酒动销压力较大，产品结构阶段性下沉。费用率方面，25Q2公司销售费用率同比下降0.6个百分点至18.2%，管理费用率同比上升4.6个百分点至11.8%，财务费用率同比基本持平；整体费用率同比上升4.3个百分点至30.9%。综合作用下，25Q2净利率同比下降11.2个百分点至14.5%，盈利能力短期较为承压。2、现金流方面，公司25Q2实现现金回款10.6亿元，同比-24.1%，现金回款表现承压。此外，截止二季度末公司合同负债3.0 亿元，同比-5.9%，预计公司主动降低渠道回款要求，缓解经销商现金流压力。行业处在深度调整期，积极应对静待需求恢复。1、面对行业发展的严峻形势，公司保持战略定力不动摇，聚焦“三个升级”的阶段目标（即市场升级、结构升级、品牌升级），结合消费环境和市场节奏，积极调整战术打法，更好地服务消费者和经销商。2、在当前徽酒市场竞争白热化的背景下，公司坚持全面参与市场竞争，推动渠道转型和精耕细作，不断下沉县级及乡镇市场，以此巩固基本盘，并挖掘新的增长点；与此同时，公司全面扶持经销商，主动控货缓解经销商资金压力，不断优化经销商结构。盈利预测。预计2025-2027年EPS分别为2.13元、2.37元、2.64元，对应动态PE分别为16倍、15倍、13倍。伴随着外部需求改善，叠加公司兼系列培育取得突破，营销体系充分理顺，将迎来内外共振，有望重新步入增长通道。风险提示：经济复苏或不及预期，市场竞争加剧风险。,,西南证券,,[None],2025-09-01,,,6375926,pdf_downloads/2025/2025-09-01/603589-口子窖（603589）：25Q2需求端显著承压，营销改革扎实推进.pdf,603589,口子窖,口子窖（603589）：25Q2需求端显著承压，营销改革扎实推进
"单蕾,朱宇昊",事件公司公告2025年中报。25H1，公司实现总营收25.31亿元，同比-20.07%，归母净利7.15亿元，同比-24.63%，扣非归母净利6.98亿元，同比-24.90%。25Q2，公司实现总营收7.21亿元，同比-48.48%，归母净利1.05亿元，同比-70.91%，扣非归母净利0.91亿元，同比-73.41%。上半年整体承压，电商渠道增长1）白酒整体承压、行业分化等影响，上半年及二季度公司销量同比下滑。25H1，公司高档/中档/低档白酒收入分别为23.85/0.32/0.68亿元，同比分别-19.80%/-10.82%/-2.59%，其中高档白酒收入下滑幅度较大。25Q2，公司高档/中档/低档白酒收入分别为6.57/0.12/0.29亿元，同比分别-49.64%/-7.68%/+7.49%。2）批发渠道承压，直销渠道实现增长。公司批发渠道收入占比超过九成，上半年承压相对显著，25H1，公司批发代理渠道实现收入23.52亿元，同比-21.26%，25Q2批发收入6.42亿元，同比-51.07%。上半年直销渠道表现较好，电商业务显著增长，25H1，公司直销（含团购）渠道实现收入1.33亿元，同比+44.57%，25Q2直销收入0.56亿元，同比+75.46%。3）上半年省内外收入均出现下滑，二季度省外降幅相对较小。25H1，公司安徽省内/省外分别实现收入21.01/3.84亿元，同比分别-19.31%/-19.24%。25Q2，公司安徽省内/省外收入5.15/1.83亿元，同比-54.01%/-18.57%。4）经销商结构持续优化。截至25H1，公司省内/省外经销商数量分别为536/546家，较上季末分别净增25/25家，较年初分别净增34/29家。上半年行业整体需求偏弱、高档酒收入下滑影响毛利率表现1）上半年毛利率下行影响下，净利率小幅下行。25H1，公司归母净利率/毛利率分别为28.25%/73.07%，同比-1.71/-2.77pct；期间费用率合计同比-0.67pct，销售/管理/研发/财务费用率分别为14.09%/7.37%/0.58%/-1.20%，同比-0.95/+1.21/+0.19/-1.12pct；此外，税金及附加/所得税费用占总营收比重同比分别+0.97/-1.29pct。2）二季度毛利率下滑较为显著。25Q2，公司归母净利率/毛利率分别为14.51%/65.18%，同比分别-11.18/-9.86pct；期间费用率合计同比+4.26pct，主要是管理费用率同比上行幅度较大，销售/管理费用率分别为18.20%/11.81%，同比-0.60/+4.57pct。投资建议我们预计公司25/26/27年归母净利润为12.47/13.14/13.93亿元，同比增速-24.66%/5.41%/5.98%，对应8月22日PE 17/16/15倍（市值207亿元），维持“买入”评级。风险提示食品安全风险、市场需求恢复不及预期风险、改革推进不及预期风险。,,国元证券,买入,[None],2025-08-25,,买入,6345457,pdf_downloads/2025/2025-08-25/603589-口子窖（603589）：2025年中报点评：二季度承压，静待后续改善.pdf,603589,口子窖,口子窖（603589）：2025年中报点评：二季度承压，静待后续改善
"叶书怀,姚晔,燕斯娴",需求疲软叠加控货去库，Q2收入承压。25年上半年公司业绩出炉，其中Q2增速环比Q1下降，我们判断主要因宏观经济疲软、禁酒令影响下，公司主动放缓经营节奏，降低渠道压力。上半年收入同比-20.1%；归母净利润同比-24.6%；单Q2营业收入同比-48.5%，归母净利润同比-70.9%。预计核心单品口5/10均控量，新品兼系列推广效果仍待观察，导致公司高档酒收入同比增速由Q1的+4%降至Q2的-50%。省内动销放缓叠加竞争激烈，25H1省内收入21亿（yoy-19%）；省外收入3.8亿（yoy-19%）。预计当前库存压力仍在，公司尚未完全放开经销商回款，25H1末，公司合同负债为3.0亿，仍处于相对低位。产品结构下移及批价下滑拖累毛利率，盈利水平暂时承压。核心产品控货导致产品结构下行；且白酒批价普遍下滑，导致毛利率受到压制，公司单二季度毛利率同比-9.9pct，下降幅度超过Q1。此外，Q2收入基数下降导致费率增加，拖累净利率；广告宣传、促销业务费用同比有一定压缩，预计因公司提升费用投放效率，控制成本。静待宏观经济回暖，需求复苏。公司业绩增速取决于终端动销情况及渠道库存水平，口子窖核心产品口5/10主要面向亲友聚餐、走亲访友等场景，在根本上受到宏观经济影响，静待经济回暖、需求向好。此外，若公司渠道改革顺利，加强精细化渠道管理，有望助推业绩回暖。盈利预测与投资建议根据25年中报，对25-26年下调收入、毛利率。我们预测公司2025-2027年每股收益分别为2.23、2.16、2.37元（原预测25-26年为3.17、3.54元）。结合可比公司，我们认为目前公司的合理估值水平为2025年的17倍市盈率，对应目标价为37.91元，维持买入评级。风险提示省内竞争加剧风险、渠道变革不及预期风险。,,东方证券,买入,[None],2025-08-22,,买入,6339662,pdf_downloads/2025/2025-08-22/603589-口子窖（603589）：控货稳价业绩承压，静待需求复苏.pdf,603589,口子窖,口子窖（603589）：控货稳价业绩承压，静待需求复苏
"王言海,孙冉",场景缺失需求疲软 Q2报表同步释压事件：公司于8月19日发布2025年中报，25年上半年公司累计实现营收/归母净利润/扣非后归母净利润25.31/7.15/6.89亿元，同比-20.07%/-24.63%/-24.90%，其中单25Q2实现营收/归母净利润/扣非后归母净利润7.21/1.05/0.91亿元，同比-48.48%/-70.91%/-73.41%。截至25Q2期末合同负债2.98亿元，同比-5.95%，Q2期内环比增加0.28亿元，公司业绩蓄水池在低位保持稳定。用“单季度营收+Δ合同负债”核算“真实营收”，以抵消公司因订单确认、发货节奏等因素带来的营收扰动，25Q2“真实营收”7.49亿元，同比-44.12%，匹配表端单季度营收增速。高档酒占比缩水导致结构下移，省内政策高压下竞争加剧。分产品看：①25Q2高档酒（年份系列/兼系列/小池窖等）收入6.57亿元，同比-49.64%，高档酒占比94.13%，环比-2.54pcts，结构下滑显著。高端酒大幅下滑主要因同期高基数（去年4月“兼8”上市卡位200+主流价格带且渠道利润空间较同价位竞品丰厚，上市初期渠道接受度高）。25Q2兼系列新品“兼16”上市，定位300+价位带，但受制于场景缺失，新品铺市受阻。②中档酒（老口子/口子美酒/口子坊）收入0.12亿元，同比-7.68%；③低端酒（口子酒系列）收入0.29亿元，同比+7.49%。分区域看：25Q2安徽省内/省外分别实现营收5.15/1.83亿元；同比-54.01%/-18.71%。由于省内政策高压竞争加剧且省内基数较大导致营收下滑幅度大于省外，省内占比下滑14.92pcts至73.81%。分渠道看：25Q2批发代理/直销（含团购）分别实现营收6.42/0.56亿元，同比-51.07%/+75.46%，各渠道占比相对稳定。经销商数量上：25H1末经销商数量合计1032家，其中省内/省外分别511/521家，25Q2期间分别净增加-25/-25家。结构下行拉低毛利率水平，营收缩水导致规模效应减弱，盈利中枢显著下移。25H1/25Q2毛利率分别为73.07%/65.18%，同比-2.78/-9.86pcts，结构下移拉低毛利率水平。25H1销售/管理费用率分别为14.09%/7.37%，同比-0.95/+1.21pcts，25Q2分别为18.20%/7.24%，同比-0.59/+4.57pcts。公司根据市场需求及时调整营销策略，减少促销投放及电视广告投入，销售费用率降低，但管理费用相对刚性，营收下滑后规模效应减弱，管理费用率显著上行。25H1/25Q2归母净利率分别为28.25%/14.51%，同比-1.71/-11.18pcts。投资建议：公司坚持长期主义，渠道压力小于竞品。短期受政策影响业绩波动较大，随着场景预期修复，中长期仍看好公司在前期渠道改革基础上，以高渠道利润产品为抓手带动终端网点渗透率提升。预计25-27年分别实现归母净利润10.4/11.9/14.2亿元，同比-36.9%/+14.3%/+19.0%，当前股价对应PE为20/17/15倍，维持“推荐”评级。风险提示：税收等产业政策调整的不确定性风险；兼系列新品铺货动销不及预期，供需不均衡导致的批发价格波动风险；食品安全风险等。,,民生证券,推荐,[None],2025-08-22,,增持,6338811,pdf_downloads/2025/2025-08-22/603589-口子窖（603589）：2025 年半年报点评：场景缺失需求疲软，Q2报表同步释压.pdf,603589,口子窖,口子窖（603589）：2025 年半年报点评：场景缺失需求疲软，Q2报表同步释压
"张宇光,逄晓娟,张恒玮",Q2业绩下滑幅度超预期，后续仍有改善空间，维持“增持”评级2025H1公司实现营业总收入25.31亿元，同比-20.1%，归母净利润7.15亿元，同比-24.6%。其中Q2营业总收入7.21亿元，同比-48.5%，归母净利润1.05亿元，同比-70.9%。收入利润下滑幅度超预期，我们下调2025-2027年盈利预测，预计2025-2027年净利润分别为9.8（-6.9）亿元、11.0（-6.4）亿元、12.1（-6.0）亿元，同比分别-40.8%、+12.4%、+9.5%，EPS分别为1.64（-1.14）、1.84（-1.05）、2.02（-0.99）元，当前股价对应PE分别为21.2、18.9、17.2倍，公司组织能力、渠道建设仍有改善空间，维持“增持”评级。需求压力下高档产品和省内市场下滑较大收入下滑幅度较大，一方面体现了当下需求压力，另一方面也是由于2024年同期兼8新品上市，基数较高。分产品看，2025Q2高档/中档/低档产品收入分别为6.57/0.12/0.29亿元，同比分别-49.6%/-7.7%/+7.5%。分区域看，Q2省内/省外分别实现收入5.15/1.83亿元，同比分别-54.0%/-18.6%，省内下滑幅度较大，主要是安徽省内政策执行严格，对消费场景有很大影响。销售收现好于利润表2025Q2公司销售收现10.58亿元，同比-24.1%，好于收入表现，2025Q2末合同负债2.98亿元/环比增加0.28亿元。公司渠道库存不高，经销商渠道相对稳定。二季度省内/省外经销商分别净增25/25个。毛利率大幅下降，费用率相对刚性，净利率下降明显2025Q2毛利率同比-9.9pcts至65.2%，主要原因是次高端产品场景受限，产品结构下降明显。销售/管理/财务/研发费用率分别变动-0.6/+4.57/+0.01/+0.3pct，归母净利率下降11.18pct至14.51%。风险提示：宏观经济波动致使需求下滑，省外扩张不及预期等。,,开源证券,增持,[None],2025-08-22,,增持,6338526,pdf_downloads/2025/2025-08-22/603589-口子窖（603589）：公司信息更新报告：二季度明显承压，边际好转可期.pdf,603589,口子窖,口子窖（603589）：公司信息更新报告：二季度明显承压，边际好转可期
"訾猛,颜慧菁,李耀,苗欣,李美仪",维持“增持”评级，维持目标价49.19元。考虑到公司短期经营情况，下修盈利预测，预计2025-27年EPS分别为1.90元、2.01元、2.10元（前值分别为2.73元、2.93元、3.12元），考虑到公司后续业绩修复可能，并考虑到食品饮料将受益于无风险收益率下探等因素，以及估值切换，给与2026年24.47X动态PE，维持目标价49.19元。2025Q2呈现深度调整。公司2025Q2收入、归母净利润分别同比下滑48.5%、70.9%，收入、利润增幅转负且敞口扩大，主要系公司在2025Q2迈入主动去库阶段；2025H1公司省内、省外收入分别同比下滑19.3%、19.2%，呈现全市场调整。调整阶段下盈利能力波动较大。受渠道调整阶段下市场投入加大等因素，2025Q2公司毛利率同比下降9.9pct至65.2%，税金及附加占比同比提升2.5pct，管理费用率同比提升4.6pct，综合多因素下，2025Q2归母净利率同比下降11.2pct至14.5pct，盈利能力波动较大。受调整影响，公司期内销售收现同比下降24.1%，期末合同负债2.98亿元，阶段性承压。口子后续的竞争优势在于价格定位。我们认为，调整期下白酒消费呈现明显的结构沉降，行业集中度趋势提升及白酒价格去泡沫趋势将延续，口子窖具备渠道优势，若及时把握产品结构并调整价格定位，公司省内市占率回升可期。风险因素：食品安全、产业政策调整等。,,国泰海通,增持,[None],2025-08-21,,买入,6334668,pdf_downloads/2025/2025-08-21/603589-口子窖（603589）：2025年中期业绩点评：深度调整，加速寻底.pdf,603589,口子窖,口子窖（603589）：2025年中期业绩点评：深度调整，加速寻底
