author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
庄宇,事件佰维存储发布2025 年年度业绩预盈公告：预计 2025 年实现营业收入100亿元至120亿元，同比增长49%至79%，实现归母净利润8.5亿元至10亿元，同比增长427%至520%。其中2025年Q4单季度预计实现营业收入34亿元至54亿元，同比增长105%至225%，环比增长29%至104%，实现归母净利润8.2亿元至9.7亿元，同比增长1225%至1450%，环比增长220%至278%。投资要点存储价格企稳回升，经营业绩改善明显从2025 年第二季度开始，存储价格企稳回升，公司持续强化先进封装能力建设，晶圆级先进封测制造项目整体进展顺利，目前正推进打样和客户验证工作，“存储+晶圆级先进封测”一站式解决推进重点项目逐步交付，销售收入和毛利率逐步回升，2025年第四季度和全年营收、利润均创历史新高，经营业绩改善明显。布局晶圆级先进封测，构建差异化竞争优势公司是业内最早布局研发封测一体化的企业，通过晶圆级先进封测制造项目构建晶圆级封装能力，一方面满足先进存储封装需求，为公司研发和生产先进存储产品构建技术基础，提供相关封装产能；另一方面与公司存储业务协同，为相关客户提供存储解决方案+晶圆级先进封测服务，提升产业链价值占比和产品附加值，不断提升公司行业竞争力和盈利稳定性。AI端侧高速增长，存储矩阵全面覆盖2025年度公司在AI新兴端侧领域保持高速增长趋势，通过自研主控芯片、固件算法与先进封测能力打造了全面的嵌入式存储矩阵：ePOP4x适配智能手表、AR眼镜、AI学习机等空间受限设备； Mini SSD满足AIPC、智能相册、无人机、NAS等应用； UFS、LPDDR5/5X 和 uMCP 在内的高性能嵌入式存储解决方案为AI手机打造流畅体验。公司存储产品覆盖AI手机、AI笔电、AI眼镜、具身智能、AI学习机等多场景对轻量化设计、“高存力”的需求。盈利预测预测公司2025-2027年收入分别为110.55、165.06、200.44亿元，EPS分别为1.92、4.16、5.23元，当前股价对应PE分别为99、46、36倍。公司构建“存储+晶圆级先进封测”一站式解决能力，在存储价格回升周期，经营业绩有望持续改善，上调至“买入”投资评级。风险提示宏观经济的风险，产品研发不及预期的风险，行业竞争加剧的风险，下游需求不及预期的风险，扩产不及预期的风险，产品价格下跌的风险。,,华鑫证券,买入,[None],2026-01-21,上调评级,买入,8350115,pdf_downloads/2026/2026-01-21/688525-佰维存储（688525）：公司事件点评报告：“存储+晶圆级先进封测”构建差异化优势，AI端侧存储矩阵全面覆盖.pdf,688525,佰维存储,佰维存储（688525）：公司事件点评报告：“存储+晶圆级先进封测”构建差异化优势，AI端侧存储矩阵全面覆盖
"舒迪,郦奕滢","本报告导读：佰维存储 25Q4 业绩显著增长，单季度归母净利润 8.2-9.7 亿元。公司瞄准高性能存
储及晶圆级先进封测，单季度业绩显著改善，有望在存储超级大周期中持续受益。投资要点：投资建议。佰维存储瞄准AIoT相关产品布局、存储先进封测业务赋能等，未来长期毛利中枢有望显著改善。由于存储价格高于市场预期（原本普遍预估4Q25价格将进入盘整，由于CSP需求快速提升，25Q3起价格快速提升），我们将公司2025/2026/2027年归母净利调整至9.61/25.44/28.08亿元（原预测4.37/10.91/12.75亿元），EPS 2.06/5.45/6.01元/股（原预测0.94/2.34/2.73元/股）。给予2026E 40x PE，对应2026E目标价218元，给予“增持”评级。25Q4业绩显著增长，单季度归母净利润8.2-9.7亿元。2026年1月13日，佰维存储披露2025年度业绩预盈公告。公司预计2025年实现营业收入100-120亿元，同比+49.36%-79.23%；归母净利润8.5-10亿元，同比+427.19%-520.22%；单季度25Q4来看，营业收入预计为34.25-54.25亿元，同比+105.09%-224.85%，环比+28.62%-103.73%；归母净利润8.20-9.70亿元，同比+1225.40-1449.67%，环比+219.89%-278.43%。Ray-Ban Meta主供，AI新兴端侧高增长+先进封装能力持续强化。佰维存储智能穿戴进入了Meta、小米等全球头部客户，AI新兴端侧领域营收超过10亿元，同比增长约294%，为Ray-Ban Meta提供ROM+RAM存储，为国内主供。此外，截止25H1，在企业级领域，公司产品目前正处于高速发展阶段，已获得AI 服务器厂商、头部互联网厂商以及国内头部OEM厂商的核心供应商资质，并实现预量产出货，标志着公司企业级商业化落地能力的显著提升。2025年度公司在AI新兴端侧领域保持高速增长趋势，并持续强化先进封装能力建设，晶圆级先进封测制造项目整体进展顺利，目前正按照客户需求推进打样和验证工作，为客户提供“存储+晶圆级先进封测”一站式综合解决方案。存储迎来超级大周期。根据TrendForce集邦咨询，由于北美CSP加码AI基础建设，26年全球Server市场将迎来成长高峰，带动eSSD需求，预期将成为NAND Flash最大应用。然供应商因产能有限，采取获利优先与控制出货策略，供给紧缩格局深化，推升eSSD价格。美光认为目前存储短缺的局面不太可能在2028年之前得到缓解。我们认为，在企业级eSSD大容量存储需求不断提升情况下，企业级存储缺货将会持续挤压消费级存储供给，NAND Flash价格有望呈现全品类快速提升，存储迎来超级大周期。风险提示。存储价格上升不及预期；终端需求不及预期；公司先进封测项目进展不及预期；存储产品国产替代进展不及预期。",,国泰海通,增持,[None],2026-01-14,,买入,8333915,pdf_downloads/2026/2026-01-14/688525-佰维存储（688525）：跟踪报告：25Q4单季归母净利8.2-9.7亿元.pdf,688525,佰维存储,佰维存储（688525）：跟踪报告：25Q4单季归母净利8.2-9.7亿元
"陈海进,谢文嘉",受益端侧AI趋势，已成功上机多家AI可穿戴终端：AI终端催生高性能、小体积、低延迟的嵌入式存储需求。与此同时，佰维存储聚焦AI可穿戴设备这一高增长赛道，推出了ePOP 系列产品，将DRAM与NAND堆叠封装于SoC之上，实现更小体积与更高带宽，完美契合AR眼镜、智能手表等空间极度受限的应用场景。目前，佰维存储的ePOP产品已被Meta、Google、小米、小天才、Rokid、雷鸟创新等国内外知名企业采用，广泛应用于AI/AR眼镜和智能穿戴设备。布局工业/AI领域，构建“研发封测一体化2.0”战略：在智慧交通、智慧城市快速普及下，视频监控系统正朝着高清化、多路化和智能化方向加速演进，存储设备的性能、稳定性和可靠性已成为保障系统高效运行的关键因素。佰维存储正式推出全新一代工业级SSD产品——TDS600系列，系列产品以8TB超大容量、媲美企业级的稳态性能、全方位高可靠性设计和全国产化BOM为核心亮点，全面满足轨交、车载、电力、安防及边缘计算等关键领域的严苛需求。此外，英伟达预测，到2030年全球AI基础设施支出将达3万亿美元，其中存储市场规模约6000亿美元。华为《智能世界2035》则进一步指出，未来十年存储需求将增长500倍，其中七成以上为温/热数据，对SSD与高性能端侧存储提出极为严苛的要求。在这一背景下，存储系统需要同时满足更大容量、更高带宽、更优能效与更高集成度。无论是AI推理对token吞吐的极致追求，还是端侧眼镜、可穿戴对尺寸与功耗的极致要求，都在倒逼存储产业加速升级。佰维率先提出并实施“研发封测一体化2.0”战略，形成覆盖研发—设计—封装—测试的全栈体系： （1）在AI端侧，持续推出轻薄化、高带宽、低功耗的创新方案；（2）在芯片层，自研主控实现规模化量产，服务智能穿戴、车规、嵌入式与大容量、高性能应用；（3）在封装制造端，自主构建晶圆级先进封测平台，支撑存算融合与高堆叠封装；（4）在测试环节，自研高可靠性测试技术与设备，保障产品的一致性与交付质量。盈利预测与投资评级：公司作为国内领先的存储厂商，有望持续受益存储周期上行及端侧AI存储放量趋势。但由于当前存储芯片正处周期下行转上行区间，我们调整公司25-26年营业收入，新增27年营业收入，预测值分别为86.4/122.0/148.2亿元（此前25-26年前值为96.6/121.1亿元）；调整25-26归母净利润，新增27年归母净利润，预测值分别为4.4/10.2/13.5亿元（此前25-26年前值为5.8/7.3亿元）。考虑后续端侧AI存储有望持续放量，维持“买入”评级。风险提示：技术迭代不及预期风险、需求不及预期风险、竞争加剧风险。,,东吴证券,买入,[None],2025-12-02,,买入,8199784,pdf_downloads/2025/2025-12-02/688525-佰维存储（688525）：端侧AI存储核心标的，核心受益存储“超级周期”.pdf,688525,佰维存储,佰维存储（688525）：端侧AI存储核心标的，核心受益存储“超级周期”
"王芳,杨旭,康丽侠",报告摘要25Q3利润大幅扭亏为盈，存货环增30%。1）25Q1-Q3：营收65.75亿元，yoy+31%；归母净利润0.3亿元，yoy-87%，剔除股份支付费用后为2.4亿元，yoy+5%；扣非-0.18亿元，yoy-2亿元；毛利率13.9%，yoy-9pcts；净利率0.02%，yoy-4pcts。2）25Q3：营收26.63亿元，yoy+68%，qoq+12%；归母净利润2.56亿元，yoy+3亿元，qoq+3亿元，剔除股份支付费用后为3.15亿元，yoy+3.7亿元；扣非2.13亿元，yoy+3亿元，qoq+2亿元；毛利率21%，yoy+5pcts，qoq+7pcts；净利率9%，yoy+13pcts，qoq+11pcts。存储涨价，叠加AI眼镜存储等高毛利率产品放量，Q3扭亏为盈，单季度利润覆盖上半年亏损，判断随着高毛利率产品如AI眼镜等继续放量、先进封装产能释放，叠加存储大涨价，公司后续利润有望持续高增。存货环比大幅提升，Q2存货44亿元，Q3存货57亿元，qoq+30%。公司深耕存储行业多年，与原厂关系密切，拿货能力强。存储超级大周期，26年全年供不应求，公司有望持续受益。AI推理驱动存储需求爆发，存储价格自25Q4开始持续超市场预期，海外大厂展望26年全年供不应求，第三方机构Trendforce持续上修存储涨价预期：1）一般型DRAM：25Q4、26Q1涨幅上修至30%~35%（此前预期18%~23%）、20%~25%（此前预期8%~13%）。2）服务器：Q4、Q1DDR4涨幅上修10%、15%，DDR5涨幅均上修13%。3）手机：Q4、Q1LPDDR4X涨幅上修20%、7%，LPDDR5X涨幅上修18%、7%。4）NAND：25Q4、26Q1涨幅上修至25%~30%（此前预期20%~25%）、20%~25%（此前预期18%~23%）。AI眼镜存储先发优势显著，未来有望受益于AI眼镜市场成长。公司ePOP产品具备超薄小体积、低功耗、高可靠性、大量市场验证数据等领先的产品优势，已用于Meta、Google、小米、小天才、Rokid、雷鸟创新等海内外知名企业的AI/AR眼镜。未来智能眼镜市场成长动力强劲，据IDC，2025年全球智能眼镜出货量预计达1452万台，yoy+43%，至2029年出货量预计增长至4000-4500万台。形成存储+晶圆级先进封测解决方案，先进封装产能待释放。公司提供“存储+晶圆级先进封测”一站式方案，已覆盖Bumping、Fan-in、Fan-out、RDL等晶圆先进封装技术。公司旗下两个子公司各司其职，泰来科技负责存储器封测及SiP封测，目前掌握16层叠Die、30um-40um超薄叠die等先进量产工艺能力；广东芯成布局晶圆级先进封测业务，目前拥有先进存储芯片FMOS系列及先进存算合封CMC系列，其产能位于松山湖厂，厂房主体目前已建设完毕，产能下半年有望释放。存储测试设备产品布局，长存已入股。1）成都态坦聚焦存储测试机台，产品布局齐全、性能领先：子公司成都态坦专注DRAM与NAND存储测试机台研发，产品涵盖存储芯片ATE测试机、BI老化测试机、SLT测试机以及SSD和DDR模组测试装备，可满足第三方存储厂商、封测厂商、存储原厂以及研发实验室等多领域客户的需求。公司产品布局领先，推出国内首台高并测、高热负荷、高温度均匀性Flash/DRAM量产BI测试机、业界首台SSD全自动化生产测试装备、国内首台LPDDR5SLT测试机及国内首台闪存测试机。2）长存入股：长存以1亿元投资持有成都态坦17%股份，深度绑定产业链资源。投资建议存储领域，公司与原厂合作紧密，产品向高端化发展。同时公司始终坚持研发封测一体化的模式，在AI端侧业务取得相对竞争优势，并有序推进在主控芯片设计、晶圆级先进封测、存储测试设备等领域的深度布局，长期有望提高公司竞争力及毛利率中枢。此前预计25-27年归母净利润为4.6/6.8/9.0亿元，考虑股份支付费用影响，调整为25-27年归母净利润为3.5/6.8/9.0亿元，PE估值168/87/65倍，维持“买入”评级。风险提示：下游需求不及预期、新产品进展不及预期、技术迭代不及预期、存储行业周期波动、研究报告中使用的公开资料可能存在信息滞后或更新不及时的风险等。,,中泰证券,买入,[None],2025-11-13,,买入,7731963,pdf_downloads/2025/2025-11-13/688525-佰维存储（688525）：Q3利润亮眼，存储涨价+AI眼镜+先进封装驱动发展.pdf,688525,佰维存储,佰维存储（688525）：Q3利润亮眼，存储涨价+AI眼镜+先进封装驱动发展
"舒迪,郦奕滢",投资建议。佰维存储瞄准AIoT相关产品布局、存储先进封测业务赋能等，未来长期毛利中枢有望显著改善。由于存储价格高于市场预期（原本普遍预估4Q25价格将进入盘整，由于CSP需求快速提升，25Q3起价格快速提升），我们将公司2025/2026/2027年归母净利调整至4.37/10.91/12.75亿元（原预测4.65/7.10/9.57亿元），EPS 0.94/2.34/2.73元/股（原预测1.00/1.52/2.05元/股）。给予2026E 65x PE，对应2026E目标价151.85元，给予“增持”评级。25Q3业绩显著增长，净利率提升至9.12%。25Q3，公司实现营业总收入26.63亿元，同比+68.06%，环比+12.40%，实现归母净利润转盈且大幅增长至2.56亿元。公司25Q3单季度销售毛利率/销售净利率分别达到21.02%/9.12%，毛利率环比+7.34 pcts。我们认为，就行业报价而言，由于CSP需求快速提升，25Q3为闪存产品价格大幅提升的起点，而公司净利润在Q3即实现显著提升，后续业绩弹性值得期待。此外，公司25Q3存货56.95亿元，较Q2 +29.96%，在后续存储涨价持续的背景下，存货增长幅度较高提供了更有利的业绩支撑。Ray-Ban Meta主供；25H1企业级预量产出货。佰维存储智能穿戴进入了Meta、小米等全球头部客户，AI新兴端侧领域营收超过10亿元，同比增长约294%，为Ray-Ban Meta提供ROM+RAM存储，为国内主供。此外，截止25H1，在企业级领域，公司产品目前正处于高速发展阶段，已获得AI 服务器厂商、头部互联网厂商以及国内头部OEM厂商的核心供应商资质，并实现预量产出货，标志着公司企业级商业化落地能力的显著提升NAND Flash价格有望快速提升，存储迎来超级大周期。根据TrendForce集邦咨询，AI推理应用快速推升实时存取、高速处理海量数据的需求，促使HDD与SSD供应商积极扩大供给大容量存储产品。由于HDD市场正面临巨大供应缺口，激励NAND Flash业者加速技术转进，投入122TB、甚至245TB等超大容量Nearline SSD的生产。根据《科创板日报》、《电子时报》、Tom&#39;s Hardware等，SanDisk 11月NAND合约价有望提升50%。我们认为，在企业级eSSD大容量存储需求不断提升情况下，企业级存储缺货将会持续挤压消费级存储供给，NAND Flash价格有望呈现全品类快速提升，存储迎来超级大周期。 风险提示。存储价格上升不及预期；终端需求不及预期；公司先进封测项目进展不及预期；存储产品国产替代进展不及预期。,,国泰海通,增持,[None],2025-11-12,,买入,7642257,pdf_downloads/2025/2025-11-12/688525-佰维存储（688525）：跟踪报告：面向存储超级大周期，25Q3业绩显著改善.pdf,688525,佰维存储,佰维存储（688525）：跟踪报告：面向存储超级大周期，25Q3业绩显著改善
"王雨然,张益敏",事件：公司发布2025年三季报，前三季度公司实现收入65.75亿元，同比增长30.84%；归母净利润0.30亿元，同比-86.67%。存储芯片价格回升推动公司业绩改善：受全球宏观经济环境影响，存储芯片价格从2024年第三季度开始逐季下滑，2025年第一季度达到阶段性低点，公司一季度产品销售价格降幅较大。从2025年第二季度开始，随着存储芯片价格企稳回升，公司重点项目逐步交付，公司销售收入和毛利率逐步回升，经营业绩逐步改善。进一步加大研发投入满足新产品：公司2025年前三季度研发费用达4.10亿元，同比增加20.98%，主要原因系公司持续加大芯片设计、固件设计、新产品开发及先进封测的研发投入力度，并大力引进行业优秀人才。新型SSD芯片为重要发明突破：佰维Mini SSD凭借技术突破与前瞻性设计成功入选，成为《时代》年度最佳发明榜单中，全球唯一上榜的存储产品。该产品不仅助力OEM厂商提升产品差异化竞争力、优化SKU管理，也为终端用户带来更灵活、更高速的扩容体验，目前已成功应用于知名品牌的掌机游戏设备、三合一AI PC中。投资建议：我们预计公司2025-2027年的营业收入85.69/102.66/125.41亿元，归母净利润3.75/7.05/8.64亿元，对应PE分别为75.6/40.2/32.8倍，维持“增持”评级。风险提示：存储器需求不及预期;研发进度不及预期;行业竞争加剧; 人民币汇率波动风险；原始股东中较多财务投资者；限售股解禁风险。,,财通证券,增持,[None],2025-11-01,,增持,7224817,pdf_downloads/2025/2025-11-01/688525-佰维存储（688525）：周期反转存储器需求旺盛，业绩高速增长.pdf,688525,佰维存储,佰维存储（688525）：周期反转存储器需求旺盛，业绩高速增长
"高宇洋,田发祥",存储价格回升叠加重点项目交付，公司业绩逐步好转。经历25Q1行业价格低点后，从25Q2开始，存储价格企稳回升以及公司重点项目逐渐交付，营收和毛利都有所回升，Q2销售毛利环比增长11.7个百分点，其中6月单月销售毛利率已回升至18.61%。产品覆盖多领域头部客户，领先布局AI端侧技术。公司产品在国内存储厂商中市场份额位居前列，并且在手机，PC，智能穿戴领域已经进入国内外一线客户供应体系。同时公司在企业级和智能汽车领域保持高速发展态势，持续提供解决方案加快推动新产品导入。在AI大模型广泛应用的当下，公司产品满足大容量、高速度、低功耗、高集成度要求，覆盖AI手机、AIPC、AI眼镜、具身智能等多场景。AI手机领域公司已推出UFS、LPDDR5/5X、uMCP等嵌入式存储产品，并已量产12GB、16GB等大容量LPDDR5X产品。AIPC方面公司已推出高端DDR5超频内存条、PCIe5.0SSD等高性能存储产品组合。面对AI眼镜、智能手表等AI可穿戴设备，公司推出了高度集成的ePOP系列产品，目前已被Meta、Google、小米、小天才、Rokid、雷鸟创新等国内外知名企业采用。随着智能穿戴市场不断发掘，公司业务合作不断深入，公司AI端侧业务有望继续保持高速增长。AI时代存算合封大趋势，公司晶圆级先进封测项目稳步推进。随着人工智能技术的飞速发展，AI应用对计算和存储能力的需求越来越高。存算合封作为高效整合计算芯片和存储芯片的一种前沿形态，能有效提升AI芯片性能，并降低系统成本。公司通过晶圆级先进封测制造项目构建晶圆级封装能力，一方面可以满足先进存储封装需求；另一方面可以与公司存储业务协同，服务公司客户对于存算合封业务的需求。公司预计晶圆级先进封测项目于2025下半年有望投产，届时公司能为客户提供整套的存储+先进封装测试综合解决方案，对比单独的存储/先进封测方案，有望显著放大公司价值量。投资建议预计公司2025-2027年EPS分别为1.03\1.60\2.01，对应2025-2027年PE分别为65.4/42.2/33.5，存储价格进入新一轮上涨周期，叠加AI手机、AIPC、AI眼镜等AI端侧产品放量带动公司业绩增长，维持“增持-A”评级。风险提示市场需求不及预期风险，存货跌价风险，研发不及预期风险，供应链风险，半导体设备进口受限风险。,,山西证券,增持-A,[None],2025-09-04,,增持,6391197,pdf_downloads/2025/2025-09-04/688525-佰维存储（688525）：25H1业绩逐步改善，存储涨价+AI端侧应用多领域渗透.pdf,688525,佰维存储,佰维存储（688525）：25H1业绩逐步改善，存储涨价+AI端侧应用多领域渗透
"舒迪,郦奕滢",本报告导读： 佰维存储瞄准AI 端侧相关产品布局、晶圆级先进封测业务赋能、自主研发主控芯片设计等，未来长期价值量空间巨大，毛利中枢有望显著改善。 投资要点： 投资建议。 佰维存储瞄准AIoT 相关产品布局、存储先进封测业务赋能、自主研发主控芯片设计等，未来长期毛利中枢有望显著改善，我们预计公司2025/2026/2027 年分别实现营收87.28/108.83/132.99亿元，同比+30.4%/24.7%/22.2%；归母净利润4.65/7.10/9.57 亿元，同比+188.6%/52.6%/34.8%；对应EPS 1.00/1.52/2.05 元/股。我们给予一定PE 估值溢价75x PE，对应目标市值348.75 亿元；以PS 法计，给予公司5.2x PS，对应公司目标市值453.86 亿元。因此，公司对应目标市值区间348.75~453.86 亿元，中值401.3 亿元，对应目标价85.93 元/股，首次覆盖给予“增持”评级。 佰维存储深耕存储解决方案，发力晶圆级先进封测。公司积极布局芯片IC 设计、先进封测、芯片测试设备研发等技术领域，获得国家集成电路产业投资基金二期战略投资，2024 年6 月成功入选“科创50”指数样本股。先进封测方面，公司通过位于东莞松山湖子公司广东芯成汉奇布局晶圆级先进封测，瞄准FOMS 及先进存算合封CMC 系列，旨在满足新时代对大容量存储和存算合封的需求。 存储市场供需结构将有望显著改善，原厂开启报价调升。2025 年初，各NAND Flash 原厂均采取更为坚决的减产措施，缩减全年投产规模，有利于快速减轻市场供需失衡的压力，为价格反弹铺定基础。 我们认为，存储市场供需结构将有望显著改善，包含原厂减产、智能手机库存去化、AI 及DeepSeek 效应等因素将推升存储需求，从而缓解供过于求的局面，迎来价格回升。 覆盖海内外知名AI 端侧客户，深耕AI 眼镜高ASP 领域。佰维存储2024 年在手机、PC 外的AI 新兴端侧领域，智能穿戴进入了Meta、小米等全球头部客户， AI 新兴端侧领域营收超过10 亿元，同比增长约294%，为Ray-Ban Meta 提供ROM+RAM 存储，为国内主供。 公司已构建完整的产品布局，致力于满足AI 终端对大容量、高速度、低功耗和高集成度的严苛要求。 风险提示。存储价格上升不及预期；终端需求不及预期；公司先进封测项目进展不及预期；国产替代进展不及预期。,,国泰海通,增持,[None],2025-09-03,,买入,6396918,pdf_downloads/2025/2025-09-03/688525-佰维存储（688525）：瞄准高性能存储及晶圆级先进封测.pdf,688525,佰维存储,佰维存储（688525）：瞄准高性能存储及晶圆级先进封测
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",公司2Q25 营收与毛利率环比改善。公司以存储颗粒为原材料进行存储模组开发，产品包括嵌入式存储、固态硬盘、移动存储及内存条等。，2025 年上半年存储市场呈现前低后高走势，一季度价格触底后，二季度行业景气度逐步回暖。在此背景下，公司2Q25 营收23.69 亿元(YoY+38.2%，QoQ+53.5%)，扣非归母净利润-0.16 亿元(YoY-113.36%，QoQ+92.61%)，毛利率13.68%(YoY-12.69pct，QoQ+11.70pct)。预计下半年随存储价格持续回暖，叠加公司客户数量增加，环比改善趋势有望延续。 AI 端侧应用多点开花，手机、可穿戴及PC 业务加速拓宽。公司嵌入式存储1H25 实现营收22.86 亿元；AI 眼镜方面，Meta 是公司出货量最大的AI眼镜客户，此外公司ePOP 等产品已进入Google、小米、Rokid 等国内外头部厂商供应链；手机方面，公司LPDDR5/5X、UFS、uMCP 等产品已进入OPPO、vivo 等一线品牌供应链，并向高端AI 手机批量供应12GB、16GB 等大容量产品。此外，公司PC 存储1H25 实现营收13.84 亿元，预装市场成功进入联想、小米、Acer、HP、同方等知名PC 厂商供应链，消费级市场通过掠夺者等品牌在618 等大促中表现优异。 企业级、工车规存储持续推进，晶圆级先进封测有望推动中长期增长。公司企业级产品已获得AI 服务器厂商、头部互联网厂商以及国内头部OEM 厂商的核心供应商资质，并实现预量产出货。工车规存储1H25 营收0.54 亿元，产品已在国内头部车企及Tier1 客户量产。此外，公司1H25 先进封测实现收入0.83 亿元，晶圆级先进封测制造项目预计3Q25 完成全部设备安装与调试并将于下半年投产，未来将服务客户对存算合封等先进封测业务的需求。 投资建议：基于1H25 经营情况，考虑后续AI 端侧、先进封测等高附加值业务占比提升，上调公司26-27 年收入与毛利率，预计25-27 年归母净利润有望达1.76/2.94/5.67 亿元(前值25-27 年1.78/2.00/3.8 亿元)，对应25-27 年PE 分别为186/112/58 倍，维持“优于大市”评级。 风险提示：消费电子需求不及预期，产品产能提升不及预期。,,国信证券,优于大市,[None],2025-09-02,,买入,6383242,pdf_downloads/2025/2025-09-02/688525-佰维存储（688525）：2Q25毛利率环比提升11.7pct，AI端侧应用多点开花.pdf,688525,佰维存储,佰维存储（688525）：2Q25毛利率环比提升11.7pct，AI端侧应用多点开花
"王芳,杨旭,康丽侠",报告摘要25Q2营收增长强劲，盈利能力持续修复。1）25H1：营收39.1亿元，yoy+14%；归母净利润-2.3亿元，yoy-5.1亿元；扣非归母净利润-2.3亿元，yoy-5.2亿元。公司总资产115.6亿元，较期初增长45%，归属于母公司的所有者权益42亿元，较期初增长74%，主要系公司Q2收到向特定对象发行股票的募集资金。2）25Q2：营收23.7亿元，yoy+38%，qoq+54%；归母净利润-0.3亿元，yoy-1.4亿元，qoq+1.7亿元；扣非-0.2亿元，yoy-1.4亿元，qoq+2.0亿元。利润率同比下滑，但环比好转明显，Q2毛利率13.7%，yoy-13pcts，qoq+12pcts，其中6月毛利率已回升至18.6%，主要系Q2开始存储价格企稳回升，公司重点项目有序交付，经营业绩持续回暖；Q2净利率-1.5%，yoy-8pcts，qoq+12pcts。3）高研发投入：25H1、25Q2股份支付费用分别为1.5、0.7亿元，剔除后归母净利润-0.8、0.4亿元。此外，公司研发费用投入较高，25H1、25Q2研发费用分别同比+30%、+33%，主要系公司加大芯片设计、固件设计、新产品开发及先进封测的研发投入并引进人才。25Q3存储涨价，持续关注后续公司盈利拐点。近日TrendForce上修Q3DRAM价格预期，预期ConsumerDDR4涨价85%~90%，PCDDR4涨价38%~43%，服务器DDR4涨价28%~33%，LPDDR4x涨价38%~43%，LPDDR5X涨价10%~15%，NAND涨价5%-10%，此外NORFlash、SLCNANDQ3均将开启涨价。公司拥有嵌入式存储、PC存储、工车规存储、企业级存储等产品线，在国内存储厂商中份额位居前列，未来有望充分受益于存储涨价。先进封装+自研主控布局，持续关注后续进展。1）先进封测：公司提供“存储+晶圆级先进封测”一站式方案，已覆盖Bumping、Fan-in、Fan-out、RDL等晶圆先进封装技术，募集资金项目“晶圆级先进封测制造项目”有望在今年下半年投产，有助于提升公司存算整合的竞争力。公司旗下两个子公司各司其职，泰来科技负责存储器封测及SiP封测，目前掌握16层叠Die、30um-40um超薄叠die等先进量产工艺能力；广东芯成则布局晶圆级先进封测业务，目前拥有先进存储芯片FMOS系列及先进存算合封CMC系列。2）自研主控芯片：首款国产自研主控eMMC（SP1800）已成功量产，智能穿戴领域已批量交付头部客户；手机领域支持TLC及QLC颗粒，迎合手机存储QLC替代趋势，解决方案将于25年量产；车规领域端到端的数据保护+贴合车规宽温应用场景的解决方案受核心客户认可。此外公司开发的UFS（SP9300）国产自研主控采取领先架构设计，在AI领域的产品竞争力进一步提升，预计25年内投片。投资建议存储领域，公司与原厂合作紧密，产品向高端化发展。同时公司始终坚持研发封测一体化的经营模式，在AI端侧业务取得相对竞争优势，并有序推进在主控芯片设计和晶圆级先进封测的深度布局，长期有望提高公司竞争力及毛利率中枢。预计25-27年公司归母净利润为4.6/6.8/9.0亿元，PE估值64/43/33倍，维持“买入”评级。风险提示：新产品进展不及预期、技术迭代不及预期、存储行业周期波动、研究报告中使用的公开资料可能存在信息滞后或更新不及时的风险等。,,中泰证券,买入,[None],2025-08-15,,买入,6312010,pdf_downloads/2025/2025-08-15/688525-佰维存储（688525）：Q2营收强劲增长，持续关注晶圆级先进封装进展.pdf,688525,佰维存储,佰维存储（688525）：Q2营收强劲增长，持续关注晶圆级先进封装进展
