author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"孔祥,王德坤","行业转型深化与公司战略升级双轮驱动，差异化竞争力持续彰显。市场常把金融租赁理解为顺周期行业，我们认为这低估了行业在经济转型过程中体现的成长性。2023年至2025年间，监管密集出台新规，核心目标是推动行业回归“融物”本源，摆脱“类信贷”模式，这促进金租行业独立实现产业与融资的打通。按照监管导向，金融租赁公司在2026年实现年度新增直租业务占比不低于50%，这将扭转行业过度依赖售后回租局面，促进集中度提升。在监管与市场双重作用下，行业呈现“总量减少、结构优化”趋势，行业资产规模在强化服务实体经济的背景下保持稳健扩张。金租细分机构中，公司聚焦设备租赁，提升直租和经营性租赁能力，深耕细分产业领域体现成长性。A股稀缺标的，“厂商+区域”与“零售+科技”构筑护城河，财务表现持续领先。江苏金租作为A股市场唯一的金融租赁上市公司，已构建起难以复制的商业模式和护城河：这体现在独特的“厂商+区域”双线战略与“零售+科技”双领先发展模式，通过深度绑定设备制造商，建立了覆盖近6,000家厂商经销商的网络渠道。尤其公司在宏观经济整固期仍有靓丽财务表现：以25Q3为例，单季营业收入同比增幅达21.51%，创下近期新高。驱动业绩增长的核心因素在于资产规模扩张与净利差走阔的双重效应，截至2025年9月末，公司应收租赁款余额达1,475亿元，较上年末增长19.45%。公司的盈利能力表现突出，2025年前三季度租赁业务净利差为3.75%，同比提升0.08个百分点，在整体利率下行环境中实现逆势走阔。资产结构优化升级，业务呈现“双主线+多增长点”的特征。行业布局方面，2025年上半年，清洁能源与交通运输板块贡献了营收的绝对主力，占比分别为22.8%和22.1%，收入同比增速分别达36.5%和31.1%。现代服务板块成为增长亮点，资产余额较年初大幅增长41.4%，农业装备板块在政策扶持下表现稳健，余额增速达20.2%。区域布局方面，公司坚持“立足江苏、辐射全国”策略，2025年上半年江苏省内业务贡献约29%收入，浙江和广东成为增长最快区域市场，余额增速分别达41.9%和33.1%。科技加持，风控得当，资产质量保持优异水平。江苏金租的资产质量在金融租赁行业中保持领先水平，其稳定性与风险抵御能力构成了核心竞争优势。截至2025Q3末，公司不良融资租赁资产率为0.90%，持续改善。在风险缓冲方面，公司的拨备覆盖率维持在403%的充足水平，远高于监管要求。风险提示：盈利预测及估值不准确，市场竞争风险，流动性与杠杆风险等。投资建议：我们预计公司2025-2027年归母净利润增速分别为9.07%、15.32%、11.29%，ROE等关键财务指标持续改善。可转债转股使公司资本实力得到补充后，公司的良好成长性、卓越盈利能力、优质的资产质量和充裕的拨备，应当使得公司合理估值居于过去三年平均值与平均值+1倍标准差之间，即1.25x至1.36x。结合我们预测公司2026年每股净资产4.76元/股，公司2026年合理股价区间应为5.95-8.08元/股。我们给予公司“优于大市”评级。",,国信证券,优于大市,[None],2026-01-21,,买入,8349964,pdf_downloads/2026/2026-01-21/600901-江苏金租（600901）：双轮锚定价值，稳健穿越周期.pdf,600901,江苏金租,江苏金租（600901）：双轮锚定价值，稳健穿越周期
徐康,核心驱动：负债成本管控出色，净利差走扩。披露的净利差为 3.75%（yoy+0.12pct），展现了卓越的负债管理能力。公司息差表现在三季度持续走强。3Q25末融资租赁资产余额1524.3亿元（yoy+19.1%），规模稳步增长。9M25公司实现利息净收入47.2亿元（yoy+21.3%），增速快于营收。我们测算，公司9M25年化平均生息资产收益率6.25%（yoy-0.39pct），受宏观利率环境及竞争影响，资产端定价随行就市。关键在于负债端，公司凭借主动的负债结构管理（如扩大长借规模）及宽松的货币环境，实现年化平均计息负债成本率2.25%（yoy-0.74pct）。负债成本降幅显著快于资产收益率降幅，驱动净利差（测算）yoy+0.35pct至4.01%，公司披露净利差3.75%（同比+0.12pct）。息差进入逆势扩张通道，系盈利增长的核心支撑。资产质量：不良率稳定，拨备安全垫充足。3Q25 末，公司不良率 0.90%，yoy0.02pct，环比持平，资产质量管控扎实。拨备方面，期末拨备覆盖率403.0%（同比-23.0pct），拨备率3.63%（yoy-0.28pct），整体安全垫依然厚实。9M25累计计提信用减值损失8.6亿元（YOY+55.3%），我们判断或系公司在盈利稳健增长下，为应对宏观不确定性而进行的审慎前瞻计提。投资建议：公司在租赁行业的α能力体现在卓越的主动负债管理上。在利率下行周期中，公司展现了强劲的息差管控能力，实现了负债成本优化快于资产端调整，驱动净利差逆势扩张，盈利韧性凸显。我们认为，公司高ROE、高分红率及高股息率的特性，共同构筑了当前市场环境下极具吸引力的安全边际。我们维持盈利预测，预计江苏金租2025/2026/2027年EPS为0.57/0.63/0.68元人民币，BPS分别为4.49/4.85/5.24元人民币，当前股价对应PB分别为1.35/1.25/1.16倍，加权平均ROE分别为12.7%/13.0%/12.9%。参考可比公司估值，我们给予2026年业绩1.6倍PB估值预期，目标价7.76元，维持“推荐”评级。风险提示：风险偏好下降；实体经济复苏不及预期；期限错配产生流动性风险。,,华创证券,推荐,[None],2025-10-29,,增持,6991350,pdf_downloads/2025/2025-10-29/600901-江苏金租（600901）：2025年三季报点评：负债成本下行驱动净利差扩张，盈利韧性凸显.pdf,600901,江苏金租,江苏金租（600901）：2025年三季报点评：负债成本下行驱动净利差扩张，盈利韧性凸显
"舒思勤,方丽,洪希柠,夏昌盛",业绩简评10月24日，江苏金租发布2025年三季度报告，业绩超预期。2025年前三季度，江苏金租实现营业收入为46.38亿元，同比增长17.15%；实现归母净利润为24.46亿元，同比增长9.82%。 单季度来看，2025年第三季度公司实现营业收入16.32亿元，同比增长21.51%，环比增长11.62%；公司实现归母净利润8.82亿元，同比增长11.24%，环比增长11.26%。经营分析从规模的角度来看，公司资产规模稳步增长。截至2025Q3末，公司资产总额达到1620亿元，较年初增长18%。其中，应收租赁款规模达到1475亿元，较年初增长19%。从费率的角度来看，净利差水平持续提升。2025年前三季度公司租赁业务净利差为3.75%，同比上年同期增长0.08pct。在流动性宽松背景下公司净利差仍有所提升，主要系资产端具备韧性，生息资产收益率下行速度慢于计息负债成本率，我们测算得到公司计息负债成本率（年化）约为2.25%，同比下降0.74pct；生息资产收益率（年化）约为6.38%，同比下降0.34pct。资产质量保持稳健，不良率稳定在较低水平。截至2025Q3末，公司不良率为0.90%，较上年末下降1BP；截至2025Q3末，公司拨备覆盖率为403.01%，较上年末下降27.26pct，拨备覆盖率下降主要系公司在满足监管要求的基础上主动有序下调拨备覆盖率。在综合考量租赁资产余额增长与行业投放布局背景下，2025Q3公司计提信用减值损失2.76亿元（2025Q1计提3.47亿元，2025Q2计提2.34亿元），上年同期计提信用损失1.27亿元。盈利预测、估值与评级整体来看，公司高股息特征显著，2025E股息率为4.7%。经营持续稳健，生息资产持续保持稳健增长，生息资产收益率具备韧性支撑利差扩展，驱动公司业绩保持稳定增长。预计公司未来资产规模将保持稳健增长，净利差趋稳，不良率控制在较低水平，我们预计公司2025年归母净利润约为32亿元，同比增长10%，对应2025年1.4x PB，维持“买入”评级。风险提示1、融资租赁资产质量下降的风险；2、利率波动影响公司盈利水平的风险；3、期限错配产生的流动性风险；4、汇率波动影响公司盈利水平的风险。,,国金证券,买入,[None],2025-10-27,,买入,6844731,pdf_downloads/2025/2025-10-27/600901-江苏金租（600901）：业绩表现稳健，Q3 归母净利同比+11%.pdf,600901,江苏金租,江苏金租（600901）：业绩表现稳健，Q3 归母净利同比+11%
"刘雨辰,陈昌涛","事件江苏金租发布2025年三季报，公司前三季度实现营业收入46.38亿元，同比+17.15%；实现归母净利润24.46亿元，同比+9.82%。其中公司2025Q3单季度营收、归母净利润分别同比+21.51%、+11.24%。2025前三季度公司年化ROE为13.27%，较2025H1 +0.31pct。营收增速进一步改善，利润维持稳健增长2025前三季度公司营业收入同比增速较2025H1 +2.24pct，增速边际提升主要系利息净收入增速上行。2025前三季度公司实现利息净收入47.25亿元，同比+21.31%，增速较2025H1 +2.80pct。净利息收入增速上行主要系量价双重贡献。截至2025Q3末，公司租赁资产余额同比增速较2025H1 +2.12pct。2025前三季度公司租赁净利差为3.75%，较2025H1 +4bp。2025前三季度公司归母净利润同比增速较2025H1 +0.78pct，增速边际提升小于营收端，主要系公司减值计提保持审慎，2025年前三季度公司信用减值损失同比+55.29%，增速较2025H1 +18.56pct。租赁资产维持高增，利差同比环比均走扩从量来看，2025Q3末公司租赁资产余额为1524.25亿元，同比+19.14%。2025前三季度公司租赁资产净增加246.22亿元，其中2025Q3单季度新增43.23亿元。从投向来看，我们预计三季度主要投向板块仍集中在清洁能源、汽车金融等领域。从价来看，2025前三季度公司租赁净利差较2025H1走扩4bp，同比走扩8bp。整体来看，我们依旧认为利率下行期租赁公司凭借负债端更快的重定价速度，利差有望维持稳定甚至走扩。根据我们测算，2025前三季度公司资产平均收益率、负债平均成本率分别为6.51%、2.25%，同比分别-22、-74bp。不良率、关注率边际均明显改善截至2025H1末，公司不良率、关注率分别为0.90%、2.20%，较2025H1分别-1bp、-16bp。其中2025Q3末公司不良租赁款余额为13.74亿元，同比+16.95%，增速较2025H1 -0.45pct且慢于租赁资产整体增速。拨备方面，2025Q3末公司拨备覆盖率为403.01%，较2025H1末+1.52pct，同时2025前三季度信用减值损失为8.57亿元，同比+55.29%，我们预计主要系考虑到清洁能源电价机制改革、小微企业风险、医院集采等影响，公司保持审慎风险偏好，计提较多拨备以应对潜在风险。投资建议：维持“买入”评级我们预计公司2025-2027年营业收入分别为59/66/72亿元，同比分别+11.20%/+11.83%/+10.28%，3年CAGR为11.10%；归母净利润分别为32/36/40亿元，同比增速分别为+9.77%/+12.33%/+10.41%,3年CAGR为10.83%。鉴于公司风控优势显著，且当前股息率达到6.66%，我们维持“买入”评级。风险提示：稳增长不及预期，资产质量恶化，监管政策转向。",,国联民生证券,买入,[None],2025-10-27,,买入,6841364,pdf_downloads/2025/2025-10-27/600901-江苏金租（600901）：业绩表现亮眼，规模高增且利差走扩.pdf,600901,江苏金租,江苏金租（600901）：业绩表现亮眼，规模高增且利差走扩
"沈娟,汪煜,孙亦欣",江苏金租发布三季报，2025年前三季度实现营收46.38亿元（yoy+17.15%），归母净利24.46亿元（yoy+9.82%）；2025Q3单季度营收16.32亿元（yoy+21.51%，qoq+11.62%），归母净利8.82亿元（yoy+11.24%，qoq+11.26%）。融资租赁资产余额增长稳健，前三季度净利差较上半年进一步走阔，同时资产质量优化，不良率较Q2末小幅下滑。维持买入评级。租赁资产余额稳步扩张，净利差走阔截至2025年9月末，公司融资租赁资产余额1524.25亿元，较6月末的1481.03亿元进一步提升，保持较为强劲的扩张态势。公司始终践行多元市场培育与重点市场开发并重的业务策略，“厂商租赁+区域直销+股东协同”的展业模式不断深化升级，未来业务规模有望继续保持良好增长态势。前三季度公司租赁业务净利差3.75%，较上半年的3.71%进一步走阔，同比增长0.08个百分点。不良率小幅下滑，资产质量优化公司通过多元化行业布局、多层级客群组合以及广泛的区域分布，充分发挥风险分散效能。2025年9月末公司不良率为0.90%，较6月末的0.91%小幅下降，资产质量进一步优化；期末拨备覆盖率为403.01%，较6月末（401.49%）提升；拨备率为3.63%，较6月末（3.64%）小幅下降。公司打造的“租赁物+承租人+厂商”三位一体风险防控体系，为资金安全提供了有力保障。Q3公司资本充足率和杠杆率指标稳步提升，9月末公司资本充足率、核心一级资本充足率分别为17.23%、16.02%，较6月末分别提升0.29pct、0.26pct，资本实力增强，为稳健经营奠定坚实基础。9月末杠杆率15.37%，较6月末提升0.10pct，仍有较大的拓展空间。专业化优势扎实，净利润增速逐季抬升公司多年来逐步构筑了多元协同的行业布局，充分融合股东国际经验与本土实践成果，拓展了高效精准的获客网络。去年与股东法巴租赁集团成立的农科设备专业子公司开业后，围绕农业与科技行业，专注发展特色化、专业化厂商租赁业务，在以设备融资、直接租赁、服务实体为特征的零售业务方面取得较好成果。同时，今年四月起公司开展基础类衍生产品业务，有助于公司更好地应对汇率和利率波动风险，增强财务稳健性。今年以来，公司归母净利润同比增速逐季抬升，Q3回归两位数增速，全年预计保持稳健增长。盈利预测与估值考虑到公司净利差进一步走阔，我们适当提高净利差假设，预计公司2025-2027年EPS分别为0.58、0.63、0.69元（前值0.56、0.61、0.67元，上调3.5%、3.1%、2.2%），2025年BPS为4.68元。可比公司2025年Wind一致预期PB均值为1.08倍（前值0.99倍），考虑公司利润增长稳健、资产质量优化，给予公司2025年1.6倍PB，目标价7.48元（前值7.00元，对应2025年PB1.5倍），维持“买入”评级。风险提示：利率波动和不良率上升风险、市场需求下降风险。,,华泰证券,买入,[None],2025-10-26,,买入,6791231,pdf_downloads/2025/2025-10-26/600901-江苏金租（600901）：利润稳健增长，资产质量优化.pdf,600901,江苏金租,江苏金租（600901）：利润稳健增长，资产质量优化
"吕秀华,罗惠洲","2025年三季报点评：盈利稳，不良降，发展动能充足 江苏金租(600901)事件概述公司2025前三季度实现营收/归母净利润分别为46.4/24.5亿元，yoy+17%/+10%， ROA/加权平均ROE为1.63%/9.92%，同比-0.12 pct/-1.95pct。单季度来看，25Q3实现营收/归母净利润分别16.3/8.8亿元，qoq+12%/+11%，yoy+22%/11%。分析判断:量价齐驱促增长报告期公司实现利息净收入47.2亿元，yoy+21%。1）量：截至报告期末，公司资产规模1620.1亿元，较2024年末+18%，同比+20%。其中，公司应收租赁款余额为 1475.0亿元，较上年末+19%，同比+19%。2）价：报告期租赁业务净利差3.75%，同比增0.08pct。拨备计提充足，资产质量改善报告期公司减值计提8.6亿元，同比增55%大于收入增长，因此利润增幅10%低于收入增幅17%。公司融资租赁资产关注类余额33.5亿元，占比2.2%,较上年末-0.5pct。公司不良率环比改善,2023/2024/2025H1/2025Q3末不良融资租赁资产率分别为0.91%/0.91%/0.91%/0.90%。拨备覆盖率环比提升，2023/2024/2025H1/2025Q3末拨备覆盖率为448.39%/430.27%/401.49%/403.01%。经营租赁收入同比略增，手续费及佣金净收入亏损增大报告期公司经营租赁收入0.9亿元，同比增4%。手续费及佣金净收入-2.0亿元，亏损大幅增加，因此总营收增幅17%低于利息净收入增幅21%。加杠杆空间充足，股息可观报告期末杠杆倍数为6.36倍，同比+0.71倍（去年同期为可转债转股后处于较低水平），但环比-0.02倍。目前加杠杆空间充足。 当前股息率为4.49%（按24年年度分红来计）。投资建议我们维持公司2025-2027年营业总收入62.61/69.02/75.16亿元的预测值不变，维持2025-2027年EPS 0.56/0.62/0.67元的预测值不变,对应2025年10月24日6.01元/股收盘价， PE分别为10.75/9.75/ 8.95倍。维持“增持”评级。风险提示不良率上升风险、利率波动风险、融资租赁需求下降风险、流动性风险。",,华西证券,增持,[None],2025-10-25,,增持,6773838,pdf_downloads/2025/2025-10-25/600901-江苏金租（600901）：2025 年三季报点评：盈利稳，不良降，发展动能充足.pdf,600901,江苏金租,江苏金租（600901）：2025 年三季报点评：盈利稳，不良降，发展动能充足
"高超,卢崑",收入好于预期，净利差较中报扩张2025Q1-3营收/净利润为46.4/24.5亿元，同比+17%/+10%，收入好于我们预期，净利润符合我们预期。2025Q3营收/净利润为16.3/8.8亿元，同比+22%/+11%，环比+12%/+11%。2025Q1-3年化加权平均ROE为13.23%，较25H1的12.68%进一步提升。权益乘数为6.4倍，较2025H1末持平。考虑收入超预期，我们小幅上修2025/2026/2027年净利润预测至32.8/36.3/41.3亿元（调前32.6/36.2/40.3），同比+11.3%/+10.7%/+13.9%，EPS为0.6/0.6/0.7元，当前股价对应PB为1.3/1.3/1.2倍。当前股息率-TTM为4.49%，股息率（2025E）为5.0%（假设分红率53%不变）。公司业绩穿越周期、分红稳健，低利率环境下，优质高股息标的配置价值突出，维持“买入”评级。Q3规模环比增长好于预期，负债成本下降驱动净利差扩张（1）2025Q3末应收融资租赁款余额1524亿元，同比+19%，环比+3%，好于我们预期。（2）公司披露前三季度净利差3.75%，同比+0.08百分点，较2025H1 +0.04百分点。我们估算前三季度生息资产年化收益率6.07%，同比-0.51百分点，较中报持平；付息债务成本率2.20%，同比-0.67百分点，较中报下降0.04百分点。三季度至今市场短端利率保持下降趋势，利好公司负债成本下降；我们估算2025Q1-3净利差3.88%，同比+0.16百分点，较2025H1 +0.05百分点。不良率微降，关注率下降，拨备覆盖率维持高位2025Q3不良率0.90%，环比-0.01pct，表现稳健，关注率为2.20%，环比-0.16pct，关注率为上市以来新低，反映资产质量持续夯实。拨备率为3.63%，环比-0.01pct；拨备覆盖率为403%，环比+1.5pct。2025Q1-3计提信用减值损失8.6亿，同比+55%，25Q3为2.8亿，环比+18%。风险提示：竞争加剧造成业务规模、利差承压；期限错配产生的流动性风险。,,开源证券,买入,[None],2025-10-25,,买入,6768311,pdf_downloads/2025/2025-10-25/600901-江苏金租（600901）：收入好于预期，净利差较中报扩张.pdf,600901,江苏金租,江苏金租（600901）：收入好于预期，净利差较中报扩张
"孙婷,曹锟",投资要点【事件】江苏金租发布2025年三季度业绩：1）前三季度实现营业收入46.4亿元，同比+17.1%，Q3单季为16.3亿元，同比+21.5%。2）归母净利润24.5亿元，同比+9.8%，Q3单季为8.8亿元，同比+11.2%。3）归母净资产250亿元，较年初+3.6%，较中期+3.6%。4）对应ROE 9.92%，同比-1.95pct。盈利表现向好，净利差同比扩大。1）应收租赁款规模增速较上半年放缓。截至Q3末公司应收租赁款余额为1475亿元，较年初+19.4%，较中期+2.7%。2）盈利表现向好。前三季度租赁业务净利差为3.75%，同比扩大0.08pct，成本收入比同比下降0.11pct至9.55%，我们预计主要受融资端成本下降影响。3）利息净收入：前三季度为47.2亿元，同比+21.3%，Q3单季为16.8亿元，同比+26.7%。4）手续费及佣金净收入：前三季度为-2.0亿元，上年同期为-0.5亿元。5）经营租赁收入：前三季度为8911万元，同比+3.8%，Q3单季为3000万元，同比+8.2%。业务运营稳健，不良率仍维持低位。1）公司资产质量保持较优水平，Q3末不良率为0.90%，较年初、年中均-0.01pct。拨备覆盖率403%，较年初下降27pct，较年中提升2pct。2）付息债务规模为1285亿元，较年初+20.6%，较年中+1.2%。其中短期借款/拆入资金/长期借款/应付债券分别较年初+30%、+18%、+17%、+45%，拆入资金占比80.2%。3）业务及管理费同比+15.3%，占总营收比重9.4%，同比下降0.2pct。4）信用减值损失8.6亿元，同比+55%，我们认为主要是投放规模快速增长下的审慎计提。盈利预测与投资评级：我们维持此前盈利预测，预计2025-2027年公司归母净利润为32.4/36.0/39.8亿元，当前市值对应2025E PB 1.4x。我们认为，公司作为A股唯一上市金租企业具有稀缺性，历史业绩与分红表现稳定，维持“买入”评级。风险提示：宏观经济增长不及预期；社会信用风险水平大幅提升。,,东吴证券,买入,[None],2025-10-25,,买入,6736905,pdf_downloads/2025/2025-10-25/600901-江苏金租（600901）：2025 年三季报点评：Q3业绩稳中向好，净利差扩大且不良率改善.pdf,600901,江苏金租,江苏金租（600901）：2025 年三季报点评：Q3业绩稳中向好，净利差扩大且不良率改善
"夏芈卬,王子钦",事件：江苏金租发布2025年半年度报告。报告期内，公司实现营业净收入30.06亿元，同比+14.91%；实现归母净利润15.64亿元，同比+9.04%；ROE（加权）为6.34%，同比-1.36pct。资产投放平稳，负债持续优化。截至报告期末，公司资产总额为1568.08亿元，较年初+14.25%；融资租赁资产余额为1481.03亿元，较年初+15.88%，资产投放延续一季度开门红以来的良好势头。截至报告期末，公司付息负债规模（不含应计利息）达1262.77亿元，较年初+19.27%。结构上，公司通过发行金融债等方式加大直融和长期资金来源，截至报告期末，公司长期借款与应付债券占付息负债比重合计达20.78%，较上年末+4.16pct，利于缓解期限错配风险。盈利能力强劲，利差保持稳定。报告期内，公司实现利息净收入30.41亿元，同比+18.51%。在资产端收益率承压背景下，公司抓住市场宽松环境，有效压降融资成本，净利差保持稳定。报告期内，公司租赁业务净利差为3.71%，同比+3bp。分业务板块看，清洁能源、交通运输板块收入实现快速增长，同比分别+36.50%、+31.14%，成为业绩增长的重要驱动力。报告期内，公司成本收入比为9.68%，同比+0.22pct，预计与公司推进“零售+科技”战略、加大相关投入有关，但成本控制能力仍居行业前列。资产质量稳定，风险抵补充足。截至报告期末，公司租赁资产不良率为0.91%，与上年末持平；关注率为2.36%，较上年末-39bp，资产质量保持稳定。报告期内，公司计提拨备5.81亿元，同比+36.73%，主要系资产规模快速增长及宏观环境下的审慎计提；2025年第二季度单季计提拨备2.34亿元，同比+3.36%、环比-32.55%。截至报告期末，公司拨备覆盖率为401.49%，较上年末-28.78pct、环比-6.46pct，风险抵补能力充足。投资建议：公司持续推进“零售+科技”双领先战略，聚焦清洁能源、高端装备等核心领域，资产规模稳健增长，盈利能力保持强劲。预计2025-2027年公司营业收入为60.00、65.57、70.73亿元，归母净利润为32.48、35.94、39.28亿元，EPS为0.56、0.62、0.68元，对应8月22日收盘价的PE估值为10.29、9.30、8.51倍。维持“买入”评级。风险提示：宏观经济波动、市场竞争加剧、资产质量恶化,,太平洋证券,买入,[None],2025-08-25,,买入,6345769,pdf_downloads/2025/2025-08-25/600901-江苏金租（600901）：2025 年中报点评：业绩稳健增长，资产质量稳定.pdf,600901,江苏金租,江苏金租（600901）：2025 年中报点评：业绩稳健增长，资产质量稳定
徐康,公司概览：A股唯一上市金租，实控人为江苏省国资委。江苏金租成立于1985年，2003年至2014年公司引入扬子大桥、南京银行、法巴租赁等多个股东并变更为股份制公司，2018年于上交所挂牌上市，成为A股首家上市的金融租赁公司。近年来，融资租赁行业监管由商务部划归银保监会（现国家金融监督管理总局），行业进入清理整顿和规范发展的新阶段。当前持牌金融租赁公司数量稳定在71家，行业准入门槛提高。监管强调“融物”属性，引导回归本源，对已经具备规模、资本和合规优势的企业构成显著利好。经营分析：公司的盈利模式本质上是利差驱动型的金融中介业务。通过投放融资租赁资产获取资产端收益，其与负债端融资成本的差额—即净利差，是公司收益的核心驱动。利息净收入构成了营收的绝对主体，其增长由生息资产规模和净利差共同决定。1）资产端：融资租赁资产规模稳健增长，收益率小幅承压。公司融资租赁资产余额增长稳健（2019A-2024ACAGR+13.6%）。但受行业竞争加剧及实体融资成本下行影响，年化平均生息资产收益率走低，由2019年的7.3%下滑至2025H1的6.2%。2）负债端：融资成本下行，提供核心盈利弹性。公司负债以同业拆借为主（2024A占比82%），受益于国内宽松的货币政策，其融资成本优势凸显，年化平计息负债率已从2019年的4.6%降至2025H1的2.3%。3）得益于负债端成本率降速快于资产端收益率降速，净利差走扩，贡献核心盈利弹性。根据测算，公司净利差已从2019年的2.75%提升至2025H1的3.95%，展现出强大的盈利韧性。考虑到公司在中小微客群中较强的议价能力，我们预计其净利差将维持高位。核心战略：“厂商租赁+区域直销”双线并进，科技赋能零售业务。公司增长战略清晰，聚焦零售业务，依托两大核心优势：1）渠道为刃：双线并进，实现规模化、高质量的客户覆盖。“厂商线”上，通过深度绑定优质厂商（2024年合作方达5847家，同比+61.8%），在产业源头批量获客，并有效带动了高资产质量的直租业务占比提升；“区域线”上，实现对中小微客群的网格化覆盖。2）科技为基：数字赋能，保障零售业务规模化运行。公司将数字能力注入业务全流程，形成强大的科技基础；持续升级“拓客-风控-运营”全链条智慧租赁系统，推动科技与业务深度融合，有效提升了运营效率。低不良率、高ROE、高分红、高股息率，兼具成长与价值属性。公司凭借卓越的风险控制体系，不良率长期稳定在1%以下，优于多数银行的资产质量。盈利能力方面，2022A-2025H1年化平均ROE分别为15.8%、15.7%、14.0%、13.0%，领先头部金租公司平均水平。公司坚持稳定且高比例的现金分红政策，2022A-2024A分别为44.00%、52.57%、53.15%，2025/8/22对应2024年股息率达到4.68%，为投资者提供了极具吸引力的安全边际和长期价值。投资建议：江苏金租是A股市场中兼具稀缺性、成长性与高价值回报的优质核心资产。公司的核心竞争力源于其“零售+科技”战略，通过“厂商+区域”双线渠道高效服务小微普惠客群，不仅实现了稳健的资产规模增长，更在资产质量和业务结构上展现出卓越的风险控制能力。其最核心的投资亮点在于，受益于适度宽松的货币政策和卓越的主动负债管理，公司负债端成本优化速度超越资产端，驱动净利差进入逆势走扩通道，盈利能力极具韧性。叠加高ROE、高分红率以及高股息率，共同构筑了极具吸引力的投资安全边际。我们预计江苏金租2025/2026/2027年EPS为0.56/0.63/0.69元人民币，BPS分别为4.49/4.85/5.24元人民币，当前股价对应PB分别为1.29/1.19/1.10倍，加权平均ROE分别为12.5%/13.0%/13.2%。参考可比公司估值，我们给予2025年业绩1.6倍PB估值预期，目标价7.18元。首次覆盖，给予“推荐”评级。风险提示：期限错配产生的流动性风险、应收融资租赁款不良比率上升、利率波动等。,,华创证券,推荐,[None],2025-08-25,,增持,6345549,pdf_downloads/2025/2025-08-25/600901-江苏金租（600901）：深度研究报告：“零售+科技”双领先战略，“厂商+区域”两线并进.pdf,600901,江苏金租,江苏金租（600901）：深度研究报告：“零售+科技”双领先战略，“厂商+区域”两线并进
