author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"周明頔,杨天昊","本报告导读：公司全年业绩扭亏，盈利能力大幅提升；新签装备系统产品订单，十五五有望再谱新篇，军贸出海开拓全球增长空间。投资要点：上调目标价至32.39元，维持“增持”评级。上调公司2025-27年EPS至0.19/0.27/0.32元（前值0.16/0.21/0.26元），参照可比公司2026年平均PE水平120.33倍，给予公司2026年120.33倍PE，上调目标价至32.39元。全年业绩预计扭亏，盈利能力大幅提升。1）公司2025年全年预计实现归母净利润7-9亿元，扭亏为盈并获大幅增长2）公司业绩增长主要系原延期的型号项目类产品恢复交付，且与某贸易公司签订的完整装备系统总体外贸产品合同已完成国外验收交付；同时公司大力扩展民品领域，红外芯片应用业务需求快速释放，营业收入大幅增长，销售规模的增长带来利润同步增长。新签装备系统产品订单，军贸出海开拓全球增长空间，十五五有望再谱新篇。1）公司与客户签订了某型号完整装备系统总体产品订货合同，合同金额为185142万元，标志着该型号项目进入集中性采购且公司为2025年度该型号项目独家供应商的正式落地, 预计将对公司2026年一季度业绩产生十分积极的影响。本次合同签订巩固了公司在完整装备系统总体领域的独占性优势，将为公司带来显著业绩增长，并为“十五五”期间持续承接国家重点完整装备系统总体型号项目奠定坚实基础。2）随着采购计划延期因素的消除，前期延迟的订单恢复正常采购流程。本次与客户签订的该型号项目产品在前次采购协议签订后按照机关要求备货、备产，已在2025年底完成全部数量的生产入库，成功实现“十四五”攻坚任务的如期交付，得到了机关的高度认可。3）公司积极“走出去”参与全球竞争，相关完整装备系统已实现多国家批量交付。2025年公司再次签订外贸大额合同，标志着公司已跻身国际高端完整装备系统供应商行列。催化剂：实现国内型号与军贸订单持续增长。风险提示：型号产品特点导致公司销售收入波动风险，经营管理风险，将部分信息豁免披露或脱密处理方式可能影响投资者对公司价值做出正确判断风险等。",,国泰海通,增持,[None],2026-02-28,,买入,8464460,pdf_downloads/2026/2026-02-28/002414-高德红外（002414）：新签装备系统产品订单，十五五有望再谱新篇.pdf,002414,高德红外,高德红外（002414）：新签装备系统产品订单，十五五有望再谱新篇
"周明頔,杨天昊",本报告导读：全球军用红外市场增长，国内装备需求迎来复苏，公司深化全产业链拓展，内外需订单持续增长，业绩有望持续取得超预期进展。投资要点：首次覆盖给予“增持”评级，给予目标价22.74元。预计公司2025~2027年归母净利润为6.94/8.81/11.20亿元，EPS分别为0.16/0.21/0.26元，综合PE及PB估值法，给予公司目标价22.74元，增持”评级。全球军用红外市场增长，国内装备需求迎来复苏。1）全球军用和天文级红外探测器市场前景广阔，在天文和军事领域均蕴藏着巨大机遇。根据globalinformation，预计到2030年，全球军用和天文级红外探测器市场规模将达到8亿美元，2024年至2030年复合年增长率（CAGR）为7.5%。2）红外制导技术助力武器装备跨代升级，红外技术在侦察、制导、无人装备及军事揭伪等领域应用占比不断提高。3）受益前期延期型号项目恢复，公司2025年上半年营业收入同比增长68.24%，净利润同比大幅增长906.85%，我们认为，随着国内多款红外整机及综合光电系统订单进入密集收获期，公司业绩有望持续增长。深化全产业链拓展，内外需订单持续增长。1）公司业务已拓展至总装环节，实现了元器件到装备整机全产业链布局。公司率先研制成功并获得该类系统总体科研生产资质某型完整装备系统总体型号项目签订了大额采购协议，公司于“十四五”收官之年签订协议且为该型号项目当年度独家供应商，体现了国家对公司多年来在完整装备系统总体领域整体认可，为公司在“十五五”期间持续承接国家新一代装备研制任务奠定了基础，使公司成为国家主战完整装备主要供应商之一，为公司实现战略目标和提升盈利水平打开了广阔天地。2）军贸出海打开全球增长空间。公司积极“走出去”参与全球竞争，相关完整装备系统已实现多国家批量交付。2025年公司再次签订多笔大额合同，标志着公司已跻身国际高端完整装备系统供应商行列。催化剂：实现国内型号与军贸订单持续增长。风险提示：型号产品特点导致公司销售收入波动风险，经营管理风险，将部分信息豁免披露或脱密处理方式可能影响投资者对公司价值做出正确判断风险等。,,国泰海通,增持,[None],2026-01-22,,买入,8354879,pdf_downloads/2026/2026-01-22/002414-高德红外（002414）：首次覆盖报告：布局装备制造全链条，受益内需外贸高景气.pdf,002414,高德红外,高德红外（002414）：首次覆盖报告：布局装备制造全链条，受益内需外贸高景气
"鲍学博,王兴,朱雨时,田莫充","首次覆盖高德红外并给予“买入”评级，目标价18.90元，基于26年70倍PE估值。公司已成长为国内重要民营军工集团，短期看好完整装备系统订单落地带动公司业绩增长，中长期看好完整装备系统业务的产品品类拓展、多军种客户拓展以及国内外市场拓展。立足红外探测技术，打造民营军工集团高德红外创立于1999年，公司立足红外热像仪业务向红外产业链两端延伸，实现从核心器件到完整装备系统全产业链覆盖。2022-2024年，受型号项目类产品采购计划延期、部分型号项目类产品价格下调等影响，公司业绩承压。2025前三季度，随着公司型号项目类产品交付和确收正常化，军贸项目持续推进，以及民品市场的持续向好，公司实现营收30.68亿元，同比增长69.27%，实现归母净利润5.82亿元，同比增长1058.94%，业绩拐点凸显。完整装备系统：长期路线坚持结硕果，跨越式发展空间广阔公司是国内首家获得完整装备系统科研生产资质的民营企业，走出了一条从民品到军品、从分系统到总体的发展历程。国际市场方面，近年来公司连续落地订单，体现其弹药产品在国际军贸市场的较强竞争力；国内市场，公司完成从“跟随”到“引领”的跨越，实现从小批量供货、到大批量供货、再到独家供货的成长历程。我们认为，公司为国内武器装备研制总体领域注入了新鲜血液，有望充分发挥民营企业优势，成为军工央企的重要补充。低成本弹药是装备体系核心组成，内需外销需求共振，展望未来，公司在低成本武器领域市占率有望日益提升，成长空间广阔。红外探测器和红外热像：核心技术自主可控，前瞻性布局新兴市场公司是国内唯一具有非制冷、碲镉汞和II类超晶格三类探测器批产能力的企业，实现红外探测器自主可控。红外热像行业有望保持稳定增长态势，其中，以汽车为代表的新兴市场有望获得更快增速。公司着力开发红外热像军民市场，前瞻性布局汽车等新兴领域，出货量增长趋势明显，根据公司公告，2015-2024年公司红外综合光电及完整装备系统销量由8,325台提升至183,563台，复合增长率为45%。我们认为随着军品型号项目交付正常化以及红外技术在民用领域渗透率的进一步提升，公司红外热像业务有望继续保持较快增长。我们与市场观点不同之处市场对公司完整装备系统业务的认知停留在单一品类、少量客户，但公司完整装备系统业务已实现多品类、多领域、多军种跨越式发展。低成本弹药是装备体系的核心组成，内销外贸旺盛。公司在完整装备系统总体业务方面具有全产业链、一体化优势，未来有望拓展更多总体项目，持续丰富产品品类，打开成长空间。盈利预测与估值我们预计公司2025-2027年归母净利润分别为8.80/11.47/15.60亿元，24年归母净利润为-4.47亿元，26-27年同比增长30.40%/35.94%。可比公司26年Wind一致预期PE均值为48倍，考虑到公司产业链覆盖更全，且在军贸市场持续突破，远期成长空间较大，给予公司2026年70X目标PE，对应目标价18.90元/股，首次覆盖给予“买入”评级。风险提示：型号项目类产品客户需求节奏波动的风险；完整装备系统总体业务进展不及预期的风险；民用产品市场竞争加剧的风险。",,华泰证券,买入,[None],2025-11-13,,买入,7723228,pdf_downloads/2025/2025-11-13/002414-高德红外（002414）：迈入多型完整装备量产新阶段.pdf,002414,高德红外,高德红外（002414）：迈入多型完整装备量产新阶段
马浩然,"事件：公司发布2025年三季度报告，2025年1-9月实现营业收入30.68亿元，较上年同期增长69.27%；归属于上市公司股东的净利润5.82亿元，较上年同期增长1058.95%；基本每股收益0.14元，较上年同期增长1055.08%。合同负债大幅增长，看好全年业绩表现。报告期内，公司营业收入和利润均实现大幅增长，主要原因系型号项目类产品恢复交付，且与某贸易公司签订的完整装备系统总体外贸产品合同已完成国外验收交付，同时公司大力扩展民品领域，红外芯片应用业务需求快速释放所致。报告期内，公司完整装备系统总体项目取得多个进展，其中2025年7月公告签订完整装备系统总体外贸产品国内采购合同和某型号光电系统订购合同总金额68,509.91万元人民币；2025年8月公告签订某型号完整装备系统总体产品订购合同和某型号装备热像仪产品订购合同总金额30,679.07万元人民币。截至本报告期末，公司合同负债达到129,642.30万元，较上年同期增长139.74%，显示公司在手订单充足；综合毛利率水平达到57.91%，较上年同期提升5.34个百分点，我们看好公司全年业绩表现。红外全产业链布局，应用领域不断拓展。公司构建了从底层红外核心器件，到综合光电系统，再到顶层完整装备系统总体的全产业链科研生产布局。在完整装备系统总体方面，公司已获得多类型完整装备系统总体科研及生产资质，涉及的完整装备总体领域覆盖面广、品类多样，在国内及外贸多个完整装备系统总体项目竞标中展现出较强的竞争优势。在民品方面，公司持续深耕红外领域新兴细分行业，不断提升行业综合解决方案能力，依托智能感知技术助力各行业数字化转型，进一步扩大市场空间。盈利预测与投资评级：预计公司2025-2027年的净利润为6.59亿元、7.75亿元、8.79亿元，EPS为0.15元、0.18元、0.21元，对应PE为86倍、74倍、65倍，维持“买入”评级。风险提示：订单增长不及预期；产品交付进度不及预期。",,太平洋证券,买入,[None],2025-11-06,,买入,7538990,pdf_downloads/2025/2025-11-06/002414-高德红外（002414）：合同负债大幅增长，看好全年业绩表现.pdf,002414,高德红外,高德红外（002414）：合同负债大幅增长，看好全年业绩表现
杨晨,"业绩简评2025年10月27日，公司发布25年三季报，公司25Q1-Q3实现营收30.7亿（同比+69.3%），实现归母净利润5.8亿（同比+1059.0%），25Q3实现营收11.3亿（同比+71.1%，环比-9.6%），实现归母净利润4.0亿（同比+1143.7%，环比+311.8%），业绩大幅超预期。经营分析军品持续回暖，民用红外需求爆发：25Q1-Q3，原延期的型号项目类产品恢复交付，且与某贸易公司签订的完整装备系统总体外贸产品合同已完成国外验收交付，同时公司大力扩展民品领域，红外芯片应用业务需求快速释放，营业收入同比+69.3%，归母净利润同比+1059.0%，实现大幅增长。规模效益凸显，盈利能力创历史新高。25Q1-Q3,公司实现毛利率57.9%(同比+5.3pct)，归母净利率19.0%(同比+16.2pct);25Q3公司实现毛利率69.7%（同比+15.1pct，环比+19.3pct），归母净利率35.4%（同比+30.5pct，环比+27.6pct），生产规模效应导致成本摊薄，盈利能力创历史新高。在手订单充足，存货增长保障交付。1）25Q3末，合同负债13.0亿，较25Q2末+149.6%，公司2025年7-10月陆续披露大额中标与合同，新增订单高增，在手订单饱满。2）25Q3末，存货29.8亿，较25Q2末+21.3%，存货高增为未来收入增长提供保障。产品性能获得客户认可，成为某型号红外观测仪第一中标单位。2025年10月13日公司公告中标某型号红外观测仪，且为第一中标单位，后续合同签订后将另行公告。公司竞标成绩优异，充分证明产品性能、可靠性和性价比获得核心客户高度认可，为后续获取更多同类订单奠定坚实基础。盈利预测、估值与评级预计公司2025-2027年营业收入56.8亿/64.8亿/76.9亿，同比+112.1%/+14.2%/+18.5%；归母净利润9.1亿/12.1亿/15.1亿元，同比N/A/+32.9%/+24.6%，对应PE为63.0/47.4/38.0倍。公司作为稀缺的民营导弹主机厂，业务成长性较强，维持“买入”评级。风险提示军贸拓展不及预期；民品市场竞争加剧；利润季节性波动风险。",,国金证券,买入,[None],2025-10-28,,买入,6887432,pdf_downloads/2025/2025-10-28/002414-高德红外（002414）：业绩大超预期，军民用红外景气提速.pdf,002414,高德红外,高德红外（002414）：业绩大超预期，军民用红外景气提速
马强,"高德红外(002414)2025H1业绩同比高增，完整装备系统内销外贸空间广阔事件8月26日，高德红外发布2025年半年报。2025H1，公司实现营业收入19.34亿元，同比增长68%，实现归母净利润1.81亿元，同比增长907%。点评1、型号项目类产品恢复交付，2025H1公司业绩同比高增。2025H1，公司原延期的型号项目类产品恢复交付，与某贸易公司签订的完整装备系统总体外贸产品合同完成国外验收交付，同时公司大力拓展民品市场，红外芯片应用业务需求快速释放，公司实现营业收入19.34亿元，同比增长68%，实现归母净利润1.81亿元，同比增长907%。分产品看，红外综合光电及完整装备系统收入18.66亿元，同比增长70%，传统弹药及信息化弹药收入0.57亿元，同比增长640%。2、毛利率同比基本持平，收入规模增长下四费费率同比降低17.85pcts。2025H1，公司销售毛利率51.02%，同比降低0.38pcts,分产品看，红外综合光电及完整装备系统毛利率51.65%，同比持平，传统弹药及信息化弹药毛利率33.79%，同比提高68.56pcts。费用率方面，2025H1，公司四费费率27.60%，同比降低17.85pcts，其中，销售、管理、研发、财务费用率分别为3.12%、7.11%、17.13%、0.23%，分别同比降低1.78pcts、降低5.02pcts、降低10.74pcts、降低0.31pcts。3、在完整装备系统总体领域，公司已经实现了从某一品类到多品类、多领域、多兵种的跨越式发展，内销外贸空间广阔。2024年3月，公司披露与军贸公司签订完整装备系统总体外贸产品合同金额3.34亿元。2025年7月14日，公司披露与客户签订了某型号完整装备系统总体产品采购协议，协议金额8.79亿元，该协议签订金额为后续将签订的大额订货合同的部分预付价款。2025年7月21日，公司披露分别与某J贸公司、某客户签订了完整装备系统总体外贸产品国内采购合同和某型号光电系统订购合同，合同总金额6.85亿元。2025年8月4日，公司披露与客户签订了某型号完整装备系统总体产品订购合同和某型号装备热像仪产品订购合同，总金额3.07亿元。公司在完整装备系统总体方面的能力和地位已走到了先进行列，完成了从“跟随”到“引领”的跨越。在国际市场，公司已成功跻身国际高端完整装备系统总体供应商之一，打破了西方传统巨头在该领域的长期垄断格局。同时，国际市场的严苛要求和实战化应用经验，将有助于国内完整装备系统总体领域的研发与升级，进一步推动公司相关技术标准的提升和装备性能的优化，将提升公司后续在国内多品类完整装备总体型号项目上的竞争力。我们认为，未来公司完整装备系统内销外贸有望迎来共振发展。4、我们预计公司2025-2027年的营业收入分别为51、61、77亿元，归母净利润分别为6.68、8.54、12.45亿元，对应当前股价PE分别为76、60、41倍，维持“买入”评级。风险提示装备系统交付不及预期；装备价格及盈利能力低于预期；军贸拓展不及预期等。盈利预测和财务指标",,中邮证券,买入,[None],2025-09-30,,买入,6499190,pdf_downloads/2025/2025-09-30/002414-高德红外（002414）：2025H1业绩同比高增，完整装备系统内销外贸空间广阔.pdf,002414,高德红外,高德红外（002414）：2025H1业绩同比高增，完整装备系统内销外贸空间广阔
"严慧,张超",高德红外(002414)事件：公司8月26日公告，2025年H1公司实现营收（19.34亿元，+68.24%），归母净利润（1.81亿元，+906.85%），扣非归母净利润（1.52亿元，+15707.77%），毛利率（51.02%，-0.38pcts），净利率（9.35%，+7.79pcts）。型号项目恢复交付+军贸+民品拓展，营收规模创历史新高2025年H1公司实现营收（19.34亿元，+68.24%）高速增长，收入规模创历史新高，主要系原延期的型号项目类产品恢复交付、外贸产品合同完成验收交付、民品业务需求快速释放等原因所致。归母净利润（1.81亿元，+906.85%）与扣非归母净利润（1.52亿元，+15707.77%）大幅增长，毛利率（51.02%，-0.38pcts）稳中略降，净利率（9.35%，+7.79pcts）有所增长，主要系期间费用率（27.60%，-17.85pcts）明显下降、投资收益增加788.92万元、其他收益（2625.10万元，+20.45%）快速增长等原因所致。从单季度来看，2025年Q2公司实现营收（12.54亿元，同比+83.87%，环比+84.14%）高速增长，归母净利润（0.97亿元，同比+915.86%，环比+16.56%），毛利率（50.50%，+2.62pcts）有所增长，净利率（7.77%，+6.36pcts）有所增长，主要系期间费用率（21.32%，-19.24pcts）明显下降、投资收益增加105.60万元、其他收益（1284.57万元，+7.15%）有所增长等原因所致。此外，根据公司公告，公司2025年以来签订多项合同订单。费用管控能力增强，合同负债及存货显示在手订单充足费用方面，报告期内，三费费用率（10.46%，-7.11pcts）有所下降，具体来看，销售费用率（3.12%，-1.78pcts）、管理费用率（7.11%，-5.02pcts）、财务费用率（0.23%，-0.31pcts）均有所下降。研发费用（3.31亿元，+3.41%）稳定增长，有助于保持核心竞争力。现金流方面，公司经营活动产生的现金流量净额（0.11亿元，同比增加1.35亿元）大幅增加，主要系销售商品、提供劳务收到的现金增加所致；投资活动现金流量净额（-4.84亿元，同比减少1.03亿元）有所减少，主要系本期大额存单购买额大于赎回额所致；筹资活动现金流净额（3.69亿元，同比增加3.93亿元）大幅增加，主要系本期银行贷款较上期增加所致。其他财务数据方面，截至2025年H1，公司合同负债（5.19亿元，+14.51%）快速增长，存货（24.53亿元，+11.07%）快速增长。结合公司以销定产模式，我们判断，公司2025年在手订单整体充裕，正在积极备货备产。基于红外核心器件，内需+外贸+民用多层格局打开市场天花板公司业务涵盖了红外焦平面探测器芯片、红外热像整机及以红外热成像为核心的综合光电系统、完整装备系统总体、传统非致命性弹药及信息化弹药四大业务板块。2025年H1，公司各产品业绩情况如下：（1）红外综合光电及完整装备系统：2025年H1实现营收（18.66亿元，+69.76%）高速增长，营收占比96.47%，毛利率（51.65%，-0.19pcts）基本维持稳定。（2）传统弹药及信息化弹药：2025年H1实现营收（0.57亿元，+640.33%）大幅增长，营收占比2.95%，毛利率（33.79%，+68.56pcts）明显提升。（3）房屋出租：2025年H1实现营收（0.05亿元，+37.67%）快速增长，营收占比0.27%。（4）技术服务：2025年H1实现营收（0.01亿元，-96.47%）大幅下降，营收占比0.06%。（5）其他：2025年H1实现营收（0.05亿元，-37.29%）明显下降，营收占比0.25%。同时，公司积极布局全球市场业务，2025年H1公司海外市场收入（1.22亿元，-30.07%）有所下滑，营收占比6.29%，毛利率（29.16%，-15.14pcts）下降明显。从业务开展情况来看，各业务领域进展如下：（1）型号项目类产品：在完整装备系统总体方面，近期，公司率先研制成功并获得该类系统总体科研生产资质的某型完整装备系统总体型号项目签订了大额采购协议，且为该型号项目当年度的独家供应商。此外公司近期与客户在某新兵种上又签订了该型号完整装备系统总体产品订购合同。出口领域，公司连续获取海外订单，近期与某J贸公司签订了完整装备系统总体外贸产品国内采购合同。此外，公司全资子公司汉丹机电大力开拓外贸市场，紧盯配套市场重点项目。（2）民用产品：在国内市场，公司与南方电网、国家电网等核心客户深化合作，针对输电、变电等巡检场景提供定制化软硬件解决方案。在环保监测、钢铁冶金、石化、应急等领域积极拓展应用场景。户外夜视市场方面，借助短视频平台、垂直社群及大型户外展会，推进热成像产品消费品转型。海外市场方面，针对欧美狩猎市场，推出了新一代双目手持热成像望远镜、红外热成像瞄准镜及融合夜视设备。此外，在产能建设方面，工研院产业园项目建设已经竣工并投入使用。随着新火工区的建成投产，公司非致命弹药及信息化弹药的产能得到进一步释放，为公司完整装备系统总体的批量生产提供了有力保障。投资建议公司作为以技术驱动为核心的高科技企业，构建了从底层红外核心器件，到综合光电系统，再到顶层完整装备系统总体的全产业链科研生产布局，在行业中具备较强的市场竞争力。我们的具体观点及投资建议如下：（1）公司作为能同时批量生产非制冷和制冷两种探测器的民营企业，在红外探测器芯片等核心领域完成了自主可控，具有一定稀缺性；（2）在特种应用领域，伴随公司前期延迟的订单逐步恢复正常采购，公司业绩有望迎来反弹式增长。（3）公司持续深耕民用红外领域新兴细分行业，不断提升行业综合解决方案能力，依托智能感知技术助力各行业数字化转型，进一步扩大市场空间。（4）海外市场的拓展，无论是军贸还是民品出海，都将有利于提升公司海外品牌知名度，使公司整体市场天花板持续抬升。基于以上观点，我们预计公司2025-2027年的营业收入分别为48.22亿元、57.06亿元和65.85亿元，归母净利润分别为4.64亿元、5.66亿元及6.68亿元，EPS分别为0.11元、0.13元、0.16元。基于公司所处行业地位以及未来的发展前景，我们维持“买入”评级。风险提示军品交付不及预期、民品及海外市场拓展持续性不及预期、军工客户采购需求存在波动性。,,中航证券,买入,[None],2025-09-06,,买入,6424896,pdf_downloads/2025/2025-09-06/002414-高德红外（002414）：2025年中报点评：营收规模创历史新高，签订多项重要合同.pdf,002414,高德红外,高德红外（002414）：2025年中报点评：营收规模创历史新高，签订多项重要合同
马浩然,事件：公司发布2025年半年度报告，2025年1-6月实现营业收入19.34亿元，较上年同期增长68.24%；归属于上市公司股东的净利润1.81亿元，较上年同期增长906.85%；基本每股收益0.04元，较上年同期增长909.52%。型号产品屡获订单，内需外贸空间广阔。在完整装备系统总体领域，公司积极投入新J种、新品类的系统总体科研，展现出显著的竞争优势。近期，公司完整装备系统总体项目取得多个新进展，公司率先研制成功并获得该类系统总体科研生产资质的某型完整装备系统总体型号项目签订了大额采购协议，该协议签订金额为后续将签订的大额订货合同的部分预付价款，公司于“十四五”收官之年签订协议且为该型号项目当年度的独家供应商，为公司在“十五五”期间持续承接国家新一代装备研制任务奠定了基础。继上述大额采购协议后，公司于近期与客户在某新兵种上又签订了该型号完整装备系统总体产品订购合同，证明公司研发的该型号完整装备系统总体产品能满足多兵种的差异化需求，体现了公司在完整装备系统总体领域具备提供适应不同平台与环境的通用性技术能力，对公司后续其他品类完整装备系统总体产品在多兵种上实现批量供货产生积极影响。在出口领域，公司已获批多款完整装备系统总体产品的外贸出口立项，与具有相关出口权的J贸公司形成了战略合作关系。近期，公司与某J贸公司签订了完整装备系统总体外贸产品国内采购合同，为后续更多外贸订单的签订奠定了基础。未来公司型号项目业务比重逐步向完整装备系统总体倾斜，内需外贸市场空间十分广阔。民品市场加速拓展，智驾领域取得突破。在民品方面，公司持续深耕红外领域新兴细分行业，积极拓展应用场景。在智能驾驶领域，公司加速推进红外在汽车领域的规模化应用，全力推进与合资车企品牌和主流新势力品牌的技术交流，争取试点项目，建立技术标杆案例，快速推进红外前装规模化应用并于2025上半年前装市场取得新的突破，公司助力猛士新车型817量产上市，正积极推动一汽红旗某重点项目独家定点及北汽某项目攻坚工作。在市场推广方面，公司新获2025全球汽车供应链“品质领航生态伙伴奖”、AIIA2025汽车智能化领航创新奖之“智能感知科技创新奖”、无畏征服·铠甲猛士奖、高工智能汽车2025年度技术领航奖等行业荣誉，品牌影响力持续扩大。盈利预测与投资评级：预计公司2025-2027年的净利润为5.73亿元、8.15亿元、10.35亿元，EPS为0.13元、0.91元、0.24元，对应PE为89倍、62倍、49倍，维持“买入”评级。风险提示：订单增长不及预期；产品交付进度不及预期。,,太平洋证券,买入,[None],2025-09-04,,买入,6390893,pdf_downloads/2025/2025-09-04/002414-高德红外（002414）：型号产品屡获订单，内需外贸空间广阔.pdf,002414,高德红外,高德红外（002414）：型号产品屡获订单，内需外贸空间广阔
杨晨,公司简介高德红外是稀缺的民营导弹主机厂，以高端红外产品起家，并陆续获得WQ装备科研与生产总体资质，现已构建“底层红外核心器件-综合光电系统-顶层完整装备系统总体”的全产业链科研生产布局。2025H1公司预计实现归母净利润1.5亿至1.9亿，同比增速734.73%至957.33%，拐点确立。投资逻辑：稀缺的民营导弹主机厂，受益于低成本弹需求放量：1）低成本弹成为各国武器装备体系关键组成部分，以美国为例，美国导弹弹药采办预算在2015-2026财年CAGR达到13.3%。2）装备总体资质审批严格，公司是民营导弹主机厂，地位稀缺。3）公司盈利能力显著高于已上市的国有导弹主机厂，得益于一体化优势，多次在竞标中胜出。4）导弹十五五进入放量周期，有望长期高景气，公司2025年7月公告8.79亿国内订单，8月5日公告3.07亿国内订单。军贸需求旺盛叠加耗材属性，看好公司海外拓展：1）根据SIPRI，2021-2024年全球导弹出口额由32.28亿TIV增长至58.13亿TIV，CAGR为21.7%；我国导弹性价比高，需求有望增长。2）根据CSBA，美军在四次局部战争的主要空袭行动中，共消耗精确制导弹药约5.4万枚，低成本弹耗材属性显著。3）公司参与航展拓展军贸，2024年以来订单加速，2025年7月披露外贸产品订单6.85亿元。红外全产业链龙头，收购汉丹机电延伸火工品业务：1）红外业务方面，公司具备“探测器-机芯-整机”的全产业链优势，能同时量产制冷和非制冷两类探测器的企业。2）传统弹药业务方面，公司2015年收购非致命地爆装备的唯一定点生产企业汉丹机电，取得火工品牌照，支撑公司取得WQ总体生产资质。盈利预测、估值和评级预计2025/2026/2027年公司实现营收54.4亿/63.0亿/77.7亿元，同比+103.3%/+15.7%/+23.3%；归母净利润6.8亿/8.8亿/12.0亿元，同比N/A/+29.6%/+35.9%，对应EPS为0.16/0.21/0.28元，对应PE为81/62/46倍。参考导弹产业链企业2026年53-91倍PE估值，考虑到公司卡位优势突出，业务成长性较强，给予2026年85倍PE，目标价17.58元。首次覆盖给予“买入”评级。风险提示军贸拓展不及预期；民品市场竞争加剧；利润季节性波动风险。,,国金证券,买入,[None],2025-08-24,,买入,6345543,pdf_downloads/2025/2025-08-24/002414-高德红外（002414）：低成本导弹民企主机厂，国内和海外需求放量在即.pdf,002414,高德红外,高德红外（002414）：低成本导弹民企主机厂，国内和海外需求放量在即
"鲍学博,马强",事件7月21日，公司发布公告，公司近日分别与某J贸公司、某客户签订了完整装备系统总体外贸产品国内采购合同和某型号光电系统订购合同，合同总金额为6.85亿元人民币。点评1、公司连续获得海外订单，体现了国际市场对公司作为可靠、先进完整装备系统总体供应商地位的肯定。目前，公司已获批多款完整装备系统总体产品的外贸出口立项，与具有相关出口权的J贸公司形成了战略合作关系。近日，公司分别与某J贸公司、某客户签订了完整装备系统总体外贸产品国内采购合同和某型号光电系统订购合同，合同总金额6.85亿元人民币。本次与客户签订的合同，是公司继前次完整装备系统总体型号项目在海外实现批量订货后，在海外市场取得的又一大批量订单。公司连续获得海外订单，体现了国际市场对公司作为可靠、先进完整装备系统总体供应商地位的肯定，为后续更多外贸订单的签订奠定了基础。2、在完整装备系统总体领域，公司已经实现了从某一品类到多品类、多领域的跨越式发展，内销外贸空间广阔。2024年3月，公司披露与军贸公司签订完整装备系统总体外贸产品合同金额3.34亿元。2025年7月14日，公司披露与客户签订了某型号完整装备系统总体产品采购协议，协议金额8.79亿元，该协议签订金额为后续将签订的大额订货合同的部分预付价款。2025年7月21日，公司披露分别与某J贸公司、某客户签订了完整装备系统总体外贸产品国内采购合同和某型号光电系统订购合同，合同总金额6.85亿元。公司在完整装备系统总体方面的能力和地位已走到了先进行列，完成了从“跟随”到“引领”的跨越。在国际市场，公司已成功跻身国际高端完整装备系统总体供应商之一，打破了西方传统巨头在该领域的长期垄断格局。同时，国际市场的严苛要求和实战化应用经验，将有助于国内完整装备系统总体领域的研发与升级，进一步推动公司相关技术标准的提升和装备性能的优化，将提升公司后续在国内多品类完整装备总体型号项目上的竞争力。我们认为，未来公司完整装备系统内销外贸有望迎来共振发展。3、公司发布2025年半年度业绩预告，业绩拐点凸显。公司2025年上半年预计实现归母净利润1.5-1.9亿元，同比增长735%-957%，主要是由于原延期的型号项目类产品恢复交付，且与某贸易公司签订的完整装备系统总体外贸产品合同已完成国外验收交付，同时公司大力扩展民品领域，红外芯片应用业务需求快速释放，营业收入大幅增长，销售规模的增长带来利润同步增长。我们认为，下半年在公司完整装备系统总体产品开始大批量交付的情况下，公司业绩将进一步加速增长。4、我们预计公司2025-2027年的营业收入分别为51、61、77亿元，归母净利润分别为6.68、8.54、12.45亿元，对应当前股价PE分别为69、54、37倍，维持“买入”评级。风险提示装备系统交付不及预期；装备价格及盈利能力低于预期；军贸拓展不及预期。,,中邮证券,买入,[None],2025-07-25,,买入,6250037,pdf_downloads/2025/2025-07-25/002414-高德红外（002414）：海外市场再签大批量订单，完整装备系统内销外贸空间广阔.pdf,002414,高德红外,高德红外（002414）：海外市场再签大批量订单，完整装备系统内销外贸空间广阔
