author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"姚雪梅,樊俊豪","2026年1月27日│中国内地 饲料 公司近期上调2025-2027年未来三年分红率由30%至50%，并向香港联交所递交了海外业务分拆上市的申请文件。我们认为，当前市场对海大集团国内业务的分红价值以及海外成长空间仍有预期差，公司2025年国内饲料主业超额优势进一步放大，且单吨盈利壁垒稳固，此外，公司饲料出海持续高增长，港股上市将加快公司海外产能布局、理顺海外管理与激励思路。重点推荐国内长期超额优势向分红价值转化、海外盈利水平&成长性双高的稀缺资产海大集团，维持“买入”评级。国内主业优势稳固，自由现金流、分红率有望回升（1）公司国内饲料主业竞争力进一步放大，我们预测，海大集团2025年国内饲料外销量增长约20%，大幅超出行业约6%的增速，市占率加速提升；在激烈的市场竞争下，公司饲料吨毛利长期韧性突出，以2015年为基期，25H1主要饲料上市公司饲料吨毛利下降190元，海大集团仅微降6元。我们认为，公司2030年实现国内4430万吨饲料产销量目标的确定性不断增强，且随公司饲料组织架构进一步专业化，公司饲料单吨费用与折旧在2025年取得明显边际进展后仍有优化空间。（2）从自由现金流角度看，公司国内饲料板块新增资本开支有限，且公司近三年净偿债现金流大幅增加，截至25Q3有息负债率已降至8.5%，随公司国内饲料主业持续稳步增长，自由现金流有望持续释放，公司上调2025-2027年未来三年分红率由30%至50%，国内主业长期竞争优势将逐步向分红价值转化。出海成长路径清晰，港股募资加速海外产能布局（1）全球饲料市场容量可观，根据Alltech统计，2024年全球饲料产量13.96亿吨，除去中国后，海外饲料市场容量10.81亿吨。非洲、南美洲、东南亚地区2019-2024年饲料产量复合增速分别达4.8%、4.1%、2.7%。且随着人口与人均蛋白消费增长未来或持续呈现更快的增长。（2）海大集团凭借其国内成熟的苗-料-药业务协同体系，海外饲料体量快速成长，我们预计，2022-2025年公司海外饲料销量复合增速约35%；2012年公司在越南开启布局，目前已成为越南水产料龙头，海外竞争力得到验证。且由于海外竞争格局更优，公司海外毛利率、净利率、ROE均高于国内。（3）我们认为，公司通过海外业务分拆上市，将进一步理顺海外管理与激励思路，使得中期规划更加清晰且有望加速落地。公司计划2028年前在关键战略地区越南、印尼、埃及和厄瓜多尔等饲料产能提升300万吨，并通过规模效应进一步降本；在新兴市场泰国、马来西亚和尼日利亚等新增产能110万吨。总体来看，2025年底公司海外饲料产能约480万吨，预计2028年前饲料产能扩建410万吨，达到约890万吨，我们认为，公司2030年海外720万吨销量目标有望超量完成，且海外盈利水平&成长性双高，进一步平滑国内养殖-饲料周期。盈利预测与估值我们调整公司2025-2027年归母净利润为44.93/48.33/68.0亿元（前值50.21/54.80/70.38亿元，调整幅度为-10.52%/-11.82%/-3.39%）,调整盈利预测主要系猪价及其预期调整，2025年四季度猪价加速下跌，且根据国家统计局数据，2025年底行业能繁母猪存栏3961万头，相当于正常保有量的101.6%，对应后续供给仍偏多，下调2026-2027年的猪价预期及盈利预测。参考可比公司 2026 年预期均值20.6xPE，考虑到公司饲料主业超额优势突出，出海表现亮眼，分红回报逐渐提升，给予公司2026年23.8xPB，维持目标价为69.10元，维持“买入”评级。风险提示：异常天气、动物疫病导致饲料需求大幅下滑，海外政治经济风险，公司销量或产能建设进度不达预期等。",,华泰证券,买入,[None],2026-01-28,,买入,8367080,pdf_downloads/2026/2026-01-28/002311-海大集团（002311）：国内价值属性增强，海外持续高成长.pdf,002311,海大集团,海大集团（002311）：国内价值属性增强，海外持续高成长
程晓东,"事件：公司近日发布2025年3季报。2025年前3季度，公司实现营收960.94亿元，同比增长13.24%；归母净利润为41.42亿元，同比增长14.31%；扣非后归母净利润为41.77亿元，同比增长18.71%；基本EPS为2.49元。其中，3季度单季实现营收372.63亿元，同比增长14.43%；归母净利润为15.03亿元，同比增长0.34%；扣非后归母净利润为15.22亿元，同比增长2.49%；点评如下：饲料主业延续增长势头。3季度，公司饲料业务规模增长且进入旺季，增长势头良好。单3季度，公司收入同比增速为14.43%，延续了2季度的良好增速势头；销售毛利率和销售净利率为10.18%和4.28%，两项指标数值均处于近4年来同期的次高水平，仅低于2024年同期。饲料业务近年来在海外市场的产能扩张步伐较快，产能快速爬坡带来了饲料产销量的持续增长，发展目标是到2030年饲料销量达5150万吨，其中海外市场饲料外销中期目标为720万吨。海外市场业务拟分拆上市，进入崭新发展阶段。公司拟将控股子公司海大控股分拆至香港联交所主板上市。本次分拆实施前，公司拟将下属境外与饲料、种苗和动保产品生产经营相关的子公司股权重组至海大控股旗下，目前相关重组工作尚在推进过程中。根据海大控股最近三年模拟合并财务数据，2022-2024年，海大控股营业收入分别为70.68亿元、90.97亿元和117.04亿元，海大控股净利润分别为2.94亿元、5.31亿元和7.55亿元。分拆完成后，海大控股主营业务聚焦于亚洲（不含东亚）、非洲和拉丁美洲三个地区。公司在这些境外地区的业务正处于资本密集型的高速扩张期，需要持续的资金投入。我们认为，此次分拆符合公司国际化发展战略，通过分拆于香港联交所上市，不仅可以境外募集资金用于上述区域建设现代化饲料生产基地，还可以利用香港国际化平台的优势，吸引更多的境外投资者，进一步提升公司在国际市场的品牌知名度和影响力，增强国际消费者和合作伙伴对公司的了解，有利于进一步拓展境外市场，因此对其海外业务发展前景十分看好。盈利预测及评级：给予“增持”评级。预计公司25-26年归母净利润为50.14/61.6亿元，摊薄EPS为3.01/3.7元，对应PE为19.4/15.8倍,给予“买入”评级。风险因素：猪价变化不达预期，饲料销量增长不达预期",,太平洋证券,增持,[None],2025-11-04,,增持,7385513,pdf_downloads/2025/2025-11-04/002311-海大集团（002311）：饲料主业延续增长势头，海外业务发展进入新阶段.pdf,002311,海大集团,海大集团（002311）：饲料主业延续增长势头，海外业务发展进入新阶段
娄倩,事件海大集团发布2025年三季度报告，2025年前三季度公式实现营收961亿元，同比+13%，实现归母净利润41.4亿元，同比+14%。其中单三季度实现营收 373 亿元，同比+14%，实现归母净利润15.0亿元，同比+0.3%公司拟将其下属境外饲料、种苗及动保业务重组至海大控股，并计划分拆其至香港联交所主板上市。投资要点国内饲料业务稳步增长，海外业务持续高速发展2025年三季度，公司整体业绩延续增长态势，前九月实现营收960.94亿元同比+13.24%、归母净利润41.42亿元，同比+14.31%，核心驱动来自饲料主业。国内饲料业务预计持续稳步增长，海外饲料业务延续高增长态势，2022-2024年海外饲料业务增速分别为21.53%/27.47%/31.13%；生猪养殖方面，配合“公司+农户”等创新养殖模式，业务持续稳定发展。聚焦海外业务独立性，释放管理与融资双动能公司拟将下属境外饲料、种苗及动保业务重组至海大控股，并分拆其至香港联交所主板上市。从分拆业务基本面看，海大控股聚焦亚洲（不含东亚）、非洲及拉丁美洲市场，上述区域为海外市场贡献了较大的增长份额，其中2024年越南、印尼市场销量分别增长超25%/40%。海大控股2022-2024年实现营业收入70.68/90.97/117.04亿元，2023、2024年同比均增长29%，2022-2024年实现净利润分别为 2.94/5.31/7.55亿元，2023年、2024年同比增长81%、42%。海外业务的独立管理与融资将打破发展瓶颈：独立的管理架构能减少内部决策链条，提高管理效能，提升对当地市场的反应速度；此外，香港资本市场的融资平台提供更大的融资渠道，用于海外产能建设与市场拓展，进一步提升海外业务品牌影响力，为后续全球化布局奠定基础。管理优势提供核心支持，增长势能持续强化公司通过建立动物营养数据库、实行高效集中采购的措施不断增强管理效能，并转化为成本优势。饲料业务作为主要增长动能，预计2030年将达到超5000万吨的总销量。国内饲料业务受益于水产养殖景气度回升及生猪养殖行业复苏等因素，持续稳步增长；海外业务则借助分拆上市的管理与融资红利，有望在公司原2030年计划销量720万吨的基础上实现更佳表现；公司构筑饲料主业稳增长、海外业务高增速、养殖业务补充发展的三维增长格局，具有强大的长期发展稳定性。盈利预测公司在国内外具有较大发展潜力，我们预计公司2025-2027年归母净利润分别为50.5/58.2/68.2亿元，EPS分别为3.04/3.50/4.10元，PE分别为18.9/16.4/14.0倍，首次覆盖并给予“买入”评级。风险提示宏观经济环境风险、市场竞争风险、汇率波动风险、原材料价格波动风险等。,,华鑫证券,买入,[None],2025-10-30,,买入,7037591,pdf_downloads/2025/2025-10-30/002311-海大集团（002311）：公司事件点评报告：国内外饲料业绩优秀，分拆上市增强海外发展潜力.pdf,002311,海大集团,海大集团（002311）：公司事件点评报告：国内外饲料业绩优秀，分拆上市增强海外发展潜力
"鲁家瑞,李瑞楠,江海航",饲料主业经营稳健，中期目标2030年实现5150万吨饲料总量布局。公司2025年前三季度实现营收960.94亿元，同比+13.24%；实现归母净利润41.42亿元，同比+14.31%。其中，2025Q3单季营收372.63亿元，同比+14.43%，归母净利润15.04亿元，同比+0.34%。分业务看，公司饲料主业表现强劲，销量延续增长，其中，水产料受益于行业景气度回升；猪料积极开发大客户，卓有成效。据公司公告，公司中期坚定2030年达到5150万吨销售总量的目标，未来将稳步提升国内产能利用率和市场份额，同时加快海外饲料业务的拓展。海大控股拟分拆至港上市，进一步助力国际化战略推进。2025上半年，公司海外饲料销量延续高增态势，同比增速约40%，另外据公司公告，拟将控股子公司海大控股分拆至香港联交所主板上市，并且在分拆实施前，拟将下属境外与饲料、种苗和动保产品生产经营相关的子公司股权重组至海大控股旗下，有望进一步拓宽公司融资渠道，提升国际影响力，助力公司国际化发展战略。海大集团自2011年底开始以越南水产料市场作为切入点进军海外市场，依托“饲料、种苗、动保、服务体系”等专业能力，有望从饲料产品力单维的优势逐步向产业链的多维优势多元拓展，并通过赋能当地养户，逐步在东南亚、非洲、南美扩大影响力，将国内成熟的竞争范式和核心优势复制到海外市场。期间费用率同比下降，管理经营效率有望优化。公司2025年前三季度销售费用率同比-0.06pct至2.33%，管理+研发费用率同比-0.11pct至3.41%，财务费用率同比-0.15pct至0.21%。公司重视组织管理效率提升，充分发挥中台管理优势，通过构建“采购+研发+销售+生产”四位一体管理模式，确保内部快速联动，提高市场影响力，并推行三级研发体系，确保技术成果前瞻性、可持续输出及快速转化，能最大程度促进管理及研发效率加强，管理水平有望持续提升。风险提示：天气异常及疫病影响饲料行业阶段性波动的风险。投资建议：给予“优于大市”。公司管理层优势显著，在做专做稳主业的基础上，有序尝试、布局新业务。我们维持盈利预测，预计公司2025-2027年归母净利分别为51.61/58.68/66.65亿元，EPS分别为3.10/3.53/4.01元。,,国信证券,优于大市,[None],2025-10-28,,买入,6918408,pdf_downloads/2025/2025-10-28/002311-海大集团（002311）：2025 年三季报点评：饲料主业经营稳健，国际化战略稳步推进.pdf,002311,海大集团,海大集团（002311）：2025 年三季报点评：饲料主业经营稳健，国际化战略稳步推进
"王明琦,马鹏","事件公司披露2025年第三季度报告，公司Q3实现营收372.63亿元（同比+14.43%），归母净利润15.04亿元（同比+0.34%）。公司拟将其控股子公司海大控股分拆至中国香港联交所主板上市。利润率小幅下降，各项费用率同比下降2025Q3公司销售毛利率为10.18%（同比-1.45pct）,销售净利率为4.28%（同比-0.52pct）。2025Q3公司销售/管理/研发/财务费用率分别为2.20%/2.27%/0.54%/0.15%，同比分别下降0.15/0.35/0.22/0.14pct。主业表现强劲，猪价低迷影响短期分部业绩今年以来下游水产品价格整体表现高景气，存塘量增长带动饲料需求增加，公司水产料恢复增长。前期生猪养殖端盈利可观，刺激补栏需求释放，猪料需求强劲。公司发挥自身优势保障禽料销售高增。海外市场逐渐布局完善带动海外饲料高增。8月下旬开始猪价连续下跌，进而影响公司分部业绩表现。分拆上市有望加快海外业务发展公司拟将其控股子公司海大控股分拆至中国香港联交所主板上市，拟分拆主体海大控股未来将聚焦在亚洲（不含东亚）、非洲和拉丁美洲三个地区独立经营饲料、种苗和动保业务。我们认为此举将有望进一步加快公司海外业务发展，进而为公司提供第二增长曲线。持续聚焦主业，维持“买入”评级我们预计公司2025-2027年营业收入分别为1285.99/1477.50/1611.61亿元，同比分别+12.21%/+14.89%/+9.08%；归母净利润分别为50.25/54.55/61.37亿元，同比增速分别为11.57%/8.56%/12.50%，EPS分别为3.02/3.28/3.69元。公司持续聚焦主业发力，优势显著，维持“买入”评级。风险提示：水产品价格波动风险、水产养殖病害及自然灾害风险、原材料价格波动风险。",,国联民生证券,买入,[None],2025-10-23,,买入,6696294,pdf_downloads/2025/2025-10-23/002311-海大集团（002311）：业绩表现稳定，海外业务拟港股上市.pdf,002311,海大集团,海大集团（002311）：业绩表现稳定，海外业务拟港股上市
"陈雪丽,王高展",饲料销量延续增长，分拆上市助力公司海外发展，维持“买入”评级海大集团发布2025年三季报，2025Q1-Q3营收960.94亿元，同比+13.24%，归母净利润41.42亿元，同比+14.31%，其中2025Q3营收372.63亿元，同比+14.43%，归母净利润15.04亿元，同比+0.34%。2025Q1-Q3毛利率11.13%，同比-0.20pct，净利率4.54%，同比+0.07pct。我们维持2025-2027年盈利预测，预计2025-2027年归母净利润51.48/57.39/61.72亿元，对应EPS为3.09/3.45/3.71元，当前股价对应PE为19.1/17.1/15.9倍，公司饲料销量延续增长，分拆上市助力公司海外发展，维持“买入”评级。公司饲料销量延续增长吨利改善，持续推动生猪养殖成本下降饲料业务方面，2025Q1-Q3公司饲料业务总销量同比增长440万吨，同比+24%，其中水产料、猪料、禽料销量分别同比增长90、170、180万吨。预计公司2025全年国内饲料销量同比+20%，海外销量同比+40%。2025Q3受益于产品结构变化，公司饲料单吨净利同比+10元/吨。公司饲料销量延续增长吨利改善，海外饲料销量增长动能强劲持续成长。生猪养殖方面，2025Q3公司实现生猪出栏约150万头，预计2025全年生猪出栏640-650万头。2025Q3公司生猪综合养殖成本约13元/公斤，其中自繁自养成本12.2-12.4元/公斤，预计2026Q1自繁自养成本降至12元/公斤，公司生猪出栏稳健增长，持续提升养殖水平推动养殖成本下降。分拆海大控股港股上市助力海外业务发展，公司整体估值水平有望提高2025年10月17日公司公告拟分拆控股子公司海大控股至港交所主板上市，分拆前海大集团将把下属境外与饲料、种苗和动保产品生产经营相关的子公司股权重组至海大控股旗下。海大控股未来将聚焦在亚洲（不含东亚）、非洲和拉丁美洲三个地区独立经营饲料、种苗和动保业务，2024年海大控股模拟合并净利润7.55亿元，同比+42%。分拆上市有助于提升海大控股融资能力及海大集团整体估值水平，海大控股的财务状况和盈利能力仍将反映在海大集团合并报表中。风险提示：猪价下行、饲料原料价格波动、动物疫病风险。,,开源证券,买入,[None],2025-10-21,,买入,6675874,pdf_downloads/2025/2025-10-21/002311-海大集团（002311）：公司信息更新报告：饲料销量延续增长，分拆上市助力公司海外发展.pdf,002311,海大集团,海大集团（002311）：公司信息更新报告：饲料销量延续增长，分拆上市助力公司海外发展
"张斌梅,沈嘉妍",业绩符合预期，分拆上市助力海外业务快速发展公司发布2025年三季度报告。2025年第三季度公司实现收入372.63亿元，同比增长14.43%，实现归母净利润15.04亿元，同比增长0.34%，扣非净利润15.23亿元，同比增长2.49%。业绩符合预期，饲料主业销量实现较好增长。公司三季度饲料销量延续上半年良好的增长态势，同时公司积极开拓海外市场，海外地区上半年饲料外销量同比增长约为40%，已有布局区域发展稳健，积极开拓新区域，三季度海外也延续上半年良好的增长态。展望未来，公司将紧咬战略目标2030年达到5150万吨销售总量，稳步提升国内产能利用率和市场份额，进一步加快海外饲料业务的拓展，目标清晰，可兑现度高。生猪养殖业务稳健推进。专业能力持续提升，公司摸索并推行“外购仔猪、公司+家庭农场、锁定利润、对冲风险”的运营模式，生猪套保业务实现60%良好利润。在生猪养殖成本持续进步之下，2025年全年公司生猪养殖业46%务有望实现较好利润。32%同时公司拟将控股子公司海大控股分拆至香港联交所主板上市，助力海外18%业务快速发展。近几年公司海外业务发展快速，根据海大控股近三年模拟4%合并财务数据，2022-2024年，营业收入分别为70.68亿元、90.97 亿元、117.04 亿元，净利润分别为2.94亿元、5.31亿元和7.55亿元，本次分-10%拆上市将拓宽公司融资渠道，将进一步加快公司境外饲料业务的发展。公司原规划 2030年海外饲料销量达到720万吨，本次分拆上市有助于公司作者达成规划并挑战更高目标。同时，海大控股可在国际资本市场获得与其增长阶段、风险特征和盈利前景更合理和更精准的独立估值，从而有望提升上市公司整体估值水平。投资建议：我们预计2025/2026/2027年公司实现归母净利润分别为49.6/56.9/67.1亿元，同比增长分别10.2%/14.7%/17.9%，对应2025年21xPE，维持“买入”评级。风险提示：饲料需求下降风险、生猪价格波动风险、猪病风险。,,国盛证券,买入,[None],2025-10-21,,买入,6672354,pdf_downloads/2025/2025-10-21/002311-海大集团（002311）：业绩符合预期，分拆上市助力海外业务快速发展.pdf,002311,海大集团,海大集团（002311）：业绩符合预期，分拆上市助力海外业务快速发展
魏红梅,事件：公司发布了2025年三季报。公司2025年前三季度实现总营业收入960.94亿元，同比增长13.24%；实现归母净利润41.42亿元，同比增长14.31%；实现扣非后归母净利润41.77亿元，同比增长18.71%。业绩符合预期。点评：公司饲料销量保持较快增长。2025Q3，公司实现营业总收入和归母净利润分别为372.63亿元和15.04亿元，分别同比增长14.43%和0.34%；收入持续保持较快增长，主要得益于饲料销量保持较快增长，其中外销饲料数量实现快速增长；净利润增速有所回落，主要受投资收益下降拖累。毛利率略有下降，净利率均略有提升。2025年前三季度，公司综合毛利率同比下降0.2个百分点至11.13%；期间费用率同比下降0.33个百分点至5.94%，其中销售费用率、管理费用率和财务费用率分别同比下降0.06个百分点、0.12个百分点和0.15个百分点，分别达到2.33%、3.4%和0.21%；受益于费用率下降，净利率同比提升0.07个百分点至4.54%。持续推进国际化战略。在东南亚地区，公司以越南、印尼为核心，已在积极拓展孟加拉国、柬埔寨、缅甸等市场；在非洲，以埃及作为桥头堡，逐步向东非、中非市场延伸，目前已在积极开拓尼日利亚、坦桑尼亚、乌干达等市场；在南美洲地区，公司以厄瓜多尔为根据地，已组建团队准备开拓巴西、智利等周边国家。在市场竞争上，目前海外很多地区仍处于饲料产品自身单一维度的竞争，激烈程度小于国内。公司饲料产品力已在国内激烈市场竞争中磨炼出来，在各个环节均已形成强大的专业能力，所以饲料产品力在海外当地市场均具有很强的竞争力；同时，公司对海外市场未来竞争将发生的变化有充分的准备，已投入资源和团队，在海外逐步布局种苗、动保产业，提前匹配客户和市场未来的竞争需要，国内成熟的竞争范式和核心优势复制到海外市场。投资建议：预计公司2025—2026年EPS分别为3.07元和3.47元，对应PE分别为20倍和18倍。公司是国内饲料龙头，持续推进核心能力建设、规模扩张及国际化战略，竞争优势有望不断增强。维持对公司的“买入”评级。风险提示：竞争加剧、原材料价格波动、汇率波动、国际化战略推进不及预期等风险。,,东莞证券,买入,[None],2025-10-20,,增持,6660780,pdf_downloads/2025/2025-10-20/002311-海大集团（002311）：2025年三季报点评：收入保持较快增长.pdf,002311,海大集团,海大集团（002311）：2025年三季报点评：收入保持较快增长
"林逸丹,王艳君,巩健,蔡子慕",维持增持评级。基于公司在国内的龙头地位，以及公司海外业务的快速发展，我们调整公司25-27年EPS为3.21/3.57/4.43元，前次预测分别为3.22/3.68/4.81元。参考可比公司，并考虑公司水产饲料业务更高盈利能力，及公司龙头地位，及海外业务的快速发展，给予估值溢价，给予公司2025年PE 23X，调整目标价至73.7元。海大集团发布25年三季报，25年前三季度实现营业收入960.9亿元，同比+13.2%，实现归母净利润41.4亿元，同比+14.3%。其中25Q3实现营业收入372.6亿元，同比+14.4%，实现归母净利润15.0亿元，同比+0.3%。饲料业务优势持续凸显，生猪养殖或拖累业绩。我们预计公司Q3饲料销量或保持了25年年初以来的高增态势，同时三季度是水产饲料旺季，公司整体饲料盈利或保持在较高水平。25Q3猪价整体低迷，特别是相比于去年Q3下降明显，或是公司Q3归母净利润同比增速较上半年有所下降的主要拖累。海外业务分拆上市。公司计划将境外与饲料、种苗和动保产品生产经营相关的子公司股权重组至海大控股旗下，并将海大控股分拆至香港联交所主板上市，发行规模将在符合相关规定的前提下不超过海大控股总股本的25%。分拆上市后，有助于拓宽公司融资渠道，有利于借助国际资本市场的资源与机制优势，加快境外业务的发展，进而提升上市公司整体盈利能力。风险提示。养殖疫病，需求不及预期，海外不可控风险。,,国泰海通,增持,[None],2025-10-20,,买入,6654267,pdf_downloads/2025/2025-10-20/002311-海大集团（002311）：25年三季报点评：海外业务分拆上市，发展有望提速.pdf,002311,海大集团,海大集团（002311）：25年三季报点评：海外业务分拆上市，发展有望提速
王莺,"主要观点：2025年1-9月公司归母净利41.4亿元，同比+14.3%公司公布三季报：2025年1-9月，实现收入960.9亿元，同比+13.2%，实现归母净利润41.4亿元，同比+14.3%，扣非后归母净利润41.8亿元，同比+18.7%；2025年三季末资产负债率47.8%，同比-7.8pct。分季度看，2025Q1-Q3公司分别实现收入256.3亿元、332.0亿元、372.6亿元，同比分别+10.6%、+14.0%、14.4%；分别实现归母净利润12.8亿元、13.6亿元、15.0亿元，同比分别+49.0%、+7.3%、+0.3%，Q3净利润增速放缓与生猪业务亏损相关。2025年饲料外销增量有望突破500万吨，海外市场维持高增长1H2025公司饲料销量约1,470万吨（含内销105万吨），同比+25%，饲料外销增量约284万吨，其中，禽料外销量同比+24%、猪料外销量同比+43%、水产料外销量同比+16%。Q3公司水产料、猪料外销量延续上半年快速增长态势，禽养殖亏损带来行业减产，Q3禽料销量同比增速放缓，我们预计2025年公司饲料外销增量将突破500万吨。公司在海外市场已形成以越南、印尼为核心的东南亚市场，以埃及为桥头堡的非洲市场，以及以厄瓜多尔为据点的拉丁美洲市场布局，1H2025公司海外饲料外销量同比+40%，Q3仍保持高速增长。公司在成熟的采购、技术、服务等产品竞争优势基础上，结合当地养殖实际需求进行针对性改良、升级，在海外逐步布局种苗、动保产业，提前匹配客户和市场未来的竞争需要，将国内成熟的竞争范式和核心优势复制到海外市场，将目前海外“饲料产品力+服务体系”两个维度的竞争优势拓展到“优质种苗、优质饲料、优质动保、健康养殖模式、全面养殖管理指导”的养殖全链条多维竞争优势。分拆上市预案发布，海大控股将聚焦并深耕海外市场发展海大集团发布《关于分拆所属子公司海大国际控股有限公司至香港联交所主板上市的预案》。本次分拆实施前，海大集团拟将下属境外与饲料、种苗和动保产品生产经营相关的子公司股权重组至海大控股旗下；分拆完成后，海大集团将长期保持对海大控股的绝对控股，并承诺自海大控股于香港联交所上市日起5年内，持有海大控股股权比例不低于75%。海大控股未来将聚焦并进一步深耕亚洲（不含东亚）、非洲和拉丁美洲三个地区，独立经营饲料、种苗和动保业务，分拆有助于海大控股专注于海外市场，并增强其经营、激励的独立性。海大控股最近三年模拟合并财务数据：2022-2024年，营业收入分别为70.68亿元、90.97亿元和117.04亿元，净利润分别为2.94亿元、5.31亿元和7.55亿元；2022-2024年末，资产总额分别为43.8亿元、51.95亿元和64.04亿元，净资产分别为12.08亿元、30.01亿元和38.33亿元。投资建议2025年1-9月公司饲料外销量同比快速增长，全年增量目标有望突破500万吨，其中，海外饲料销量有望维持40%高速增长。我们预计，2025-2027年公司饲料外销量分别达到2953万吨、3246万吨、3567万吨，同比分别增长20.9%、9.9%、9.9%，生猪出栏量648万头、648万头、680万头，同比分别增长8%、0%、5%，公司实现主营业务收入1414.77亿元、1598.36亿元、1811.64亿元，同比分别增长23.5%、13.0%、13.3%，实现归母净利润50.12亿元、57.99亿元、62.24亿元，同比分别增长11.3%、15.7%、7.3%，归母净利润前值2025年51.58亿元、2026年55.02亿元、2027年59.09亿元，本次下调主要原因是，调整了2025-2027年饲料销量、饲料吨利、生猪出栏量和猪价预期，维持“买入”评级不变。风险提示疫情；畜禽价格持续低迷；原材料价格大涨。",,华安证券,买入,[None],2025-10-19,,买入,6650061,pdf_downloads/2025/2025-10-19/002311-海大集团（002311）：饲料增量有望突破500万吨，分拆上市计划助力海外发展.pdf,002311,海大集团,海大集团（002311）：饲料增量有望突破500万吨，分拆上市计划助力海外发展
