author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"林珊,沈晓峰","2025年8月31日│中国内地 港口 上港集团公布1H25业绩：1）营收195.7亿元，同比下降1.4%；2）归母净利80.4亿元，同比下降4.5%；3）扣非归母净利73.7亿元，同比增长2.1%。上半年全球贸易受关税和地缘事件扰动，但公司港口主业经营凸显韧性。1H25公司集装箱吞吐量同比增长6.1%至2,707万标准箱，连续十五年排名世界第一。其他业务方面，上半年投资收益44.3亿元，同比增长16.5%，主要得益于邮储银行/上海银行/东方海外国际等合联营公司盈利向好推动。展望下半年，尽管宏观经济仍存不确定性，我们预计港口主业环比有望保持平稳；中长期，公司持续推进集枢运体系建设，推动上海国际航运中心能级全面跃升和深化长江战略，维持“买入”。集装箱板块表现稳健，港口物流及服务板块收入高增1H25：1）集装箱板块营收85.8亿元，同比+6.3%；毛利40.2亿元，同比+6.9%；毛利率46.9%，同比+0.3pct。尽管上半年受关税扰动，但公司集装箱装卸业务表现稳健。2）港口物流板块营收69.4亿元，同比+23.9%；毛利19.2亿元，同比+38.5%；毛利率27.7%，同比+2.9pct。3）港口服务板块营收36.4亿元，同比+78.4%；毛利7.6亿元，同比+11.6%；毛利率20.9%，同比-12.6%。港口物流及服务板块毛利显著增长主因公司持续加强发展港口配套等相关增值服务。展望下半年，我们预计关税影响边际减弱，港口主业环比有望保持平稳。多元业务发展，投资收益增长亮眼，1H25公司实现投资收益共计44.3亿元，同比增长16.5%，占公司归母净利比重为55.1%。其中来自邮储银行/上海银行/东方海外国际投资收益18.7亿/11.1亿/6.0亿元，同比+9.6%/+6.3%/+13.3%，收益向好。我们看好公司除港口主业外，在其他产业多元布局，为公司贡献盈利增长。全球航运地位巩固，多因素推动港口中长期发展随着上海港口可持续发展能力和服务水平的提升，依托长三角、长江流域及淮河经济腹地，辐射“一带一路”和长江经济带的主枢纽港地位不断巩固提升，上海港外贸航线连通度蝉联全球第一。多式联运方面，公司深化推进空箱中心建设、沿海捎带业务、中转集拼业务等重点项目。上半年完成海铁联运51.0万标准箱，同比增长19.4%。上调25-27年盈利预测和目标价至6.9元考虑中期稳健的港口业绩表现和向好的投资收益贡献，我们上调25/26/27年净利预测9%/9%/8%至153.9亿/156.3亿/160.5亿元；基于10.5x 25E PE（公司历史三年PE均值），上调目标价3%至6.9元（前值基于11.0x 25E PE），维持“买入”。风险提示：全球经济衰退；投资收益不及预期；自然灾害；地缘政治风险。",,华泰证券,买入,[None],2025-08-31,,买入,6371604,pdf_downloads/2025/2025-08-31/600018-上港集团（600018）：港口主业显韧性，投资收益亮眼.pdf,600018,上港集团,上港集团（600018）：港口主业显韧性，投资收益亮眼
"吴一凡,梁婉怡,吴晨玥,霍鹏浩,卢浩敏",公司公告2024年年度报告：1）实现营业收入约381.17亿元，同比增长1.51%；实现归属于上市公司股东的净利润约149.54亿元，同比增长13.26%；扣非归母净利润132.77亿元，同比增长5.63%。2）盈利指标：2024年销售毛利率35.5%，同比减少1.9个百分点，销售净利率42.14%，同比增长4.84个百分点，扣非销售净利率34.83%，同比增长1.36个百分点，ROE11.22%，同比增长0.5个百分点。3）按季度看，2024Q1-4分别实现营业收入89.5、108.9、91.9、90.9亿元，同比+17%、+28.6%、-18.8%、-10.2%；实现归母净利润37、47.2、34、31.4亿元，同比+4.1%、+25%、-15.8%、+70.5%；实现扣非归母净利润32.9、39.3、33.4、27.2亿元，分别同比-1.5%、+6.6%、-13.2%、+60.4%。4）2024年度利润分配方案，每股派发现金红利0.145元（含税），占归母净利润比例为30.36%。集装箱板块：母港集装箱吞吐量完成5150.6万标准箱，同比增长4.8%。洋山港区集装箱吞吐量完成2600.3万标准箱，同比增长4%，占全港集装箱吞吐量的50.5%。公司成为全球首个年吞吐量超过5000万标准箱的世界大港，并连续十五年保持世界首位。水水中转比例再创新高，全年实现61.5%，完成3167.6万标准箱。集装箱板块实现营业收入157.25亿元，同比+0.7%，毛利率41.7%，同比减少2.11个百分点，净利润57.23亿元，同比减少13.26%。散杂货板块：母港散杂货吞吐量完成8730.7万吨，同比增长2.7%。营业收入16亿元，同比增长3.46%，毛利率26.22%，同比增长4.34个百分点，净利润2.81亿元，同比增长137.09%。港口物流板块：营业收入122.12亿元，同比增长11.53%，毛利率25.88%，同比增加3.42个百分点，净利润23.03亿元，同比增长19.12%。港口服务板块：营业收入61.32亿元，同比增长71.9%，毛利率20.62%，同比减少8.82个百分点，净利润8.68亿元，同比增长15.71%。投资收益：合计实现对联营和合营企业的投资收益80.47亿元，同比+13.51%。其中，中国邮政储蓄银行股份有限公司实现投资收益32.26亿元，同比增长1.48%，占总投资收益比例为40.1%；上海银行股份有限公司实现投资收益18.56亿元，同比增长2.55%，占比23.1%；东方海外（国际）有限公司实现投资收益16.53亿元，同比增长92.02%，占比20.5%；宁波舟山港股份有限公司投资收益为1.98亿元，同比增长5.16%，占比2.5%。投资建议：由于2024年公司业绩优于预期，我们调整2025-2026年归母净利预测为152.5、156.3亿元（原预测146.5、155.7亿元），新增27年盈利预测161.7亿，对应三年EPS为0.66、0.67、0.69元，对应当前PE为9、9、8倍。参考公司近三年平均PB，给予2025年每股归母净资产1.1倍PB估值，对应一年期目标价6.8元，较当前股价涨幅空间18%，维持“推荐”评级。风险提示：海外需求衰退对港口行业吞吐量冲击超出预期，实际装卸费涨价不及预期，成本大幅上涨等。,,华创证券,推荐,[None],2025-04-04,,增持,5976873,pdf_downloads/2025/2025-04-04/600018-上港集团（600018）：2024年报点评：24年业绩+13.26%，港口主业稳健增长.pdf,600018,上港集团,上港集团（600018）：2024年报点评：24年业绩+13.26%，港口主业稳健增长
"林珊,沈晓峰","上港集团发布2024年业绩：营业收入同比+1.5%至381.2亿元；归母净利同比+13.3%至149.5亿元，基本符合我们的预期；扣非归母净利132.8亿元，同比+5.6%。其中，投资收益同比+12.9%至80.6亿元。24年公司港口主业表现向好，但房地产业务销售同比下降拖累利润增长。展望25年，我们预计：1）港口主业受全球宏观经济不确定性影响，盈利同比或小幅回落；2）来自集运公司东方海外投资收益同比或下降；3）房地产等其他业务同比或持平。中长期看，上海港作为全球最大集装箱港，辐射“一带一路”和长江经济带，同时大力发展国际中转业务，港口主业盈利能力有望提升。维持“买入”。24年集装箱吞吐量同比增长4.8%，港口主业盈利向好24年上海港完成集装箱吞吐量5,151万标准箱，同比增长4.8%，成为全球首个年吞吐量超过5,000万标准箱的世界大港，连续十五年保持世界首位。24年港口主业收入356.7亿元，同比+12.6%；毛利114.0亿元，同比+6.7%；毛利率32.0%，同比-1.8pct。分板块看：集装箱/散杂货/港口物流/港口服务营收157.3亿/16.0亿/122.1亿/61.3亿元，同比+0.7%/+3.5%/+11.5%/+71.9%；毛利65.6亿/4.2亿/31.6亿/12.6亿元，同比-4.1%/+24.0%/+28.5%/+20.4%，盈利表现向好。展望25年，考虑关税导致全球宏观存较多不确定性，我们预计港口业务毛利同比或小幅下滑。联营公司邮储银行/上海银行/东方海外投资收益同比+1.5%/+2.6%/+92.0%24年公司投资收益共计80.6亿元，占归母净利比重53.9%。其中，来自联营公司邮储银行/上海银行/东方海外投资收益32.3亿/18.6亿/16.5亿元，同比+1.5%/+2.6%/+92.0%。东方海外投资收益大幅增长主因红海绕行，推升集装箱海运价格，盈利高增。展望25年，我们预计受运价高位回落影响，来自东方海外投资收益同比或大幅下滑，来自邮储/上海银行投资收益整体平稳。整体，我们预计25年公司投资收益同比下降。下调25/26年盈利预测，下调目标价3%至6.7元，维持“买入”考虑关税导致全球宏观存较大不确定性，我们下调25/26年归母净利预测11%/14%至141.7亿/143.4亿元，新增27年归母净利预测148.8亿元。我们基于11.0x 2025E PE（公司历史三年PE均值），下调目标价3%至6.7元（前值目标价6.9元基于10.2x 24E PE）。风险提示：全球经济衰退；投资收益不及预期；自然灾害；地缘政治风险。",,华泰证券,买入,[None],2025-04-03,,买入,5975714,pdf_downloads/2025/2025-04-03/600018-上港集团（600018）：24年盈利向好，25年同比或小幅回落.pdf,600018,上港集团,上港集团（600018）：24年盈利向好，25年同比或小幅回落
"林珊,沈晓峰","港口主业吞吐量增速向好，投资收益同比下滑上港集团公布1H24业绩：1）营业收入同比增长23.1%至198.4亿元；2）归母净利84.2亿元，同比增长14.9%（其中投资收益38.1亿元，同比下滑8.7%）。公司宣布中期每股分红0.05元，分红率14%。上半年受益出口需求向好，公司港口主业盈利同比大幅提升；但来自邮储银行及东方海外投资收益同比下降。1H24公司完成货物吞吐量2.9亿吨，同比增长6.2%，其中集装箱吞吐量2,551万标准箱，排名全球第一，同比增长7.5%。考虑公司吞吐量规模大，增长稳健，我们小幅上调24/25/26净利预测4%/3%/3%至157亿/158亿/166亿元；基于10.2x 24E PE，上调目标价10%至6.9元（公司历史三年PE均值加1个标准差，估值溢价主因预计24年盈利向好），维持“买入”。受益出口需求向好，1H24港口主业利润同比保持增长上半年受益出口需求向好，公司港口主业盈利同比显著提升。1H24公司实现毛利润78.0亿元，同比增长22.0%；毛利率39.3%，同比下降0.4pct。分板块看，公司集装箱/散杂货/港口物流/港口服务业务分别实现营业收入80.6亿/8.1亿/56.0亿/20.4亿元，同比增长4.6%/5.9%/5.0%/31.8%；毛利润37.6亿/2.3亿/13.9亿/6.8亿元，同比+2.4%/+27.3%/-5.7%/+46.9%。1H24投资收益同比下降8.7%除港口主业外，公司积极布局其他多元产业。1H24投资收益38.1亿元（同比下降8.7%），贡献公司归母净利45.2%。其中，来自邮储银行/上海银行/东方海外投资收益17.0亿/10.5亿/5.3亿元，同比分别-9.2%/+1.1%/-24.5%。展望下半年，我们预计受外贸集运市场向好影响，来自东方海外投资收益环比有望显著提升。全球最大集装箱港，中长期发展势头向好根据公司公告，上海港集装箱吞吐量自2010年起连续十四年位居世界第一。公司依托长三角和长江流域及淮河经济腹地，辐射“一带一路”和长江经济带的主枢纽港地位不断巩固提升，上海港外贸航线连通度蝉联全球第一。中长期看，公司大力发展水水、海铁、空铁等多式联运，提升腹地港航物流服务能级，服务辐射长三角、长江经济带和全国的“龙头”作用进一步增强，上海港作为双循环战略链接桥头堡和“一带一路”战略支点的作用持续突显。风险提示：港口吞吐量不及预期；投资收益不及预期；自然灾害；政策风险。",,华泰证券,买入,[None],2024-09-03,,买入,5751935,pdf_downloads/2024/2024-09-03/600018-上港集团（600018）：港口主业需求向好，带动1H盈利表现.pdf,600018,上港集团,上港集团（600018）：港口主业需求向好，带动1H盈利表现
"吴一凡,吴晨玥,黄文鹤,梁婉怡",公司公告2023年年度报告：1）实现营业收入约375.52亿元，同比增长0.73%；实现归属于上市公司股东的净利润约132.03亿元，同比下降23.34%；扣非归母净利润125.7亿元，同比下降25.55%。2）盈利指标：2023年销售毛利率37.4%，同比减少0.41个百分点，销售净利率37.3%，同比减少10.74个百分点，扣非销售净利率33.5%，同比减少11.82个百分点，ROE 10.72%，同比减少4.61个百分点。3）按季度看，2023Q1-4分别实现营业收入76.5、84.6、113.2、101.2亿元，同比-38.4%、+10.2%、+23.9%、+25.8%；实现归母净利润35.5、37.8、40.3、18.4亿元，同比-35.4%、-29%、-14.9%、+10.1%；实现扣非归母净利润33.4、36.9、38.5、16.9亿元，分别同比-38%、-28%、-16.3%、-5%。4）2023年度利润分配方案，每股派发现金红利0.172元（含税），占归母净利润比例为30.33%。集装箱板块：母港集装箱吞吐量完成4915.8万标准箱，同比增长3.9%。洋山港区集装箱吞吐量完成2500.7万标准箱，同比增长4.6%，占全港集装箱吞吐量的50.87%。公司集装箱吞吐量连续十四年位居世界首位。水水中转完成2843.0万标准箱，水水中转占比继续保持高位，达到57.8%，其中国际中转业务全年完成587.2万标准箱，同比增长3.4%，占比12%。集装箱板块实现营业收入156.15亿元，同比减少0.88%，毛利率43.81%，同比增长2个百分点，净利润65.98亿元，同比增长14.26%。散杂货板块：母港散杂货吞吐量完成8504.2万吨，同比增长8.8%。营业收入15.47亿元，同比增长2.25%，毛利率21.88%，同比增长11.96个百分点，净利润1.18亿元，去年同期为亏损1.06亿元。港口物流板块：营业收入109.5亿元，同比减少13.25%，毛利率22.46%，同比减少5.3个百分点，净利润19.33亿元，同比减少33.49%。港口服务板块：营业收入35.67亿元，同比增长37.72%，毛利率29.44%，同比减少1.99个百分点，净利润7.5亿元，同比增长30.38%。投资收益：合计实现对联营和合营企业的投资收益70.9亿元，同比-40.8%。其中，中国邮政储蓄银行股份有限公司实现投资收益31.8亿元，同比增长4.72%，占总投资收益比例为44.8%；上海银行股份有限公司实现投资收益18.1亿元，同比增长2.36%，占比25.5%；东方海外（国际）有限公司实现投资收益8.6亿元，同比减少85.8%，占比12.1%；宁波舟山港股份有限公司投资收益为1.9亿元，同比减少10.17%，占比2.7%。投资建议：考虑到集运景气下滑影响投资收益，我们下调2024-2025年归母净利预测至140.7、146.5亿（原预测147.4、158.1亿元），新增2026年预测155.7亿，对应三年EPS为0.60、0.63、0.67元，对应当前PE为9、9、8倍。参考公司近三年平均PB，给予2024年1.2倍PB估值，对应一年期目标价7.1元，较当前股价涨幅空间27%，维持“推荐”评级。风险提示：海外需求衰退对港口行业吞吐量冲击超出预期，实际装卸费涨价不及预期，成本大幅上涨等。,,华创证券,推荐,[None],2024-04-11,,增持,5582027,pdf_downloads/2024/2024-04-11/600018-上港集团（600018）：2023年报点评：港口主业稳健增长，投资收益承压.pdf,600018,上港集团,上港集团（600018）：2023年报点评：港口主业稳健增长，投资收益承压
"林珊,沈晓峰",23年港口主业稳健，投资收益大幅下滑拖累盈利；24年同比有望回升上港集团发布23年业绩：1）营收同比增长0.7%至375.5亿元；2）归母净利同比下降23.3%至132.0亿元。其中，投资收益71.4亿元（同比减少40.7%），占公司归母净利的54.1%，大幅下滑主因集运运价高位回落，其集运联营公司东方海外的盈利大幅下滑。展望24年，公司港口主业依托地理位置优势，随国内外经济回暖，盈利将保持稳健；集运受红海事件扰动，运价得到支撑，公司投资收益有望改善。我们下调24/25年净利预测13%/17%至150.9亿/153.6亿元；新增26年预测160.7亿元。基于9.7x 24E PE，下调目标价5%至6.3元（公司历史三年PE均值），维持“买入”评级。受益于国内经济复苏，公司港口吞吐量增速回暖2023年公司集装箱/货物吞吐量完成4915.8万标准箱/5.64亿吨，同比增长3.9%/9.7% (22年：+0.6%/-4.7%)。其中，洋山港区集装箱吞吐量完成2500.7万标准箱，同比增长4.6%，占全港集装箱吞吐量的50.9%。23年疫后复苏带动我国制造业出货量，公司港口吞吐量增速改善。24年，我们认为全球宏观需求企稳，港口吞吐量增速有望取得中高个位数增速，带动公司港口业务经营业绩。根据交通运输部数据，24年1-2月，全国港口集装箱/货物吞吐量同比增长12.1%/8.1%（上年同期：+1.3%/+2.6%）。集运运价下行拖累投资收益，24年有望同比改善2023年公司投资收益为71.4亿元，同比下降40.7%，主因集运市场景气回落，运价大幅下降拖累联营公司东方海外的盈利，来自东方海外的投资收益为8.6亿元（上年同期60.6亿元）。年初至今，受红海事件影响，集运运价大幅上行并维持高位，1月1日-3月29日，上海出口集装箱运价指数（SCFI）同比增长109.2%。24年我们预计红海事件影响若持续，叠加宏观经济回暖，集运运价得到支撑，公司投资收益有望同比改善。打造世界领先的枢纽港口，持续优化运营短期，随着宏观经济的进一步回暖，公司港口业务有望持续增长；中长期，公司持续推进“南联北融西拓”，优化集疏运体系，通过大力发展水水、海铁、空铁等多式联运，提升腹地港航物流服务能级。依托优越的地理位置、发达的腹地经济、良好的发展环境、领先的行业科技和高效的经营管理，公司持续强化核心竞争力，看好公司长期发展。风险提示：港口吞吐量不及预期；投资收益不及预期；自然灾害；政策风险。,,华泰证券,买入,[None],2024-03-31,,买入,5565477,pdf_downloads/2024/2024-03-31/600018-上港集团（600018）：主业稳健，24年投资收益有望回升.pdf,600018,上港集团,上港集团（600018）：主业稳健，24年投资收益有望回升
"黄安,李丹",2023年上半年，上港集团实现营收161.12亿元，同比降低19.82%；实现归母净利润73.28亿元，同比降低32.24%；实现扣非归母净利润70.27亿元，同比降低33.09%。 分季度看，2023年第二季度，公司实现营收84.63亿元，同比增长10.17%；实现归母净利润37.77亿元，同比降低29.00%；实现扣非归母净利润36.85亿元，同比降低27.91%。码头主业初步复苏：利润49.47亿元，同比下滑0.15%，占利润总额55.92%。 2023年上半年，公司吞吐量稳步复苏，实现货物吞吐量2.76亿吨，同比增长13.6%。其中，集装箱吞吐量实现2373.7万标准箱，同比增长5.3%；散杂货吞吐量实现4304.6万吨，同比增长42.9%，主要系2022年上半年基数偏低所致。财务层面，码头主业实现营收154.97亿元，同比降低1.18%。分业务看：集装箱板块：实现营收78.84亿元，同比增长1.46%。散杂货板块：实现营收7.96亿元，同比增长9.89%。港口物流板块：实现营收53.43亿元，同比下滑13.49%。港口服务板块：实现营收14.74亿元，同比增长45.80%，主要系22H1基数偏低所致。地产、航运板块阶段性承压。 2023年上半年，公司地产板块贡献利润0.82亿元，同比下滑92.45%，占利润总额0.93%。分公司看：瑞泰公司：贡献1.69亿元，同比下滑64.44%。瑞祥公司：贡献-0.87亿元，同比下滑144.05%。2023年上半年，公司航运板块贡献利润12.52亿元，同比下滑71.06%，占利润总额14.15%。分公司看：锦江航运：全资子公司。实现营收26.60亿元，同比下滑19.97%；实现归母净利润5.47亿元，同比下滑47.10%。东方海外：参股9.07%。贡献投资收益7.04亿元，同比下滑78.83%。银行板块维持稳增：利润29.10亿元，同比增长10.68%，占利润总额32.90%。 分公司看，2023年上半年：上海银行：贡献投资收益10.35亿元，同比增长4.22%。邮储银行：贡献投资收益18.75亿元，同比增长14.61%。盈利预测与估值 综合考虑公司各业务板块情况，我们预计公司2023-2025年归母净利润分别为133.15亿元、142.75亿元、154.85亿元，现股价对应PE分别为9.02、8.42、7.76倍，维持“增持”评级。风险提示 外需不及预期；港口相关政策不及预期；各投资项目收益不及预期。,,浙商证券,增持,[None],2023-08-31,,增持,5308066,pdf_downloads/2023/2023-08-31/600018-上港集团（600018）2023年半年报点评报告：23H1归母净利润-32.24%，码头主业初步复苏.pdf,600018,上港集团,上港集团（600018）2023年半年报点评报告：23H1归母净利润-32.24%，码头主业初步复苏
"林珊,沈晓峰","上港集团(600018)1H 业绩同比下滑，主因出口需求待改善叠加投资收益高位回落影响上港集团发布 1H23 业绩：1）营业收入同比下滑 19.8%至 161.1 亿元；2）归母净利同比下滑 32.2%至 73.3 亿元。其中，投资收益同比下滑 36.2%至41.7 亿元。2Q23 实现归母净利 37.8 亿元，同比下滑 29.0%，但环比增长6.4%。上半年公司业绩整体同比下滑主因全球宏观经济疲软抑制我国制造业出口需求，集运运价高位回落，公司下属集运公司东方海外收入以及利润规模同比大幅下降；二季度以来，公司盈利环比改善主因港口吞吐量环比向好，集运运价环比企稳。我们维持 2023/2024/2025 年净利预测 154 亿/173亿/184 亿元和目标价 6.6 元（基于 10.0x 2023E PE，公司历史三年 PE 均值），维持“买入”。1H 吞吐量表现超行业平均水平，2Q 吞吐量同环比显著回升1H23，公司完成货物/集装箱吞吐量 2.8 亿吨/2,374 万标准箱，同比增长13.6%/5.3%（同期全国港口：同比增长 8.0%/4.8%） 。其中，2Q23 公司完成货物吞吐量 1.4 亿吨，同比/环比增长 31.3%/8.0%；完成集装箱吞吐量1,226 万标准箱，同比/环比增长 19.3%/6.9%。上半年公司港口主业吞吐量增速稳健，表现优于全国港口整体水平。二季度公司港口吞吐量同比高增，主因上年低基数效应；环比增长主因港口行业的季节性，叠加我国疫后经济活动复苏拉动散杂货进口需求并推动制造业出口边际改善。来自东方海外的投资收益同比大幅下滑1H23，公司投资收益同比下滑 36.2%至 41.7 亿元，其中，来自东方海外的投资收益同比下滑 78.8%至 7.0 亿元。公司投资收益的整体下滑主因去年下半年以来集运市场景气回落，运价大幅下降拖累集装箱海运公司东方海外的收入以及利润水平。展望 2H23，考虑全球宏观环境边际改善，叠加龙头集装箱船公司挺价，我们认为集运运价具有边际企稳趋势。8 月以来上海出口集装箱运价指数（SCFI）均值月环比上涨 5.7%；最新美线运价（8 月 29日）较 6 月低点上涨 71.0%。看好公司枢纽港口地位，中长期发展向好我们看好上海港依托长三角经济腹地，辐射长江经济带以及“一带一路”沿线，吸引全球班轮公司，外贸航线连通度提升，巩固枢纽港口地位。上海港作为我国双循环战略链接“桥头堡”以及“一带一路”战略支点的优势凸显，公司长期发展向好。风险提示：港口吞吐量不及预期；投资收益不及预期；自然灾害；政策风险。",,华泰证券,买入,[None],2023-08-30,,买入,5305528,pdf_downloads/2023/2023-08-30/600018-上港集团（600018）：1H业绩回落，2H盈利有望环比改善.pdf,600018,上港集团,上港集团（600018）：1H业绩回落，2H盈利有望环比改善
"匡培钦,黄安",上港集团(600018)投资要点2022年全年， 上港集团实现营收 372.8 亿元，同比+8.72%，实现归母净利润172.24 亿元，同比+17.31%。 经营数据上，公司实现货物吞吐量 5.14 亿吨，同比-4.7%； 实现集装箱吞吐量 4730 万标准箱，同比+0.6%。码头主业： 需求韧性+费率改善支撑业绩，利润同比+25.05%集装箱吞吐量同比+0.6%维持韧性： 2022 年，公司货物吞吐量实现 5.14 亿吨，同比下滑 4.7%。其中， 集装箱吞吐量实现 4730.3 万标准箱，同比增长 0.6%； 散杂货吞吐量实现 7819.3 万吨，同比下滑 5.1%。集装箱费率调整助力利润弹性： 2021 年 12 月 3 日，公司公告内贸 20 英尺重箱中转费提升约 50%，带动盈利能力改善。各板块收入稳增： 公司全年码头主业实现收入 324.78 亿元，同比增长 10.85%。集装箱板块： 营收实现 157.53 亿元，同比增长 5.68%散杂货板块： 营收实现 15.13 亿元，同比增长 10.84%港口物流板块： 营收实现 126.22 亿元，同比增长 21.69%港口服务板块： 营收实现 25.90 亿元，同比下滑 2.51%非港口业务：地产阶段性承压，航运持续高增地产板块： 阶段性承压， 合计实现收益-2.09 亿元， 同比-121.58%长滩项目： 累计完成投资计划 91.00%，实现收益-6.88 亿元，同比下滑188.57%。军工路项目： 累计完成投资计划 97.67%，实现收益 4.79 亿元，同比增长147.16%。航运业务： 全资子公司锦江航运主要经营东亚、东岸间集装箱班轮运输， 2022年 1 月董事会已审议通过锦江航运分拆上市事宜。 2022 年， 营收实现 68.88 亿元，同比增长 28.36%；归母净利润实现 18.34 亿元，同比增长 40.59%。股权投资： 参股银行板块收益稳增 7.65%，航运东方海外高增 45.73%银行板块： 经营稳定性强劲，维持收益稳增。上海银行： 参股 8.32%。 归母净利润 222.8 亿元，收益 17.68 亿元，同比增长 1.08%。邮储银行： 参股 4.13%。 归母净利润 852.24 亿元，收益 30.36 亿元，同比增长 11.89%。银行板块-东方海外： 参股 9.07%。 东方综合国际集装箱运输及物流公司，服务网络覆盖亚洲、欧洲、美洲、非洲及澳大利亚。 2022 年实现归母净利润 670.48亿元，贡献投资收益 60.62 亿元，同比增长 45.73%。枢纽港地位突出，长期高质量发展可期上海港地处我国大陆东海岸中部，长江与沿海运输通道构成的“T”字型水运网络的交汇点，叠加优越的自然条件以及发达的腹地经济，枢纽港地位显著。 现阶段，全球经济增长不确定性有所提升，而中国经济增长和出口韧性强劲，公司得益于枢纽港地位，依托数字化管理技术，长期高质量发展可期盈利预测与估值综合考虑公司各业务线条发展情况，我们预计公司 2023-2025 年归母净利润分别为 133.15 亿元、 143.29 亿元、 155.39 亿元，对应现股价 PE 分别为 9.6 倍、 8.9倍、 8.2 倍，维持“增持”评级。风险提示外需不及预期；港口相关政策不及预期；各投资项目收益不及预期,,浙商证券,增持,[None],2023-04-05,,增持,5165378,pdf_downloads/2023/2023-04-05/600018-上港集团（600018）2022年年报点评报告：2022年归母净利润同比+17.31%，主业韧性+航运高增支撑业绩.pdf,600018,上港集团,上港集团（600018）2022年年报点评报告：2022年归母净利润同比+17.31%，主业韧性+航运高增支撑业绩
"吴一凡,吴莹莹,周儒飞",公司公告2022年报：1）业绩表现：2022年营收372.8亿，同比+8.7%；归母净利润172.2亿，同比+17.3%；扣非归母净利168.8亿，同比+23.7%。22Q4营收80.4亿，同比-0.1%；归母净利润16.8亿，同比-43.0%；扣非归母净利润17.8亿，同比-28.0%。2）成本费用：22年营业成本231.9亿，同比+14.0%；三费比率10.5%，同比-4.8pts。Q4营业成本63.2亿，同比+10.4%；三费比率11.6%，同比+1.2pts、环比+1.4pts。3）投资收益：22年120.4亿，同比+19.3%；Q4投资收益24.6亿，同比+3.4%、环比-19.1%，环比下滑主要系联营企业由于集运景气回落导致盈利下滑。4）利润率：22年毛利率37.8%，同比-2.9pts；扣非归母净利率45.3%，同比+5.5pts。Q4毛利率21.4%，同比-7.4pts、环比-17.6pts；扣非归母净利率22.2%，同比-8.6pts、环比-28.1pts。5）收入毛利构成：22年集装箱、散杂货、港口物流、港口服务占比为42.3%、4.1%、33.9%、6.9%；毛利占比46.7%、1.1%、24.9%、5.8%。下半年营收占比47.3%、4.7%、37.4%、8.8%，毛利占比54.9%、1.6%、27.1%、7.7%。6）分红：拟每10股派发现金红利1.40元（含税），对应分红比率18.93%。集装箱业务单箱费率2H22同比+4.5%，单箱成本增加明显。1）集装箱板块，22年营收157.5亿，同比+5.7%；毛利率41.8%，同比-6.0pts；集装箱分部净利润57.7亿，同比-10.5%。下半年营收81.3亿，同比+7.4%；毛利率35.7%，同比-7.1pts；分部净利润26.6亿，同比+2.0%。量方面，22年集装箱吞吐量4730.3万TEU，同比+0.6%；Q4吞吐量1241.3万TEU，同比+1.4%。价方面，22年单箱集装箱业务收入333.0元/TEU，同比+5.1%；其中上半年、下半年单箱收入338.0 、328.5元/TEU ，同比+5.8%、+4.5%，涨价逻辑继续兑现。单位成本方面，22年单箱成本193.8元/TEU，同比+17.1%；其中上半年、下半年174.7、211.2元/TEU，同比+16.0%、+17.5%。2）港口物流，22年、2H22营收126.2、64.3亿，同比+21.7%、+8.9%；毛利率27.8%、22.3%，同比-1.3pts、-4.9pts；港口物流分部净利润29.1、12.3亿，同比+19.1%、+2.4%。3）港口服务，22年、2H22营收25.9、15.1亿，同比-2.5%、-3.3%；毛利率31.4%、27.1%，同比-5.4pts、-4.3pts；港口服务分部净利润5.8、3.1亿，同比-19.3%、-34.0%。4）散杂货，22年、2H22营收15.1、8.1亿，同比+10.8%、+11.2%；毛利率9.9%、10.3%，同比-2.8pts、+1.6pts；散杂货分部净利润-1.1、-0.1亿。展望后市：2023年外需改善或有利于集装箱吞吐量保持稳健提升，海铁联运、江海联运以及汽车滚装等新业务预计将进一步利好量的增长；装卸费涨价有望延续。同时公司港航物流一体化综合服务拓展空间广阔。投资建议：1）盈利预测：考虑到集运景气下滑影响投资收益，我们下调2023-2024年归母净利预测至135.0、147.4亿（原预测144.4、151.2亿元），新增2025年预测158.1亿，对应三年EPS为0.58、0.63、0.68元，对应当前PE为9、9、8倍。2）投资建议：参考公司近三年PB中枢，给予2024年1.3倍PB估值，对应一年期目标价7.44元，较当前股价涨幅空间36%，维持“推荐”评级。风险提示：海外需求衰退对港口行业吞吐量冲击超出预期，实际装卸费涨价不及预期，成本大幅上涨等。,,华创证券,推荐,[None],2023-04-05,,增持,5165298,pdf_downloads/2023/2023-04-05/600018-上港集团（600018）2022年报点评：Q4扣非同比-28%至17.8亿，集装箱量价齐升，投资收益与单箱成本承压.pdf,600018,上港集团,上港集团（600018）2022年报点评：Q4扣非同比-28%至17.8亿，集装箱量价齐升，投资收益与单箱成本承压
