author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"谭国超,李雨涵","主要观点：血制品疫苗双轮驱动，老牌企业焕发生机华兰生物成立于1992年，1998年成为国内首家通过GMP认证的血液制品企业。公司多年来锚定血液制品行业，其生产规模、品种规格、市场覆盖和主导产品产销量均居国内同行业前列，2005年成立华兰生物疫苗股份有限公司，扩展公司原有业务，截至2023年年末其已成为我国最大的流感病毒裂解疫苗生产基地，流感疫苗产品市场占有率保持国内领先地位。2025年前三季度，公司实现营收33.79亿元，同比-3.20%，实现归母净利润7.84亿元，同比-15.07%。持续挖掘浆站潜能，深耕血制品扩大优势公司血液制品产品覆盖面广，共有人血白蛋白、静丙、纤原、凝血八因子等11个产品、34种规格。2025H1，公司血制品板块实现营收17.37亿元，同比+7.57%，其中人血白蛋白、静注人免疫球蛋白分别实现营收6.95亿元（同比+7.95%）、4.53亿元（同比+7.95%），占板块营收比例达40%、26%，我们看好两大明星单品的长期市场空间。公司吨浆盈利能力强，2025H1实现吨浆收入216.08万元/吨，吨浆利润达62.45万元/吨，同行业内处于较高水平。公司目前拥有34家血浆站（包含6家分站），其中广西4家、贵州1家、重庆17家、河南12家，在多处设置单采血浆站，采浆量处于领先地位。2025年上半年采浆量为803.66吨，同比+5.23%。截至2025年5月，公司在重庆丰都、巫山及邓州市、杞县、襄城县的单采血浆站均已建设完毕，深耕重庆、河南两地，利用地方人口优势进一步实现浆站外延增长；同时公司也在加强对现有单采血浆站献浆员的宣传发动，进一步提升浆站管理能力，不断促进现有浆站内生增长，为公司扩大规模奠定基础。加快疫苗做大做强，进军单抗稳步研发公司疫苗业务产品种类丰富覆盖面广，针对流感病毒、流行性脑膜炎、乙肝、破伤风、狂犬病等多种疾病，其中流感疫苗贡献大部分收入。2024年受国内大环境影响，竞争激烈，各大企业纷纷降价抢占市场，导致公司疫苗板块营收、利润端均大幅下滑，2024年公司流感疫苗实现营收10.73亿元（同比-55.34%），实现毛利率81.84%（同比-6.45pp），2025年公司疫苗板块依旧承压，我们期待公司业绩触底反弹。2013年公司参股公司华兰基因工程有限公司成立，进军基因重组与单克隆抗体领域，在研产品丰富，覆盖自身免疫疾病、实体瘤、眼科疾病领域，先后有10个单抗品种取得临床试验批件。2024年11月，华兰基因的贝伐珠单抗取得国家药监局签发的《药品注册证书》，公司成立专门的销售队伍开展产品的销售和推广，2025年上半年，贝伐单抗产品共实现销售收入5,889.58万元。截至2025H1，公司参股公司华兰基因公司研发的利妥昔单抗注射液已经完成III期临床研究，目前正在CDE技术审评中；2025年12月，地舒单抗取得药品注册受理通知书。利妥昔单抗、地舒单抗的上市将成为公司新一轮业绩增长点。投资建议我们预计，公司2025-2027年营收分别为46.34/51.37/57.45亿元，分别同比增长5.8%/10.9%/11.8%，归母净利润分别为12.15/13.64/15.45亿元，分别同比增长11.7%/12.2%/13.3%，对应估值分别为23X/20X/18X。首次覆盖，给予“增持”投资评级。风险提示血制品的安全性风险；成本费用上升的竞争风险；新产品开发不及预期风险。",,华安证券,增持,[None],2026-01-01,,增持,8314083,pdf_downloads/2026/2026-01-01/002007-华兰生物（002007）：持续挖掘浆站潜能，大生物产业厚积薄发.pdf,002007,华兰生物,华兰生物（002007）：持续挖掘浆站潜能，大生物产业厚积薄发
"彭娉,郑琴,余文心","本报告导读： 血制品业务增长稳健，采浆量在老浆站挖潜和新浆站开拓等多措并举下稳步提升,疫苗业务已基本驻底，华兰基因逐步贡献收益，维持增持评级。 投资要点： 维持增持评级。2025年上半年公司实现营业收入17.98 亿元（同比+8.80%），归母净利润5.16 亿元（同比+17.19%），扣非归母净利润4.84 亿元（同比+33.41%）。结合行业终端需求情况，我们下调2025-2027 年预测EPS 为0.67/0.75/0.83 元（原为0.70/0.85/1.03 元），维持2026 年目标PE 26X，对应目标价19.45 元，维持“增持”评级。 采浆量稳步增长，血制品业务保持稳健。公司单采血浆站数量及采浆规模持续保持国内领先地位，截至目前，公司下属单采血浆站共34 家（含6 家分站），分属河南、重庆、广西、贵州四个省份。2025年上半年，公司采浆量共计803.66 吨（同比+5.24%），血制品业务营收17.38 亿元（同比+7.49%），净利润5.02 亿元（同比+18.51%）。 狂犬疫苗销量增长，流感疫苗继续承压。2025 年上半年，华兰疫苗实现营业收入5996.18 万元（同比+68.77%），狂犬疫苗销量较去年同期显著增长，但流感疫苗的批签发数量较少，2025H1 三价流感疫苗批签发4 批（同比-33.33%），四价流感24 批（同比-60.00%），主要系上半年国内流感病毒的流行情况较为平稳，且为销售淡季。 积极推进新药研发，生物类似药率先贡献收益。公司参股公司华兰基因主要开展创新药和生物类似药的研发、生产，其中贝伐珠单抗已经获批正式生产和销售，2025 年上半年实现收入5889.58 万元。 在研管线中，重组Exendin-4-FC 融合蛋白注射液（一种基于长效GLP-1 受体激动剂机制的2 型糖尿病治疗药物）已顺利完成I 期/II期临床研究，即将开展III 期临床试验，且公司正在申报超重/肥胖的新适应症；重组抗人CD3 和人BCMA 双特异性抗体注射液、重组抗Claudin18.2 全人源单克隆抗体注射液、重组抗PD-L1 和TGF-β双功能融合蛋白注射液已取得临床批件，待开展临床试验；生物类似药方面，利妥昔单抗、阿达木单抗、地舒单抗、曲妥珠单抗已经完成III 期临床研究，帕尼单抗处于I 期临床阶段。下一步，公司也将积极开展干细胞、合成生物学、自身免疫性疾病药物、心脑血管药物等药物的研发工作。 风险提示。采浆量不及预期的风险，血制品核心产品降价的风险，市场竞争加剧的风险。",,国泰海通,增持,[None],2025-09-12,,买入,6433070,pdf_downloads/2025/2025-09-12/002007-华兰生物（002007）：血制品保持稳健，生物类似药贡献收益.pdf,002007,华兰生物,华兰生物（002007）：血制品保持稳健，生物类似药贡献收益
"代雯,张云逸,唐庆雷",2025年8月29日│中国内地 生物医药 公司公布1H25收入、归母净利、扣非归母18.0、5.2、4.8亿元（+9%、+17%、+33% yoy），其中2Q25收入、归母净利、扣非归母9.3、2.0、1.8亿元（+8%、+14%、+30% yoy）。我们认为血制品伴随采浆持续爬坡稳步放量、生物药快速切入市场、疫苗须观望下半年销售，随着血制品、疫苗、生物药新品上市与临床推进，公司的创新基因不断展现，维持“买入”评级。血制品稳健增长，疫苗观望下半年销售，生物药逐步起量1）1H25血制品收入17.4亿元（+8% yoy）、毛利率51.7%（+1.6pct yoy）、净利率28.9%（+2.7pct yoy），其中白蛋白、静丙、其他血制品收入7.0、4.5、5.9亿元（+8%、-1%、+15% yoy），1H25公司采浆量804吨（+5% yoy），我们预计随着新浆站采浆扩大、全年采浆增长超10%，血制品全年ASP微降、收入增长8~12%；2）1H25疫苗收入0.57亿元，上半年是流感疫苗的传统淡季，目前公司已批签发24批IIV3、3批IIV3，全年收入须观望下半年销售；3）40%参股的华兰基因1H25收入9000万元（贝伐单抗约5900万元，CD3/BCMA首付款3500万元）、净利润扭亏为盈，我们预计全年收入2~3亿元，未来随着类似药集采、新产品上市有望持续增长。创新管线三管齐进1）血制品：10% IVIG已申报上市，5% IVIG正在注册审批，SCIG处于Pre-IND阶段，FⅨ处于Ⅲ临床；2）疫苗：MenAC完成III期临床，DTcP处于III期临床，Hib已获批临床，RZV、mRNA流感、mRNA RSV、痘病毒广谱流感处于临床前；3）生物药：Exendin-4-FC（长效GLP1）即将开展超重/肥胖III期，利妥昔单抗11M24报产、预计2025年获批，阿达木/地舒/曲妥珠已完成III期即将申报上市，帕尼单抗处于临床I期， CD3/BCMA双抗、CLDN18.2、PDL1/TGFβ双抗等即将进入临床。重视股东回报，分红可观公司上市以来共分红53.4亿元，分红额占融资额6.26亿元的8.53倍。公司公告半年度利润分配预案，计划每10股派现5元（含税），占同期归母净利177.13%。本次分红实施完成后，公司2025年度每10股共计分红7元（含税），以2025年8月29日收盘价计算，股息率~4%。我们看好公司重视股东回报、维持稳健分红政策、持续回报投资者。维持“买入”评级我们维持盈利预测，预计公司2025-27年归母净利分别为13.7/17.1/20.5亿元。给予公司25年28 x PE（考虑到公司血制品成长潜力与基因公司的投资收益弹性，较可比公司一致预期23x PE均值有所溢价），对应目标价20.91元（前值19.40元，基于25年26x PE和13.7亿元归母净利），维持“买入”评级。风险提示：采浆不及预期，血制品需求不及预期。,,华泰证券,买入,[None],2025-08-31,,买入,6370545,pdf_downloads/2025/2025-08-31/002007-华兰生物（002007）：血制品稳健，生物药起量.pdf,002007,华兰生物,华兰生物（002007）：血制品稳健，生物药起量
"杜向阳,王钰玮",事件：公司发布25中报。25H1，公司实现总营业收入17.98亿元，同增8.8%；归母净利润5.16亿元，同增17.19%；扣非归母净利润4.84亿元，同增33.41%。单季度看，25Q1/Q2营收8.68/9.31亿元，分别同增10.20%/7.53%；归母净利润3.13/2.03亿元，同增19.62%/13.62%，扣非净利润3.00/1.84亿元，同增35.35%/30.38%。血液制品：收入稳步增长，丰都浆站落地运营。25H1实现收入17.37亿元，同增7.57%，毛利率51.69%（同增1.59pp），其中人血白蛋白/静注丙球/其他血液制品分别收入6.95/4.53/5.88亿元，同比+7.95%/-1.36%/+15.10%，毛利率分别为52.53%/40.62%/59.21%（同比+3.27/-10.51/+8.98pp）。25H1采浆量803.66吨，同增5.23%，上半年丰都单采浆站获证并开始采浆，叠加H2采浆旺季，预期全年采浆量增长稳健增长。疫苗：积极应对挑战，布局未来管线。25H1实现收入0.57亿元，同增92.63%，收入占比3.15%；流感疫苗收入0.26亿元，同增132.94%。疫苗受24年降价因素及接种率波动影响，收入占比低。临床进度看，疫苗公司冻干AC结合疫苗III期完成，冻干Hib结合疫苗已获临床批件；吸附无细胞百（三组分）白破联合疫苗III期临床开展中。基因公司：贝伐单抗正式销售，创新药逐步进入收获期。贝伐单抗25H1收入5889.58万元；利妥昔单抗提交上市申请，CDE技术审评中；阿达木单抗已完成III期临床，上市申请准备中。Exendin-4-FC融合蛋白拟开展Ⅲ期临床，人凝血因子Ⅸ（FⅨ）Ⅲ期临床中，IVIG（10%）注册审批发补阶段、5%注册审批阶段，公司产品梯队不断丰富。盈利能力提升，高比例分红回报股东。25H1销售/管理/研发费率分别为8.40%/7.01%/8.97%，分别同增1.00/-2.99/+0.22pp；归母净利率28.69%，同比+2.06pp。25年中期分红方案为每10股派发现金5元（含税），合计分红约9.14亿元，占上半年合并净利润的177%，彰显公司强大的盈利能力与分红意愿。盈利预测：预计公司2025-2027年EPS分别为0.71元、0.76元、0.80元。风险提示：采浆量不及预期风险、血制品需求不及预期风险，流感疫苗需求不及预期风险等。,,西南证券,,[None],2025-08-30,,,6369032,pdf_downloads/2025/2025-08-30/002007-华兰生物（002007）：血制品稳健增长，高比例分红彰显价值.pdf,002007,华兰生物,华兰生物（002007）：血制品稳健增长，高比例分红彰显价值
"甘坛焕,马居东","业绩简评2025年8月27日，公司发布2025年半年报，上半年公司实现营业收入17.98亿元，同比增长8.80%，实现归母净利润5.16亿元，同比增长17.19%，实现扣非归母净利润4.84亿元，同比增长33.41%；分季度看，2025年第二季度公司实现营业收入9.31亿元，同比增长7.53%，实现归母净利润2.03亿元，同比增长13.62%，实现扣非归母净利润1.84亿元，同比增长30.38%。经营分析血制品业务保持稳定增长，产品结构均衡。血液制品业务实现营业收入173,823.62万元，与上年同期相比增长7.49%，实现净利润50,189.42万元，与上年同期相比增长18.51%。分产品看，公司人血白蛋白实现收入6.95亿元，同比增长7.95%，毛利率为52.53%，同比增加3.27个百分点；静丙实现收入4.53亿元，同比减少1.36%，毛利率为40.62%，同比减少10.51个百分点；其他血液制品实现收入5.88亿元，同比增长15.10%，毛利率为59.21%，同比增加8.98个百分点。积极推进采浆工作，采浆量持续提升。重庆市丰都县单采血浆站建成、取得采浆许可证并开始采浆，单采血浆站的增加为采浆量的增长奠定基础。公司多措并举、积极推进血浆采集工作，促进采浆量持续提升，2025年上半年，公司采浆量共计803.66吨，较上年同期增长5.23%。类似药收入持续增长，关注创新药研发进展。公司参股公司华兰基因的贝伐单抗开始销售，上半年实现销售收入0.59亿元。创新研发方面，公司Exendin-4-FC融合蛋白注射液即将开展III期临床试验。基因公司研发的利妥昔单抗注射液目前正在CDE技术审评中；阿达木单抗、地舒单抗、曲妥珠单抗注射液已经完成Ⅲ期临床研究，拟提交上市申请。报告期内华兰基因与国内某知名公司签订《临床前研究数据授权协议》，将其CD3xBCMA双抗临床前数据、临床批件申报资料等资料以总额6800万元的里程碑款项授权给国内某知名公司和其唯一被许可方。盈利预测、估值与评级我们维持盈利预期，预计公司2025-2027年分别实现归母净利润12.5（+15%）、14.1（+13%）、15.90亿元（+13%）。2025-2027年公司对应EPS分别为0.68、0.77、0.87元，对应当前PE分别为26、23、20倍，维持“增持”评级。风险提示医保降价和控费风险；流感疫苗销售推广不及预期风险；竞争加剧风险；研发进展不达预期等。",,国金证券,增持,[None],2025-08-27,,增持,6355521,pdf_downloads/2025/2025-08-27/002007-华兰生物（002007）：公司点评：血制品业务稳健增长，基因公司贡献增量.pdf,002007,华兰生物,华兰生物（002007）：公司点评：血制品业务稳健增长，基因公司贡献增量
"代雯,张云逸",公司公布1Q25业绩：收入、归母净利、扣非净利分别为8.7亿元、3.1亿元、3.0亿元（+10.2%、19.6%、35.4% yoy）。一季度血制品行业承压背景下公司收入利润双升，充分彰显经营韧性。我们看好25年公司采浆爬坡带动血制品放量、疫苗修复、生物药起量，维持“买入”评级。血制品量增价稳，疫苗有望修复性增长1）1Q25血制品收入、归母净利、扣非净利8.4、2.9、2.9亿元（+12%、+23%、+37% yoy），其中白蛋白收入超3亿元、静丙收入超2亿元、特免与凝血因子收入均过亿。2024年公司采浆量同比增长18%至1586吨（新增7家浆站贡献近150吨），我们预计2025年采浆量同比增长16%（此外积极争取十五五规划、拓展河南重庆浆站），带动2025年收入双位数增长；2）1Q25疫苗收入、归母净利、扣非净利0.2、0.3、0.2亿元（-29%、-15%、+9% yoy），主因上半年为流感疫苗接种淡季。随着秋冬流感季、市场常态化、竞争格局修复，我们预计2025年疫苗收入恢复性增长。华兰基因：贝伐珠获批、利妥昔报产，生物类似药进入收获期参股公司华兰基因（持股比例40%）贝伐珠单抗11M24获批，利妥昔单抗11M24报产（我们预计1H26获批）。考虑到华兰基因加强销售队伍建设，我们预计贝伐珠单抗2025年收入有望过亿，基因公司收入利润进入收获期。此外阿达木单抗、曲妥珠单抗、地舒单抗处于临床三期，伊匹木单抗、帕尼单抗处于临床一期。在研管线稳步推进1）血制品：高浓度静丙已申报上市，人凝血因子Ⅸ处于临床III期，Exendin-4-FC融合蛋白处于临床Ⅱ期，加快开发人血管性血友病因子（vWF）、皮下静注人免疫球蛋白、重组人血白蛋白等；2）疫苗：冻干 MenAC准备报产，DTcP疫苗处于临床三期，Hib疫苗、重组带状疱疹疫苗、流感病毒mRNA疫苗、RSV疫苗处于临床前阶段。维持“买入”评级我们维持盈利预测，预计公司2025-27年归母净利分别为13.7/17.1/20.5亿元。给予公司25年26 x PE（考虑到公司疫苗业务恢复和血制品成长潜力，较可比公司一致预期19x PE均值有所溢价），维持目标价19.40元，维持“买入”评级。风险提示：采浆不及预期，血制品需求不及预期，流感疫苗需求不及预期。,,华泰证券,买入,[None],2025-04-29,,买入,6031316,pdf_downloads/2025/2025-04-29/002007-华兰生物（002007）：血制品表现强劲，疫苗处于传统淡季.pdf,002007,华兰生物,华兰生物（002007）：血制品表现强劲，疫苗处于传统淡季
袁维,业绩简评2025年4月27日，公司发布2025年第一季度报告，2025年一季度公司实现收入8.68亿元，同比增长10.20%；实现归母净利润3.13亿元，同比增长19.62%；实现扣非归母净利润3.00亿元，同比增长35.35%。经营分析费用端持续优化，一季度利润增长显著。公司立足血液制品业务，不断提高血浆综合利用率、优化产品结构。2025年一季度公司销售费用率为5.18%，同比减少0.50个百分点；管理费用率为6.24%，同比减少3.00个百分点；公司2025年第一季度净利率为37.32%，同比提升2.47个百分点。公司费用端持续优化，盈利能力增长显著。24年采浆量创新高，血制品业务有望延续稳健增长趋势。2024年公司邓州浆站、襄城浆站、杞县浆站、巫山浆站建成、取得采浆许可证并开始采浆；公司获批在重庆市丰都县设置新建单采血浆站，丰都浆站正按计划开展浆站的建设工作，争取早日建成并通过验收。公司高度重视单采血浆站质量管理，建立并不断完善单采血浆站质量管理体系，贺州浆站、博白浆站、封丘浆站、滑县浆站、浚县浆站、鲁山浆站共六家浆站顺利通过了单采血浆许可证的换发。公司通过强化绩效考核和浆站管理人员队伍建设工作激发内生活力、优化血源管理方案紧抓新浆站的提质上量等方式多措并举、积极推进血浆采集工作，促进采浆量持续提升，公司采浆量创历史新高，2024年公司采浆量共计1586.37吨，较上年增长18.18%，为未来血制品业务持续稳健增长奠定坚实基础。贝伐单抗正式销售，关注新产品商业化进度。基因公司贝伐珠单抗已于2024年11月已经获批正式生产和销售，此外利妥昔单抗注射液的药品注册上市许可申请已被受理；阿达木单抗、曲妥珠单抗、地舒单抗处于III期临床阶段。公司静注人免疫球蛋白（IVIG)（5%、10%）处于药品审批阶段，人凝血因子Ⅸ（FⅨ）正在开展Ⅲ临床研究，公司产品梯队有望不断丰富。盈利预测、估值与评级我们维持盈利预期，预计公司2025-2027年分别实现归母净利润12.5（+15%）、14.1（+13%）、15.90亿元（+13%）。2025-2027年公司对应EPS分别为0.68、0.77、0.87元，对应当前PE分别为24、21、19倍，维持“增持”评级。风险提示医保降价和控费风险；流感疫苗销售推广不及预期风险；竞争加剧风险；研发进展不达预期等。,,国金证券,增持,[None],2025-04-28,,增持,6027189,pdf_downloads/2025/2025-04-28/002007-华兰生物（002007）：一季度利润增长超预期，关注新产品商业化进展.pdf,002007,华兰生物,华兰生物（002007）：一季度利润增长超预期，关注新产品商业化进展
"乔琪,王兴广",事件：公司发布2024年年报。2024年，公司实现营收43.79亿元，同比下降18.02%；归母净利润10.88亿元，同比下降26.57%；扣非归母净利润9.81亿元，同比下降22.56%。2024Q4营业收入8.89亿元，同比下降37.82%；归母净利润1.64亿元，同比下降60.37%；扣非归母净利润1.64亿元，同比下降54.69%。血制品业务稳定增长。2024年，公司血制品实现营收32.46亿元，同比增长10.91%，其中人血白蛋白 / 静丙 / 其他血液制品分别实现营收 12.29 / 9.29 / 10.88 亿元，同比增长 16.27% / 9.94% /6.19%。2024年，公司邓州浆站、襄城浆站、杞县浆站、巫山浆站建成、取得采浆许可证并开始采浆，重庆丰都浆站正按计划开展浆站的建设工作，同时公司多措并举，促进血站提质上量，实现采浆量1586.37吨，创历史新高，较上年增长18.18%。研发方面，公司静注人免疫球蛋白（IVIG) （5%、10%）已完成Ⅲ期临床，人凝血因子Ⅸ（FⅨ）正在开展Ⅲ临床研究；Exendin-4-FC 融合蛋白项目已完成Ⅰ期临床，正在开展Ⅱ期临床研究。流感疫苗业务承压。公司疫苗业务实现营收11.17亿元，同比下降53.64%，其中流感疫苗实现营收10.73亿元，同比下降55.34%。一方面，受到疫苗需求下滑影响，2024年，公司疫苗销量为1424.2万瓶，同比下降26%。另一方面，公司2024年6月5日下调四价流感疫苗价格，量价因素共同导致公司疫苗业务承压。研发方面，公司稳步开展重组带状疱疹疫苗（CHO细胞）、mRNA流感病毒疫苗、mRNA呼吸道合胞病毒（RSV）疫苗、痘病毒广谱流感的临床前研发工作；冻干A群C群脑膜炎球菌结合疫苗已完成III期临床试验，Hib结合疫苗2024年12月申报临床试验并被受理；吸附无细胞百（三组分）白破联合疫苗正在开展III期临床试验。基因公司贡献潜在增长点。公司参股公司华兰基因工程有限公司先后有10个产品取得临床试验批件。其中，贝伐珠单抗于2024年11月21日获批上市，阿达木单抗、曲妥珠单抗、地舒单抗处于III期临床阶段；伊匹木单抗、帕尼单抗处于I期临床阶段；重组抗Claudin18.2全人源单克隆抗体注射液、重组抗PD-L1和TGF-β双功能融合蛋白注射液、重组抗BCMA和CD3双特异性抗体注射液已取得临床批件，以上项目或为公司带来新的利润增长点。盈利能力与投资建议：公司2024年由于疫苗业务承压，短期整体业绩出现下滑。但是考虑到流感疫苗降价长期有利于刺激市场需求，扩大市场规模，从而提升公司在行业内竞争力，未来公司疫苗业务有望保持向好态势。另外两项主营业务中，采浆量从2023年开始增速提升，支撑公司血制品业务稳步增长；基因公司多种单抗陆续进入临床阶段，有望为公司带来新的利润增长点。因此，我们维持“买入”评级，预计公司2025-2027年营收50.29 / 56.39 / 62.93亿元，净利润13.37 / 14.71 / 16.49亿元，对应的EPS为0.73 / 0.80 / 0.90元，对应的PE为22.16 / 20.14 / 17.97倍。风险提示：疫苗推广不及预期；研发进度不及预期；采浆量不及预期。,,中原证券,买入,[None],2025-04-17,,买入,6014102,pdf_downloads/2025/2025-04-17/002007-华兰生物（002007）：血制品业务稳健向好，流感疫苗市场压力显现.pdf,002007,华兰生物,华兰生物（002007）：血制品业务稳健向好，流感疫苗市场压力显现
赵冰,血液制品业务未来发展前景看好受流感疫苗业务影响，2024年公司业绩有所下滑。公司血液制品毛利率稳定，未来发展前景看好。维持买入，下调DCF（WACC：9.0%）目标价至23.30元。2024年公司流感疫苗业务影响业绩增长：根据公司年报，2024年公司实现营业收入43.8亿元，同比下降18.0%；实现归母净利润10.9亿元，同比下降26.6%。其中，血液制品业务实现营业收入32.5亿元，同比增长10.9%；流感疫苗业务实现营业收入11.2亿元，同比下降53.5%。根据公司年报，虽然2024年公司整体业绩有所下降，公司仍实现毛利率61.5%，净利率24.8%，公司业务整体利润空间较大，市场竞争力较强。我们预计公司25E-27E收入增速为12.4%/ 12.9%/ 13.1%。血液制品毛利率稳定，营收增长前景广阔：根据2024年公司年报，血液制品毛利率为54.41%。其中，人血白蛋白和静丙的营收分别达到12.29亿元（同比+16%）和9.29亿元（同比+10%）；其他血液制品营收达到10.88亿元（同比+6%）。在我国血液制品严格的监管政策之下，华兰生物作为国内大型血液制品公司，在血液蛋白行业占据龙头地位。根据2024年公司年报，公司的血液浆站规模再次扩大，血浆综合利用效率提高，2024年公司采浆量创历史新高，达1586.37吨，同比增长18.18%。考虑到国际贸易环境变化，我们认为公司血液制品营收增长前景广阔，我们预计公司25E-27E血液制品收入增速为13.1%/ 13.6%/ 13.8%。疫苗业务未来仍有望保持一定增长：根据2024年公司年报，华兰生物在2024年取得了流感疫苗批签发共计78个批次，流感疫苗批签发批次数量继续保持国内领先地位。根据2024年公司年报，受2024 年6 月5 日公司对四价流感疫苗产品价格调整影响，导致公司疫苗销量同比下降26.6%，影响了疫苗制品的营业收入。我们认为，公司疫苗业务仍有望通过流感疫苗接种率提升，实现以价换量带来收入增长。我们预计公司25E-27E疫苗收入增速将保持在10%左右。维持买入，下调DCF（WACC：9.0%）目标价至23.30元：我们的目标价对应2025年P/E为31x。考虑到2024年华兰生物流感疫苗收入下降，我们调整了25E/ 26E收入预测，同时下调了目标价至23.30元。风险提示：1）原材料成本上升风险；2）血制品产品安全性导致问题； 3）药物研发进展低于预期；4）血制品生产风险。,,华兴证券,买入,[None],2025-04-16,,买入,6011364,pdf_downloads/2025/2025-04-16/002007-华兰生物（002007）：血液制品业务未来发展前景看好.pdf,002007,华兰生物,华兰生物（002007）：血液制品业务未来发展前景看好
"蔡明子,陈成",华兰生物(002007)采浆量创新高，血制品业务稳健增长l血制品收入平稳，疫苗业务承压2024年公司实现营业收入43.79亿元（-18.02%），归母净利润10.88亿元（-26.57%），扣非净利润9.81亿元（-22.56%），经营现金流净额10.59亿元（-21.29%）。对应2024Q4营业收入8.89亿元（-37.82%），归母净利润1.64亿元（-60.37%），扣非净利润1.64亿元（-54.69%）。血制品板块稳健增长；疫苗业务在产品降价及接种率下降影响下短期承压。l血制品业务稳健增长，采浆量创新高报告期内，公司完成了邓州浆站、襄城浆站、杞县浆站、巫山浆站的验收开采，丰都浆站目前处于建设阶段，预计2025年完成验收。十四五期间公司在河南获批7家浆站，在重庆获批2家浆站，并且高效完成了建设、验收及开采，公司区域性龙头地位不断巩固。新老浆站的共同助力下，2024年公司采浆量达1586.37吨（+18.18%），创历史新高。2024年血制品业务实现收入32.46亿元（+10.91%），毛利率为54.51%（+0.07pct)。从血制品收入结构来看，白蛋白12.29亿元（+16.27%）、静丙9.28亿元（+9.94%）、其他血制品10.88亿元（+6.19%）。公司积极布局新产品的研发，静注人免疫球蛋白（IVIG)（5%、10%）处于NDA阶段；人凝血因子Ⅸ（FⅨ）正处于Ⅲ临床阶段；Exendin-4-FC融合蛋白正处于Ⅱ期临床阶段。公司产品种类将逐步得以丰富，为后续吨浆利润的增长奠定基础。l流感疫苗业务短期承压2024年公司取得流感疫苗批签发共计78个批次，其中四价流感疫苗（成人剂型）55批次，四价流感疫苗（儿童剂型）12批次，三价流感疫苗11批次，四价流感疫苗及流感疫苗批签发批次数量继续保持国内领先地位。2024年公司疫苗业务实现收入11.17亿元（-53.54%），其中流感疫苗10.73亿元（-55.34%）。疫苗业务毛利率为81.39%（-6.39%）。公司流感疫苗降价以及接种率下降影响板块业绩表现，今年降价影响基本出清，流感疫苗接种率有望逐步提升。l基因公司实现首个单抗产品上市参股公司华兰基因主要从事创新药和生物类似药业务，首个产品贝伐珠单抗于2024年11月获批上市。另外还有利妥昔单抗处于NDA阶段；阿达木单抗、曲妥珠单抗、地舒单抗处于III期临床阶段。基因公司产品陆续上市进入收获阶段，2025年开始贡献收入并逐步扭亏。l盈利预测与投资建议：我们预计公司2025-2027营收分别为48.51、54.49、61.67亿元，归母净利润分别为12.18、14.19、16.86亿元，对应PE分别为24.07、20.66和17.39倍。维持推荐，给予“买入”评级。,,中邮证券,买入,[None],2025-04-03,,买入,5976360,pdf_downloads/2025/2025-04-03/002007-华兰生物（002007）：采浆量创新高，血制品业务稳健增长.pdf,002007,华兰生物,华兰生物（002007）：采浆量创新高，血制品业务稳健增长
