author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"代雯,李奕玮",首次覆盖泽璟制药并给予“买入”评级，目标价166.16元。泽璟制药为较早开始进行TCE（T cell engager，T细胞衔接器）领域研发的创新药企，我们认为重磅产品ZG006（DLL3/DLL3/CD3）具有国际竞争力，预计国内峰值超40亿元，海外峰值近60亿美元；同时公司已有4款1类创新药在中国上市销售，现金流业务或可持续支持早期创新管线研发。国内TCE龙头，DLL3/DLL3/CD3具备BIC潜力，联手艾伯维出海我们预计ZG006国内峰值超40亿元，海外峰值近60亿美元，基于：1）小细胞肺癌患者多预后差：24年全球/中国患者约37/15万（Global Cancer），1L用药PD-L1+化疗，2L化疗为主；2）安进DLL3/CD3塔拉妥单抗开启TCE时代：5M24获批2L SCLC（24年/1-3Q25销售额1.15/3.93亿美金）；7M25中国NDA；3）ZG006有BIC潜力：60人≥3L SCLC临床2期10mg组ORR=60.0%，PFS=7.03个月（vs塔拉妥单抗2L SCLC临床3期PFS=5.3个月）；4）联手艾伯维进军海外市场：12M25公司将ZG006海外权益以首付款1亿美金+近期里程碑和许可选择6000万美金+10.75亿美金里程碑+分成授权艾伯维，有望与艾伯维SEZ6靶向ADC联用。商业化领先，具备biopharma雏形公司已获批4款创新药，具备自我造血能力：1）多纳非尼：多靶点小分子抑制剂，21年6月获批1L肝癌，22年8月新增晚期碘难治分化型甲状腺癌，24年销售额约5.3亿元；2）重组人凝血酶：首个国产重组人凝血酶，24年1月获批，24年底纳入国家医保，已授权远大医药国内独家商业化推广；3）吉卡昔替尼：JAK抑制剂，25年5月获批骨髓纤维化，25年底纳入国家医保，另有斑秃（NDA）、强直性脊柱炎（3期临床结束）、特应性皮炎（3期临床）等适应症有望1-2年内陆续获批；4）注射用人促甲状腺素β：26年1月获批上市，授权默克国内独家商业化推广。同时拥有小分子和多抗/三抗大分子技术平台，早期多管线布局公司拥有小分子、重组蛋白、抗体蛋白平台，多款早期管线持续推进：1）ZG005（PD-1/TIGIT）：新一代IO疗法，中国2期，布局肝癌、宫颈癌、神经内分泌癌、胆囊癌等适应症，全球同靶点第二（仅次于阿斯利康）；2）ZGGS34（MUC17/CD3/CD28）：TCE三抗，临床1期，布局胃癌、胰腺癌等晚期实体瘤；3）另有ZGGS18（VEGF/TGFβ，非小细胞肺癌等）、ZGGS15（LAG3/TIGIT，实体瘤）等处于临床中。我们与市场观点不同之处由于小细胞肺癌患者人数较少，市场对ZG006海外峰值预期较低。但我们预期ZG006有望达近60亿美金海外峰值：1）ZG006远期美国市场年化费用50万美金（同类型产品安进DLL3/CD3塔拉妥单抗美国年化费用约70万美金）；2）ZG006的BIC潜力，治疗时间有望加长，单个患者治疗费用提升（ZG006中位3L患者PFS=7.03个月vs塔拉妥单抗中位3L患者PFS=4.3个月）；3）联手艾伯维，ZG006有望在1L SCLC中达到较高市占率：ZG006已于25年12月将海外权益授权艾伯维，考虑艾伯维强大的商业化能力，我们预期ZG006在1L SCLC市场中有望达30%峰值市占率。盈利预测与估值我们预测公司25-27年营业收入8.43/19.94/22.23亿元，归母净利润-1.01/+5.46/+5.33亿元，DCF 估值法下（WACC 9.7%，永续增长率0%）给予公司目标市值439.84亿元，对应目标价166.16元。风险提示：国内临床试验失败的风险，商业化进度缓慢，海外临床进展缓慢。,,华泰证券,买入,[None],2026-01-30,,买入,8374456,pdf_downloads/2026/2026-01-30/688266-泽璟制药（688266）：中国TCE龙头进军全球市场.pdf,688266,泽璟制药,泽璟制药（688266）：中国TCE龙头进军全球市场
彭波,"事件2025年12月30日，泽璟制药与艾伯维集团控股公司就ZG006的全球开发及商业化签署战略合作与许可选择权协议，公司将获得1亿美元首付款；基于临床进展的近期里程碑付款及与许可选择相关付款合计最高6,000万美元，如艾伯维行使许可选择权，泽璟有资格获得最高10.75亿美元里程碑付款，并就包含ZG006的产品在大中华区以外的净销售额收取从高个位数到中双位数的阶梯式特许权使用费。核心观点ZG006 临床数据卓越，SCLC与NEC双适应症获突破性进展 根据公司公告，ZG006 是一款全球同类首创的针对 DLL3 靶点的三特异性抗体（DLL3/DLL3/CD3），在小细胞肺癌联合治疗及神经内分泌癌适应症上连续获得监管重要认定，具备成为同类最佳分子的潜力。2025年ESMO Asia 年会上披露的数据显示，针对三线及以上小细胞肺癌，10mg组最佳缓解率（ORR）为 60.0%，确认缓解率为 53.3%，中位无进展生存期（mPFS）达 7.03 个月，30mg组数据分别为66.7%，56.7%，5.59 个月。常见不良事件主要为1-2 级，且无任何因治疗期不良事件导致的永久停药。2025 年 11 月，ZG006 单药治疗晚期 NEC 获 CDE 纳入突破性治疗品种公示名单，有望通过附条件批准实现早日上市。同月获得 FDA 孤儿药资格认定，将享受 7 年市场独占权及临床试验费用的税收抵免等政策支持。此外ZG006 联合 PD-1/PD-L1 抑制剂及化疗用于小细胞肺癌的临床试验已获批。吉卡昔替尼新入医保、泽速宁获批上市吉卡昔替尼作为首个获批国产治疗骨髓纤维化的 JAK 抑制剂成功纳入医保。同时作为治疗重度斑秃适应症的 NDA 申请已经获得国家药监局受理；泽璟制药自主研发的国内首款分化型甲状腺癌术后精准评估创新药泽速宁于2026年1月正式获批上市，并与德国默克（Merck KGaA）的瑞士子公司 Ares Trading S.A. 在2025年6月5日达成在中国境内（不含港澳台）独家市场推广服务协议。盈利预测与投资建议我们预计公司25/26/27年营业收入分别约8.2/21.0/22.4亿元，同比增长54.6%/154.9%/6.7%；归母净利润为-1.2/6.5/4.7亿元。我们认为，公司处于产品快速放量阶段，且在研项目丰富，ZG006的临床开发进度位于全球前列，且已落地合作；持续覆盖，给予“买入”评级。风险提示核心产品商业化不达预期；药品国谈结果不达预期；创新药临床试验失败风险；合作存在不确定性风险；汇率波动风险",,甬兴证券,买入,[None],2026-01-22,,买入,8357491,pdf_downloads/2026/2026-01-22/688266-泽璟制药（688266）：事件点评：ZG006授权给艾伯维，泽速宁获批上市.pdf,688266,泽璟制药,泽璟制药（688266）：事件点评：ZG006授权给艾伯维，泽速宁获批上市
彭波,事件公司发布2025年三季度业绩，2025年前三季度营业收入约5.9亿元（+54.5%，同比，下同），归母净利润约-0.9亿元（同比减亏）；其中，单Q3营业收入约2.2亿元（+51.9%），归母净利润-0.2亿元（同比减亏）。前三季度公司研发投入约3.0亿元（+11.0%）。核心观点重组人凝血酶销量增长明显，盐酸吉卡昔替尼片开始商业化公司前三季度收入快速增长，主要系药品销售增长所致。据公告，目前公司已有3个产品上市，多纳非尼片正在逐步扩大市场占有率，重组人凝血酶自年初纳入医保目录后目前处于市场进入阶段，销量增长明显。盐酸吉卡昔替尼片于2025年5月获得国家药监局批准上市，是首个国产的治疗骨髓纤维化(MF)的一类新药，6月开始商业化销售，目前处于获批上市之后的医学教育和推广阶段。在研管线丰富，ZG006、ZG005展示优秀数据据官方公众号，公司自主研发的新药ZG006与ZG005的最新临床研究成果于2025 ESMO年会发布。ZG006 在晚期神经内分泌癌患者中的Ⅱ期研究（ZG006-003）显示，10mgQ2W和30mgQ2W组的ORR分别为22.2%和38.5%，在≥50%的肿瘤细胞任意强度染色的亚组人群中进一步提升至35.7% 和66.7%，安全性良好，无治疗相关死亡事件。其I/II期研究（ZG006-001）亦表现突出，截止至2025年7月，在SCLC中，10mg Q2W、30mgQ2W组、60mgQ2W组经 IRC评估的确认ORR分别为75.0%、60.0%和91.7%。同时，ZG005联合依托泊苷及顺铂（EP）用于一线治疗晚期神经内分泌癌的I/II期研究（ZG005-004）结果积极，在可评估的36例患者中，10 mg/kg + EP、20 mg/kgEP及对照组的ORR分别为42.9%、65.0%和33.3%。治疗相关不良事件总体可控，仅发生2例（3%）irAE，分别为免疫介导的小肠结肠炎和心肌损伤，均为2级。另外，据公告，截止至2025H1，ZG0895、ZG2001（抗肿瘤），均位于I/II期，ZGGS34（新颖结构的T细胞结合器类三特异抗体）美国IND申请已获FDA批准。盈利预测与投资建议我们预计公司25/26/27年营业收入分别约8.2/13.6/21.8亿元，同比增长54.6%/65.0%/60.0%；归母净利润为-1.1/1.0/4.3亿元。我们认为，公司处于产品快速放量阶段，且在研项目丰富，ZG006的临床开发进度位于全球前列，有望成为同类最佳，首次覆盖，给予“买入”评级。风险提示核心产品商业化不达预期；药品国谈结果不达预期；创新药临床试验失败风险。,,甬兴证券,买入,[None],2025-11-18,,买入,8021003,pdf_downloads/2025/2025-11-18/688266-泽璟制药（688266）：核心产品快速增长，在研管线丰富.pdf,688266,泽璟制药,泽璟制药（688266）：核心产品快速增长，在研管线丰富
"朱国广,张翀翯,苏丰",事件：公司2025前三季度实现营收5.93亿元（+54.49%，同比，下同），原因系核心产品重组人凝血酶与吉卡昔替尼片商业化放量；归母净利润亏损9342万元，同比收窄4.58%，收入超我们预期。看好核心在研管线006及005的BIC潜力。1）我们预计公司于12月ESMO ASIA读出006二期小肺PFS数据。2）ZG006海外BD积极推进中。我们看好006在末线小肺最佳疗法的潜力，以及005在后线实体瘤的PD1耐药潜力，均有望成为BIC。商业化持续拓展，构建多元产品矩阵。1）泽普生（多纳非尼）晚期肝癌、RAIR-DTC适应症均纳入医保。2）泽普凝（重组人凝血酶）纳入医保目录后销量增长明显。3）泽普平（吉卡昔替尼）重症斑秃适应症已获NDA受理，AD及ASⅢ期临床数据优异。4）rhTSH：甲状腺癌诊断用药适应症目前在技术审评阶段，有望成为首个获批该适应症的国产新药。盈利预测与投资评级：公司上半年核心产品商业化顺利，在研管线ZG005及ZG006数据表现优异，且ZG006海外授权持续推进，我们维持公司2025-2027年收入8.18/17.14/28.46亿元，对应当前市值的PS为34/16/10倍，维持“买入”评级。风险提示：新药研发进展不及预期风险、药品销售不及预期风险、海外 交易不及预期风险。,,东吴证券,买入,[None],2025-11-05,,买入,7412453,pdf_downloads/2025/2025-11-05/688266-泽璟制药（688266）：2025 年三季报点评：收入超预期，看好ZG006及ZG005全球竞争力.pdf,688266,泽璟制药,泽璟制药（688266）：2025 年三季报点评：收入超预期，看好ZG006及ZG005全球竞争力
"谭国超,任婉莹",主要观点：事件2025年10月30日，泽璟制药发布2025年三季报，实现营业收入5.93亿元，同比+54.49%；归母净利润-0.93亿元，同比减亏4.58%；扣非归母净利润-1.21亿元，同比-15.42%。单季度来看，公司2025Q3收入为2.18亿元，同比+51.85%；归母净利润为-0.21亿元，同比减亏34.29%；扣非归母净利润为-0.18亿元，同比减亏43.96%。点评财务状况持续向好，各项支出平衡稳健前三季度，公司整体毛利率为90.40%，同比-2.56个百分点；期间费用率110.57%，同比-14.84个百分点；其中销售费用率55.95%，同比+6.57个百分点；管理费用率7.80%，同比-2.89个百分点；财务费用率-4.20%，同比+1.47个百分点；经营性现金流净额为-0.17亿元，同比-125.11%。营收增长使费用率继续降低，凝血酶大分子新产品上市首年毛利率有所下降，经营性现金流下降主要为凝血酶市场推广授权款分期收款差异所致。临床开发进展紧锣密鼓，ZG005及ZG006再登ESMO报告期内，公司持续推进在研管线临床开发。公司自主研发的1类新药盐酸吉卡昔替尼片治疗活动性强直性脊柱炎的III期临床主试验达到疗效重点，公司将加快推进该适应症上市进程。其骨髓纤维化适应症已于今年上半年获批上市。ZG006（CD3/DLL3/DLL3）在2025年ESMO学术年会发布的临床数据及最新进展。ZG006在晚期神经内分泌癌（NEC）患者中的Ⅱ期剂量扩展临床研究（ZG006-003）入选本次年会神经内分泌肿瘤小型口头报告，有效性方面，根据IRC评估，ZG006 10 mg Q2W和30 mg Q2W组的确认ORR分别为22.2%和38.5%，DCR分别为33.3%和65.4%。在≥50%的肿瘤细胞任意强度染色的亚组人群中，两组确认ORR分别为35.7%和66.7%，DCR分别为42.9%和91.7%，mPFS、mDoR和mOS均尚未成熟。ZG005（PD-1/TIGIT）亦在2025年ESMO学术年会发布的临床数据及最新进展。其联合依托泊苷及顺铂（EP）在一线晚期神经内分泌癌患者中的安全性、药代动力学特征及初步疗效的I/II期临床研究（ZG005-004）数据显示：效性方面，在至少有2次基线后疗效评估的36例受试者中，研究者评估确认的ORR，接受ZG005 10 mg/kg + EP治疗为42.9%（3/7），ZG005 20 mg/kg + EP为65%（13/20），安慰剂+EP为33.3%（3/9）。各组疾病控制率（DCR）分别为85.7%、100%和100%，中位PFS和DoR数据尚未成熟。投资建议我们预计，公司2025~2027年收入分别8.3/14.7/22.0亿元，分别同比增长55.4%/77.4%/50.0%，归母净利润分别为-1.1/1.9/5.6亿元，对应PE为—/143X/49X。我们看好公司多抗平台的First in class潜力，泽普凝、吉卡昔替尼等商业化前景，公司有望成为下一代综合型创新药企。维持“买入”评级。风险提示新药研发失败风险、审批准入不及预期风险、行业政策风险、销售浮动风险。,,华安证券,买入,[None],2025-11-02,,买入,7271700,pdf_downloads/2025/2025-11-02/688266-泽璟制药（688266）：吉卡昔替尼扩大自免适应症，多抗研究再登ESMO.pdf,688266,泽璟制药,泽璟制药（688266）：吉卡昔替尼扩大自免适应症，多抗研究再登ESMO
刘闯,事件：泽璟制药发布2025年半年报。公司2025年上半年营业总收入3.76亿元，同比+56.07%；归母净利润-0.73亿元；扣非归母净利润-1.03亿元。三费方面，公司2025年上半年销售费用2.11亿元，同比+75.76%；管理费用0.39亿元，同比+46.43%；研发费用1.97亿元，同比+8.47%。商业化进展顺利，吉卡昔替尼获批上市。2025年上半年公司营业总收入3.76亿元，同比增长56.07%，主要得益于重组人凝血酶纳入国家医保目录后明显销量增长的带动，多纳非尼成功续约，医院和药房覆盖面广，已上市产品为公司带来持续稳定收益。公司重磅产品吉卡昔替尼2025年5月成功获批上市，纳入《CSCO恶性血液病诊疗指南2025》，作为原发性骨髓纤维化一线分层治疗的I级推荐和二线/进展期治疗的II级推荐，骨髓纤维化相关贫血患者一线治疗的I级推荐首选，同时吉卡昔替尼治疗重症斑秃适应症的NDA已获受理。吉卡昔替尼作为公司重磅产品，有望快速放量带来持续收益。重组人促甲状腺激素正在稳步推进上市评审工作，战略合作推动商业化落地。在研管线潜力可期，看好双抗/多抗出海潜力。公司在研管线潜力可期，进度不断推进：1）ZG005（PD-1/TIGIT双抗）：中美双报，适应症包括二线及以上宫颈癌、联合用药一线治疗实体瘤等，ASCO20252L+宫颈癌数据ORR为40.9%，DCR为68.2%，mPFS已超过11个月；2）ZG006（CD3/DLL3/DLL3三抗）：中美双报，全球同类首创分子形式，获得FDA孤儿药资格认定，纳入NMPA突破性治疗品种名单，主要针对小细胞肺癌、神经内分泌癌等领域，ASCO20253L+小细胞肺癌10mgQ2W和30mgQ2W的ORR分别为62.5%和58.3%，DCR分别为70.8%和66.7%，疗效显著；3）ZGGS15（LAG-3/TIGIT双抗）：中美双报，全球首款进入临床的LAG-3/TIGIT双抗，ASCO2025临床数据显示安全性良好；4）ZGGS34（MUC17/CD3/CD28）：中美双报，已向CDE和FDA提交IND申请，拟用于晚期实体瘤并获得FDA批准。公司在研管线潜力丰富，BD出海潜力可期。盈利预测与评级：我们预计公司2025-2027年总营收分别为8.24/13.88/23.91亿元，归母净利润分别为-0.95/1.17/5.61亿元，当前股价对应26-27年PE分别为242/50倍。鉴于公司商业化进度顺利，在研管线丰富，BD出海可期，维持“买入”评级。风险提示：临床研发失败风险，竞争格局恶化风险、销售不及预期风险等。,,华源证券,买入,[None],2025-09-04,,买入,6392479,pdf_downloads/2025/2025-09-04/688266-泽璟制药（688266）：商业化进展顺利，在研管线出海潜力可期.pdf,688266,泽璟制药,泽璟制药（688266）：商业化进展顺利，在研管线出海潜力可期
"唐爱金,赵丹",事件： 2025H1实现营收3.76亿元，同比增加56.07%；扣非归母净利润-1.03亿元，同比增加41.83%；研发费用1.97亿元，同比增加8.84%，销售费用2.11亿元，同比增加75.83%。其中2025Q2营收2.08亿，环比增加23.81%，同比增加57.58%；销售费用1.17亿元，同比增加95%，环比增加24.47%。点评：营收符合预期，商业化迎来收获期。截止到2025H1公司已获批上市多纳非尼、重组人凝血酶、吉卡昔替尼三个产品，营收同比增加56.07%；重组人凝血酶今年已成功纳入医保，加速放量中；吉卡昔替尼作为首个用于治疗骨髓纤维化的国产创新药于2025年5月29日获批上市，有望成为公司新的重要增长点；注射用重组人促甲状腺激素针对分化型甲状腺癌辅助诊断适应症于2024年6月CDE已受理其上市申请。针对该产品公司已经与德国默克达成合作，后者负责该药品在中国大陆地区的商业化，泽璟制药将获得授权款总金额为最高人民币2.5亿元，同时公司将根据协议约定按净销售额两位数百分比向ATSA支付市场推广服务费；公司1.0发展阶段的4个产品均已迎来商业化收获期，显著增强公司本身的造血能力，公司有望迎来盈亏平衡的拐点。抗体研发平台崭露头角，IO2.0双抗、TCE抗体未来可期。2025年公司即将有多款产品上市、提交上市申请以及数据读出，2025ASCO公司展示的CD3/DLL3/DLL3三抗ZG006针对48例3L及以上小细胞肺癌（SCLC）患者【24例】10mg剂量组ORR=62.5%，DCR=70.8%；【24例】30mg剂量组ORR=58.3%，DCR=66.7%，mPFS和mDoR尚未成熟，整体耐受性和安全性均良好；相比于竞品，尤其是安进刚刚在DeLLphi-307研究的中国人群患者数据，进一步凸显了泽璟制药“Best-in-class”DLL3 TCE地位，具有强出海预期。TCE赛道公司储备深厚，用于胃肠道肿瘤治疗的ZGGS34（MUC17/CD3/CD28）IND申请已获得FDA批准； 2025ASCO公司展示的PD-1/TIGIT双抗ZG005针对2L+宫颈癌临床1/2期数据优异，其mPFS已超过11个月，相比于竞品具有“Best-in-class”竞争力。ZG005作为一种广谱类IO产品，公司目前围绕一线BTC、HCC、CC，PD-（L）1抑制剂和含铂化疗治疗失败的NSCLC、复发性或转移性神经内分泌癌、淋巴瘤等多种适应症开展了多项I/II期临床试验，该产品有成为大药的潜力。盈利预测与投资评级：考虑到公司核心产品的市场空间、竞争格局以及商业化的不断加快，我们预计 2025-2027年公司收入分别为8.65亿元14.57亿元、20.55亿元，分别同比增长62.3%、68.5%、41%；2025-2027年归母净利润分别为-1.83亿元、-0.05亿元、1.28亿元。风险因素：创新药研发失败风险；商业化不及预期风险；国内和海外市场竞争加剧风险；公司核心技术与管理人员流失的风险；政策波动风险。,,信达证券,,[None],2025-09-03,,,6389756,pdf_downloads/2025/2025-09-03/688266-泽璟制药（688266）：营收符合预期，抗体研发平台未来可期.pdf,688266,泽璟制药,泽璟制药（688266）：营收符合预期，抗体研发平台未来可期
"谭国超,任婉莹",主要观点：事件2025年8月23日，泽璟制药发布2025年半年报，报告期内实现营业收入3.76亿元，同比+56.07%；归母净利润-0.73亿元，同比-9.42%；扣非归母净利润-1.03亿元，同比-41.83%。单季度来看，公司2025Q2收入为2.08亿元，同比+57.04%；归母净利润为-0.45亿元，同比-64.74%；扣非归母净利润为-0.53亿元，同比-75.97%。点评财务状况持续向好，各项支出平衡稳健上半年，公司整体毛利率为89.67%，同比-3.07个百分点；期间费用率115.11%，同比-14.68个百分点；其中研发费用率52.31%，同比-20.49 个百分点；销售费用率56.24%，同比+6.30个百分点；管理费用率10.30%，同比-0.68个百分点；财务费用率-3.73%，同比+2.65个百分点；经营性现金流净额为-0.17亿元，同比-115.12%。研发费用总额1.96亿元，同比+8.47%。营收增长使表观费用率继续降低，凝血酶大分子新产品上市初期毛利率有所下降，经营性现金流下降主要为凝血酶市场推广授权款分期收款差异所致。稳步推进商业化进程，吉卡昔替尼片备战医保谈判报告期内，公司商业化品种进一步巩固商业化布局。泽普生（甲磺酸多纳非尼片）已达成进院1200余家、共覆盖2200余家医院、1000余家药房。泽普凝（重组人凝血酶）已累计准入590余家医院，自2024泽普平（盐酸吉卡昔替尼片）于2025年5月获得国家局批准上市，将参与2025年国家医保谈判，目前已完成形式审查。除骨髓纤维化适应症外，吉卡昔替尼持续拓展自身免疫病适应症，其首发的治疗重度斑秃适应症的NDA申请已经获得NMPA受理。注射用重组人促甲状腺激素（rhTSH）的术后随访检测适应症已递交NDA申请，且在今年已与德国默克集团（Merck）达成商业化合作，借助Merck既往多年在内分泌科的学术及渠道优势，公司rhTSH有望加速填补国内甲状腺癌术后精准管理的药物空白。多特异性抗体持续进入临床，联合用药靶点组合报告期内，公司持续推进创新管线进入临床。ZGGS15（LAG3/TIGIT）双抗获得中美双报IND批准，为全球首款进入临床研究的该靶点药物，在2025 ASCO中显示了良好的安全性及抗肿瘤疗效，有望联合PD-(L)1增强协同抗肿瘤作用。ZGGS34（MUC17/CD3/CD28）三抗已向CDE与FDA递交IND申请，有望在MUC17高表达的消化道肿瘤率先探索。公司ZG005（PD-1/TIGIT）、ZGGS18（VEGF/TGF-β）联合吉卡昔替尼（JAKi）的IND申请获得国家药监局批准，将开展用于晚期实体瘤的临床试验。靶点组合实现T细胞活化+抑制肿瘤血管生成等协同效应，覆盖难治肿瘤领域。投资建议预计公司2025~2027年收入分别9.0/16.5/24.1亿元，分别同比增长68.7%/83.2%/46.2%，归母净利润分别为0.7/5.3/10.2亿元，分别同比增长152.7%/628.6%/93.1%，对应估值为373X/51X/27X。我们看好公司多抗平台的First in class潜力，泽普凝、吉卡昔替尼等商业化前景，公司有望成为下一代综合型创新药企。维持“买入”评级。风险提示新药研发失败风险、审批准入不及预期风险、行业政策风险、销售浮动风险。,,华安证券,买入,[None],2025-08-28,,买入,6359020,pdf_downloads/2025/2025-08-28/688266-泽璟制药（688266）：吉卡昔替尼将参与医保谈判，多抗组合覆盖优势领域.pdf,688266,泽璟制药,泽璟制药（688266）：吉卡昔替尼将参与医保谈判，多抗组合覆盖优势领域
"朱国广,张翀翯,苏丰",事件：公司2025H1实现营收3.76亿元（同比+56.07%），主要系重组人凝血酶进医保后增长明显；归母净利润-0.73亿元（去年同期-0.67亿元），系销售及研发费用增加；经营现金流净额-1702万，系凝血酶市场推广授权款分期收款差异；研发投入1.97亿（同比+8.47%）。抗体平台具备竞争力，核心管线进展顺利。1）ZG006（CD3/DLL3/DLL3）治疗晚期SCLC获得了CDE 突破性治疗认定，预计下半年注册Ⅲ期临床，并于学术会议上公布关键数据。2）ZG005（PD1/TIGIT）开发进度全球前列，且具备泛瘤种拓展及联用潜力，包括联合ZG006、化疗、ZGGS18或贝伐、吉卡昔替尼、PD-1/PD-L1单抗等。3）ZGGS三抗（MUC17/CD3/CD28）已向CDE和FDA提交IND申请，适应症拟晚期实体瘤，并已获FDA批准。商业化持续拓展，构建多元产品矩阵。1）泽普生（多纳非尼）晚期肝癌、RAIR-DTC适应症均纳入医保，截至2025H1已进院1200+家，覆盖2200+家，覆盖药房1000+家。2）泽普凝（重组人凝血酶）截至2025H1累计入院590余家，纳入医保目录后销量增长明显。3）泽普平（吉卡昔替尼）2025年5月获批上市（适应症为PMF、PPV-MF、PET-MF），重症斑秃适应症已获NDA受理，AD及AS位于Ⅲ期临床。4）rhTSH：甲状腺癌诊断用药适应症目前在技术审评阶段，有望成为首个获批该适应症的国产新药。盈利预测与投资评级：公司上半年核心产品商业化顺利，在研管线ZG005及ZG006数据表现优异，且ZG006海外授权持续推进，我们维持公司2025-2027年收入8.18/17.14/28.46亿元，对应当前市值的PS为36/17/10倍，维持“买入”评级。风险提示：新药研发进展不及预期风险、药品销售不及预期风险、海外 交易不及预期风险。,,东吴证券,买入,[None],2025-08-27,,买入,6352132,pdf_downloads/2025/2025-08-27/688266-泽璟制药（688266）：2025年中报点评：商业化稳步推进，看好ZG006及ZG005全球竞争力.pdf,688266,泽璟制药,泽璟制药（688266）：2025年中报点评：商业化稳步推进，看好ZG006及ZG005全球竞争力
"杜向阳,汤泰萌",事件：公司发布2025半年度报告，实现营业收入3.8亿元（+56.1%），归母净利润-0.7亿元，业绩符合预期。四款已上市或临近上市产品商业化稳步推进。多纳非尼商业化稳步推进，截至2025年6月30日已进入医院1200余家、覆盖医院2200余家、覆盖药房1000余家。重组人凝血酶成功纳入国家医保目录，2025年上半年销量增长明显，截至2025年6月30日，重组人凝血酶累计准入医院590余家。吉卡昔替尼片治疗中危或高危原发性骨髓纤维化（MF）适应症于2025年5月获批上市，公司商业化团队正在积极进行吉卡昔替尼片治疗骨髓纤维化适应症的市场推广和销售工作。公司持续推进注射用重组人促甲状腺激素（rhTSH）的上市前相关工作，目前已完成发补研究，2025年6月公司与德国默克公司（MerckKGaA）的瑞士子公司ATSA签署《服务协议》，公司同意授权ATSA作为rhTSH在中国大陆地区的独家市场推广服务商。临床数据优异，不断构筑抗体平台竞争优势。公司重点推动以注射用ZG005（PD-1/TIGIT）、注射用ZG006（CD3/DLL3/DLL3）为代表的抗体新药的后续临床研发进程。在2025年美国临床肿瘤学会（ASCO）年会上，公司公布了包括ZG006、ZG005等产品在内的28项最新临床研究数据。ZG006单药治疗在难治性晚期小细胞肺癌患者中的II期剂量优化临床研究（ZG006-002）入选ASCO年会肺癌专场口头报告，数据显示，ZG006单药10mgQ2W和30mgQ2W剂量在三线及以上小细胞肺癌患者中均展现出显著的抗肿瘤活性及良好的安全性。ZG005在20mg/kgQ3W给药剂量下，在二线及以上宫颈癌患者中，展现出优异的抗肿瘤活性和良好的安全性。管线催化密集，联合治疗研究潜力巨大。吉卡昔替尼片治疗重症斑秃的新药上市申请（NDA）于2025年5月获受理，治疗中重度特应性皮炎和强直性脊柱炎位于III期临床试验阶段。ZG006治疗晚期小细胞肺癌获得了CDE突破性治疗的认定，即将进入关键临床研究；ZG006治疗神经内分泌癌也显示了良好的治疗潜力。ZG005临床开发进度位于全球前列，潜在适应症包括肝癌、神经内分泌癌、宫颈癌等。公司也在积极探索ZG005和ZG006的各项联合治疗研究，包括联合化疗、联合ZGGS18或贝伐珠单抗、联合吉卡昔替尼、联合PD-1/PD-L1单抗等，以期寻找到具有突破性治疗潜力的治疗方案，满足未被满足的临床需求。盈利预测：随着研发和商业化的稳步推进，公司业绩增长动力充足，我们预计公司2025-2027年营业收入分别为8.5、14.8和21.1亿元。风险提示：研发进展或不及预期风险、核心品种商业化进展或不及预期风险、政策风险。,,西南证券,,[None],2025-08-26,,,6350170,pdf_downloads/2025/2025-08-26/688266-泽璟制药（688266）：业绩符合预期，构筑抗体平台竞争优势.pdf,688266,泽璟制药,泽璟制药（688266）：业绩符合预期，构筑抗体平台竞争优势
