author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"邱祖学,王作燊",低品位矿利用大幅提升，Q3利润不及预期事件：公司发布2025年三季报。2025年前三季度公司实现营收837.83亿元，同比增长25.04%，归母净利润39.56亿元，同比增长91.51%，扣非归母净利39.45亿元，同比增长88.43%；单季度看，25Q3公司实现营收270.17亿元，同比增长27.25%，环比下滑12.37%，归母净利润11.48亿元，同比增长68.24%，环比下降35.58%，扣非归母净利11.35亿元，同比增长66.98%，环比下降36.19%，业绩不及预期。点评：金融类费用大幅增加，业绩承压。量：2025前三季度公司实现矿产金产量37.8吨，同比增长6.64%，销量36.8吨，维持产大于销；Q3单季度矿产金产量13.1吨，同比增长19.81%，环比增长1.89%。结合2024年年报，公司自产金库存已达5.4吨。生产目标：根据2024年年报规划，公司2025年生产目标为黄金产量不低于50吨。价：2025年前三季度黄金均价3203美元/盎司，同比增长39.6%；Q3单季度金均价为3459美元/盎司，同比增长39.9%、环比增长5.4%；利：2025年前三季度公司毛利率/净利率18.01%/6.47%，同比增长3.13/1.53pct，Q3单季度毛利率/净利率19.18%/5.71%，同比增长2.75/0.31pct，环比变动+0.13/-2.12pct，毛利率低于预期主要是随着价格上行，公司加大了低品位矿的开发利用，生产成本上升导致毛利率上行不及预期。其他：公司前三季度投资收益/公允价值变动损益科目-4.67/-8.62亿元，同比-3.1/-4.65亿元，Q3单季度投资收益/公允价值变动损益-1.04/-6.25亿元，同比-1.37/-3.37亿元，环比+1.04/-5.47亿元。行业龙头，规模优势显著：根据中国黄金协会数据显示，公司焦家金矿、三山岛金矿、新城金矿连续多年入选“中国黄金生产十大矿山”和“中国黄金经济效益十佳矿山”。2024年，公司年产黄金1吨以上的矿山达到12座，2025年预计达到13座。勘探工程及远期项目持续推进。公司上半年累计完成探矿工程量29.3万米，探矿新增金金属量18.8吨。三山岛副井施工至-1900米标高、同时平行推进扩建工程建设项目核准、安设审查等手续办理；焦家金矿资源整合项目、新城金矿资源整合项目有序推进；卡蒂诺公司纳穆蒂尼金矿生产能力爬坡，整体生产情况稳中向好；山金国际纳米比亚Osino选厂建设计划今年第四季度全面开始，预计2027年上半年投产。我们预计公司2030年产量有望达到80吨。投资建议：考虑2025年贵金属价格同比增幅明显，我们预计公司2025-2027年归母净利润分别为65.46/83.29/93.77亿元，按照10月31日收盘价，对应PE为25/20/18倍，维持“推荐”评级。风险提示：产品价格波动风险，安全环保管理风险，项目进展不及预期等。,,民生证券,推荐,[None],2025-10-31,,增持,7103935,pdf_downloads/2025/2025-10-31/600547-山东黄金（600547）：低品位矿利用大幅提升，Q3利润不及预期.pdf,600547,山东黄金,山东黄金（600547）：低品位矿利用大幅提升，Q3利润不及预期
"李斌,马晓晨",2025年10月31日│中国内地/中国香港 贵金属 山东黄金发布三季报：Q3实现营收270.17亿元（yoy+27.25%，qoq-12.37%），归母净利11.48亿元（yoy+68.24%，qoq-35.58%）。2025年Q1-Q3实现营收837.83亿元（yoy+25.04%），归母净利39.56亿元（yoy+91.51%），扣非净利39.45亿元（yoy+88.43%）。三季度业绩环比下滑明显或主要因成本波动及公允价值变动净收益-6.25亿。维持“增持”评级。三季度产销环比均增长，业绩环比下滑或因成本及非经因素影响25Q1-3自产金产销双升。据三季报，25Q1-3自产金产/销量 37.8/36.8吨，yoy +6.64%/+11.99%；外购金产/销量 51.2/51.1吨，yoy -13.54%/-13.78%；小金条产/销量10.6/10.7吨，yoy -40.69%/-38.64%。测算25Q3自产金产/销量分别为13.08/13.22吨，环比Q2分别+1.9%/+4.8%。据Wind，25Q3金价环比上涨3%。鉴于金价及产销环比表现均可，我们推测三季度业绩环比下滑主要因成本波动及非公允价值变动净收益-6.25亿、投资净收益-1.04亿元。公司是兼具资源及成长性优势的龙头据2024年年报，公司截至2024年底保有资源储量黄金金属量2635.84吨，按公司持有权益比例计算2058.46吨，为AH黄金公司中龙头。成长性方面，公司积极推动包括焦家金矿、新城金矿、三山岛金矿在内的胶东地区世界级黄金生产基地建设，据可研报告，焦家、新城、卡蒂诺项目满产后年产金18.85/7.77/8.44吨，公司未来黄金产量在现有基础上有望实现明显增加。金价短期回调不改长期逻辑，关注企稳后增配机会10月21日晚国际金价创12年来最大单日跌幅5.3%，背后核心原因是俄乌冲突缓和+中美贸易摩擦边际缓和，市场避险情绪大幅回落。但全球秩序重构期，黄金仍是最合适的避险资产。我们认为短期下跌不影响黄金长期逻辑，回调反而提供加仓机会，企稳后建议重新关注。22日当天典型黄金公司股价跌幅反而好于金价本身，说明市场对黄金相关资产的长期配置价值的共识未发生改变。建议关注金价企稳后黄金相关资产的增配机会。盈利预测与估值我们下调公司25-27年归母净利润（-7.90%/-1.80%/-0.23%）至63.38/93.60/123.60亿元（三年复合增速为61.19%），对应EPS为1.37/2.03/2.68元。下调主要是公司公允价值损失及投资负收益超预期。可比公司26年Wind一致预期PB均值为3.53倍，给予公司26年3.53倍PB，26年BPS 10.9元，公司近3个月A/H 平均溢价率20.6%，基于26年10月30日港元兑人民币汇率0.912，对应A/H目标价38.52元/35.02港元（前值37.25元/31.58港元，基于公司25年3.82倍PB，25年BPS 9.76元， A/H 平均溢价率29.19%），均维持增持评级。风险提示：公司在建项目不及预期，行业下游需求不及预期等。,,华泰证券,增持,[None],2025-10-31,,增持,7103246,pdf_downloads/2025/2025-10-31/600547-山东黄金（600547）：推测成本及非经因素影响三季度业绩.pdf,600547,山东黄金,山东黄金（600547）：推测成本及非经因素影响三季度业绩
"杨丰源,李帅华",25H1实现归母净利润28.08亿元，Q2业绩表现亮眼2025H1，公司实现营业收入567.66亿元，同比增加109.92亿元，YOY24.01%；实现利润总额54.83亿元，同比增加26.75亿元，YOY95.23%；归属于上市公司股东的净利润28.08亿元，同比增加14.25亿元，YOY102.98%；加权平均净资产收益率9.81%，同比增加4.80个百分点.单季度看，25Q2公司实现营收308.3亿元，同比增长14.97%，环比增长18.87%，归母净利润17.82亿元，同比增长160.53%，环比增长73.68，业绩同环比均实现大幅增长。产销基本平衡，助力业绩顺利释放2025H1，公司矿产金产量24.71吨，相当于国内矿山企业矿产金产量的17.72%，其中公司海外矿山产金5.67吨。根据中国黄金协会数据显示，公司焦家金矿、三山岛金矿、新城金矿连续多年入选“中国黄金生产十大矿山”和“中国黄金经济效益十佳矿山”。2024年，公司年产黄金1吨以上的矿山达到12座，2025年预计达到13座，持续巩固公司在黄金行业的优势地位。2025H1销量为23.60吨，产销量基本维持平衡，叠加金价提升，助力公司业绩顺利释放。增量项目持续推进，助力公司远期产量目标实现2025H1公司完成工程量37.48万立方米，各增量项目持续推进。三山岛金矿副井工程施工至-1900米标高、刷新国内深井纪录，同时，平行推进采选15000吨/日扩建工程建设项目核准、安设审查等手续办理，争取项目尽早具备全面建设条件。焦家金矿资源整合项目、新城金矿资源整合项目均按施工进度计划有序推进。焦家金矿资源整合项目设计的5条主控性竖井工程中，已有4条顺利掘砌到底，正在有序推进配套装卸载、排水配电、运输平巷等工程的施工，全力保障施工进度。新城金矿资源整合项目4条主要竖井工程均已掘砌到底，正在进行井下排水配电系统、粉矿回收系统建设，同步推进回风石门巷道、主要运输巷道掘砌施工。持续推进卡蒂诺公司纳穆蒂尼金矿项目生产系统联调联试试生产和生产能力爬坡，整体生产情况稳中向好。山金国际2024年完成收购的纳米比亚Osino公司项目高效推进，选厂建设计划今年第四季度全面开始，预计2027年上半年投产。盈利预测我们预计2025-2027年，随着金价中枢稳健上移，公司黄金产销量稳中有升，预计归母净利润为69.35/88.75/103.13亿元，YOY为135%/28%/16%，对应PE为25.51/19.93/17.16。综上，维持“买入”评级。风险提示金价格超预期下跌，成本超预期上行等。,,中邮证券,买入,[None],2025-09-11,,买入,6423845,pdf_downloads/2025/2025-09-11/600547-山东黄金（600547）：金价上行带动公司业绩充分释放.pdf,600547,山东黄金,山东黄金（600547）：金价上行带动公司业绩充分释放
"傅鸿浩,杜飞",事件山东黄金发布2025年半年报：2025年上半年公司营业收入为567.66亿元，同比+24.01%；归母净利润为28.08亿元，同比+102.98%；扣除非经常性损益后的归母净利润为28.10亿元，同比+98.74%。投资要点矿产金产量稳定增长，金价大幅上涨境内外产能建设提速2025年上半年，矿产金生产24.71吨，同比+0.77%。其中Q1生产11.87吨，环比+10.61%，Q2生产12.84吨，环比+8.16%。2025年上半年，黄金价格大幅攀升，国际现货金价收盘较上年末上涨约25.8%，国内上海黄金交易所AU(T+D)合约收盘亦上涨约24.3%，金价拉动下公司2025年上半年自产金产品销售均价达到720.60元/克。资源整合与探矿同步进行保障远期资源供应项目端，重点工程推进顺利。2025年上半年公司累计完成形象投资10.9亿元、工程量37.48万立方米，为后续产能释放筑牢基础。三山岛金矿副井工程施工至-1900米标高、刷新国内深井纪录，同时平行推进采选15000吨/日扩建工程建设项目核准、安设审查等手续办理。焦家金矿资源整合项目设计的5条主控性竖井工程中，已有4条顺利掘砌到底，正有序推进配套装卸载、排水配电、运输平巷等工程施工。新城金矿资源整合项目4条主要竖井工程均已掘砌到底，井下排水配电系统、粉矿回收系统建设及回风石门巷道、主要运输巷道掘砌施工同步开展。海外项目方面，持续推进卡蒂诺公司纳穆蒂尼金矿项目生产系统联调联试试生产和生产能力爬坡，整体生产情况稳中向好；山金国际2024年完成收购的纳米比亚Osino 公司项目高效推进，选厂建设计划今年第四季度全面开始，预计2027 年上半年投产。资源端，公司统筹探矿增储与资源并购，资源储量增加。自主探矿方面，上半年累计完成探矿工程量29.3万米，探矿新增金金属量18.8吨，为长期资源保障提供支撑。同时稳步推进国内外优质资源并购，为长期产能释放奠定资源基础。截至报告期，公司年产黄金1吨以上矿山预计2025年达13座，焦家金矿、三山岛金矿等持续稳居“中国黄金生产十大矿山”，规模优势进一步强化。盈利预测预测公司2025-2027年收入分别为1017.35、1039.85、1062.35亿元，归母净利润分别为65.98、72.52、79.04亿元，当前股价对应PE分别为26.9、24.5、22.5倍，考虑到金价仍有上行空间，公司仍有多个新建及扩建项目在进行，远期带来自产金矿产量增长，维持“买入”投资评级。风险提示1）金价大跌；2）公司自产金矿产量下行；3）新项目建设进度不及预期；4）安全及环保影响金矿开采等。,,华鑫证券,买入,[None],2025-09-11,,买入,6422806,pdf_downloads/2025/2025-09-11/600547-山东黄金（600547）：公司事件点评报告：金价上行驱动业绩增长，多个建设项目产能释放在望.pdf,600547,山东黄金,山东黄金（600547）：公司事件点评报告：金价上行驱动业绩增长，多个建设项目产能释放在望
"许勇其,黄玺",主要观点：山东黄金发布2025年半年报公司2025年上半年实现营收567.66亿元，同比+24.01%；实现归母净利润28.08亿元，同比+102.98%。单Q2实现营收308.30亿元，同比+14.97%，环比+18.87%；实现归母净利润17.82亿元，同比+160.68%，环比+73.64%。金价上行支撑业绩，矿山产金收入同增55%公司2025上半年自产金收入170.06亿元，同比+55.31%；黄金产量为24.71吨，与24H1基本持平。价格方面，黄金价格持续上行，25H1上海黄金交易所平均收盘价为722.13元/克，较上年同期+38.6%；分季度来看，Q2均价770.46元/克，同比+39.4%，较Q1环比+14.8%。美联储降息预期及全球地缘政治不确定性下金价持续上行，截至2025年9月4日黄金收盘价已经达到809.19元/克。半年度利润分配回馈股东公司发布2025年半年度利润分配公告，预计每股派发现金红利人民币0.18元（含税），半年度现金分红金额占扣除永续债利息后归母净利润的31.45%，高分红回馈股东。投资建议我们预计公司2025-2027年归母净利润分别为66.63/81.82/92.55亿元（前值为55.9/64.6/70.2亿元，考虑金价上行上调），对应PE分别为25.30/20.61/18.22倍，维持“买入”评级。风险提示黄金价格大幅波动；项目建设不及预期；矿山安全和环保风险等。,,华安证券,买入,[None],2025-09-07,,买入,6397240,pdf_downloads/2025/2025-09-07/600547-山东黄金（600547）：金价持续上行，上半年归母净利同增103%.pdf,600547,山东黄金,山东黄金（600547）：金价持续上行，上半年归母净利同增103%
"沈皓俊,沈家悦",山东黄金发布2025年中报，其中25H1归母净利润28.08亿，同比+102.98%，盈利表现略超市场预期。值得关注的是25H1山东黄金加权ROE为9.81%（去年同期5%），资产盈利能力转好。产量维持稳健，未来增长规划逐步落地2025 年上半年，公司矿产金产量24.71吨（24H1为24.52吨）略有增长；自产金销量23.60吨。产量维持稳健，基本实现产销平衡。增量项目进度更新：三山岛金矿副井工程施工至-1900米标高并平行推进采选15000吨/日扩建工程建设项目核准、安设审查等手续办理；焦家金矿（满产18.85吨/年）5条竖井中有4条顺利掘砌到底；新城金矿（满产7.8吨/年）4条主要竖井顺利掘砌到底；卡蒂诺金矿爬坡生产情况稳中向好；山金国际Osino选厂25Q4开建，预计27H1投产。我们如何看现在的山东黄金？公司杠杆逐渐进入密集收获期。我们认为，前两年山东黄金加杠杆并购的决策正进入密集收获期。卡蒂诺金矿、大桥金矿与山金国际等外延优质资产未来有望贡献可观收入。内部三山岛、焦家、新城正有序推进扩产。行业上行期积极并购金矿：并购使公司资产负债率从2020年50%上升至25H1的63%，25年H1公司长期借款为229亿元，体量较大。但回头看近年金价一路上行，若现在并购交易对价会显著上升，系列并购充实公司黄金储备。金价观点：25Q4积极看多黄金在滞胀+降息+债务冲击下的上行机会。我们积极看多黄金滞胀+降息+债务冲击环境下的表现。滞胀：从目前宏观数据来看，25Q4美国宏观大概率落入滞胀象限。同时美国关税政策仍悬而未决，未来通胀水平有可能更高。降息：美联储目前鸽派，降息可能性大。债务冲击：欧洲国债收益率纷纷上行，利好金价。金价上行逻辑非常顺畅。盈利预测与估值：公司是黄金行业龙头公司，行业地位稳固。因目前金价相比2024年均价上行，我们预计公司2025-2027年归母净利润分别为65.54亿元、83.43亿元、108.24亿元，分别同比 +122.04%、 +27.31%、+29.73%。EPS 分别为1.47/1.87/2.42元， 对应的 PE 分别为24.74/19.44/14.98倍，维持公司买入评级。风险提示：扩产工程进度不及预期，黄金价格不及预期。,,浙商证券,买入,[None],2025-09-05,,买入,6395349,pdf_downloads/2025/2025-09-05/600547-山东黄金（600547）：高成本金矿利润改善幅度超预期.pdf,600547,山东黄金,山东黄金（600547）：高成本金矿利润改善幅度超预期
"丁士涛,刘依然",事件公司发布2025年半年度报告，2025H1公司实现营业收入567.66亿元，同比增长24.01%；归母净利润28.08亿元，同比增长102.98%；扣非归母净利润28.10亿元，同比增长98.74%。2025Q2公司实现营业收入308.30亿元，同比增长14.97%，环比增长18.87%；归母净利润17.82亿元，同比增长160.68%，环比增长73.64%；扣非归母净利润17.79亿元，同比增长152.72%，环比增长72.67%。受益于金价上行与运营效率提升，业绩实现同比大幅增长2025H1公司矿产金产量为24.71吨，同比增长0.77%；2025Q2矿产金产量为12.84吨，同比增长1.80%，环比增长8.16%。根据iFinD，2025H1上海黄金交易所Au9999黄金均价为722元/克，同比上涨38.6%；2025Q2均价为770元/克，同比上涨39.4%，环比上涨14.8%。2025H1公司统筹优化生产布局，提升精细管理水平，在科学匹配项目建设的同时，显著提升运营效能，实现生产效率与资源利用率、项目建设速度的协同提升，同时叠加黄金价格上行因素，公司业绩实现同比大幅增长。盈利能力同比提升，经营性现金流高增2025H1公司毛利率/净利率分别为17.46%/6.82%，分别同比提高3.30/2.10pct；2025Q2毛利率/净利率分别为19.05%/7.83%，分别同比提高5.18/3.70pct，环比提高3.48/2.19pct。公司费用端管控良好，期间费用率同比下降；2025H1公司期间费用率为5.25%，同比下降0.36pct；其中，销售/管理/研发/财务费用率分别为0.13%/2.96%/0.55%/1.61%，分别同比-0.05/+0.13/-0.02/-0.43pct。2025H1公司经营性现金净流量为105.03亿元，同比增长81.72%。聚焦扩能增产，加快推进项目建设2025H1公司加快推进项目建设，三山岛金矿副井工程施工至-1900米标高，平行推进采选15000吨/日扩建工程建设项目核准、安设审查等手续办理，争取尽早具备全面建设条件；焦家金矿资源整合项目、新城金矿资源整合项目均按施工进度计划有序推进；持续推进卡蒂诺公司纳穆蒂尼金矿项目生产系统联调联试和产能爬坡工作，整体生产情况稳中向好。另外，公司持续加大地质勘查力度，2025H1累计完成探矿工程量29.3万米，探矿新增金金属量18.8吨。盈利预测与评级黄金价格仍处于上涨大周期，公司业绩有望延续高增长；我们预计公司2025-2027年归母净利润分别为59.44/72.22/87.20亿元，分别同比增长101.38%/21.50%/ 20.75%，EPS分别为1.33/1.61/1.95元/股，当前股价对应P/E分别为25.1/20.7/ 17.1倍，维持“买入”评级。风险提示：美联储降息不及预期；金价大幅波动风险；安全和环保风险。,,国联民生证券,买入,[None],2025-08-31,,买入,6380920,pdf_downloads/2025/2025-08-31/600547-山东黄金（600547）：金价上行叠加运营效率提升，业绩同比高增.pdf,600547,山东黄金,山东黄金（600547）：金价上行叠加运营效率提升，业绩同比高增
"翟堃,高嘉麒",投资要点事件。公司于2025年8月28日公布财报。本报告期内，公司实现总营业收入567.66亿元，同比增长24.01%；利润总额达到54.83亿元，同比增长95.23%；实现归母净利润28.08亿元，同比增长102.98%。自产金产量提升，黄金价格上涨带动公司业绩上行。从产量来看，2025年上半年，公司矿产金产量24.71吨，较2024年上半年有所提升。价格方面，2025年初至今，国内黄金年度均价约为736.11 元/克，较2024年均价提升约32.1%。产量与产品价格的提升带动了公司业绩上行。持续提升资源储备，满足后续长远发展。公司上半年累计完成探矿工程量29.3万米，探矿新增金金属量18.8吨。此外，自2023年以来，公司相继收购山金国际28.89%股份，竞得大桥金矿采矿权及外围探矿权，收购昶泰矿业70%股权及西岭金矿探矿权，山金国际并购Osino Resources Corp.100%股权、云南西部矿业有限公司52.07%股权，山金国际控股子公司芒市华盛金矿开发有限公司并购周边一宗探矿权，上述并购大幅增加了公司的资源储备。金价动力仍存，公司业绩有望上行。近期美联储主席鲍威尔在杰克逊霍尔全球央行年会上表示，美国就业市场面临的下行风险上升，风险的平衡转变可能使得美联储调整政策立场成为恰当之举。这是鲍威尔迄今为止发出的最强烈的信号，暗示美联储最早将于9月降息。在降息预期下，我们对黄金持续看好，同时美元全球地位逐步动摇的长期逻辑正在加速落地，有望对金价带来持久的推动。投资建议。公司黄金产量、资源量有望上涨，预计未来业绩或有提升，预测公司2025-2027年营收分别为924、966、1006亿元，归母净利润分别为67、80、92亿元，维持“买入”评级。风险提示：公司矿产金产量增长不及预期；公司克金成本增长超预期；黄金价格下跌超预期。,,德邦证券,买入,[None],2025-08-29,,买入,6367736,pdf_downloads/2025/2025-08-29/600547-山东黄金（600547）：金价上行，业绩大幅提升.pdf,600547,山东黄金,山东黄金（600547）：金价上行，业绩大幅提升
华立,事件：公司发布2025年半年报，公司2025年上半年实现营业收入567.66亿元，同比增长24.01%；实现归属母公司股东净利润28.08亿元，同比增长102.98%；实现扣非后归属于母公司股东净利润28.10亿元，同比增长98.74%。公司2025Q2单季度实现营业收入308.30亿元，同比增长14.97%，环比增长18.87%；实现归属母公司股东净利润17.82亿元，同比增长160.68%，环比增长73.64%；实现扣非后归属于母公司股东净利润17.79亿元，同比增长152.72%，环比增长72.67%。金价上涨推动公司业绩高增：2025年上半年公司自产金产量24.71吨，同比增长0.77%；自产金销量达到23.60吨。其中公司2025Q2自产金产量12.84吨，较一季度环比增长8.16%；2025Q2自产金销量12.61吨，环比增长14.71%。2025年上半年，国内黄金均价同比上涨38.56%至721.79元/克。在金价拉动下，公司2025年上半年自产金产品销售均价达到720.60元/克；自产金的产品的单位销售成本达到344.80元/克，较2024年全年自产金销售成本上升51.89元/克。但黄金价格的上涨，仍使2025年上半年公司自产金的单位毛利扩大至375.80元/克，公司报告期内销售毛利率同比提升3.30个百分点至17.46%，推动2025年上半年公司业绩同比大幅增长。探矿增储与资源并购夯实发展基础，重点项目攻坚进展顺利：报告期内，公司焦家金矿资源整合项目、新城金矿资源整合项目均按施工进度计划有序推进。其中，焦家金矿资源整合项目设计的5条主控性竖井工程中，已有4条顺利掘砌到底，正在有序推进配套装卸载、排水配电、运输平巷等工程的施工，全力保障施工进度。新城金矿资源整合项目4条主要竖井工程均已掘砌到底，正在进行井下排水配电系统、粉矿回收系统建设，同步推进回风石门巷道、主要运输巷道掘砌施工。此外，公司持续推进卡蒂诺公司纳穆蒂尼金矿项目生产系统联调联试试生产和生产能力爬坡，整体生产情况稳中向好。山金国际2024年完成收购的纳米比亚Osino公司项目也在报告期内高效推进，选厂建设计划将在今年第四季度全面开始，预计将在2027年上半年投产。资源勘探方面，报告期内公司深度融入新一轮找矿突破行动，持续加大地质勘查力度，2025年上半年公司累计完成探矿工程量29.3万米，探矿新增金金属量18.8吨。此外，公司持续跟踪关注矿山周边和国内外重要成矿带优质资源，稳步推进并购工作。投资建议：美国就业市场下行风险加剧，美联储或将在9月再度降息，推动黄金价格上涨。公司作为黄金行业龙头企业，将直接受益于金价上涨。预计公司2025-2027年归属于母公司股东净利润68.96/84.13/101.13亿元，EPS分别为1.54/1.88/2.26元，对应2025-2027年PE为21.40/17.54/14.59倍，维持“推荐”评级。风险提示：1）美联储降息不及预期的风险；2）黄金价格大幅下跌的风险；3）公司矿产金产销量不及预期的风险；4）公司新建项目进度不及预期的风险；5）公司自产金成本大幅上升的风险。,,银河证券,推荐,[None],2025-08-29,,买入,6366004,pdf_downloads/2025/2025-08-29/600547-山东黄金（600547）：2025 年半年报点评：金价上涨驱动黄金龙头业绩高增.pdf,600547,山东黄金,山东黄金（600547）：2025 年半年报点评：金价上涨驱动黄金龙头业绩高增
"刘孟峦,杨耀洪",公司发布半年报：上半年实现营收567.66亿元，同比+24.01%；实现归母净利润28.08亿元，同比+102.98%。公司于25Q2实现营收308.30亿元，同比+14.97%，环比+18.87%；实现归母净利润17.82亿元，同比+160.68%，环比+73.64%。公司25Q2业绩环比明显提升，主要得益于沪金价格的持续上行，沪金25Q1/Q2均值分别为672/773元/克，Q2环增约15%。矿产金产量稳中有升：今年上半年，公司矿产金产量为24.71吨，同比+0.77%，25Q1/Q2产量分别为11.87/12.84吨，Q2环比+8.17%；矿产金销量为23.60吨，25Q1/Q2销量分别为10.99/12.61吨，Q2环比+14.74%。今年上半年，公司采掘总量同比+29.36%、选矿处理量同比+23.36%。公司2025年的生产经营计划是：黄金产量不低于50吨。黄金产量远期有望持续提升：公司黄金资源储量丰富，有众多项目同步扩产。今年上半年，三山岛金矿副井工程施工至-1900米标高、刷新国内深井记录；焦家金矿资源整合项目设计的5条主控性竖井工程中，已有4条顺利掘砌到底，正在有序推进配套装卸载、排水配电、运输平巷等工程的施工，全力保障施工进度；新城金矿资源整合项目4条主要竖井工程均已掘砌到底，正在进行井下排水配电系统、粉矿回收系统建设，同步推进回风石门巷道、主要运输巷道掘砌施工。公司将加快世界级黄金资源产业基地的建设，未来随着扩能改造项目投产达产，公司黄金产量有望持续提升。利润分配方面：拟每10股派发现金红利累计人民币1.80元(含税)，总计约8.05亿元，约占2025年半年度合并报表扣除永续债利息后归属于上市公司普通股股东净利润31.45%，分红比例相对较高。风险提示：项目建设进度不及预期；黄金价格大幅回调；安全和环保风险。投资建议：维持“优于大市”评级。上调公司的盈利预测。预计公司2025-2027年营业收入分别为1094/1158/1219(原预测891/931/983)亿元，同比增速32.5%/5.9%/5.2%；归母净利润分别为69.59/82.08/92.85(原预测57.44/66.45/78.41)亿元，同比增速135.8%/17.9%/13.1%；摊薄EPS分别为1.56/1.83/2.08元，当前股价对应PE分别为21/18/16X。公司是行业龙头企业，聚焦黄金主业，多项扩能改造工程有序推进，未来几年黄金产量有望大幅提升，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-29,,买入,6364802,pdf_downloads/2025/2025-08-29/600547-山东黄金（600547）：半年报点评：二季度黄金量价齐增推升业绩，增产扩能稳步推进.pdf,600547,山东黄金,山东黄金（600547）：半年报点评：二季度黄金量价齐增推升业绩，增产扩能稳步推进
