author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
姚遥,"事件简评3月5日，公司公告子公司签订荷兰Enexis电力局变压器框架合同，合同金额总计1.17亿欧元，首次突破西欧高端市场配电业务。经营分析欧洲配电网投资核心受①电气化发展、②老化升级替换、③发电侧新能源接入三重因素驱动。①电气化：在电动汽车、热泵、数据中心等新兴产业的推动下，欧洲对电力需求有望在2025年起逐步实现温和复苏，预计2024-2027年用电需求CAGR为1.3%，2027-2030年CAGR加速至2.0%。②老旧升级替换：欧洲配电网约30%的设备运行已超过40年，更新换代是硬性需求。③新能源接入：2024年欧洲可再生能源发电占比从2019年的34%升至2024年的47%，弃核弃煤、拥抱绿电，使得电网结构从“中心化”向“分布式”转型，对配网提出更高要求。Enexis大额投入电网改造&amp;扩建、人员培训。根据Enexis 2025年年报，更新投资计划包括未来三年创纪录的70亿欧元投资，用于升级然气网络和电网，项目将建设42座新高压变电站，扩建130座现有变电站，并安装数千公里的额外电缆。此外，为了应对行业范围内约3万名技术人员短缺的问题，Enexis与其他电网运营商、承包商及政府合作，制定2030年扩展计划，重点培训和部署额外5000名技术人员。长年布局+产品力突出助力订单突破，海外配电有望进入收获期。公司23年起布局海外配电市场，持续加大研发投入，深耕自主创新与技术攻坚，围绕客户需求提供高品质产品，高性能、高可靠性、低碳化产品特征精准契合欧洲市场严苛标准与低碳需求。此外，Enexis作为荷兰三大电网运营商之一，其对准入资质和产品可靠性要求极高，公司以综合排名第1的成绩成功中标，标志着公司产品已具备全球一线竞争力。公司海外渠道先发优势明显，看好后续海外配电订单加速释放。盈利预测、估值与评级考虑到①公司配电板块在海外/网外市场规模增长明显；②电表标准换新后国内招标价格有望修复、利润弹性可期。我们预计公司25-27年实现归母净利润17.8/24.0/30.8亿元,同比-21/+35/+28%,股票现价对应PE为21/16/12倍,维持“买入”评级。风险提示电网投资不及预期、海外业务拓展不及预期、医院扩张不及预期、医疗事故纠纷风险、商誉减值、医疗政策变动、汇率波动",,国金证券,买入,[None],2026-03-06,,买入,8484833,pdf_downloads/2026/2026-03-06/601567-三星医疗（601567）：突破西欧高端配网市场，海外配电订单有望加速释放.pdf,601567,三星医疗,三星医疗（601567）：突破西欧高端配网市场，海外配电订单有望加速释放,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 17.8,
            ""eps"": null,
            ""pe"": 21
        },
        {
            ""year"": 2026,
            ""net_profit"": 24.0,
            ""eps"": null,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 30.8,
            ""eps"": null,
            ""pe"": 12
        }
    ]
}"
"徐强,房青",本报告导读：公司智能配用电业务拥有全球化营销及运营体系，海外配电重点突破欧洲、中东、拉美优势市场，国内配用电业务保持行业领先。投资要点：盈利预测及投资评级：预计2025-2027年，公司整体收入148.04亿元、162.72亿元、184.91亿元，同比增速1.4%、9.9%、13.6%。公司归母净利润17.32亿元、18.96亿元、22.02亿元，同比变动幅度-23.3%、9.5%、16.1%。EPS 1.23元、1.35元、1.57元。参考可比公司估值，公司成长性，我们给予公司2026年24XPE，目标价32.4元。给予“增持”评级。智能配用电全球深度布局。公司智能配用电业务拥有全球化营销及运营体系，在全球已拥有8个生产基地、40多个销售中心，业务辐射70多个国家和地区。（1）国内：公司深耕30余年，设5大区31个办事处，实现电网及用户市场全面覆盖。（2）海外：公司深耕10余年，业务覆盖欧洲、中东及亚非拉地区。欧洲市场，公司业务覆盖16个国家，为行业内在欧洲覆盖国家数量最多的中国公司。海外配电业务持续突破。2025年以来，公司海外配电重点突破欧洲、中东、拉美优势市场，继前期在沙特、墨西哥、希腊、巴西取得首单后，2025上半年在匈牙利、罗马尼亚、吉尔吉斯斯坦取得首单。海外用电业务持续深化夯实。公司海外用电业务深耕高端市场、发力新兴市场，在原有欧洲、中东高端优势市场基础上，持续布局新区新客。继2025三季度中标美国、波兰、埃及电表订单后，2025年12月中标印尼、巴西电表订单。风险提示。规模扩张的管理风险，行业政策的风险，海外业务拓展进度不达预期。,,国泰海通,增持,[None],2026-02-26,,买入,8449027,pdf_downloads/2026/2026-02-26/601567-三星医疗（601567）：配用电全球化布局，持续突破海外市场.pdf,601567,三星医疗,三星医疗（601567）：配用电全球化布局，持续突破海外市场,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 17.32,
      ""eps"": 1.23,
      ""pe"": null
    },
    {
      ""year"": 2026,
      ""net_profit"": 18.96,
      ""eps"": 1.35,
      ""pe"": 24
    },
    {
      ""year"": 2027,
      ""net_profit"": 22.02,
      ""eps"": 1.57,
      ""pe"": null
    }
  ]
}"
"王蔚祺,王晓声",前三季度业绩下滑16%，电力设备与医疗业务同时阶段性承压。前三季度公司实现营收110.80亿元，同比+6.19%；归母净利润15.28亿元，同比-15.85%；扣非净利润12.80亿元，同比-26.81%。前三季度公司毛利率28.46%，同比-7.75pct.；净利率13.60%，同比-3.87pct.。三季度业绩同环比大幅下降，盈利能力继续承压。三季度公司实现营收31.08亿元，同比-9.56%，环比-28.42%；归母净利润2.98亿元，同比-55.22%，环比-59.74%；扣非净利润1.44亿元，同比-78.54%，环比-78.71%。三季度公司毛利率27.14%，同比-12.33pct.，环比-1.88pct.；净利率9.39%，同比-10.07pct.，环比-7.52pct.。公司多层面利空基本出尽，未来半年有望逐步修复。网内业务方面，今年国网电表1-2批次招标价格持续下降，配电集采带动变压器价格下行，公司收入和利润承压；网外业务方面，公司新能源业务中以光伏为主，二季度受抢装结束影响承压。我们认为，国内电表、配电、光伏行业利空基本出尽，未来半年均有望迎来不同程度修复。海外方面，公司今年主要交付配电首单，价格相对较低，后续续单价格有望提升。国网三批电表招标开标，新规落地带动价格修复。近期，国网2025年第三批电表招标开标，产品价格较第二批次有明显修复。本次招标首次采用2025版新标准，产品技术要求、功能和设计寿命等指标均有提升，包括公司在内的头部电表企业凭借研发和技术优势有望享受红利期。在手订单饱和，海外配电持续高增。截止三季度末，公司总体在手订单179.14亿元，同比+14.69%；海外配电在手订单21.69亿元，同比+125.45%。公司在守住用电基本盘前提下，积极拓展海外配电市场，2025年上半年在匈牙利、罗马尼亚等国实现首单突破。同时，公司继续深化海外本地化，2025年7月，公司新设肯尼亚生产基地，进一步布局支撑非洲业务拓展。风险提示：海外市场开拓不及预期；原材料价格大幅上涨；行业竞争加剧。投资建议：下调盈利预测，维持“优于大市”评级。考虑到国内外订单价格和交付节奏，下调盈利预测。我们预计公司2025-2027年实现归母净利润18.75/24.73/30.72亿元（原预测值为25.24/31.82/39.98亿元），当前股价对应PE分别为20/15/12倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-11-11,,买入,7618892,pdf_downloads/2025/2025-11-11/601567-三星医疗（601567）：配电出海持续高景气，电表新规落地带动价格修复.pdf,601567,三星医疗,三星医疗（601567）：配电出海持续高景气，电表新规落地带动价格修复,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.75,
            ""eps"": null,
            ""pe"": 20
        },
        {
            ""year"": 2026,
            ""net_profit"": 24.73,
            ""eps"": null,
            ""pe"": 15
        },
        {
            ""year"": 2027,
            ""net_profit"": 30.72,
            ""eps"": null,
            ""pe"": 12
        }
    ]
}"
"曾朵红,朱国广,司鑫尧,冉胜男",事件：公司25年Q1-3营收110.8亿元，同比+6.2%，归母净利润15.3亿元，同比-15.9%，扣非净利润12.8亿元，同比-26.8%，毛利率28.5%，同比-7.8pct，归母净利率13.8%，同比-3.6pct；其中25年Q3营收31.1亿元，同比-9.6％，归母净利润3亿元，同比-55.2%，扣非净利润1.4亿元，同比-78.5%，毛利率27.1%，同比-12.3pct，归母净利率9.6%，同比-9.8pct。受降价电表+配电订单交付影响，业绩不及市场预期。国内配用电：20版电表大幅降价拖累毛利率，26年盈利能力有望修复。国内配用电价格承压，国网24年第二批开始智能电表受换代预期影响价格大幅下降，到25年第二批中标价格同比24年第一批下降幅度最高达30%；25年开始实行部分配电物资区域集采，变压器产品受集采影响价格有所下降，并在Q3开始兑现报表，配用电价格的大幅波动拖累公司综合毛利率下滑12.3pct，展望明年，我们认为随着新版电表的招标放量和配电集采评分标准的改善，公司国内配用电盈利能力有望大幅改善。海外配用电及医院：海外配用电景气度持续兑现，医院受政策影响短期承压。1）海外配用电业务进展顺利，25M1-9我国电表出口金额同比-7%，其中欧洲市场同比+3%，需求整体偏弱，7月设立肯尼亚生产基地，公司通过拓展非洲等新市场对冲单一市场需求波动带来的影响。海外配电需求旺盛，截至9月末海外配电在手订单21.69亿元，同比+125%，看好公司配电出海持续兑现。2）康复医院业务受医保政策影响，我们预计收入&利润短期将承压，对公司收入和毛利率均有一定影响，我们预计26年公司康复医院业务经营有望改善。控费效果良好，市场+研发不断加大投入。公司25年Q1-3期间费用17.5亿元，同比-5.8%，费用率15.8%，同比-2pct，其中Q3期间费用率21.3%，同比+3.1pct，主要系销售费用和研发费用增长较多；25年Q1-3经营性净现金流4.6亿元，同-55.5%，其中Q3经营性现金流5.2亿元，同环比-32.7%/480%；25年Q3末存货41.7亿元，同比+5%。盈利预测与投资评级：国内降价电表+降价配电交付导致国内盈利能力承压，海外收入占比较低无法对冲国内影响，因此我们下修公司25-27年归母净利润预测分别为18.4/24.4/30.9亿元（此前预测25.1/30.6/37.8亿元），同比-18.5%/+32.4%/26.8%，现价对应PE分别为18x、13x、10x，考虑到公司国内配用电盈利有望改善，海外市场需求旺盛，维持“买入”评级。风险提示：电网投资不及预期，海外市场拓展不及预期，竞争加剧等。,,东吴证券,买入,[None],2025-11-03,,买入,7342269,pdf_downloads/2025/2025-11-03/601567-三星医疗（601567）：2025三季报点评：国内盈利承压，海外配电成长空间广阔.pdf,601567,三星医疗,三星医疗（601567）：2025三季报点评：国内盈利承压，海外配电成长空间广阔,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.4,
            ""eps"": null,
            ""pe"": 18
        },
        {
            ""year"": 2026,
            ""net_profit"": 24.4,
            ""eps"": null,
            ""pe"": 13
        },
        {
            ""year"": 2027,
            ""net_profit"": 30.9,
            ""eps"": null,
            ""pe"": 10
        }
    ]
}"
"刘俊,边文姣,戚腾元",2025年10月30日│中国内地三星医疗发布三季报，Q3实现营收31.08亿元（yoy-9.56%，qoq-28.42%），归母净利2.98亿元（yoy-55.22%，qoq-59.74%）。业绩下滑主要系国内订单交付较慢；国内低价订单以及海外首单低价配电订单逐步交付。公司海外配电订单保持高速增长，后续延续性订单毛利率有望逐步回升；海外用电持续突破；医疗业务逐步修复；伴随国内新标表启动招标，我们预计后续价格有望明显回升，维持“买入”评级。国内低价订单+海外首单低毛利率配电订单逐步交付拖累毛利率公司25年Q1-3实现营收110.80亿元（yoy+6.19%），收入下降主要系国内订单交付较慢；实现归母净利15.28亿元（yoy-15.85%），扣非净利12.80亿元（yoy-26.81%）。Q1-3毛利率为28.46%，同比-7.74pct，净利率为13.60%，同比-3.87pct；我们认为主因：1）国内配用电产品降价；2）海外为突破部分新市场采取初期降价取单策略，部分低价订单交付，导致毛利率有所下滑。我们预计伴随国网新标电表招标开启，电表价格有望回升；同时海外市场延续性订单的价格与盈利有望逐步回到正常区间；毛利率有望逐步恢复。Q1-3整体费用率为15.80%，同比-2.01pct，其中，销售、管理、财务、研发费用率同比+0.59、-0.72、-1.73、-0.15pct，整体费用率下降。在手订单持续增长，海外配电表现亮眼截至25Q3，公司总体在手订单达179.14亿元，同比+14.69%，海外配电在手订单21.69亿元，同比+125.45%。海外配电重点突破欧洲、中东、拉美优势市场，继前期在沙特、墨西哥、希腊、巴西取得首单后，2025年又在匈牙利、罗马尼亚、吉尔吉斯斯坦等地取得首单突破。海外用电深耕高端、发力新兴市场，于7月取得美国智能电表首单突破；同时，公司7月新设肯尼亚生产基地，进一步布局支撑非洲电表业务拓展，推进 AMI 项目落地。网内业务保持领先，网外客户持续开拓网内方面，公司在国南网中标持续保持行业领先地位，其中，重点发力地方电网业务，如在内蒙古电力（集团）有限责任公司计量及配电产品招标中，公司截至25H1累计取单1.46 亿，同比增长188%。网外方面，公司依托电网渠道优势，聚焦新能源央国企平台大客户，重点发力地方国企、省级公司；同时，风电领域业务快速突破；并积极储备石油化工、数据中心等新场景客户，已陆续获千万级订单。盈利预测与估值考虑到国内整体交付节奏偏慢、前期低价订单逐步交付影响及医疗业务管理颗粒度要求提升影响，我们下调公司25-27年归母净利润（-16.23%/-15.21%/-10.60%）至22.61/27.65/34.91亿元，对应EPS为1.61/1.97/2.48元。我们预计2026年智能配用电及其他/医疗服务净利润分别为24.5/3.1亿元，截至10月30日，可比公司26年Wind一致预期平均PE分别为13.7/28.5X，考虑到公司医疗业务管理收紧，我们给予两业务26年13.7/20XPE，目标价28.32元（前值基于25年15/20XPE，29.72元），维持“买入”评级。风险提示：电网投资力度不及预期风险，海外智能电表渗透率增速不及预期风险，行业竞争加剧风险，原材料价格上涨风险，医疗业务不及预期风险。,,华泰证券,买入,[None],2025-10-31,,买入,7086577,pdf_downloads/2025/2025-10-31/601567-三星医疗（601567）：海外配电在手订单持续高增.pdf,601567,三星医疗,三星医疗（601567）：海外配电在手订单持续高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 22.61,
            ""eps"": 1.61,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 27.65,
            ""eps"": 1.97,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 34.91,
            ""eps"": 2.48,
            ""pe"": null
        }
    ]
}"
姚遥,"业绩简评10月29日，公司披露2025年三季报，前三季度实现营收110.8亿元，同比+6.2%；实现归母净利润15.3亿元，同比-15.9%；毛利率28.5%，同比-7.8pct；其中Q3实现营收31.1亿元，同比-9.6%，归母净利润3.0亿元，同比-55.2%，毛利率27.1%，同比-12.3pct，Q3业绩低于预期，盈利、业绩同比下滑主要系国内用配电招标价格波动较大及医保政策持续深化所致。经营分析国内业务短期承压，海外市场加速拓展。前三季度公司毛利率同比-7.8pct，其中Q3同比-12.3pct，核心原因在于：1）25年前两批电表价格持续下滑，公司陆续交付前期低价订单；2）国网区域集采，配网招标价格下滑；3）医疗服务板块面临医保政策趋严和新建医院尚处孵化亏损期。公司加强海外业务拓展，7月新设肯尼亚生产基地以支撑非洲业务，海外配用电业务天花板更高且毛利率优于国内业务，随着高毛利订单的逐步交付，有望改善公司盈利结构。智能电表新标准落地，新标有望驱动价格回升。9月国网发布智能电表25年新标准正式发布，10月国网计量设备3批招标挂网，考虑到新表溢价，叠加老标准电表招标末期价格大幅下滑，我们预计第三批单价至少恢复至上一轮电表新标准招标初期价格（已单相表为例，预计价格恢复至200元以上，相比25年第二批同比增长60%以上），同时年内国网预计将新增一批次电表招标完成全年规划，看好电表价格上涨对公司26年业绩增厚。费用管控成果显著，在手订单充沛支撑未来业绩增长。 公司通过数字化建设、精细化管理提升经营效益,25年前三季度期间费用率15.8%，同比-2.0pct，部分对冲毛利率下滑影响；截至25年三季度末，公司在手订单179.1亿元，同比+14.7%,海外配电在手订单21.7亿元，同比+125.5%，支撑公司未来业绩增长。盈利预测、估值与评级考虑到①电表标准换新后国内招标价格有望快速修复、利润弹性可期；②公司配电板块在海外/网外市场规模增长明显；③医疗板块虽受行业影响但公司仍持续夯实连锁康复医疗体系，我们预计-4/+34/+17%,股票现价对应PE为16/12/10倍,维持“买入”评级。风险提示电网投资不及预期、海外业务拓展不及预期、医院扩张不及预期、 医疗事故纠纷风险、商誉减值、医疗政策变动、汇率波动",,国金证券,买入,[None],2025-10-29,,买入,6988874,pdf_downloads/2025/2025-10-29/601567-三星医疗（601567）：Q3 业绩短期承压，海外配电订单持续高增.pdf,601567,三星医疗,三星医疗（601567）：Q3 业绩短期承压，海外配电订单持续高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 15.3,
            ""eps"": null,
            ""pe"": 16
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": 12
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": 10
        }
    ]
}"
张涵,投资要点上半年业绩稳步增长上半年公司实现营业收入79.7亿元，同比增长14%，归母净利润12.3亿元，同比增长7%，扣非归母净利润11.4亿元，同比增长5%。上半年公司毛利率28.97%，同比下滑5.64个百分点，净利率15.43%，同比下滑1个百分点。海外订单高增长，多地区实现突破上半年公司海外实现营业收入14.95亿元，同比增长51%。其中，海外配电重点突破欧洲、中东、拉美优势市场， 继前期在沙特、 墨西哥、 希腊、巴西取得首单后， 2025 年上半年又在匈牙利、罗马尼亚、吉尔吉斯斯坦取得首单突破； 海外用电深耕高端、 发力新兴， 加强布局北美、 非洲潜力市场。同时，公司持续深耕本地化经营， 新增欧洲匈牙利销售公司， 为海外配电业务拓展提供有力支撑。公司在手订单总计 176.32 亿元，同比增长 18.39%。 其中海外配电在手订单21.82 亿元，同比增长 123.96%， 海外配电已逐步成为公司海外业务增长的重要支撑。前湾基地一期投资约为 20 亿元，主要为新建年产 1.6 万套新能源箱式变电站项目及年产 5GW 新型储能系统设备项目，该项目于今年 3月底竣工后逐步投产，可有效缓解目前公司配电业务产能紧缺的瓶颈。国内网内持续领先，非网业务实现突破电网业务方面， 公司在国南网中标持续保持行业领先地位， 其中， 重点发力地方电网业务，如在内蒙古电力（集团） 有限责任公司计量及配电产品招标中， 公司累计取单 1.46 亿， 同比增长188%。非电网业务方面，公司依托电网渠道优势，聚焦新能源央国企平台大客户， 重点发力地方国企、省级公司；同时， 风电领域业务快速突破； 并积极储备石油化工、 数据中心等新场景客户。上半年公司新拓央企子公司国电电力发展股份有限公司、 龙源电力集团股份有限公司， 行业中标综合排名第一。 并在风电领域取单 4.80 亿元，同比增长 52%。 同时， 公司在石油化工、 数据中心等新客户领域取得突破， 已陆续获千万级订单。盈利预测预测公司2025-2027年收入分别为161、189、224亿元，EPS分别为1.76、2.14、2.62元，当前股价对应PE分别为14、11、9倍，考虑到公司海外订单高增长，国内网内领先，网外突破给予“买入”投资评级。风险提示海外市场及环境不确定性风险；原材料价格大幅波动风险；大盘系统性风险。,,华鑫证券,买入,[None],2025-10-19,,买入,6648481,pdf_downloads/2025/2025-10-19/601567-三星医疗（601567）：海外订单高增长，新产能解决配电业务紧缺瓶颈.pdf,601567,三星医疗,三星医疗（601567）：海外订单高增长，新产能解决配电业务紧缺瓶颈,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 1.76,
            ""pe"": 14
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 2.14,
            ""pe"": 11
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 2.62,
            ""pe"": 9
        }
    ]
}"
"开文明,刘清馨",核心观点公司发布2025年半年报，公司2025年上半年实现营收 79.72 亿元，同比增长 13.93%，实现归母净利润 12.30 亿元，同比增长 6.93%，实现扣非归母净利润 11.36 亿元，同比增长 5.34%。公司在手订单充沛，海外配电逐渐成为海外业务增长重要支撑。截至2025年半年度末，公司在手订单总计 176.32 亿元，同比增长18.39%。其中海外配电在手订单 21.82 亿元，同比增长123.96%。在手订单充沛，海外配电已逐步成为公司海外业务增长的重要支撑。海外配用电以及新能源业务均开拓进展顺利。2025 年上半年，公司实现海外营业收入14.95 亿元，同比增长 50.89%。其中，海外配电重点突破欧洲、中东、拉美优势市场，继前期在沙特、墨西哥、希腊、巴西取得首单后，2025年上半年又在匈牙利、罗马尼亚、吉尔吉斯斯坦取得首单突破。另外新能源业务方面，公司逆变器业务在巴西市场取得持续突破。海外用电业务方面，公司于7月取得美国智能电表首单突破，同时公司持续发力非洲等新兴市场，快速推进尼日利亚TCN总包项目交付及AMI系统快速落地应用。公司海外业务在配电、用电、新能源等全面开花，同时全面布局北美、欧洲、中东、非洲等市场，我们认为随着公司在各个市场深耕，订单或将持续落地，推动公司持续快速发展。投资建议我们认为公司海外配用电业务进展顺利，在手订单充足，为公司盈利提供有力支撑。预计公司2025-2027年营业收入分别为185.99亿元、232.96亿元、288.36亿元，同比分别+27.4%、+25.3%、+23.8%；归母净利润为26.47亿元、33.16亿元、41.40亿元，同比分别+17.2%、+25.2%、+24.9%。9月11日股价对应PE分别为12、10、8倍。首次覆盖，给予“买入”评级。风险提示市场竞争加剧，国际贸易政策不确定，订单执行不及预期。,,甬兴证券,买入,[None],2025-09-18,,买入,6447440,pdf_downloads/2025/2025-09-18/601567-三星医疗（601567）：2025年半年报点评：海外配电进展顺利，在手订单持续高增.pdf,601567,三星医疗,三星医疗（601567）：2025年半年报点评：海外配电进展顺利，在手订单持续高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 26.47,
            ""eps"": null,
            ""pe"": 12
        },
        {
            ""year"": 2026,
            ""net_profit"": 33.16,
            ""eps"": null,
            ""pe"": 10
        },
        {
            ""year"": 2027,
            ""net_profit"": 41.40,
            ""eps"": null,
            ""pe"": 8
        }
    ]
}"
"王蔚祺,王晓声",上半年业绩稳健增长，毛利率阶段性下降。2025年上半年公司实现营收79.72亿元，同比+13.93%；归母净利润12.30亿元，同比+6.93%；扣非净利润11.36亿元，同比+5.34%。上半年公司毛利率28.97%，同比-5.64pct.；净利率15.24%，同比-1.25pct.。我们估计，毛利率下滑主要受海外配电处于开拓期和国内配用电产品价格阶段性下滑引起。二季度业绩小幅下滑，医疗业务暂时承压。二季度公司实现营收43.41亿元，同比+9.28%，环比+19.57%；归母净利润7.40亿元，同比-5.77%，环比+51.32%；扣非净利润6.76亿元，同比-3.89%，环比+46.82%。二季度公司毛利率29.03%，同比-8.18pct.，环比+0.13pct.；净利率16.92%，同比-2.96pct.，环比+3.69pct.。配用电业务收入订单稳健增长，海外配电订单持续高增。上半年公司智能配用电收入63.54亿元，同比+19.53%，其中海外收入14.95亿元，同比+50.9%，占比达到24%；医疗业收入15.27亿元，同比-3.02%。2025年二季度末公司智能配用电业务在手订单176.32亿元，同比+18.39%，其中海外配电在手订单21.82亿元，同比+123.96%。配电出海持续实现首单突破，智能电表进入美国市场。公司海外配电重点突破欧洲、中东、拉美优势市场，继前期在沙特、墨西哥、希腊、巴西取得首单后，2025年上半年又在匈牙利、罗马尼亚、吉尔吉斯斯坦取得首单突破；海外用电深耕高端、发力新兴，加强布局北美、非洲潜力市场。公司智能电表已取得北美UL认证，并于7月取得美国智能电表首单突破。国内市场积极开拓头部客户，多行业实现突破。国内市场，公司积极开拓行业头部客户，聚焦新能源央国企平台大客户，重点发力地方国企、省级公司需求。上半年，公司风电领域快速突破，取单4.8亿元，同比+52%；同时积极储备石油化工、数据中心等新场景客户，已陆续获千万级订单。风险提示：海外市场开拓不及预期；原材料价格大幅上涨；行业竞争加剧。投资建议：下调盈利预测，维持“优于大市”评级。考虑到国内配用电产品价格变动情况和公司部分新建医院尚处于孵化期，我们下调盈利预测，预计公司2025-2027年归母净利润为25.24/31.82/39.98亿元（25-26年原预测为28.76/35.65亿元），同比+12%/+26%/+2%，动态PE为13.0/10.3/8.2倍。,,国信证券,优于大市,[None],2025-08-25,,买入,6345270,pdf_downloads/2025/2025-08-25/601567-三星医疗（601567）：海外配电高歌猛进，提质增效静待盈利修复.pdf,601567,三星医疗,三星医疗（601567）：海外配电高歌猛进，提质增效静待盈利修复,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.24,
            ""eps"": null,
            ""pe"": 13.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 31.82,
            ""eps"": null,
            ""pe"": 10.3
        },
        {
            ""year"": 2027,
            ""net_profit"": 39.98,
            ""eps"": null,
            ""pe"": 8.2
        }
    ]
}"
"曾朵红,朱国广,冉胜男,司鑫尧",三星医疗(601567)投资要点事件：公司25H1营收79.7亿元，同比+13.9%，归母净利润12.3亿元，同比+6.9%，毛利率29%，同比-5.6pct，归母净利率15.4%，同比-1pct；其中25Q2营收43.4亿元，同比+9.3％，归母净利润7.4亿元，同比-5.8%，毛利率29%，同比-8.2pct，归母净利率17.1%，同比-2.7pct。国内降价电表交付+新增医院亏损拖累整体毛利率水平，公司提质增效对冲效果显著，业绩基本符合市场预期。配用电业务保持稳健增长，配电出海高速增长，网外风电市场加速增长。25H1公司智能配用电实现收入63.54亿元，同比+20%，净利润10.98亿元，同比+13%，净利率约17.28%，同比-0.77pct。其中海外营业收入14.95亿元，同比+51%，占配用电收入的24%。25H1公司配电业务实现在匈牙利、罗马尼亚、吉尔吉斯斯坦等新市场的突破，海外配电在手订单21.82亿元，同比+124%，逐步成为海外重要的增长支撑；海外用电实现北美市场0-1突破，同时加快推进非洲尼日利亚总包项目落地应用。国内市场，内蒙电网中标1.46亿元，同比+188%，网外风电市场进展顺利，新签合同+52%，有望对冲未来光伏需求下降带来的缺口；新下游方面，公司央企客户、石油化工、数据中心等均实现了突破，为远期增长奠定基础。康复医院业务业务略承压，长期需求空间仍很大。25H1公司医疗服务实现营收15.27亿元，同比-2%，净利润1.19亿元，同比-35%，净利率7.79%，同比-3.56pct。25H1收入下滑我们认为主要系DGR政策影响医保付费标准变动，公司康复医院收入有所下降；利润下滑较多，我们认为主要系公司24年新增9家康复医院仍处在亏损阶段，DRG+新增医院的亏损导致利润下滑幅度较大。公司部分医院与多家三甲医院签订医联体合作和康复联盟，与综合医院形成协同效应，提升收入端增长的确定性。展望25H2，我们认为公司医疗服务业务增速略有压力，但随着新增医院逐步扭亏，盈利能力有望实现修复。提质增效效果显著，存货保持稳健增长。公司25H1期间费用10.9亿元，同-11.6%，费用率13.6%，同-3.9pct，其中Q2期间费用5.6亿元，同环比-19.3%/+4.5%，费用率12.8%，同环比-4.5/-1.8pct，控本降费效果显著；25H1末存货41.4亿元，同比+24%，保持稳健增长。公司首次新增年中分红6.79亿元，股利支付率约55%，与股东共享公司成长红利。盈利预测与投资评级：考虑到医疗服务业务受DRG和新增医院的影响，以及降价电表开始大规模交付，我们下修公司25-27年归母净利润（括号内为下调幅度）分别为25.11（-4.24）/30.63（-5.28）/37.83（-5.33）亿元，同比+11%/22%/24%，现价对应PE分别为14x、11x、9x，长期看，海外配电市场空间广阔，公司布局多年竞争力强，维持“买入”评级。风险提示：海外市场拓展不及预期，竞争加剧等。,,东吴证券,买入,[None],2025-08-22,,买入,6338178,pdf_downloads/2025/2025-08-22/601567-三星医疗（601567）：2025年中报点评：提质增效效果显著，业绩基本符合市场预期.pdf,601567,三星医疗,三星医疗（601567）：2025年中报点评：提质增效效果显著，业绩基本符合市场预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.11,
            ""eps"": null,
            ""pe"": 14
        },
        {
            ""year"": 2026,
            ""net_profit"": 30.63,
            ""eps"": null,
            ""pe"": 11
        },
        {
            ""year"": 2027,
            ""net_profit"": 37.83,
            ""eps"": null,
            ""pe"": 9
        }
    ]
}"
