author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"孙立金,魏涛","辽宁成大(600739)
事件：公司发布 2017 年三季报，前三季度营业总收入 97.98 亿元，同比增加 61.2%。 归母净利润 12.33 亿元，同比增长 48.2%。 三季度营业总收入 34.01 亿元，同比增加 49.7%。归母净利润 3.65 亿元，同比增长 338.5%。
点评：
三季度利润激增，证券+保险收益稳定。公司前三季度营业总收入维持上半年增幅，预计受益大宗商品价格回暖，公司大宗贸易板块延续上半年表现，收入激增。三季度单季利润 3.65 亿元，同比增长338.5%，预计贸易板块今年不仅扭亏为盈，并且带动公司整体业绩提升。投资收益 16.21 亿元，同比增加 23.9%，主要变量为家乐福股权转让（3.98 亿元）。广发证券前三季度业绩增长约 3%，中华联合财险业绩或有所下滑，但证券+保险依旧贡献稳定。
传统商贸景气度向上，发展潜力待释放。今年公司传统大宗商品贸易业务扭亏为盈，景气度向上。能源资产或逐步出清，结构有望不断优化，有助于市场信心修复。核心资产广发证券和中华联合财险总体发展稳健，提供公司业绩和市值双支撑。新股东特华投资，截至三季报，持股比例增至8.06%，持股成本或略低于20元（溢价11.1%）。公司今年动作频频，为发展潜力释放扫清障碍。
投资建议：公司持有证券保险优质资产，资产结构将不断优化。公司价值长期偏低， 未来基本面趋好， 发展或迎重大突破，继续推荐，目标价 22.79 元。
风险提示：公司业务发展不达预期",,太平洋证券,买入,[None],2017-10-30,上调评级,买入,3912084,pdf_downloads/2017/2017-10-30/600739-辽宁成大（600739）：单季业绩暴增，投资收益稳定.pdf,600739,辽宁成大,辽宁成大（600739）：单季业绩暴增，投资收益稳定,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"魏涛,孙立金","事件:公司发 布2017 年半年度报告,上半年营业收入64 亿元,同比增长68%。归属上市公司股东净利润约为8.7 亿元,同比增长20%。基本每股收益约为0.5673 元。
    点评:
    大宗商贸扭亏为盈,投资收益显著增加。公司营收大幅提升的原因是大宗商贸板块收入激增和生物制药板块收入增长。虽然报告期内能源业务出现亏损以及中华保险净利润有所下滑,但是净利润稳健增长。净利润增长的主要来自家乐福获股权转让和广发证券的投资收益以及生物制药板块的内生增长。然而生物制药方面,成大生物率先建立起冷链物流体系,疫苗类产品经营成果显著,实现收入5.9 亿元(YoY24.7%),净利润2.6 亿元(YoY10.5%)。大宗商贸方面,今年大宗商品价格回暖趋势,该板块实现收入42.5 亿元(YoY137%),净利润684万元,止损盈利。能源方面,新疆宝明实现收入0.22 亿元(YoY22.2%),净利润亏损3 亿元。金融方面,公司参股广发证券实现归母净利润43亿元(YoY7.5%),投资收益7.1 亿元(YoY7.3%),参股公司中华保险归母净利润6.4 亿元(YoY-28.8%),投资收益1.25 亿元(YoY-50.4%)。
    资产结构不断优化,证券保险实力雄厚。公司传统业务减亏,能源资产待售,资产结构不断优化。金融方面,广发证券和中华保险发展稳健,总体估值偏低。广发证券资本充实,项目丰富,盈利能力强,在券商竞争中名列前茅。中华保险市场规模全国前列,在财险方面,业绩优于行业平均水平。寿险方面,业务不断开展,潜力不可限量。
    投资建议:公司持有证券保险全牌照,资产结构不断优化。公司价值长期偏低,新股东特华投资溢价收购引想象。未来基本面趋好,发展或迎重大突破。给予公司目标价22.79 元,维持“买入”评级。
    风险提示:公司业务发展不达预期",,太平洋证券,买入,[None],2017-08-28,,买入,2064030,pdf_downloads/2017/2017-08-28/600739-辽宁成大(600739)半年报点评：大宗商贸景气度向上 投资收益显著增长.pdf,600739,辽宁成大,辽宁成大(600739)半年报点评：大宗商贸景气度向上 投资收益显著增长,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": null,
            ""eps"": 0.5673,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"魏涛,孙立金","股权转让点评

特华投资增持至7.68%，转让价20元（溢价13%）

前海开源（资管计划）和前海开源（公募）分别转让4.65%和1.41%的股权给特华投资。加上此前持有1.62%，特华投资合计持有7.68%。转让价格为20元/股，较停盘前收盘价17.68元溢价13%。此次转让不涉及辽宁成大控制权的变更。

革故鼎新，迎来业绩拐点，基本面向好

生物制药、医药连锁等核心资产表现稳健，保持行业领先。同时公司审时度势，加强风险防范，将国内外贸易和能源板块的亏损大幅减少。公司业绩迎来业绩拐点。

股权分散+优质资产，发展预期永不落幕

中华保险是集财险、寿险、资产管理为一体的综合保险金融集团，财险名列前茅，寿险发展潜力大。广发证券盈利能力不凡。持有证券和保险的两大优质资产，有利于最大化的促进公司产融协同，为公司发展增加动力。

投资建议

公司持有证券保险全牌照。但价值长期低估，短期内股权变化引想象，未来看好基本面反转改善，维持“买入”评级，目标价22.79元。

投资建议

生物制药及医药连锁行业景气度下行；非公开发行方案未能获批；油价下跌等。",,太平洋证券,买入,[None],2017-06-21,,买入,2002298,pdf_downloads/2017/2017-06-21/600739-辽宁成大(600739)：长期低估，股权结构变动催化价值复苏.pdf,600739,辽宁成大,辽宁成大(600739)：长期低估，股权结构变动催化价值复苏,"{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
"魏涛,孙立金","报告摘要

革故鼎新，业绩迎来拐点

公司的核心盈利资产表现稳健，生物制药稳步增长，保持行业领先地位；医药连锁规模与效益同步增长，并积极创新终端经营模式，推进医药商务电子化。同时公司审时度势，加强风险防范，将国内外贸易和能源板块的亏损同比大幅减少，为公司业绩迎来的新的拐点。

券商保险多元发展，促进产融结合

2016年公司的金融服务板块新添加了保险投资，中华保险是集财险、寿险、资产管理为一体的综合保险金融集团。同时广发证券在行业内的地位也是遥遥领先，盈利能力不凡。持有证券和保险的两大优质资产，有利于最大化的促进公司产融协同，为公司发展增加动力。

主要股东再增筹码，未来发展值得期待

公司拟在控制人成大集团不变的前提下，引入金汇资管，提升股权多元化，为公司引进新的元素，提振整体实力。同时本次主要股东积极参与定制，也彰显了其对公司业务结构调整后整体业绩改善的信心十足以及对未来发展的踌躇满志。

估值

本文选择分部估值法。公司医药板块专业性强，持续发展能力好，我们给予其25倍市盈率。广发证券按股权比例分配的市值约为193.5亿元。中华保险相应股权比例的估值约为82亿。公司合理股价为22.79元，首次深度覆盖，给予买入评级。

十、风险提示

生物制药及医药连锁行业景气度下行；非公开发行方案未能获批；油价下跌等。",,太平洋证券,买入,[None],2017-05-19,,买入,1985892,pdf_downloads/2017/2017-05-19/600739-辽宁成大(600739)：减亏成效显著，金融加持再度出发.pdf,600739,辽宁成大,辽宁成大(600739)：减亏成效显著，金融加持再度出发,"{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": 25
    }
  ]
}",,,,,,,,,,,,
洪锦屏,"事项：

3月30日下午，辽宁成大发布2016年年报，全年创造营业收入为87.5亿元，较上年同期减少4.27%；16年归属于母公司所有者的净利润为9.48亿元，较上年同期增84.22%；基本每股收益为0.62元，较上年同期增82.35%。。因公司拟募集资金不超过53.824亿元的非公开发行股票方案至今尚未获得中国证监会批准，公司由于此前收购中华联合保险仍存在较大资金缺口。因此，公司拟定2016年度不进行现金红利分配，也不进行送股。

投资要点

1.制药及药品流通优势保持，贸易亏损加大，能源板块有效减亏

辽宁成大是一家集商贸、生物制药、能源开发及金融投资的多元型控股企业。2016年，公司继续在传统优势板块继续保持良好的发展势头，生物制药板块，公司精准应对“疫苗安全事件”，将危机转化为机遇，通过与大型物流配送企业的合作，并搭建了新的直达县区疾控中心的配送渠道，全年实现税后利润5.4亿元，人用狂犬疫苗销售超641万人份，继续巩固行业优势，同时也公司业绩的稳健作出了贡献。商品流通方面，成大方圆继续保持“中国连锁药店前十强”的地位，目前1113家门店覆盖东北、华北、华东地区的5省19市，销售收入同比提升11.52%。国内外贸易方面，继续以电煤、油品的销售为核心，其中受煤炭市场下半年的回暖，电煤业务稳中有升，销售收入8.95亿元，同比增长26%，油品业务实现销售收入16.15亿元，较去年回落4.4%，但贸易板块整体减亏效果不明显，税前利润-1.99亿元，较2015年-1.48亿元亏损面有所扩大。能源开发板块，由于油价复苏缓慢，公司继续保持审慎态度，成大弘晟自2016年2月转为长期停产，税前利润为-1.80亿元，同比减亏51.44%

2.金融板块持续贡献投资收益

公司对金融板块的布局主要通过股权投资的方式进行。公司参股16.4%的广发证券虽然受去年全行业股基成交下滑导致归属于上市公司的投资收益为13.19亿元，同比下降39.12%，但整体来看好于行业平均水平，原因是广发证券2016年通过积极把握市场机会实现弯道超车，营业收入和净利进入行业前三甲，地位得到进一步巩固，尤其在投行业务板块厚积薄发，2016年实现营业收入27.38亿元，同比增长33%，完成16家IPO主承销项目，行业排名第二。今年在IPO发审提速背景下，广发目前的报审家数排名首位，项目储备充足，有望在今年继续为其业绩释放带来贡献。公司于2015年12月以82亿元竞得中华联合保险控股股份有限公司30亿股股权，持股比例为19.6%，中华保险2016年为公司贡献2.31亿元投资收益，成大沿海基金带来投资收益0.8亿元，进一步平衡公司的收入结构。

3.投资建议

公司整体业绩低于预期，我们分析主要原因是：去年计提的吉林油页岩的减值损失基数较低；中华联合保险16年业绩下滑明显，同比减少47.07%，使得成大的投资收益较低；商贸板块的亏损面继续扩大；虽然能源开发减亏取得成效，广发证券、成大生物、成大方圆业绩相对稳健，但不能覆盖其他板块对公司业绩的拖累。2017年，我们看好油价底部回升，且公司当前估值较低，预计17/EPS为0.74，对应PE为23.5倍，维持推荐评级。",,华创证券,推荐,[None],2017-04-01,,增持,1955360,pdf_downloads/2017/2017-04-01/600739-辽宁成大(600739)：业绩低于预期，整体估值较低.pdf,600739,辽宁成大,辽宁成大(600739)：业绩低于预期，整体估值较低,"{
    ""forecasts"": [
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 0.74,
            ""pe"": 23.5
        }
    ]
}",,,23.5,,,,,,0.74,,,
魏涛,"辽宁成大(600739.CH/人民币17.90,买入)公布2016年中报：营收38.0亿元，同比降低5.5%；归母净利润7.2亿元，同比降低41.3%；基本每股收益0.47元。

中银非银点评：

各板块发展趋稳，业绩进入复苏通道

公司业务主要分为生物制药、商贸流通、能源开发以及金融服务四大板块。生物制药板块实现销售收入4.7亿元，利润总额2.8亿元。商贸流通板块实现销售收入33.1亿元，利润总额0.4亿元。能源开发板块实现销售收入1,831万元，利润总额-2.2亿元。金融板块中，广发证券与中华保险分别贡献投资收益6.6亿元与2.5亿元。虽然联营企业和合营企业的投资收益下降，但能源板块发展趋于稳定，业绩逐渐复苏。

核心资产盈利能力强劲，轻装前行释放经营压力

公司核心资产（生物制药、医药流通、证券、保险等）盈利不俗。能源板块及时止损，对成大弘晟实行长期停产，并减少新疆宝明开工率。经历业务结构调整阵痛后，公司浴火重生，轻装上阵，经营压力获得释放，页岩油项目利空尽出，估值修复可期。

增发收购中华保险，股东积极参与定增

公司增发收购优质保险资产（中华保险新获寿险牌照，盈利能力及市场份额居行业前列）。公司整合证券保险两大产业资源，实现金融高度协同效应，未来想象空间巨大。同时，股东积极参与定增，控股地位显著提升，反应其对未来整体盈利能力的高度认可，释放强烈信号。公司同时引入新股东注入新活力。我们采用分部估值法，维持公司目标价23.26元，维持买入评级。",,中银国际,买入,[None],2016-08-31,,买入,1852185,"pdf_downloads/2016/2016-08-31/600739-辽宁成大(600739)2016年中报点评：战略转型渐入佳境,金融协同空间大.pdf",600739,辽宁成大,"辽宁成大(600739)2016年中报点评：战略转型渐入佳境,金融协同空间大","{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": 7.2,
            ""eps"": 0.47,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.47,,,
"魏涛,罗惠洲","公司实行产业有限多元化及专业化发展，致力于生物制药、商贸流通、能源开发、金融服务四大经营领域。医药板块在细分疫苗市场独占鳌头，股权投资广发证券各项指标保持行业前列，盈利能力较强。公司此次定增进军保险业，将发挥金融领域协同发展优势，培育新利润增长点。我们给予买入的首次评级，目标价格23.26元。

支撑评级的要点

估值修复空间大，投资安全边际高。公司核心资产（生物制药、医药连锁、广发证券拟收购的中华保险股权）盈利能力不俗，但其估值与当前市值相较依旧有较大折价，投资安全边际高。公司此次定增收编中华联合保险打开新局面，油页岩项目的不利因素已消除，估值修复可期。

趋利避害调结构，业绩面临拐点。近年国际油价下行，公司能源开发业务遭遇亏损。此后公司及时止损，对成大弘晟实行长期停产，并减少新疆宝明开工率。经历业务调整阵痛的辽宁成大，经营压力大大释放，浴火重生，轻装上阵，迎来业绩拐点。

证券保险比翼飞，多方位合作促发展。公司拟收购的中华保险股权与原有广发证券的股权形成复合系统，有利于其整合两大产业资源，最大化实现证券业与保险业间金融协同效应。中华保险是集财险、寿险、资产管理为一体的综合保险金融集团，保费收入及增速高，市场份额居前，新获寿险牌照极大地打开了公司成长空间。同时，未来可通过产品研发、信息共享、和资金投资方式等方面的创新，全方位实现券商与保险复合系统的高度协同。

股东积极参与增发，控股地位显著提升，彰显信心。公司主要股东积极参与定增，助力收购中华保险股权，体现其对未来整体盈利能力的高度认可。同时，本次定增将引入新股东，银河金汇证券资产和中欧保税物流将提升股权多元化，为公司注入新活力。

评级面临的主要风险

生物制药及医药连锁行业景气度下行；非公开发行方案未能获批；油价下跌等。

估值

我们采用分部估值法，给予医药板块33.9倍市盈率，广发证券与中华保险的股权分别以224.8亿及82.0亿估值，公司目标价为23.26元，首次深度覆盖，给予买入评级。",,中银国际,买入,[None],2016-08-10,,买入,1801315,"pdf_downloads/2016/2016-08-10/600739-辽宁成大(600739)：金融牌照再下一城,重焕生机指日可待.pdf",600739,辽宁成大,"辽宁成大(600739)：金融牌照再下一城,重焕生机指日可待","{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
华中炜,"独到见解：

辽宁成大在油页岩开发业务遭遇困境后，于2015年将成大宏晟的报表编制基础改为非持续性经营，计提减值损失11亿元，我们认为已经触底。同时证券业务也处于底部，生物医药业务发展良好，收购中华联合19.6%的股权将增厚净利润4亿元-5亿元。目前公司增发还在等待证监会批准，增发价格16.82元，略有溢价。我们认为从各项业务估值来看，公司的估值已经触底，处于长期的买点。

投资要点

1.转型再从头，拐点或已至

辽宁成大从商贸业务起价，形成了当前多元化的经营格局，包括金融、医药、零售、能源开发、贸易等。成大下面的几家子公司在其细分领域都具有较强的竞争力，除去油页岩项目上的折戟。2015年成大弘晟的财报在非持续经营的假设基础上按公允价值进行了重新的编制，导致合并报表出现了11亿元的损失，我们认为从财报层面和市场预期层面都已经充分消化了油页岩项目的失利。目前公司已经及时调整战略转向相对稳健和熟悉的金融服务领域投资，基本面有望触底反弹。

2.当前市值隐含广发估值市价5折

目前公司市值260亿元，假设增发完成后股本将扩张到18.5亿股，潜在总市值320亿元，对应的2016年PE和PB分别为19倍和1.4倍。其持有的广发证券股权的对应市值约205亿元。成大生物在新三板的市值为70亿元，成大方圆按一倍PS估值28亿元，中华联合控股按竞拍价格估值82亿元，能源开发按新疆宝明的账面权益估值12亿元，合计368亿元，对应每股价格19.9元。如果油页岩业务按投入资本60亿元计算估值，则公司每股估值可达22元以上。目前市值对应持有广发市值的五折。

3.投资建议：

我们预计辽宁成大2016-2017年净利润分别为16.4亿元和21.14亿元，增长29%，主要假设为广发证券净利润增长20%，中华联合控股增长25%，成大生物增长13%，成大方圆增长10%，商贸由于大宗企稳实现0.1亿元的利润，新疆宝明由于油价上行开始盈亏平衡。考虑增发后的EPS为0.89和1.14元，对应的2016年pe为16倍，考虑增发摊薄后pe为20倍，具有较高的安全边际。如果油价上行，将为公司带来更大的业绩弹性。

4.风险提示：

增发进度低于预期，油价持续低迷。",,华创证券,推荐,[None],2016-08-09,,增持,1837247,"pdf_downloads/2016/2016-08-09/600739-辽宁成大(600739)：估值触底主业回升,沉舟侧畔再竞千帆.pdf",600739,辽宁成大,"辽宁成大(600739)：估值触底主业回升,沉舟侧畔再竞千帆","{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": 16.4,
            ""eps"": 0.89,
            ""pe"": 16
        },
        {
            ""year"": 2017,
            ""net_profit"": 21.14,
            ""eps"": 1.14,
            ""pe"": 20
        }
    ]
}",,,16.0,20.0,,,,,0.89,1.14,,
"沈娟,罗毅,左欣然","投资要点：

计提减值利润下降，增纳金融蓄势待发。2015年归属于母公司净利润5.1亿元，同比减少36.7%。其主要原因是计提流动24资产减值准备6.2亿元，包括子公司成大弘晟长期停产产生的1.3亿元、往来款坏账准备的1.4亿元，存货跌价准备的3.5亿元。另一方面，公司积极布局金融板块，竞购并取得中华保险30亿股股权，占比15.595%。同时，作为广发证券第二大股东，持有其16.4%股权，享受广发证券业务发展带来的投资收益。公司在金融领域的扩张增强了盈利能力的稳定性，有利于提升公司价值，促进公司产融协同。

能源贸易持续向下，轻装转型。商贸流通、能源开发营业收入均有下滑，生物制药、进出口贸易营业收入微增。其中能源开发营业利润为负。这主要是受油价大幅下跌，需求急剧萎缩的影响。公司也审时度势调整生产安排，停产成大弘晟生产运营，计提减值准备，释放经营压力以轻装转型。

广发证券推升金融投资收益。在广发证券上的投资收益成为了辽宁成大2015年绝大部分利润的来源。2015年广发证券实现净利润132亿元，同比增长1.6倍，每股现金分红0.8元，股息率高达4%。利润高速增长的背后是财富管理的全面发力、互联网金融的全方位开展、投行全业务链的推进、投资管理业务的发展。同时，广发证券成功发行H股，加快国际化发展进程，综合服务能力领先。

中华保险拔升盈利，助推产融协同战略转型。财险方面，中华联合财产保险原保费收入一直稳居行业前五。2015年保费收入393.7亿元，市场份额4.8%，保费增速及利润率优于行业平均。寿险方面，2015年11月设立寿险公司，走产品差异化、渠道团险创新化之路，以投资型保险为突破口实现资产驱动负债，保费收入增速将大幅提升。中华控股作为中国东方资管业务版图中唯一保险标的，是众多金融公司的保险中枢，可对接系统内各公司保险需求，实现业务协同共进。辽宁成大以合理价格收购稳定高盈利资产，将打开盈利空间，极大促进公司战略转型，提升整体估值。

目前页岩油前景仍存在一定不确定性，主要盈利由金融贡献。公司已停产部分页岩油项目以优化现有经营领域，促进生物制药、商贸流通、能源开发、金融服务四个领域同步发展。预计2016-2017年EPS0.8元、1.04元，P/B1.6、1.5，给与增持评级。

风险提示：公司转型不及预期，页岩油价格连续下挫",,华泰证券,增持,[None],2016-03-29,,增持,1737690,pdf_downloads/2016/2016-03-29/600739-辽宁成大：主营受损减装行，布局金融待发力.pdf,600739,辽宁成大,辽宁成大：主营受损减装行，布局金融待发力,"{
    ""forecasts"": [
        {
            ""year"": 2016,
            ""net_profit"": null,
            ""eps"": 0.8,
            ""pe"": null
        },
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 1.04,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.8,1.04,,
"罗毅,沈娟,左欣然","投资要点：

辽宁成大公布非公开发行股票预案，定向对辽宁省国资委、巨人投资、富邦人寿增发募资，收购中华控股部分股权。2015年12月30日辽宁成大以82亿元摘牌取得中华控股30亿股股份，占中华控股总股本19.595%。本次非公开发行股票价格为16.82元/股，发行数量不超过3.2亿股，募集资金53.8亿元，全部用于支付购买中华控股股权，投资项目资金不足部分由公司自有资金解决。根据方案，国资委全资子公司辽宁成大集团有限公司认购本次非公开发行8千万股股票；巨人投资认购本次非公开发行8千万股股票；富邦人寿认购本次非公开发行8千万股股票；中欧物流认购本次非公开发行8千万股股票。增发完成后，辽宁成大集团持有辽宁成大11.11%股权，为公司控股股东；巨人投资和富邦人寿及其关联方在本次发行完成后将分别持有辽宁成大7.84%和7.76%股权。

目前保险行业处于快速发展和上升通道，行业门槛高牌照稀缺，中华控股资产质量高，因而转让成交价高于挂牌底价（1.72元/股）近1元/股。中华控股是东方资管唯一保险标的，对接东方资管丰富的金融资源和客户群。财险方面，中华联合财产保险原保费收入一直稳居行业前五。农险业务规模排名行业第二，保费增速及利润率优于行业平均。寿险方面，11月设立寿险公司，走产品差异化、渠道团险创新化之路。资产管理方面，正在申请牌照，预计两年内设立资产管理公司，将进一步加强中华控股的对保险保费的投资管理能力。

辽宁成大本次停牌增发前股价为15.62元/股，低于目前确定的增发价16.82元/股，具有极高的安全垫。而股东方的参与也凸显了对于辽宁成大收购中华控股部分股权的肯定与支持，对公司未来的发展充满信心。当前，辽宁成大将内生式成长与外延式发展作为其长期发展战略手段，收购中华控股就是公司外延式发展实施的关键环节，也是公司开辟金融版图大通道重要关卡。以合理价格收购稳定高盈利资产，打开盈利空间，将极大促进公司战略转型，提升整体估值。

本次收购完成后，预计2015、2016、2017年的EPS分别为1.12元、1.41元、1.65元，对应P/B以当前价格计算为1.29、1.25、1.13，合理价格区间为20元-22元，继续给予增持评级。

风险提示：转型低于预期，市场环境变化投资收益下降。",,华泰证券,增持,[None],2016-02-24,,增持,1727445,pdf_downloads/2016/2016-02-24/600739-辽宁成大：定增方案确立，收购进展顺利.pdf,600739,辽宁成大,辽宁成大：定增方案确立，收购进展顺利,"{
    ""forecasts"": [
        {
            ""year"": 2015,
            ""net_profit"": null,
            ""eps"": 1.12,
            ""pe"": null
        },
        {
            ""year"": 2016,
            ""net_profit"": null,
            ""eps"": 1.41,
            ""pe"": null
        },
        {
            ""year"": 2017,
            ""net_profit"": null,
            ""eps"": 1.65,
            ""pe"": null
        }
    ]
}",,,,,,,,1.12,1.41,1.65,,
