author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"曾朵红,郭亚男,胡隽颖",事件：公司发布25年业绩预告，预计归母净利润8~10亿，同比增长131~189%；25Q4归母净利润3424~23424万元，同比转正（25Q4为-4.6亿元），环比-78~+50%。25Q4风机毛利率环比持平，历史质量事故风险释放：我们预计25年出货19GW，其中陆风近17GW、海风2.5GW；25Q4出货6.8GW，风机毛利率7%，环比25Q1-3基本持平，历史22~24Q4均计提大额维修成本，此次25Q4风机毛利率保持在7%，代表历史风机质量事故风险释放，风机板块轻装上阵迎来拐点年。25年风场转让1.3GW，基本符合预期。收购德华芯片是国内太空光伏电源第一梯队：中山德华芯片技术有限公司成立于2015年8月，隶属明阳智慧能源集团，专注于高端化合物半导体外延片、芯片的研发与产业化，主营空间太阳能电池及半导体光电器件产品。该公司通过国际航空航天AS9100D质量体系认证，2023年入选国家级专精特新“小巨人”企业，2024年承担广东省重点领域研发计划项目并获1500万元立项支持。收购完成后，砷化镓/钙钛矿/HJT三大技术并驾齐驱：截至目前，公司拥有钙钛矿薄膜、异质结及叠层电池等前沿光伏技术，形成了一系列具有自主知识产权的核心技术和专利成果，钙钛矿组件已实现效率与稳定性双突破。据公司统计，1200mm*600mm 组件第三方认证效率高达22.4%，同时钙钛矿/HJT两端叠层电池实验室转换效率已突破34%，开始进入大尺寸验证阶段，钙钛矿/晶硅四端叠层组件也实现27.6%转化效率。而德华芯片致力于光伏领域高端化合物半导体外延片、芯片、能源系统的研发和产业化，具备提供电源系统整体解决方案的能力，产品覆盖从外延材料到电源系统全产业链研制能力。本次交易完成后，双方可在能源管理系统等方向开展联合研发，推动更多场景的应用验证与商业化，提升公司在光伏领域的综合竞争力。盈利预测与投资评级：25Q4风机毛利率表现较好，我们上调25年盈利预测，预计25年归母净利润9.0亿元（原值为7.7亿元），我们基本维持26~27年盈利预测，预计26~27年归母净利润21.1/31.7亿元，25~27年归母净利润同增159%/135%/50%，对应PE为60.0/25.4/16.9x，维持“买入”评级。风险提示：竞争加剧、行业需求和公司出货不及预期、电站业务盈利下滑风险、收购不及预期等。,,东吴证券,买入,[None],2026-01-29,,买入,8373502,pdf_downloads/2026/2026-01-29/601615-明阳智能（601615）：2025年业绩预告点评：Q4同比转正，收购德华芯片进军国内卫星电源Tier1勘误版.pdf,601615,明阳智能,明阳智能（601615）：2025年业绩预告点评：Q4同比转正，收购德华芯片进军国内卫星电源Tier1勘误版
"姚遥,刘高畅",投资逻辑：国产海风机组龙头，短中长三重逻辑支撑业绩进入向上通道。短期维度，国内陆风重回通胀，我们不完全统计2025年各功率段陆风机组不含塔筒中标均价同比提升超10%，随着2026-2027年高价订单交付占比提升，预计公司制造端业绩弹性有望持续释放。中期维度，国内海风建设在经历三年调整后，需求景气度有望逐步回暖，我们预计“十五五”阶段国内海风年平均装机有望从“十四五”的8GW提升至15-20GW，看好公司作为国内海风龙头充分受益。长期维度，欧洲海风进入高速建设阶段，预计2030年后年均装机有望提升至15GW以上，而当前欧洲本土海上大风机产能仅4GW，叠加欧洲开发商对项目降本的强烈诉求，预计公司凭借英国本土基地实现欧洲海风市场突破，从而打开长期成长空间。收购卫星能源系统研制商，太空光伏技术路线全面布局。2026年1月22日，公司公告拟通过发行股份及支付现金的方式收购中山德华芯片100%的股权，并募集配套资金。德华芯片业务主要聚焦于柔性空间太阳电池芯片、柔性太阳电池电路等产品，具备砷化镓组件级供应能力，总经理为蓝箭航天前高级副总裁杨文奕。2025年9月，由德华芯片制作的全球首套重量最轻、收拢体积最小、发电效率最高、展开机构最简单可靠的卫星全柔性卷迭式太阳翼被用于中国商业卫星公司互联网技术试验卫星并成功发射。同时，上市公司体内具备HJT地面光伏产品量产能并已建立钙钛矿百兆瓦级中试线，后续有望凭借德华芯片在砷化镓领域的客户基础和验证渠道，在相应产品研发后顺畅地进入在轨验证阶段，进一步打开高功率、大面积、商业化卫星的能源系统市场。盈利预测、估值和评级我们预测2025/2026/2027年公司实现营业收入374亿/427亿/464亿元，同比+37.6%/+14.3%/+8.6%，实现归母净利润10.2亿/22.1亿/31.4亿元，同比+195.4%/+116.2%/+42.2%，对应EPS为0.45/0.98/1.39元。公司受益于国内陆风价格上行及海风建设加速，中短期盈利弹性释放确定性强，欧洲海风产能投资及收购中山德华芯片确立长期成长动能，维持“买入”评级。风险提示中山德华芯片收购不及预期；海外市场开拓不及预期；海风项目推进进度不及预期的风险；市场竞争加剧风险。,,国金证券,买入,[None],2026-01-28,,买入,8370913,pdf_downloads/2026/2026-01-28/601615-明阳智能（601615）：公司深度研究：海风整机龙头，出海及太空光伏打开长期向上空间.pdf,601615,明阳智能,明阳智能（601615）：公司深度研究：海风整机龙头，出海及太空光伏打开长期向上空间
"曾朵红,郭亚男,胡隽颖",事件：公司计划发行股份及支付现金购买德华芯片股东持有的100%的股权。德华芯片是国内太空光伏电源第一梯队：中山德华芯片技术有限公司成立于2015年8月，隶属明阳智慧能源集团，专注于高端化合物半导体外延片、芯片的研发与产业化，主营空间太阳能电池及半导体光电器件产品。该公司通过国际航空航天AS9100D质量体系认证，2023年入选国家级专精特新“小巨人”企业，2024年承担广东省重点领域研发计划项目并获1500万元立项支持。收购完成后，砷化镓/钙钛矿/HJT三大技术并驾齐驱：截至目前，公司拥有钙钛矿薄膜、异质结及叠层电池等前沿光伏技术，形成了一系列具有自主知识产权的核心技术和专利成果，钙钛矿组件已实现效率与稳定性双突破。据公司统计，1200mm*600mm 组件第三方认证效率高达22.4%，同时钙钛矿/HJT两端叠层电池实验室转换效率已突破34%，开始进入大尺寸验证阶段，钙钛矿/晶硅四端叠层组件也实现27.6%转化效率。而德华芯片致力于光伏领域高端化合物半导体外延片、芯片、能源系统的研发和产业化，具备提供电源系统整体解决方案的能力，产品覆盖从外延材料到电源系统全产业链研制能力。本次交易完成后，双方可在能源管理系统等方向开展联合研发，推动更多场景的应用验证与商业化，提升公司在光伏领域的综合竞争力。盈利预测与投资评级：风场转让业绩占公司总业绩的比例较高，考虑公司风场转让节奏受政策影响，Q4有望部分集中确收，我们下调25~27年盈利预测，预计25~27年归母净利润7.7/21.0/31.7亿元（前值11.8/24.4/33.6亿元）。由于2024基数较低，同增123%/172%/51%，对应PE为63.4/23.3/15.4x，维持“买入”评级。风险提示：竞争加剧、行业需求和公司出货不及预期、电站业务盈利下滑风险、收购不及预期等。,,东吴证券,买入,[None],2026-01-25,,买入,8358566,pdf_downloads/2026/2026-01-25/601615-明阳智能（601615）：拟发行股份及现金支付收购德华芯片100%股权，太空光伏砷化镓、钙钛矿/HJT三大技术并驾齐驱.pdf,601615,明阳智能,明阳智能（601615）：拟发行股份及现金支付收购德华芯片100%股权，太空光伏砷化镓、钙钛矿/HJT三大技术并驾齐驱
"邓永康,王一如,朱碧野","事件：2025年10月30日，公司发布2025年三季报，前三季度实现营业收入263.04亿元，同比增长29.98%；归母净利润7.66亿元，同比下降5.29%；扣非归母净利润5.81亿元、同比下降14.47%。单季度来看，25Q3公司营收约91.61亿元，同比增长8.53%、环比下降2.95%；归母净利润约1.56亿元，同比增长5.39%、环比下降49.38%；扣非归母净利润0.95亿元，同比下降22.56%、环比下降52.02%。此外，公司25Q3计提资产减值约1812万元、信用减值约1473万元。盈利水平方面，25年前三季度公司毛利率约11.47%，同比-3.73pcts；净利率约3.00%，同比-1.27pcts。25Q3毛利率约10.27%，同比基本持平、环比-0.98pcts；净利率约1.67%，同比-0.50pcts、环比-1.68cts。分板块经营情况：1）风机制造：2025年前三季度，公司风机制造板块销售收入205.18亿元，风机对外销售12.28GW、同比增长59.50%；其中，陆上风机出货量约为11.02GW、同比增长73.53%，海上风机出货量约为1258MW、同比减少6.61%。截至2025年9月30日，公司在手订单46.89GW。2）电站转让：前三季度电站产品销售收入37.46亿元，同比增长77.28%。3）发电：截至2025年9月底，公司自营电站并网容量2,048MW，在建容量4,062MW 。海风龙头进入全球化击球区：公司技术研发持续投入，大型化升级+供应链管理优势突出，目前公司已完成最大至25MW全功率产品谱系布局，陆上产品线形成2.5-15MW+风电产品的解决方案，海上产品线形成10-25MW大容量机组梯队，同时构建起5.5MW、7.25MW以及16.6MW漂浮式风机技术创新体系；凭借区位优势、技术优势等，海风装机规模已登顶国内市场。公司海外海风布局领先，目前已实现欧洲多国市场订单突破。2025年前三季度，公司新增订单18.33GW，其中新增海外订单约2.96GW，公司海外在手订单超过5GW。投资建议：我们预计公司2025-2027年营收分别为421.5、495.9、522.6亿元，增速为55%/18%/5%；归母净利润分别为11.7、22.9、29.4亿元，增速为237%/96%/29%，对应25-27年PE为30x/15x/12x，维持“推荐”评级。风险提示：市场需求不及预期；资产减值风险等。",,民生证券,推荐,[None],2025-11-04,,增持,7391690,pdf_downloads/2025/2025-11-04/601615-明阳智能（601615）：2025 年三季报点评：业绩符合预期，在手订单饱满.pdf,601615,明阳智能,明阳智能（601615）：2025 年三季报点评：业绩符合预期，在手订单饱满
"刘俊,边文姣,苗雨菲",2025年11月02日│中国内地 电源设备 明阳智能发布三季报：9M25收入263.04亿元（yoy+29.98%），归母净利7.66亿元（yoy-5.29%）；3Q25收入91.61亿元（yoy+8.53%，qoq-2.95%），归母净利1.56亿元（yoy+5.39%，qoq-49.38%），毛利率10.27%（yoy-0.02pct，qoq-0.98pct）。考虑到Q3公司电站转让规模较少，且自营风场季节性来风较弱，我们判断风机毛利率环比提升，主要系海风交付增加驱动风机销售结构优化。我们看好公司国内海风龙头地位稳固，海外市场布局领先，有望充分受益于国内外海风高景气，维持“买入”评级。公司：Q3海风出货高增驱动盈利能力优化1）出货：25Q3公司风机对外销售4.18GW，其中陆风3.13GW，海风1.05GW，预计Q4出货有望环比向上。2）价格：25Q3公司风机平均销售均价1923元/kW，环比+21%，主要系海风出货高增。3）毛利率：我们测算25Q3公司风机毛利率为8.9%，环比提升约5pct。4）订单：9M25公司新增订单18.33GW，同比+7.95%，截至25Q3末在手订单46.89GW，较24年底增加5.76GW，订单储备充足，有望支撑后续交付。5）产品：公司发布全球首款50MW漂浮式风电机组，搭载2台25MW半直驱海上风机，通过材料创新、结构创新及工艺创新实现降本提效。行业：量价景气向上需求层面，《风能北京宣言2.0》目标“十五五”/“十六五”国内风电年均新增装机120/140GW+，其中“十五五”国内海风年均新增装机15GW，夯实产业发展信心；欧洲多国政府出台海上风电支持政策，驱动需求加速成长，根据GWEC预测，2025-2034年欧洲海风年均新增装机达12.6GW，为2020-2024年年均装机4倍以上。价格层面，25年以来陆风加权平均中标价格持续提升，其中9月为1593元/kW，较年初提升10%+，且各企业已形成自律共识。我们看好国内外海风需求高景气，叠加国内风机价格稳中向好，有望驱动风机盈利持续优化。盈利预测与估值考虑到电站转让节奏较慢，且陆风增值税退税取消或降低电站收益率，我们下调公司电站转让营收假设，下调公司25-27年归母净利润（-12.65%/-4.59%/-2.72%）至15.62/26.33/35.20亿元，对应EPS为0.69/1.16/1.55元。可比公司26年Wind一致预期均值14.33x，考虑公司国内海风龙头地位稳固，海外市场布局领先，有望充分受益于国内外海风高景气，我们给予公司26年15xPE估值，对应目标价17.4元（前值14.22元，对应25年18xPE）。风险提示：行业竞争加剧、海风装机不及预期、市场开拓不及预期、电站转让确收进度不及预期。,,华泰证券,买入,[None],2025-11-03,,买入,7300809,pdf_downloads/2025/2025-11-03/601615-明阳智能（601615）：Q3风机盈利改善.pdf,601615,明阳智能,明阳智能（601615）：Q3风机盈利改善
"曾朵红,郭亚男,胡隽颖",事件：公司25年Q1-3营收263亿元，同比+30%，归母净利润7.7亿元，同比-5.3%，扣非净利润5.8亿元，同比-14.5%，毛利率11.5%，同比-3.7pct，归母净利率2.9%，同比-1.1pct；其中25年Q3营收91.6亿元，同环比+8.5％/-2.9％，归母净利润1.6亿元，同环比+5.4%/-49.4％，扣非净利润9526万元，同环比-22.6%/-52％，毛利率10.3%，同环比0/-1pct，归母净利率1.7%，同环比-0.1/-1.6pct。拟投资英国本土基地，满足本土化率打开欧洲海风空间：10月12日，公司发布公告拟在苏格兰建设一体化风电机组制造基地，总投资额15亿英镑。公司打造欧洲本土化产能，助力公司打开欧洲海风空间。营收规模扩大、费用率继续下降：公司25年Q1-3期间费用24亿元，同比-20.4%，费用率9.1%，同比-5.8pct，其中Q3期间费用7.9亿元，同环比-36.8%/-8.4%，费用率8.7%，同环比-6.2/-0.5pct；25年Q1-3资本开支28.2亿元，同-44.3%，其中Q3资本开支5.6亿元，同环比-71.7%/-62.6%；25年Q3末存货184.6亿元，较年初+36.4%。此外，25Q3公司计提资产减值损失1812万元、信用减值损失1473万元。盈利预测与投资评级：考虑公司25H1风机毛利率表现不佳，风场转让节奏受政策影响或有放缓，我们下调25~27年盈利预测，预计25~27年归母净利润11.8/24.4/33.6亿元（前值23.7/28.7/36.4亿元），同增240.9%/106.7%/37.7%，对应PE为29.2/14.1/10.2x，考虑公司风机龙头地位、海风出货修复优化盈利，维持“买入”评级。风险提示：竞争加剧、行业需求和公司出货不及预期、电站业务盈利下滑风险等。,,东吴证券,买入,[None],2025-11-02,,买入,7270746,pdf_downloads/2025/2025-11-02/601615-明阳智能（601615）：2025年三季报点评：Q3风机毛利率表现好，拟投资英国本土化基地打开欧洲海风空间.pdf,601615,明阳智能,明阳智能（601615）：2025年三季报点评：Q3风机毛利率表现好，拟投资英国本土化基地打开欧洲海风空间
"申建国,边文姣,周敦伟",2025年8月31日│中国内地 电源设备 明阳智能公布上半年业绩：2025H1收入171.4亿元，同比+45.3%，归母净利6.1亿元，同比-7.7%，扣非净利4.9亿元，同比-12.7%。公司上半年净利承压，主要系交付部分低价订单，叠加新能源入市导致上网电价下降，电站转让盈利能力承压。我们看好公司国内风机龙头地位稳固，海外海风布局领先，维持“买入”评级。25Q2扣非净利承压，主要系交付部分低价订单25Q2公司扣非净利2.0亿元，环比-30.8%，主要系交付部分低价陆风订单，导致风机制造盈利能力承压；归母净利3.1亿元，环比+1.9%，主要系理财收益、交易性金融资产公允价值变动收益及政府补助贡献增量，叠加电站转让规模环比提升。公司风机出货高增实现规模效应，驱动费用率环比下降，25Q2期间费用率为9.2%，环比下降0.4pct。风机出货高增，盈利能力修复可期25H1公司风机对外销售8.1GW，同比+102.0%，其中陆风7.9GW，同比+126.3%，海风0.2GW，同比-60.8%，其中海风同比下滑主要系部分项目延迟至下半年交付。展望全年，我们预计公司对外销售20GW，其中陆风17.5GW，海风2.5GW。公司订单获取能力较强，25H1新增订单13.4GW，同比+37.5%，其中海外订单1.7GW；截至25H1末，公司在手订单46.4GW，较24年底增加5.3GW。考虑到自25Q3起陆续交付涨价订单，叠加下半年预计风机出货环比提升，费用率有望持续下降，同时风机大型化与结构优化有望驱动单位成本降低，我们看好风机盈利能力修复可期。电站滚动开发，贡献稳定业绩公司推进新能源电站滚动开发，充分利用制造业务的技术和产品优势，提升自身新能源电站的开发和运营能力；同时，公司在适当时机对外转让部分项目公司的股权，提高资本的流动性和灵活性，实现轻资产运营模式。25H1电站发电收入7.6亿元，电站产品销售收入31.4亿元；截止25H1末，公司在运营电站并网容量2.12GW，在建装机容量3.99GW。盈利预测与估值考虑到海风项目开工进度不及预期，或影响公司风机出货结构，我们下调公司风机制造营收及毛利率假设，预计公司25-27年归母净利为17.88/27.60/36.18亿元（较前值下降18.9%/11.8%/9.4%）。可比公司25年Wind一致预期均值17.2x，考虑公司国内风机龙头地位稳固，有望充分受益于风机盈利能力优化，叠加海外海风布局领先，我们给予公司25年18xPE估值，对应目标价14.22元（前值13.58元，对应25年14xPE，主要系风机盈利能力修复预期驱动可比公司估值提升）。风险提示：行业竞争加剧、海风装机不及预期、市场开拓不及预期、电站转让确收进度不及预期。,,华泰证券,买入,[None],2025-09-01,,买入,6375937,pdf_downloads/2025/2025-09-01/601615-明阳智能（601615）：Q2扣非净利承压，风机盈利能力修复可期.pdf,601615,明阳智能,明阳智能（601615）：Q2扣非净利承压，风机盈利能力修复可期
"邓永康,王一如,朱碧野,林誉韬",事件：2025年8月27日，公司发布2025年半年报，25H1实现营业收入171.43亿元，同比增长45.33%；归母净利润6.10亿元，同比下降7.68%；扣非归母净利润4.85亿元、同比下降12.68%；EPS为0.27元，同比下降6.9%。单季度来看，25Q2公司营收约94.39亿元，同比增长40.45%、环比增长22.53%；归母净利润3.08亿元，同比下降13.64%、环比增长1.92%；扣非归母净利润约1.99亿元，同比下降25.11%、环比下降30.76%。此外，公司25H1计提减值准备约0.69亿元，其中信用减值约0.66亿元、资产减值约335万元。盈利水平方面，25H1公司毛利率约12.12%，同比-6.60pcts；净利率约3.71%，同比-2.07pcts。25Q2毛利率约11.25%，同比-6.03pcts、环比-1.94pcts；净利率约3.35%，同比-2.12pcts、环比-0.80pcts。分板块经营情况：1）风机制造：25H1风机对外销售约8.10GW（同比增长102%，其中25Q2销售约4.29GW），风机及相关配件销售收入124.80亿元（同比增长57.5%）；新增订单13.39GW（同比增长37.6%）。2）电站转让：25H1电站产品销售收入31.40亿元（同比增长48.6%）。3）发电：截至25H1末，在运营电站装机容量2.12GW，平均发电小时数939.71小时；在建电站装机3.99GW。海风龙头进入全球化击球区：公司技术研发持续投入，大型化升级+供应链管理优势突出，目前公司已完成最大至25MW全功率产品谱系布局，陆上产品线形成2.5-15MW+风电产品的解决方案，海上产品线形成10-25MW大容量机组梯队，同时构建起5.5MW、7.25MW以及16.6MW漂浮式风机技术创新体系；凭借区位优势、技术优势等，海风装机规模已登顶国内市场。公司海外海风布局领先，目前已实现欧洲多国市场订单突破。投资建议：我们预计公司2025-2027年营收分别为421.9、496.3、523.0亿元，增速为55%/18%/5%；归母净利润分别为17.8、25.9、32.6亿元，增速为415%/45%/26%，对应25-27年PE为15x/11x/8x，维持“推荐”评级。风险提示：市场需求不及预期；资产减值风险等。,,民生证券,推荐,[None],2025-08-29,,增持,6368354,pdf_downloads/2025/2025-08-29/601615-明阳智能（601615）：营收快速增长，多业务板块并进.pdf,601615,明阳智能,明阳智能（601615）：营收快速增长，多业务板块并进
姚遥,业绩简评2025年8月27日公司披露25年半年报，上半年公司实现营收171.4亿元，同比增长45.3%；实现归母净利润6.1亿元，同比下降7.7%；其中，公司Q2实现营收94.4亿元，同比增长40.4%，环比增长22.5%，实现归母净利润3.1亿元，同比下降13.6%，环比增长1.9%。经营分析收入规模大幅增长，制造盈利预计小幅修复：上半年公司实现产品销售收入158亿元，同比增长51.2，毛利率约为10.1%，同比改善0.20pct；其中风机及配件销售业务实现收入124.8亿元，同比增长57.5%，占比79%，同比提升3pct；电站产品销售业务收入31.4亿元，同比增长48.6%，占比20%，同比持平。考虑到上半年产品销售收入中风机制造业务占比略有提升，以及在“136”号文落地背景下电站产品销售毛利率大概率下降，我们预计风机及配件销售业务毛利率存在小幅改善。展望后续，在风机价格企稳回升的背景下，看好公司制造端毛利率持续回暖。“两海”战略稳步推进，有望逐步贡献业绩弹性：海风方面，上半年公司成功实现全球单体容量最大的 MySE18.X-20MW漂浮式海上风电机组并网发电，大型化技术优势领先明显；此外，公司前期中标的多个海风项目陆续开工，随着项目持续推进，看好下半年业绩弹性逐步兑现；海外方面，公司在东亚市场及欧洲市场持续取得突破，签署完成韩国本地化合作协议，实现德国、英国、意大利等欧洲高端市场订单突破，随着海外订单持续落地，有望在中长期贡献较为可观的业绩弹性。盈利预测、估值与评级根据公司半年报及我们对行业最新判断，预测2025-2027年公司归母净利润分别为19.2、27.0、33.9亿元，对应PE为15、11、9倍，维持“买入”评级。风险提示海风项目推进不及预期，国际贸易政策风险，行业竞争加剧。,,国金证券,买入,[None],2025-08-28,,买入,6358908,pdf_downloads/2025/2025-08-28/601615-明阳智能（601615）：制造盈利小幅修复，“两海”有望逐步贡献弹性.pdf,601615,明阳智能,明阳智能（601615）：制造盈利小幅修复，“两海”有望逐步贡献弹性
"申建国,边文姣,周敦伟",6月5日明阳智能出席了我们组织的2025年中期策略会，会上公司介绍了近期经营情况及全年经营展望，同时针对市场需求、竞争格局及技术路线进行了讨论。我们看好公司国内海风龙头地位稳固，海外海风布局领先，有望充分受益于全球海风高景气，实现海风出货高增，驱动盈利能力修复，维持“买入”评级。国内海风出货高增，成本持续优化前期由于用海政策、航道等问题解决进度较慢，导致国内部分海风项目开工不及预期。目前限制性因素基本解决，广东、江苏等海风项目陆续开工，其中公司份额较高的青洲五七、帆石一已启动风机打桩，或支撑全年出货高增，我们预计公司25年海风出货4GW，同比+135%。公司议价能力较强，供应链价格稳定，通过提高叶片自供比例、优化经营效率实现降本，盈利能力或持续提升。公司漂浮式风机技术储备深厚，充分受益于国内深远海发展，有望陆续实现订单落地。欧洲海风装机高景气，公司海外布局领先欧洲各国加大海风政策支持力度，装机高增可期，根据WindEurope预测，欧洲海风新增装机2025-2030年CAGR为28.6%。公司海外布局领先，已进入欧洲业主供应商名单，目前积极推动意大利、苏格兰、挪威等项目进展，并布局日韩市场。考虑到欧洲与日韩地区海风价格较高，我们看好公司实现订单突破，贡献利润弹性。电站转让进度趋缓，盈利能力影响或有限受新能源上网电价市场化交易影响，能源集团短期对电站项目收购或保持观望态度，公司电站转让进度或趋缓。截至25Q1末，公司并网电站容量达2GW，收益率较稳定。尽管新能源入市或导致上网电价有所下降，我们认为市场化背景下非建设成本亦有望降低，对电站资产收益率影响或有限。盈利预测与估值我们维持公司盈利预测，预计公司25-27年归母净利润为22.06/31.30/39.92亿元。可比公司25年Wind一致预期PE均值13x，考虑到公司海风龙头地位稳固，海外海风布局领先，维持给予公司25年14xPE，维持目标价13.58元，维持“买入”评级。风险提示：行业竞争加剧、海风装机不及预期、市场开拓不及预期、电站转 让确收进度不及预期。,,华泰证券,买入,[None],2025-06-06,,买入,6140525,pdf_downloads/2025/2025-06-06/601615-明阳智能（601615）：2025年中期策略会速递：风机盈利持续修复，海外海风放量可期.pdf,601615,明阳智能,明阳智能（601615）：2025年中期策略会速递：风机盈利持续修复，海外海风放量可期
